Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CF3(1),O2(2),H2O(3),CH4(4),CH2CF2(57),HF(38),O2(161),S(164),CF2O(49),S(125),C2HF(58),S(463),C2HF(468),C2H2F3(68),S(165),S(464),S(130),C2H2F2(59),C2H3F2(65),C2H2F3(67),CF2(43),CHFCF2(55),CF2CH(73),C2HF2(72),S(179),C2H3F2(64),CHF2(82),CHF3(42),S(1244),S(1385),CF2O2(181),CF2O2(276),CH2F2(41),S(203),S(1542),CHO2(322),C2F(467),S(174),S(413),S(1894),C2H3F2(66),C2HF4(54),CHFO(47)
0.0,0.56406136643948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6061506802290276,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2609712177313584e-21,0.56406136643948,7.434384749292934e-28,2.9765568890091242e-31,3.702374081519855e-43,5.549493205095286e-43,0.0,0.0,1.2268204153733708e-23,1.6590392759808898e-42,1.8193146669524316e-54,2.116678639069148e-54,2.776082156062998e-59,7.343373943865819e-77,6.0649590857445236e-52,3.83085266354584e-40,3.4681180816316015e-58,1.3292092350235586e-39,1.167880173106481e-97,1.8850098518237332e-83,8.267277182295994e-94,4.522351850828869e-93,2.494123431471504e-27,4.170312758546761e-81,2.9575845737675202e-65,2.1342714554645551e-103,3.814926680647681e-119,5.637604371696979e-96,2.859554855056443e-119,9.215339496746854e-115,9.701419599474403e-64,1.2128515581434817e-117,7.548823095091309e-116,2.530662057189357e-131,3.76,0.0,0.6061506802290276,0.9999999999999996,3.013868604663026e-55,3.5920724392238214e-74,9.130345500524657e-20,9.130345500524657e-20,4.387482003678493e-16,9.860105904111912e-44,1.3292092350235576e-39,1.2268947592208639e-23,1.1824543756711863e-41,8.839748181206872e-40,2.0355989956785548e-63,1.075186682262815e-39,1.5084025099846858e-43,5.628776895499809e-47,6.696284802926276e-44,2.8577772627007656e-42,1.7377883235129952e-41,1.5216469934590413e-40,2.7770981821479516e-45,2.669149202995619e-49,9.654158380293499e-44,5.702441529916785e-49,9.668038881003329e-58,3.2837209026308453e-44,1.9895385838342986e-57,2.4941234314718875e-27,3.933456575488964e-73,1.9073130979174595e-77,2.9563709873488395e-59,2.603872509110238e-64,2.9989682637030583e-66,1.8522654733914346e-56,1.7943689646525767e-77,8.840634072317559e-74,1.3290842162498e-68,1.1724015408182303e-59,1.7041774292095814e-68,7.387466508335109e-82,1.340466781034838e-58,7.54161126642898e-70,2.558286061908496e-81
3.530719409647803e-21,0.56406136643948,2.081627729802059e-27,8.334359289242422e-31,2.2362339452468797e-42,3.3518938958837625e-42,0.0,0.0,3.4350971630454365e-23,1.0020597226924572e-41,2.1598903726065755e-53,2.5129208803025163e-53,3.295772191876936e-58,8.718053546155187e-76,3.663235287789027e-51,2.313835008781311e-39,4.1173497901303225e-57,8.028423779560021e-39,7.104785018625118e-96,5.926772575709962e-82,3.949377517308225e-92,2.1603817473626576e-91,6.98354560811897e-27,9.32882282837651e-80,3.511244405992274e-64,1.0195674563769224e-101,3.323641147477571e-117,2.697461477530391e-94,3.252537387871166e-117,7.110976757030935e-113,1.1517525348518936e-62,9.35922871828843e-116,5.8252109604925295e-114,2.696708843447139e-129,3.76,0.0,0.6061506802290276,0.9999999999999988,3.578064807563325e-54,8.035322370390663e-73,2.556496740146904e-19,2.556496740146904e-19,1.228494961025062e-15,5.955503966545768e-43,8.028423779560009e-39,3.435305325818416e-23,7.142024429053965e-41,5.339207901448367e-39,2.416663127669576e-62,6.494127560867268e-39,9.110751160355528e-43,3.3997812448836444e-46,4.044556020966023e-43,1.726097466671277e-41,1.0496241474018435e-40,9.190747840492633e-40,1.6773673020175666e-44,1.6121737354417792e-48,5.8311116616972134e-43,3.4442746841662e-48,1.1635923846766094e-56,1.9833674251890204e-43,1.2016815135385694e-56,6.983545608121285e-27,8.914714170287107e-72,4.322699583649372e-76,1.785648884912639e-58,3.0913174428045997e-63,4.532040835133698e-65,2.1990594249545763e-55,4.066725062003863e-76,2.003481154206398e-72,1.5778887815317602e-67,1.7717324405628002e-58,2.0232153892660855e-67,1.7013802820996794e-80,1.5914021624445445e-57,8.953409901078026e-69,5.72279595725517e-80
8.070215793480693e-21,0.56406136643948,4.75800623954774e-27,1.9049964089776513e-30,1.0766503829193031e-41,1.613792624051023e-41,0.0,0.0,7.851650658389563e-23,4.824486214552422e-41,2.1205931758001328e-52,2.4672006216978334e-52,3.2358119489203106e-57,8.559436668962822e-75,1.7636901021335093e-50,1.1140119545585657e-38,4.0424384410863054e-56,3.8653404554745946e-38,3.20743957322392e-94,1.3222303585104229e-80,2.056432685349924e-90,1.1249062969137344e-89,1.596238996140894e-26,1.8432181867849223e-78,3.4473605792309887e-63,5.308872148435334e-100,3.451406918900095e-115,1.4031726243144607e-92,2.9445097382457994e-115,7.749886788088319e-111,1.1307974685217107e-61,1.0200163300618698e-113,6.348611071117081e-112,6.137090288841719e-127,3.76,0.0,0.6061506802290276,0.9999999999999972,3.512965245746977e-53,1.5876442942766818e-71,5.843421120335781e-19,5.843421120335781e-19,2.8079884823198226e-15,2.867318797595121e-42,3.8653404554745836e-38,7.852126459013512e-23,3.438577324451809e-40,2.570598771094083e-38,2.3726941893629117e-61,3.1266428720200655e-38,4.38643449910613e-42,1.636848321213935e-45,1.9472796206887882e-42,8.310416279934043e-41,5.053488444775706e-40,4.4249494569789297e-39,8.0758015136893e-44,7.762000134797642e-48,2.8074292569892594e-42,1.6582699970444944e-47,1.1493466003571407e-55,9.549060384850344e-43,5.785581275668636e-56,1.596238996142008e-26,1.7725555344499155e-70,8.595031679524344e-75,8.597138959514895e-58,3.0350737965845606e-62,4.875362719889305e-64,2.159071429805742e-54,8.086065215305689e-75,3.9834809586147435e-71,1.5491805624607606e-66,1.9059486464141004e-57,1.9864118538594863e-66,3.404818738273895e-79,1.5624480799741602e-56,8.790530009427416e-68,1.1307292363011772e-78
1.7149208561146474e-20,0.56406136643948,1.0110763259039699e-26,4.048117369111468e-30,4.702015083667951e-41,7.047856370567255e-41,0.0,0.0,1.6684757649077783e-22,2.1069798804957233e-40,1.875640649040565e-51,2.1822110097322806e-51,2.8620403220117613e-56,7.570724801152826e-74,7.702498038885225e-50,4.865182882697383e-38,3.5754910226115294e-55,1.6880957285066389e-37,1.2110681539522047e-92,2.4763911274209457e-79,8.206683014128366e-89,4.489205732399373e-88,3.3920078667969014e-26,3.279908280640422e-77,3.0491513922708493e-62,2.1186359570230145e-98,2.761790660711999e-113,5.597746057637765e-91,2.2316763488307665e-113,6.339887309999036e-109,1.0001775550419254e-60,8.344371578894262e-112,5.1935609486013105e-110,1.0371418202998493e-124,3.76,0.0,0.6061506802290276,0.9999999999999941,3.1071779768147505e-52,2.8251281946838333e-70,1.2417269880713535e-18,1.2417269880713535e-18,5.966975524830684e-15,1.2522334505177563e-41,1.6880957285066293e-37,1.6685768725403663e-22,1.5017170571024066e-39,1.1226480190123684e-37,2.098621140584737e-60,1.3654870864735675e-37,1.9156711877529308e-41,7.148546657311286e-45,8.504281699693916e-42,3.629377123630196e-40,2.2069911708614147e-39,1.9324916816930206e-38,3.5269146913310566e-43,3.3899375487070316e-47,1.2260781142971818e-41,7.24210074448948e-47,1.0193341529494591e-54,4.170325546341011e-42,2.5267171499687333e-55,3.392007866801767e-26,3.163222828339287e-69,1.533830669363945e-73,3.754603686512152e-57,2.6844884019201905e-61,4.4812982900217186e-63,1.9096829050174163e-53,1.4430028048719182e-73,7.108630301120151e-70,1.3702326635848804e-65,1.751895076242022e-56,1.756961564314122e-65,6.093975731916448e-78,1.3819676325755762e-55,7.775158177520811e-67,2.012073229104745e-77
3.5307194096478035e-20,0.56406136643948,2.0816277298026006e-26,8.334359289487091e-30,1.962998738145789e-40,2.9423412974281377e-40,0.0,0.0,3.4350971630454113e-22,8.796226241250616e-40,1.5765889813437235e-50,1.834279841754657e-50,2.405717856026083e-55,6.363650365743656e-73,3.215641307252458e-49,2.031118082206753e-37,3.005415644249993e-54,7.047467364334366e-37,4.20175802386109e-91,4.2773498376381296e-78,2.9167836793958285e-87,1.5955340289329639e-86,6.983545608100972e-26,5.532044716861974e-76,2.562995470453889e-61,7.529995639591544e-97,1.9659767810226403e-111,1.9892368573972297e-89,1.5517693661741754e-111,4.562862493222155e-107,8.407095002453041e-60,6.00550635510563e-110,3.737844484463303e-108,1.5186045379648494e-122,3.76,0.0,0.6061506802290276,0.9999999999999878,2.6117703110352268e-51,4.764991630174052e-69,2.556496740146904e-18,2.556496740146904e-18,1.2284949609537766e-14,5.227828156592259e-41,7.047467364334286e-37,3.4353053258183803e-22,6.269373099808628e-39,4.686834485667744e-37,1.7640175200710577e-59,5.7006397893555776e-37,7.997550108587476e-41,2.984377510017774e-44,3.5503702024913013e-41,1.515193504684147e-39,9.213753691265094e-39,8.06777235932018e-38,1.4724174561776865e-42,1.4152891622406131e-46,5.118634773230778e-41,3.0234345005075266e-46,8.579021504502246e-54,1.7410288225747275e-41,1.0548561788659419e-54,6.983545608121284e-26,5.342481249240154e-68,2.590541999485475e-72,1.5674791768126478e-56,2.2564742543039763e-60,3.833845034477904e-62,1.6052069886265329e-52,2.437139539547656e-72,1.200593422211994e-68,1.1517631164545919e-64,1.4987830848440708e-55,1.4768331600192434e-64,1.0307095436142727e-76,1.161627064976112e-54,6.535546022535002e-66,3.393656365885482e-76
7.162316516714116e-20,0.56406136643948,4.222730537600818e-26,1.6906843130670308e-29,8.01949035658481e-40,1.2020424262697945e-39,0.0,0.0,6.968339959320634e-22,3.5935454333455946e-39,1.2925829003964053e-49,1.5038534367867276e-49,1.972353050515286e-54,5.217305045373468e-72,1.3136943978007421e-48,8.297780103302369e-37,2.4640213248203074e-53,2.879120371632751e-36,1.399360852412587e-89,7.106880728410423e-77,9.824530741419033e-86,5.374198034277153e-85,1.416662109067734e-25,9.086400059429249e-75,2.1012985365003637e-60,2.5363312166004457e-95,1.325360048723188e-109,6.699848200762517e-88,1.0347249229180883e-109,3.0928566228274842e-105,6.892644418526413e-59,4.070728252738328e-108,2.533633010695103e-106,2.0765635472751047e-120,3.76,0.0,0.6061506802290276,0.9999999999999751,2.1412870975009116e-50,7.826513061271575e-68,5.186036244298005e-18,5.186036244298005e-18,2.4920897777693373e-14,2.1357383845193086e-40,2.8791203716326856e-36,6.968762232374346e-22,2.5612434758788165e-38,1.914724815035242e-36,1.4462481404037089e-58,2.3288973612469653e-36,3.267260173275303e-40,1.2192155906929283e-43,1.450442073435932e-40,6.190059862102068e-39,3.764119020261405e-38,3.2959482537123128e-37,6.015305746483817e-42,5.782383563734407e-46,2.0911293218043848e-40,1.2351716462854098e-45,7.03793919389535e-53,7.112670823933269e-41,4.309443995345679e-54,1.4166621090760317e-25,8.780829897879463e-67,4.257779780471005e-71,6.403713311678498e-56,1.849993923995445e-59,3.1698972138067046e-61,1.3160470406839224e-51,4.0056495725900004e-71,1.9732720691571432e-67,9.44284989465946e-64,1.2392228237901539e-54,1.2107974891163538e-63,1.6952656519074903e-75,9.52372050418417e-54,5.358329106228335e-65,5.574091390283282e-75
1.442551073084674e-19,0.56406136643948,8.504936153201075e-26,3.4051810814764587e-29,3.2416062231898784e-39,4.8588476773380064e-39,0.0,0.0,1.4034825551870898e-21,1.452568520006473e-38,1.0467671452103585e-48,1.2178595031368951e-48,1.597262718790142e-53,4.2251088934723276e-71,5.310162797540754e-48,3.354095387825659e-36,1.9954283529456827e-52,1.1637864874726626e-35,4.567746890351574e-88,1.1586009271378883e-75,3.2245093616876122e-84,1.763865606324297e-83,2.8532772055702982e-25,1.4729446056844788e-73,1.701686034957856e-59,8.324632846393731e-94,8.703146148363314e-108,2.1988863670847866e-86,6.758728108834174e-108,2.0364756327851133e-103,5.5818421543690844e-58,2.6803504328082064e-106,1.6682578435949417e-104,2.7464542702301567e-118,3.76,0.0,0.6061506802290276,0.9999999999999498,1.734069808167163e-49,1.2687114939931788e-66,1.0445115252600208e-17,1.0445115252600208e-17,5.019279410897034e-14,8.632996047396027e-40,1.1637864874726096e-35,1.403567604548603e-21,1.0352955637101558e-37,7.739623840502629e-36,1.1712092406140267e-57,9.413775492805412e-36,1.3206788012624457e-39,4.928264353466135e-43,5.862918766491741e-40,2.50212116680453e-38,1.5215170910745938e-37,1.332274981829317e-36,2.431482759203073e-41,2.3377082597387083e-45,8.452679061543392e-40,4.992761286007361e-45,5.701236538774244e-52,2.8750552688556045e-40,1.7419561192766117e-53,2.8532772056038384e-25,1.4238730767115145e-65,6.904288166792211e-70,2.5885232602349524e-55,1.4981730437965328e-58,2.577707770071944e-60,1.0657695604375785e-50,6.495441372448805e-70,3.199793265190029e-66,7.64706466711119e-63,1.0077154140157722e-53,9.805353737309163e-63,2.7499673065971013e-74,7.712555783414195e-53,4.339465463091781e-64,9.035842842666204e-74
2.895189915911199e-19,0.56406136643948,1.7069347384416883e-25,6.834174618986463e-29,1.3034356055956488e-38,1.9537212813159086e-38,0.0,0.0,2.8167796736970714e-21,5.840714132661415e-38,8.42529265140018e-48,9.802392794965953e-48,1.2856160275942075e-52,3.400735213570055e-70,2.1351931059202289e-47,1.348667003582301e-35,1.606094336809251e-51,4.679534281617674e-35,1.47621686541813e-86,1.871143592104431e-74,1.0449214343635284e-82,5.715911391911493e-82,5.726507398524587e-25,2.3721318794087404e-72,1.369664964685839e-58,2.697737406378908e-92,5.641660694435382e-106,7.125509353655708e-85,4.369811222023245e-106,1.321893721457514e-101,4.4927521757275004e-57,1.7398384240655187e-104,1.0828804554767324e-102,3.5732124245202814e-116,3.76,0.0,0.6061506802290276,0.9999999999998993,1.395730242265463e-48,2.04322074890065e-65,2.0963273269204613e-17,2.0963273269204613e-17,1.0073658675138735e-13,3.471289759038224e-39,4.6795342816172474e-35,2.816950367170841e-21,4.1628779277254375e-37,3.1120687061406284e-35,9.426910897471612e-57,3.785237722362973e-35,5.310391376152662e-39,1.9816334213021112e-42,2.3574538498952398e-39,1.0060919164439906e-37,6.117953304455879e-37,5.357019106354244e-36,9.77688523433973e-41,9.402848865654625e-45,3.398785074411127e-39,2.0075673579748783e-44,4.589542567132192e-51,1.156047078653966e-39,7.004408992140754e-53,5.726507398659451e-25,2.2934737002953234e-64,1.112093738419215e-68,1.0408659484160522e-54,1.2058600034563622e-57,2.079014700686202e-59,8.578242802189909e-50,1.0462395980925757e-68,5.153995410054382e-65,6.155022923680888e-62,8.12758985918927e-53,7.892202437526048e-62,4.4302362850513677e-73,6.207735871676279e-52,3.493023419096494e-63,1.4551946735978628e-72
5.800467601564249e-19,0.56406136643948,3.4198169846909666e-25,1.369216169677105e-28,5.227359757094053e-38,7.835296163256113e-38,0.0,0.0,5.6433739107167475e-21,2.3423875995214824e-37,6.760766746210674e-47,7.865802884661479e-47,1.031625910193383e-51,2.7288758379663205e-69,8.563079342985496e-47,5.408757890305427e-35,1.2887895570065868e-50,1.876702544759774e-34,4.7472922072705094e-85,3.007808675448507e-73,3.3648135131854957e-81,1.8406145437411224e-80,1.1472967784229804e-24,3.807797015399035e-71,1.0990698763359992e-57,8.687727964812087e-91,3.633747696314817e-104,2.2945095767257865e-83,2.810919578247688e-104,8.519952261830601e-100,3.605150678333448e-56,1.1213715887331147e-102,6.979449125583533e-101,4.611041425062223e-114,3.76,0.0,0.6061506802290276,0.9999999999997982,1.119985619379055e-47,3.27982180713823e-64,4.1999589302413424e-17,4.1999589302413424e-17,2.0182417195567356e-13,1.3921424647813822e-38,1.8767025447594317e-34,5.64371589241492e-21,1.669500238283894e-36,1.2480787418186556e-34,7.564502309108064e-56,1.5180496255582712e-34,2.129704456372637e-38,7.94723632717248e-42,9.454444334623159e-39,4.0348785705527794e-37,2.4535729072343837e-36,2.1484042601844314e-35,3.920968260914953e-40,3.77339069295827e-44,1.3630648292148093e-38,8.051243042671747e-44,3.6830952391086536e-50,4.6362658400923614e-39,2.8091454932154796e-52,1.1472967784770676e-24,3.6818291525532214e-63,1.785300239378869e-67,4.174595705452983e-54,9.676267098815772e-57,1.669977669673918e-58,6.883500481743162e-49,1.6795812614063334e-67,8.273965515638762e-64,4.939018266448973e-61,6.5285221594722565e-52,6.33299571042272e-61,7.112708349080778e-72,4.98131708746396e-51,2.8033230442046126e-62,2.335909760383243e-71
