Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CF3(1),O2(2),H2O(3),CH4(4),CH2CF2(57),HF(38),O2(161),S(164),CF2O(49),S(125),C2HF(58),S(463),C2HF(468),C2H2F3(68),S(165),S(464),C2H2F2(59),S(162),S(130),C2H3F2(65),C2H2F3(67),CF2(43),CHFCF2(55)
4.896048397259553e-20,0.8989609783390349,6.463393155921377e-22,9.157729655545706e-23,6.457567366970808e-35,1.0658530856980924e-34,0.0,0.0,8.647867482008396e-19,1.6741489354940519e-34,1.3026763539139527e-46,1.5037623764813512e-60,3.114334258147927e-47,5.723208346636882e-73,4.8884993584188476e-54,1.8200173835162051e-47,1.3939629247900897e-43,1.8805842652528652e-31,4.598812949902234e-96,7.422718085303279e-61,3.3536595996850436e-95,4.635924046055107e-106,6.186920806831288e-36,1.248105288681977e-81,1.1408836319360014e-50,2.1127739776703012e-96,4.838555932567108e-101,6.148011619248828e-91,2.7591093166113107e-100,1.866920707256058e-95,9.16859651138069e-50,5.463069669390157e-104,1.6395318586466304e-105,7.53561083900527e-105,3.76,0.0,0.7901164290140009,0.9999999999996542,4.078390141744678e-47,5.384058469124004e-57,2.437654045293165e-14,2.4376540452931674e-14,3.458806437644217e-13,2.0185163682296848e-36,1.8805842652528654e-31,8.654330875167509e-19,1.3524415534605724e-29,2.4163881150936466e-34,7.609292819434885e-46,1.9728768113573734e-31,2.6104718594565202e-33,4.453903775267729e-37,1.2532303075107099e-30,6.274751436388001e-35,9.360683515662346e-32,6.031586093149317e-31,8.712101010101744e-32,6.186920946358204e-36,1.108238086821527e-42
9.796350529008472e-20,0.898960978339039,1.2932401770853196e-21,1.8323415636268468e-22,2.584709837433921e-34,4.266190036143949e-34,0.0,0.0,1.7303248315430143e-18,6.700958700015511e-34,1.0429331661972815e-45,2.407980705067655e-59,2.493361055250657e-46,9.1645903182485e-72,3.9137719786298504e-53,1.457121483871121e-46,1.1160179289595371e-42,7.527238005622828e-31,2.9484199416684367e-94,1.189017010193319e-59,2.149828729777364e-93,5.945761844613011e-104,2.476380680822317e-35,3.998867807923706e-80,9.134006134593123e-50,1.3545551314422698e-94,3.1021294050085815e-99,3.94165237626881e-89,3.5388318283656095e-98,1.1969525703398138e-93,7.340452108810928e-49,7.0069296316255244e-102,2.1028625036620853e-103,9.665169598162077e-103,3.76,0.0,0.7901164290139765,0.999999999999308,3.2651919498027125e-46,8.621508464331762e-56,4.8774259481407814e-14,4.877425948140793e-14,6.920617919436685e-13,8.079327055531016e-36,7.527238005622832e-31,1.7316180717213769e-18,5.413290778249933e-29,9.671849749342316e-34,6.092061031336358e-45,7.896648710703946e-31,1.044869052544689e-32,1.7827222309353048e-36,5.016187242490423e-30,2.511535822362101e-34,3.7467128706992225e-31,2.4142063139429622e-30,3.4871108430864743e-31,2.476380792528689e-35,8.87264325651166e-42
1.959695479250631e-19,0.8989609783390469,2.587041900114733e-21,3.6654787599339166e-22,1.0342206090379197e-33,1.7070317114799737e-33,0.0,0.0,3.4614009982259988e-18,2.681256320295342e-33,8.34663501757147e-45,3.854338633559801e-58,1.9954466278084603e-45,1.466931346484994e-70,3.132207178159063e-52,1.1661404075171514e-45,8.931535237874301e-42,3.0118756708631802e-30,1.888647897898677e-92,1.9035336343428175e-58,1.3770071922894065e-91,7.618122813383227e-102,9.90874835845865e-35,1.280427221234207e-78,7.309980947740183e-49,8.676775947613703e-93,1.9871131789874756e-97,2.5248757021444163e-87,4.534300436814436e-96,7.667494676015888e-92,5.874592601117958e-48,8.977969463681019e-100,2.6943948829951943e-101,1.2383968739354278e-100,3.76,0.0,0.7901164290139276,0.9999999999986157,2.6131459186042692e-45,1.3800028273928782e-54,9.756969753835702e-14,9.75696975383575e-14,1.3844240881397083e-12,3.232784145315031e-35,3.0118756708631827e-30,3.4639880401312242e-18,2.166021425076745e-28,3.869999716346666e-33,4.875500326774929e-44,3.159688070345245e-30,4.1808372164402796e-32,7.133211027027373e-36,2.0071282856490653e-29,1.004941471946681e-33,1.499173180156704e-30,9.659969904982912e-30,1.395298554454045e-30,9.90874925244913e-35,7.100811182508731e-41
3.919816331950198e-19,0.8989609783390625,5.174645346345761e-21,7.3317531531981205e-22,4.1375558803051814e-33,6.829238398508593e-33,0.0,0.0,6.923553331586504e-18,1.0726771210431869e-32,6.67857616164774e-44,6.168197731887892e-57,1.5966604808087317e-44,2.347567920517531e-69,2.5062418264309708e-51,9.330896521825938e-45,7.146585202588409e-41,1.2049463902785834e-29,1.2092658416468254e-90,3.046539239391985e-57,8.816421568890936e-90,9.756030597735823e-100,3.964144562293903e-34,4.098630813670459e-77,5.849095446503177e-48,5.555577505746587e-91,1.2723172728752355e-95,1.6166306197997715e-85,5.806847623005241e-94,4.9096891617126425e-90,4.700566638219619e-47,1.1497628217435737e-97,3.450574293357848e-99,1.585951801332148e-98,3.76,0.0,0.7901164290138301,0.9999999999972309,2.0909137632695547e-44,2.2084538142697847e-53,1.9516057365224306e-13,1.951605736522449e-13,2.769148679881973e-12,1.2933249181256216e-34,1.2049463902785856e-29,6.9287279769532955e-18,8.665496128755421e-28,1.5482518856578322e-32,3.901141020369633e-43,1.2640809746183663e-29,1.672607127381768e-31,2.853748897655605e-35,8.029820106101776e-29,4.020420268866214e-33,5.997668922979411e-30,3.864616981347486e-29,5.5821027816543124e-30,3.9641452776221165e-34,5.681727807305286e-40
7.840058037349333e-19,0.8989609783390942,1.0349852239496618e-20,1.4664301942326784e-21,1.6551570506269087e-32,2.7319176859290333e-32,0.0,0.0,1.3847857998285656e-17,4.2910576948828286e-32,5.343368244832268e-43,9.870121232761115e-56,1.2774496695695426e-43,3.756491351379397e-68,2.0051841456312844e-50,7.465426599444029e-44,5.717811024747045e-40,4.820177835122048e-29,7.741001609704477e-89,4.875171238599512e-56,5.643654263501271e-88,1.249081347016486e-97,1.5857868778693776e-33,1.3117640935704766e-75,4.679720735946701e-47,3.5563512624061574e-89,8.144695381081761e-94,1.0348709077716243e-83,7.434649099892197e-92,3.143321502737086e-88,3.760810373223891e-46,1.472069474816348e-95,4.4178547023019165e-97,2.030532899025837e-96,3.76,0.0,0.7901164290136349,0.9999999999944614,1.672889839013646e-43,3.533885579848018e-52,3.903423258799654e-13,3.9034232587997276e-13,5.538597860767247e-12,5.173726745649316e-34,4.8201778351220684e-29,1.385820785060695e-17,3.466480557281067e-27,6.193511575991669e-32,3.121209151513705e-42,5.056735420434797e-29,6.690973036128649e-31,1.141592463069475e-34,3.212189453790859e-28,1.608298994578242e-32,2.3992628232088611e-29,1.545972605303186e-28,2.2330228383604095e-29,1.5857874501862852e-33,4.54581383624004e-39
1.5680541448147604e-18,0.8989609783391573,2.070026602855354e-20,2.932939953098516e-21,6.620897609764691e-32,1.0928115414002907e-31,0.0,0.0,2.7696467331596563e-17,1.716492922575354e-31,4.274897536566041e-42,1.5792997917980912e-54,1.0220082530827094e-42,6.010693661743805e-67,1.604223963308256e-49,5.972625049900519e-43,4.574465976098699e-39,1.9281495934089453e-28,4.954785173096324e-87,7.800840792598617e-55,3.612305008329108e-86,1.5990221903334285e-95,6.343405626407435e-33,4.197968722185928e-74,3.743954439279728e-46,2.2763154525840287e-87,5.2132747046971624e-92,6.62390129787026e-82,9.517556884074181e-90,2.0124973165225343e-86,3.008791133787971e-45,1.8844877256969939e-93,5.655570681424824e-95,2.599411502967724e-94,3.76,0.0,0.7901164290132445,0.9999999999889225,1.338375406086585e-42,5.654504526848515e-51,7.807058303352109e-13,7.80705830335241e-13,1.1077496212140767e-11,2.0695797344186594e-33,1.9281495934089614e-28,2.7717167597952315e-17,1.386648646076905e-26,2.477505440040769e-31,2.497085861601417e-41,2.022776475252873e-28,2.6764981286203332e-30,4.566555667087149e-34,1.2849280656745356e-27,6.433457773658561e-32,9.597441811909991e-29,6.184142055171393e-28,8.932454817699163e-29,6.343410205160057e-33,3.636823714007181e-38
3.136150826974414e-18,0.8989609783392839,4.1401093617688213e-20,5.8659594749906056e-21,2.648412926840621e-31,4.3713351023642505e-31,0.0,0.0,5.5393685997868734e-17,6.866111381979725e-31,3.41999921355032e-41,2.526943986463607e-53,8.176260113422125e-42,9.61736014650738e-66,1.283410420487429e-48,4.7782135549136644e-42,3.659659645130944e-38,7.712755309270407e-28,3.1712366524178026e-85,1.24817987352883e-53,2.31199243186401e-84,2.0468751778758257e-93,2.5374138743368433e-32,1.3434017858617384e-72,2.995234836782905e-45,1.4569227189477188e-85,3.3368033524925416e-90,4.2395296443460205e-80,1.2183244731240757e-87,1.2887738076136347e-84,2.407090046673393e-44,2.4122971332607984e-91,7.239589180414551e-93,3.327457555225094e-92,3.76,0.0,0.7901164290124638,0.9999999999778447,1.0707257396952507e-41,9.047437327984882e-50,1.561432839244907e-12,1.5614328392450267e-12,2.21552928732997e-11,8.278525961240294e-33,7.712755309270535e-28,5.5435087092795225e-17,5.546707432643498e-26,9.91022337810197e-31,1.9977161066589898e-40,8.091270516148951e-28,1.0706210386463901e-29,1.8266594306013723e-33,5.139816833088756e-27,2.573435479033731e-31,3.8390548276779656e-28,2.473707149332863e-27,3.57305462116046e-28,2.5374175374258865e-32,2.909528030473632e-37
6.272344191293722e-18,0.8989609783395368,8.280274884004088e-20,1.1731998535416442e-20,1.0593759478384077e-30,1.7485518293546335e-30,0.0,0.0,1.1078812332901448e-16,2.746472491333865e-30,2.736031854352295e-40,4.043161841011048e-52,6.541085749469986e-41,1.538799016513152e-64,1.0267417809786718e-47,3.822616256650828e-41,2.927762461328591e-37,3.0851335224111567e-27,2.02964719114694e-83,1.9971240757247253e-52,1.4797126826225078e-82,2.620081372413229e-91,1.0149758744765023e-31,4.298968669825453e-71,2.396216613152385e-44,9.324571973948015e-84,2.1357719061859788e-88,2.713373479010027e-78,1.5595047295522774e-85,8.25740043191158e-83,1.9256948999551074e-43,3.0878381595809176e-89,9.266967757984959e-91,4.259280618576586e-90,3.76,0.0,0.7901164290109023,0.9999999999556891,8.565907581376131e-41,1.447608379113912e-48,3.1228868570611163e-12,3.1228868570615953e-12,4.431088602926514e-11,3.311474948108218e-32,3.0851335224112597e-27,1.1087092608308976e-16,2.218705542923843e-25,3.964129671236561e-30,1.598191852460311e-39,3.236541128219318e-27,4.28252776118356e-29,7.306712051744645e-33,2.0559476476699e-26,1.0293846732760558e-30,1.5356375499599031e-27,9.89492924936904e-27,1.4292363873578913e-27,1.0149788049825147e-31,2.3276500475231712e-36
1.2544730919932337e-17,0.8989609783400427,1.6560605946107953e-19,2.3464076722834753e-20,4.237525349008174e-30,6.994242901578658e-30,0.0,0.0,2.2157699798571168e-16,1.0985945842329139e-29,2.1888384919485633e-39,6.469100135907654e-51,5.232899698782804e-40,2.46209992419988e-63,8.214003138344932e-47,3.0581111803156577e-40,2.3422238657397815e-36,1.2340596977703731e-26,1.2989920457442894e-81,3.195427543809005e-51,9.470281415673802e-81,3.353756106092119e-89,4.059924146642155e-31,1.375683299496029e-69,1.9169851548126157e-43,5.967821493941395e-82,1.3671164658803481e-86,1.7365828740900792e-76,1.9961976708931023e-83,5.2963566190783175e-81,1.5405650753981487e-42,3.9524954684113096e-87,1.186190669990125e-88,5.451965587140708e-88,3.76,0.0,0.7901164290077792,0.9999999999113778,6.8527667359426145e-40,2.3161881305577667e-47,6.245794892680806e-12,6.245794892682721e-12,8.862207167578628e-11,1.3246214188743476e-31,1.2340596977704556e-26,2.2174260406611375e-16,8.874867311616137e-25,1.5856599293689178e-29,1.2785610687581174e-38,1.2946230344203314e-26,1.713019851282776e-28,2.92269968754748e-32,8.223832421095494e-26,4.117559717764915e-30,6.14258142309111e-27,3.957991827535149e-26,5.716974626933482e-27,4.059947590829353e-31,1.8621310858592583e-35
2.508950437720957e-17,0.8989609783410543,3.312126814084904e-19,4.692823336393796e-20,1.6950144538272154e-29,2.797704283226467e-29,0.0,0.0,4.431547472767289e-16,4.3943895120841e-29,1.7510760209232095e-38,1.0350593233280696e-49,4.186332255561002e-39,3.939391103229488e-62,6.571254245883583e-46,2.4464962299319567e-39,1.8737846488724913e-35,4.936251441020265e-26,1.0982950326982571e-79,5.1127072879718655e-50,6.061019036195645e-79,7.174860571938495e-87,1.6239737877418516e-30,4.4022084065143095e-68,1.533593456340514e-42,5.046742411292956e-80,1.1566719240250637e-84,1.4685492047060174e-74,4.472862238880201e-81,4.5111071135899e-79,1.2324557390267148e-41,8.8563213546887e-85,2.657886869033443e-86,1.2216170739513494e-85,3.76,0.0,0.7901164290015332,0.9999999998227552,5.482229665216431e-39,3.705912783484318e-46,1.2491610963869269e-11,1.249161096387693e-11,1.7724444030718978e-10,5.298696769808341e-31,4.936251441020925e-26,4.434859600419016e-16,3.549955952640287e-24,6.342655813974122e-29,1.022851889550128e-37,5.17850529398665e-26,6.852097102396391e-28,1.1690828491280374e-31,3.289541335628743e-25,1.6470281410413114e-29,2.4570388021686648e-26,1.583200754412864e-25,2.2867956659547936e-26,1.623992543147226e-30,1.489709285453247e-34
