Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CF3(1),O2(2),H2O(3),CH4(4),CH2CF2(57),HF(38),O2(161),S(164)
7.480331431070655e-19,0.5617327946829795,0.0,3.5723294727014637e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5015556553335352,0.9999999999997017,0.0,0.0,6.684307501312447e-17,6.684307501312447e-17,2.9837328637263855e-13,3.1399523297713636e-38
1.4967161846877255e-18,0.5617327946829795,0.0,7.147762620008545e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5015556553335351,0.999999999999403,0.0,0.0,1.3374422394024816e-16,1.3374422394024816e-16,5.970058015440615e-13,1.2567992681658674e-37
2.9940822678490453e-18,0.5617327946829797,0.0,1.4298628914618431e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.501555655333535,0.9999999999988057,0.0,0.0,2.6754652179449553e-16,2.6754652179449553e-16,1.1942708294384811e-12,5.0288344581399344e-37
5.988814434171685e-18,0.5617327946829795,0.0,2.860036150382113e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5015556553335347,0.9999999999976112,0.0,0.0,5.351511175029901e-16,5.351511175029901e-16,2.388800875433614e-12,2.0118615042288784e-36
1.1978278766816964e-17,0.5617327946829795,0.0,5.72038266821582e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5015556553335342,0.9999999999952222,0.0,0.0,1.0703603089199785e-15,1.0703603089199785e-15,4.7778609282490585e-12,8.048103083390346e-36
2.395720743210752e-17,0.5617327946829798,0.0,1.1441075703855897e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5015556553335331,0.9999999999904441,0.0,0.0,2.1407786917539536e-15,2.1407786917539536e-15,9.555980877180667e-12,3.219373913625094e-35
4.7915064762688637e-17,0.56173279468298,0.0,2.2882461775026711e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.501555655333531,0.9999999999808878,0.0,0.0,4.281615457421894e-15,4.281615457421894e-15,1.9112220148246794e-11,1.2877771118180298e-34
9.583077942385087e-17,0.5617327946829804,0.0,4.576523391693099e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5015556553335266,0.9999999999617754,0.0,0.0,8.56328898875774e-15,8.56328898875774e-15,3.8224696183191026e-11,5.15117161925564e-34
1.9166220874617535e-16,0.5617327946829814,0.0,9.153077819899018e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5015556553335181,0.9999999999235504,0.0,0.0,1.712663605142928e-14,1.712663605142928e-14,7.644963822433003e-11,2.0604877451686505e-33
3.8332506739082427e-16,0.5617327946829831,0.0,1.83061866756111e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.501555655333501,0.9999999998471005,0.0,0.0,3.425333017677178e-14,3.425333017677178e-14,1.5289948219163126e-10,8.242040879808884e-33
7.666507846801221e-16,0.5617327946829868,0.0,3.661240438423625e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5015556553334667,0.999999999694201,0.0,0.0,6.850671842745444e-14,6.850671842745444e-14,3.05799009666495e-10,3.296875695031687e-32
1.14997650196942e-15,0.5617327946829905,0.0,5.49186220900624e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5015556553334324,0.9999999995413015,0.0,0.0,1.0276010667813475e-13,1.0276010667813475e-13,4.5869837668178844e-10,7.0059565393199e-32
1.9166279365480158e-15,0.5617327946829979,0.0,9.153105749051867e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5015556553333639,0.9999999992355035,0.0,0.0,1.7126688317948605e-13,1.7126688317948605e-13,7.644964688754411e-10,1.9370044718367653e-31
2.5988883543560436e-15,0.5617327946830043,0.0,1.2411329022349507e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5015556553333029,0.9999999989633674,0.0,0.0,2.3223261004097516e-13,2.3223261004097516e-13,1.036632587534514e-09,3.427711255637678e-31
3.2811487721640714e-15,0.5617327946830108,0.0,1.5669552294705643e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.501555655333242,0.9999999986912319,0.0,0.0,2.9319833690245637e-13,2.9319833690245637e-13,1.3087681664540694e-09,5.334396643528461e-31
3.963409189972099e-15,0.5617327946830174,0.0,1.8927775566178295e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.501555655333181,0.9999999984190969,0.0,0.0,3.541640637639302e-13,3.541640637639302e-13,1.5809032388966674e-09,7.631454697918768e-31
5.327930025588155e-15,0.5617327946830304,0.0,2.5444222107113764e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5015556553330591,0.9999999978748279,0.0,0.0,4.760955174868611e-13,4.760955174868611e-13,2.125172231597811e-09,1.3113734895619368e-30
6.69245086120421e-15,0.5617327946830435,0.0,3.196066864478001e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5015556553329372,0.9999999973305608,0.0,0.0,5.980269712097646e-13,5.980269712097646e-13,2.6694393501459982e-09,2.0040817251411472e-30
