Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CF3(1),O2(2),H2O(3),CH4(4),CH2CF2(57),HF(38),O2(161),S(164),CF2O(49),S(125),C2HF(58),S(463),C2HF(468),C2H2F3(68),S(165),S(464),S(130),C2H2F2(59),C2H3F2(65),C2H2F3(67),CF2(43),CHFCF2(55),CF2CH(73),C2HF2(72),S(179),C2H3F2(64),CHF2(82),CHF3(42)
0.0,0.575861526553356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.71095364752083,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1179361841827527e-21,0.575861526553356,9.769992755495017e-28,2.8082391691812e-31,4.258185200547911e-43,7.490273747985266e-43,0.0,0.0,1.2876260834905258e-23,1.8006189325071162e-42,1.509158370589637e-54,1.7558275007303675e-54,2.3393576042713935e-59,6.93656737188165e-77,6.195046804174946e-52,3.657353530838131e-40,3.569572575487135e-58,1.2602547020882788e-39,9.357457101181604e-98,1.828736633297463e-83,6.582809444061078e-94,3.60278081151249e-93,2.7416307642395362e-27,2.3550694481859985e-96,2.990880967587273e-65,1.7944434800537202e-103,2.714231897449313e-119,4.46904237637253e-96,2.8980532345020295e-119,7.851630761528803e-115,9.759799531618615e-64,8.479926914112496e-118,5.26369380754509e-116,1.893407277491453e-131,3.76,0.0,0.71095364752083,0.9999999999999997,2.5080472073390577e-55,3.805759972971307e-74,9.835695044461179e-20,9.835695044461179e-20,3.9370036912717023e-16,9.298719607774911e-44,1.2602547020882782e-39,1.2877237834180805e-23,1.1831764829137916e-41,8.015303958343515e-40,1.877002724794846e-63,1.0202724315045396e-39,1.4564001233114681e-43,6.2131495582073245e-47,6.707825582559674e-44,2.8562899116773696e-42,1.972805265659676e-41,1.4516352516517786e-40,2.7905111135927695e-45,2.5067999471504533e-49,9.322200391136656e-44,5.771288085995196e-49,8.109972040398356e-58,3.740315900627383e-44,2.0598635372055428e-57,2.7416307642399025e-27
3.1302213157117076e-21,0.575861526553356,2.7355979715386397e-27,7.863069673725867e-31,2.571943861138305e-42,4.5241253437882564e-42,0.0,0.0,3.60535303377347e-23,1.0875738352342976e-41,1.791672817563784e-53,2.0845184088668215e-53,2.7772919548383497e-58,8.235092783896003e-76,3.741808269721077e-51,2.209041532625919e-39,4.2377965652573083e-57,7.611938400628137e-39,5.692597798554354e-96,5.749840572948427e-82,3.144687065140782e-92,1.7210916270289074e-91,7.676566139869518e-27,1.4327036745730208e-94,3.550773884733591e-64,8.572274378608251e-102,2.3655573012078908e-117,2.1391488297542743e-94,3.296326515640264e-117,6.058670127952464e-113,1.1586834003958113e-62,6.543728787551578e-116,4.0618492407012944e-114,2.017644794666864e-129,3.76,0.0,0.71095364752083,0.9999999999999989,2.977553644681767e-54,8.513332836122388e-73,2.7539946124491304e-19,2.7539946124491304e-19,1.102361033552166e-15,5.616426643488434e-43,7.611938400628128e-39,3.605626593570623e-23,7.146385956799303e-41,4.8412435908390096e-39,2.2283776348764387e-62,6.162445486287306e-39,8.796656744842432e-43,3.752742333158908e-46,4.0515266518647515e-43,1.7251991066531448e-41,1.1915743804584402e-40,8.767876919976761e-40,1.6854687126102417e-44,1.5141135951429915e-48,5.63060903624649e-43,3.485858004025115e-48,9.765349562705637e-57,2.2591508039789266e-43,1.2441577615205799e-56,7.676566139871728e-27
7.154791578769617e-21,0.575861526553356,6.252795363517053e-27,1.7972730682889227e-30,1.2382802563303816e-41,2.1781716059218496e-41,0.0,0.0,8.240806934339351e-23,5.236199855730686e-41,1.7590749967585584e-52,2.0465925348504764e-52,2.7267646055540425e-57,8.085262928659383e-75,1.8015196106531883e-50,1.0635584067672603e-38,4.1606937991551325e-56,3.664820673694685e-38,2.569910758124216e-94,1.282757801995923e-80,1.63743203520354e-90,8.96168841999332e-90,1.754643689112474e-26,6.4679092339389855e-93,3.486170855862698e-63,4.4635692936210414e-100,2.45594028276878e-115,1.1124850754152296e-92,2.984151869154979e-115,6.6030350819237285e-111,1.1376022334116987e-61,7.13168897933156e-114,4.42681021877223e-112,4.5916968544645745e-127,3.76,0.0,0.71095364752083,0.9999999999999974,2.923379825056851e-53,1.6820911071631303e-71,6.294844828455156e-19,6.294844828455156e-19,2.5196823623865156e-15,2.7040676625177446e-42,3.6648206736946765e-38,8.241432213875699e-23,3.4406772123133065e-40,2.3308503910855839e-38,2.187834376020863e-61,2.9669522308150307e-38,4.2352115586503173e-42,1.8067838915291684e-45,1.9506356794064143e-42,8.306091063157987e-41,5.73691771253827e-40,4.221355311803403e-39,8.114806318330911e-44,7.289870652275279e-48,2.7108958737424645e-42,1.6782905755334275e-47,9.647794284293687e-56,1.0876838639024237e-42,5.9900858890513375e-56,1.754643689113538e-26
1.5203932104885438e-20,0.575861526553356,1.3287190147474428e-26,3.819205270151205e-30,5.407895204810018e-41,9.512647660021209e-41,0.0,0.0,1.7511714735471093e-22,2.286786044284031e-40,1.555881913741575e-51,1.8101879201512152e-51,2.411793563801723e-56,7.151323497702782e-74,7.867709441293027e-50,4.6448389841595875e-38,3.680086547627882e-55,1.600523471674617e-37,9.703494038190913e-93,2.4024633975817944e-79,6.534561411043669e-89,3.576374595590261e-88,3.7286178393616224e-26,2.4421594599452734e-91,3.0834786424336526e-62,1.7812963783970944e-98,1.9650643164438497e-113,4.4377229512083243e-91,2.261721556243305e-113,5.401692681830258e-109,1.0061962925247226e-60,5.834167825660606e-112,3.621407751165218e-110,7.759770141195296e-125,3.76,0.0,0.71095364752083,0.9999999999999946,2.585696349060993e-52,2.993191251960204e-70,1.3376545260467206e-18,1.3376545260467206e-18,5.354325019992647e-15,1.1809373907779435e-41,1.6005234716746093e-37,1.7513043454485812e-22,1.5026341333005157e-39,1.0179436027088925e-37,1.9351147291544737e-60,1.295745988010589e-37,1.849628156667602e-41,7.890699938948686e-45,8.518938489830748e-42,3.62748818783046e-40,2.5054626873877168e-39,1.8435767695977915e-38,3.5439491142660583e-43,3.183735552374895e-47,1.183919449674277e-41,7.329535870516155e-47,8.557239556329527e-55,4.7502011937965763e-42,2.6160294811984477e-55,3.7286178393662676e-26
3.130221315711708e-20,0.575861526553356,2.735597971539139e-26,7.863069673994215e-30,2.2576897934332555e-40,3.971343141253719e-40,0.0,0.0,3.605353033773446e-22,9.546881580152668e-40,1.3078124974162983e-50,1.5215720188897233e-50,2.0272582677476565e-55,6.011118299372324e-73,3.284613815565317e-49,1.9391288420460218e-37,3.093334485380929e-54,6.681870430673729e-37,3.3665928545320344e-91,4.149658068869166e-78,2.322485472258975e-87,1.2710995458048963e-86,7.676566139852334e-26,8.472985663882968e-90,2.5918495925783893e-61,6.331027989175042e-97,1.3987803646619668e-111,1.5769516235758063e-89,1.572660940505152e-111,3.887637454434156e-107,8.457686117542444e-60,4.198894078677543e-110,2.6063541566194604e-108,1.1362016361615e-122,3.76,0.0,0.71095364752083,0.9999999999999889,2.1734335812853107e-51,5.048454540898583e-69,2.7539946124491304e-18,2.7539946124491304e-18,1.1023610334954638e-14,4.930181141333467e-41,6.681870430673662e-37,3.605626593570589e-22,6.273201712408925e-39,4.249714158707127e-37,1.6265805292635788e-59,5.40948443183548e-37,7.721833454353385e-41,3.2942118957842713e-44,3.5564891238551025e-41,1.5144049111715207e-39,1.0459813518526951e-38,7.696570104258023e-38,1.4795289924298027e-42,1.3291949895236076e-46,4.94263064737995e-41,3.0599369443666817e-46,7.202341461944736e-54,1.9831154905124585e-41,1.0921421469052749e-54,7.676566139871728e-26
6.349877526158036e-20,0.575861526553356,5.54935588512341e-26,1.5950798482154012e-29,9.223399472664766e-40,1.622423254969502e-39,0.0,0.0,7.313716154226078e-22,3.9002126325676624e-39,1.0722237000824367e-49,1.2474766705922676e-49,1.6620689911472177e-54,4.928277958276322e-72,1.3418719179645343e-48,7.921974041899753e-37,2.5361025026127456e-53,2.7297620950816932e-36,1.1212159814757295e-89,6.894718944809353e-77,7.822770704561568e-86,4.2814133428469366e-85,1.5572462740803425e-25,2.821857987489092e-88,2.1249548890953806e-60,2.1324791861946695e-95,9.429706806518612e-110,5.311165968258751e-88,1.048655493392447e-109,2.635167254874789e-105,6.9341220712387185e-59,2.8461474941261096e-108,1.766671940909232e-106,1.5536598622278536e-120,3.76,0.0,0.71095364752083,0.9999999999999776,1.78191216326417e-50,8.292101743334605e-68,5.5866747852539505e-18,5.5866747852539505e-18,2.2362180963877536e-14,2.0141398663926295e-40,2.7297620950816387e-36,7.314271089814548e-22,2.5628075890505896e-38,1.7361468985874477e-36,1.3335689917465088e-58,2.2099508975347473e-36,3.1546209235673307e-40,1.3457930469251595e-43,1.4529418524694847e-40,6.186838200291171e-39,4.273175117628932e-38,3.144300020488068e-37,6.044358692511174e-42,5.430588058068671e-46,2.0192258935211676e-40,1.2500840855712212e-45,5.908681580384201e-53,8.101673853393412e-41,4.461767934678429e-54,1.5572462740882647e-25
1.278918994705069e-19,0.575861526553356,1.117687171229548e-25,3.21262561003687e-29,3.7282455366849405e-39,6.55809420000197e-39,0.0,0.0,1.4730442395131173e-21,1.5765283051186982e-38,8.683145515995378e-49,1.0102389508578557e-48,1.3459866335283987e-53,3.9910472648149135e-71,5.424060839244387e-48,3.2021885691879326e-36,2.0538015595530635e-52,1.1034134840440106e-35,3.6598357056901814e-88,1.1240132017241438e-75,2.567511674107809e-84,1.4052027286210198e-83,3.1364255942584263e-25,9.211014460771614e-87,1.7208435625969125e-59,6.999106031489287e-94,6.1920907529413016e-108,1.7431082128688127e-86,6.849721313968822e-108,1.7351124497736774e-103,5.615431832876734e-58,1.8740314306119562e-106,1.1632562091953427e-104,2.05486404875522e-118,3.76,0.0,0.71095364752083,0.9999999999999549,1.4430386690003583e-49,1.344185425714438e-66,1.1252035130863591e-17,1.1252035130863591e-17,4.503932221771898e-14,8.141475391879135e-40,1.1034134840439667e-35,1.4731560082302235e-21,1.0359278032622047e-37,7.017783350073762e-36,1.0799587446272267e-57,8.9329748685783e-36,1.2751482155511284e-39,5.4399106695472495e-43,5.8730232730333376e-40,2.5008189195905476e-38,1.7272857047373432e-37,1.2709763413134171e-36,2.4432264245042323e-41,2.195448101542009e-45,8.162033908054007e-40,5.053039749279533e-45,4.786506210529193e-52,3.27482610616125e-40,1.8035267542195707e-53,3.1364255942904484e-25
2.5667814788836e-19,0.575861526553356,2.2431903366653713e-25,6.447717134437846e-29,1.49911113317414e-38,2.636980834479546e-38,0.0,0.0,2.956389487694069e-21,6.339150976648262e-38,6.98895092779702e-48,8.131281964454473e-48,1.0833671698913659e-52,3.212342051936557e-70,2.180991007550465e-47,1.2875859399210852e-35,1.653078171841314e-51,4.436777090025026e-35,1.1827956590206374e-86,1.8152843231732586e-74,8.320174266314122e-83,4.5536430075473834e-82,6.294784234566057e-25,2.9768407096709684e-85,1.3850846095571502e-58,2.268164033483682e-92,4.01389855739054e-106,5.6485351417058e-85,4.428642279216612e-106,1.1262763196523181e-101,4.5197880711627884e-57,1.2164498551754278e-104,7.550795702138758e-103,2.673434559642065e-116,3.76,0.0,0.71095364752083,0.9999999999999095,1.1614830623308489e-48,2.1647691892069885e-65,2.2582755822082872e-17,2.2582755822082872e-17,9.03936047093845e-14,3.273651462572575e-39,4.436777090024672e-35,2.956613806727667e-21,4.165420135157321e-37,2.821819819713367e-35,8.692447519632691e-57,3.5919099060000146e-35,5.127314893252405e-39,2.1873641546931653e-42,2.36151682754057e-39,1.005568288566678e-37,6.945339849961826e-37,5.110539968851821e-36,9.824105996012624e-41,8.830354237412789e-45,3.281917936497242e-39,2.031805062447737e-44,3.853196851756339e-51,1.3167931740784557e-39,7.251972665440864e-53,6.294784234694815e-25
5.142506447240663e-19,0.575861526553356,4.494196667542659e-25,1.2917900186271955e-28,6.012106140217951e-38,1.057547256641104e-37,0.0,0.0,5.9230799840557026e-21,2.542283067092929e-37,5.608192970700513e-47,6.52484168610574e-47,8.693339375199437e-52,2.57770219036074e-69,8.746749412158881e-47,5.163795505870998e-35,1.3264911256815135e-50,1.7793460532643778e-34,3.803693580820744e-85,2.918016532075978e-73,2.6792286848377117e-81,1.4663456047627251e-80,1.261150151498717e-24,9.573073600835176e-84,1.1114431701859766e-57,7.304249541962735e-91,2.5853146276537907e-104,1.8189006658720023e-83,2.848763172533586e-104,7.259146766818435e-100,3.6268452816568905e-56,7.840339015676543e-103,4.866686274806391e-101,3.449925738407863e-114,3.76,0.0,0.71095364752083,0.9999999999998188,9.320170098594709e-48,3.4749339727499845e-64,4.524419720452143e-17,4.524419720452143e-17,1.8110216962864605e-13,1.3128806661692805e-38,1.7793460532640943e-34,5.9235294037221814e-21,1.6705197771670852e-36,1.1316759566661e-34,6.975141703280505e-56,1.4405165243994391e-34,2.056282598222889e-38,8.772308583366717e-42,9.470738692241746e-39,4.03277858856597e-37,2.7853919177503294e-36,2.04955510199698e-35,3.939905898347646e-40,3.543415521712412e-44,1.316195879901142e-38,8.1484470742193e-44,3.092187734487538e-50,5.2809295781922034e-39,2.9084222662190594e-52,1.2611501515503547e-24
1.0293956383954788e-18,0.575861526553356,8.996209329319793e-25,2.58582663020688e-28,2.4079783558793296e-37,4.235705165081621e-37,0.0,0.0,1.185646097677789e-20,1.0182392746437173e-36,4.4933789516069675e-46,5.227813388035585e-46,6.965250420419338e-51,2.0652985419490125e-68,3.50326204498103e-46,2.0682116237028364e-34,1.0628070993623504e-49,7.126665236466333e-34,1.2201903899003633e-83,4.679704243716611e-72,8.600457622861155e-80,4.707042480349642e-79,2.5244936075052806e-24,3.070955154891708e-82,8.905070454010133e-57,2.3449572836569547e-89,1.659873645680589e-102,5.838733603570319e-82,1.827841081746724e-102,4.6622319697911343e-98,2.905889712208739e-55,5.0355063322844764e-101,3.125659426725365e-99,4.433868603884243e-112,3.76,0.0,0.71095364752083,0.9999999999996374,7.467477735799235e-47,5.568955075728136e-63,9.056707996939855e-17,9.056707996939855e-17,3.62519299210891e-13,5.258370710294868e-38,7.12666523646406e-34,1.1857360597709724e-20,6.690792493559112e-36,4.532606616990477e-34,5.588601369257346e-55,5.769579791863204e-34,8.235855916106957e-38,3.5134990456225163e-41,3.7932353876381587e-38,1.6152149215722307e-36,1.115609619808777e-35,8.2089108306406e-35,1.5780174033969954e-39,1.4208554025136734e-43,5.271648760847695e-38,3.2636290585646486e-43,2.477608988545007e-49,2.115126349515439e-38,1.1649314907640825e-51,2.5244936077121007e-24
2.059685625738304e-18,0.575861526553356,1.80002346529643e-24,5.173899858217698e-28,9.638188811275607e-37,1.695385923710033e-36,0.0,0.0,2.3723222962217946e-20,4.075610706707206e-36,3.597435327793274e-45,4.185429444472725e-45,5.576435530607757e-50,1.6534946232784437e-67,1.4022177943092445e-45,8.278236409218298e-34,8.50891911705249e-49,2.852523360090718e-33,3.9094298464885446e-82,7.496240439742962e-71,2.756461718905683e-78,1.5086153522336213e-77,5.051180519207773e-24,9.839188899815308e-81,7.129471042625882e-56,7.517275055332985e-88,1.0640091551592574e-100,1.8713198312579156e-80,1.1713030612107717e-100,2.9890798511371467e-96,2.3264786773193282e-54,3.2283959030290282e-99,2.0039426863629364e-97,5.686877038732832e-110,3.76,0.0,0.7109536475208299,0.9999999999992746,5.978522734458088e-46,8.917583937562195e-62,1.812128454991528e-16,1.812128454991528e-16,7.253535573502688e-13,2.104718732264161e-37,2.852523360088898e-33,2.3725022985678845e-20,2.678060668270045e-35,1.8142238780743336e-33,4.4742792042871714e-54,2.309335512609739e-33,3.2964887005503725e-37,1.406315262857847e-40,1.5182827004625675e-37,6.465069057883855e-36,4.4653458418016336e-35,3.2857036361636366e-34,6.316182046053849e-39,5.700260685626531e-43,2.1100333356447845e-37,1.3063021668768576e-42,1.983632050970155e-48,8.466017576384424e-38,4.663126573756858e-51,5.05118052003559e-24
