Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CF3(1),O2(2),H2O(3),CH4(4),CH2CF2(57),HF(38),O2(161),S(164),CF2O(49),S(125),C2HF(58),S(463),C2HF(468),C2H2F3(68),S(165),S(464),S(130),C2H2F2(59),C2H3F2(65),C2H2F3(67),CF2(43),CHFCF2(55),CF2CH(73),C2HF2(72),S(179),C2H3F2(64),CHF2(82),CHF3(42),S(1244),S(1385),CF2O2(181),CF2O2(276),CH2F2(41),S(203),S(1542),CHO2(322),C2F(467),S(174),S(413),S(1894),C2H3F2(66),C2HF4(54),CHFO(47),S(2753),S(512)
0.0,0.7338319129790934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7915886435722144,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.1379645712562305e-22,0.7338319129790934,5.828283162624358e-26,5.583387921429094e-28,1.3766802009090033e-41,2.7488953957643295e-41,0.0,0.0,1.8870651812303284e-22,4.651448779606991e-41,2.6460760037085205e-53,3.0776822022682737e-53,4.880066028741744e-57,9.816450219878401e-70,8.713082799004768e-47,3.939476168766138e-38,2.9251663737254886e-54,5.044607629526591e-38,1.0475757582735143e-93,1.4654186257091443e-76,2.790565417062062e-90,1.650067622663202e-89,1.926986791844862e-24,1.4386091858436924e-77,1.983242768883556e-61,1.4539528536312067e-97,1.3911486427086995e-112,3.591717277529439e-92,2.7525940062330264e-113,8.440710876176744e-110,2.920561116853681e-60,3.462056143962739e-114,1.3379078906767252e-112,1.457706759639758e-126,3.76,0.0,0.7915886435722144,0.9999999999999996,4.3853586972098e-54,2.8211078634149716e-70,3.502912390607763e-18,3.502912390607763e-18,4.44382109461301e-16,1.403253090406652e-42,5.044607629526589e-38,1.8876480095465908e-22,8.520871987859615e-38,7.792227924759226e-40,7.43578888493683e-58,4.585741876459142e-38,9.164252985442144e-41,2.0008160693557366e-44,5.576267050105897e-40,1.416206755010573e-38,1.8708119085618267e-38,1.364349945080225e-38,3.219451784145377e-41,5.097704585481978e-47,5.033218699082704e-41,1.6499142855167174e-44,8.828444093133427e-56,5.998977220980533e-41,1.913864016183986e-51,1.926986791844901e-24,3.3912993264622766e-72,2.3983400528667074e-76,6.915019467850642e-55,3.8104456684856863e-60,1.0906601295447613e-61,8.038173418756503e-55,1.629816235197683e-76,1.6212961467503923e-72,3.909904842957053e-63,3.2479948438499004e-56,1.1058025374084741e-63,4.075588085484404e-77,5.966328673830036e-55,4.280327295219503e-66,7.227151383713471e-78,5.100284248064339e-83,7.406148110810222e-49
5.986300799517446e-22,0.7338319129790936,1.6319192855348515e-25,1.563348618000486e-27,8.315148413503424e-41,1.660332819042577e-40,0.0,0.0,5.283782507444917e-22,2.8094750628826198e-40,3.1414214351367317e-52,3.653824310532817e-52,5.794881568691363e-56,1.1654089701039195e-68,5.26270201059874e-46,2.379443605934694e-37,3.472757519989463e-53,3.0469430082355684e-37,6.372914768305807e-92,4.607510626209647e-75,1.3330865865155156e-88,7.88257104157657e-88,5.3955630171654854e-24,3.21811120436628e-76,2.3545058152289307e-60,6.945707256514117e-96,1.217813092389424e-110,2.0673244878612024e-90,3.1308770846848563e-111,6.513288266511389e-108,3.4672901579302395e-59,2.6804127002885596e-112,1.0358425050615474e-110,1.558439660786137e-124,3.76,0.0,0.7915886435722144,0.9999999999999988,5.206297847021753e-53,6.310705448059109e-69,9.808154693701737e-18,9.808154693701737e-18,1.2442699064908393e-15,8.475648667356745e-42,3.0469430082355668e-37,5.285414426730449e-22,5.146606680667206e-37,4.706505666554251e-39,8.827768564196985e-57,2.7697880933812663e-37,5.535208803213006e-40,1.2084929058909193e-43,3.368065298263556e-39,8.553888800263901e-38,1.1299703927713354e-37,8.240673668284557e-38,1.9445488776239782e-40,3.0790252121015313e-46,3.040064094245947e-40,9.965482284530922e-44,1.181569564029813e-54,3.6233822414721693e-40,1.15597386939859e-50,5.395563017165722e-24,8.508973728341158e-71,6.017579262977398e-75,4.1766730476437723e-54,4.523761097624629e-59,1.648205532400796e-60,9.543042682977782e-54,4.089306838562046e-75,4.048970128741401e-71,4.641839029558612e-62,4.9083660902093755e-55,1.3129239232425813e-62,9.294807724629143e-76,7.083225401570904e-54,5.081606941863051e-65,1.6170226500253393e-76,1.14091369497289e-81,4.473325957525506e-48
1.3682973256039877e-21,0.7338319129790934,3.7301012240798097e-25,3.573368269717001e-27,4.003386024262954e-40,7.99378781089651e-40,0.0,0.0,1.2077217159874084e-21,1.3526413051097108e-39,3.084266194940788e-51,3.587346374963661e-51,5.6900043578099036e-55,1.1442054376288891e-67,2.5337644779503768e-45,1.1455996698771134e-36,3.409573926780032e-52,1.4669718986685517e-36,2.8770383610910963e-90,1.0279102748268154e-73,6.94135421822589e-87,4.104438399078819e-86,1.2332715467806222e-23,6.358445441714864e-75,2.3116677714427716e-59,3.616615369065395e-94,1.260434733405975e-108,9.630927603017588e-89,2.834371127599973e-109,7.09846569809891e-106,3.404206037809368e-58,2.921743557877133e-110,1.1291045986663478e-108,3.5473093378270495e-122,3.76,0.0,0.7915886435722144,0.9999999999999972,5.111574099873539e-52,1.2468890522389886e-67,2.2418639299889685e-17,2.2418639299889685e-17,2.8440455005467017e-15,4.0806599888160607e-41,1.4669718986685502e-36,1.2080947261098152e-21,2.4778695740695753e-36,2.2659798805195028e-38,8.667155524282316e-56,1.3335337376742362e-36,2.6649647681753317e-39,5.818373129687289e-43,1.6215784581701867e-38,4.118329243570806e-37,5.440321030097673e-37,3.967529640293297e-37,9.362165788297319e-40,1.482429957163785e-45,1.4636599976932408e-39,4.7979507422975366e-43,1.2185519309310013e-53,1.7445025758610303e-39,5.56551661239334e-50,1.2332715467807363e-23,1.7702006669683048e-69,1.251892785774413e-73,2.0108895948437506e-53,4.441455471182028e-58,1.773064280777468e-59,9.369469881228533e-53,8.507364018460436e-74,8.407148943870409e-70,4.557385084950733e-61,5.280194978444204e-54,1.289086951783987e-61,1.852230800181306e-74,6.95435270221594e-53,4.989156863941065e-64,3.1952899552606173e-75,2.254255405403967e-80,2.1537266185178102e-47
2.9076318169084737e-21,0.7338319129790936,7.926465101170231e-25,7.593407573155469e-27,1.748383855174659e-39,3.491097152635e-39,0.0,0.0,2.5664086464732374e-21,5.907339950100856e-39,2.7279985218365877e-50,3.172967243249997e-50,5.0329649395025153e-54,1.0120367518682953e-66,1.1065615154733892e-44,5.0031347343321725e-36,3.015729526232581e-51,6.406651689521501e-36,1.0863149431563247e-88,1.925162183716518e-72,2.7701122513584646e-85,1.6379736196692685e-84,2.620702036908565e-23,1.1314513933115683e-73,2.044643965075538e-58,1.4432962546478539e-92,1.0074353628847386e-106,3.6846195607542697e-87,2.1482010840415163e-107,5.806975223565378e-104,3.010981689041286e-57,2.3902968489707236e-108,9.237276188608291e-107,5.995182737849639e-120,3.76,0.0,0.7915886435722144,0.999999999999994,4.5211294048979935e-51,2.2187724475825584e-66,4.763960851226558e-17,4.763960851226558e-17,6.043596688645569e-15,1.7821314267763255e-40,6.406651689521489e-36,2.567201292983349e-21,1.0821507424581707e-35,9.896129464439252e-38,7.666000908814361e-55,5.823892183102259e-36,1.1638601291601207e-38,2.5410364080826127e-42,7.081859153628206e-38,1.798582578863489e-36,2.3759311238733962e-36,1.7327244302518883e-36,4.0887037658672775e-39,6.474265281853579e-45,6.392187747834938e-39,2.0953911426216498e-42,1.1010203264725432e-52,7.618701070644149e-39,2.4306073551848886e-49,2.6207020369090648e-23,3.222177747463733e-68,2.278736615458917e-72,8.78209470462818e-53,3.928417066371741e-57,1.629751539202894e-58,8.287211444127969e-52,1.5485385098591381e-72,1.5290408551746789e-68,4.030955496894986e-60,4.853408418771694e-53,1.1402028496562436e-60,3.3088018911585295e-73,6.1510462095710795e-52,4.4128617024092343e-63,5.686112050957104e-74,4.0113349310349943e-79,9.406001828969024e-47
5.986300799517446e-21,0.7338319129790934,1.6319192855353095e-24,1.563348618005418e-26,7.299158425401563e-39,1.4574643388471198e-38,0.0,0.0,5.2837825074448776e-21,2.4661981429476067e-38,2.293047132088735e-49,2.6670701535695392e-49,4.230597724456348e-53,8.506778697337881e-66,4.619676500030383e-44,2.088710264679066e-35,2.5349023782096517e-50,2.6746509651953723e-35,3.768931182329877e-87,3.325238918346675e-71,9.845412806809515e-84,5.82161478994163e-83,5.395563017163633e-23,1.9083581512391833e-72,1.718646451752323e-57,5.129700946674394e-91,7.16816646329123e-105,1.2859397913956686e-85,1.493725844028484e-105,4.1793189759445706e-102,2.5309115349052607e-56,1.7203562564593282e-106,6.6482981182451545e-105,8.778521839669801e-118,3.76,0.0,0.7915886435722144,0.9999999999999876,3.800281683415791e-50,3.742284035566256e-65,9.808154693701737e-17,9.808154693701737e-17,1.2442699064791873e-14,7.440047902900295e-40,2.674650965195361e-35,5.2854144267303905e-21,4.517766327963168e-35,4.131439245702873e-37,6.443735675063894e-54,2.431360342897872e-35,4.858886932961802e-38,1.060832679973153e-41,2.956536789960493e-37,7.50872821506661e-36,9.919044739193698e-36,7.233783408815378e-36,1.706953335956264e-38,2.702965383684865e-44,2.6686125542535656e-38,8.747845541948406e-42,9.346822815193487e-52,3.1806577225628655e-38,1.0147307503445274e-48,5.395563017165722e-23,5.492431003713182e-67,3.884268534186463e-71,3.666361304266106e-52,3.3020712491603863e-56,1.3942867513206692e-57,6.965909061407486e-51,2.639593960527413e-71,2.605376466098957e-67,3.388260978429066e-59,4.152192907056048e-52,9.584171427860194e-60,5.591240263004317e-72,5.1703249674809974e-51,3.7092912232930116e-62,9.590670502277225e-73,6.765729268523561e-78,3.926914083767616e-46
1.214363876473539e-20,0.7338319129790934,3.31046483637269e-24,3.171364339393866e-26,2.981944382531055e-38,5.954217383150355e-38,0.0,0.0,1.0718530229388084e-20,1.0075224114579762e-37,1.8799785790550783e-48,2.186625249487035e-48,3.468534409947107e-52,6.974371133993874e-65,1.8872885865939835e-43,8.533062960587943e-35,2.0782661220371948e-49,1.092682191003192e-34,1.2552114430058013e-85,5.52493419598728e-70,3.31620618512489e-82,1.9608801939177113e-81,1.0945284977670505e-22,3.134483993873823e-71,1.4090501974990151e-56,1.727824557662751e-89,4.831431777991867e-103,4.294749606705757e-84,9.960213132042996e-104,2.832877452239082e-100,2.074994187565154e-55,1.1661272013952938e-104,4.506485960474208e-103,1.2004050504362273e-115,3.76,0.0,0.7915886435722143,0.9999999999999748,3.115700527458671e-49,6.146712765888041e-64,1.9896542378652092e-16,1.9896542378652092e-16,2.5240903816878755e-14,3.039502338784604e-39,1.0926821910031823e-34,1.0721840694224368e-20,1.8456549560583437e-34,1.687827737410764e-36,5.282963820528692e-53,9.932900334079083e-35,1.9850138537266214e-37,4.333847638873563e-41,1.207841748116351e-36,3.0675604796235693e-35,4.052253426420322e-35,2.955236555041592e-35,6.973461342550446e-38,1.1043207132518357e-43,1.090215303096039e-37,3.573780339118121e-41,7.699733802473929e-51,1.2994024619724099e-37,4.145506427330603e-48,1.094528497767903e-22,9.067488573121247e-66,6.412563130020467e-70,1.497836101922732e-51,2.7072375127870776e-55,1.1528232478273805e-56,5.711076493795148e-50,4.3577221194656536e-70,4.300455502775149e-66,2.777901060222003e-58,3.43311332185579e-51,7.857714405261822e-59,9.192089525209263e-71,4.2389447862168605e-50,3.0411257602640426e-61,1.575287405293988e-71,1.1112818021183081e-76,1.604348926312848e-45
2.4458314695171277e-20,0.7338319129790934,6.667555938050684e-24,6.387395782205588e-26,1.20534959667225e-37,2.4067898660603166e-37,0.0,0.0,2.158802567327422e-20,4.072566676087206e-37,1.522455395092583e-47,1.7707858191212995e-47,2.808922972678386e-51,5.648026567083364e-64,7.628722218489495e-43,3.4492004806057045e-34,1.6830337883253187e-48,4.416796120958205e-34,4.0972192096386813e-84,9.007037160849373e-69,1.0884120749120322e-80,6.435805138078209e-80,2.204472889867117e-22,5.08113362822786e-70,1.1410853822021126e-55,5.670893218005188e-88,3.17231828969714e-101,1.4037977930813885e-82,6.50591971298257e-102,1.8652933916788795e-98,1.6803840909726947e-54,7.678349326303241e-103,2.9672898016032474e-101,1.5876611835402827e-113,3.76,0.0,0.791588643572214,0.9999999999999492,2.523175067145032e-48,9.964086273413203e-63,4.00733177485528e-16,4.00733177485528e-16,5.083731332022964e-14,1.2286154489940626e-38,4.416796120958128e-34,2.1594693229211907e-20,7.460432427226508e-34,6.822469575035968e-36,4.2782810719504485e-52,4.015037128444723e-34,8.023743373455951e-37,1.7518105078974232e-40,4.882289463146741e-36,1.239956991936382e-34,1.6379856249167193e-34,1.1945538657151192e-34,2.8187845707215276e-37,4.464416178622956e-43,4.406824565543881e-37,1.4445791529522355e-40,6.250061801218446e-50,5.25239250786801e-37,1.6756801516129036e-47,2.2044728898705634e-22,1.4735684248686527e-64,1.0421133122620156e-68,6.05455670383207e-51,2.1923911277008654e-54,9.374567191279295e-56,4.624979163758392e-49,7.08178639287314e-69,6.98810398438197e-65,2.2496163005163456e-57,2.791750710196518e-50,6.363393463083078e-58,1.4907582232848705e-69,3.43280738994176e-49,2.462822508876422e-60,2.5536222735285437e-70,1.8014640198028969e-75,6.485652467230837e-45
4.9087666556043054e-20,0.7338319129790936,1.3381738141419607e-23,1.2819458667968338e-25,4.8466577155364605e-37,9.677596197331308e-37,0.0,0.0,4.3327016561045343e-20,1.6375611486556496e-36,1.2254045526101088e-46,1.425282482111276e-46,2.2608711234195125e-50,4.5460231483828935e-63,3.0674756517098486e-42,1.3869083431146164e-33,1.3546520134788372e-47,1.7759742945200337e-33,1.3241504496535033e-82,1.4546389073785346e-67,3.5270640551595916e-79,2.0855609278636798e-78,4.42436167406202e-22,8.183009065875726e-69,9.184447880610688e-55,1.837686680294255e-86,2.0563036576161736e-99,4.539900288255554e-81,4.2063596496285074e-100,1.2107777762041399e-96,1.3525193065672734e-53,4.9840963621197323e-101,1.926098656458279e-99,2.0655975258839824e-111,3.76,0.0,0.7915886435722136,0.999999999999898,2.030870805314242e-47,1.6046853767720537e-61,8.042686848835417e-16,8.042686848835417e-16,1.0203013232363988e-13,4.940208733762217e-38,1.7759742945199718e-33,4.3340398299185296e-20,2.9998070668139273e-33,2.74328500979794e-35,3.4435328087465524e-51,1.6144287705706274e-33,3.22631192098926e-36,7.0439530048513646e-40,1.9631471200260415e-35,4.985812529288043e-34,6.586268156561997e-34,4.803248555652885e-34,1.1334208784289897e-36,1.7955847575547902e-42,1.771964775886389e-36,5.808589239516916e-40,5.036432476953741e-49,2.1119639265493586e-36,6.737837579695343e-47,4.424361674075878e-22,2.3760867828254271e-63,1.6803777996743275e-67,2.4345618463121345e-50,1.764627113248371e-53,7.560928055266386e-55,3.722586134100124e-48,1.1419177258577122e-67,1.1267624325487655e-63,1.8106869108504325e-56,2.251648074900719e-49,5.121817699937232e-57,2.4013665492388483e-68,2.7630220349154114e-48,1.9823582421104703e-59,4.112540747706884e-69,2.9012935179014822e-74,2.6083490001234356e-44
9.834637027778661e-20,0.7338319129790939,2.681010254820917e-23,2.5683584440051065e-25,1.9437265164105067e-36,3.8811489164930146e-36,0.0,0.0,8.680499833658303e-20,6.567352623233546e-36,9.833099801898294e-46,1.1436994307355352e-45,1.8142089080802688e-49,3.6478972780204254e-62,1.2301949325329636e-41,5.5621227657902496e-33,1.0870229278138533e-46,7.122451245406338e-33,4.258269403636517e-81,2.338289559248101e-66,1.1357708249396541e-77,6.7158384947224694e-77,8.864139242430911e-22,1.3135541814629042e-67,7.369941012362562e-54,5.917643979709671e-85,1.324418054245531e-97,1.4604545788146832e-79,2.7057779573716e-98,7.803780517042547e-95,1.085311564894566e-52,3.212385594961501e-99,1.2414229442458252e-97,2.6655485420737613e-109,3.76,0.0,0.7915886435722128,0.9999999999997956,1.6296459214897674e-46,2.575875413924745e-60,1.6113396996795688e-15,1.6113396996795688e-15,2.0441577031729426e-13,1.9812446984407928e-37,7.12245124540584e-33,8.683180843912538e-20,1.2030568034427047e-32,1.100179985339665e-34,2.7632182128970863e-50,6.474581440886609e-33,1.2938953808271152e-35,2.824940203460545e-39,7.873097990184938e-35,1.9995338201614114e-33,2.6413881088219513e-33,1.926317501359219e-33,4.5455246574326794e-36,7.204808826424871e-42,7.106371281918868e-36,2.3295040808667742e-39,4.043753844743484e-48,8.469919944392997e-36,2.7021753408289137e-46,8.864139242486487e-22,3.8165051715254434e-62,2.699047277572269e-66,9.764092756200461e-50,1.41600212597947e-52,6.07334859441367e-54,2.987141147769981e-47,1.8341648702987487e-66,1.8097828567365947e-62,1.452962212878832e-55,1.8086461791325054e-48,4.109938157289866e-56,3.8551627977075375e-67,2.217151173965007e-47,1.590821040884302e-58,6.601547328729805e-68,4.6575115891067793e-73,1.0464629833378534e-43
