Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CF3(1),O2(2),H2O(3),CH4(4),CH2CF2(57),HF(38),O2(161),S(164),CF2O(49),S(125),C2HF(58),S(463),C2HF(468),C2H2F3(68),S(165),S(464),C2H2F2(59),S(162),S(130),C2H3F2(65),C2H2F3(67),CF2(43),CHFCF2(55),CF2CH(73),C2HF2(72),S(179),C2H3F2(64),CHF2(82),S(1228),CHF3(42),S(1335),CF2O2(181)
0.0,0.6588211302498367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7997605857621003,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.321844879128253e-22,0.6588211302498367,1.1783309415408512e-26,1.7548720850392188e-29,3.451679103266025e-42,6.909157990583218e-42,0.0,0.0,5.709311197764758e-23,1.0780853809325316e-41,7.099672203914632e-54,8.259786412198346e-54,4.136888091019184e-58,5.858520115404826e-73,4.308870486390362e-49,4.8703767304854773e-39,5.441216274153187e-56,9.656409413657862e-39,1.540425884040418e-95,1.1564483443166799e-79,6.426406586230906e-92,3.669572035967033e-91,1.0681482469667224e-25,8.498252008961233e-95,3.822556951298665e-63,3.1581753765183664e-100,1.1163618521038569e-116,3.429748824534118e-94,6.217195742911744e-116,4.772987205234246e-112,8.104564008046008e-62,7.341244838634277e-116,3.583201060078597e-114,9.406502746014274e-129,3.76,0.0,0.7997605857621003,0.9999999999999997,1.1805686282449823e-54,5.410026503460564e-72,7.406388291666913e-19,7.406388291666913e-19,4.062005698024798e-16,4.366497097896307e-43,9.656409413657858e-39,5.710489528706295e-23,1.570099127699384e-39,7.746426867095556e-40,2.2162992330229262e-60,8.328880035177934e-39,5.009122502198081e-42,1.483365475659066e-45,3.260623984829934e-40,7.846309978222166e-45,9.69468384681251e-42,9.160286354043048e-40,1.8054128084333437e-39,4.990967693062553e-43,4.4437103196374274e-48,3.065608650158104e-42,1.7758807012469046e-46,9.214083628700618e-57,2.301916893027615e-42,4.1832474781484976e-54,9.411301264813227e-73,1.068148246966771e-25,5.8355215667582495e-77,7.889563192493445e-57
1.2101165661559109e-21,0.6588211302498367,3.299326636314424e-26,4.913641838112553e-29,2.0848141783761543e-41,4.173131426314709e-41,0.0,0.0,1.5986071353741313e-22,6.511635700832487e-41,8.428730840487078e-53,9.806018428561433e-53,4.9114593315489693e-57,6.955235081008046e-72,2.6025577737796327e-48,2.9417075452130844e-38,6.45981196369842e-55,5.832471285854521e-38,9.371162380449094e-94,3.636058626266706e-78,3.069971543121363e-90,1.7529985964457584e-89,2.990815091506665e-25,5.169901437412516e-93,4.538139612599287e-62,1.5086982793079453e-98,1.0131133022702079e-114,1.7215385463465438e-92,7.071611623976452e-114,3.683050783663133e-110,9.621738390359928e-61,5.667397626357557e-114,2.7662100405331463e-112,1.0027847751706639e-126,3.76,0.0,0.7997605857621003,0.9999999999999988,1.4015710756857596e-53,1.2102012892593814e-70,2.0737887216667357e-18,2.0737887216667357e-18,1.1373615954454135e-15,2.637364247390304e-42,5.832471285854517e-38,1.5989370680377615e-22,9.483398731304282e-39,4.6788418277253485e-39,2.631190449444813e-59,5.030643541247381e-38,3.0255099913337197e-41,8.95952747298189e-45,1.9694168868372908e-39,4.739171226856861e-44,5.855589043473693e-41,5.532812957841983e-39,1.0904693362937411e-38,3.0145444866101004e-42,2.684010195658698e-47,1.8516276246954892e-41,1.0726319435573491e-45,1.1515587432174707e-55,1.3903578033886638e-41,2.5266815177064833e-53,2.211284947253144e-71,2.9908150915069592e-25,1.3711176209168788e-75,4.765296168289371e-56
2.765980722642082e-21,0.6588211302498367,7.541318025861733e-26,1.1231181344270174e-28,1.0037482832349727e-40,2.0091831436652693e-40,0.0,0.0,3.65395916656944e-22,3.135072287751797e-40,8.275377920881727e-52,9.627607042057015e-52,4.8221637805436485e-56,6.828691046514115e-71,1.2530195374420979e-47,1.4163055532249615e-37,6.342281693446647e-54,2.8080838574993165e-37,4.230590649451686e-92,8.111846775895261e-77,1.5985278177899494e-88,9.127827348249849e-88,6.836148780585919e-25,2.333940635656819e-91,4.4555723824878e-61,7.855760719120196e-97,1.0253658318414642e-112,8.696011067175021e-91,6.401903131210001e-112,4.013968909351986e-108,9.446679807801874e-60,6.176750321765965e-112,3.0148208903568985e-110,2.2821616309867755e-124,3.76,0.0,0.7997605857621003,0.9999999999999973,1.3760707934135966e-52,2.3911538117392205e-69,4.740088506666825e-18,4.740088506666825e-18,2.5996836467251605e-15,1.26977735645208e-41,2.808083857499312e-37,3.6547132983720223e-22,4.56584826334981e-38,2.2526609329508373e-38,2.5833183860115095e-58,2.4220383142296056e-37,1.4566528236481462e-40,4.313626803218231e-44,9.481894547885604e-39,2.281706941682697e-43,2.8192140626514834e-40,2.663811271755687e-38,5.250140446924186e-38,1.451373405143069e-41,1.292244704847102e-46,8.914789954659675e-41,5.164261079289282e-45,1.1558746712024521e-54,6.693974324924065e-41,1.2164884268343808e-52,4.471342264894056e-70,6.836148780587335e-25,2.772476779241546e-74,2.294284976411647e-55
5.877709035614424e-21,0.6588211302498367,1.6025300804957e-25,2.3866260356629254e-28,4.3836324612017135e-40,8.774630648078607e-40,0.0,0.0,7.764663228960043e-22,1.3691684337843104e-39,7.319478055345358e-51,8.515509399517113e-51,4.2651746258808194e-55,6.039899898174078e-70,5.472265517713487e-47,6.185378447714329e-37,5.609676334324822e-53,1.2263639955423432e-36,1.5973905325402118e-90,1.519259125577586e-75,6.379304892076525e-87,3.6426762805555384e-86,1.45268161587419e-24,8.81251575480678e-90,3.9409033146242196e-60,3.1350279278254875e-95,8.128143663191893e-111,3.4327987385815046e-89,4.8520728668358586e-110,3.2836757963030066e-106,8.355481309783898e-59,5.0530023744087376e-110,2.4663287851618713e-108,3.85678604570368e-122,3.76,0.0,0.7997605857621003,0.9999999999999944,1.2171190333088944e-51,4.254930449555408e-68,1.0072688076667e-17,1.0072688076667e-17,5.5243277492601755e-15,5.545451318259289e-41,1.2263639955423395e-36,7.766265759040527e-22,1.9940258921782182e-37,9.837962121205672e-38,2.2849158572772868e-57,1.0577677644674562e-36,6.361585577883175e-40,1.883874154088721e-43,4.140992460734178e-38,9.964813672502814e-43,1.2312248485435404e-39,1.1633563669634342e-37,2.292874266710371e-37,6.338528970194389e-41,5.6436541262037595e-46,3.893322985700697e-40,2.255368490648962e-44,1.0323928765725058e-53,2.923434454144823e-40,5.312724913747028e-52,8.039463273145652e-69,1.4526816158748087e-24,4.9849069746583095e-73,1.0019745254821673e-54
1.2101165661559109e-20,0.6588211302498367,3.299326636315013e-25,4.913641838152272e-28,1.8300802606001208e-39,3.6632355666413497e-39,0.0,0.0,1.5986071353741202e-21,5.7160086897042426e-39,6.152462337152655e-50,7.157798748223235e-50,3.5851463284597856e-54,5.076899795681296e-69,2.2845631318821246e-46,2.5822737425013947e-36,4.715270967563717e-52,5.119828271191256e-36,5.542089820005623e-89,2.6241423263732914e-74,2.2673048737346064e-85,1.2946642030855478e-84,2.990815091504377e-24,3.0574710979717717e-88,3.3125666932896617e-59,1.1142380602622557e-93,5.763503042930724e-109,1.2144833963462843e-87,3.3738306380858993e-108,2.3632853191211605e-104,7.023285496436657e-58,3.6366946390477836e-108,1.7750406602776684e-106,5.6472064913079175e-120,3.76,0.0,0.7997605857621003,0.9999999999999886,1.0230618844351893e-50,7.176562117222568e-67,2.073788721666736e-17,2.073788721666736e-17,1.1373615954232285e-14,2.3151167648273706e-40,5.1198282711912244e-36,1.5989370680377464e-21,8.324665575062138e-37,4.107155524928946e-37,1.920609454549887e-56,4.4159721946500676e-36,2.6558367507475265e-39,7.864803751959663e-43,1.7287828367569776e-37,4.160113550597355e-42,5.140121375565155e-39,4.856783824913328e-37,9.572298710313807e-37,2.6462110708662187e-40,2.3561830297095683e-45,1.6253857063137408e-39,9.41571947859963e-44,8.717670806791989e-53,1.2204763366830184e-39,2.2179583654261504e-51,1.3626085415550961e-67,2.990815091506959e-24,8.448918281910591e-72,4.1830464049786444e-54
2.4548078913448478e-20,0.6588211302498367,6.692919747954678e-25,9.967673443201085e-28,7.476475005248755e-39,1.4965512574211812e-38,0.0,0.0,3.2428887603303334e-21,2.3351760585150685e-38,5.0441603401114215e-49,5.868395869774009e-49,2.9393235685416405e-53,4.162349185859625e-68,9.333185828323659e-46,1.0549430813283786e-35,3.8658640239639794e-51,2.0916169046949708e-35,1.8457473016424192e-87,4.3600517226368056e-73,7.636907251503631e-84,4.360785598505736e-83,6.06708204276071e-24,1.0182655301987853e-86,2.715842312189341e-58,3.753060878866295e-92,3.878537482264862e-107,4.082049770290372e-86,2.2496813803821234e-106,1.6019117419624068e-102,5.75811377909285e-57,2.4650739806147074e-106,1.2031822796259707e-104,7.722091562420634e-118,3.76,0.0,0.7997605857621003,0.9999999999999769,8.3876794366154795e-50,1.1787524827674885e-65,4.2068285496668064e-17,4.2068285496668064e-17,2.3072192363784828e-14,9.45800740369071e-40,2.091616904694945e-35,3.243558052305107e-21,3.400897514561975e-36,1.6779070451160325e-36,1.5746316691756344e-55,1.8040687311386024e-35,1.0849959705354845e-38,3.2130289549094867e-42,7.062641976102272e-37,1.6995421266444609e-41,2.0999072999424137e-38,1.9841546654308897e-36,3.910596359579145e-36,1.0810635661918916e-39,9.626336495160862e-45,6.640230960587733e-39,3.846628634627144e-43,7.163105920032326e-52,4.9860440669716455e-39,9.061086035843488e-51,2.2433911288807943e-66,6.0670820427712585e-24,1.3910252096777864e-70,1.7089109460162515e-53
4.9441905417227214e-20,0.6588211302498367,1.3480105971238168e-24,2.0075736653579208e-27,3.0221107358439587e-38,6.04929946057683e-38,0.0,0.0,6.531452010242681e-21,9.439154991046893e-38,4.0848918221040637e-48,4.75237912377297e-48,2.3803420298411644e-52,3.370778286889797e-67,3.7726229366038603e-45,4.2642486056091317e-35,3.130676915932048e-50,8.454649949794326e-35,6.02482660778519e-86,7.10798472813156e-72,2.5065094277889883e-82,1.4312534976856712e-81,1.221961594525722e-23,3.323788286024199e-85,2.199359517670475e-57,1.2317923042820944e-90,2.5447175915810217e-105,1.338402612318041e-84,1.469471206266763e-104,1.054770622909738e-100,4.663069827615631e-56,1.623116669144722e-104,7.922298597831411e-103,1.0213214575175806e-115,3.76,0.0,0.7997605857621003,0.9999999999999535,6.792560273065053e-49,1.9108085704802476e-64,8.472908205666949e-17,8.472908205666949e-17,4.646934518132319e-14,3.8230778255262834e-39,8.454649949794119e-35,6.5328000208397165e-21,1.3746971510589408e-35,6.782368550596132e-36,1.2751775507812847e-54,7.292334257031096e-35,4.385727189124578e-38,1.2987576754929627e-41,2.8548328086709006e-36,6.869821009811868e-41,8.488161052605656e-38,8.020270396707619e-36,1.580725573598349e-35,4.369831781756547e-39,3.891571875116681e-44,2.684087522428028e-38,1.554868796625216e-42,5.80718478818392e-51,2.0154387318549876e-38,3.6626377991046076e-50,3.6408723918054766e-65,1.2219615945299856e-23,2.257540032591534e-69,6.907691276275817e-53
9.922955842478469e-20,0.6588211302498367,2.7054478417821775e-24,4.02918630754574e-27,1.2151774352950459e-37,2.432396707409565e-37,0.0,0.0,1.3108578510067065e-20,3.795442706987995e-37,3.287876315975795e-47,3.825128166440061e-47,1.9159069886566723e-51,2.71309561635691e-66,1.5169550902041148e-44,1.714635609463005e-34,2.519841144690871e-49,3.3995775601091012e-34,1.9471198521393714e-84,1.1479414322317079e-70,8.12249285948239e-81,4.638062073959292e-80,2.45246837501856e-23,1.0741909398162444e-83,1.770235880245925e-56,3.991697152796406e-89,1.648878716082921e-103,4.33500055975383e-83,9.500769501687688e-103,6.846606255420048e-99,3.753244275372836e-55,1.0535793089414606e-102,5.142433714140094e-101,1.3287678106291709e-113,3.76,0.0,0.7997605857621002,0.9999999999999067,5.467243447150733e-48,3.0772982958287544e-63,1.700506751766723e-16,1.700506751766723e-16,9.326365081013302e-14,1.537242789130179e-38,3.399577560108935e-34,1.3111283957908495e-20,5.52759678303079e-35,2.727160564239543e-35,1.026373830808319e-53,2.9322155318973345e-34,1.7634816138509839e-37,5.22224749176285e-41,1.1479157163561459e-35,2.762324813883226e-40,3.4130522269219066e-37,3.2249154520845957e-35,6.356028008603152e-35,1.757090140238601e-38,1.5651480376368583e-43,1.079259787722274e-37,6.252059047292451e-42,4.676650390903285e-50,8.103990498566825e-38,1.4727321175980407e-49,5.866902209655718e-64,2.4524683750357044e-23,3.637800279774676e-68,2.77755228196575e-52
1.9880486443989966e-19,0.6588211302498369,5.420322331105553e-24,8.072411592370167e-27,4.873405018032403e-37,9.75499871350937e-37,0.0,0.0,2.626283150971459e-20,1.522142280826179e-36,2.63831368033618e-46,3.0694244553913167e-46,1.537394953922308e-50,2.1770883673081183e-65,6.083668386418534e-44,6.876455683420801e-34,2.0220138245665314e-48,1.363382651585349e-33,6.261645641280655e-83,1.8452823253927142e-69,2.6155721220973206e-79,1.4935298892898946e-78,4.913481935978381e-23,3.454437079893528e-82,1.4205028090917626e-55,1.285390689632736e-87,1.061809649740615e-101,1.39559274164653e-81,6.111453749222121e-101,4.412817600426939e-97,3.0117421602416296e-54,6.790596742345897e-101,3.3144342648061255e-99,1.7147048500649965e-111,3.76,0.0,0.7997605857621,0.9999999999998131,4.387118551360214e-47,4.939745283585304e-62,3.4069386141667794e-16,3.4069386141667794e-16,1.8685226204268524e-13,6.165031213208035e-38,1.3633826515852156e-33,2.6268251832044287e-20,2.216813537803994e-34,1.0937133614858084e-34,8.23600360457416e-53,1.1759495748329527e-33,7.0723500098401045e-37,2.094354814959503e-40,4.6036554404441464e-35,1.1078157986916524e-39,1.3687865954536273e-36,1.2933353341541752e-34,2.5490515117511763e-34,7.046717340231498e-38,6.279864093915011e-43,4.328314459502399e-37,2.507355309484361e-41,3.753725851763612e-49,3.2500626497541683e-37,5.9063270593778046e-49,9.420388310641803e-63,4.913481936047139e-23,5.841156032106495e-67,1.1139226948564225e-51
