Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CF3(1),O2(2),H2O(3),CH4(4),CH2CF2(57),HF(38),O2(161),S(164),CF2O(49),S(125),C2HF(58),S(463),C2HF(468),C2H2F3(68),S(165),S(464),S(130),C2H2F2(59),C2H3F2(65),C2H2F3(67),CF2(43),CHFCF2(55),CF2CH(73),C2HF2(72),S(179),C2H3F2(64),CHF2(82),CHF3(42),S(1244),S(1385),CF2O2(181),CF2O2(276),CH2F2(41),S(203),S(1542),CHO2(322),C2F(467),S(174),S(413),S(1894),C2H3F2(66),C2HF4(54),CHFO(47),S(2753),S(512),CF2CF2(61),C2HF3(169),C2HF4(69),C2HFO(577),S(3833),S(2867),F(37),S(344),CFO(51),C1OO1(180),CH2O2(318),C2H2O(623),S(3850),S(970),S(2764),CHF2O(206),CF3(45),S(1375),C3HF3(994),CH2F(46),S(2131)
0.0,0.4698031688753232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5799680508775777,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.17463785327049e-21,0.4698031688753232,8.664868421535223e-30,2.5555553267438355e-34,1.0319228867334586e-43,1.5286825756351356e-44,0.0,0.0,1.2418607255863504e-24,1.5317503896512636e-43,1.8878652744343554e-55,2.1964413122170316e-55,3.3590806863765906e-61,4.5081355012187155e-74,5.143436542801049e-52,5.518951833919318e-42,1.2475645127678885e-26,5.451307114976314e-41,1.0119612760528187e-96,1.164378182963345e-78,5.697132391685714e-97,3.080151139795247e-91,4.708337075437134e-30,5.158078381455219e-78,2.5172493593137993e-45,1.5916372929646512e-98,3.4278368163792274e-90,1.8124259130774528e-68,3.262115645910779e-65,2.678233241060202e-67,8.38967604790612e-61,1.6017560830746138e-98,4.4638823234389295e-103,1.9075089459784642e-100,3.76,0.0,0.5799680508775777,0.9999999999999994,3.3328516000928735e-56,2.2839067337575097e-42,3.2516449691962546e-21,3.2516449691962546e-21,4.999999999675424e-16,7.586023158146801e-45,5.442009959186865e-41,1.2418693904547706e-24,3.471546742955963e-45,1.3955658971151135e-39,1.4000068030336804e-68,3.806414975481056e-41,4.705540909610164e-46,4.642332829315808e-49,1.6627714727009426e-47,8.587334519855928e-46,5.8416053395099405e-33,2.4333605305301814e-42,7.887189400866201e-44,3.015265417422112e-51,2.735947828735464e-46,1.2660314390500138e-54,2.4180991519659323e-59,4.152918616335519e-47,1.8949304290977654e-61,4.70833707544295e-30,9.080520756077571e-74,3.038211950718116e-78,2.1470941287384156e-63,5.772504427514692e-63,1.7932240189495154e-67,1.2120631996771535e-46,3.2383848171483083e-78,5.310017365702021e-54,1.06397075731067e-73,9.693483335591997e-63,1.275601870541722e-61,7.347245494587613e-75,6.556194319868526e-51,7.840259839654505e-73,1.7256856939313482e-58,4.174800731321519e-87,9.727061600499553e-53,3.0732216713443753e-89,3.616016714898776e-64,1.837374707264011e-74,1.6855336551964652e-69,7.287487985022681e-87,1.4064282237059472e-84,5.841605339475621e-33,7.363604440347188e-81,2.2419220590252145e-71,1.1658959380382935e-59,3.8245041231494417e-59,2.6380177212534905e-112,1.2177464664853625e-124,1.0705951441141382e-56,1.8614392567743084e-88,3.722652346918231e-69,1.247564512767889e-26,1.0246659397338065e-84,4.0729010975615056e-105,7.887075913862373e-44,6.948803454065975e-110
2.288898598915737e-20,0.4698031688753232,2.426163158029934e-29,7.155554915310682e-34,6.232814235879175e-43,9.233242756900356e-44,0.0,0.0,3.477210031641778e-24,9.251772353493624e-43,2.2412736538040397e-54,2.607615126720477e-54,3.987900691353883e-60,5.352058467036377e-73,3.1066356718477466e-51,3.3334469076800803e-41,3.4931806357500874e-26,3.2925894974813032e-40,2.302931567874981e-95,1.3823497788318149e-77,2.7215885146814142e-95,8.686575673467248e-90,1.3183343811206096e-29,1.1538862959536047e-76,1.520418613025457e-44,9.682698515586258e-97,1.0774740674777257e-88,2.73893803985849e-67,4.92970916410037e-64,4.047346073890169e-66,9.960223404071784e-60,9.74426391677296e-97,2.695641396995557e-101,1.1604316498347802e-98,3.76,0.0,0.5799680508775777,0.9999999999999986,3.9567614196332445e-55,1.3794796671895357e-41,9.104605913749513e-21,9.104605913749513e-21,1.3999999998724697e-15,4.581957987797165e-44,3.2869740153844707e-40,3.47723429327335e-24,2.096814232745401e-44,8.4292180185738e-39,1.6620880765615828e-67,2.299074645190457e-40,2.842146709485063e-45,2.803969028920243e-48,1.0043139695102763e-46,5.1867500499930906e-45,1.6356494950739493e-32,1.4697497604402244e-41,4.7638623981231915e-43,1.8213518472840856e-50,1.6525124885560774e-45,7.646830026799563e-54,2.8750199003559966e-58,2.5083628442666025e-46,1.1445382611161687e-60,1.3183343811241224e-29,2.0341506714789267e-72,6.80597627123146e-77,1.4867316601280425e-62,6.853117256134601e-62,2.1296742686982842e-66,7.32086172609141e-46,7.254388627111871e-77,6.304052616462828e-53,1.2631460830792196e-72,1.4648789297607264e-61,7.704635298115463e-61,8.722651064979835e-74,3.9599413692363747e-50,1.0024328138813693e-71,2.0487340558352927e-57,1.0025481841115555e-85,5.909496241770462e-52,9.589927327171145e-88,2.1840775919961913e-63,2.1814755259590104e-73,2.037207279115512e-68,1.6583088070838716e-85,3.2004063879914137e-83,1.6356494950532203e-32,2.3152350537162034e-79,2.6616098685338222e-70,7.571542912359323e-59,4.54045129496118e-58,1.60483499368185e-110,1.3456426655213858e-122,1.2710105550920873e-55,4.1642282533820895e-87,4.419532866304238e-68,3.4931806357500885e-26,3.221713661073447e-83,1.9456737291183025e-103,4.76379385197287e-43,3.3195267956487666e-108
5.231768226093113e-20,0.4698031688753232,5.545515789783042e-29,1.6355554094156146e-33,3.000831754634527e-42,4.445408930043178e-43,0.0,0.0,7.947908643752628e-24,4.454330133105867e-42,2.20049576386696e-53,2.560171996175065e-53,3.9153445907966397e-59,5.254682740188042e-72,1.4957113466404138e-50,1.6049111932929553e-40,7.984412881714482e-26,1.5852401090875098e-39,4.58855648816083e-94,1.357199210115055e-76,1.4171254931648177e-93,1.8895618620354313e-88,3.0133357282672487e-29,2.2799244800734275e-75,7.320161136883366e-44,4.3712349421030376e-95,2.4036434102753737e-87,2.946424558424044e-66,5.303156163244232e-63,4.353950215326716e-65,9.779006401432058e-59,4.399026517640193e-95,1.215870513538404e-99,5.238743287264808e-97,3.76,0.0,0.5799680508775777,0.9999999999999968,3.884771825060873e-54,6.641600781766836e-41,2.0810527802856032e-20,2.0810527802856032e-20,3.1999999995357293e-15,2.206015534793353e-43,1.58253649618393e-39,7.947964098910484e-24,1.009525792851594e-43,4.058305628808522e-38,1.6318479296160504e-66,1.1069054748697398e-39,1.3683712966331212e-44,1.349990386784894e-47,4.835339442597947e-46,2.497196878374268e-44,3.738627417364524e-32,7.076212422781693e-41,2.293594677771903e-42,8.770364861280463e-50,7.956136285960588e-45,3.681619627163662e-53,2.824575045271878e-57,1.2076687336302917e-45,5.510461836379877e-60,3.013335728284163e-29,4.021910445942117e-71,1.3456735257476095e-75,9.092051825090967e-62,6.72843116005752e-61,2.091259289522919e-65,3.524679784723265e-45,1.4343333463690957e-75,6.189356241156582e-52,1.240164314721294e-71,1.5758498126984534e-60,3.7094502396005195e-60,8.563952936414422e-73,1.9065413082714452e-49,1.0156087016187076e-70,2.0114592448463714e-56,2.0471125161245083e-84,2.88015606602836e-51,2.134886091059967e-86,1.0515429049885717e-62,2.1420912066219818e-72,2.0159792786300046e-67,3.303657824001001e-84,6.375801394257218e-82,3.738627417264723e-32,5.16516204393847e-78,2.613184352181224e-69,4.184722558219823e-58,4.457842005813292e-57,7.244993791585622e-109,1.2174368398195884e-120,1.2478856999787663e-54,8.228950957032212e-86,4.339123575698417e-67,7.984412881714489e-26,7.187465951633953e-82,1.0131082769506565e-101,2.2935616757511753e-42,1.7284707203993776e-106
1.1117507480447866e-19,0.4698031688753232,1.1784221053290392e-28,3.475555245869416e-33,1.3105420661655764e-41,1.9414268711560313e-42,0.0,0.0,1.6889305867974295e-23,1.9453229948570976e-41,1.9463135833020188e-52,2.264443140818545e-52,3.463077968316521e-58,4.647707376268211e-71,6.532164409293973e-50,7.0090688289661134e-40,1.696687737364326e-25,6.923160036556615e-39,8.19811983070763e-93,1.2004273316175383e-75,5.6553758286699706e-92,3.503083069685765e-87,6.403338422531918e-29,4.05703616016658e-74,3.1969066863273254e-43,1.6504954628725215e-93,4.5016524851024075e-86,2.708271793506362e-65,4.8745141673715485e-62,4.0020303674513626e-64,8.649420418333936e-58,1.6609887114786345e-93,4.58873502013533e-98,1.9780497969779066e-95,3.76,0.0,0.5799680508775777,0.9999999999999932,3.4360366856008837e-53,2.9005615518720342e-40,4.4222371581069066e-20,4.4222371581069066e-20,6.799999998275869e-15,9.6342494149749e-43,6.911352648703928e-39,1.6889423710184647e-23,4.408864363554072e-43,1.772368689333892e-37,1.4433510136555878e-65,4.8341470188593775e-39,5.976036956418521e-44,5.895762693434468e-47,2.1117197703132562e-45,1.0905914840218723e-43,7.944583262124326e-32,3.0903678737732553e-40,1.0016730539100203e-41,3.83142587512361e-49,3.474653742491824e-44,1.6078601367466126e-52,2.4990447013199397e-56,5.274206642745307e-45,2.406565894211726e-59,6.403338422605784e-29,7.159023835681545e-70,2.3953066522049734e-74,5.670055052084767e-61,5.951221163217976e-60,1.8498271947564357e-64,1.5393202636541575e-44,2.553121644961491e-74,5.474415502702198e-51,1.0969112919569606e-70,1.4484774387785776e-59,1.6200143756553516e-59,7.574723608173114e-72,8.3263667867877e-49,9.108108468927774e-70,1.7791129230154473e-55,3.696644917808962e-83,1.288580927619948e-50,3.9951087113939354e-85,4.5923954189804304e-62,1.8951990486545128e-71,1.7894004496386738e-66,5.900689844784234e-83,1.1387870217895057e-80,7.944583261688472e-32,9.673776868738677e-77,2.311331966351951e-68,2.3014615850897502e-57,3.9429107705297817e-56,2.735572997469164e-107,9.213747364277035e-119,1.1037407697744981e-53,1.4647045848013023e-84,3.837905663850419e-66,1.6966877373643288e-25,1.3461328275142812e-80,4.04304918277372e-100,1.0016586410605187e-41,6.8978729051479e-105
2.288898598915737e-19,0.4698031688753232,2.4261631580309647e-28,7.155554921515848e-33,5.471255145587553e-41,8.10507501691217e-42,0.0,0.0,3.47721003164175e-23,8.121340565930937e-41,1.635993840928125e-51,1.903400908221424e-51,2.9109257056418263e-57,3.906678095064319e-70,2.7270500549360914e-49,2.9261482622437438e-39,3.493180635750076e-25,2.8902830328414336e-38,1.386010128285482e-91,1.009031503502766e-74,2.0100091452451578e-90,6.021432036113209e-86,1.3183343810946815e-28,6.842810812437233e-73,1.3346456103070963e-42,5.726335998570764e-92,7.775397798042494e-85,2.3169835383750593e-64,4.170249496344565e-61,3.4238212365723234e-63,7.270359028270813e-57,5.762741446954529e-92,1.5916391059555945e-96,6.862773659789575e-94,3.76,0.0,0.5799680508775777,0.999999999999986,2.88819587094578e-52,1.2109273502382283e-39,9.104605913749513e-20,9.104605913749513e-20,1.3999999993410628e-14,4.0221094821440806e-42,2.88535368084179e-38,3.4772342932732547e-23,1.840614083115252e-42,7.399290386483612e-37,1.2132234954001116e-64,2.0181612199986492e-38,2.4948777913629575e-43,2.461364866285524e-46,8.816014348107921e-45,4.5530047624291365e-43,1.6356494952358547e-31,1.2901677532870338e-39,4.181787820339376e-41,1.6005286398149778e-48,1.4505995387935488e-43,6.712500572221024e-52,2.100891073756518e-55,2.2018774503803682e-44,1.0046959217288682e-58,1.318334381125519e-28,1.2076539262261776e-68,4.04063675350867e-73,3.787310276634305e-60,5.002359974323155e-59,1.5549435680042355e-63,6.426359085265821e-44,4.306854465967239e-73,4.6015760876748255e-50,9.220200347532238e-70,1.2392029313091872e-58,6.763241118218489e-59,6.367018690762274e-71,3.476094228893499e-48,7.706210104195757e-69,1.4954516113897765e-54,6.27859159632137e-82,5.636484999793015e-50,6.898052530275143e-84,1.9172608341928516e-61,1.593943537571221e-70,1.5065926436683427e-65,9.969980848052305e-82,1.924128381373362e-79,1.6356494950538941e-31,1.6709043842339325e-75,1.9428137862850105e-67,1.3568543976094806e-56,3.314254080561184e-55,9.49098189273096e-106,6.401014914510189e-117,9.277606223644412e-53,2.4718109834959593e-83,3.2259909618923277e-65,3.4931806357500877e-25,2.3251096999388446e-79,1.4369630033271305e-98,4.1817276495298063e-41,2.45161206759055e-103
4.643194300657638e-19,0.4698031688753232,4.921645263436635e-28,1.451555428376404e-32,2.2351862496874613e-40,3.311187606886225e-41,0.0,0.0,7.053768921330339e-23,3.317832614000169e-40,1.3412865933314456e-50,1.5605230721017643e-50,2.386552767360166e-56,3.2029307337735686e-69,1.1140889288685971e-48,1.195427042949357e-38,7.086166432521558e-25,1.1807749267387286e-37,2.281214856488848e-90,8.272649898601863e-74,6.770264374594031e-89,9.981828863031001e-85,2.6743354587318843e-28,1.1239358608448146e-71,5.452462802238917e-42,1.9071090519618505e-90,1.2918867548586685e-83,1.9157267957807655e-63,3.448042928295817e-60,2.8308816086087586e-62,5.960679587942791e-56,1.9192335059086912e-90,5.300127128791077e-95,2.2855901641620905e-92,3.76,0.0,0.5799680508775777,0.9999999999999716,2.367917472374378e-51,4.947033341588088e-39,1.8469343425034727e-19,1.8469343425034727e-19,2.8399999974298064e-14,1.6431629632666972e-41,1.1787611256060449e-37,7.053818137782665e-23,7.519509107112337e-42,3.022851555769677e-36,9.946739214051728e-64,8.244847093479077e-38,1.0192389841041737e-42,1.0055478603151349e-45,3.601629520600053e-44,1.8600510063401625e-42,3.3180318335685463e-31,5.270756243549011e-39,1.708396772985321e-40,6.546721122634135e-48,5.926172434937277e-43,2.742276331986471e-51,1.7225541977760234e-54,8.99538783972125e-44,4.1045272829932086e-58,2.674335458857866e-28,1.983718973534228e-67,6.637239045537937e-72,2.7078222843051455e-59,4.101236934618025e-58,1.2748575151209004e-62,2.6253773735176967e-43,7.074534128029259e-72,3.772650091167869e-49,7.559277305947638e-69,1.0245969418620891e-57,2.7630046761815075e-58,5.22007821974307e-70,1.4200979148834641e-47,6.3391205274201415e-68,1.2260615823980552e-53,1.034921391036167e-80,2.512640526110179e-49,1.1459386316710124e-82,7.832849781019832e-61,1.3083109845051684e-69,1.2361880474458742e-64,1.6389791849916194e-80,3.1631017310154065e-78,3.318031832825177e-31,2.776232624893581e-74,1.5928361224645094e-66,8.77967321246778e-56,2.717225733606581e-54,3.160898816215009e-104,4.26624951192241e-115,7.606342111479517e-52,4.064466315646839e-82,2.6448622971536342e-64,7.086166432521603e-25,3.8632045414054147e-78,4.840087148134751e-97,1.7083721912462251e-40,8.257704640330075e-102
9.35178570414144e-19,0.4698031688753232,9.912609474255255e-28,2.9235553052081716e-32,9.034980197219862e-40,1.338434972355293e-40,0.0,0.0,1.4206886700707312e-22,1.3411209901583405e-39,1.0862086584085449e-49,1.2637520575005368e-49,1.9326923083047503e-55,2.5938163496203998e-68,4.5033255777792165e-48,4.832107239585996e-38,1.4272138026064444e-24,4.772881045242826e-37,3.708378008041834e-89,6.699406373621615e-73,2.222068557470777e-87,1.6258508573200958e-83,5.386337613823185e-28,1.8219501784976878e-70,2.2039726420409568e-41,6.225121708617024e-89,2.106095578948573e-82,1.5578372150423977e-62,2.8038912456423265e-59,2.3020259100284494e-61,4.827112871330788e-55,6.264697817314517e-89,1.7299351593129463e-93,7.460546975136936e-91,3.76,0.0,0.5799680508775777,0.9999999999999428,1.9176009614187156e-50,1.9996699729278957e-38,3.7198818447605157e-19,3.7198818447605157e-19,5.719999989854461e-14,6.641927429694025e-41,4.764740939085144e-37,1.4206985826800798e-22,3.039505807701608e-41,1.2218849300729123e-35,8.055127302167844e-63,3.332699018942689e-37,4.11992693987893e-42,4.064585225307386e-45,1.4558362372741723e-43,7.518623564201422e-42,6.682796511377318e-31,2.1305239457841582e-38,6.9056129055504065e-40,2.6527889042727284e-47,2.3954536495397875e-42,1.1084726053824508e-50,1.3950156288948981e-53,3.6360795886902784e-43,1.6591289879147166e-57,5.386337614332422e-28,3.215808869301181e-66,1.0759635045428355e-70,2.0328337282637782e-58,3.3212879978517934e-57,1.0324209790297659e-61,1.0612195107531707e-42,1.146853454289233e-70,3.055189854726275e-48,6.121698749854317e-68,8.331852142008095e-57,1.1168506669713072e-57,4.2273734982645694e-69,5.7402628278489845e-47,5.1437582695959645e-67,9.928964572190517e-53,1.681133664423875e-79,1.1853884142275926e-48,1.8680708719413263e-81,3.16633587577127e-60,1.0619333198188464e-68,1.0014930229202517e-63,2.6579805259701903e-79,5.129694683082107e-77,6.682796508372502e-31,4.5259598635119315e-73,1.2899199900138979e-65,6.165460726586575e-55,2.2004798472047046e-53,1.0317736648896437e-102,2.786024383889156e-113,6.15981304957617e-51,6.603294952027839e-81,2.1418780616169614e-63,1.4272138026064625e-24,6.297998424972818e-77,1.588565065493504e-95,6.905513542230203e-40,2.710261346812168e-100
1.8768968511109046e-18,0.4698031688753232,1.9894537895921613e-27,5.867555076400224e-32,3.632925800376658e-39,5.3817881598805645e-40,0.0,0.0,2.851312225946043e-22,5.392588516782504e-39,8.742752261847601e-49,1.0171776230331925e-48,1.5555989116198336e-54,2.087729054812847e-67,1.8107674083171426e-47,1.9429690683721553e-37,2.8644081213149894e-24,1.9191544777632343e-36,6.002043114576896e-88,5.392265089182118e-72,7.200745301820383e-86,2.625965841325078e-82,1.0810341923273363e-27,2.934195970688011e-69,8.862077059377594e-41,2.0118517879174453e-87,3.401345226997873e-81,1.2564521509427339e-61,2.2614398675465496e-58,1.856667293053318e-60,3.885280388111807e-54,2.0246420817796237e-87,5.590665661620137e-92,2.4111198682608515e-89,3.76,0.0,0.5799680508775777,0.9999999999998852,1.5434520810756224e-49,8.040585012462465e-38,7.465776849274601e-19,7.465776849274601e-19,1.1479999959692441e-13,2.6706898176886607e-40,1.9158813768784966e-36,2.8513321204834346e-22,1.2221719170446189e-40,4.91314556331259e-35,6.483467233021348e-62,1.3400636177700603e-36,1.656604505513942e-41,1.6343518429179583e-44,5.853853479641237e-43,3.0232054670619594e-41,1.3412325871568411e-30,8.566743082148822e-38,2.7767165773332042e-39,1.0719016823352446e-46,9.632013768863682e-42,4.457124955978858e-50,1.1228485476483e-52,1.4620516105512843e-42,6.671392726238753e-57,1.0810341925320983e-27,5.1790529487358905e-65,1.732836802858937e-69,1.571963907653615e-57,2.673261520481939e-56,8.309855421277723e-61,4.267116980254006e-42,1.8470049039663856e-69,2.45908258792117e-47,4.927275729635533e-67,6.719940573017874e-56,4.4908074127418194e-57,3.402588254068951e-68,2.3081344379070142e-46,4.147027140758263e-66,7.991694488093759e-52,2.7119818302687135e-78,6.131432736706483e-48,3.017013383265564e-80,1.2733086611719361e-59,8.58646748763456e-68,8.06246880724175e-63,4.281495161759684e-78,8.262951062033756e-76,1.341232585948618e-30,7.309437269024688e-72,1.0382398300386256e-64,4.58335162926948e-54,1.7711376173164715e-52,3.3345377628211377e-101,1.8010745736177195e-111,4.95795343386391e-50,1.0681492902751177e-79,1.7239698042900281e-62,2.8644081213150625e-24,1.017128427913946e-75,5.147839564579451e-94,2.7766766237787665e-39,8.782763069975815e-99
3.760333412504425e-18,0.4698031688753232,3.9858394739370814e-27,1.1755554688898406e-31,1.4569657328184355e-38,2.1583377605148857e-39,0.0,0.0,5.712559337696337e-22,2.1626691846459946e-38,7.015508088901333e-48,8.162210201282724e-48,1.2482701601995888e-53,1.6752710854480348e-66,7.261987191566681e-47,7.792174976036645e-37,5.7387967587319536e-24,7.696667829594964e-36,9.727316481646446e-87,4.326953148312014e-71,2.3187547205044603e-84,4.22575738433507e-81,2.1658350539244027e-27,4.71003546165722e-68,3.5540892668698533e-40,6.469813876938254e-86,5.46755928421464e-80,1.0092506972110841e-60,1.816511483989028e-57,1.4913761396787085e-59,3.1176928249450333e-53,6.51094551166019e-86,1.7978443684689132e-90,7.75380016750291e-88,3.76,0.0,0.5799680508775777,0.99999999999977,1.2385230915455503e-48,3.2246342139516656e-37,1.4957566858302773e-18,1.4957566858302773e-18,2.29999998393231e-13,1.0710660748099879e-39,7.683541231115239e-36,5.712599196089054e-22,4.9014560170990686e-40,1.9703911166471597e-34,5.202574139994509e-61,5.3742544653278335e-36,6.643725026334412e-41,6.554481875976558e-44,2.3476570649838056e-42,1.2124406084646741e-40,2.6871384610244804e-30,3.4356471328892366e-37,1.1135875391951858e-38,4.3407299227986785e-46,3.8628683236138714e-41,1.787510758052753e-49,9.010226820860385e-52,5.863480876859388e-42,2.675613523671765e-56,2.1658350547455903e-27,8.313600474686192e-64,2.781611426439947e-68,1.2356621934959753e-56,2.1451240048854387e-55,6.668148909360025e-60,1.7113047618730378e-41,2.9648781223728537e-68,1.973258904905315e-46,3.9538284640428376e-66,5.397821689233721e-55,1.801014630165403e-56,2.7304113966546248e-67,9.256651445772048e-46,3.3349979006534425e-65,6.412831527355381e-51,4.362705519810868e-77,3.553863796794428e-47,4.850308943577893e-79,5.10765159071637e-59,6.95285690918744e-67,6.470256181255457e-62,6.8734678322371175e-77,1.3265255804549714e-74,2.687138456178966e-30,1.174970692964078e-70,8.331220800691451e-64,3.5259271232330265e-53,1.421226393725524e-51,1.0723525290499489e-99,1.1584890551249988e-109,3.9784453895804544e-49,1.729734140815893e-78,1.3833771979154038e-61,5.738796758732248e-24,1.6350042414947443e-74,1.657686363930701e-92,1.1135715160325697e-38,2.82818965045241e-97
