Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CF3(1),O2(2),H2O(3),CH4(4),CH2CF2(57),HF(38),O2(161),S(164),CF2O(49),S(125),C2HF(58),S(463),C2HF(468),C2H2F3(68),S(165),S(464),S(130),C2H2F2(59),C2H3F2(65),C2H2F3(67),CF2(43),CHFCF2(55),CF2CH(73),C2HF2(72),S(179),C2H3F2(64),CHF2(82),CHF3(42),S(1244),S(1385),CF2O2(181),CF2O2(276),CH2F2(41),S(203),S(1542),CHO2(322),C2F(467),S(174)
0.0,0.5624492387389269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7923127460440886,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7034938419967822e-21,0.5624492387389269,4.926639956381302e-28,7.187380572154332e-32,2.6385553758100543e-43,5.182512467943597e-43,0.0,0.0,9.471742657157989e-24,1.4962214609944193e-42,1.2372746512965603e-54,1.4395078915498937e-54,1.226851810915345e-59,4.2761015806440744e-78,8.408052269518322e-53,1.952027454954843e-40,1.0078807575836376e-58,8.21819944740848e-40,2.935135912170342e-98,1.5449560065514284e-84,2.466527976293978e-94,1.3300594998713071e-93,9.416654166450413e-28,1.8761944296019283e-81,9.05117457270414e-66,2.4977292064155816e-104,7.35341285740578e-120,1.9799071696828837e-96,5.3027490831034504e-120,1.928913881883092e-115,3.426052756798052e-64,3.6320567387462877e-118,2.4304041777460352e-116,5.2617726316722985e-132,3.76,0.0,0.7923127460440886,0.9999999999999996,2.0589596980048144e-55,1.384092903176245e-74,6.037804957854833e-20,6.037804957854833e-20,4.2426406011739244e-16,7.02956265347108e-44,8.218199447408473e-40,9.472235321153626e-24,2.9105282134981804e-42,1.0656839852451655e-39,2.313326804003898e-64,6.492436620491754e-40,5.645243272177011e-44,3.1831487844252905e-47,1.5975522032186278e-44,7.214185119963332e-43,7.928751700457172e-42,7.91727564182281e-41,6.0530305105017806e-46,1.2207891015217541e-49,3.6030064020868356e-44,1.0141421339094607e-49,4.996513987591101e-58,1.3666590077775854e-44,1.8907488192390552e-58,9.416654166452365e-28,2.872892936337334e-73,1.2973507245270785e-77,5.338362547252997e-60,4.962008981067823e-65,5.1670115328678544e-67,1.3875558147807305e-56,1.2663565641814728e-77,5.706625847224015e-74,1.503782535028482e-69,3.2083617203866834e-60
4.769782757590991e-21,0.5624492387389269,1.379459187786784e-27,2.0124665602135875e-31,1.593687446995307e-42,3.130237530642157e-42,0.0,0.0,2.652087944004235e-23,9.037177624406287e-42,1.4688924660191482e-53,1.7089837688476893e-53,1.4565199143979164e-58,5.076587796538855e-77,5.0784635707878376e-52,1.179024582792467e-39,1.1965560366814304e-57,4.963792466248751e-39,1.7855864100113367e-96,4.857588877558578e-83,1.1782900126110434e-92,6.353853838023232e-92,2.636663166605483e-27,4.19697189125255e-80,1.0745554452763681e-64,1.193197131011358e-102,6.400836299447881e-118,9.464709297774992e-95,6.031494628945675e-118,1.4884381477370638e-113,4.0674098328810104e-63,2.8027000620604086e-116,1.8754370952133562e-114,5.60691100031707e-130,3.76,0.0,0.7923127460440886,0.9999999999999988,2.4443969535456626e-54,3.096160463848882e-73,1.6905853881993535e-19,1.6905853881993535e-19,1.1879393683222542e-15,4.245855842989022e-43,4.963792466248744e-39,2.6522258899230134e-23,1.7579590409529018e-41,6.436731270880064e-39,2.746381581713425e-63,3.9214317187769395e-39,3.4097269364183245e-43,1.9226218657942886e-46,9.649215307436448e-44,4.357367812457894e-42,4.788966027076099e-41,4.7820344876609916e-40,3.656030428343668e-45,7.373613121835703e-49,2.176215866860419e-43,6.1254184891135885e-49,5.985967912096076e-57,8.254620406976572e-44,1.1420126913369024e-57,2.6366631666066623e-27,6.482544816608528e-72,2.9274095488299195e-76,3.224372523727417e-59,5.890897062293541e-64,7.808387822447608e-66,1.647342550560321e-55,2.8574727158232643e-76,1.2876318694913416e-72,1.7852906255858106e-68,4.8484744090469255e-59
1.0902360588779408e-20,0.5624492387389269,3.1530495720841678e-27,4.599923566251397e-31,7.672919032946143e-42,1.507074625684335e-41,0.0,0.0,6.061915300581103e-23,4.351012008571765e-41,1.442167333550592e-52,1.6778903983894896e-52,1.4300205219695107e-57,4.9842240023931806e-76,2.4450615999740847e-51,5.67649583900481e-39,1.1747858128544275e-56,2.389852399327029e-38,8.060990582916352e-95,1.0837013570241467e-81,6.135331667168005e-91,3.308438520546527e-90,6.026658666523837e-27,8.292509206905862e-79,1.0550049082095273e-63,6.212981356907381e-101,6.650483102335391e-116,4.926172825987345e-93,5.460289169701753e-116,1.622171917764077e-111,3.993407093355335e-62,3.0545219926017954e-114,2.0439446698665632e-112,1.2760028446461376e-127,3.76,0.0,0.7923127460440886,0.9999999999999972,2.3999234240993404e-53,6.117491331950513e-72,3.8641951730270935e-19,3.8641951730270935e-19,2.715289984706199e-15,2.0441968200591378e-42,2.389852399327022e-38,6.062230605538307e-23,8.463816044852711e-41,3.0990090290918397e-38,2.696413722746931e-62,1.888000569238883e-38,1.6416367435835224e-42,9.256596665129534e-46,4.645681806953673e-43,2.097885032885398e-41,2.3056809944928944e-40,2.302343756642094e-39,1.7602212724548057e-44,3.5501251301917254e-48,1.0477542617268056e-42,2.94912532585938e-48,5.90076794249329e-56,3.97424439461715e-43,5.498303518521465e-57,6.026658666529514e-27,1.2862407889216402e-70,5.808449727845294e-75,1.552398146519966e-58,5.783717668239106e-63,8.39990730027164e-65,1.617386585607039e-54,5.669683842153353e-75,2.554828974757904e-71,1.752808922829189e-67,5.215766893165942e-58
2.3167516251156243e-20,0.5624492387389269,6.700230340679242e-27,9.774837578493024e-31,3.3509653273722887e-41,6.581790834353852e-41,0.0,0.0,1.2881570013734818e-22,1.9002012554629066e-40,1.275580674499017e-51,1.4840750558700395e-51,1.2648372086049769e-56,4.40848968556915e-75,1.0678226382269217e-50,2.4790748677886485e-38,1.0390847476661213e-55,1.0437113298420214e-37,3.043676665266459e-93,2.0296527061531466e-80,2.4484498100847886e-89,1.320310963897168e-88,1.2806649666350423e-26,1.4756077066774667e-77,9.331398937791257e-63,2.479460735574562e-99,5.322714685204513e-114,1.9656145865929152e-91,4.1384132778779556e-114,1.327037065219419e-109,3.5321233502141205e-61,2.498789258701823e-112,1.6720740589913807e-110,2.156389029054107e-125,3.76,0.0,0.7923127460440886,0.9999999999999941,2.1227050903594117e-52,1.0885748971370137e-70,8.211414742682574e-19,8.211414742682574e-19,5.7699912173709746e-15,8.927544574307064e-42,1.0437113298420149e-37,1.2882240036768862e-22,3.69637083114269e-40,1.3534186612602216e-37,2.3849474018558318e-61,8.245394508023293e-38,7.169458956017642e-42,4.042598956241412e-45,2.0288912980813568e-42,9.162015102354061e-41,1.0069514659580076e-39,1.0054940065115178e-38,7.687348748346435e-44,1.5504749293313074e-47,4.575818130649805e-42,1.2879605105307065e-47,5.2285783642591405e-55,1.7356569398774622e-42,2.4012570970794497e-56,1.2806649666375217e-26,2.2931782137731014e-69,1.0355611862389836e-73,6.779744385386987e-58,5.1156327789252294e-62,7.720961984936205e-64,1.4305664335772328e-53,1.0108212690391307e-73,4.5548528950542153e-70,1.550339642312942e-66,4.794188144768978e-57
4.7697827575909906e-20,0.5624492387389269,1.3794591877870612e-26,2.0124665603640295e-30,1.3989620603386584e-40,2.7477681105626305e-40,0.0,0.0,2.6520879440042167e-22,7.932966186192358e-40,1.0722024164159e-50,1.2474545066868114e-50,1.0631719856815294e-55,3.705601212139698e-74,4.457949313281466e-50,1.0349649566134558e-37,8.734133400542863e-55,4.357289347205473e-37,1.0559928281968345e-91,3.505720310897204e-79,8.702174110508182e-88,4.692591957783558e-87,2.636663166596312e-26,2.4888280767195302e-76,7.843603066484507e-62,8.812555194241439e-98,3.789277783507376e-112,6.98566813813585e-90,2.8775960062141216e-112,9.550781134532888e-108,2.968962502315569e-60,1.7983969779514793e-110,1.2034039781988024e-108,3.1574289563135534e-123,3.76,0.0,0.7923127460440886,0.999999999999988,1.7842615310262572e-51,1.8360406736711164e-69,1.6905853881993535e-18,1.6905853881993535e-18,1.1879393682288073e-14,3.727074122811308e-41,4.35728934720542e-37,2.6522258899229856e-22,1.5431620587967357e-39,5.65025648975962e-37,2.0046919951208647e-60,3.4422898961836156e-37,2.993107983224469e-41,1.687705485521372e-44,8.470221781408458e-42,3.824960950605124e-40,4.203824151581909e-39,4.1977395452946433e-38,3.2093167766762998e-43,6.473278749856455e-47,1.9103139943860114e-41,5.376981598179182e-47,4.398668446568127e-54,7.246026059236115e-42,1.0024804878271321e-55,2.6366631666066626e-26,3.871285220803465e-68,1.7482080945212271e-72,2.8304213778894393e-57,4.299997590493256e-61,6.605445532270776e-63,1.202479789293255e-52,1.7064427945472231e-72,7.689361799015141e-69,1.303153884335083e-65,4.101528805879641e-56
9.675845022541723e-20,0.5624492387389269,2.798331495225825e-26,4.08243216565909e-30,5.715216486932231e-40,1.1225529306563531e-39,0.0,0.0,5.379949829265654e-22,3.2408755333723066e-39,8.790563207161506e-50,1.02273857260505e-49,8.716526677067338e-55,3.03807575668873e-73,1.8212177537722284e-49,4.228169548499894e-37,7.16077025622863e-54,1.7800948732665772e-36,3.5168970126621482e-90,5.824806729034266e-78,2.9311319063415488e-86,1.5805942097020148e-85,5.348659566502661e-26,4.087907589663459e-75,6.430659684943393e-61,2.968421376473545e-96,2.5546316705171028e-110,2.3528981183841556e-88,1.9187904916541985e-110,6.473830107925634e-106,2.4341348366611226e-59,1.2190120956403088e-108,8.157064448790107e-107,4.317517291737097e-121,3.76,0.0,0.7923127460440886,0.9999999999999758,1.4628454036745136e-50,3.015702319947467e-68,3.4294732160615457e-18,3.4294732160615457e-18,2.409819861047245e-14,1.5226313923216843e-40,1.7800948732665328e-36,5.380229662415136e-22,6.304320531565601e-39,2.3083141393917637e-36,1.6435676159888535e-59,1.4062877417440534e-36,1.2227822739938073e-40,6.894827593177792e-44,3.4603619742116663e-41,1.5626213537250158e-39,1.7173993333254145e-38,1.7149135731215473e-37,1.3111106207037176e-42,2.644832535898119e-46,7.804255987172539e-41,2.196672431281815e-46,3.6077797733226113e-53,2.9602380772060163e-41,4.095483737620974e-55,5.348659566544944e-26,6.361398453244973e-67,2.8727018635895733e-71,1.1563289313686904e-56,3.525397819284471e-60,5.461510103196954e-62,9.858665783845855e-52,2.8040720157595266e-71,1.2635342952518911e-67,1.0684042876192967e-64,3.391223298230671e-55
1.948796955244319e-19,0.5624492387389269,5.636076110105312e-26,8.222363377311644e-30,2.3101818827659295e-39,4.537538426693533e-39,0.0,0.0,1.0835673599788393e-21,1.3100137077307047e-38,7.118825995851551e-49,8.282402123779138e-49,7.05886945312988e-54,2.460312515169494e-72,7.361653348352803e-49,1.7090937341057196e-36,5.798977409138776e-53,7.195428091095294e-36,1.1479737599865683e-88,9.495905073624787e-77,9.620268408814326e-85,5.187668460032203e-84,1.0772652366250595e-25,6.626674363288354e-74,5.207714939792298e-60,9.743378782801725e-95,1.6775618644097888e-108,7.722341039989279e-87,1.253336315545975e-108,4.2626603336440235e-104,1.971225500103732e-58,8.026523231192195e-107,5.370977657291166e-105,5.710330107085563e-119,3.76,0.0,0.7923127460440886,0.9999999999999514,1.1846501347182628e-49,4.888583416195014e-67,6.90724887178593e-18,6.90724887178593e-18,4.8535808460241916e-14,6.154719549476744e-40,7.195428091094934e-36,1.0836237207399243e-21,2.548307156271906e-38,9.330574819062991e-36,1.3310036677957502e-58,5.6844398981905605e-36,4.942681458663547e-40,2.7869995520384864e-43,1.3987336363841707e-40,6.316365353417588e-39,6.942002693828494e-38,6.931954853647991e-37,5.299718757466308e-42,1.069315585812957e-45,3.1546050493313394e-40,8.87930119979143e-46,2.9222662362494265e-52,1.196575560941201e-40,1.655479282951508e-54,1.0772652366421507e-25,1.0314339958962168e-65,4.6577845797255115e-70,4.674142773996186e-56,2.854958555659295e-59,4.4412093141200275e-61,7.983807129521948e-51,4.546508483415774e-70,2.0486866446135785e-66,8.652214923657985e-64,2.757686452146244e-54
3.911221861224612e-19,0.5624492387389269,1.1311565339872117e-25,1.650222580486647e-29,9.289139747508961e-39,1.824524244722337e-38,0.0,0.0,2.1747121140833337e-21,5.267507502288993e-38,5.729850485245839e-48,6.666397781824163e-48,5.681592307822253e-53,1.980273554511182e-71,2.9600884335961366e-48,6.872190736063272e-36,4.667521518561309e-52,2.8932499893245765e-35,3.7100528252080026e-87,1.533591205871576e-75,3.117505188254771e-83,1.681094814799197e-82,2.1620637965487415e-25,1.0672054774849992e-72,4.191622045815267e-59,3.1578681623772392e-93,1.0874594699909364e-106,2.502453662010296e-85,8.103363537294734e-107,2.7669292165241874e-102,1.58661377549687e-57,5.210084893190765e-105,3.486347543995404e-103,7.42929613585665e-117,3.76,0.0,0.7923127460440886,0.9999999999999025,9.535094906436525e-49,7.872912885249418e-66,1.3862800183234697e-17,1.3862800183234697e-17,9.741102813338376e-14,2.4747856725812407e-39,2.893249989324287e-35,2.1748252297366688e-21,1.0246630996748886e-37,3.7517830973571426e-35,1.0713075465439842e-57,2.2856882819843146e-35,1.9874304767229023e-39,1.1206402622594728e-42,5.624246433198982e-40,2.5397827282267604e-38,2.7913487511500046e-37,2.787308558807353e-36,2.1309936033908286e-41,4.30153658096323e-45,1.2684528158778569e-39,3.5703279717898046e-45,2.3523308250797253e-51,4.8113777032376635e-40,6.656764392720594e-54,2.1620637966174634e-25,1.6612716889408605e-64,7.502026970078432e-69,1.879513654216481e-55,2.2979190205575963e-58,3.581996206820719e-60,6.42606414098117e-50,7.322800929582512e-69,3.2997010091010663e-65,6.964055296245417e-63,2.224174021492887e-53
7.836071673185199e-19,0.5624492387389269,2.2662543799437067e-25,3.306195067697499e-29,3.7253605076038717e-38,7.317158261096481e-38,0.0,0.0,4.357001622292109e-21,2.112506103449013e-37,4.597844160902107e-47,5.349364384696658e-47,4.559120039678846e-52,1.58904481414497e-70,1.1871278550239023e-47,2.7560558513221295e-35,3.745392068426663e-51,1.1603226499189008e-34,1.1930973881977391e-85,2.4652030731741444e-74,1.0038863439645203e-81,5.413393163968888e-81,4.331660916292482e-25,1.7131011422903124e-71,3.363512714733466e-58,1.0171854811646609e-91,7.004268591278231e-105,8.05827261279966e-84,5.212559997902056e-105,1.783358559327139e-100,1.2731576338253037e-56,3.358036611612746e-103,2.2470425978697973e-101,9.587113176659284e-115,3.76,0.0,0.7923127460440886,0.9999999999998048,7.651313162947741e-48,1.2637768768087138e-64,2.7773902806132234e-17,2.7773902806132234e-17,1.95161467374079e-13,9.924997511642388e-39,1.1603226499186682e-34,4.3572282477298504e-21,4.109357321468802e-37,1.5046328246171215e-34,8.596568375087277e-57,9.166632309801926e-35,7.97048511886073e-39,4.494268670702355e-42,2.255574370153135e-39,1.01856646857912e-37,1.119455695334317e-36,1.1178353975044362e-35,8.546237459970046e-41,1.726604973841072e-44,5.087063121048482e-39,1.4318612130854164e-44,1.8876919669448609e-50,1.9295776531241952e-39,2.669784581356239e-53,4.331660916568088e-25,2.666852172294301e-63,1.2043061380512627e-67,7.538182889856539e-55,1.8439352947998097e-57,2.8772541524595975e-59,5.156512408332949e-49,1.1755348436039754e-67,5.297034285918606e-64,5.588215794352356e-62,1.7865775262965375e-52
