Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CF3(1),O2(2),H2O(3),CH4(4),CH2CF2(57),HF(38),O2(161),S(164),CF2O(49),S(125),C2HF(58)
7.831092366733887e-18,0.46285630378069653,2.3067843100252298e-27,2.5748170951443076e-32,1.3091955478201174e-39,2.4731196546251373e-39,0.0,0.0,5.0586339114047825e-22,3.0035916199207504e-38,1.6931393970188643e-55,1.3015876939623302e-76,1.0506904655205481e-53,4.3428504768964174e-119,2.0099594342801338e-83,1.0949732619297967e-85,2.1192910079378787e-85,6.899849218015086e-36,2.4018045378280228e-129,1.5537600015724309e-80,5.2804093852340334e-117,7.445072454888128e-135,2.404640816324841e-88,3.0344949549282024e-92,2.0768235720882487e-61,4.8727088975845514e-124,2.9068872615928197e-118,6.926565448182992e-135,5.733907540169039e-180,1.466111249548195e-147,1.6953317859485834e-59,1.521247330432127e-150,7.529899121895795e-125,2.0046839957930734e-148,3.76,0.0,0.7165522045735416,0.9999999999996911,1.6908120909979798e-50,2.616917047748995e-117,1.0257183881104183e-18,1.0257183881104183e-18,3.088457045831485e-13,1.0856514062541623e-39,6.899849218015086e-36,5.058656979247883e-22,1.3097132565391812e-40
1.5668988462717758e-17,0.46285630378069653,4.6155727767451595e-27,5.15187147849727e-32,5.240194053316231e-39,9.898923754400791e-39,0.0,0.0,1.01216628131736e-21,1.2022194065347566e-37,1.3555410286935866e-54,2.084236169392268e-75,8.411912415173044e-53,2.7838998009049232e-117,3.219677673729295e-82,1.753991398664028e-84,3.3948109532835736e-84,2.7617378550932556e-35,3.0811585439859114e-127,2.4889091168004008e-79,3.3849517104186627e-115,9.548970467693691e-133,3.8519028147094677e-87,9.722372266425384e-91,1.6627216638710533e-60,3.138902599452632e-122,1.8636820896662757e-116,8.885729060230704e-133,2.9439454859463406e-177,1.8808025300009645e-145,1.3572962699382042e-58,3.9044706615115745e-148,9.657843752117469e-123,5.14527104945726e-146,3.76,0.0,0.7165522045735416,0.999999999999382,1.3536777589281878e-49,1.677547151274746e-115,2.052327930337353e-18,2.052327930337353e-18,6.179597283805243e-13,4.345434997137365e-39,2.7617378550932556e-35,1.0121708968901368e-21,5.2422662374090074e-40
3.13447806546855e-17,0.46285630378069653,9.233149710303856e-27,1.0305981031729712e-31,2.0967601881878515e-38,3.960858896347885e-38,0.0,0.0,2.0247720616704964e-21,4.810443589432205e-37,1.0848448152971442e-53,3.3361352703692312e-74,6.732086553145078e-52,1.783129441749415e-115,5.154480344520915e-81,2.808014669298556e-83,5.434855911386471e-83,1.1050548872845748e-34,3.9482718917916774e-125,3.9845705947376965e-78,2.168127527356879e-113,1.223503530663425e-130,6.166628970254436e-86,3.113078705553434e-89,1.330682679852668e-59,2.029727802821617e-120,1.1938053510435618e-114,1.1386374115359478e-130,1.5093990834904522e-174,2.410106072778207e-143,1.0862495369999059e-57,1.0008365005212736e-145,1.2374582293776044e-120,1.3188919880127204e-143,3.76,0.0,0.7165522045735416,0.9999999999987638,1.0833536174374762e-48,1.0745015187154006e-113,4.1055470147912225e-18,4.1055470147912225e-18,1.2361877491460618e-12,1.7387400843184493e-38,1.1050548872845748e-34,2.024781294820208e-21,2.0975893317623768e-39
6.269636503862098e-17,0.46285630378069653,1.8468303577896607e-26,2.0614203284300686e-31,8.388406080807876e-38,1.5846014742280118e-37,0.0,0.0,4.049983622374265e-21,1.9244906730466464e-36,8.680407033010613e-53,5.3389027353727865e-73,5.386692192417233e-51,1.1416618251440476e-113,8.249566320380438e-80,4.4941267139957545e-82,8.698297138681628e-82,4.420939215546002e-34,5.056598797422008e-123,6.377166362534114e-77,1.3881645921289143e-111,1.5668756431060292e-128,9.869475223120827e-85,9.964924464741515e-88,1.0647483430278758e-58,1.3240089702516626e-118,7.643712317350908e-113,1.4582654748633333e-128,7.733501628128621e-172,3.086651436462113e-141,8.691646864936427e-57,2.5637966114623767e-143,1.5847497756383885e-118,3.37854465738865e-141,3.76,0.0,0.7165522045735416,0.9999999999975273,8.668474932246616e-48,6.879599497189728e-112,8.211985183698961e-18,8.211985183698961e-18,2.472643683360289e-12,6.956093067656644e-38,4.420939215546002e-34,4.050002090677847e-21,8.391723195195369e-39
1.2539953380649197e-16,0.4628563037806965,3.693861131498353e-26,4.1230660373866965e-31,3.355635517271456e-37,6.33892176530584e-37,0.0,0.0,8.10040674377178e-21,7.698589211342063e-36,6.94498540362699e-52,8.543113887255795e-72,4.309763110321084e-50,7.308104994466907e-112,1.3201225059948478e-78,7.191645736783413e-81,1.3919298357513597e-80,1.7685196884859115e-33,6.474245943248578e-121,1.020494914396232e-75,8.88605534532356e-110,2.006107394949078e-126,1.5793456974400787e-83,3.1892676316018828e-86,8.518795890310292e-58,8.788064898122943e-117,4.893050990134484e-111,1.8670982119482384e-126,3.9609304942173773e-169,3.9520124350305656e-139,6.953978001411393e-56,6.565439122722136e-141,2.0289940468552721e-116,8.651867780229086e-139,3.76,0.0,0.7165522045735416,0.9999999999950544,6.935438413023275e-47,4.403836770739694e-110,1.642486152151444e-17,1.6424861521514442e-17,4.945555122521428e-12,2.782664107817865e-37,1.7685196884859115e-33,8.100443682383112e-21,3.356962471162152e-38
2.508058713422339e-16,0.4628563037806965,7.387922679676307e-26,8.246362489069686e-31,1.3423088257548534e-36,2.535671883698488e-36,0.0,0.0,1.6201252986526724e-20,3.0795609928229684e-35,5.556252731921911e-51,1.3669679023864627e-70,3.447974451900729e-49,4.6776577050456127e-110,2.1123496716548666e-77,1.1507468376501223e-79,2.227249732526301e-79,7.074367238621697e-33,8.288186652232015e-119,1.632910507388529e-74,5.687652110251453e-108,2.5681419685294566e-124,2.5271372267189762e-82,1.0206443988596633e-84,6.815360808932358e-57,6.025081997473075e-115,3.131897040653591e-109,2.39021779447161e-124,2.0283493860623774e-166,5.059279674413178e-137,5.563446957194845e-55,1.6810239713590963e-138,2.5974418613433084e-114,2.215236010601763e-136,3.76,0.0,0.7165522045735416,0.9999999999901086,5.54861413103701e-46,2.818741542844906e-108,3.2850614197145387e-17,3.28506141971454e-17,9.891376283775039e-12,1.1131112757322926e-36,7.074367238621697e-33,1.620132686575359e-20,1.3428396290271451e-37
5.016185464137177e-16,0.46285630378069653,1.4776045779074487e-25,1.6492975527514604e-30,5.3693445419518335e-36,1.0142893895409928e-35,0.0,0.0,3.240294547187627e-20,1.231849459227325e-34,4.445108726435793e-50,2.1872047586611812e-69,2.758445488481434e-48,2.9938518506687225e-108,3.379882837433853e-76,1.841261993785413e-78,3.5637296449833844e-78,2.8298049693239735e-32,1.5286701485937443e-116,2.6127517232752216e-73,3.640281894646136e-106,5.705666374227888e-122,4.0435680303229956e-81,3.2661884836738072e-83,5.452418962826318e-56,6.19786205600755e-113,2.6486545558318222e-107,4.408510464612184e-122,1.816043043465205e-163,9.331321010632366e-135,4.4508639320833603e-54,9.302767958678214e-136,5.820422182641111e-112,1.225909150487669e-133,3.76,0.0,0.7165522045735416,0.9999999999802169,4.438996667346681e-45,1.8040863528408036e-106,6.570211954840727e-17,6.57021195484073e-17,1.9783011738012357e-11,4.452538408480262e-36,2.8298049693239735e-32,3.2403093232334326e-20,5.371467799178629e-37
1.0032438965566855e-15,0.46285630378069653,2.955229199003993e-25,3.298628214472026e-30,2.1477596641978204e-35,4.057198832086559e-35,0.0,0.0,6.480633044193399e-20,4.9274479615097135e-34,3.5561308372266365e-49,3.499573686486728e-68,2.206783305526227e-47,1.9161139242764075e-106,5.40791260151475e-75,2.94607358564474e-77,5.702073000273556e-77,1.1319339033384975e-31,1.961430744201791e-114,4.180478662624784e-72,2.3298394568904992e-104,7.327614783332175e-120,6.469831377193062e-80,1.0452007904900983e-81,4.3619883749042166e-55,5.123707214157971e-111,1.7016193797760933e-105,5.656546420428067e-120,9.321036154974895e-161,1.1972990315856098e-132,3.560734558488751e-53,2.386580927206813e-133,7.475278937728293e-110,3.1450117197616173e-131,3.76,0.0,0.7165522045735415,0.9999999999604336,3.5512394785767083e-44,1.1546449345683994e-104,1.3140513025093102e-16,1.3140513025093112e-16,3.956625517344554e-11,1.7810356556405813e-35,1.131933903338498e-31,6.480662596485498e-20,2.1486089764800094e-36
2.0064945968426213e-15,0.46285630378069653,5.910478446064718e-25,6.597321754039536e-30,8.591082347308986e-35,1.622887788801501e-34,0.0,0.0,1.2961310037948394e-19,1.9709892095349647e-33,2.844924194970048e-48,5.599358532949052e-67,1.76543828015608e-46,1.2263290771778843e-104,8.652744594786128e-74,4.713763659405059e-76,9.123406081230834e-76,4.527761850517879e-31,2.5107139332741563e-112,6.688826504063223e-71,1.4911161323589849e-102,9.37971303485123e-118,1.035184023497748e-78,3.3446768915844846e-80,3.48961370620149e-54,4.741768583175038e-109,1.0891144804559184e-103,7.2406275678576225e-118,4.772544193206635e-158,1.5325953517895966e-130,2.8486063971914658e-52,6.109797444728709e-131,9.568733504302561e-108,8.051428185459397e-129,3.76,0.0,0.7165522045735414,0.9999999999208673,2.8410084394613674e-43,7.389826400196305e-103,2.628111516559782e-16,2.628111516559787e-16,7.913263215245134e-11,7.124196254948094e-35,4.527761850517881e-31,1.2961369142733287e-19,8.594479619731694e-36
4.012995997414493e-15,0.4628563037806965,1.1820976959656712e-24,1.3194837697680465e-29,3.436441673437829e-34,6.491567676341484e-34,0.0,0.0,2.5922664024432185e-19,7.883976887777679e-33,2.2759503382946466e-47,8.959018244251588e-66,1.4123566700546455e-45,7.848565103124178e-103,1.3844472921047238e-72,7.542066290583667e-75,1.4597536595858155e-74,1.8111119123134102e-30,3.21373713533803e-110,1.0702170662430104e-69,9.543203477542999e-101,1.2006137706382866e-115,1.6563070825723098e-77,1.0703031275748674e-78,2.791702926336052e-53,4.906658536126425e-107,6.970396952934072e-102,9.268096364274076e-116,2.4435716547961217e-155,1.9617418660388936e-128,2.278894834176682e-51,1.564124175594396e-128,1.2248086484222259e-105,2.0611868197919484e-126,3.76,0.0,0.7165522045735412,0.999999999841735,2.2728134920039416e-42,4.7295254816299837e-101,5.256231944660721e-16,5.256231944660739e-16,1.5826494654546216e-10,2.8496996665131552e-34,1.811111912313412e-30,2.5922782234203524e-19,3.4378005906744607e-35
