Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CF3(1),O2(2),H2O(3),CH4(4),CH2CF2(57),HF(38),O2(161),S(164),CF2O(49),S(125)
0.0,0.8779605067609226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6386322239116501,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.579898802070639e-23,0.8779605067609226,5.189426479903158e-25,9.626713455302124e-26,7.688091828666889e-41,1.01284196253971e-40,0.0,0.0,7.088048204320678e-22,1.6485206251399757e-40,2.6774946410298244e-55,1.0021833782640303e-76,6.472031998169112e-56,3.9845085217406235e-110,5.43310783446523e-82,3.7332953868491555e-81,2.4471549664367168e-82,2.222098290100292e-37,-7.210188481236176e-154,1.767430095186603e-142,1.3860027467199707e-133,4.0647035862009605e-136,4.917016973650057e-84,3.1920597354418794e-96,1.9950731578235087e-59,1.2536683456585698e-119,3.2449738152585323e-118,1.5472313261477194e-135,-1.5126414447196138e-180,1.9287321375141203e-143,1.585484487629002e-58,1.225357146892888e-154,2.4277772732319892e-130,2.4112260927425037e-154,3.76,0.0,0.6386322239116501,0.9999999999999996,6.679077442507896e-56,-3.4129750434354737e-119,1.9539557079573714e-17,1.9539557079573714e-17,3.3050932122595073e-16,2.339691544884619e-42,2.222098290100292e-37,7.09323763080058e-22
1.282371664579779e-22,0.8779605067609227,1.453039414372912e-24,2.695479767484596e-25,4.6436074645148475e-40,6.117565453739961e-40,0.0,0.0,1.984653497209789e-21,9.95706457584545e-40,3.178721637830972e-54,2.24184412984175e-75,7.683596388227245e-55,2.4239709783338675e-108,1.708256032882543e-80,8.608160389636059e-80,6.381195964539936e-81,1.3421473672207445e-36,1.4650300202487563e-151,1.883333918998209e-140,1.9389632895946602e-131,4.331257092098825e-134,1.5459888087884275e-82,1.9418857095858763e-94,2.3685508529683244e-58,9.673866598530897e-118,2.5039671706824e-116,2.435032446654483e-133,6.67194459093887e-177,1.560044610420407e-140,1.8822871837133628e-57,1.1880565875814211e-151,2.5870925144004597e-128,2.3378136640352352e-151,3.76,0.0,0.6386322239116501,0.9999999999999991,7.929401754338981e-55,7.038390603126599e-117,5.47107598228064e-17,5.47107598228064e-17,9.25426099432545e-16,1.41317369346036e-41,1.3421473672207445e-36,1.9861065366241613e-21
2.931135233325209e-22,0.8779605067609226,3.321232947138215e-24,6.161096611393366e-25,2.2356971037764017e-39,2.945344427065646e-39,0.0,0.0,4.536350850765227e-21,4.793897977907043e-39,3.1208877535854736e-53,4.429506217522057e-74,7.543800497068579e-54,1.0942963680019155e-106,3.8110252383289956e-79,1.7235441926800586e-78,1.3410115987081104e-79,6.461861827614123e-36,8.12289266538645e-149,4.286027353585124e-138,4.215533043639734e-129,9.856927751834627e-132,3.449015987682931e-81,8.766600333829249e-93,2.325457272759856e-57,1.054305303576409e-115,2.7289459092096362e-114,5.487666631803484e-131,7.337699820769315e-174,3.744187629887842e-138,1.8480407187810087e-56,5.9798588617816034e-149,5.8875714318342566e-126,1.1766944462498057e-148,3.76,0.0,0.63863222391165,0.9999999999999979,7.785134107710251e-54,6.864869725342337e-115,1.2505316530927176e-16,1.2505316530927176e-16,2.1152596558452645e-15,6.80382301767515e-41,6.461861827614123e-36,4.5396720837123644e-21
6.228662370816069e-22,0.8779605067609229,7.05762001266927e-24,1.309233029921092e-24,9.763876622407671e-39,1.2863092924256071e-38,0.0,0.0,9.63974555787609e-21,2.093621193927761e-38,2.760389875118418e-52,7.882069646475009e-73,6.672406108837965e-53,4.131854871689633e-105,7.137628497059763e-78,3.085517771365515e-77,2.4517895682217185e-78,2.822064828429904e-35,2.97818597513754e-146,7.243196748923238e-136,6.90756702906298e-127,1.6657772141080233e-129,6.459625234941158e-80,3.3101014813733364e-91,2.056840622791335e-56,8.62487200338969e-114,2.2324471944925816e-112,9.132695107611477e-129,5.329088529638948e-171,6.3814848260439574e-136,1.6345710873673355e-55,2.122572279309395e-146,9.949685102305113e-124,4.176719133641517e-146,3.76,0.0,0.6386322239116499,0.9999999999999956,6.885863130997169e-53,5.3481899215336e-113,2.657379762822024e-16,2.657379762822024e-16,4.49492676866883e-15,2.9714082672791315e-40,2.822064828429904e-35,9.646803177888759e-21
1.282371664579779e-21,0.8779605067609227,1.453039414373316e-23,2.6954797674846098e-24,4.076226287559835e-38,5.370088085387121e-38,0.0,0.0,1.9846534972097758e-20,8.740456354492079e-38,2.3202740160063636e-51,1.3294262526311497e-71,5.608559377111388e-52,1.433532399740332e-103,1.2328478225835246e-76,5.2192842962438956e-76,4.188634337249412e-77,1.1781565134134455e-34,9.058587769175894e-144,1.0605635551610835e-133,9.951248992354136e-125,2.43906477421489e-127,1.115739619803415e-78,1.1484279735877945e-89,1.7288984774022367e-55,6.207383020844242e-112,1.6067084595045818e-110,1.325853938870954e-126,3.2256415832767214e-168,9.36697912240628e-134,1.3739554892299116e-54,6.36584619974666e-144,1.4568492791562552e-121,1.2526476655229886e-143,3.76,0.0,0.6386322239116495,0.9999999999999908,5.787982935987503e-52,3.767419132102864e-111,5.471075982280636e-16,5.471075982280636e-16,9.25426099430846e-15,1.2405044618259101e-39,1.1781565134134455e-34,1.9861065366241492e-20
2.6013825195761233e-21,0.8779605067609227,2.9475942405868087e-23,5.4679732426116716e-24,1.6652714424571136e-37,2.193856204540851e-37,0.0,0.0,4.026011380054088e-20,3.570761614878132e-37,1.9023008233770972e-50,2.1835866119678025e-70,4.598235832249608e-51,4.774261420140197e-102,2.04839509602588e-75,8.584908018401798e-75,6.922976125141878e-76,4.813153780308023e-34,2.5232373286212044e-141,1.450230952711623e-131,1.349643020637789e-122,3.3352147676783403e-125,1.8538180656071613e-77,3.8247446400736134e-88,1.417455427423213e-54,4.2075663345991414e-110,1.0890793110386052e-108,1.8050748677242223e-124,1.7925630302177783e-165,1.2820636146910456e-131,1.1264517209670255e-53,1.7614852527201783e-141,1.9921155777552495e-119,3.4661855484448447e-141,3.76,0.0,0.638632223911649,0.9999999999999812,4.7453381339811724e-51,2.5281093851750113e-109,1.1098468421197857e-15,1.1098468421197857e-15,1.8772929445557728e-14,5.067865513830277e-39,4.813153780308023e-34,4.0289589742946747e-20
5.239404229568811e-21,0.8779605067609232,5.936703893016649e-23,1.1012960192865891e-23,6.731293424410168e-37,8.867917546188185e-37,0.0,0.0,8.108727145742622e-20,1.4433589363000052e-36,1.5405325272561432e-49,3.5396879951477565e-69,3.723770594284601e-50,1.558398447737553e-100,3.3394009947649777e-74,1.3926339163625328e-73,1.1257156250573761e-74,1.9455537137164945e-33,6.73496605025363e-139,1.9180692654083895e-129,1.7777228697332524e-120,4.411140809991308e-123,3.0221913264813955e-76,1.2484603528958527e-86,1.1478921551451214e-53,2.770450610635246e-108,7.170987222367361e-107,2.3821276341025402e-122,9.557735030455499e-163,1.6963541814311813e-129,9.122298088756212e-53,4.68662132007129e-139,2.634761857139772e-117,9.222160186257182e-139,3.76,0.0,0.6386322239116479,0.9999999999999623,3.842897863211581e-50,1.6565245771308758e-107,2.2353253299032277e-15,2.2353253299032277e-15,3.7810266347936273e-14,2.0485122855677915e-38,1.9455537137164945e-33,8.11466384963564e-20
1.0515447649554187e-20,0.8779605067609233,1.1914923197887755e-22,2.210293409337475e-23,2.7066234806531694e-36,3.565750642808478e-36,0.0,0.0,1.6274158677119337e-19,5.803682801629883e-36,1.2399546012461565e-48,5.700558393726496e-68,2.9972145350231323e-49,5.0364745172251785e-99,5.393141526586108e-73,2.243583144432982e-72,1.8157161875553933e-73,7.822985914357484e-33,1.7603401749308555e-136,2.4954607001336815e-127,2.308126147145385e-118,5.739015129748874e-121,4.880847065016559e-75,4.034808129786174e-85,9.239234708279514e-53,1.7983231680591533e-106,4.654749090303414e-105,3.0957909765855494e-120,4.9932704827052623e-160,2.2074323935314574e-127,7.342419123883765e-52,1.2230170506232433e-136,3.42789630874626e-115,2.4066077473279552e-136,3.76,0.0,0.6386322239116456,0.9999999999999242,3.093098529311888e-49,1.0726868236414376e-105,4.486282305470104e-15,4.486282305470104e-15,7.588494015221343e-14,8.23697793755722e-38,7.822985914357486e-33,1.6286073600317226e-19
2.1067534489524938e-20,0.8779605067609242,2.3871361807675648e-22,4.428288189439407e-23,1.0854770724373419e-35,1.430025489865232e-35,0.0,0.0,3.260502173987135e-19,2.3275363795110516e-35,9.949854779021905e-48,9.150658705311183e-67,2.40507590641456e-48,1.6196547399325928e-97,8.669317491390604e-72,3.6020801710927033e-71,2.9168589105571455e-72,3.137367243305782e-32,4.553395490355637e-134,3.2202598387415106e-125,2.975461358029809e-116,7.405895005782442e-119,7.84581910661158e-74,1.2975338273185403e-83,7.413903986823348e-52,1.159066526065546e-104,3.000108074798699e-103,3.992745709536036e-118,2.5824024875953425e-157,2.848843041285828e-125,5.891828937600792e-51,3.161035482204862e-134,4.4235178868357176e-113,6.220168791647232e-134,3.76,0.0,0.6386322239116411,0.999999999999848,2.4820167750090905e-48,6.905521584090981e-104,8.988196256603824e-15,8.988196256603824e-15,1.5203428775884802e-13,3.3033966683890377e-37,3.1373672433057825e-32,3.262889310167903e-19
