Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CF3(1),O2(2),H2O(3),CH4(4),CH2CF2(57),HF(38),O2(161),S(164),CF2O(49),S(125),C2HF(58),S(463),C2HF(468),C2H2F3(68),S(165),S(464),C2H2F2(59),S(162),S(130),C2H3F2(65),C2H2F3(67),CF2(43),CHFCF2(55),CF2CH(73),C2HF2(72),S(179),C2H3F2(64),CHF2(82),S(1228),CHF3(42),S(1335),CF2O2(181),CF2O2(276),CH2F2(41),S(203),S(1568),CHO2(322),S(174),CF2CF2(61),C2F(467),S(512),C2H3F2(66),S(413),S(1931),S(1325),C2HF3(169),F(37),C2HF4(69),C2HFO(577),S(4228),S(4234),CHFO(47),C2HF4(54),S(5148),C1OO1(180),CH2O2(318),CFO(51),C2H2O(623),S(1319),S(2245),S(344),S(1323),CHF2O(206),S(6577),CH2F(46),S(1074),S(973),CF3(45),C2H2F(71),CHO2(457),CHF2O(207),CH2CF(70),CHFO2(635),CF3O2(511),CH2CFO(79),S(2261),C2HF5(81),CHF3O(248),C2F5(2339),S(1320),S(9273),S(960),CH2CHF(56),CFO2(459),CF4(44),C2H4F(63),S(445),C2H4F(62),S(513),S(252),CHO3(1583),C3HF3(974),S(196),S(1455)
0.0,0.6820818227410986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.9789245604265224,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.881694967975993e-22,0.6820818227410986,1.712035694462483e-26,2.692735396763766e-29,1.2148937676772563e-40,1.6428556933780977e-41,0.0,0.0,9.735349213150029e-23,3.049978160043526e-41,2.2726431782536958e-53,2.6439910321601373e-53,1.375854730681563e-57,1.7299668218602504e-67,3.2980651194558618e-46,1.1847669274124227e-38,3.933440502586003e-23,2.330712832232652e-38,1.4397340602997302e-81,6.539016583823323e-67,1.4611064169294141e-61,1.249875077214825e-81,1.9761474379210394e-25,1.5765061479181431e-74,1.2968803119513565e-41,1.6559881984538462e-78,4.711456050502864e-72,1.1178170574767413e-61,5.844387504916542e-60,1.9924794667736453e-59,2.0566430184981187e-57,3.311629075697612e-94,5.667985800201437e-87,2.924623061263179e-95,3.76,0.0,0.9789245604265224,0.9999999999999996,4.5055202723109904e-54,6.432742951956279e-39,1.3183092684599544e-18,1.3183092684599544e-18,5.656823526682723e-16,1.0353146832381691e-42,2.3192357877042e-38,9.737061248844489e-23,4.163145688302968e-39,1.7149996099132047e-39,8.606154046928563e-60,2.0033936376621036e-38,1.246918694342206e-41,4.336073656446788e-45,8.602113744237713e-40,2.0135427113322796e-44,2.5753255226250694e-41,1.4204885333372593e-27,4.3838937728472294e-39,9.02709052314529e-40,1.0563501156432792e-47,7.606644878102319e-42,1.9309169012669586e-47,3.0362226558027684e-56,7.119635468406529e-42,8.339426195883708e-52,4.0547205968266033e-72,1.9761474379211618e-25,2.4386572197677054e-76,2.0585681736419023e-56,1.209621030662947e-58,1.347884103853634e-61,3.0932228148787715e-43,1.962386446357921e-76,6.3028055050182124e-52,2.940293853754846e-57,1.656532210311964e-81,4.76632041593886e-65,1.774126486961788e-49,2.5202750890704187e-44,1.7212128011062637e-53,8.073650745247586e-67,8.160821529853632e-78,6.21961052127264e-58,1.4204885333344483e-27,1.5645226625097007e-68,5.555431206282283e-62,2.1422783706739902e-79,2.907418615434858e-77,3.6226407463761853e-56,3.8449179205975924e-67,2.2118863566035182e-83,1.971502567685183e-53,3.846253892185599e-57,8.761436359111899e-64,2.1238259595665906e-97,1.0315144121560383e-76,1.281212437377897e-99,4.304640105936393e-75,3.5745756278377944e-76,8.03980493837416e-63,8.107945815458062e-102,9.006021399032498e-40,2.0082020606087125e-69,2.726221871799109e-77,3.9334405025860034e-23,2.305152973070644e-44,2.783501650990075e-71,1.165716231917886e-66,6.29351474146583e-45,1.8659230631922548e-73,2.229281454702322e-39,5.646088333709043e-59,1.9363207321941587e-84,2.2347779901296157e-88,1.4483552899678174e-78,1.3818826234779478e-77,2.361788941592015e-81,1.412480056826285e-93,2.0157867744921558e-55,7.17443614191817e-47,9.541289802103776e-58,1.2393441750398287e-44,2.277626339989327e-70,6.879131954845391e-81,5.656252491170743e-70,1.2487913749104698e-42,1.3528052073514937e-104,1.3554954225487569e-99,1.8166674202415815e-79,8.528480405875328e-74,7.857438389446802e-74
1.646874591033278e-21,0.6820818227410986,4.793699944495054e-26,7.539659110949366e-29,7.337958356771693e-40,9.92284838801158e-41,0.0,0.0,2.725897779682006e-22,1.842186808666289e-40,2.698081981325947e-52,3.1389461534591614e-52,1.633467481485932e-56,2.0538166109122836e-66,1.9920313321512128e-45,7.155992241570207e-38,1.1013633407240806e-22,1.4077505506702184e-37,3.2206360300723057e-80,7.763120488330683e-66,1.7346255381786344e-60,3.27574927166023e-80,5.533212826178527e-25,3.529992277332246e-73,7.833157084185976e-41,3.704381024336832e-77,5.5934406238497836e-71,1.6892451372604702e-60,8.832038397429883e-59,3.0110349701883175e-58,2.4416465915608826e-56,2.0147389121237917e-92,1.2679057518902546e-85,1.7809190982776448e-93,3.76,0.0,0.9789245604265224,0.9999999999999984,5.348953668047225e-53,3.8853767429815917e-38,3.691265951687872e-18,3.691265951687872e-18,1.5839105874682645e-15,6.253300687627766e-42,1.4008184157750327e-37,2.7263771496764553e-22,2.514539995734993e-38,1.0358597643874635e-38,1.0217226084513567e-58,1.21004975714788e-37,7.531388913847571e-41,2.6189884884942933e-44,5.195676701519618e-39,1.2161797976462089e-43,1.5554966156651543e-40,3.977367893353378e-27,2.6478718387997316e-38,5.452362675979782e-39,6.380385939509943e-47,4.594413506373785e-41,1.166273808512386e-46,3.805320313247816e-55,4.300259822917485e-41,5.0370134238267145e-51,9.552732429368446e-71,5.533212826179267e-25,5.745362559781193e-75,1.2437601269516236e-55,1.4360620876010108e-57,1.6104816952984805e-60,1.8683065801902196e-42,4.623290852571902e-75,7.482690695548927e-51,4.4423358060185e-56,5.207717307597717e-80,5.65857559780262e-64,1.0715975106919114e-48,1.5222461538022685e-43,1.0396125318701022e-52,9.585038152630312e-66,2.5658928621319613e-76,3.756646402219679e-57,3.977367893336397e-27,1.857409633526581e-67,6.599480375833299e-61,4.7950177659369475e-78,6.507615492406695e-76,4.3007990940978214e-55,4.737867226939979e-66,5.127229121082989e-82,1.1907945307789762e-52,4.566272620801089e-56,1.0401577245551607e-62,8.764035605904526e-96,3.2432463541244896e-75,6.122414439787757e-98,1.3534477235481577e-73,1.1239037706011206e-74,9.544856422848058e-62,3.3457683075359223e-100,5.439636925015654e-39,2.384148176838185e-68,8.57167776043588e-76,1.1013633407240808e-22,1.3923123957346678e-43,6.226581853190792e-70,1.3839383105348884e-65,3.8012829038460173e-44,4.173995255438495e-72,1.3464859986401858e-38,6.703039221525913e-58,4.3314905800196894e-83,5.7386735212952e-87,4.553860768531999e-77,4.3448600694344437e-76,7.42584231859608e-80,8.135161937529441e-92,2.3931420586768056e-54,4.333359429728633e-46,1.132741925305759e-56,7.485638817240887e-44,2.703997990841014e-69,1.5391920637195173e-79,6.715102957532095e-69,7.542699904452113e-42,7.790447966840398e-103,8.246140137332805e-98,5.711893036026811e-78,2.681490695292742e-72,2.470504348657668e-72
3.764284779504635e-21,0.6820818227410986,1.09570284445606e-25,1.7233506539363838e-28,3.53291107640706e-39,4.777424356355312e-40,0.0,0.0,6.230623496416005e-22,8.869336489406557e-40,2.64899288871851e-51,3.081835947329656e-51,1.6037711722988628e-55,2.016449327559671e-65,9.59077336737573e-45,3.4453022249140844e-37,2.5174019216550403e-22,6.7777129161575155e-37,6.36344226800825e-79,7.621877730151246e-65,1.70306563957303e-59,6.934964330489235e-79,1.2647343602691964e-24,6.977685859112311e-72,3.7713279471542176e-40,7.319234266802427e-76,5.491673174538712e-70,1.81721283400428e-59,9.50110387899272e-58,3.239134019544536e-57,2.3972231023611187e-55,9.095510335857182e-91,2.505168106674495e-84,8.04016180730835e-92,3.76,0.0,0.9789245604265224,0.9999999999999964,5.251634430483754e-52,1.870641650428885e-37,8.437179318143708e-18,8.437179318143708e-18,3.620367057056657e-15,3.01069510013524e-41,6.7443376706687665e-37,6.2317191992604575e-22,1.210642766158503e-37,4.987218865625915e-38,1.003133315709986e-57,5.825868698320934e-37,3.626039563177516e-40,1.2609302192953632e-43,2.5014946768243846e-38,5.8553822045758386e-43,7.489046619787884e-40,9.091126613421822e-27,1.2748363091439817e-37,2.62507792413069e-38,3.0719129978274605e-46,2.2120123305521313e-40,5.615106351091456e-46,3.824038949916533e-54,2.0703899942125296e-40,2.425105139989363e-50,1.9339786008880513e-69,1.2647343602695533e-24,1.1631654426740037e-73,5.992090500028094e-55,1.409934273334407e-56,1.5856823472810235e-59,8.995091945719083e-42,9.359987459747182e-74,7.346550096622269e-50,4.778505414742471e-55,1.1617699955067783e-78,5.55562307681835e-63,5.15953651258975e-48,7.328959959072805e-43,5.005286825645795e-52,9.410647270915483e-65,5.724365825854663e-75,1.8086652106382297e-56,9.091126613340064e-27,1.8236334340660063e-66,6.481193489851525e-60,9.476872531415588e-77,1.2861650470474395e-74,4.222550053976124e-54,4.727558154195669e-65,1.0303453884802198e-80,5.733234165284212e-52,4.483193536726403e-55,1.0212330220223182e-61,3.4669668852112475e-94,7.235504205318796e-74,3.187119852803697e-96,3.0194674181809596e-72,2.5073674863454435e-73,9.371196636200114e-61,1.3235530186096586e-98,2.618951022838687e-38,2.3407934623442865e-67,1.9122941556197428e-74,2.5174019216550417e-22,6.703384845689416e-43,1.2302676473088195e-68,1.3587588399294728e-64,1.8301540868192293e-43,8.247111246388336e-71,6.482750470274106e-38,6.581085037253098e-57,8.558375699353953e-82,1.2002722059160646e-85,1.0159412867085497e-75,9.693143804489771e-75,1.6566645717773126e-78,3.648148066846278e-90,2.34960106434718e-53,2.0863260300848894e-45,1.112132739333211e-55,3.6040128610163e-43,2.6548012619091784e-68,3.041500457273149e-78,6.592927903752592e-68,3.631485318228957e-41,3.493433053267673e-101,3.722701831921093e-96,1.2742919152578992e-76,5.982258232596221e-71,5.511559299607592e-71
7.99910515644735e-21,0.6820818227410986,2.3283685444693316e-25,3.6621201396365887e-28,1.542915084951768e-38,2.086426730602381e-39,0.0,0.0,1.3240074929883976e-21,3.873472263255261e-39,2.343004211198485e-50,2.725848995027796e-50,1.4185266188180165e-54,1.7835265946637078e-64,4.188542701706967e-44,1.5046539978124946e-36,5.349479083516956e-22,2.9600052969610387e-36,1.1323412171354115e-77,6.741464537355376e-64,1.5063422715977661e-58,1.2715829630846476e-77,2.68756051557127e-24,1.2418883668739001e-70,1.6470379961778846e-39,1.3024187614495464e-74,4.857322734117994e-69,1.670331672658319e-58,8.733151360846675e-57,2.977322217610433e-56,2.1203166863501904e-54,3.434293031336822e-89,4.457812799935103e-83,3.035833403931524e-90,3.76,0.0,0.9789245604265224,0.9999999999999923,4.6450111810262016e-51,8.169583548984465e-37,1.7929006051055378e-17,1.7929006051055378e-17,7.693279996187078e-15,1.3148496490219835e-40,2.945429450409892e-36,1.3242403298428425e-21,5.287195024144769e-37,2.178049504588031e-37,8.872600576221315e-57,2.5443099198303925e-36,1.5835867418457197e-39,5.5068135436939475e-43,1.092468445518249e-37,2.5571992434137657e-42,3.2706634137278266e-39,1.931864405370353e-26,5.567545091516056e-37,1.1464404964394928e-37,1.341613070454997e-45,9.660438995189708e-40,2.4522644668897483e-45,3.4172490992958875e-53,9.041937044875365e-40,1.0591071291577337e-49,3.4791624934108448e-68,2.687560515572828e-24,2.0924955322252468e-72,2.6203483066384387e-54,1.2470708977589921e-55,1.4043059684108843e-58,3.928392974949374e-41,1.68383028093183e-72,6.49794036339696e-49,4.3921404396445115e-54,2.175835451449497e-77,4.913885696016356e-62,2.253529883229837e-47,3.200749363177325e-42,2.1859402574346936e-51,8.323610892934743e-64,1.0721103664014066e-73,7.898930896201445e-56,1.931864405334647e-26,1.6130145032948703e-65,5.7332509567660625e-59,1.686580004175123e-75,2.2889621478413503e-73,3.734797703884084e-53,4.2116208821443355e-64,1.8474804312555235e-79,2.5039164493638548e-51,3.965333912676891e-54,9.03269042887807e-61,1.23733611239309e-92,1.3551298607797106e-72,1.2717811963491867e-94,5.655128303320759e-71,4.696021806168158e-72,8.288717299331126e-60,4.723667282788563e-97,1.1437647176771658e-37,2.0704455914524608e-66,3.581515315781355e-73,5.349479083516962e-22,2.927544275799699e-42,2.1891955454255383e-67,1.2018068064704977e-63,7.992763721671494e-43,1.467529382148402e-69,2.8311874474716956e-37,5.820895735523522e-56,1.5229459122116695e-80,2.1900462714565876e-84,1.902745593612098e-74,1.8154185584801527e-73,3.1027493963188847e-77,1.3725244808883636e-88,2.078195533028592e-52,9.111533900391954e-45,9.836688134376808e-55,1.5739671023010742e-42,2.348141651512394e-67,5.4124460113540285e-77,5.831370068389724e-67,1.58596504612525e-40,1.3142979778450049e-99,1.4056213789411267e-94,2.386607728659612e-75,1.1204107600289432e-69,1.0322540592105128e-69
1.646874591033278e-20,0.6820818227410986,4.793699944496524e-25,7.539659111106242e-28,6.441366756239686e-38,8.710420886400444e-39,0.0,0.0,2.72589777968198e-21,1.6170984204550623e-38,1.9694362161118807e-49,2.291240325542339e-49,1.1923607351268896e-53,1.4991615683525203e-63,1.7486341263337178e-43,6.28163424912912e-36,1.1013633407240775e-21,1.2357439436726687e-35,1.9098595017057067e-76,5.666607147450646e-63,1.266171443208752e-57,2.1747435370139824e-76,5.5332128261729605e-24,2.094826823693796e-69,6.87605941396305e-39,2.1967197108623177e-73,4.082872437806881e-68,1.4290039124956792e-57,7.471394853635213e-56,2.5471618405696655e-55,1.7822539335410083e-53,1.191516009996107e-87,7.518752870639346e-82,1.0532749785179819e-88,3.76,0.0,0.9789245604265224,0.9999999999999842,3.9044117806221084e-50,3.41064031312721e-36,3.6912659516878723e-17,3.6912659516878723e-17,1.583910587426246e-14,5.48923846226397e-40,1.2296588146636726e-35,2.7263771496764212e-21,2.2072998439382334e-36,9.092927931744166e-37,7.457955398603256e-56,1.0621993066880154e-35,6.611162917681258e-39,2.298986252653935e-42,4.560840707195371e-37,1.0675803455677461e-41,1.3654375920904005e-38,3.9773678934846234e-26,2.324340478363668e-36,4.786163395372e-37,5.601204125432958e-45,4.0330431143696346e-39,1.0237721431043813e-44,2.8862529965874407e-52,3.774830725348307e-39,4.421563789495964e-49,5.8983152652974774e-67,5.533212826179462e-24,3.5474624607594343e-71,1.0968228991675902e-53,1.0482382312119259e-54,1.181112654691583e-57,1.6400267364967244e-40,2.8546415606759778e-71,5.4619104056579816e-48,3.757519285136751e-53,3.7581905732049256e-76,4.1304170113260144e-61,9.409921836966694e-47,1.33624985227724e-41,9.125870271733059e-51,6.996496413295501e-63,1.8518040429494158e-72,3.297660479136776e-55,3.977367893335558e-26,1.3558886760046115e-64,4.819423877694284e-58,2.8448406213694914e-74,3.8609093448980603e-72,3.139322508557825e-52,3.552090062106797e-63,3.1272868383746226e-78,1.0453880309497558e-50,3.333102082886217e-53,7.592520565983656e-60,4.1806794912492975e-91,2.340649837500409e-71,4.51993684381538e-93,9.76782781290224e-70,8.111209851935683e-71,6.967166322833249e-59,1.5960205069674127e-95,4.774992545767373e-37,1.740402039790555e-65,6.186177048055216e-72,1.1013633407240798e-21,1.2221921063220386e-41,3.692398266866348e-66,1.010191035142769e-62,3.3368215159340455e-42,2.4752028015968376e-68,1.1819650272829436e-36,4.8928138184597546e-55,2.5687676801266843e-79,3.737928562965501e-83,3.28651983357944e-73,3.135684097063223e-72,5.3592279828603026e-76,4.752616512985692e-87,1.7468485661831705e-51,3.8038860425853014e-44,8.268329081866113e-54,6.571002816065577e-42,1.9737545442804333e-66,9.129091568470866e-76,4.901617908976222e-66,6.6210918696758885e-40,4.5509674861810435e-98,4.876753541473271e-93,4.1222713438335194e-74,1.935230961465508e-68,1.782962183839814e-68
3.3408027418103644e-20,0.6820818227410986,9.724362744553505e-25,1.5294737054322514e-27,2.6315084965522377e-37,3.5584911461776343e-38,0.0,0.0,5.5296783530691e-21,6.606374693780553e-38,1.614662798292729e-48,1.8784972506068808e-48,9.775708183234663e-53,1.2291032292601626e-62,7.143740971331106e-43,2.5662525554426293e-35,2.2341942054688357e-21,5.048417223322838e-35,3.136950392300013e-75,4.645826901616433e-62,1.0380838479993285e-56,3.596022470379786e-75,1.1224517447366516e-23,3.4409215581833695e-68,2.809094630896542e-38,3.608118804661277e-72,3.3473855080489095e-67,1.1815280690972087e-56,6.1774937475956976e-55,2.1060426670632446e-54,1.4611994539630662e-52,3.968246144333581e-86,1.234957421975715e-80,3.5078508396238857e-87,3.76,0.0,0.9789245604265224,0.9999999999999679,3.2010726723950626e-49,1.3933578543655304e-35,7.48799664485254e-17,7.48799664485254e-17,3.213075762967138e-14,2.2425330263961777e-39,5.02355748579234e-35,5.530650789343518e-21,9.01754008669176e-36,3.7147577550431497e-36,6.114482426460902e-55,4.3394307549179656e-35,2.700875768928625e-38,9.39210898285941e-42,1.863252245457318e-36,4.361414054617265e-41,5.578258094980986e-38,8.068374869944876e-26,9.495689267738578e-36,1.9553039156756734e-36,2.2884655922287757e-44,1.647629707176292e-38,4.182443262199301e-44,2.371835749347371e-51,1.5421415209980203e-38,1.806353089002136e-48,9.712132880394279e-66,1.1224517447393074e-23,5.841231819130284e-70,4.5044074598411865e-53,8.59409033812708e-54,9.68629602974879e-57,6.700044346346407e-40,4.7004368053085445e-70,4.478004145195263e-47,3.1067703204549888e-52,6.244270925341618e-75,3.386365415169866e-60,3.845794981106055e-46,5.459016654371236e-41,3.7282157759348194e-50,5.7361503432030354e-62,3.076800113464641e-71,1.3472119743880502e-54,8.068374869335896e-26,1.111726034414473e-63,3.9513666912803796e-57,4.672800647811408e-73,6.3417470746563645e-71,2.57380626239288e-51,2.917005670768283e-62,5.145602964668318e-77,4.271177817341903e-50,2.7326784650786958e-52,6.224807080903919e-59,1.3745160166536804e-89,3.889024712385353e-70,1.522412266935042e-91,1.6229392001371331e-68,1.3476896482153811e-69,5.7121038900206194e-58,5.247366386474402e-94,1.950740259116325e-36,1.4269978739709452e-64,1.0278425687446932e-70,2.2341942054688447e-21,4.993053545789796e-41,6.064775240769204e-65,8.282156438013039e-62,1.363200467067952e-41,4.0655280341905656e-67,4.828712802141492e-36,4.011424466282601e-54,4.2195266403218346e-78,6.175471451641614e-82,5.460601857639649e-72,5.2099860253933386e-71,8.904437447559132e-75,1.581225449613822e-85,1.4321719946990169e-50,1.5540115662028194e-43,6.7788757327155855e-53,2.684469056906994e-41,1.6182032246869364e-65,1.4994730123505695e-74,4.018642505206574e-65,2.7049320696268956e-39,1.5141309642059342e-96,1.6241625426775617e-91,6.849215491562943e-73,3.2154151862814565e-67,2.9624183349338367e-67
6.728659043364536e-20,0.6820818227410986,1.9585688344677847e-24,3.080489294186294e-27,1.0636978085126453e-36,1.4383990167022568e-37,0.0,0.0,1.1137239499843155e-20,2.670402278069684e-37,1.307595797013777e-47,1.5212557781957634e-47,7.916627716700499e-52,9.953596617045917e-62,2.8876143191969443e-42,1.0373203137540508e-34,4.49985593495833e-21,2.0406509589947427e-34,5.085132106973253e-74,3.7623110763731e-61,8.406672142516774e-56,5.84849258720055e-74,2.2607126689714317e-23,5.5780126764839315e-67,1.1354809633662689e-37,5.848916133308369e-71,2.710799582216343e-66,9.60799003500154e-56,5.02343532232491e-54,1.7125989205841245e-53,1.1833172019717527e-51,1.2953016907643871e-84,2.0019192159162246e-79,1.1450218078061808e-85,3.76,0.0,0.9789245604265223,0.9999999999999354,2.5923116435214727e-48,5.632175226099355e-35,1.5081458031181876e-16,1.5081458031181876e-16,6.471406113752185e-14,9.064677084272131e-39,2.0306022556118716e-34,1.113919806867747e-20,3.6450338811022857e-35,1.501564478449389e-35,4.951666397609936e-54,1.7540672926647697e-34,1.0917371691875583e-37,3.796440617795272e-41,7.531563484543564e-36,1.7629532939553402e-40,2.254821110645645e-37,1.6250388823792237e-25,3.83830942502931e-35,7.90365105336137e-36,9.251887532251311e-44,6.659982709731226e-38,1.690610445366126e-43,1.9229725690269023e-50,6.233582595086581e-38,7.301568068859905e-48,1.5763076742067618e-64,2.260712668982167e-23,9.480490698188629e-69,1.8397750715717385e-52,6.959717172310628e-53,7.8453389536701465e-56,2.708265049455769e-39,7.628946904986462e-69,3.6264038567303636e-46,2.5263663990144515e-51,1.0179722829621989e-73,2.742366510656961e-59,1.5557727088524522e-45,2.2066218140483035e-40,1.5070044257693898e-49,4.645283062085751e-61,5.015960729304411e-70,5.445727602497891e-54,1.6250388821330634e-25,9.004447964848246e-63,3.199963799168807e-56,7.574924234437584e-72,1.0280398678980466e-69,2.084335041719631e-50,2.3642165033210317e-61,8.348594523866468e-76,1.7268232620230645e-49,2.2129938704665146e-51,5.041010163363799e-58,4.458209861476607e-88,6.340091820341472e-69,4.9966668738562925e-90,2.6458005049318998e-67,2.1970742658166316e-68,4.6258098265993067e-57,1.7019707330888454e-92,7.88520402388249e-36,1.1557998737619804e-63,1.675642801123433e-69,4.499855934958365e-21,2.018272075265939e-40,9.831262013750766e-64,6.707105013227461e-61,5.51027424492245e-41,6.590396138916045e-66,1.951842919100125e-35,3.2485555705374006e-53,6.841065552204498e-77,1.0040632911945902e-80,8.902159212979368e-71,8.493592153969493e-70,1.451648040350064e-73,5.158756383785195e-84,1.1598100128689488e-49,6.2815632161611955e-43,5.4897093225748254e-52,1.0851053137708316e-40,1.3104629261989599e-64,2.430723958268048e-73,3.254400891297969e-64,1.0933767906508677e-38,4.939853115130792e-95,5.3015370534056805e-90,1.116594990398239e-71,5.241938282461711e-66,4.829489561818761e-66
1.3504371646472879e-19,0.6820818227410986,3.9308339544968055e-24,6.182520472137529e-27,4.277082104942512e-36,5.7837391833854215e-37,0.0,0.0,2.2352361793390528e-20,1.0737570111558777e-36,1.0524668556926792e-46,1.2244389986851786e-46,6.371993025625986e-51,8.011520500677872e-61,1.1610970175548591e-41,4.171019358567308e-34,9.031179393937232e-21,8.205367755678234e-34,8.18944876559845e-73,3.028235268329913e-60,6.766421104253658e-55,9.43415979437398e-73,4.537234517425268e-23,8.983322226429329e-66,4.565719013420053e-37,9.41949917395239e-70,2.18188735565784e-65,7.74919203708567e-55,4.05158257389712e-53,1.3812730726073404e-52,9.524366304140776e-51,4.186191330819053e-83,3.224029236146944e-78,3.7005140212609235e-84,3.76,0.0,0.9789245604265222,0.9999999999998702,2.0865179367158438e-47,2.2646728872079665e-34,3.0268380803840543e-16,3.0268380803840543e-16,1.2988066814135338e-13,3.644866820977648e-38,8.164962361333438e-34,2.2356292627344418e-20,1.4656520921498127e-34,6.037724726595445e-35,3.985531902036441e-53,7.053027437110529e-34,4.38982714174925e-37,1.526532075079631e-40,3.0284085521168836e-35,7.08875765803739e-40,9.066536515116757e-37,3.261441673519438e-25,1.543367338306335e-34,3.178023327037466e-35,3.721384738203888e-43,2.677949755914214e-37,6.797870303539923e-43,1.5486537943218132e-49,2.506496145189671e-37,2.9359284650091127e-47,2.5401375001845677e-63,4.537234517468436e-23,1.5277315676466004e-67,7.55062572875045e-52,5.601785861432483e-52,6.315060813366221e-55,1.0889814651404773e-38,1.2293649542504473e-67,2.918845313666165e-45,2.0376029893254006e-50,1.6440268762146248e-72,2.2072951482712278e-58,6.265672844137254e-45,8.872729265019298e-40,6.059598516318577e-49,3.7389276079188e-60,8.100789976475718e-69,2.189768580639809e-53,3.2614416725296385e-25,7.24982049574942e-62,2.5756270743087285e-55,1.219927233407179e-70,1.6556387802552946e-68,1.677654174626746e-49,1.9037698704074746e-60,1.3451469060487408e-74,6.94625405275787e-49,1.7812099930221303e-50,4.057443537811036e-57,1.4362717101169416e-86,1.02392652250863e-67,1.6191928318172208e-88,4.272974882770002e-66,3.548280807722444e-67,3.7232541850745527e-56,5.483125466191633e-91,3.1706058576169196e-35,9.305780484027485e-63,2.706167599682998e-68,9.03117939393737e-21,8.115383247813171e-40,1.5832944390797584e-62,5.398461620106351e-60,2.215657038841891e-40,1.0613629811121505e-64,7.848274532524868e-35,2.6147201549335835e-52,1.1020646088257242e-75,1.619753814226965e-79,1.4377010908737988e-69,1.3717174016200109e-68,2.3444154627167473e-72,1.6667949652398442e-82,9.335159995399636e-49,2.5257889422993346e-42,4.418595656724986e-51,4.363160742019526e-40,1.0547745708569e-63,3.9146166534724815e-72,2.6194249641797423e-63,4.396419986465655e-38,1.5960662364132785e-93,1.7133651693642723e-88,1.8033038920704938e-70,8.465744327885608e-65,7.79963854286388e-65
