Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CF3(1),O2(2),H2O(3),CH4(4),CH2CF2(57),HF(38),O2(161)
0.0,0.5133118218733016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5561081914466988,1.0,0.0,0.0,0.0,0.0,0.0
2.0244602662954353e-21,0.5133118218733016,0.0,8.278418081121569e-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5561081914466988,0.9999999999999996,0.0,0.0,1.315922967941781e-20,1.315922967941781e-20,3.2015621132897563e-16
5.668488745627219e-21,0.5133118218733016,0.0,2.3179570627140382e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5561081914466988,0.9999999999999991,0.0,0.0,3.684584310236987e-20,3.684584310236987e-20,8.964373917153348e-16
1.2956545704290785e-20,0.5133118218733016,0.0,5.298187571917798e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5561081914466988,0.999999999999998,0.0,0.0,8.421906994827398e-20,8.421906994827398e-20,2.048999752464865e-15
2.7532659621617917e-20,0.5133118218733017,0.0,1.1258648590325301e-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5561081914466988,0.9999999999999957,0.0,0.0,1.7896552364008223e-19,1.7896552364008223e-19,4.354124473871171e-15
5.668488745627218e-20,0.5133118218733016,0.0,2.317957062714026e-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5561081914466988,0.999999999999991,0.0,0.0,3.684584310236986e-19,3.684584310236986e-19,8.964373916312768e-15
1.1498934312558072e-19,0.5133118218733016,0.0,4.702141470076995e-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5561081914466988,0.9999999999999818,0.0,0.0,7.474442457909316e-19,7.474442457909316e-19,1.8184872799711903e-14
2.315982544641978e-19,0.5133118218733016,0.0,9.470510284802848e-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5561081914466988,0.9999999999999634,0.0,0.0,1.5054158753253973e-18,1.5054158753253973e-18,3.6625870560573946e-14
4.648160771414319e-19,0.5133118218733017,0.0,1.900724791425419e-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5561081914466988,0.9999999999999265,0.0,0.0,3.0213591343943293e-18,3.0213591343943293e-18,7.35078660585531e-14
9.312517224959003e-19,0.5133118218733016,0.0,3.808072317315548e-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5561081914466988,0.9999999999998528,0.0,0.0,6.053245652532191e-18,6.053245652532191e-18,1.472718569595317e-13
