Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CF3(1),O2(2),H2O(3),CH4(4),CH2CF2(57),HF(38),O2(161),S(164),CF2O(49),S(125),C2HF(58),S(463),C2HF(468),C2H2F3(68),S(165),S(464),S(130),C2H2F2(59),C2H3F2(65),C2H2F3(67),CF2(43),CHFCF2(55),CF2CH(73),C2HF2(72),S(179),C2H3F2(64),CHF2(82),CHF3(42),S(1244),S(1385),CF2O2(181),CF2O2(276),CH2F2(41),S(203),S(1542),CHO2(322),C2F(467),S(174),S(413),S(1894),C2H3F2(66),C2HF4(54),CHFO(47),S(2753),S(512),CF2CF2(61),C2HF3(169),C2HF4(69),C2HFO(577)
0.0,0.5223551463677026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6151088049448385,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.706592936578722e-21,0.5223551463677026,1.2510734544834788e-28,1.5236081909999716e-32,8.763980071397033e-44,1.3441987173782007e-43,0.0,0.0,4.767448838939027e-24,6.192417797205733e-43,7.104149140517071e-55,8.265334626617839e-55,4.2977177708124277e-60,1.1981885756610339e-79,5.819024220249399e-54,6.667092936645897e-41,1.1310070134342251e-59,3.5358460117201457e-40,3.965777819332547e-99,4.402192370168883e-86,4.060938258142973e-95,2.153523242611397e-94,1.8883711103564711e-28,2.601246062043391e-82,1.1678849243478035e-66,1.2839702143297237e-105,1.3452922323455327e-119,3.9962267286794226e-97,1.7989754988809455e-121,1.329492621061249e-116,5.2191768395266925e-65,7.313583375038545e-119,5.296820275879248e-117,4.291691161727112e-133,3.76,0.0,0.6151088049448385,0.9999999999999996,1.1771874037913166e-55,1.4820543442601727e-75,2.340227170879478e-20,2.340227170879478e-20,4.555216777515287e-16,3.52549953340593e-44,3.5358460117201416e-40,4.767573946284474e-24,3.9763692308287384e-43,1.0778738840419508e-39,1.4204115024757492e-65,2.710808359377857e-40,1.3549332278792674e-44,7.636598937136155e-48,2.1023396961367973e-45,1.0011759856607445e-43,1.3555338220553789e-42,2.768772928835905e-41,7.084990521557472e-47,4.0159610199074807e-50,8.532131743328311e-45,4.227135025687805e-52,2.0812960385002113e-58,2.1024402366377063e-45,8.350420073126482e-60,1.8883711103571381e-28,2.13814831782514e-73,8.881411495054813e-78,5.364415133634377e-61,5.927096988473054e-66,5.6101948874106285e-68,5.033378723621542e-57,8.977781998794005e-78,3.691079226470283e-74,9.865532492878916e-71,5.9484871020225915e-61,2.6510802633027362e-70,1.3129587036637541e-83,5.689247476745744e-60,3.626727106322566e-71,1.5959366807186523e-82,3.421157604886641e-86,1.0009532314401113e-51,2.683570128889216e-89,4.769561429910435e-62,1.426588652502779e-72,5.229055276215733e-67
7.578460222420421e-21,0.5223551463677026,3.5030056725538125e-28,4.2661029348326997e-32,5.293443963158464e-43,8.11896025298852e-43,0.0,0.0,1.3348856749029268e-23,3.740220349512262e-42,8.43404585961917e-54,9.81260526871735e-54,5.102252322471964e-59,1.4224894770239287e-78,3.5146906290292064e-53,4.026924133732625e-40,1.3427315282960443e-58,2.1356509910879705e-39,2.4125761774580606e-97,1.3841197162589376e-84,1.9399589371731346e-93,1.0287638952738305e-92,5.2874391089959595e-28,5.818883390969692e-81,1.3865129821935706e-65,6.133750946138893e-104,1.1702548591478421e-117,1.9092961506546423e-95,2.0462049049200806e-119,1.0258975207723982e-114,6.196206743909606e-64,5.6435186735709745e-117,4.08728561699151e-115,4.573154195042307e-131,3.76,0.0,0.6151088049448385,0.9999999999999988,1.3975568857969855e-54,3.315296290528752e-74,6.552636078462538e-20,6.552636078462538e-20,1.2754606976932566e-15,2.129401718321094e-43,2.1356509910879666e-39,1.3349207049596516e-23,2.4017270154205574e-42,6.510358259612516e-39,1.686312535739206e-64,1.637328249064183e-39,8.183796696476319e-44,4.612505758036311e-47,1.269813176465906e-44,6.0471029533909676e-43,8.18742428521438e-42,1.6723388490168914e-40,4.27933427502138e-46,2.425668333666799e-49,5.153407572970174e-44,2.5531895618894743e-51,2.483996647895857e-57,1.269873902929167e-44,5.04365872282564e-59,5.287439108999987e-28,4.807143066057239e-72,1.996784569586438e-76,3.24010860301308e-60,7.036649544653664e-65,8.478126511459425e-67,5.975701878077907e-56,2.018451298437918e-76,8.2984611661664e-73,1.1712360175545818e-69,8.989350881852334e-60,3.147577335550418e-69,3.0317101649707854e-82,6.754274604392447e-59,4.30566257777936e-70,3.570047710408355e-81,7.65301335834042e-85,6.050552463206993e-51,6.003099392085353e-88,2.8808176904964444e-61,1.693663873591565e-71,6.279742583531855e-66
1.732219479410382e-20,0.5223551463677026,8.006870108694774e-28,9.751092422629274e-32,2.5485654048142437e-42,3.908929870172092e-42,0.0,0.0,3.0511672569209717e-23,1.800755095427425e-41,8.280596238178034e-53,9.63407404077537e-53,5.0094223683388764e-58,1.396608603787863e-77,1.6921722432463784e-52,1.9387906259743805e-39,1.3183017776235496e-57,1.0282240202214651e-38,1.0891522100530361e-95,3.0878949466540484e-83,1.0101325966314984e-91,5.356752274188717e-91,1.2085575106266294e-27,1.1497133014929383e-79,1.3612866678438545e-64,3.1939377191496073e-102,1.2163848797733886e-115,9.94085704627865e-94,1.8524215259329456e-117,1.1180726641635616e-112,6.08347252422385e-63,6.150584394613219e-115,4.454525019991899e-113,1.0407432097059989e-128,3.76,0.0,0.6151088049448385,0.9999999999999971,1.3721296378811009e-53,6.550466799306235e-73,1.4977453893628657e-19,1.4977453893628657e-19,2.9153387375326166e-15,1.0252152645257264e-42,1.0282240202214609e-38,3.051247325622055e-23,1.156328172324997e-41,3.1344572547926927e-38,1.6556316472857246e-63,7.88303070907018e-39,3.940145826798782e-43,2.220722970928131e-46,6.113603836355016e-44,2.911419766301552e-42,3.941892354536879e-41,8.051591677054887e-40,2.0603152436699124e-45,1.1678832810531164e-48,2.4811439109596846e-43,1.2292508750310744e-50,2.444535089678359e-56,6.113896208142333e-44,2.4283095124488283e-58,1.2085575106285683e-27,9.521428638169817e-71,3.9549981192179004e-75,1.559974714306003e-59,6.908624249573399e-64,9.120381621278452e-66,5.8670122537528124e-55,3.997913050061322e-75,1.6436532511826322e-71,1.1499264673699576e-68,9.67033249790484e-59,3.0904042378752372e-68,6.073870222433067e-81,6.631386858894533e-58,4.2273508023043147e-69,7.053813821675563e-80,1.5121154014736279e-83,2.9179644149909237e-50,1.1861373781953362e-86,1.3869923440637607e-60,1.6628869919120618e-70,6.196954417679675e-65
3.680966393747062e-20,0.5223551463677026,1.701459898097786e-27,2.072107139874689e-31,1.1130254691211432e-41,1.7071323711078094e-41,0.0,0.0,6.483730420957051e-23,7.864370602451256e-41,7.324093597889e-52,8.521229386636125e-52,4.430777665590625e-57,1.2352844939579591e-76,7.39016075969455e-52,8.467208029517076e-39,1.1660229933541809e-56,4.49052443502027e-38,4.1124315089556704e-94,5.783285491126927e-82,4.031174023753809e-90,2.137739212791984e-89,2.5681847100772406e-27,2.0458533910922026e-78,1.2040426416558213e-63,1.2747019995896322e-100,9.736762448088634e-114,3.967021818963993e-92,1.4039706691786743e-115,9.146526292733955e-111,5.380762554627302e-62,5.031560361121844e-113,3.644078363979548e-111,1.758810197082732e-126,3.76,0.0,0.6151088049448385,0.9999999999999938,1.2136331258334124e-52,1.1656205682859955e-71,3.18270895239609e-19,3.18270895239609e-19,6.195094817034956e-15,4.477384409587372e-42,4.490524435020233e-38,6.483900566946843e-23,5.049988923152496e-41,1.3688998327319334e-37,1.4643874425923808e-62,3.4427266164092305e-38,1.720765199535599e-42,9.698480650254454e-46,2.6699714140825827e-43,1.2714935017892564e-41,1.7215279540101639e-40,3.5163416196216767e-39,8.997937962388318e-45,5.1007025987440474e-48,1.0835807314025007e-42,5.36846158142114e-50,2.164440210962494e-55,2.670099100529767e-43,1.0605108830024685e-57,2.5681847100857078e-27,1.6961801074643428e-69,7.045569934693772e-74,6.8128360853071565e-59,6.110599910835514e-63,8.383202013281146e-65,5.189318888977296e-54,7.12202007104363e-74,2.928053088576238e-70,1.0170969378858265e-67,8.888701264101165e-58,2.7334649402804627e-67,1.0876539370949454e-79,5.86538657862515e-57,3.739089720601031e-68,1.2551885745556133e-78,2.6907604771717114e-82,1.2786427691574546e-49,2.110761397572987e-85,6.057383111859591e-60,1.470871880149391e-69,5.493632499066426e-64
7.578460222420422e-20,0.5223551463677026,3.503005672554872e-27,4.266102935308001e-31,4.646662234338188e-41,7.126941599876676e-41,0.0,0.0,1.334885674902916e-22,3.2832199160784553e-40,6.156341978752082e-51,7.162606742033442e-51,3.7243357255895874e-56,1.0383310486405894e-75,3.0852466415562637e-51,3.534892674988765e-38,9.801125842042672e-56,1.8747055555356238e-37,1.4267935321302843e-92,9.989187484386517e-81,1.4327423858107646e-88,7.597859983038817e-88,5.287439108964638e-27,3.4506307724012106e-77,1.0120703893718413e-62,4.53109726549348e-99,6.93209360170483e-112,1.4099248343761557e-90,9.762341552299676e-114,6.582820585158797e-109,4.522855142573271e-61,3.621250677146629e-111,2.622669767638336e-109,2.575285673982617e-124,3.76,0.0,0.6151088049448385,0.9999999999999872,1.0201317691430543e-51,1.965989459385496e-70,6.552636078462538e-19,6.552636078462538e-19,1.2754606975334113e-14,1.8692198545483074e-41,1.8747055555355925e-37,1.3349207049596344e-22,2.108270966185396e-40,5.714887333178327e-37,1.2309058814614136e-61,1.4372705921415569e-37,7.183855975371352e-42,4.048924756551626e-45,1.1146605068816955e-42,5.308235075974266e-41,7.187040324536115e-40,1.4680034068688676e-38,3.7564619745390687e-44,2.1296514258703403e-47,4.5237362503109194e-42,2.2412270795375397e-49,1.8202450567674827e-54,1.1147138134652039e-42,4.4274602406059936e-57,5.287439108999987e-27,2.8623697967458364e-68,1.1889672855479217e-72,2.8442388828818348e-58,5.1363274159320134e-62,7.172005819402857e-64,4.361940357375875e-53,1.2018685428377244e-72,4.941197333670716e-69,8.549312609808655e-67,7.604470935588942e-57,2.2976568111956733e-66,1.8400547615730085e-78,4.930210835387073e-56,3.143007270840576e-67,2.1170590679518206e-77,4.538468530991229e-81,5.373943520152048e-49,3.5604225055374007e-84,2.5288575564245935e-59,1.2364694359343402e-68,4.6226838151056763e-63
1.537344787976714e-19,0.5223551463677026,7.106097221470911e-27,8.654094527013775e-31,1.8983131397942294e-40,2.9115881900755916e-40,0.0,0.0,2.707910940517321e-22,1.3413024645459305e-39,5.047341104666761e-50,5.872337753556184e-50,3.0534354919316705e-55,8.512865269863256e-75,1.2604239221859947e-50,1.444118998431561e-37,8.035555124921007e-55,7.658783896253747e-37,4.7518181722695575e-91,1.6597184406226132e-79,4.825870945892277e-87,2.5591684943626157e-86,1.0725947906684133e-26,5.667671405613165e-76,8.29756452004159e-62,1.526607091257128e-97,4.673567173364128e-110,4.7489890117596994e-89,6.509561489484943e-112,4.462049867823748e-107,3.708109905515164e-60,2.4546016694306596e-109,1.777731000690377e-107,3.5214854033857254e-122,3.76,0.0,0.6151088049448385,0.9999999999999741,8.363656581051546e-51,3.2291435907664616e-69,1.3292490330595433e-18,1.3292490330595433e-18,2.5873631289110325e-14,7.636373025696224e-41,7.658783896253491e-37,2.7079820014895056e-22,8.612974808744276e-40,2.3347179477799873e-36,1.0091710098229925e-60,5.871719338741882e-37,2.9348395698918904e-41,1.6541178762487542e-44,4.5537518753351905e-42,2.168587231981445e-40,2.9361404799235603e-39,5.997272914776326e-38,1.5346372869393066e-43,8.702024835937405e-47,1.8480938641304034e-41,9.156144303878741e-49,1.4927060696883335e-53,4.553969650165821e-42,1.8087914365696051e-56,1.0725947906828545e-26,4.7026609333401317e-67,1.953384922873498e-71,1.1619757711821453e-57,4.21107153877284e-61,5.92995310513611e-63,3.576184292208308e-52,1.974580729891371e-71,8.118015386438259e-68,7.009243005232475e-66,6.287523571979301e-56,1.8837637733254647e-65,3.026797470846346e-77,4.042084713641595e-55,2.5769536307372556e-66,3.4772759361389144e-76,7.454801997462541e-80,2.2247378364696986e-48,5.849039151983401e-83,1.0331366370200195e-58,1.0139176481853597e-67,3.791927155100201e-62
3.096342319446058e-19,0.5223551463677026,1.4312280319310464e-26,1.743007771378193e-30,7.67328522691874e-40,1.1769104988380715e-39,0.0,0.0,5.453961471746059e-22,5.4217590175077216e-39,4.087467687665844e-49,4.755571363411124e-49,2.4727512468965165e-54,6.8939390063286406e-74,5.094835017851853e-50,5.837359886348951e-37,6.507400876207079e-54,3.095802904713843e-36,1.551072594478519e-89,2.7057599495143736e-78,1.5838991655386906e-85,8.399447246163256e-85,2.1602965501901925e-26,9.187539586170117e-75,6.71958287850845e-61,5.013160410757509e-96,3.0690545854355677e-108,1.5586616216484809e-87,4.251985741089324e-110,2.9380139071555934e-105,3.0029235411093484e-59,1.616219975249997e-107,1.1705379287160982e-105,4.657501607749168e-120,3.76,0.0,0.6151088049448385,0.9999999999999479,6.773105941708939e-50,5.23458091405763e-68,2.6772198834861227e-18,2.6772198834861227e-18,5.211167990537437e-14,3.086744078914565e-40,3.095802904713636e-36,5.45410459454913e-22,3.481502127313639e-39,9.437303234167388e-36,8.172528482799292e-60,2.373442837432509e-36,1.1863090786054866e-40,6.686208926781276e-44,1.840699316203296e-41,8.765776318939898e-40,1.1868349268318965e-38,2.4241936002969154e-37,6.2032492812333546e-43,3.518875091432587e-46,7.470290883595428e-41,3.7010602367408145e-48,1.2089753655303976e-52,1.8407873443069169e-41,7.311662372366791e-56,2.160296550248566e-26,7.624183226976676e-66,3.166922892230857e-70,4.696983872772692e-57,3.410234910464487e-60,4.822139384057413e-62,2.896087576399349e-51,3.201286567235069e-70,1.316131861129423e-66,5.676266712533683e-65,5.112909725741425e-55,1.525523099671715e-64,4.910191102239662e-76,3.273384999228505e-54,2.0870885548442706e-65,5.636814186898694e-75,1.208570237557835e-78,9.229678910275601e-48,9.484898485183819e-82,4.176231294360472e-58,8.213969282336305e-67,3.071587460413114e-61
6.214337382384746e-19,0.5223551463677026,2.8724646515019475e-26,3.498204410074467e-30,3.085394242786795e-39,4.7323053543849475e-39,0.0,0.0,1.0946062534203244e-21,2.1800654551773346e-38,3.289949596607506e-48,3.827697558540719e-48,1.9902853363207185e-53,5.548841871201291e-73,2.048610752722882e-49,2.3471767365999247e-36,5.237722356333688e-53,1.2448087324945916e-35,5.012798603699243e-88,4.3698095458986555e-77,5.132719438087582e-84,2.7218908303828955e-83,4.335700069145272e-26,1.4796249271102878e-73,5.408504893200155e-60,1.626283379712395e-94,1.9894912150116122e-106,5.0509291237063215e-86,2.7490934210804296e-108,1.9070899070212667e-103,2.4170141149428188e-58,1.0491022033569776e-105,7.598061767287355e-104,6.05953731509254e-118,3.76,0.0,0.6151088049448385,0.9999999999998954,5.451584908677327e-49,8.430131189091144e-67,5.3731615843392806e-18,5.3731615843392806e-18,1.0458777709274892e-13,1.2411662236288671e-39,1.2448087324944248e-35,1.0946349780667909e-21,1.39989669319018e-38,3.7946981236567313e-35,6.577961916865339e-59,9.543509261491238e-36,4.770096632581902e-40,2.6884952026762986e-43,7.401370993270597e-41,3.524680104563726e-39,4.772211041890359e-38,9.74757584688799e-37,2.4942992531289166e-42,1.416031996717485e-45,3.0037711087558185e-40,1.488180296630198e-47,9.731457889654246e-52,7.401724950686394e-41,2.9401788261722175e-55,4.335700069379989e-26,1.2279285467715394e-64,5.100552949354813e-69,1.8887105608835281e-56,2.7448537380056714e-59,3.889230109082491e-61,2.3310235620436474e-50,5.155898071535511e-69,2.1197229963102324e-65,4.568753274289679e-64,4.1237469107737323e-54,1.227874652800211e-63,7.910613857258622e-75,2.6347050254352464e-53,1.6801999522224125e-64,9.077915515173367e-74,1.9467345806581206e-77,3.901754362045912e-47,1.5285939562116838e-80,1.6793470309536868e-57,6.6161485048376e-66,2.47259500262333e-60
1.2450327508262121e-18,0.5223551463677026,5.754937890655709e-26,7.008597692837586e-30,1.2373810900925057e-38,1.8978661054095226e-38,0.0,0.0,2.1930264659116465e-21,8.743037533366926e-38,2.639977357363906e-47,3.071486230611131e-47,1.5970786425489714e-52,4.452596147414018e-72,8.215845381516186e-49,9.413228513742136e-36,4.2029423307527395e-52,4.992239774383671e-35,1.6120409070143106e-86,7.024341219780359e-76,1.652817442143283e-82,8.764922170941249e-82,8.686507106701514e-26,2.37512569667218e-72,4.339984564387679e-59,5.2480909109907316e-93,1.2814249121521895e-104,1.6264786132944279e-84,1.7683785645189172e-106,1.229169537404104e-101,1.9395016099954118e-57,6.76173933081266e-104,4.897150432717493e-102,7.819511930184864e-116,3.76,0.0,0.6151088049448385,0.9999999999997905,4.3745535602114385e-48,1.353222755101853e-65,1.0765044986045598e-17,1.0765044986045598e-17,2.0953997128688387e-13,4.977631725955611e-39,4.992239774382335e-35,2.1930840152903585e-21,5.614211858791708e-38,1.5218436695804963e-34,5.2784001727118696e-58,3.8273740577289547e-35,1.913022100080951e-39,1.0782068223467554e-42,2.9682808024807694e-40,1.4135543671030418e-38,1.913870070150223e-37,3.909213885589093e-36,1.0003255607866942e-41,5.687807201302003e-45,1.204646561553515e-39,5.968270626017733e-47,7.80911087559705e-51,2.968422755462431e-40,1.1792968470921721e-54,8.686507107642835e-26,1.9711591219850522e-63,8.187774034640867e-68,7.575167673000905e-56,2.2025722572220368e-58,3.124041131992992e-60,1.870499736355379e-49,8.276617991322452e-68,3.402731396890661e-64,3.6661367725853307e-63,3.3124177701780454e-53,9.85292463269163e-63,1.2700599215580623e-73,2.1141848549807982e-52,1.348783470190617e-63,1.4572064894853495e-72,3.126126305714872e-76,1.7176093243477936e-46,2.4572000616499972e-79,6.735757211952355e-57,5.316796346886018e-65,1.984227381049393e-59
