Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CF3(1),O2(2),H2O(3),CH4(4),CH2CF2(57),HF(38),O2(161),S(164),CF2O(49),S(125),C2HF(58),S(463),C2HF(468),C2H2F3(68),S(165),S(464),S(130),C2H2F2(59),C2H3F2(65),C2H2F3(67),CF2(43),CHFCF2(55),CF2CH(73),C2HF2(72),S(179),C2H3F2(64),CHF2(82),CHF3(42),S(1244),S(1385),CF2O2(181),CF2O2(276),CH2F2(41),S(203),S(1542),CHO2(322),C2F(467),S(174),S(413),S(1894),C2H3F2(66),C2HF4(54),CHFO(47),S(2753),S(512),CF2CF2(61)
0.0,0.9500054287253029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.9279901539613848,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.335376280613501e-23,0.9500054287253029,9.531436018996447e-25,2.393969330578541e-25,2.1813986713095923e-40,3.3061225861766348e-40,0.0,0.0,1.6070462983454577e-21,7.3249114189107605e-40,1.6526821058163524e-52,1.9057898374197615e-52,3.220756745494623e-55,3.672707801541309e-64,8.509230615302824e-43,1.1846279789469373e-36,2.112865575882325e-51,7.0020303466872425e-37,9.034973468555502e-91,2.999438144799324e-71,1.0048152307324703e-87,6.328139444831117e-87,2.9543010554587508e-22,8.294414992252019e-75,1.7549950717213405e-58,3.6717852446193886e-93,8.481033598761642e-108,5.580850471356735e-88,6.309213025198621e-109,3.1916780055746694e-106,1.2963230871276932e-57,1.6698644028861707e-111,3.913254602006537e-110,3.2505435331238914e-123,3.76,0.0,0.9279901539613847,0.9999999999999996,2.725874563099994e-53,2.2665332525141137e-67,4.8246009273584823e-17,4.8246009273584823e-17,4.4197810485696495e-16,6.49335823984856e-42,7.002030346687242e-37,1.6079994419473594e-21,8.559107410418467e-35,6.387484497291849e-40,1.527048128994067e-53,7.708140776465148e-37,1.2817723669571442e-38,2.4902289036497826e-42,5.941150666324892e-37,7.153299483102413e-36,3.5128789144323057e-36,3.4722229457311273e-37,3.6543250483101427e-38,3.6229214275869186e-45,4.733858138474369e-39,2.838693245953031e-41,8.183934106319895e-54,1.8097006711084982e-38,6.63128620992796e-47,2.954301055458762e-22,4.074987603797555e-71,3.836961267639229e-75,1.1537589685460725e-51,4.187384291149532e-57,4.397860305682736e-58,9.589371551580743e-54,1.67653656911048e-75,4.036819103795663e-71,6.410371127388995e-59,1.4780748263821628e-53,5.623487170912658e-60,2.0195158458236384e-73,2.586929087796379e-52,5.923274073422641e-63,5.149752313865347e-75,5.26102578994978e-81,4.3744795982512607e-47,4.111156997427382e-94
1.4939053585717804e-22,0.9500054287253029,2.6688020853191023e-24,6.703114125620331e-25,1.317564797471894e-39,1.9968980420513114e-39,0.0,0.0,4.499729635367279e-21,4.4242464970220985e-39,1.962065621315344e-51,2.2625536949847294e-51,3.8465502906726675e-54,4.360238701989807e-63,5.1395752916428755e-42,7.155152992839468e-36,2.5083940122231284e-50,4.2292263293997226e-36,5.49653431446596e-89,9.430713437352243e-70,4.800122935036669e-86,3.02302815046914e-85,8.272042955284464e-22,1.8554274561070447e-73,2.0835301491562647e-57,1.7540558727785156e-91,8.135631858199136e-106,3.392195780544491e-86,7.176274589194119e-107,2.4648810439070008e-104,1.5389947690382034e-56,1.417308468326763e-109,3.321353606432569e-108,3.8061193255400065e-121,3.76,0.0,0.9279901539613847,0.9999999999999988,3.2361582858610584e-52,5.070144225578338e-66,1.3508882596603752e-16,1.3508882596603752e-16,1.2375386935993219e-15,3.921988378314161e-41,4.2292263293997206e-36,4.502398437452613e-21,5.169700875892755e-34,3.858040636364117e-39,1.8129115387417537e-52,4.655717028984851e-36,7.741905096423458e-38,1.504098257804479e-41,3.5884550024600624e-36,4.320592887793874e-35,2.121778864317078e-35,2.097222659221599e-36,2.2072123291794493e-37,2.188250861679112e-44,2.8592503156385203e-38,1.7145707205558014e-40,1.2167828053458691e-52,1.0930592053494856e-37,4.005296871634027e-46,8.272042955284533e-22,1.1313103095640331e-69,1.065228722519968e-73,6.968705976174878e-51,4.971262630452634e-56,6.646043851396184e-57,1.1384670540152592e-52,4.654451226374453e-74,1.1003033940375135e-69,7.610392602436233e-58,2.233664704584411e-52,6.6769276945539935e-59,4.566474368875311e-72,3.071202213031768e-51,7.032112158602658e-62,1.1585605237052498e-73,1.1768706135431036e-79,2.642185839734268e-46,1.9639490315596234e-92
3.414640819592641e-22,0.9500054287253029,6.100119052158403e-24,1.5321403715705582e-24,6.343507336181774e-39,9.614204480611006e-39,0.0,0.0,1.0285096309410912e-20,2.1300842406192466e-38,1.9263682864515704e-50,2.22138863449644e-50,3.786586455588021e-53,4.280908213476439e-62,2.4744842629300163e-41,3.4448981627776446e-35,2.462756116008969e-49,2.0361904248175742e-35,2.4813999943592972e-87,2.1039402895911308e-68,2.499414060583512e-84,1.5740844905599458e-83,1.8907526754935734e-21,3.6660119870009683e-72,2.045622255625313e-56,9.133332564199955e-90,7.904519040511742e-104,1.5321357108680945e-84,6.496654116244349e-105,2.6850970029492064e-102,1.5109941903566645e-55,1.551793649765431e-107,3.636616984258898e-106,8.706157638976653e-119,3.76,0.0,0.9279901539613845,0.9999999999999972,3.177279397208587e-51,1.0017750598364791e-64,3.087744593509429e-16,3.087744593509429e-16,2.8286598710833164e-15,1.8882685782750866e-40,2.0361904248175728e-35,1.0291196428463142e-20,2.488988434949691e-33,1.85748049181223e-38,1.779927299155475e-51,2.2415273377959145e-35,3.7273940431147713e-37,7.24158565181371e-41,1.7276866137670199e-35,2.0801794896862062e-34,1.0215451883168614e-34,1.0097224326186083e-35,1.0626777240487741e-36,1.053555030267196e-43,1.376605946668349e-37,8.254919959233974e-40,1.3020836899382244e-51,5.2626095515828e-37,1.9283780310830383e-45,1.890752675493607e-21,2.4471563757384966e-68,2.3042141823483024e-72,3.355133789766801e-50,4.880815129763612e-55,7.149509789319813e-56,1.1177610940966246e-51,1.0068121803445025e-72,2.3642264958660975e-68,7.471928586084666e-57,2.4028738820294177e-51,6.555764336265539e-58,9.06585452312272e-71,3.0153245447351673e-50,6.904171913750846e-61,2.295466064798069e-72,2.3252988275237603e-78,1.2720989107572257e-45,1.0226241890447402e-90
7.256111741634361e-22,0.9500054287253029,1.2962752985838542e-23,3.2557982895882757e-24,2.7703763125770995e-38,4.198775684453987e-38,0.0,0.0,2.185582965749814e-20,9.302637502016635e-38,1.7038511819773324e-49,1.964793090786204e-49,3.3531724462009144e-52,3.786414835076797e-61,1.0806722881434123e-40,1.5044775332625583e-34,2.1782798948773968e-48,8.892578540302255e-35,9.369295701875616e-86,3.9404473148212215e-67,9.974505395879937e-83,6.281757989708792e-82,4.017849435423765e-21,6.5234724566028275e-71,1.809329719198346e-55,3.6448732677280636e-88,6.17598587607817e-102,5.786242963570541e-83,4.92388568368996e-103,2.1962015669095804e-100,1.336457249906467e-54,1.2713097715071759e-105,2.979342985448681e-104,1.473878767875385e-116,3.76,0.0,0.9279901539613842,0.999999999999994,2.8102676460783193e-50,1.7826051944237538e-63,6.561457261207535e-16,6.561457261207535e-16,6.010902226048426e-15,8.246564986395126e-40,8.892578540302248e-35,2.1868792410484284e-20,1.0870066411231457e-32,8.112105311558167e-38,1.5743255390677015e-50,9.789338786109179e-35,1.6278509060390498e-36,3.1625907076353697e-40,7.545261346229932e-35,9.084690343540316e-34,4.461356221328476e-34,4.4097231410784947e-35,4.64099281135579e-36,4.601208163992891e-43,6.011999835862471e-37,3.6051404223629943e-39,1.1943470626125733e-50,2.2983198523070544e-36,8.421733499285557e-45,4.017849435423911e-21,4.5265238441350195e-67,4.262122576962144e-71,1.4652766895961245e-49,4.317025708802928e-54,6.571630918729066e-55,9.886499641600757e-51,1.8623081818863263e-71,4.361373061414439e-67,6.608836217493064e-56,2.2086548301111115e-50,5.79862526082579e-57,1.6167559838653643e-69,2.6670204123539386e-49,6.106666311651576e-60,4.089808783433448e-71,4.137747936439453e-77,5.5555916068319444e-45,4.081024689935851e-89
1.4939053585717802e-21,0.950005428725303,2.6688020853204985e-23,6.703114125626379e-24,1.156577575540866e-37,1.7529061951995446e-37,0.0,0.0,4.4997296353672416e-20,3.883668034306454e-37,1.4321896815304854e-48,1.6515269804704324e-48,2.820121342101811e-51,3.182709817490454e-60,4.5115940722331374e-40,6.280897544376189e-34,1.8309755028907873e-47,3.7124764898220514e-34,3.2506441568138856e-84,6.806142816312388e-66,3.5450954421811268e-81,2.232635176817867e-80,8.272042955283902e-21,1.100278978885175e-69,1.5208506493350798e-54,1.2954450467395374e-86,4.3546385548764895e-100,2.0077036219279142e-81,3.423764821686411e-101,1.580506589691026e-98,1.123372846137813e-53,9.155742620053517e-104,2.1456821289785653e-102,2.15977332426696e-114,3.76,0.0,0.9279901539613835,0.9999999999999877,2.3621992881709886e-49,3.006624211512716e-62,1.350888259660374e-15,1.350888259660374e-15,1.2375386935967124e-14,3.442778558293769e-39,3.712476489822044e-34,4.5023984374526894e-20,4.53803874900387e-32,3.3866442804619036e-37,1.3233154758161534e-49,4.086856239680414e-34,6.795957089637929e-36,1.3203193647152442e-39,3.1499980832830425e-34,3.792679385941121e-33,1.8625284004315114e-33,1.8409726058266095e-34,1.9375231406157544e-35,1.920961096768336e-42,2.5098915850191294e-36,1.505075159006677e-38,1.020838229774843e-49,9.59503295821061e-36,3.5159079598725047e-44,8.27204295528451e-21,7.772188969129299e-66,7.318203376008283e-70,6.11725524711463e-49,3.628720228560446e-53,5.622168481782685e-54,8.310210290610768e-50,3.1976438447614476e-70,7.479573773541648e-66,5.55512505305745e-55,1.8895506134058563e-49,4.874143861304801e-56,2.7297722586491104e-68,2.241791356617819e-48,5.133028460504342e-59,6.902179737632275e-70,6.978926511789992e-76,2.319351348340375e-44,1.450460093367764e-87
3.0304937273884683e-21,0.9500054287253032,5.413855658796251e-23,1.3597745797713252e-23,4.724996778109414e-37,7.161193766635633e-37,0.0,0.0,9.128022974602026e-20,1.586605112981718e-36,1.174195669309316e-47,1.3540215996469015e-47,2.3127337536263353e-50,2.6093777996061267e-59,1.843133388196696e-39,2.565951587517823e-33,1.5011443401645967e-46,1.5166677812210043e-33,1.0826002612924846e-82,1.1308508083778753e-64,1.1940857801405214e-79,7.520130163941127e-79,1.6780429995003175e-20,1.8072115267537152e-68,1.24688524834109e-53,4.36341569500299e-85,2.923167679149288e-98,6.686788625806352e-80,2.2829776628510436e-99,1.0712823757222127e-96,9.210089305944438e-53,6.208018186622144e-102,1.4548764422615696e-100,2.954402723158697e-112,3.76,0.0,0.9279901539613821,0.9999999999999749,1.9366736946372335e-48,4.938389295787328e-61,2.7403733267396132e-15,2.7403733267396136e-15,2.510435635575845e-14,1.4064873846820648e-38,1.5166677812209978e-33,9.133436830261345e-20,1.85393690152628e-31,1.3835546920495103e-36,1.0849339784275258e-48,1.669614124744264e-33,2.77637021775017e-35,5.393935414462664e-39,1.2868769989265918e-33,1.549433281238103e-32,7.609036243812735e-33,7.5209737893711535e-34,7.915414227656235e-35,7.848139115306532e-42,1.0253726082261181e-35,6.148723118484252e-38,8.436770336706859e-49,3.919884041642223e-35,1.4363631278239377e-43,1.6780429995005664e-20,1.2875756615266725e-64,1.212366373292107e-68,2.4991094087440415e-48,2.9750440814147557e-52,4.6485175736359775e-53,6.81321710825109e-49,5.297360119641949e-69,1.2383896571828884e-64,4.554427145015696e-54,1.56231695076279e-48,3.9961374924848366e-55,4.4859855430412805e-67,1.837955997483165e-47,4.2083791087397144e-58,1.1340142816850741e-68,1.146294004918719e-74,9.475316968938793e-44,4.885549064672001e-86
6.103670465021845e-21,0.9500054287253038,1.0903962805757608e-22,2.738700914192968e-23,1.9099192439549445e-36,2.8946690181423155e-36,0.0,0.0,1.838460965307132e-19,6.413311543004239e-36,9.508941116965448e-47,1.0965217967744967e-46,1.8731622312029794e-49,2.113141794808466e-58,7.45023984676422e-39,1.0371986577107027e-32,1.2156656064657666e-45,6.130613666040158e-33,3.5337876233506644e-81,1.8435722296628749e-63,3.919109093447307e-78,2.4681820183755017e-77,3.379720407443774e-20,2.9295677629118187e-67,1.0097600019358759e-52,1.4321167217035522e-83,1.9156568859204116e-96,2.182726616995945e-78,1.4912200378037984e-97,7.053688330949837e-95,7.458569107677642e-52,4.0882688254956297e-100,9.581052742329169e-99,3.9081858837793185e-110,3.76,0.0,0.9279901539613793,0.9999999999999495,1.5683685696235068e-47,8.005341858149665e-60,5.519343460898083e-15,5.519343460898085e-15,5.056229519515679e-14,5.685246955752676e-38,6.1306136660401114e-33,1.8395513615879187e-19,7.49390937497705e-31,5.592549276619304e-36,8.78607664543473e-48,6.748847240542692e-33,1.1222532323662191e-34,2.180314936133653e-38,5.2017625835826e-33,6.263057055832893e-32,3.075694107769904e-32,3.0400978556887506e-33,3.1995369874098e-34,3.172655573001906e-41,4.144720025425083e-35,2.485412194124258e-37,6.859171015597017e-48,1.5844798031830722e-34,5.806009457501052e-43,3.37972040744478e-20,2.096001806231266e-63,1.9735710950126735e-67,1.0101889051060958e-47,2.4092678303547214e-51,3.780097270806491e-52,5.517521705913396e-48,8.62339721910049e-68,2.0153707840740495e-63,3.688293183531712e-53,1.2704501835245823e-47,3.236183675359237e-54,7.273848109933545e-66,1.4884244189874471e-46,3.408074356793526e-57,1.8385491629600683e-67,1.8582024502943325e-73,3.8300826403392745e-43,1.6034861217454398e-84
1.2250023940288599e-20,0.9500054287253047,2.188417709971975e-22,5.496553583053328e-23,7.679701278999317e-36,1.1639336810029296e-35,0.0,0.0,3.6897783010008804e-19,2.578764364673014e-35,7.653623132471732e-46,8.825761372841432e-46,1.507783976672805e-48,1.7008403556421757e-57,2.9957086750374384e-38,4.170530184999173e-32,9.784734406024605e-45,2.4650927917203284e-32,1.1420591065166205e-79,2.9773740753366434e-62,1.2700106081504305e-76,7.99829061003601e-76,6.783075223329097e-20,4.717978568667875e-66,8.127426969279883e-52,4.6408594028050214e-82,1.2405682201656492e-94,7.054271069939205e-77,9.641385217285083e-96,4.578572413691157e-93,6.003305298759907e-51,2.6539328332138615e-98,6.219622673221105e-97,5.085109894490529e-108,3.76,0.0,0.9279901539613737,0.9999999999998985,1.262359469834953e-46,1.289235627163002e-58,1.1077283729214986e-14,1.1077283729214994e-14,1.0147817287321628e-13,2.2860128516777962e-37,2.4650927917202898e-32,3.6919667187117e-19,3.013268000267447e-30,2.2487394671969464e-35,7.071798855637869e-47,2.7136817929096976e-32,4.512530888942619e-34,8.766950464462442e-38,2.0916058566686953e-32,2.5183476962253865e-31,1.2367230733387341e-31,1.2224099769362253e-32,1.2865197505674724e-33,1.2759619724147452e-40,1.666573693082558e-34,9.993733120241914e-37,5.531584951393871e-47,6.371123600626743e-34,2.3345708993767447e-42,6.783075223333136e-20,3.3825721357968514e-62,3.184990859330048e-66,4.061996930579191e-47,1.9391883514311296e-50,3.048785384605915e-51,4.44098222025241e-47,1.3916621189126758e-66,3.2519999676498097e-62,2.9686592283617718e-52,1.0246640924427549e-46,2.6047653299841214e-53,1.1715810581315062e-64,1.1980134623964362e-45,2.743146684157341e-56,2.961137170424854e-66,2.9926114880668285e-72,1.5400658374229626e-42,5.196192134940384e-83
2.4542730890822104e-20,0.9500054287253064,4.384460568780172e-22,1.101225892084235e-22,3.079903696199505e-35,4.667894643082783e-35,0.0,0.0,7.392412972387934e-19,1.034199848289002e-34,6.14155058038299e-45,7.082117674663777e-45,1.2099416770292142e-47,1.3648172702171767e-56,1.2014131650343172e-37,1.6725691357051496e-31,7.851633139778635e-44,9.886124634689753e-32,3.6726909484310815e-78,4.7860418685517304e-61,4.0896365179318274e-75,2.5755770187985505e-74,1.358978485509337e-19,7.573400477481362e-65,6.521748299150111e-51,1.494430673802192e-80,7.986515796650969e-93,2.26855998170707e-75,6.201906144280541e-94,2.9509983953560647e-91,4.817274427379129e-50,1.710594382601655e-96,4.0088639115923446e-95,6.562355260061131e-106,3.76,0.0,0.9279901539613626,0.9999999999997967,1.0129639739283693e-45,2.0695087042166406e-57,2.2193164265848655e-14,2.2193164265848684e-14,2.0330992822638645e-13,9.167934423774979e-37,9.886124634689442e-32,7.396797432960116e-19,1.2084552398125238e-29,9.018451036717573e-35,5.674673215312338e-46,1.0883077713382328e-31,1.809726714413772e-33,3.5159392476955328e-37,8.388274978770176e-32,1.0099700620405462e-30,4.9598126619908e-31,4.902410743738483e-32,5.15951960983688e-33,5.119192411643933e-40,6.683705902563958e-34,4.007933961909893e-36,4.4430365098249966e-46,2.5551055193037995e-33,9.362673727712653e-42,1.3589784855109578e-19,5.435396773149526e-61,5.117906830726381e-65,1.6291000148036373e-46,1.5560765262029109e-49,2.448950217908928e-50,3.563608843355112e-46,2.2362378351973254e-65,5.225224946258629e-61,2.3821620711331796e-51,8.230659203528092e-46,2.0901614006063233e-52,1.8807674421065044e-63,9.613303553165203e-45,2.2012537261323213e-55,4.753449250690541e-65,4.803912480687081e-71,6.17640457875823e-42,1.6732566621776614e-81
