Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CF3(1),O2(2),H2O(3),CH4(4),CH2CF2(57),HF(38),O2(161),S(164),CF2O(49),S(125),C2HF(58),S(463),C2HF(468),C2H2F3(68),S(165),S(464),S(130),C2H2F2(59),C2H3F2(65)
0.0,0.7720147042096194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7411910281279483,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1823976008995776e-22,0.7720147042096194,1.2800406866593812e-25,2.483733747114683e-27,2.166264405567025e-41,4.074853976840658e-41,0.0,0.0,2.5572501405746936e-22,5.46320252043917e-41,1.746235283540422e-56,3.3918002570563916e-76,7.765839003146565e-57,3.7454406871674588e-106,1.4678504956933321e-83,8.042909394839001e-61,1.65893623315403e-84,6.582393774059407e-38,-4.331061003900679e-120,1.7068606736371576e-75,-4.299908204709911e-115,1.203606518814855e-134,2.114611854767173e-62,1.4160208441791218e-97,6.12127446189156e-61,9.531653466518046e-123,1.0511889873221245e-120,-5.065595017630304e-115,1.1645629531540655e-183,-1.341597237280439e-146,7.473529095048751e-60,-7.174031249247893e-157,2.96719072678578e-132,-3.005690988360151e-157,3.76,0.0,0.7411910281279483,0.9999999999999997,3.5829287897179363e-56,-1.625791771517272e-120,5.491422835639805e-18,5.491422835639805e-18,3.639226408871389e-16,1.3897590370688515e-42,6.582393774059407e-38,2.558530181261353e-22,3.5910547732710512e-37,4.587407399451745e-40,6.040584566143026e-57,5.95160874631641e-38,2.260965299730211e-40,4.173695593855516e-44,2.405699309019476e-39,5.129230145038423e-38,4.538938768753786e-38
3.3107132825188173e-22,0.7720147042096194,3.584113922646318e-25,6.95445449192191e-27,1.3084237009624967e-40,2.4612118020117874e-40,0.0,0.0,7.160300393609139e-22,3.2997743223452564e-40,2.07313052861974e-55,9.549484815040613e-75,9.219604064538033e-56,2.1196041279308748e-104,4.533340598616245e-82,1.2154444677481994e-59,4.9193302096158806e-83,3.975765839533034e-37,2.2444375827914047e-118,5.366643055623004e-74,2.2282936139478388e-113,2.2756880424181396e-132,3.192865798852741e-61,8.61434581332884e-96,7.267177041159509e-60,7.355050833159026e-121,8.111445158858752e-119,1.5111358858529526e-113,1.4201304972899644e-180,3.6579841222244457e-144,8.872573741644195e-59,2.304144307690169e-154,3.1618603354587657e-130,9.653631129360015e-155,3.76,0.0,0.7411910281279483,0.999999999999999,4.253653324247309e-55,7.422336111637036e-119,1.5375983939791455e-17,1.5375983939791455e-17,1.0189833944836326e-15,8.394144585198527e-42,3.975765839533034e-37,7.163884507531784e-22,2.168997083055715e-36,2.7707940692687173e-39,7.171381996924989e-56,3.5947716827750726e-37,1.3656230410378887e-39,2.5209121386887844e-43,1.4530423826476527e-38,3.098055007603219e-37,2.7415190163272666e-37
7.567344645757297e-22,0.7720147042096194,8.192260394620391e-25,1.589589598153956e-26,6.299496891389112e-40,1.184967536465308e-39,0.0,0.0,1.6366400899678017e-21,1.588699292943708e-39,2.0354118464963924e-54,2.0760028854282227e-73,9.051861942075036e-55,9.465708521390258e-103,1.0073817354062095e-80,1.3075196945006128e-58,1.078815803433446e-81,1.9141601094981702e-36,2.3556285449830173e-116,1.197268543847277e-72,2.338684792655717e-111,6.111452030611359e-130,3.4337975968371553e-60,3.888927474469055e-94,7.134957512786428e-59,8.015894185328278e-119,8.840249721814648e-117,1.9494984084836153e-111,1.6899285427448457e-177,9.292576753523625e-142,8.711145513195878e-58,1.2417634894828622e-151,7.195616648556575e-128,5.202593907965087e-152,3.76,0.0,0.7411910281279483,0.9999999999999977,4.176262173729023e-54,8.356390795038015e-117,3.514510614809476e-17,3.514510614809476e-17,2.3291049016751957e-15,4.0414192817129017e-41,1.9141601094981702e-36,1.6374593160072634e-21,1.0442787280672218e-35,1.3340180717603627e-38,7.040905370296275e-55,1.7307278234287544e-36,6.574887091627829e-39,1.213710678693262e-42,6.995773590626971e-38,1.4915801261771899e-36,1.319923393953571e-36
1.6080607372234258e-21,0.7720147042096194,1.7408553338569342e-24,3.3778778960787615e-26,2.751155795070332e-39,5.1750645505880985e-39,0.0,0.0,3.477860191181572e-21,6.938267200957721e-39,1.8002987279223205e-53,3.8476611859887627e-72,8.00626937869938e-54,3.555466808373478e-101,1.8837537308138515e-79,1.2018358650529228e-57,2.0069984666940253e-80,8.359640093072799e-36,1.880719471327608e-114,2.2423514783490955e-71,1.8671916822677458e-109,1.0802989091146222e-127,3.1559102427613757e-59,1.4683850185946108e-92,6.310789119243421e-58,6.557499152313297e-117,7.231873165201736e-115,1.6732194430443287e-109,1.2683128720948482e-174,1.6155150338509962e-139,7.704909555846132e-57,4.511647971925721e-149,1.2160232627977558e-125,1.890236985452761e-149,3.76,0.0,0.7411910281279483,0.999999999999995,3.693856644132478e-53,6.860510895871624e-115,7.468335056470136e-17,7.468335056470136e-17,4.9493479160526215e-15,1.764993979040598e-40,8.359640093072799e-36,3.479601046515428e-21,4.560639562054236e-35,5.826007397301599e-38,6.227601064310739e-54,7.558543107821248e-36,2.871425930670042e-38,5.3005934041973036e-42,3.055238122453013e-37,6.514122284198964e-36,5.7644522363169984e-36
3.3107132825188177e-21,0.7720147042096194,3.584113922647045e-24,6.95445449193348e-26,1.1485533878318259e-38,2.160487578521332e-38,0.0,0.0,7.160300393609094e-21,2.896589976336827e-38,1.5132595569578913e-52,6.612456735169548e-71,6.729751826730573e-53,1.2301928967808048e-99,3.251268345069599e-78,1.0281958855466366e-56,3.456148657942912e-79,3.489985179021847e-35,1.3396608964715376e-112,3.8731045454176985e-70,1.3300248760071019e-107,1.6112776993145917e-125,2.699817426349491e-58,5.094509763047209e-91,5.304598508304957e-57,4.719479765678049e-115,5.204831640042375e-113,1.2298707123964203e-107,7.794972791761946e-172,2.3924395059851737e-137,6.476440737330224e-56,1.366966650057217e-146,1.780522802831159e-123,5.72715549270484e-147,3.76,0.0,0.7411910281279482,0.9999999999999898,3.1049090992440485e-52,4.948509360752932e-113,1.5375983939791455e-16,1.5375983939791455e-16,1.0189833944784675e-14,7.36850243213283e-40,3.489985179021847e-35,7.163884507531734e-21,1.9039772407883114e-34,2.43224340318741e-37,5.2346739356663515e-53,3.155542957296428e-35,1.1987638019283163e-37,2.2128934038629097e-41,1.2755017736405772e-36,2.719517822899523e-35,2.4065453351929775e-35
6.7160183731096015e-21,0.7720147042096195,7.270631100228549e-24,1.4107607683663343e-25,4.692215353035998e-38,8.82629670799945e-38,0.0,0.0,1.4525180798464055e-20,1.1833515187371884e-37,1.2406616120910917e-51,1.0959121205135802e-69,5.517457142057614e-52,4.091352877923736e-98,5.400010257541883e-77,8.501322415303458e-56,5.734196428491527e-78,1.425772821049501e-34,9.037845574156216e-111,6.435221129389426e-69,8.97283742353449e-106,2.221997772526235e-123,2.2322103401016626e-57,1.696684455464075e-89,4.34903034746966e-56,3.1990170602318673e-113,3.5280043638915816e-111,8.419684161745164e-106,4.3638925973932204e-169,3.288405589289575e-135,5.309777406554663e-55,3.8007461370778435e-144,2.4347122015091013e-121,1.5923917546444628e-144,3.76,0.0,0.7411910281279481,0.9999999999999793,2.5455920775459016e-51,3.3583368409174604e-111,3.1191281706434083e-16,3.1191281706434083e-16,2.0670806002157587e-14,3.010273679517834e-39,1.425772821049501e-34,1.4532451429564253e-20,7.778368281096027e-34,9.936507923492321e-37,4.2917019581371666e-52,1.2891422608866684e-34,4.897341277923591e-37,9.040391604120841e-41,5.210840931295431e-36,1.1110117663360295e-34,9.831522930669083e-35
1.3526628554291168e-20,0.7720147042096194,1.4643665455396693e-23,2.8413914067204776e-25,1.896668467766714e-37,3.5677302497177727e-37,0.0,0.0,2.925494160817365e-20,4.783296040365329e-37,1.0047199398047823e-50,1.784365942754007e-68,4.4681798434142483e-51,1.3345484552758202e-96,8.801732159387501e-76,6.913134201759426e-55,9.341626526194069e-77,5.76320170419812e-34,5.937495712895766e-109,1.049103460685454e-67,5.894787998690632e-104,2.9507444657920925e-121,1.8151762362235988e-56,5.538260651020056e-88,3.5219575316370636e-55,2.1063764815325834e-111,2.3229964941684464e-109,5.570719356808552e-104,2.335227277889366e-166,4.360022983621299e-133,4.299995409141338e-54,1.0135971965568699e-141,3.220138563497942e-119,4.246649905294521e-142,3.76,0.0,0.7411910281279478,0.9999999999999584,2.0614864662324734e-50,2.212675583809135e-109,6.282187723971933e-16,6.282187723971933e-16,4.1632750116538635e-14,1.2168007576028627e-38,5.76320170419812e-34,2.9269585273628925e-20,3.144140824627922e-33,4.0164953737619e-36,3.4755315155865756e-51,5.210919134616128e-34,1.979583646327045e-36,3.6542708298139726e-40,2.106305218602596e-35,4.490887195029145e-34,3.974058761102892e-34
2.71478489166543e-20,0.7720147042096195,2.938973416575351e-23,5.702652683461448e-25,7.626420490385612e-37,1.4345686419650031e-36,0.0,0.0,5.871446322759157e-20,1.923342300130575e-36,8.086860162285598e-50,2.8799397131428408e-67,3.5963798609043635e-50,4.3115111876194124e-95,1.4213489492531492e-74,5.575693179243662e-54,1.508151621695196e-75,2.3173580578202284e-33,3.849826115297896e-107,1.6943048913043197e-66,3.822134749224646e-102,3.8466315302800207e-119,1.4639973818791267e-55,1.7898701426919407e-86,2.8347778248901365e-54,1.367266976731943e-109,1.507876877045264e-107,3.624615110011365e-102,1.2221943482898251e-163,5.679406505508754e-131,3.461010396483425e-53,2.648129220310741e-139,4.189487648136731e-117,1.1094819277926871e-139,3.76,0.0,0.7411910281279471,0.9999999999999164,1.6592636544540918e-49,1.4367279044400558e-107,1.2608306830628977e-15,1.2608306830628977e-15,8.355663834384163e-14,4.892702379391513e-38,2.3173580578202284e-33,5.874385296175683e-20,1.2642451971491658e-32,1.6150151245958164e-35,2.7974101281520246e-50,2.095287665572667e-33,7.959818776951499e-36,1.4693662286032334e-39,8.469360645287923e-35,1.805765989482204e-33,1.597951549293265e-33
5.439028964138058e-20,0.7720147042096198,5.888187158654931e-23,1.1425175237074118e-24,3.058535716642249e-36,5.7532618807963276e-36,0.0,0.0,1.1763350646642226e-19,7.713462859392005e-36,6.489195987801429e-49,4.627958581108767e-66,2.885868346385335e-49,1.3862728692964725e-93,2.2846698451109478e-73,4.478699980834303e-53,2.4238913383849415e-74,9.293642275936619e-33,2.4799601150796275e-105,2.723545628695153e-65,2.4621220206428147e-100,4.968756108038055e-117,1.1759591167563345e-54,5.755954142034508e-85,2.2747306764802538e-53,8.812394878431354e-108,9.718662611063876e-106,2.3389209463409614e-100,6.326566930004498e-161,7.333386106694451e-129,2.7772428764537985e-52,6.84833441461178e-137,5.4063112918993065e-115,2.869234331494879e-137,3.76,0.0,0.7411910281279459,0.9999999999998326,1.3314545863898341e-48,9.261588247277117e-106,2.5260545043943048e-15,2.5260545043943048e-15,1.6740441479261116e-13,1.9621925256321307e-37,9.293642275936619e-33,1.176923883380068e-19,5.070188688052749e-32,6.476932982754778e-35,2.244745453105317e-49,8.40304067924741e-33,3.192243341412121e-35,5.892815766823439e-39,3.3965924201382605e-34,7.241929266405699e-33,6.408500413958131e-33
