Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CF3(1),O2(2),H2O(3),CH4(4),CH2CF2(57),HF(38),O2(161),S(164),CF2O(49),S(125),C2HF(58),S(463),C2HF(468),C2H2F3(68),S(165),S(464),C2H2F2(59),S(162),S(130),C2H3F2(65),C2H2F3(67),CF2(43),CHFCF2(55),CF2CH(73),C2HF2(72),S(179),C2H3F2(64),CHF2(82),S(1228),CHF3(42),S(1335),CF2O2(181),CF2O2(276),CH2F2(41),S(203),S(1568),CHO2(322),S(174),CF2CF2(61),C2F(467),S(512),C2H3F2(66),S(413),S(1931),S(1325),C2HF3(169),F(37),C2HF4(69),C2HFO(577),S(4228),S(4234),CHFO(47),C2HF4(54),S(5148),C1OO1(180),CH2O2(318),CFO(51),C2H2O(623),S(1319),S(2245),S(344),S(1323),CHF2O(206),S(6577),CH2F(46),S(1074),S(973),CF3(45),C2H2F(71),CHO2(457),CHF2O(207),CH2CF(70),CHFO2(635),CF3O2(511),CH2CFO(79),S(2261),C2HF5(81),CHF3O(248),C2F5(2339),S(1320)
0.0,0.5153063308018514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5033526063308761,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.9535009959534212e-21,0.5153063308018514,1.442697379183888e-28,2.3988286034995793e-32,1.6917169620762283e-42,1.4712860508061758e-43,0.0,0.0,5.1485755327890316e-24,6.601711315705469e-43,1.0856847954936707e-54,1.2631417279703495e-54,7.205551394945641e-60,1.3589778224341005e-71,7.352613982584538e-50,9.181856135177398e-41,2.949671618142771e-25,4.683117085448497e-40,1.8367631888535956e-87,3.600425554256645e-74,1.3268386646406127e-67,1.535374092207119e-87,2.3491699182646195e-28,9.956321485439006e-77,7.671529792823492e-44,4.0872769688828305e-84,3.8266661350455527e-87,6.875905800995976e-66,4.493354052177941e-63,8.309797008715699e-65,2.0603861961466975e-59,7.216329161875753e-97,1.0559959412606175e-100,2.0065169427540622e-98,3.76,0.0,0.5033526063308761,0.9999999999999993,1.9516610232672665e-55,3.7135070888822425e-41,2.5815291477153847e-20,2.5815291477153847e-20,5.338539113488796e-16,4.530342148330876e-44,4.6673738210054174e-40,5.148719802526947e-24,6.2945621108174136e-43,1.2507238062461124e-39,3.0892252975823945e-65,3.598617391968104e-40,1.9884328944861479e-44,8.99032390151426e-48,1.5821989730478345e-43,3.595845648605256e-48,3.3509468738772037e-45,5.767821301510501e-31,3.796927288665972e-41,2.538752335075905e-42,5.713189027308886e-50,1.256183964249605e-44,7.17778317076911e-52,3.369697794777341e-58,2.618903665885624e-45,9.220134046201166e-58,3.800857025795413e-73,2.3491699182655764e-28,1.6030083432885434e-77,9.375940114217549e-61,2.581673228160224e-61,2.1269703922891037e-65,2.2796200342595754e-45,1.6109179723294335e-77,3.029766992079645e-53,1.0874121295192146e-60,2.81671510198703e-86,2.1779126710335122e-70,1.3994839082300684e-51,2.1115864617174963e-48,1.586646850942341e-58,8.400697656003944e-72,3.9331120325866795e-82,7.792096671790446e-62,5.767821301494063e-31,2.2569766669468576e-72,3.312388532595e-66,8.964017584384972e-83,1.6468609153617223e-80,1.3054975160683674e-57,7.579337633655317e-71,7.612404449377203e-86,2.3719679706156032e-57,2.0635113682589795e-58,1.8449466445469164e-68,4.3305216518241306e-104,6.899485271484851e-81,1.7737061503364642e-100,1.0307376107854589e-78,2.3100599022163953e-80,6.724190796679367e-67,4.093314555915758e-109,2.5384259386370413e-42,1.8809379157083634e-72,6.324650945318101e-81,2.949671618142769e-25,2.2157209396670184e-49,9.12335154621795e-73,3.978299562076279e-71,6.162313364505722e-50,1.9413506737585338e-97,2.647359009735328e-40,3.7372972324684906e-63,4.566103076249943e-87,1.5370141247458099e-93,5.304767462104429e-82,3.776407358808987e-81,2.6937153625972996e-86
8.269802788669578e-21,0.5153063308018514,4.039552661714987e-28,6.716720089868145e-32,1.0217970450945622e-41,8.886567746906238e-43,0.0,0.0,1.441601149180928e-23,3.987433634686101e-42,1.2889249892092595e-53,1.4996018596305545e-53,8.554434131460507e-59,1.613378470792689e-70,4.440978845479073e-49,5.5458411056430965e-40,8.259080530799756e-25,2.8286027196240104e-39,4.108931015171709e-86,4.274425218034205e-73,1.575222862661384e-66,4.293044823637541e-86,6.577675771137961e-28,2.2276060095661996e-75,4.633603994865194e-43,9.143084388639827e-83,1.2024994578224921e-85,1.0390868846485932e-64,6.790356643651309e-62,1.2557765239571147e-63,2.4460904920650805e-58,4.390045420639994e-95,6.341879176927779e-99,1.220677130709622e-96,3.76,0.0,0.5033526063308761,0.9999999999999984,2.3170119668440835e-54,2.2429582816848748e-40,7.228281613603077e-20,7.228281613603077e-20,1.4947909517627708e-15,2.736326657812022e-43,2.8190937879003877e-39,1.441641544707544e-23,3.801915514933719e-42,7.554371789725358e-39,3.667528273289813e-64,2.173564904748671e-39,1.2010134682834408e-43,5.430155636522462e-47,9.556481797209051e-43,2.1718907717637038e-47,2.023971911820541e-44,1.6149899644282724e-30,2.293344082354256e-40,1.533406410385852e-41,3.450807783380918e-49,7.587351144067413e-44,4.3353810465191365e-51,4.023266726362391e-57,1.5818178141949058e-44,5.568961062784371e-57,8.54857812021978e-72,6.577675771143739e-28,3.605355833420495e-76,5.7440158488023e-60,3.0649624564424095e-60,2.5288029063700163e-64,1.3768905006965065e-44,3.623145526949014e-76,3.596939372976029e-52,1.6427226636079417e-59,8.851762954922945e-85,2.5856179230509807e-69,8.459705476383669e-51,1.275398222882409e-47,9.583346979717613e-58,9.973308231392895e-71,1.2366333528398958e-80,4.706431277994953e-61,1.614989964418343e-30,2.679512287839871e-71,3.933798028999965e-65,2.0058629209863786e-81,3.6851525725807767e-79,1.549886651076369e-56,9.616158892098391e-70,1.8145841803757585e-84,1.435676948914168e-56,2.4498006963908454e-57,2.1903206564175488e-67,1.7870184938477533e-102,2.1693085611190888e-79,8.473207124880567e-99,3.2408039663275833e-77,7.263197942089838e-79,7.982959313851051e-66,1.6891194065511635e-107,1.5332092669367773e-41,2.233074152527682e-71,1.9885714516231346e-79,8.2590805307997425e-25,1.3382954475588785e-48,2.0408572474705384e-71,4.7230372401201543e-70,3.7220372721625675e-49,1.1809357059608302e-95,1.5990048418801212e-39,4.4369239988138005e-62,1.0214297687970357e-85,3.6667099132166754e-92,1.6679037663849947e-80,1.187362896127288e-79,8.469472094464103e-85
1.8902406374101895e-20,0.5153063308018514,9.233263226777585e-28,1.5352503062882573e-31,4.91951292572548e-41,4.278499835799764e-42,0.0,0.0,3.2950883409849737e-23,1.919777650607147e-41,1.2654741976247986e-52,1.4723179986931218e-52,8.39879569784839e-58,1.584024549825855e-69,2.138140146132603e-48,2.6700837641035104e-39,1.8877898356113724e-24,1.3618504484677253e-38,8.118714581784002e-85,4.1966560261034826e-72,1.5465631475052455e-65,9.310053207889321e-85,1.5034687476872742e-27,4.40174254061381e-74,2.23088086375278e-42,1.806520297756174e-81,2.6823866858052114e-84,1.1178022542631851e-63,7.304755815544636e-61,1.350907080112884e-62,2.4015861502277285e-57,1.9818763547073677e-93,2.858592987343004e-97,5.510722155717591e-95,3.76,0.0,0.5033526063308761,0.9999999999999966,2.2748560887481787e-53,1.0798878614469559e-39,1.6521786545378463e-19,1.6521786545378463e-19,3.4166650325341834e-15,1.3174234970579147e-42,1.357272307167673e-38,3.295180673617237e-23,1.8304586618257036e-41,3.637104828561953e-38,3.6008010068620176e-63,1.0464779375842287e-38,5.7823628573688836e-43,2.614386190571895e-46,4.601034613623296e-42,1.0456719146226863e-46,9.744553509215558e-44,3.691405633004043e-30,1.104146455544077e-39,7.382691790400809e-41,1.6614577854709498e-48,3.652982968037549e-43,2.0872993631215497e-50,3.9600410858424177e-56,7.615771860395232e-44,2.6812151261287924e-56,1.693510691471743e-70,1.5034687476900565e-27,7.142367496179174e-75,2.847945414976704e-59,3.009198314652388e-59,2.484399081689665e-63,6.629135059682686e-44,7.1776096565063235e-75,3.531496405903166e-51,1.7669682945968135e-58,1.9745003610607938e-83,2.538575009356645e-68,4.0799332111441197e-50,6.140493430750093e-47,4.613969042579138e-57,9.791853097940345e-70,2.758860983090634e-79,2.2659490445069362e-60,3.691405632956241e-30,2.6308237283989964e-70,3.8628091892316346e-64,3.963871938099616e-80,7.282388401284025e-78,1.5216879047292973e-55,9.712025381397835e-69,3.693041193172469e-83,6.942807278485221e-56,2.405228850823399e-56,2.1504698089187585e-66,7.06929679932188e-101,4.839608066358985e-78,4.4119813831226196e-97,7.23005537250155e-76,1.6203795060529818e-77,7.837716792710783e-65,6.681991818915352e-106,7.381742629556581e-41,2.192497677445052e-70,4.436393517408464e-78,1.8877898356113658e-24,6.443316492551684e-48,4.0323900070890116e-70,4.637105969626508e-69,1.7920007263998926e-48,5.331517566912443e-94,7.698520000310087e-39,4.356200362854345e-61,2.018219690622761e-84,7.466261074326062e-91,3.7210015515644916e-79,2.648941304518313e-78,1.8894926337741223e-83
4.0167613544966527e-20,0.5153063308018514,1.962068435690439e-27,3.262406901002062e-31,2.1484805418448793e-40,1.8685332845810956e-41,0.0,0.0,7.00206272459305e-23,8.384173370945912e-41,1.1192975967565874e-51,1.3022485970671653e-51,7.428640293305292e-57,1.4010517758096623e-68,9.337819757851562e-48,1.1660957291612502e-38,4.011553400674164e-24,5.9475586987173e-38,1.4446948098833684e-83,3.71189472954465e-71,1.3679175896981924e-64,1.7238460748108345e-83,3.194871088829471e-27,7.832966744765738e-73,9.742842836882824e-42,3.2146070755394277e-80,5.023572831677471e-83,1.0274528520460754e-62,6.714329093088446e-60,1.2417163474183457e-61,2.124175752777588e-56,7.483188020788946e-92,1.0784579560571464e-95,2.080744016140772e-93,3.76,0.0,0.5033526063308761,0.9999999999999927,2.012084448571174e-52,4.7161540028804435e-39,3.5108796408929234e-19,3.5108796408929234e-19,7.26041319385153e-15,5.75353453168844e-42,5.92756475287454e-38,7.0022589314366e-23,7.994093880738115e-41,1.5884192339307624e-37,3.1848677127955025e-62,4.5702440877984993e-38,2.5253097762055034e-42,1.1417711355041389e-45,2.0093926957709492e-41,4.5667239738099404e-46,4.2557025298040524e-43,7.844236970240893e-30,4.822097656605911e-39,3.224215465546478e-40,7.25639503342072e-48,1.5953536345966853e-42,9.115784803182996e-50,3.506572589793701e-55,3.3260076556745725e-43,1.1709571728925817e-55,3.017127620867883e-69,3.1948710888416212e-27,1.2724711074757424e-73,1.3162138253476542e-58,2.661601831112609e-58,2.1980604246432773e-62,2.8951174435673614e-43,1.2787497861415524e-73,3.1235685780182076e-50,1.6240765951923037e-57,3.6978186892066425e-82,2.2453408473286744e-67,1.7879197029969665e-49,2.6817148064593534e-46,2.015041500736877e-56,8.66078305865722e-69,5.167041292308055e-78,9.8960385407934e-60,7.844236970032126e-30,2.3270452879075845e-69,3.416842500899394e-63,7.054005371587216e-79,1.2959552605351675e-76,1.3459157191658614e-54,8.697790034428355e-68,6.659034318151455e-82,3.0590278899582042e-55,2.127397680179816e-55,1.9020661927347186e-65,2.5229867085353613e-99,9.064050298487282e-77,1.760705951292618e-95,1.3541093546972249e-74,3.034791483845727e-76,6.932371743955373e-64,2.384755977710969e-104,3.223800942069108e-40,1.939332283658496e-69,8.308874072923311e-77,4.011553400674134e-24,2.8139655933771067e-47,7.175422567654376e-69,4.101467716664484e-68,7.826137972938914e-48,2.013113412474608e-92,3.3621459423636123e-38,3.853010710723978e-60,3.591480683067676e-83,1.3470740824361464e-89,6.969024094921923e-78,4.96117389934902e-77,3.538810588858193e-82
8.269802788669579e-20,0.5153063308018514,4.039552661716443e-27,6.716720090873347e-31,8.969483333000799e-40,7.800758641889618e-41,0.0,0.0,1.4416011491809147e-22,3.5002273395870097e-40,9.408370728079373e-51,1.0946184133665205e-50,6.244220018454465e-56,1.1776684372635372e-67,3.8983559335386036e-47,4.868220122814542e-38,8.259080530799739e-24,2.4829886788819816e-37,2.4366993002721914e-82,3.1200711787411045e-70,1.1498171573594727e-63,2.9612597623418287e-82,6.577675771094824e-27,1.3211688339655153e-71,4.067445096152306e-41,5.421905271892277e-79,8.676773829885673e-82,8.790075465396747e-62,5.744249900055634e-59,1.0623144778377599e-60,1.7854977113983037e-55,2.596265553930954e-90,3.73999531884101e-94,7.219067884409737e-92,3.76,0.0,0.5033526063308761,0.999999999999985,1.6912782161999808e-51,1.9689014585253612e-38,7.228281613603077e-19,7.228281613603077e-19,1.4947909515584307e-14,2.401987410008508e-41,2.474641600074216e-37,1.4416415447075237e-22,3.337376831155393e-40,6.631337620700686e-37,2.6770732152800626e-61,1.907986941220595e-37,1.0542671208430526e-41,4.766669732688863e-45,8.388818955101412e-41,1.906517362961815e-45,1.7766720325116956e-42,1.6149899645055826e-29,2.0131308484508125e-38,1.3460464880573149e-39,3.0297132941437625e-47,6.66028737844859e-42,3.805660795817386e-49,2.949056065873041e-54,1.3885427236524041e-42,4.888516406871548e-55,5.0917192422298705e-68,6.577675771145549e-27,2.1474284276975775e-72,6.100348327736258e-58,2.2372367124046442e-57,1.8478550180419023e-61,1.2086545422163578e-42,2.1580243561707218e-72,2.625547598817199e-49,1.3894043684295316e-56,6.38690649075984e-81,1.88734427411484e-66,7.515239937338763e-49,1.1195631420729366e-45,8.412401604057228e-56,7.2799098141958256e-68,8.924778880178334e-77,4.1314378462410335e-59,1.6149899644184258e-29,1.9562093417453417e-68,2.8721537958369322e-62,1.1898016710683315e-77,2.1858924873343932e-75,1.1313232594646212e-53,7.353779281448028e-67,1.1301544770343341e-80,1.2995831285916096e-54,1.7882059354779306e-54,1.5988012431492882e-64,8.524609937265247e-98,1.5655892820513403e-75,6.257824719239147e-94,2.3388871670275617e-73,5.241847588596129e-75,5.827076157730347e-63,8.057552366535161e-103,1.3458734326654185e-39,1.63028195017632e-68,1.4351513689921603e-75,8.259080530799617e-24,1.1747752422114469e-46,1.2102398941521666e-67,3.447530747966446e-67,3.2672585458758403e-47,6.984478808008531e-91,1.4036297469614424e-37,3.238687989663704e-59,6.058119271077776e-82,2.2885657898889947e-88,1.2037256050294445e-76,8.569194154309781e-76,6.11241525221231e-81
1.6775885657015432e-19,0.5153063308018514,8.19452111377102e-27,1.3625346472390624e-30,3.664326608597097e-39,3.1868644379244765e-40,0.0,0.0,2.9243909026241115e-22,1.4299570778270424e-39,7.713550752606743e-50,8.974343112511874e-50,5.119388927896915e-55,9.655237365875271e-67,1.5926055990602733e-46,1.988826766256117e-37,1.675413479105086e-23,1.0143818933261964e-36,4.0022941833649875e-81,2.558022859294927e-69,9.426895746303758e-63,4.906844723930697e-81,1.3343285135549373e-26,2.1700435935396187e-70,1.6616840392424466e-40,8.90549615531895e-78,1.4416425198466333e-80,7.267804378424464e-61,4.7494569002675136e-58,8.783421534239926e-60,1.4638588990294318e-54,8.64664827975497e-89,1.245287606420226e-92,2.4042510606606913e-90,3.76,0.0,0.5033526063308761,0.9999999999999697,1.3866120643534332e-50,8.043604894802461e-38,1.4663085559023385e-18,1.4663085559023385e-18,3.0322902155442225e-14,9.812902332003823e-41,1.0109718392747295e-36,2.924472847835214e-22,1.3634273314514953e-39,2.7091177932676106e-36,2.1948263638375867e-60,7.794749215691028e-37,4.307025188348523e-41,1.9473401184531574e-44,3.4271062635820497e-40,7.788745509301111e-45,7.258284966540597e-42,3.276122499605063e-29,8.224296384343008e-38,5.499039107868406e-39,1.2379910622499009e-46,2.7209447139208305e-41,1.554736680266617e-48,2.418439309198771e-53,5.672650096453593e-42,1.9971190433956058e-54,8.365475571310603e-67,1.33432851357566e-26,3.5281324829631544e-71,2.9869431995883517e-57,1.8342218246724571e-56,1.5150837810241506e-60,4.937748179447294e-42,3.5455411368447357e-71,2.1525825501972517e-48,1.148775706081918e-55,1.0611819182829073e-79,1.5473588644574228e-65,3.111920687913686e-48,4.5737807401339434e-45,3.436740545320743e-55,5.968509574504915e-67,1.482865359122981e-75,1.6878570424230287e-58,3.2761224992489986e-29,1.6041261932739083e-67,2.354801738573779e-61,1.9542852304016733e-76,3.590394523556075e-74,9.275271597814731e-53,6.04624463187061e-66,1.8619308526456778e-79,5.493087186305601e-54,1.4660792646921986e-53,1.3107938547513457e-63,2.80270655373258e-96,2.6012500074946174e-74,2.107807711666835e-92,3.8860960090407514e-72,8.709408165567417e-74,4.777389091553736e-62,2.6491470730789472e-101,5.498332120125877e-39,1.3368599786324925e-67,2.3845254640847206e-74,1.675413479105036e-23,4.799340184156296e-46,1.987822660058161e-66,2.826493998448774e-66,1.3347817240179871e-46,2.3261315117532345e-89,5.7342855094451804e-37,2.6552722169483596e-58,9.952325907977672e-81,3.7778286310295614e-87,2.0000080960661878e-75,1.423784425052517e-74,1.0155869360457275e-79
3.378805139370714e-19,0.5153063308018514,1.650445801789046e-26,2.7442599242523985e-30,1.4811794027625093e-38,1.2881815595701117e-39,0.0,0.0,5.889970409510414e-22,5.780115139043087e-39,6.246633386623943e-49,7.267655759076527e-49,4.1458139220231884e-54,7.819061547638188e-66,6.437566467030886e-46,8.039155775048708e-37,3.374424331155296e-23,4.100293799160489e-36,6.48789795263292e-80,2.0715532330059567e-68,7.634144584141695e-62,7.988623075263857e-80,2.687450386415384e-26,3.5177501275706033e-69,6.716792567028158e-40,1.44361934038289e-76,2.3502277629647287e-79,5.910057820287119e-60,3.8621794743134305e-57,7.142532520269944e-59,1.185470889534271e-53,2.8224100112770264e-87,4.064353346338845e-91,7.847875974190926e-89,3.76,0.0,0.5033526063308761,0.9999999999999389,1.1229144000368024e-49,3.251353704656643e-37,2.9532693449864e-18,2.9532693449864e-18,6.107288742072746e-14,3.966532027855239e-40,4.0865098154635666e-36,5.8901354540904525e-22,5.511191267001965e-39,1.0950687270998867e-35,1.7774272941518093e-59,3.1507622602966675e-36,1.7409684451964118e-40,7.87146011205898e-44,1.3852911464553344e-39,3.1483354664323686e-44,2.9339148334040923e-41,6.598387570349995e-29,3.32439209373771e-37,2.222799529471526e-38,5.00621393214563e-46,1.0998493575288514e-40,6.284494804699358e-48,1.9587641655007682e-52,2.2929758668577544e-41,8.072679196821849e-54,1.3562644092751074e-65,2.6874503864991484e-26,5.720034057652941e-70,1.6073590566559783e-56,1.4854003885367914e-55,1.2269942557566335e-59,1.9959167621175778e-41,5.748258079054774e-70,1.7432171582688264e-47,9.341610951881904e-55,1.7299851729054237e-78,1.253091326425246e-64,1.291600993816396e-47,1.848795303873576e-44,1.3891854773002416e-54,4.833453271351468e-66,2.417444791411065e-74,6.822829573129219e-58,6.598387568910728e-29,1.2995611748570793e-66,1.9069940722728753e-60,3.1680064840989965e-75,5.820231846285835e-73,7.511355417566383e-52,4.903505860386928e-65,3.022934718968818e-78,2.369042681862623e-53,1.1872689991148824e-52,1.0615148483896636e-62,9.090513645591342e-95,4.2406940338127914e-73,6.91803596266677e-91,6.33531729475256e-71,1.4198533446604817e-72,3.868853549057188e-61,8.592445258935721e-100,2.2225137537221954e-38,1.0830390600674976e-66,3.887378329610509e-73,3.374424331155095e-23,1.939970037283535e-45,3.2223461923680767e-65,2.288968122124108e-65,5.395401141769688e-46,7.592894193749398e-88,2.31788988625416e-36,2.1503083356377146e-57,1.6139136780737323e-79,6.157307839149193e-86,3.2605179727976985e-74,2.3211279574701457e-73,1.6556630266635386e-78
6.781238286709054e-19,0.5153063308018514,3.312433182617047e-26,5.5077104811185965e-30,5.955757234078198e-38,5.1797213962159785e-39,0.0,0.0,1.1821129423282654e-21,2.324158875539207e-38,5.027833994143459e-48,5.849641676580205e-48,3.336911738429186e-53,6.2934609762286864e-65,2.58851716286824e-45,3.2325091794944956e-36,6.772446035255665e-23,1.6487101033978292e-35,1.044856493926437e-78,1.6673662635088017e-67,6.144623716898392e-61,1.289317643349678e-78,5.393694132014424e-26,5.665240933732843e-68,2.700792749667379e-39,2.324904473222345e-75,3.795613287488213e-78,4.766675739243328e-59,3.1149876630937588e-56,5.760711233606841e-58,9.541701055261559e-53,9.12154145062498e-86,1.3134521044174559e-89,2.536297918319343e-87,3.76,0.0,0.5033526063308761,0.9999999999998774,9.03819200458681e-49,1.3073550246693267e-36,5.927190923154523e-18,5.927190923154523e-18,1.2257285789357555e-13,1.5949250913623335e-39,1.6431676241773317e-35,1.1821460666600349e-21,2.216025769361714e-38,4.4032231887501576e-35,1.430628119013007e-58,1.2669076473068923e-35,7.000357552851622e-40,3.1650794914203537e-43,5.570194772583956e-39,1.2659318443681164e-43,1.1797142506342962e-40,1.3242917714023753e-28,1.336723439684655e-36,8.937779145732081e-38,2.014630133302724e-45,4.422445893483391e-40,2.526968172759868e-47,1.5766833951227187e-51,9.219955111888278e-41,3.2459925890582113e-53,2.184369770606709e-64,5.393694132351238e-26,9.212561647869857e-69,9.679824643064716e-56,1.1955794588104937e-54,9.876077523899313e-59,8.025493518345792e-41,9.258018633109543e-69,1.4030928248728439e-46,7.534330819325827e-54,2.7939248998853342e-77,1.008596915988457e-63,5.464589406736447e-47,7.433924605907294e-44,5.585853706655496e-54,3.890382846713242e-65,3.904179795930852e-73,2.7436240116165035e-57,1.324291770823652e-28,1.0468018765299945e-65,1.5349205552242855e-59,5.101997495949565e-74,9.37334202865257e-72,6.045792313210633e-51,3.9500057144710625e-64,4.872552377457045e-77,1.0721249624025384e-52,9.556173803877093e-52,8.54399499988662e-62,2.928630401845736e-93,6.848732192055759e-72,2.2418306940617216e-89,1.0231554353601579e-69,2.293066942828879e-71,3.113989919802939e-60,2.7681707315047103e-98,8.936630054012584e-38,8.723924218064785e-66,6.278126386035266e-72,6.772446035254858e-23,7.800534196934968e-45,5.189489201221098e-64,1.842360681014672e-64,2.169467069311541e-45,2.453894375432108e-86,9.320133288120742e-36,1.7307552418279847e-56,2.601086802022112e-78,1.0001303728117566e-84,5.265745236096906e-73,3.748627851362145e-72,2.6739002105661083e-77
1.3586104581385737e-18,0.5153063308018514,6.636407944289503e-26,1.103461160620909e-29,2.3885250287842016e-37,2.0772999497616226e-38,0.0,0.0,2.368344745082567e-21,9.320916596375321e-38,4.034520137999789e-47,4.693969127996629e-47,2.677661526392846e-52,5.0501060846279416e-64,1.038111156506597e-44,1.2963807583548568e-35,1.35684894434562e-22,6.612064922273905e-35,1.6772265007594493e-77,1.337956420252831e-66,4.93067355794632e-60,2.0719313933770045e-77,1.0806181622725095e-25,9.093976616297143e-67,1.0831386885185471e-38,3.731986592315812e-74,6.1013287962049595e-77,3.828853177725389e-58,2.5021274912929252e-55,4.6273165437474215e-57,7.656614181383594e-52,2.933351031068785e-84,4.2237416825659177e-88,8.156354029509972e-86,3.76,0.0,0.5033526063308761,0.9999999999997544,7.252579877653742e-48,5.243078377750124e-36,1.1875034079490769e-17,1.1875034079490769e-17,2.4557279860838215e-13,6.396363031447462e-39,6.589837101664267e-35,2.3684111091617827e-21,8.887254476890441e-38,1.7658894376223192e-34,1.1479889676957822e-57,5.080866303974761e-35,2.8074564815812245e-39,1.2693384379409452e-42,2.233897236860561e-38,5.0769528993609405e-43,4.731181784727025e-40,2.653197801010683e-28,5.3608588573089484e-36,3.5844491893828436e-37,8.092830713268198e-45,1.7735986020074132e-39,1.0134276212378798e-46,1.2652289350847984e-50,3.69761437243491e-40,1.3017912478470886e-52,3.506515419803957e-63,1.0806181624075862e-25,1.4788700110691687e-67,6.462133186988116e-55,9.593772194518365e-54,7.924994312020038e-58,3.2185818510139263e-40,1.486167107964773e-67,1.125893627350621e-45,6.051977520875447e-53,4.491153042271024e-76,8.093355058654194e-63,2.409006622893203e-46,2.9813362589799597e-43,2.2401771706067806e-53,3.121785867394301e-64,6.275854997547244e-72,1.100471744991171e-56,2.653197798689745e-28,8.41279665191575e-65,1.2316794070960215e-58,8.189852469421973e-73,1.504632029288854e-70,4.851367580652219e-50,3.1715684516936257e-63,7.826428903966013e-76,5.2585470949865e-52,7.668227648103103e-51,6.856017910213489e-61,9.403218573052639e-92,1.100913697375413e-70,7.219052039683414e-88,1.6446924799660418e-68,3.6860381344434346e-70,2.4987807998028664e-59,8.888015728807344e-97,3.5839883522086925e-37,7.0111261856524325e-65,1.009190480582448e-70,1.3568489443452957e-22,3.128363100389937e-44,8.330279459423346e-63,1.4783784196593278e-63,8.7005332661406e-45,7.891360139209526e-85,3.737790301680884e-35,1.3888220907343383e-55,4.181511963964255e-77,1.631011142448766e-83,8.464531677415887e-72,6.025809788182832e-71,4.2982164942418524e-76
