Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CF3(1),O2(2),H2O(3),CH4(4),CH2CF2(57),HF(38),O2(161),S(164),CF2O(49),S(125),C2HF(58),S(463),C2HF(468),C2H2F3(68),S(165),S(464),S(130),C2H2F2(59),C2H3F2(65),C2H2F3(67),CF2(43),CHFCF2(55),CF2CH(73),C2HF2(72),S(179),C2H3F2(64),CHF2(82),CHF3(42),S(1244),S(1385),CF2O2(181),CF2O2(276),CH2F2(41),S(203),S(1542),CHO2(322),C2F(467),S(174),S(413)
0.0,0.5138296445418482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7907863246477571,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.108524104167376e-21,0.5138296445418482,5.076898004730166e-29,1.9533812476529244e-33,3.949259860070006e-44,7.8897765120419e-44,0.0,0.0,2.8792112932038354e-24,4.160163569385491e-43,3.402567605727557e-55,3.9587247704117806e-55,1.1389873892744744e-60,1.6290874423394267e-81,2.791524644953266e-55,2.114154673978567e-41,1.3544085071356328e-60,1.499174735215337e-40,3.830299534950933e-100,8.587267857579588e-88,4.978218955632397e-96,2.5864336891063455e-95,3.901615458173216e-29,5.456558148735164e-83,1.5890800701430536e-67,4.0755843733239004e-107,6.040259638515065e-122,6.403192215237784e-98,8.232146037480695e-123,8.281343217434843e-118,8.689396605548857e-66,9.361879065889925e-120,7.41296526887183e-118,2.6078034134674675e-134,3.76,0.0,0.7907863246477571,0.9999999999999996,5.661647727882215e-56,2.3716451199501092e-76,1.0911871142753861e-20,1.0911871142753861e-20,4.272001869823045e-16,1.7713184302362996e-44,1.4991747352153353e-40,2.879262062183882e-24,4.449395774637595e-44,1.2164837804401904e-39,5.075822840583883e-67,1.103401171119059e-40,2.820916870727872e-45,2.6298904582285112e-48,2.2448535052099174e-46,1.1213700978385758e-44,3.244186677203534e-43,9.033187617747404e-42,6.443574802144882e-48,1.158180994192441e-50,1.7233065424479498e-45,6.13632519491371e-52,6.734162288407337e-59,4.432340595457233e-46,2.2867630915759408e-61,3.9016154581753307e-29,1.1167127682507457e-73,4.185236719599903e-78,3.744152952162066e-62,4.3929117817169545e-67,3.8127270837689476e-69,2.3881779687174558e-57,4.366509873122073e-78,1.6312018580145047e-74,3.554218680552896e-72,7.761852380135675e-62,1.9360724041077477e-71
1.1503867491668652e-20,0.5138296445418482,1.4215314413244695e-28,5.469467493565273e-33,2.3853529554988577e-43,4.76542501328489e-43,0.0,0.0,8.061791620970734e-24,2.5127387959088352e-42,4.0395282615176584e-54,4.699798047430412e-54,1.352205969219674e-59,1.934052611543623e-80,1.6860808855507356e-54,1.2769494230823275e-40,1.6079537829063878e-59,9.055015400754268e-40,2.3301581257266112e-98,2.6999744107084933e-86,2.3781549337314415e-94,1.2355704104893696e-93,1.0924523282878154e-28,1.22061023164568e-81,1.88655585928657e-66,1.947141584697157e-105,5.254474073951913e-120,3.0589785012513594e-96,9.363472651170157e-121,6.390266227572233e-116,1.0316051650162605e-64,7.224056754062926e-118,5.720185172372065e-116,2.7788213463853924e-132,3.76,0.0,0.7907863246477571,0.9999999999999988,6.721508182600614e-55,5.30527527772044e-75,3.055323919971081e-20,3.055323919971081e-20,1.1961605235347295e-15,1.069876331924042e-43,9.055015400754248e-40,8.06193377411486e-24,2.687435047881107e-43,7.34756203385774e-39,6.026016876341176e-66,6.664543073558967e-40,1.703833789945299e-44,1.5884538367734007e-47,1.3558915171458465e-45,6.773075390945093e-44,1.959488753030889e-42,5.456045321119443e-41,3.891919180496306e-47,6.995580429511384e-50,1.0408771516385211e-44,3.7063404186827173e-51,8.018454872327372e-58,2.6771337196561452e-45,1.3812088460602998e-60,1.0924523282890923e-28,2.5051033025683187e-72,9.388672384131084e-77,2.2614697886830783e-61,5.21526486718005e-66,5.761793168268145e-68,2.8353035156476856e-56,9.795319454285375e-77,3.6592346046525083e-73,4.2195684175523824e-71,1.1729708416960749e-60,2.2985182867747362e-70
2.6294554266671203e-20,0.5138296445418482,3.249214723027469e-28,1.2501639985938317e-32,1.14844476733322e-42,2.2943470097191595e-42,0.0,0.0,1.8426952276504516e-23,1.209775565977299e-41,3.9660328012295214e-53,4.614289592384367e-53,1.3276039007058535e-58,1.898864322785425e-79,8.11775366750854e-54,6.14796179191877e-40,1.5786985605108866e-58,4.3596001300851165e-39,1.0519447618355693e-96,6.023494384904536e-85,1.2383003435634533e-92,6.433589511364325e-92,2.497033893226063e-28,2.411720127342056e-80,1.852231729797644e-65,1.014150533566816e-103,5.461523666488937e-118,1.5927725660970418e-94,8.476716218148778e-119,6.964420004415734e-114,1.0128360683595056e-63,7.873131069424404e-116,6.234138121654535e-114,6.323947795210962e-130,3.76,0.0,0.7907863246477571,0.9999999999999972,6.599216591698111e-54,1.0482329943260523e-73,6.983597531362471e-20,6.983597531362471e-20,2.7340811965766874e-15,5.150993996026043e-43,4.359600130085096e-39,1.8427277197976782e-23,1.2938842912646126e-42,3.537534833518559e-38,5.916379102984548e-65,3.208690605614e-39,8.203226260454278e-44,7.647721452578244e-47,6.528033993136285e-45,3.26094424451472e-43,9.434094857307192e-42,2.6268509592409635e-40,1.873791552464928e-46,3.368241167995179e-49,5.011375425438032e-44,1.7844433681131622e-50,7.882933076377402e-57,1.2889246451589275e-44,6.649965026178017e-60,2.497033893232211e-28,4.9564704640240365e-71,1.8575951466937213e-75,1.0888017868527062e-60,5.120377972538894e-65,6.198274164767694e-67,2.783743496621372e-55,1.938052275509637e-75,7.239963127516026e-72,4.1427972940524044e-70,1.2618284059150646e-59,2.2567046373203943e-69
5.587592781667631e-20,0.5138296445418482,6.904581286433843e-28,2.6565984972877787e-32,5.015560022545817e-42,1.002001617047276e-41,0.0,0.0,3.9157273587572024e-23,5.283407733119556e-41,3.507911098787175e-52,4.081286889287762e-52,1.1742506400445999e-57,1.679523989542891e-78,3.545236299074572e-53,2.684976435941516e-39,1.3963409991423788e-57,1.9039519138043098e-38,3.9719432640516716e-95,1.1281338349882816e-83,4.941731605551286e-91,2.5674766861441255e-90,5.306197023091597e-28,4.2915271089860673e-79,1.6382779891957892e-64,4.04943854645387e-102,4.3717486791392847e-116,6.356293481503067e-93,6.424596548652404e-117,5.697326271877286e-112,8.958420324804803e-63,6.440710224775469e-114,5.0999121936123195e-112,1.0687192536534407e-127,3.76,0.0,0.7907863246477571,0.9999999999999941,5.836932341606597e-53,1.8652746073268815e-72,1.484014475414525e-19,1.484014475414525e-19,5.809922542409034e-15,2.2495744073192073e-42,1.903951913804292e-38,3.9157964045700496e-23,5.650732633789744e-42,1.5449344011574783e-37,5.2329703157283056e-64,1.4013194873209752e-38,3.582564426211186e-43,3.339960882001152e-46,2.850963951601968e-44,1.424140024255137e-42,4.12011708004778e-41,1.1472148274539409e-39,8.183339998736367e-46,1.471149060737413e-48,2.188599308908271e-43,7.793133012340386e-50,6.976482039895349e-56,5.629072556230311e-44,2.904248488875198e-59,5.306197023118448e-28,8.825299483024786e-70,3.3075620255698907e-74,4.755096035665174e-60,4.528916329995098e-64,5.697281826468401e-66,2.4621998012245668e-54,3.4508208750919637e-74,1.2891187566294041e-70,3.664257290902706e-69,1.1598376626732108e-58,1.996031981037576e-68
1.1503867491668653e-19,0.5138296445418482,1.4215314413248092e-27,5.469467495553023e-32,2.0938975780403364e-41,4.183159506846211e-41,0.0,0.0,8.061791620970677e-23,2.2057187244881726e-40,2.948610646016928e-51,3.4305675464135566e-51,9.870284266166241e-57,1.41174111211165e-77,1.480066366739753e-52,1.1209248081332989e-38,1.173708745858907e-56,7.94862444683614e-38,1.378051633633167e-93,1.9485706528692567e-82,1.7563688118731236e-89,9.12521427040698e-89,1.0924523282778828e-27,7.238287732406855e-78,1.3770713636514808e-63,1.4408200053714815e-100,3.1124623846766806e-114,2.259119754382561e-91,4.467266105948205e-115,4.100406491062787e-110,7.530092068651767e-62,4.635425980159993e-112,3.6704438879956846e-110,1.5648404238351363e-125,3.76,0.0,0.7907863246477571,0.999999999999988,4.906293334662752e-52,3.146058260162572e-71,3.055323919971081e-19,3.055323919971081e-19,1.1961605233067454e-14,9.391530325343083e-42,7.948624446835992e-38,8.06193377411474e-23,2.359069639712852e-41,6.449797003879819e-37,4.3986268604844465e-63,5.850233009271183e-38,1.495650125206561e-42,1.394367920998412e-45,1.190221328449133e-43,5.945504258741441e-42,1.7200677762526775e-40,4.7893960749298613e-39,3.416383360108347e-45,6.143008414225441e-48,9.136971288053401e-43,3.253479631663227e-49,5.865785852404849e-55,2.350026983711086e-43,1.2124949923996933e-58,1.0924523282890923e-27,1.4889577379594417e-68,5.58034328597375e-73,1.9851695030101669e-59,3.8068270625696305e-63,4.874144551842723e-65,2.0696313370791583e-53,5.822042020786285e-73,2.1749319727546117e-69,3.080029041068057e-68,9.92265525268754e-58,1.677786057567024e-67
2.3336416911670695e-19,0.5138296445418482,2.8836780666882584e-27,1.1095205495592924e-31,8.554254829263698e-41,1.7089571517511426e-40,0.0,0.0,1.6353920145397525e-22,9.011080697831623e-40,2.4174491551343854e-50,2.8125865406853997e-50,8.0922554182152105e-56,1.1574306574963814e-76,6.046554041832073e-52,4.579343589938709e-38,9.622773424391774e-56,3.2472724440779084e-37,4.5894872996857595e-92,3.237579283076016e-81,5.915933878543128e-88,3.0736234830753097e-87,2.2161175801977936e-27,1.1888909336722807e-76,1.1290063031975323e-62,4.863764321460096e-99,2.098397495358805e-112,7.609327429432352e-90,2.9787877474261477e-113,2.7793888338152763e-108,6.173624427432024e-61,3.1420426845759155e-110,2.487946397344134e-108,2.1397869301570044e-123,3.76,0.0,0.7907863246477571,0.9999999999999757,4.022475701485286e-51,5.1674101398466744e-70,6.197942809084193e-19,6.197942809084193e-19,2.4264970610359202e-14,3.836746579580037e-41,3.2472724440777864e-37,1.6354208513203902e-22,9.637569223696013e-41,2.634952527772757e-36,3.606260054066367e-62,2.390011072688977e-37,6.110218781600247e-42,5.696447928527034e-45,4.862442486313422e-43,2.4289324867233807e-41,7.027038110284553e-40,1.9566245707547183e-38,1.3957040764532145e-44,2.510641450281755e-47,3.732750903199192e-42,1.329152593796672e-48,4.8097752086509744e-54,9.600627023381312e-43,4.953669833804152e-58,2.2161175802435872e-27,2.44597074982136e-67,9.167054311264257e-72,8.110151072972054e-59,3.12106682392554e-62,4.030036973725736e-64,1.6968104218548988e-52,9.564102539892929e-72,3.5728475336805653e-68,2.5251938953840383e-67,8.204243192256201e-57,1.375550740840531e-66
4.700151575167478e-19,0.5138296445418482,5.807971317417557e-27,2.2346681509710366e-31,3.457766573574909e-40,6.90787804669071e-40,0.0,0.0,3.2938177194250813e-22,3.642422892848225e-39,1.9577130023942195e-49,2.2777055018361674e-49,6.553318260152523e-55,9.373173548274306e-76,2.4441138197387768e-51,1.8510438964219884e-37,7.792771406669906e-55,1.3125994415712888e-36,1.4980850939771918e-90,5.2780713542158194e-80,1.941668734734386e-86,1.0087940030991832e-85,4.463448083967472e-27,1.927243436604048e-75,9.142985760027798e-62,1.6033505218742967e-97,1.377982427641314e-110,2.4974558631360236e-88,1.945716780445986e-111,1.8300743474624748e-106,4.999561124249153e-60,2.068861999263394e-108,1.6381756310951648e-106,2.8300730662455527e-121,3.76,0.0,0.7907863246477571,0.999999999999951,3.257505112738962e-50,8.376594515912555e-69,1.2483180587310416e-18,1.2483180587310416e-18,4.887170134884232e-14,1.5508743146672793e-40,1.3125994415711895e-36,3.2938757991381382e-22,3.895659571692397e-40,1.065089940987049e-35,2.92044289038865e-61,9.660806885695112e-37,2.4698481267387964e-41,2.302595331238044e-44,1.9654769966878426e-42,9.81813346423284e-41,2.8404411568477665e-39,7.908989352344828e-38,5.641659030945874e-44,1.0156677235980275e-46,1.5088375966232988e-41,5.3726473445235206e-48,3.8953397893725776e-53,3.880726943669025e-42,2.0025402288833996e-57,4.463448084152577e-27,3.9653063244236117e-66,1.4861248212924135e-70,3.278322187600125e-58,2.5275208318854475e-61,3.277159140411312e-63,1.374121714593812e-51,1.550492632511361e-70,5.792151684025401e-67,2.044967486554635e-66,6.671554286664865e-56,1.1139568018466747e-65
9.433171343168295e-19,0.5138296445418482,1.1656557818885754e-26,4.484963359409581e-31,1.3903527320832485e-39,2.7776273810832656e-39,0.0,0.0,6.610669129195575e-22,1.4646022252563562e-38,1.575737741451691e-48,1.833295543711515e-48,5.2746806696356e-54,7.544345518847114e-75,9.827674172726455e-51,7.44296609535588e-37,6.272300384010484e-54,5.2779046263925776e-36,4.841552158080345e-89,8.524099335445629e-79,6.29209300295733e-85,3.269056958439553e-84,8.95810909122626e-27,3.1037661421185377e-74,7.359070364807863e-61,5.2412137023023816e-96,8.932663883777606e-109,8.093151718139754e-87,1.257990389039449e-109,1.1879168776683802e-104,4.024081746220031e-59,1.342916006680238e-106,1.0633538039699074e-104,3.6820026554450005e-119,3.76,0.0,0.7907863246477571,0.9999999999999019,2.6219235111924487e-49,1.3490247232162543e-67,2.5053656143762864e-18,2.5053656143762864e-18,9.808516276140707e-14,6.235997432676342e-40,5.277904626391782e-36,6.6107856947732935e-22,1.5664275800442635e-39,4.2826798083114294e-35,2.350626510973856e-60,3.8845679589598245e-36,9.931150699583787e-41,9.258634556381619e-44,7.903096558488014e-42,3.947828284252039e-40,1.1421288964526172e-38,3.1801698335795195e-37,2.268486283457198e-43,4.0906004001967036e-46,6.066969614917921e-41,2.1603179054146676e-47,3.135411855205846e-52,1.5604232359911828e-41,8.053635472541028e-57,8.958109091970556e-27,6.386229360287819e-65,2.39344282362608e-69,1.3182547876505565e-57,2.034368652829826e-60,2.643147574086152e-62,1.1060129583112358e-50,2.497108861799054e-69,9.328411070489552e-66,1.6459677413292417e-65,5.3808502120214575e-55,8.966094109504598e-65
1.889921087916993e-18,0.5138296445418482,2.3353730821860542e-26,8.98555379874689e-31,5.575936311394978e-39,1.113952812604614e-38,0.0,0.0,1.324437194873591e-21,5.87370998263329e-38,1.2644303009266222e-47,1.4711042168013295e-47,4.232599055117586e-53,6.053862151830513e-74,3.9413368964032896e-50,2.9849622988010403e-36,5.033126042529701e-53,2.116675816885826e-35,1.5569706164029917e-87,1.370224072565853e-77,2.0261542030216225e-83,1.0526884286398468e-82,1.7947431104621554e-26,4.98223204205638e-73,5.905190515076722e-60,1.7170326461857252e-94,5.753499513426197e-107,2.6061234053137045e-85,8.092134003584398e-108,7.656436288140334e-103,3.229072175830928e-58,8.655446474316546e-105,6.853594631528171e-103,4.751429382491434e-117,3.76,0.0,0.7907863246477571,0.9999999999998034,2.1039284946285253e-48,2.1654834446910768e-66,5.019460725666775e-18,5.019460725666775e-18,1.9651208532893055e-13,2.5009139010176425e-39,2.1166758168851863e-35,1.3244605486042241e-21,6.28207519783617e-39,1.7175461506368028e-34,1.8862297377693784e-59,1.5578854930865744e-35,3.982835619992199e-40,3.713126560699578e-43,3.169495194285784e-41,1.5832557129236745e-39,4.580447704394642e-38,1.275390339838052e-36,9.097644602206086e-43,1.6458437369365215e-45,2.433126167417404e-40,8.663841330850961e-47,2.5160119257817496e-51,6.257995092667042e-41,3.2310786120615604e-56,1.7947431107606515e-26,1.0251493032222394e-63,3.842073473936769e-68,5.287239307216279e-57,1.6324527206005782e-59,2.1231198786293567e-61,8.875058473121223e-50,4.008483347613773e-68,1.4974429103764285e-64,1.3207854529884294e-64,4.3221915015276547e-54,7.194726205285199e-64
