Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CF3(1),O2(2),H2O(3),CH4(4),CH2CF2(57),HF(38),O2(161),S(164),CF2O(49),S(125),C2HF(58),S(463),C2HF(468),C2H2F3(68),S(165),S(464),C2H2F2(59),S(162),S(130),C2H3F2(65),C2H2F3(67),CF2(43),CHFCF2(55),CF2CH(73),C2HF2(72),S(179),C2H3F2(64),CHF2(82),S(1228),CHF3(42),S(1335),CF2O2(181),CF2O2(276),CH2F2(41),S(203),S(1568),CHO2(322),S(174),CF2CF2(61),C2F(467),S(512),C2H3F2(66),S(413),S(1931),S(1325),C2HF3(169),F(37),C2HF4(69),C2HFO(577),S(4228),S(4234),CHFO(47),C2HF4(54),S(5148),C1OO1(180),CH2O2(318),CFO(51),C2H2O(623),S(1319),S(2245),S(344),S(1323),CHF2O(206),S(6577),CH2F(46),S(1074),S(973),CF3(45),C2H2F(71),CHO2(457),CHF2O(207),CH2CF(70),CHFO2(635),CF3O2(511)
0.0,0.5957140642986473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6740227526461342,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0378302251463253e-21,0.5957140642986473,2.368025317907013e-27,1.6037337761466923e-30,1.9236309465275277e-41,1.97424334886775e-42,0.0,0.0,2.632621378756512e-23,4.8924006718420234e-42,5.494797390479971e-54,6.392879578398825e-54,1.361213816214209e-58,3.1562511868955625e-69,9.520894808732257e-48,1.4605369440752995e-39,5.153409434892758e-24,4.136964625545908e-39,7.461527430716279e-86,6.986990259403549e-70,4.9221323022243504e-64,3.9578236276387183e-84,1.2150599852112791e-26,1.4973222251181788e-75,1.484531658618401e-42,4.199168812950565e-95,2.6451332088873946e-84,1.8462383216704338e-63,2.817518130083553e-61,1.265678550198395e-62,2.7824067492088513e-58,1.9995367168271735e-95,1.6023948688180913e-98,1.1656751623430218e-96,3.76,0.0,0.6740227526461342,0.9999999999999994,1.0256686371881998e-54,6.392452231091507e-40,2.41897374196483e-19,2.41897374196483e-19,5.196151296582792e-16,2.582404942331148e-43,4.118911671911122e-39,2.632858181288303e-23,1.054937262422903e-40,1.2595343290366778e-39,4.792522514639625e-62,3.413532913955418e-39,8.11189711171755e-43,2.7644896844672464e-46,2.446461778347511e-41,5.547333828262894e-46,6.174357045585924e-43,5.710211956723138e-29,5.664696391376274e-40,7.509892645611212e-41,1.106518034582145e-48,5.156465912880067e-43,3.000868818507049e-49,3.975343183795069e-57,2.344185719854216e-43,3.1598283212053505e-54,1.196825123649581e-72,1.2150599852114302e-26,6.269537538997e-77,3.465594344637927e-58,8.807004845127196e-60,3.038344782840252e-63,3.8123798544730957e-44,5.621609525985149e-77,1.5261935489885461e-52,1.0147402706668863e-58,1.560211349903473e-83,2.988355501255093e-67,2.135525982024929e-50,5.310510438033048e-46,1.5010037484330815e-55,6.868498002912379e-69,1.2007620854720173e-79,1.4820314584387724e-59,5.710211956711951e-29,3.3933219774790744e-70,9.41493437236437e-64,7.613786400458708e-81,1.1731467460116104e-78,8.056405477453958e-57,9.234982235095524e-69,1.5888232696051586e-84,4.632239548815116e-55,9.762888505847643e-58,1.060425305413439e-65,1.1308898105349267e-105,1.7155525587188493e-78,4.23818359074889e-97,1.191604846082509e-76,5.929724347530023e-78,1.4189784307578235e-64,6.417392811304212e-112,7.504395133830593e-41,1.0035774825183084e-70,7.141380889292147e-79,5.153409434892758e-24,2.0446671650869244e-46,5.447891900181403e-72,1.4379951233960252e-68,5.596037566403617e-47,1.63429057010329e-95,8.492223054579509e-40
2.905924630409711e-21,0.5957140642986473,6.630470890139773e-27,4.4904545732220075e-30,1.1618730917028881e-40,1.1924429827180012e-41,0.0,0.0,7.37133986051823e-23,2.95501000579258e-41,6.523423461990549e-53,7.58962663580922e-53,1.6160424149114792e-57,3.747101409081642e-68,5.750620464473502e-47,8.82164314221279e-39,1.4429546417699716e-23,2.4987266338345215e-38,1.6698855533100666e-84,8.294954835984517e-69,5.843555469200881e-63,1.0773905559557456e-82,3.402167958591108e-26,3.3511194389942574e-74,8.966571218054864e-42,2.554453907182719e-93,8.306851251436638e-83,2.790035351710152e-62,4.2578333981822586e-60,1.9126934250598066e-61,3.303273292660566e-57,1.2164201659164859e-93,9.552714307024554e-97,7.09259738442293e-95,3.76,0.0,0.6740227526461342,0.9999999999999986,1.217673806127064e-53,3.861041147579269e-39,6.773126477501523e-19,6.773126477501523e-19,1.4549223630384153e-15,1.5597725853271617e-42,2.487822649839109e-38,7.37200290760724e-23,6.3718210650343336e-40,7.607587347380632e-39,5.689682729380151e-61,2.0617738800290223e-38,4.8995858554995175e-42,1.6697517694188517e-45,1.4776629141219091e-40,3.3505896322765795e-45,3.7293116555326244e-42,1.5988593478860857e-28,3.4214766203912786e-39,4.535975157949189e-40,6.683399929459586e-48,3.1145054113795364e-42,1.812524767089196e-48,4.826565034534679e-56,1.4158881747919355e-42,1.908536308661854e-53,2.73525486648333e-71,3.4021679585920206e-26,1.4328562064138145e-75,2.0959607822287266e-57,1.0455676152105232e-58,3.621111732821372e-62,2.3026774321059624e-43,1.2847770747391748e-75,1.811896981355464e-51,1.5330502156066923e-57,4.9048382760787286e-82,3.5477756510900453e-66,1.2899793093902916e-49,3.207548304580035e-45,9.06606264055242e-55,8.15428080939894e-68,3.7753881186609246e-78,8.951475333502413e-59,1.598859347879329e-28,4.028568963985233e-69,1.1182819782005913e-62,1.7039610229683522e-79,2.625495678879394e-77,9.564564582833361e-56,1.1529209387878733e-67,3.729238635257813e-83,2.798031394144354e-54,1.159050123413413e-56,1.258936922589376e-64,6.795678207323313e-104,5.393971733021344e-77,2.02463115950207e-95,3.746596292859014e-75,1.864400210448644e-76,1.6846111929985874e-63,3.9040134264706717e-110,4.532654660833694e-40,1.1914522482287322e-69,2.2453644136876744e-77,1.4429546417699716e-23,1.2349789677125016e-45,1.2186716265002995e-70,1.7071878104996008e-67,3.380006690108472e-46,9.942187072166895e-94,5.12930272496597e-39
6.642113440936483e-21,0.5957140642986472,1.515536203460583e-26,1.026389616741771e-29,5.593918792505972e-40,5.741099658535623e-41,0.0,0.0,1.6848776824041645e-22,1.4227101153716579e-40,6.404735838359225e-52,7.451540437617492e-52,1.5866441328526747e-56,3.6789263834430816e-67,2.7686762103781662e-46,4.2472414333679443e-38,3.298182038331363e-23,1.203029313115804e-37,3.300156516526004e-83,8.144035846422487e-68,5.7372374114731054e-62,2.313902382401251e-81,7.776383905348874e-26,6.622723431501872e-73,4.3170180632618946e-41,1.153229239772168e-91,1.8527143788135487e-81,3.0013927147791205e-61,4.580382873714222e-59,2.057588305486505e-60,3.2431733068772693e-56,5.491502705821853e-92,4.301877951045802e-95,3.2019546466405492e-93,3.76,0.0,0.6740227526461342,0.9999999999999967,1.1955193635875084e-52,1.8589251088014102e-38,1.5481431948574912e-18,1.5481431948574912e-18,3.3255368297796204e-15,7.50963357463922e-42,1.1977795141988058e-37,1.6850292360245096e-22,3.067757559125803e-39,3.66272582883731e-38,5.586164243063912e-60,9.926553713781597e-38,2.358939680120006e-41,8.0391360024401e-45,7.11431085143475e-40,1.613164677267013e-44,1.795503028854476e-41,3.65453565232806e-28,1.6472937106122342e-38,2.183876781343766e-39,3.217800945440024e-47,1.499500287465488e-41,8.726526534882576e-48,4.78565341658971e-55,6.816892073335898e-42,9.188780797114933e-53,5.460329221089451e-70,7.776383905353267e-26,2.860379377937497e-74,1.0119075325218093e-56,1.0265444847387958e-57,3.561358784299315e-61,1.1086400616870968e-42,2.564772259322328e-74,1.778931200689461e-50,1.649039063575972e-56,1.0941974099902923e-80,3.4832271722629307e-65,6.211933799437014e-49,1.5442964353921213e-44,4.3649189004683177e-54,8.005921210674462e-67,8.422683208938248e-77,4.309755467937381e-58,3.6545356522955287e-28,3.955309145148049e-68,1.0981729271574917e-61,3.3674990838530025e-78,5.188706885993408e-76,9.390546224520411e-55,1.1567231482220623e-66,7.537185783425062e-82,1.3472933207850036e-53,1.1379622842390625e-55,1.2360317359976258e-63,3.0579934428164362e-102,1.203365421439952e-75,1.054221247253673e-93,8.358450229395453e-74,4.1593743089770036e-75,1.6539612589001385e-62,1.7624584888405276e-108,2.1822781049179613e-39,1.1697856026705056e-68,5.009284489613332e-76,3.2981820383313624e-23,5.94589211607277e-45,2.407889770219936e-69,1.676127115842057e-66,1.6273277243111838e-45,4.488378491264162e-92,2.4695384642716403e-38
1.4114491061990027e-20,0.5957140642986473,3.2205144323540093e-26,2.1810779355989408e-29,2.4430113020940115e-39,2.507289053091188e-40,0.0,0.0,3.5803650751088414e-22,6.213348853239344e-40,5.664916317700465e-51,6.590803132321276e-51,1.403370398369897e-55,3.2539687236368357e-66,1.209153640707783e-45,1.8548819189725028e-37,7.008636831454142e-23,5.253945074515553e-37,5.873056009668284e-82,7.203307477962471e-67,5.074521518302052e-61,4.267724257168821e-80,1.6524815798856834e-25,1.178598871482697e-71,1.885355206444939e-40,4.354417236353238e-90,3.4695599320627506e-80,2.7587969993185147e-60,4.210160991421238e-58,1.8912781439904115e-59,2.8685500621631587e-55,2.0734869875237677e-90,1.622172003727545e-93,1.208998660907812e-91,3.76,0.0,0.6740227526461342,0.9999999999999929,1.0574233382763962e-51,8.118414333486207e-38,3.2898042890721684e-18,3.2898042890721684e-18,7.066765763185764e-15,3.279654279156879e-41,5.23101782339935e-37,3.5806871265520705e-22,1.3397703232770866e-38,1.5996085978751864e-37,4.940899011692793e-59,4.335186800722595e-37,1.030210933221461e-40,3.510901899282976e-44,3.107006458501534e-39,7.045113961975778e-44,7.841433447874383e-41,7.765888261269729e-28,7.19416441704801e-38,9.53756365992651e-39,1.4053259548236427e-46,6.548711709357313e-41,3.8111034105234985e-47,4.2514835863849157e-54,2.977115864214686e-41,4.0129820079286986e-52,9.761748739026087e-69,1.6524815798876025e-25,5.113666897192076e-73,4.44380268774154e-56,9.079669714938501e-57,3.152415930806586e-60,4.841722415246141e-42,4.585192825235113e-73,1.5734445012408955e-49,1.5156979391593706e-55,2.0492780733065004e-79,3.0808749875739335e-64,2.714003049003796e-48,6.744348256427122e-44,1.9062747605357604e-53,7.081146571421853e-66,1.5774753493991593e-75,1.882188205240834e-57,7.765888261127656e-28,3.4984906271185526e-67,9.714156604743058e-61,5.992900825222307e-77,9.233976017510538e-75,8.305831791036094e-54,1.0329515280889367e-65,1.3549062579469368e-80,5.885404180218647e-53,1.0065147533935368e-54,1.0932560728851012e-62,1.1531895089215515e-100,2.2537702553254714e-74,4.207120254691897e-92,1.5654452232053653e-72,7.790047753759703e-74,1.4629100029924352e-61,6.654709513375935e-107,9.530581819965112e-39,1.0346811883760219e-67,9.381835460790744e-75,7.008636831454139e-23,2.5967272996603865e-44,4.284711193008149e-68,1.4825154524405743e-65,7.10696770934296e-45,1.694726316922708e-90,1.078512327931513e-37
2.9059246304097115e-20,0.5957140642986473,6.630470890141727e-26,4.490454573385398e-29,1.0199091278525416e-38,1.046743823595912e-39,0.0,0.0,7.371339860518166e-22,2.593950836210619e-39,4.7617035018334185e-50,5.539967160513647e-50,1.1796180259347613e-54,2.7351567785356097e-65,5.047978427578921e-45,7.743766877459093e-37,1.4429546417699688e-22,2.193418644529192e-36,9.906250427742666e-81,6.054813967185381e-66,4.265441098992295e-60,7.318342417339839e-79,3.4021679585842463e-25,1.9879774332776645e-70,7.87098685399089e-40,1.510756393001842e-88,5.992499943787876e-79,2.360208915587204e-59,3.6018813672812346e-57,1.6180282704309423e-58,2.4111891703542234e-54,7.193889676558455e-89,5.624066098453393e-92,4.194580363096408e-90,3.76,0.0,0.6740227526461342,0.9999999999999855,8.88828030359781e-51,3.389278172924711e-37,6.773126477501524e-18,6.773126477501524e-18,1.4549223629692986e-14,1.3691911025712666e-40,2.1838469685120058e-36,7.372002907607155e-22,5.593277365366232e-38,6.678051012539916e-37,4.153123330826329e-58,1.8098551509784555e-36,4.300927848931371e-40,1.4657324307131139e-43,1.2971140348800265e-38,2.9411963958176505e-43,3.273644105551891e-40,1.5988593479383948e-27,3.0034220267078297e-37,3.9817450807033104e-38,5.867191077493402e-46,2.733958227008677e-40,1.5910606574900291e-46,3.581013595725266e-53,1.2428872686665535e-40,1.6753410117496792e-51,1.6500921924744302e-67,3.4021679585922594e-25,8.643965387267307e-72,1.875706204588177e-55,7.632009486358046e-56,2.6507607485318183e-59,2.0213237989004153e-41,7.750651122006507e-72,1.3225749104125376e-48,1.2966912523321553e-54,3.539593089225056e-78,2.589661063699612e-63,1.1339524223185385e-47,2.8156326343577593e-43,7.95832187442392e-53,5.9521302377436115e-65,2.7246963756936305e-74,7.857805069853032e-57,1.5988593478790823e-27,2.9408006461677876e-66,8.165707211004497e-60,1.010839606181692e-75,1.5575209658027306e-73,6.981552084274254e-53,8.72164515948717e-65,2.296220283220341e-79,2.45822736668217e-52,8.460362972854744e-54,9.189476028954093e-62,3.998680494130146e-99,3.8928276429944504e-73,1.4952764320185837e-90,2.703917324355651e-71,1.3455370246279173e-72,1.2296640044729793e-60,2.3088289883651577e-105,3.9788302999572146e-38,8.697439643800847e-67,1.6204787660809688e-73,1.4429546417699674e-22,1.0840825309290805e-43,7.226791693422215e-67,1.2461435660567158e-64,2.967019117716489e-44,5.879792875269539e-89,4.502576663537294e-37
5.894875678831128e-20,0.5957140642986472,1.345038380572061e-25,9.109207849246779e-29,4.166661575447361e-38,4.2762900636035914e-39,0.0,0.0,1.4953289431336701e-21,1.0597135551236513e-38,3.903932220797184e-49,4.541999792380291e-49,9.671223845479895e-54,2.242446778247631e-64,2.0622638991413945e-44,3.163581442321033e-36,2.927136559019072e-22,8.960830858064556e-36,1.627143212852458e-79,4.964102306951868e-65,3.497066320051724e-59,1.2116456096364597e-77,6.901540715969258e-25,3.265338295357649e-69,3.215554953830523e-39,5.031460311674968e-87,9.956380553640093e-78,1.951466373393657e-58,2.978105168024315e-56,1.337817063591076e-57,1.9768385597681586e-53,2.3958656330493236e-87,1.8723641012803651e-90,1.396970775071182e-88,3.76,0.0,0.6740227526461342,0.9999999999999705,7.287149200162006e-50,1.3846307230633395e-36,1.3739770854360235e-17,1.3739770854360235e-17,2.951413936148715e-14,5.5935924194285245e-40,8.921727438373271e-36,1.4954634469717176e-21,2.2850363078985053e-37,2.728201738055981e-36,3.404981427754097e-57,7.39384883293801e-36,1.7570693622388677e-39,5.98799523621593e-43,5.299134070373336e-38,1.2015746965981453e-42,1.3373904334870516e-39,3.243400391653591e-27,1.2269958971577762e-36,1.626672786610179e-37,2.39712847151722e-45,1.1169111425931902e-39,6.5000019796079504e-46,2.9388702768767042e-52,5.0776000366317405e-40,6.844314839738623e-51,2.713182603352859e-66,6.901540716001993e-25,1.4212937082831118e-70,7.830449744441372e-55,6.257182483198072e-55,2.173637910263896e-58,8.257767260480575e-41,1.2744095077569289e-70,1.0843268181277415e-47,1.0721214872650972e-53,5.881067077867046e-77,2.12316060075222e-62,4.639998793066122e-47,1.1502778030150766e-42,3.2512341594521862e-52,4.879915773798871e-64,4.5271237795653096e-73,3.2102023082745765e-56,3.2434003914112804e-27,2.411223933630926e-65,6.694888659386398e-59,1.6603464747745688e-74,2.5582935505001876e-72,5.723898206298592e-52,7.166140737138999e-64,3.780349565806505e-78,1.0052360995872302e-51,6.936316718662104e-53,7.534087653547113e-61,1.331367048441807e-97,6.467991350994907e-72,5.036502835948082e-89,4.4925990749261183e-70,2.2356298905343464e-71,1.0081528440658965e-59,7.689371938622161e-104,1.6254820035684405e-37,7.131212602964297e-66,2.6924497061533996e-72,2.927136559019067e-22,4.428830866264822e-43,1.1870027056683477e-65,1.0216637843146425e-63,1.2121241210411392e-43,1.958216520192642e-87,1.839449482513495e-36
1.187277777567396e-19,0.5957140642986473,2.7090209636892183e-25,1.834671440212341e-28,1.6842312279956813e-37,1.728544815797148e-38,0.0,0.0,3.0117188572973315e-21,4.2835316234297886e-38,3.1615055286565586e-48,3.678229196792354e-48,7.832008840504033e-53,1.815991540370829e-63,8.336000407919841e-44,1.27877020029164e-35,5.895500393517257e-22,3.6221111044170396e-35,2.637700143300583e-78,4.0200587515398325e-64,2.8320149735471305e-58,1.9718092156294843e-76,1.3900286230690824e-24,5.293317986505074e-68,1.2997787246373267e-38,1.6423541626598675e-85,1.6231211889179782e-76,1.586900045744296e-57,2.421745663518373e-55,1.0878906182086163e-56,1.6008951186979066e-52,7.820504487563857e-86,6.1105804309279566e-89,4.559945897110897e-87,3.76,0.0,0.6740227526461342,0.9999999999999405,5.9013223543661126e-49,5.596898766027661e-36,2.7673059608077653e-17,2.7673059608077653e-17,5.944397082019444e-14,2.261019497355263e-39,3.606304876967851e-35,3.011989759393661e-21,9.23648210239848e-37,1.1027827627106659e-35,2.7574422403001195e-56,2.9887119157429156e-35,7.102355294444142e-39,2.420443414315501e-42,2.141994717109835e-37,4.856957039168666e-42,5.405945962424933e-39,6.532482479453393e-27,4.95971359607762e-36,6.575271486081316e-37,9.691108383106569e-45,4.51473341708798e-39,2.6274047613774357e-45,2.381145746788991e-51,2.05244711864586e-39,2.7665816158592645e-50,4.400505086565727e-65,1.3900286230823145e-24,2.3051932387314368e-69,3.300673589299381e-54,5.067228602803611e-54,1.7604215569087127e-57,3.337921557233585e-40,2.0669620664906084e-69,8.781159703281323e-47,8.718282568440805e-53,9.587608204284168e-76,1.7193905011449598e-61,1.8815711290099757e-46,4.6496067937834266e-42,1.3142008300944732e-51,3.9518819776248733e-63,7.380354347962343e-72,1.2976414098560145e-55,6.532482478473933e-27,1.9529597805565664e-64,5.421753666952556e-58,2.6915246692317613e-73,4.147152601939623e-71,4.6353611695435707e-51,5.809655617082781e-63,6.135249317681636e-77,4.071167217997461e-51,5.6172091147899015e-52,6.101299516667477e-60,4.345228757640331e-96,1.0544458338841285e-70,1.6530306608799297e-87,7.324070365605794e-69,3.6446409651168085e-70,8.164283112991819e-59,2.509943921919178e-102,6.570458150636742e-37,5.775892983789727e-65,4.389372560248185e-71,5.895500393517235e-22,1.790204247057476e-42,1.9241825371584614e-64,8.273698210223361e-63,4.899599499254061e-43,6.39194487888524e-86,7.435348910985668e-36
2.382858196935963e-19,0.5957140642986473,5.436986129929058e-25,3.682172751249216e-28,6.772219692694032e-37,6.950402680904668e-38,0.0,0.0,6.044498685624473e-21,1.722389226124549e-37,2.544654694190531e-47,2.9605588653429837e-47,6.303882495004109e-52,1.4616679793629817e-62,3.351869100931725e-43,5.141878732935877e-35,1.1832228062513541e-21,1.456434944646406e-34,4.247959509160335e-77,3.2356930209721793e-63,2.279452030448562e-57,3.181681801363207e-75,2.7897777259940132e-24,8.524776712493975e-67,5.22635308541055e-38,5.307807601896324e-84,2.6213288175044578e-75,1.2798923763496605e-56,1.9532256113891692e-54,8.77423195129226e-56,1.2885396662507105e-51,2.5274519175192734e-84,1.9746511390507096e-87,1.4736958184100605e-85,3.76,0.0,0.6740227526461342,0.9999999999998807,4.749897634185007e-48,2.2504883777646524e-35,5.55396371155125e-17,5.55396371155125e-17,1.1930363371808469e-13,9.091460016524085e-39,1.4500793301073357e-34,6.045042384237306e-21,3.713948829850328e-36,4.4342409866759007e-35,2.2194294070464423e-55,1.2017479164856678e-34,2.8558258274500517e-38,9.732496514237276e-42,8.61286654915351e-37,1.952961063980715e-41,2.1737070952263472e-38,1.3110646656530642e-26,1.994279023370319e-35,2.6438877454593992e-36,3.8979839559442674e-44,1.8153544504911836e-38,1.0564679270551198e-44,1.9170215628745315e-50,8.252799594166966e-39,1.112430401564039e-49,7.088732298661117e-64,2.789777726047218e-24,3.7134141295184815e-68,1.4361396367763481e-53,4.0785464176546055e-53,1.4170016260575865e-56,1.3421635776187207e-39,3.3296497718238266e-68,7.067841271816255e-46,7.03159827468518e-52,1.5484001503358663e-74,1.3839150589143183e-60,7.614042500146444e-46,1.869586442387578e-41,5.2843437378176175e-51,3.18081788009003e-62,1.1919291986614513e-70,5.217970622391904e-55,1.3110646652592274e-26,1.5723757519435397e-63,4.363922702460572e-57,4.3346426811797395e-72,6.678900209518731e-70,3.730941936557039e-50,4.678808744239316e-62,9.886675242322826e-76,1.6433051023769413e-50,4.5212185815093666e-51,4.910856652738327e-59,1.4042110646471335e-94,1.702932838288101e-69,5.356744159779544e-86,1.1828393204091034e-67,5.886104893010955e-69,6.571325326671173e-58,8.111736406360827e-101,2.641952324446923e-36,4.650312906847421e-64,7.088848409409243e-70,1.1832228062513455e-21,7.198332541374713e-42,3.098836656371413e-63,6.659392116061918e-62,1.9701074094549553e-42,2.065766139876369e-84,2.989721095252626e-35
4.774019035673097e-19,0.5957140642986472,1.0892916462430825e-24,7.377175375169159e-28,2.715962991782481e-36,2.7874223399998906e-37,0.0,0.0,1.2110058342278025e-20,6.907551154168734e-37,2.0419251352733236e-46,2.3756620544875728e-46,5.0584688626838157e-51,1.1728965007713118e-61,1.3442494254583222e-42,2.062123347990193e-34,2.3705683400505756e-21,5.840955535955594e-34,6.818935755577614e-76,2.5964398733453424e-62,1.8291166995659166e-56,5.112227411826553e-74,5.5892759317663424e-24,1.3684195666429857e-65,2.0960013415957484e-37,1.7069118184422033e-82,4.213696467709306e-74,1.0280791603052836e-55,1.5689370320331745e-53,7.047940266477884e-55,1.0339719327644821e-50,8.127906597992669e-83,6.349887694400756e-86,4.739185057833185e-84,3.76,0.0,0.6740227526461341,0.999999999999761,3.81149371324516e-47,9.025464950364414e-35,1.1127279213038218e-16,1.1127279213038218e-16,2.3902295943576806e-13,3.6460821409679016e-38,5.815466679035321e-34,1.2111147633923634e-20,1.4894595911913225e-35,1.7783289619038138e-34,1.7809523243724694e-54,4.819546639984011e-34,1.1453138874192114e-37,3.9031663989501293e-41,3.454144706086205e-36,7.832247351384509e-41,8.717537665712085e-38,2.62669750165957e-26,7.997950846811747e-35,1.0603172366993796e-35,1.564254002602886e-43,7.280383283584617e-38,4.236909130920666e-44,1.5384762677249769e-49,3.3097417527409247e-38,4.46134427261229e-49,1.1380468525032088e-62,5.589275931979718e-24,5.961629080897623e-67,6.633467156076857e-53,3.2727766409912257e-52,1.1370790297114855e-55,5.382676244926137e-39,5.3455219936791386e-67,5.671497501910873e-45,5.648157155787703e-51,2.489007420334955e-73,1.110504678852517e-59,3.092334848544725e-45,7.497877829521636e-41,2.1192581874446069e-50,2.55240515887604e-61,1.9159913754525923e-69,2.092809310061403e-54,2.6266975000801086e-26,1.2624768848239675e-62,3.5017826006832633e-56,6.958081618362391e-71,1.0721145020493338e-68,2.9938459375722002e-49,3.755789045071664e-61,1.5876216151561831e-74,6.640973690150118e-50,3.6279931749044624e-50,3.940653189936996e-58,4.515586258186534e-93,2.7374148014753733e-68,1.7249569719942208e-84,1.9013796614248678e-66,9.461741702056606e-68,5.273074728255149e-57,2.608633034138367e-99,1.0595410463095304e-35,3.733784717514519e-63,1.1395116780349982e-68,2.370568340050541e-21,2.886853302382908e-41,4.974319120732342e-62,5.34374278087448e-61,7.901011864201012e-42,6.643194361899152e-83,1.1990118777387777e-34
