Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CF3(1),O2(2),H2O(3),CH4(4),CH2CF2(57),HF(38),O2(161),S(164),CF2O(49),S(125),C2HF(58),S(463),C2HF(468),C2H2F3(68),S(165),S(464),S(130),C2H2F2(59),C2H3F2(65),C2H2F3(67)
0.0,0.6762121562164594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.539806111571232,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.2598183523387345e-22,0.6762121562164596,2.4500463930864374e-26,1.6162753847938843e-28,5.4513083486652446e-42,7.464014443068709e-42,0.0,0.0,7.875870335175073e-23,1.0764300050861688e-41,1.2407051781583371e-57,1.6150055644388353e-77,1.0363789526749101e-57,1.1789243270592787e-108,2.377783733002992e-85,1.8112939029146794e-62,1.8748900552655852e-86,1.561870376168524e-38,-1.6303943232954666e-123,4.052418962385107e-78,-6.006717125294345e-118,-2.2064070330812573e-137,4.640692731676344e-64,3.5426522074104822e-99,1.8170412947173856e-62,1.53390704274656e-125,5.722810650341522e-123,-3.709197487599158e-117,6.238800914012067e-187,-9.827108815427237e-150,3.000915521586163e-61,-2.695266255103691e-159,2.797622448997017e-134,-2.3625150542269925e-159,3.76,0.0,0.539806111571232,0.9999999999999997,9.806278362380024e-57,-1.4225356959968403e-122,1.256393755955212e-18,1.256393755955212e-18,3.6741916519050346e-16,5.098692039027793e-43,1.561870376168524e-38,7.878320381568158e-23,1.2127024575741497e-38,4.2068627928380256e-40,5.121932229238786e-59,1.3950632342221863e-38,1.9164510873808325e-41,3.2453184654877466e-45,7.80541113427824e-41,2.183678955003306e-39,2.5778070935958388e-39,3.7757674332723096e-39
6.327491386548456e-22,0.6762121562164594,6.860129900642111e-26,4.5255710774236706e-28,3.292590242593836e-41,4.5082647236135493e-41,0.0,0.0,2.2052436938490196e-22,6.501637230720459e-41,1.4729651875102601e-56,4.548605579274186e-76,1.2303890926162198e-56,6.765499325467948e-107,7.448678789314784e-84,2.7372273460851083e-61,5.76832921726643e-85,9.433697072062646e-38,8.449011203567219e-122,1.2741453604772708e-76,3.112794221147056e-116,3.412236297273842e-135,7.007446796547467e-63,2.1551682192021724e-97,2.157191425089449e-61,1.18363139338725e-123,4.415977079734803e-121,1.1065040556386534e-115,4.6984852397195997e-184,1.9691009654037553e-147,3.5626869072287163e-60,6.33144216576668e-157,2.981179305815816e-132,5.549776888674535e-157,3.76,0.0,0.539806111571232,0.999999999999999,1.1642014012797408e-55,5.773626655913005e-121,3.517902516674594e-18,3.517902516674594e-18,1.0287736625326995e-15,3.079609991919864e-42,9.433697072062646e-38,2.2059297068390834e-22,7.324722843747864e-38,2.5409451268740145e-39,6.080757942552278e-58,8.426181934701893e-38,1.157536456779308e-40,1.9601723531547092e-44,4.714468325103509e-40,1.318942088822002e-38,1.5569954845318794e-38,2.280563529696479e-38
1.44628374549679e-21,0.6762121562164594,1.5680296915753803e-25,1.0344162462686423e-27,1.5852404677918962e-40,2.170535400044453e-40,0.0,0.0,5.0405570145120415e-22,3.130258454790576e-40,1.446165955663434e-55,9.889646065651516e-75,1.2080033072395966e-55,3.0313598987934547e-105,1.660423534643051e-82,2.9445842720918033e-60,1.2789171015534723e-83,4.5419190539050695e-37,8.867580959682858e-120,2.842548208586397e-75,3.2670041605355836e-114,9.095689604690859e-133,7.536374715455972e-62,9.729459533413602e-96,2.1179433331255275e-60,1.2899793923695748e-121,4.812747837918689e-119,1.4274877035505878e-113,5.775966057364073e-181,5.076752243590704e-145,3.4978671319657647e-59,3.474349260173878e-154,6.7844258584941015e-130,3.045414145324238e-154,3.76,0.0,0.539806111571232,0.9999999999999977,1.143019854338169e-54,6.645231695180608e-119,8.04092003811336e-18,8.04092003811336e-18,2.3514826572142513e-15,1.4826996454599118e-41,4.5419190539050695e-37,5.042125044203613e-22,3.5265387466256276e-37,1.2233557001570674e-38,5.9701242064007e-57,4.056843885117947e-37,5.573039762122371e-40,9.437386097639991e-44,2.26981355784729e-39,6.350138401149697e-38,7.496263028176593e-38,1.0979931695955926e-37
3.0733529591806788e-21,0.6762121562164594,3.332063094597858e-25,2.1981345233224637e-27,6.923161602805304e-40,9.47929834269801e-40,0.0,0.0,1.071118365583807e-21,1.367066106459431e-39,1.2791174104784398e-54,1.8330372417086614e-73,1.0684652450533063e-54,1.1400972704624383e-103,3.1087962283816888e-81,2.7065802532505137e-59,2.3895055728570932e-82,1.9835753777411955e-36,7.079822589444694e-118,5.3237782037772206e-74,2.608356206719862e-112,1.587502877503813e-130,6.926532009922477e-61,3.6736587945366577e-94,1.8732968932079566e-59,1.0552832382484371e-119,3.937126555835724e-117,1.225187037801935e-111,4.3958760774830874e-178,8.869454147100158e-143,3.0938238661447326e-58,1.2696811646244845e-151,1.1465335030761526e-127,1.1129292766871062e-151,3.76,0.0,0.539806111571232,0.999999999999995,1.0109881228080956e-53,5.4953966119950934e-117,1.708695508099089e-17,1.708695508099089e-17,4.996900646565994e-15,6.475338894795202e-41,1.9835753777411955e-36,1.0714515718932646e-21,1.5401321211191704e-36,5.342715746901905e-38,5.280507251055957e-56,1.771730307461998e-36,2.4338928809930235e-39,4.121554451171096e-43,9.912872140524858e-39,2.773272272854283e-37,3.2738150088666016e-37,4.795224640255881e-37
6.327491386548456e-21,0.6762121562164594,6.860129900643367e-25,4.525571077435191e-27,2.8902836864627104e-39,3.9574204577157025e-39,0.0,0.0,2.205243693849006e-21,5.7072318869668316e-39,1.0751752561169687e-53,3.150264316077029e-72,8.981094183313017e-54,3.9471740092920135e-102,5.368851141758216e-80,2.3155363899651116e-58,4.1228191527139453e-81,8.281036734509766e-36,5.0430495529665095e-116,9.19550291688695e-73,1.8579659889069889e-110,2.3530488704913893e-128,5.925528896172804e-60,1.2745628944657645e-92,1.5746189133524227e-58,7.594950111197132e-118,2.8335785764780923e-115,9.00552322211472e-110,2.7191592357672537e-175,1.3163322599554694e-140,2.600545376376756e-57,3.8565505161005677e-149,1.678774236191247e-125,3.380429758234656e-149,3.76,0.0,0.539806111571232,0.9999999999999897,8.497964361771086e-53,3.976317366330559e-115,3.5179025166745944e-17,3.5179025166745944e-17,1.0287736625224037e-14,2.703326523779479e-40,8.281036734509766e-36,2.2059297068390624e-21,6.429748430058142e-36,2.230478652760571e-37,4.4385845189425505e-55,7.39662526784442e-36,1.0161023665466732e-38,1.7206678504030878e-42,4.138428983386667e-38,1.1577865819428281e-36,1.3667533210244112e-36,2.0019118931210206e-36
1.283576824128401e-20,0.6762121562164594,1.3916263512736598e-24,9.180444185680984e-27,1.1807751935546231e-38,1.6167353844270242e-38,0.0,0.0,4.47349435037938e-21,2.3315904482168147e-38,8.814936343244025e-53,5.22112947369633e-71,7.363243626392181e-53,1.3131468847031492e-100,8.919748477830896e-79,1.9145302653116513e-57,6.846605539265706e-80,3.3830737096503547e-35,3.402226885833027e-114,1.5278465626785501e-71,1.2534522517318717e-108,3.235003444709993e-126,4.899238243678766e-59,4.244826590075626e-91,1.2909677196436607e-57,5.14810449446878e-116,1.9206918253400415e-113,6.165173337121643e-108,1.5270145000457135e-172,1.8111454713754905e-138,2.1320842179036856e-56,1.0735324232172423e-146,2.295579471812946e-123,9.409966085635675e-147,3.76,0.0,0.539806111571232,0.9999999999999791,6.96714461852446e-52,2.702515077750351e-113,7.136316533825606e-17,7.136316533825606e-17,2.0869408582358343e-14,1.1043970943815999e-39,3.3830737096503547e-35,4.474885976730621e-21,2.626762031203912e-35,9.112233083780665e-37,3.639019756610343e-54,3.021762767853258e-35,4.1511097134570184e-38,7.029489608997619e-42,1.6906832733227212e-37,4.729935963695999e-36,5.583633277011463e-36,8.17846329116551e-36
2.585232195075512e-20,0.6762121562164594,2.8028530736931926e-24,1.8490190402253923e-26,4.772882122059928e-38,6.535102917604605e-38,0.0,0.0,9.009995663440031e-21,9.424661380931598e-38,7.138563993527906e-52,8.501095362536154e-70,5.9629455937269545e-52,4.28398071651549e-99,1.454088848296548e-77,1.556864216045806e-56,1.1158894324942357e-78,1.367492484158206e-34,2.235124232449697e-112,2.490775505727512e-70,8.234669750115646e-107,4.289484054395649e-124,3.983938181222533e-58,1.385582097994729e-89,1.0454591299815125e-56,3.3897431747483235e-114,1.264669744277611e-111,4.079066362544465e-106,8.183908304276738e-170,2.4025510620871997e-136,1.7266170777009637e-55,2.864549656022307e-144,3.0361220965775416e-121,2.5108990240701294e-144,3.76,0.0,0.5398061115712319,0.9999999999999579,5.642174351239976e-51,1.78184458403487e-111,1.4373144568127628e-16,1.4373144568127628e-16,4.203275249589986e-14,4.464149649927543e-39,1.367492484158206e-34,9.012798516513588e-21,1.0617792113241318e-34,3.683310304528765e-36,2.9469725468613765e-53,1.221444824595642e-34,1.6779449167746128e-37,2.8414320918311687e-41,6.8340121077417185e-37,1.9119157416957584e-35,2.2569938451829338e-35,3.3058656246669963e-35
5.188542936969734e-20,0.6762121562164596,5.6253065185358014e-24,3.7109682835725217e-26,1.91915490938324e-37,2.627736140743907e-37,0.0,0.0,1.8082998289560938e-20,3.789614890105853e-37,5.745737343201148e-51,1.372067441624138e-68,4.799497378521504e-51,1.3841276360161243e-97,2.3483126997428528e-76,1.2556673915339383e-55,1.80194091908082e-77,5.498627134477959e-34,1.4492372112504023e-110,4.0226090949478117e-69,5.339295901259302e-105,5.587622083370481e-122,3.213174163957609e-57,4.477961915757998e-88,8.414764607230928e-56,2.200311271613019e-112,8.209079390885823e-110,2.6540639773126792e-104,4.286474734726748e-167,3.1303540833070185e-134,1.3897316364669546e-54,7.486012949941957e-142,3.950077106622854e-119,6.561807221232357e-142,3.76,0.0,0.5398061115712318,0.9999999999999156,4.541312777447195e-50,1.1573859243807514e-109,2.8846800636731663e-16,2.8846800636731663e-16,8.435944032007447e-14,1.7950149534885974e-38,5.498627134477959e-34,1.808862359607893e-20,4.269367509988096e-34,1.4810428736576452e-35,2.371979886531009e-52,4.91137591859945e-34,6.746942712144602e-37,1.1425273470571747e-40,2.7479262114239377e-36,7.687729108251585e-35,9.075272985282078e-35,1.3292740279534868e-34
1.0395164420758178e-19,0.6762121562164596,1.1270213408235198e-23,7.434866770396949e-26,7.696669549648465e-37,1.0538397208112623e-36,0.0,0.0,3.6229003541801203e-20,1.519805065600963e-36,4.610592364306574e-50,2.204865347519087e-67,3.8512943847135755e-50,4.45053374347215e-96,3.774808151563105e-75,1.0086203350238637e-54,2.896388817125804e-76,2.2051954131812994e-33,9.335617887283444e-109,6.4662266353120375e-68,3.439438658147219e-103,7.214912511480711e-120,2.5809897234213243e-56,1.4400454436752108e-86,6.752318654343673e-55,1.4181584293690762e-110,5.290967330660173e-108,1.7126358637343372e-102,2.2196869815031824e-164,4.042483668874994e-132,1.1151721160913164e-53,1.93622634965495e-139,5.0973646237340684e-117,1.6971843531271717e-139,3.76,0.0,0.5398061115712315,0.999999999999831,3.64411750261289e-49,7.462155894220894e-108,5.779411277393973e-16,5.779411277393973e-16,1.6901281595679006e-13,7.198812910196497e-38,2.2051954131812994e-33,3.624027375520724e-20,1.7122073236341956e-33,5.939644335933357e-35,1.9033644768652983e-51,1.969681410011548e-33,2.7058257923531657e-36,4.582045669578613e-40,1.1020413147672227e-35,3.083123214498857e-34,3.6395903686007167e-34,5.330983384434483e-34
