Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CF3(1),O2(2),H2O(3),CH4(4),CH2CF2(57),HF(38),O2(161),S(164),CF2O(49),S(125),C2HF(58),S(463),C2HF(468),C2H2F3(68),S(165),S(464),S(130),C2H2F2(59),C2H3F2(65),C2H2F3(67),CF2(43),CHFCF2(55),CF2CH(73),C2HF2(72),S(179),C2H3F2(64),CHF2(82),CHF3(42),S(1244),S(1385),CF2O2(181),CF2O2(276),CH2F2(41),S(203),S(1542),CHO2(322),C2F(467),S(174),S(413),S(1894),C2H3F2(66),C2HF4(54),CHFO(47),S(2753),S(512),CF2CF2(61),C2HF3(169),C2HF4(69),C2HFO(577),S(3833),S(2867),F(37),S(344),CFO(51),C1OO1(180),CH2O2(318),C2H2O(623)
0.0,0.8451678029741869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.73758166590072,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.967457517804983e-23,0.8451678029741869,3.7016249660515916e-25,3.5404156262597556e-26,7.899393027226572e-41,1.2897054960285812e-40,0.0,0.0,7.357240528862861e-22,2.4705286351933298e-40,1.0168283088320152e-52,1.1796038423993591e-52,8.617150184118981e-56,6.114351721175025e-64,3.6440744161148396e-43,3.966040698492932e-37,5.29800259033928e-40,3.021120132873697e-37,1.6262104315042194e-82,4.3841096859056194e-60,1.6772994924444527e-88,1.0347163949383499e-87,5.26530900475719e-23,8.761728220807095e-76,2.2387346337924457e-58,1.2961828079077672e-93,7.23113437383294e-97,4.743884708235412e-77,3.673190954387141e-95,7.862411733636187e-95,1.6618171534414746e-58,6.2660427190501616e-111,7.637843905196652e-111,7.027909151867363e-112,3.76,0.0,0.73758166590072,0.9999999999999994,1.6797464201962105e-53,4.921582414948785e-56,1.8975909899757817e-17,1.8975909899757817e-17,4.762140586813496e-16,4.155271877995549e-42,3.021120132873696e-37,7.360942153828913e-22,8.79301735158283e-36,6.9405283212107106e-40,6.372444633712764e-55,3.009832244758042e-37,2.5740568216002925e-39,4.2563703708953036e-43,6.036494534552197e-38,9.635112431160434e-37,1.2319758540793207e-24,1.2374287156965806e-37,4.24387960427919e-39,9.034024110027342e-46,1.1191100118262844e-39,9.168029226054216e-44,1.800827405870751e-54,2.432159402422899e-39,2.3405183890546178e-46,5.2653090047572286e-23,1.9588495814715997e-71,1.683459687757228e-75,1.0855460646124413e-52,5.5753673527370216e-58,3.1346852313209645e-59,9.28643712611508e-42,8.668719750535083e-76,2.8202596868868397e-51,2.9807870246141137e-60,2.1764319107561082e-54,7.381466795838675e-49,2.735530117869144e-62,6.253847515705797e-41,4.952657523206847e-64,6.71841213361677e-76,1.140049263444752e-81,1.1428251875145262e-47,6.742589868748151e-81,2.0902092463769778e-54,2.036925661861035e-65,6.1349648158359814e-58,7.324245327884346e-77,6.156812809832702e-75,1.2319758540787933e-24,2.6028224952378126e-74,1.268536414270353e-59,6.388457817345699e-50,1.4650650502880736e-56,1.2061635292041503e-111
2.5108881049853954e-22,0.8451678029741869,1.0364549904945331e-24,9.913163753528167e-26,4.771233388450202e-40,7.789821196016628e-40,0.0,0.0,2.0600273480816004e-21,1.4921992956567706e-39,1.2071786698208298e-51,1.400425681701655e-51,1.0251956279596837e-54,7.258958363378874e-63,2.2010209473333386e-42,2.3954885818896933e-36,3.1999935645662435e-39,1.8247565602561442e-36,3.645404819810504e-81,5.2048150191084325e-59,8.012660952986843e-87,4.94296439420707e-86,1.474286521332e-22,1.9599635560820624e-74,2.657825757239327e-57,6.192020815317662e-92,3.5485865944670654e-95,1.4915532544251753e-75,1.755349669370506e-93,3.7561497026496276e-93,1.9729093245661387e-57,4.929406672146707e-109,6.103211451604871e-109,5.603798980045758e-110,3.76,0.0,0.73758166590072,0.9999999999999987,1.994194951584841e-52,5.842902643029403e-55,5.3132547719321886e-17,5.3132547719321886e-17,1.3333993643074391e-15,2.5097842150273263e-41,1.824756560256144e-36,2.0610638030720947e-21,5.31098248035603e-35,4.192079106011044e-39,7.565366269143779e-54,1.8179386758338162e-36,1.554730320247334e-38,2.5708477040207937e-42,3.6460426988692715e-37,5.8196079084209253e-36,3.4495323914238e-24,7.474069442807336e-37,2.5633032809847626e-38,5.456569574405451e-45,6.759424471430751e-39,5.537489652569192e-43,2.6210452949910695e-53,1.4690242790633736e-38,1.4136731069957243e-45,1.4742865213320238e-22,5.3277594688705165e-70,4.578742735913281e-74,6.556700404246608e-52,6.619076121168805e-57,4.737061892833967e-58,5.609008024175591e-41,2.357753967979142e-74,3.3482123002714907e-50,3.538790355621955e-59,3.2890210462725335e-53,4.4584059446882e-48,3.247621355581702e-61,3.777323899488187e-40,5.87979660327625e-63,1.5054590483737625e-74,2.550245259872056e-80,6.902665771441797e-47,1.5082949807308966e-79,1.262486570985367e-53,2.418245861776691e-64,7.29943658460292e-57,1.641844044820496e-75,1.3801458026556589e-73,3.449532391420614e-24,8.183690376627321e-73,1.5060064310221434e-58,3.8586285654687746e-49,1.7393252277018846e-55,1.0492192583638597e-109
5.739172811395189e-22,0.8451678029741869,2.3690399782736298e-24,2.2658660008068393e-25,2.2971434923255115e-39,3.7504635824571094e-39,0.0,0.0,4.708633938472223e-21,7.184297271142191e-39,1.185215221011723e-50,1.3749462387166149e-50,1.007492957964829e-53,7.1268883662012494e-62,1.0596968402061587e-41,1.1533246351216889e-35,1.5406591532726405e-38,8.785417346403059e-36,7.210069160571221e-80,5.1101182498954414e-58,4.172175945716735e-85,2.573791308157284e-84,3.3697977630445105e-22,3.872557704712824e-73,2.6094690891513756e-56,3.224172401143617e-90,1.807841585470386e-93,3.3275732603957837e-74,9.138062610298947e-92,1.9557425726681578e-91,1.937014074052662e-56,5.377563437032687e-107,6.653402670304226e-107,6.117385201452709e-108,3.76,0.0,0.7375816659007199,0.999999999999997,1.9579124295502977e-51,5.736596462871139e-54,1.2144582335845002e-16,1.2144582335845002e-16,3.0477699755582585e-15,1.2083530631775927e-40,8.785417346403053e-36,4.711002978450499e-21,2.557009445840287e-34,2.018305635807737e-38,7.427721465055548e-53,8.752592167755766e-36,7.485357237224796e-38,1.237752503856399e-41,1.755412610647397e-36,2.80189069498149e-35,7.884645466119564e-24,3.5984427052456385e-36,1.2341201889245864e-37,2.627122729119355e-44,3.2543719143908256e-38,2.666062898985233e-42,2.785050682494601e-52,7.072719542244932e-38,6.806227475470051e-45,3.3697977630446247e-22,1.1438753524519564e-68,9.830607014883319e-73,3.156771216874046e-51,6.498648186348451e-56,5.0958893980462315e-57,2.700495916277388e-40,5.062121642078879e-73,3.287294691033547e-49,3.474405355890448e-58,3.538177771364217e-52,2.1465305442323465e-47,3.1885339042953724e-60,1.818618857570074e-39,5.772822543397647e-62,2.977018082287065e-73,5.038857732286973e-79,3.3233381035733286e-46,2.980156592636466e-78,6.078331279750052e-53,2.374264471112563e-63,7.173644013788387e-56,3.2473235719387697e-74,2.7297233326247853e-72,7.884645466104226e-24,1.82573630460787e-71,1.478606044474678e-57,1.8577635989720253e-48,1.707679822615418e-54,1.0905839232608481e-107
1.2195742224214777e-21,0.845167802974187,5.0342099538332194e-24,4.814965251716246e-25,1.0032229144660645e-38,1.6379259799624926e-38,0.0,0.0,1.0005847119253449e-20,3.137571366695516e-38,1.0483094585262768e-49,1.2161243773934794e-49,8.914933234676479e-53,6.303652050461847e-61,4.627974508465468e-41,5.036871687085449e-35,6.72846328975133e-38,3.836822568756096e-35,1.2835908574411558e-78,4.519841721789247e-57,1.665005896283564e-83,1.0271325460434073e-82,7.1608202464693245e-22,6.891009525578148e-72,2.3080458580607502e-55,1.2866825677131297e-88,7.158040386091066e-92,6.232176447065616e-73,3.646479735886386e-90,7.804746313303732e-90,1.7132670125146842e-55,4.400541849641688e-105,5.442674125385747e-105,5.007015756600087e-106,3.76,0.0,0.7375816659007198,0.9999999999999936,1.7317513715503124e-50,5.073954606529957e-53,2.5807237463670627e-16,2.5807237463670627e-16,6.476511198054459e-15,5.277195295875548e-40,3.836822568756091e-35,1.0010881329207296e-20,1.1167132036510193e-33,8.814470967934112e-38,6.5697355195724066e-52,3.822486950842074e-35,3.269052163443786e-37,5.405590371037493e-41,7.666348058877342e-36,1.2236592787574122e-34,1.6754871615538324e-23,1.5715344689346392e-35,5.389727097436616e-37,1.1473505304943228e-43,1.4212697150193717e-37,1.164339711759175e-41,2.5474183105535195e-51,3.0888424410761947e-37,2.972458354201054e-44,7.160820246469824e-22,2.109474170498756e-67,1.8129083325174434e-71,1.3786468717381777e-50,5.7479807259739316e-55,4.683991014364728e-56,1.1793775150198425e-39,9.335295868548477e-72,2.907574926789175e-48,3.073072190896657e-57,3.252194589715005e-51,9.374462830740532e-47,2.82022212802327e-59,7.94238634497559e-39,5.106002162255593e-61,5.299460962206198e-72,8.966388305258332e-78,1.4513905283672374e-45,5.303100501679319e-77,2.654568626611764e-52,2.100039111611667e-62,6.347792414548211e-55,5.78113007711067e-73,4.8596591349277495e-71,1.675487161547133e-23,3.41940204037983e-70,1.307810301658563e-56,8.113342106803681e-48,1.510423464244235e-53,8.729783816531218e-106
2.510888104985395e-21,0.845167802974187,1.036454990495799e-23,9.913163753540504e-25,4.188258183110129e-38,6.838018539999292e-38,0.0,0.0,2.060027348081582e-20,1.3098742823794917e-37,8.811672722831133e-49,1.0222258162224694e-48,7.495034138643643e-52,5.298599371941363e-60,1.932088255423747e-40,2.1027947783404367e-34,2.8090009734162876e-37,1.6017978944554604e-34,2.1654416925683815e-77,3.799199308065253e-56,5.917691734817025e-82,3.6505899411610394e-81,1.474286521331813e-21,1.162269477603417e-70,1.9400516139014402e-54,4.573071370767462e-87,2.535557451330737e-90,1.076453497951966e-71,1.2959741768314542e-88,2.773912679129783e-88,1.440104156102735e-54,3.167546990705964e-103,3.917028207420185e-103,3.604440750817049e-104,3.76,0.0,0.7375816659007196,0.9999999999999867,1.4556413737411292e-49,4.2649645755020294e-52,5.313254771932186e-16,5.313254771932186e-16,1.3333993643025107e-14,2.2031251594112512e-39,1.601797894455456e-34,2.0610638030720834e-20,4.6620577998092146e-33,3.6798681159027773e-37,5.522258560461151e-51,1.595813056170138e-34,1.3647649268227057e-36,2.2567275706491006e-40,3.200549402216022e-35,5.108536611001596e-34,3.449532391448476e-23,6.560847050623106e-35,2.2501049661906676e-36,4.790104799824147e-43,5.9335212827028744e-37,4.860889096106554e-41,2.174592128082933e-50,1.2895309151638228e-36,1.240942849967918e-43,1.4742865213320215e-21,3.617140796355641e-66,3.108615777953816e-70,5.755595561698309e-50,4.8315241419973136e-54,4.007249384576107e-55,4.923668964295263e-39,1.600734439148714e-70,2.4439919204944664e-47,2.5831023429390803e-56,2.7823208059375133e-50,3.913653695176537e-46,2.3705666274995353e-58,3.3157899528535194e-38,4.291912566955585e-60,8.93992850503746e-71,1.5123158840085467e-76,6.059282006216113e-45,8.944693972456657e-76,1.1082315375069366e-51,1.7652583216145484e-61,5.336806427515382e-54,9.752873781536682e-72,8.198335192622582e-70,3.4495323914205085e-23,5.906166679526081e-69,1.0992933600283933e-55,3.387160945653746e-47,1.2696019315374663e-52,6.215179619078004e-104
5.0935158701132296e-21,0.845167802974187,2.102522980722988e-23,2.0109560757210813e-24,1.7110401273325442e-37,2.793553692664954e-37,0.0,0.0,4.178912620394025e-20,5.35126384497406e-37,7.224341704907177e-48,8.380824844750324e-48,6.145476973075457e-51,4.344111893006515e-59,7.893210948278498e-40,8.590602794559268e-34,1.1475685530934297e-36,6.543867052658972e-34,3.5571267393188595e-76,3.1148131307185274e-55,1.993241554983302e-80,1.2296192326770052e-79,2.9906955147012436e-21,1.9090311070469317e-69,1.5905715260675989e-53,1.540336384306721e-85,8.527160607851773e-89,1.7885435865845178e-70,4.3651330719384e-87,9.343276277203857e-87,1.1806843946055753e-53,2.1472109235930692e-101,2.655051996294695e-101,2.4434848360238092e-102,3.76,0.0,0.737581665900719,0.9999999999999729,1.1934227443822792e-48,3.496675637325678e-51,1.077831682306243e-15,1.077831682306243e-15,2.7048958532879382e-14,9.000485180553546e-39,6.543867052658936e-34,4.1810151433747716e-20,1.9046027304222465e-32,1.5033461964848646e-36,4.527481208675084e-50,6.519417035430831e-34,5.5755100379455384e-36,9.219468478177535e-40,1.3075288621591362e-34,2.087003893039359e-33,6.997622851281328e-23,2.680320095347283e-34,9.192412978068485e-36,1.9570303084572393e-42,2.4240370500161353e-36,1.9858318028634567e-40,1.7961267667443758e-49,5.2681545520173373e-36,5.069656452198193e-43,2.9906955147020953e-21,5.9884750912917e-65,5.146569957522571e-69,2.3513618747572927e-49,3.9611753999967006e-53,3.313269898463067e-54,2.0114794272896249e-38,2.650147963894782e-69,2.0037322361878597e-46,2.1177833652123224e-55,2.3004765939670784e-49,1.5988552338652056e-45,1.943533741162255e-57,1.3546083873142106e-37,3.5187857753306864e-59,1.468514838367496e-69,2.483994684623557e-75,2.4754244256692333e-44,1.4692474699848743e-74,4.527498806591336e-51,1.4473456349894724e-60,4.3758758386247745e-53,1.6020844881698765e-70,1.346723636044371e-68,6.997622851167072e-23,9.813184272235124e-68,9.012671130624091e-55,1.3837660342944715e-46,1.0408963695910313e-51,4.190230535009608e-102
1.02587714003689e-20,0.8451678029741874,4.234658961186305e-23,4.050235476463857e-24,6.9162977667216945e-37,1.1291990676756628e-36,0.0,0.0,8.416683165018785e-20,2.1630664054861657e-36,5.850459227463951e-47,6.787009247701079e-47,4.977004001438299e-50,3.517974439661329e-58,3.19056206687814e-39,3.472459001480502e-33,4.638655572094536e-36,2.6451356901377538e-33,5.766561963845045e-75,2.5224564302602304e-54,6.542018365394048e-79,4.035733442395686e-78,6.023513501438786e-21,3.0946216902794173e-68,1.288086060176917e-52,5.055538246222924e-84,2.796596345811332e-87,2.915777451270076e-69,1.4326701464394928e-85,3.0665527802031477e-85,9.561488340685233e-53,1.4138666387047108e-99,1.7481929925458663e-99,1.608989583368175e-100,3.76,0.0,0.7375816659007179,0.9999999999999455,9.664646799914e-48,2.8316985885814426e-50,2.1708440925322905e-15,2.1708440925322905e-15,5.447888831223986e-14,3.63814004956856e-38,2.6451356901377243e-33,8.420917823980062e-20,7.698708756143634e-32,6.07676569055751e-36,3.666471665661984e-49,2.635252602229401e-33,2.2537103021095244e-35,3.726656565499492e-39,5.285240716713364e-34,8.436003418879998e-33,1.4093803771121294e-22,1.0834282371705947e-33,3.715720299780258e-35,7.911568847385038e-42,9.798345326344221e-36,8.02704965596552e-40,1.459841533350615e-48,2.1294723004670024e-35,2.0492361951330438e-42,6.023513501442227e-21,9.745395041444723e-64,8.375313678321549e-68,9.504688071529973e-49,3.2078625393150062e-52,2.694295508072085e-53,8.130721453098115e-38,4.312740461059631e-68,1.62267431512182e-45,1.7150358763918054e-54,1.8707093398134265e-48,6.462828490322249e-45,1.573924007172239e-56,5.475543684864387e-37,2.8496307517671997e-58,2.3806288730152257e-68,4.0266990752037815e-74,1.0006142295645594e-43,2.381968939832917e-73,1.830096597368896e-50,1.1722279364165902e-59,3.5438730267696086e-52,2.5971855192628177e-69,2.183212653158904e-67,1.409380377065946e-22,1.5997967083596962e-66,7.29869475091958e-54,5.593405719663171e-46,8.429448671536706e-51,2.751655869713102e-100
2.058928246088024e-20,0.8451678029741877,8.498930922148699e-23,8.128794277984272e-24,2.7810129132286102e-36,4.540459787303422e-36,0.0,0.0,1.68922242542678e-19,8.697594881342846e-36,4.708958569152082e-46,5.462775500401885e-46,4.006020644978721e-49,2.831571885895488e-57,1.282910974488967e-38,1.396260492064321e-32,1.8651830040432575e-35,1.0635974272915124e-32,9.287117286085762e-74,2.0302923838561356e-53,2.119979955809372e-77,1.3078034219405522e-76,1.2089149474908588e-20,4.9837928303923986e-67,1.0367637222103319e-51,1.638277233336337e-82,9.059189855931039e-86,4.708988372380127e-68,4.6426365403199e-84,9.937340207030246e-84,7.695917647379164e-52,9.177678671002935e-98,1.1347629465958903e-97,1.0444376144098542e-98,3.76,0.0,0.7375816659007157,0.9999999999998906,7.7789485499028925e-47,2.2791973763596477e-49,4.356868912984378e-15,4.356868912984379e-15,1.0933874786956857e-13,1.4628801403228244e-37,1.0635974272914888e-32,1.6900723185190313e-19,3.0956169306941327e-31,2.443440757577764e-35,2.9510953723502215e-48,1.0596234810927927e-32,9.062070003292543e-35,1.4984722145574852e-38,2.125172046847169e-33,3.3920798718416536e-32,2.8286165611498276e-22,4.356417290757509e-33,1.4940747902153056e-34,3.1819625321494935e-41,3.9398715610344406e-35,3.2276413637060786e-39,1.1771211414771077e-47,8.562514462560797e-35,8.239888614534652e-42,1.208914947492242e-20,1.572490004099304e-62,1.3514174627392985e-66,3.8218796601194616e-48,2.5819668493584008e-51,2.1730467168483647e-52,3.2693273361614132e-37,6.958918788164763e-67,1.3060694582696272e-44,1.380410078071281e-53,1.5087948452655096e-47,2.5986749114713894e-44,1.2668309597105442e-55,2.2016920334428898e-36,2.2936738838310055e-57,3.834011803094136e-67,6.484992768375436e-73,4.02349093308807e-43,3.8369104230975855e-72,7.358811843451168e-50,9.437201616665445e-59,2.852487353022893e-51,4.182797183958358e-68,3.5160891164620466e-66,2.8286165609641263e-22,2.583675957283461e-65,5.874624507731707e-53,2.2490855793825155e-45,6.784753636281664e-50,1.783740076695154e-98
4.1250304581902915e-20,0.8451678029741884,1.702747484421653e-22,1.6285911881164548e-23,1.1153105622177336e-35,1.8209274518634818e-35,0.0,0.0,3.38433064327638e-19,3.488124556857104e-35,3.778642693661495e-45,4.383533307722612e-45,3.2146171848050595e-48,2.272158112257533e-56,5.145046803650527e-38,5.599629065934543e-32,7.480218070121839e-35,4.265501389147683e-32,1.4908084455286478e-72,1.6291817747492573e-52,6.826673248941035e-76,4.211335400063282e-75,2.4220421421827065e-20,8.000091236618271e-66,8.319375940159033e-51,5.275513729766435e-81,2.916669380932931e-84,7.569561277768e-67,1.4950003459514e-82,3.1999808575660317e-82,6.175489240233989e-51,5.915302934460574e-96,7.313832183662134e-96,6.731766897431395e-97,3.76,0.0,0.7375816659007114,0.999999999999781,6.242116310250176e-46,1.828912355787538e-48,8.728918553888527e-15,8.728918553888527e-15,2.1905846697865694e-13,5.866803872503505e-37,4.265501389147492e-32,3.38603339076095e-19,1.2414808440595619e-30,9.799290293404487e-35,2.3680681828155714e-47,4.2495640873541894e-32,3.6342953825402625e-34,6.009543788463459e-38,8.522890414205374e-33,1.3603757430896122e-31,5.667088929504044e-22,1.7471181791189577e-32,5.9919081500879325e-34,1.2767152680146533e-40,1.5800647110370843e-34,1.294428547668582e-38,9.454104612435655e-47,3.433951267288136e-34,3.3045638745290345e-41,2.4220421421882538e-20,2.5266134892848e-61,2.1714030499921545e-65,1.5328139738682939e-47,2.0718657899921357e-50,1.7455092113878636e-51,1.3111464861060936e-36,1.1181309919113203e-65,1.0480384868553668e-43,1.1076921524653221e-52,1.2119460681213126e-46,1.042184868128458e-43,1.0165520476049922e-54,8.829769785536923e-36,1.840598079665356e-56,6.154503949419077e-66,1.0410228576209346e-71,1.6136520550854376e-42,6.1617327796786334e-71,2.9512719675082313e-49,7.576116351563799e-58,2.2889694503858227e-50,6.714403787426184e-67,5.644175665878978e-65,5.667088928759299e-22,4.153183642205253e-64,4.7140161966849755e-52,9.019853059410801e-45,5.444337504206434e-49,1.1489013138986848e-96
