Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CF3(1),O2(2),H2O(3),CH4(4),CH2CF2(57),HF(38),O2(161),S(164),CF2O(49),S(125),C2HF(58),S(463),C2HF(468),C2H2F3(68),S(165),S(464),S(130),C2H2F2(59),C2H3F2(65),C2H2F3(67),CF2(43),CHFCF2(55),CF2CH(73),C2HF2(72),S(179),C2H3F2(64),CHF2(82),CHF3(42),S(1244),S(1385),CF2O2(181),CF2O2(276),CH2F2(41),S(203),S(1542),CHO2(322),C2F(467),S(174),S(413),S(1894),C2H3F2(66),C2HF4(54),CHFO(47),S(2753),S(512),CF2CF2(61),C2HF3(169),C2HF4(69),C2HFO(577),S(3833),S(2867),F(37),S(344),CFO(51),C1OO1(180),CH2O2(318),C2H2O(623),S(3850),S(970),S(2764),CHF2O(206),CF3(45),S(1375),C3HF3(994),CH2F(46),S(2131),CF3O2(511),S(1368),C2HF5(81),CH2CFO(79),C2F5(3279),CF3CCH(84),CHF2O(207),CHO2(457),CHFO2(635)
0.0,0.506121443481817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7382897795267213,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.3159121440097266e-21,0.506121443481817,4.164293764760755e-29,1.8847472512095566e-33,5.627091395014606e-43,7.647651868014342e-44,0.0,0.0,3.0662878223447633e-24,5.076197168926639e-43,5.40902451128187e-55,6.293141633759367e-55,1.6943809918315642e-60,7.234875987469428e-73,6.093622976642899e-51,2.565059330141894e-41,8.298210449203366e-26,1.888995399671672e-40,1.4451108069298223e-94,1.5149784006146817e-76,9.360750941278619e-96,2.9627071027992727e-89,3.6060247217298184e-29,4.1550533829951675e-77,1.83297666708482e-44,3.2426616691182035e-91,1.632119751844626e-88,5.515341733957988e-67,7.779803424796723e-64,8.979968981440683e-66,5.68907657745206e-60,1.8444860856468103e-97,1.0464661523733814e-101,3.1985061050974504e-99,3.76,0.0,0.7382897795267213,0.9999999999999994,1.0050105018152434e-55,1.7015641083464317e-41,1.1113006999891735e-20,1.1113006999891735e-20,5.220153252012729e-16,2.2681552490208935e-44,1.883777605014819e-40,3.0663294652824094e-24,4.71096231028028e-44,1.7396343091274896e-39,5.7750154751347885e-67,1.3793110878858073e-40,3.2587004030248986e-45,2.964368832174489e-48,2.3635631304507014e-46,1.186277957159799e-44,6.026500938427752e-32,1.0996708803281471e-41,4.91725549991849e-43,1.4103757333705352e-50,1.981714355018546e-45,2.88172817854553e-53,1.0215323536860244e-58,4.648103123124168e-46,1.0941229137515116e-59,3.606024721732585e-29,2.2358229624384414e-73,8.277649828282543e-78,4.0169686151036026e-62,4.081139404058918e-62,2.60371994611793e-66,5.997013440154286e-46,8.661811443332538e-78,1.5156613518146342e-53,4.101693228249963e-72,1.0440337249326735e-61,3.897756379180157e-60,2.1902889279908395e-73,1.1632876960735887e-49,1.0037615272088874e-71,5.642801520896674e-58,2.5455493179308196e-86,4.023555645695883e-52,1.33582608445083e-87,5.106570416049052e-63,2.5811047798303363e-73,4.15330335448943e-68,1.318039020692519e-85,2.3844241168858304e-83,6.026500938393302e-32,1.1939901375440462e-79,5.810939599338596e-70,1.5548237035256733e-58,1.0665082281161878e-58,1.994289147810581e-110,7.767592209317478e-117,2.294145746147841e-56,1.2778334902263808e-87,6.464366855744055e-68,8.29821044920335e-26,2.5760812086911065e-83,3.221808741170811e-102,4.917035132145571e-43,6.284291296565007e-108,1.7855862846048963e-40,2.123970534060112e-82,1.2260360764591997e-94,1.4754081351691467e-69,4.465480910203447e-82,1.17060421659555e-105,2.794420046913442e-72,3.9660785267841796e-73,2.636642472880297e-98
1.4884554003227235e-20,0.506121443481817,1.166002254133042e-28,5.277292303589306e-33,3.398763202591396e-42,4.619181728299075e-43,0.0,0.0,8.585605902565331e-24,3.066023090031688e-42,6.421593899786102e-54,7.47121774922023e-54,2.011569291733015e-59,8.589244772313404e-72,3.6805482778893453e-50,1.5492958354036634e-40,2.3234989257769417e-25,1.1409532214103304e-39,3.5902855822067137e-93,1.7985823572298432e-75,4.471743083614765e-94,8.355317557399743e-88,1.0096869220835181e-28,9.295547095488041e-76,1.1071179069191783e-43,8.477696540107357e-90,5.129745002100519e-87,8.334784428387063e-66,1.1756838935552784e-62,1.3570529124753107e-64,6.754071712749951e-59,1.1220909020374778e-95,6.305977238220303e-100,1.9458124908560857e-97,3.76,0.0,0.7382897795267213,0.9999999999999986,1.1931484677609696e-54,1.0277447214412444e-40,3.1116419599696863e-20,3.1116419599696863e-20,1.4616429105387018e-15,1.369965770503465e-43,1.1378016734375894e-39,8.585722502790735e-24,2.8454212354092896e-43,1.0507391227128256e-38,6.856098372080012e-66,8.331038970829986e-40,1.9682550434651652e-44,1.7904787746384196e-47,1.4275921307909706e-45,7.165118861245314e-44,1.6874202627708895e-31,6.642012117182014e-41,2.9700223219507755e-42,8.518944275222883e-50,1.1969554704311411e-44,1.7405638328785286e-52,1.2160727416438206e-57,2.807454286366967e-45,6.608502900288166e-59,1.0096869220851895e-28,5.014484933750592e-72,1.856504340818949e-76,2.55716877882115e-61,4.845128700407552e-61,3.0926752700652296e-65,3.622196117872937e-45,1.9426637846757553e-76,1.799393156855861e-52,4.869530200578335e-71,1.5777433864243628e-60,2.3542448530376287e-59,2.600311115739345e-72,7.026257684342896e-49,1.2833594055058206e-70,6.699133965608535e-57,6.112857155401521e-85,2.4364464399003122e-51,4.193004200356553e-86,3.084372538089973e-62,3.064378132887198e-72,4.9981862186322955e-67,2.986892257435759e-84,5.403495512257752e-82,1.6874202627500813e-31,3.7540960308605035e-78,6.898747492408916e-69,9.541129201007384e-58,1.2661585684128581e-57,1.1957598932708067e-108,3.733077976630104e-115,2.7236098298262638e-55,2.8585430856869602e-86,7.674496331191643e-67,2.323498925776932e-25,8.099611493126266e-82,1.5390966973621949e-100,2.969889219815929e-42,3.002081363864671e-106,1.0784941159013463e-39,6.678103194369668e-81,2.944793939943011e-93,2.0610005409286125e-68,1.4040186458625312e-80,5.592116815183647e-104,3.3175354797188677e-71,8.871959021182601e-72,1.603998284748054e-96
3.4021837721662255e-20,0.506121443481817,2.665148009447096e-28,1.2062382409158999e-32,1.6363581776741085e-41,2.2239371632461882e-42,0.0,0.0,1.9624242063006446e-23,1.4761581367238643e-41,6.304758970326139e-53,7.335285893335351e-53,1.9749707371888124e-58,8.432971450962434e-71,1.7720255616033066e-49,7.459192532022014e-40,5.3108546874901505e-25,5.493198622372359e-39,7.438767305533265e-92,1.7658588238165231e-74,2.3284273293326555e-92,1.8174710982918526e-86,2.3078558219012663e-28,1.836719402155504e-74,5.330296147881863e-43,1.793065292454505e-88,1.1443256999359584e-85,8.966180750159044e-65,1.26474708316235e-61,1.459855597374835e-63,6.631187658674601e-58,5.065654703161653e-94,2.84358476268041e-98,8.784328420520877e-96,3.76,0.0,0.7382897795267213,0.9999999999999967,1.1714402409222627e-53,4.9481484270714205e-40,7.112324479930712e-20,7.112324479930712e-20,3.34089808111411e-15,6.595795465542839e-43,5.4780252755102067e-39,1.9624508577807338e-23,1.3699478398295059e-42,5.058856570940068e-38,6.731358037817079e-65,4.0110366435714926e-39,9.476300772557408e-44,8.620384564037405e-47,6.873241583331845e-45,3.4496962994208845e-43,3.856960600671593e-31,3.19784291999426e-40,1.4299378993763085e-41,4.101784901138792e-49,5.762825344393016e-44,8.380065738765826e-52,1.1953976459697053e-56,1.3516683882044601e-44,3.181710170712871e-58,2.3078558219093127e-28,9.920348430567946e-71,3.6727939493326526e-75,1.3645140763538018e-60,4.756976089088366e-60,3.0370812782484353e-64,1.7439315084264888e-44,3.843246491163612e-75,1.76665487161787e-51,4.780933626848088e-70,1.697264208145628e-59,1.1334675550848103e-58,2.553001067683696e-71,3.382840620269625e-48,1.3002019569410875e-69,6.5772494527571725e-56,1.2481656529524504e-83,1.1793782266183587e-50,9.349930613446057e-85,1.4849966871815875e-61,3.0088164000153695e-71,4.936776348679325e-66,5.938708244271425e-83,1.0743535615607988e-80,3.8569606005714095e-31,8.375181732315639e-77,6.773231197215584e-68,4.7464183774902197e-57,1.2431219906715182e-56,5.3803347170609785e-107,1.5835938531726383e-113,2.674056281708519e-54,5.648348311515115e-85,7.534866007214349e-66,5.310854687490102e-25,1.806978768219867e-80,8.014044594371215e-99,1.4298738164279387e-41,1.5631775422022417e-104,5.192484915630873e-39,1.4898480864691266e-79,6.016054245823033e-92,2.1590780465234196e-67,3.132288363961487e-79,2.9118036320017532e-102,3.2571760067528034e-70,1.752949597249519e-70,7.241214987886519e-95
7.229640515853229e-20,0.506121443481817,5.663439520075686e-28,2.5632562623539147e-32,7.146406071708446e-41,9.712517872663588e-42,0.0,0.0,4.17015143838886e-23,6.446770404536808e-41,5.576487910100715e-52,6.487977309293968e-52,1.7468392822764244e-57,7.458867747974429e-70,7.738901180290515e-49,3.257625349248571e-39,1.1285566210916557e-24,2.399024157713247e-38,1.3517356402581338e-90,1.5618821320220058e-73,9.29214220427401e-91,3.3693109016539995e-85,4.904193621523466e-28,3.2684060944130023e-73,2.3278803671969028e-42,3.286440526687494e-87,2.1431268098228016e-84,8.241464846431002e-64,1.1625204661605194e-60,1.34185880495869e-62,5.865210388282588e-57,1.9126948302620157e-92,1.0730314272264764e-96,3.3167953329985246e-94,3.76,0.0,0.7382897795267213,0.9999999999999929,1.0361256269539086e-52,2.160986417599965e-39,1.5113689519852763e-19,1.5113689519852763e-19,7.099408421867129e-15,2.880557167677739e-42,2.3923975584990197e-38,4.1702080727840366e-23,5.982922134055957e-42,2.209335572589151e-37,5.953809954244892e-64,1.7517250816145247e-38,4.138549512416239e-43,3.764748416937388e-46,3.0017251756529665e-44,1.5065730055931393e-42,8.1960412766509e-31,1.396582018016756e-39,6.244914484896602e-41,1.791603192161097e-48,2.5167772308726084e-43,3.6597949888267595e-51,1.0578916251817575e-55,5.903090966367196e-44,1.3895368558893076e-57,4.9041936215586055e-28,1.7662931587040144e-69,6.5393175162929735e-74,7.130806042495511e-60,4.207491479414891e-59,2.6865318142137445e-63,7.616207069302041e-44,6.84280399171526e-74,1.5625862271465536e-50,4.2286816505964376e-69,1.5600781727856322e-58,4.950150601757413e-58,2.2581008742968857e-70,1.4773753741040072e-47,1.1659976139681588e-68,5.817502655983659e-55,2.2538433633431513e-82,5.206307533483692e-50,1.7508184297861685e-83,6.485406533725854e-61,2.6616051879686548e-70,4.378249434861319e-65,1.0597730968973088e-81,1.9172031262571537e-79,8.196041276213373e-31,1.5685788485307626e-75,5.990846289806607e-67,2.207116852857479e-56,1.0995273228151731e-55,2.0288226531860794e-105,5.82653181655451e-112,2.365172498445628e-53,1.0052181323028206e-83,6.664503653928906e-65,1.128556621091635e-24,3.38427125067612e-79,3.1981948213382233e-97,6.244634617824944e-41,6.238231221990938e-103,2.2676945814480481e-38,2.7903205812730623e-78,1.0875272321825811e-90,1.9635230554663314e-66,5.866429448630621e-78,1.1620243919234448e-100,2.8809352917124115e-69,3.1192801484248283e-69,2.7341450012330263e-93
1.4884554003227237e-19,0.506121443481817,1.1660022541334807e-27,5.277292306526251e-32,2.9834838576726532e-40,4.0547850206780387e-41,0.0,0.0,8.585605902565256e-23,2.6913997389648823e-40,4.6873740969931514e-51,5.453535868696632e-51,1.4683236840975055e-56,6.269627772603553e-69,3.2308389021746945e-48,1.359994456812762e-38,2.3234989257769336e-24,1.001545361022628e-37,2.3025106783456684e-89,1.312856042542342e-72,3.3025728714409755e-89,5.791072971217781e-84,1.0096869220714678e-27,5.512695101379444e-72,9.718442288876348e-42,5.61970201428452e-86,3.7016618556425305e-83,7.05074668898148e-63,9.94560734061895e-60,1.1479884586245486e-61,4.930062736781311e-56,6.636026902401715e-91,3.7216188735776275e-95,1.1507503916815553e-92,3.76,0.0,0.7382897795267213,0.9999999999999853,8.709260207001481e-52,9.021692902452751e-39,3.111641959969686e-19,3.111641959969686e-19,1.461642910178197e-14,1.2025759143034425e-41,9.987788862955422e-38,8.58572250279057e-23,2.4977522169106045e-41,9.223541106969107e-37,5.004536010504077e-63,7.313107387966497e-38,1.7277629541987768e-42,1.5717083548868352e-45,1.2531611717474795e-43,6.289645728863e-42,1.6874202629321113e-30,5.830455007499916e-39,2.6071288660568915e-40,7.481646235355233e-48,1.0507049510299829e-42,1.5278924621313816e-50,8.894500075261359e-55,2.4644242758799837e-43,5.801046458894385e-57,1.0096869220861376e-27,2.979927665425705e-68,1.1032536180875335e-72,3.956127075971547e-59,3.536650108249867e-58,2.2582980513117956e-62,3.1796165262452893e-43,1.1544550699363208e-72,1.3134478766827441e-49,3.554461724509501e-68,1.3346797038668876e-57,2.0665904324200707e-57,1.898070419326775e-69,6.167751365397111e-47,9.864644306515134e-68,4.889961513184767e-54,3.8278088747972256e-81,2.220041880452816e-49,3.0238578665883885e-82,2.707559529398699e-60,2.2378134520624333e-69,3.684831919087499e-64,1.7898714649850146e-80,3.238001774943183e-78,1.687420262749453e-30,2.7093298828262268e-74,5.035667282607675e-66,1.0336092023337525e-55,9.242189662749321e-55,7.034572158359224e-104,1.996741901967281e-110,1.9880699972744285e-52,1.6958682380010433e-82,5.601916887915956e-64,2.3234989257768472e-24,5.845486976772558e-78,1.1366885308435993e-95,2.607012027063644e-40,2.2171650818384137e-101,9.467178480973626e-38,4.819584900421916e-77,1.8510883123089418e-89,1.6718074037610788e-65,1.0132797994537494e-76,4.130016689562346e-99,2.4215997021989483e-68,5.26112189340688e-68,9.486019165123319e-92
3.019438097797525e-19,0.506121443481817,2.3653188583860798e-27,1.0705364400056148e-31,1.2188505045561467e-39,1.656511985436831e-40,0.0,0.0,1.7416514830917916e-22,1.099524611578167e-39,3.8429924838489294e-50,4.4711382107684925e-50,1.2038204736360066e-55,5.140219642828412e-68,1.3199031111977304e-47,5.556021111219497e-38,4.7133835351474746e-24,4.091639596490912e-37,3.8005185107885117e-88,1.0763587032934256e-71,1.1123974982015013e-87,9.598571597066313e-83,2.048222041888434e-27,9.054659100542885e-71,3.970300779966167e-41,9.29169324568376e-85,6.150319659693347e-82,5.829693710867441e-62,8.223220478412032e-59,9.491790575108503e-61,4.041963293446069e-55,2.2100740237468754e-89,1.2392446139175787e-93,3.832479278467092e-91,3.76,0.0,0.7382897795267213,0.9999999999999704,7.140377708917603e-51,3.68565592124268e-38,6.312187975938507e-19,6.312187975938507e-19,2.965047045524689e-14,4.912915006336652e-41,4.080337644552193e-37,1.7416751362803353e-22,1.0204132802559497e-40,3.768117498921475e-36,4.103020982741357e-62,2.9876429888007436e-37,7.05847542531917e-42,6.420941465817112e-45,5.119572282933421e-43,2.569525506327888e-41,3.4230525337507936e-30,2.38193111362605e-38,1.065097210304437e-39,3.0581764556574554e-47,4.292472561537174e-42,6.241940043660145e-50,7.293157256296189e-54,1.0067977288808053e-42,2.36991971635348e-56,2.0482220419483662e-27,4.895192277841175e-67,1.812338820910931e-71,2.4163844795683066e-58,2.899559433194707e-57,1.8515314386993243e-61,1.2989770994244239e-42,1.896448563886313e-71,1.0768439242907276e-48,2.914162473284668e-67,1.10353898192919e-56,8.442696229072816e-57,1.5561537467799162e-68,2.5197276818932207e-46,8.113575703116132e-67,4.009085887539583e-53,6.308700423810899e-80,9.44968847028975e-49,5.023997475706738e-81,1.1061509026704202e-59,1.835635846090415e-68,3.0228980540368486e-63,2.94179450131142e-79,5.32191054274769e-77,3.423052533004574e-30,4.501592121771774e-73,4.128544281233937e-65,5.139389852254847e-55,7.577305474407332e-54,2.3421004989157512e-102,6.609882322370279e-109,1.6299398978908695e-51,2.786851530594816e-81,4.592789918800047e-63,4.713383535147121e-24,9.712364038732065e-77,3.828680026437583e-94,1.0650494777633126e-39,7.468022623444225e-100,3.86765131590429e-37,8.007812395023352e-76,3.06432596008157e-88,1.3791439293866538e-64,1.6835795416736548e-75,1.391103365531963e-97,1.985373742985911e-67,8.641408506494521e-67,3.159240450979108e-90
6.081403492747128e-19,0.5061214434818169,4.7639520668943784e-27,2.1561508607856845e-31,4.9267886169723395e-39,6.695886299524943e-40,0.0,0.0,3.507833268762271e-22,4.44445427885923e-39,3.112154949598904e-49,3.620843672461574e-49,9.74885032881204e-55,4.1626831357828986e-67,5.335259409665602e-47,2.2458325661887923e-37,9.493152753888497e-24,1.6539061450020366e-36,6.177540485397502e-87,8.716631847284816e-71,3.650999971224605e-86,1.5629739102426142e-81,4.125292281437264e-27,1.4678025465266951e-69,1.60485905490765e-40,1.511148387061122e-83,1.0026535076584316e-80,4.7406101091360454e-61,6.686986325254951e-58,7.718566460008904e-60,3.2732866699886774e-54,7.214049708140277e-88,4.0447550730256076e-92,1.2509850705557806e-89,3.76,0.0,0.7382897795267213,0.9999999999999403,5.782462995277397e-50,1.4898010519344813e-37,1.2713280007876146e-18,1.2713280007876146e-18,5.971855313671763e-14,1.9858788007994266e-40,1.6493377153256625e-36,3.507880908282776e-22,4.124673628841279e-40,1.5231333400706542e-35,3.322732769826424e-61,1.2076530643734206e-36,2.8531486240431294e-41,2.5954472027442913e-44,2.069412971618095e-42,1.0386432928365627e-40,6.894317076526717e-30,9.628146399296061e-38,4.305293218443391e-39,1.2375219156579518e-46,1.7350860401018579e-41,2.5230926098816434e-49,5.906550332602201e-53,4.0696373932419736e-42,9.579618294457784e-56,4.125292281679519e-27,7.935838934944495e-66,2.9380723291113615e-70,1.6236555993097255e-57,2.3481384036205046e-56,1.499435019687358e-60,5.250673125418833e-42,3.0744268022919536e-70,8.720561286436955e-48,2.3599643256298605e-66,8.973795696282137e-56,3.4126728035233448e-56,1.2602151732281206e-67,1.0185142162894061e-45,6.581873063220922e-66,3.2466616943004705e-52,1.0245287063401524e-78,4.127006517408372e-48,8.190255111658973e-80,4.471436794945386e-59,1.488069912885588e-67,2.4487593168718327e-62,4.770314685686461e-78,8.629830541233678e-76,6.89431707351038e-30,7.338731301676184e-72,3.3434021998962986e-64,2.818589814318994e-54,6.136298426961181e-53,7.643873305125962e-101,2.151138744096293e-107,1.3199675883499938e-50,4.52208982672661e-80,3.7193603532126072e-62,9.49315275388707e-24,1.5833604657807457e-75,1.2566111209992454e-92,4.305100275880228e-39,2.4510798018359727e-98,1.563366500312179e-36,1.3054755271325324e-74,5.020315864067633e-87,1.1202553793263956e-63,2.7446595664642946e-74,4.565740535945091e-96,1.6078071317355389e-66,1.4008095567456604e-65,1.0312287090310989e-88
1.2205334282646333e-18,0.506121443481817,9.56121848392338e-27,4.327379710642185e-31,1.9810400341833242e-38,2.6923864321927734e-39,0.0,0.0,7.040196840103016e-22,1.7870955181091758e-38,2.504933054588584e-48,2.914370037816204e-48,7.846722886861894e-54,3.3504895326470396e-66,2.1452843431853274e-46,9.03039397252945e-37,1.9052691191370313e-23,6.650283870929224e-36,9.96802695492234e-86,7.015903645638925e-70,1.1831282523109292e-84,2.522953981997787e-80,8.279432760194514e-27,2.3638533893741728e-68,6.453067675497182e-40,2.4376713560518162e-82,1.6192850028918498e-79,3.8234737943194287e-60,5.393296724033906e-57,6.225303474268796e-59,2.634625881480473e-53,2.331456208427719e-86,1.307138883618204e-90,4.0429675869562214e-88,3.76,0.0,0.7382897795267213,0.9999999999998801,4.6542292811910834e-49,5.990424505997781e-37,2.5515464071751428e-18,2.5515464071751428e-18,1.1985471839782277e-13,7.985131351962386e-40,6.631914416126726e-36,7.040292452287198e-22,1.6585131251834136e-39,6.124452170515362e-35,2.6744244043738243e-60,4.8559198573226124e-36,1.1472385145851678e-40,1.0436179052246682e-43,8.321018542289339e-42,4.176338999309213e-40,1.3836846166632802e-29,3.871435321030922e-37,1.731139467768919e-38,4.986942984710237e-46,6.97670465536897e-41,1.014524959533109e-48,4.754250364459405e-52,1.6363832969058034e-41,3.85194159011775e-55,8.279432761168609e-27,1.2780840816106531e-64,4.731829242845167e-69,1.1731123679906392e-56,1.889986068186162e-55,1.2068824850387907e-59,2.1112725712162964e-41,4.951431074968911e-69,7.019066390002929e-47,1.8995046015224694e-65,7.237691306726562e-55,1.3722207253256561e-55,1.0143332594224702e-66,4.095400870138516e-45,5.30368217068156e-65,2.613195784756939e-51,1.6519149050821537e-77,1.9065744213082076e-47,1.3227247042586034e-78,1.798104290853392e-58,1.2001820982656224e-66,1.9712693963909414e-61,7.683675528775101e-77,1.39003026418649e-74,1.3836846154504238e-29,1.1852070654954818e-70,2.691060961848694e-63,1.7293873971231486e-53,4.939026818105535e-52,2.4701894154310967e-99,6.94197422754838e-106,1.0624247496766604e-49,7.297127061987445e-79,2.993664790669094e-61,1.9052691191364576e-23,2.557131381787359e-74,4.072123066587249e-91,1.7310618864127325e-38,7.942869860299733e-97,6.28622793839425e-36,2.108346463403368e-73,8.235996239290576e-86,9.030326604688171e-63,4.432632531197575e-73,1.4795553725236832e-94,1.294103056283947e-65,2.2559606049298434e-64,3.3327530433128676e-87
2.4453195862444742e-18,0.506121443481817,1.915575131803099e-26,8.66983744354063e-31,7.944856579706751e-38,1.0797673798225025e-38,0.0,0.0,1.4104923982783656e-21,7.167052325623514e-38,2.0100510207966727e-47,2.3385984852500446e-47,6.296500956296686e-53,2.688556843040785e-65,8.603549717101674e-46,3.621591876575861e-36,3.8171768066333007e-23,2.667061276114192e-35,1.6035255129809185e-84,5.629820837651265e-69,3.809861487094601e-83,4.055308530417291e-79,1.6587713716347376e-26,3.7945103182726435e-67,2.5879687583635387e-39,3.9164538934494975e-81,2.602950863490488e-78,3.0712220824776434e-59,4.332189228801713e-56,5.00050229705687e-58,2.1141213468962965e-52,7.497613763165807e-85,4.203472484173729e-89,1.3001577882917994e-86,3.76,0.0,0.7382897795267213,0.9999999999997599,3.734725884521242e-48,2.4024281551895432e-36,5.1119832199501984e-18,5.1119832199501984e-18,2.4012704851268773e-13,3.202394844797373e-39,2.6596943031439345e-35,1.4105115540294196e-21,6.651379420110866e-39,2.45617924313821e-34,2.1460571551436823e-59,1.9474410491010063e-35,4.6009395701713985e-40,4.1853745710129455e-43,3.337100601709061e-41,1.674898730054115e-39,2.772190436506192e-29,1.5526187179104062e-36,6.942643536806869e-38,2.0087474551858615e-45,2.7979706075258714e-40,4.068703000453221e-48,3.8150443840513714e-51,6.562628910899709e-41,1.544816265313236e-54,1.6587713720253935e-26,2.0516413448777587e-63,7.595757312258648e-68,8.877565795779315e-56,1.5165947885874088e-54,9.684498789738902e-59,8.46714730660873e-41,7.948272597062789e-68,5.632358724580785e-46,1.5242328160994972e-64,5.813707240721009e-54,5.5032188533599666e-55,8.139424949527736e-66,1.6424389220683813e-44,4.260694830249704e-64,2.0969250439455509e-50,2.654701482690559e-76,9.628370058591225e-47,2.126259536081502e-77,7.212479531545364e-58,9.670088720658132e-66,1.5819374549809476e-60,1.2334985647662866e-75,2.2314845722133103e-73,2.7721904316420945e-29,1.9051857424820947e-69,2.159406947920766e-62,1.1716440317913298e-52,3.963257969579405e-51,7.94349672984711e-98,2.230944781595529e-104,8.525289524221815e-49,1.1759866414934131e-77,2.402227462280878e-60,3.817176806630999e-23,4.110514012913436e-73,1.3112885114323693e-89,6.942332400868402e-38,2.5577306543297497e-95,2.5210585617089593e-35,3.3891053632392644e-72,1.3689639288949941e-84,7.251679311627341e-62,7.125327333892516e-72,4.764404047455076e-93,1.0384362038734613e-64,3.6213163855032805e-63,1.0717634645690667e-85
