Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CF3(1),O2(2),H2O(3),CH4(4),CH2CF2(57),HF(38),O2(161),S(164),CF2O(49),S(125),C2HF(58),S(463),C2HF(468),C2H2F3(68),S(165),S(464),S(130),C2H2F2(59),C2H3F2(65),C2H2F3(67),CF2(43),CHFCF2(55),CF2CH(73),C2HF2(72),S(179),C2H3F2(64)
0.0,0.9028635697791333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.8158698350759293,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.462273556799899e-23,0.9028635697791333,7.412874119519156e-25,1.0129063942161962e-25,1.2306271718920304e-40,2.099319822715756e-40,0.0,0.0,9.877648583113896e-22,3.2803031211835877e-40,4.824352153602706e-55,8.788528400600929e-72,1.14992372438699e-55,4.386675166403623e-84,1.8030286653027604e-62,5.086640248799008e-56,5.327675835724943e-52,3.5857810494122346e-37,9.361670346904517e-113,3.3606826948820196e-72,-1.1428567353676662e-111,1.515275514623374e-125,1.1770542420005565e-41,1.165518185478921e-95,4.335175909752942e-59,4.3095543585622296e-113,9.815780776822094e-118,1.2952123424393773e-107,1.5632318565600276e-119,3.92108521516458e-112,3.486800122604004e-58,2.9836219270716404e-123,8.949365297269787e-125,4.124909996555536e-124,3.76,0.0,0.8158698350759291,0.9999999999999997,1.5572902860704827e-55,4.4135543023001096e-68,2.79609913685884e-17,2.79609913685884e-17,3.8527440340798634e-16,3.854238175877288e-42,3.5857810494122346e-37,9.885061457233423e-22,2.577850460617119e-35,4.600600465886333e-40,2.815666413271565e-54,3.765694947264391e-37,4.963966306010457e-39,8.705893578659486e-43,1.784151468039614e-37,2.391100927362053e-36,1.18419946456633e-36,1.6600519503372656e-37,1.177054242053865e-41,1.5238150001318207e-45,2.0509994598846643e-39,8.287011735210452e-42,2.7690212048163904e-54,5.7493305065423164e-39
1.5294365959039717e-22,0.9028635697791333,2.075604753465408e-24,2.836137903805513e-25,7.432988118228206e-40,1.2679891729203423e-39,0.0,0.0,2.7657416032718894e-21,1.9813030851948863e-39,5.727470876757916e-54,1.9672488925768827e-70,1.3651894455924516e-54,9.812816880579726e-83,2.1405556315254193e-61,6.043028180114778e-55,6.325016752172575e-51,2.1658117538453124e-36,7.238728538087236e-111,1.0566524101940246e-70,5.922499374028884e-110,1.771412326301171e-123,7.109407621683331e-41,7.090415895151183e-94,5.1467208400776606e-58,3.325445211197849e-111,7.574296203550502e-116,9.99480859876683e-106,1.6657448500824977e-117,3.025685069668883e-110,4.1395291055560287e-57,3.1792806926773706e-121,9.53624399827615e-123,4.395411694348023e-122,3.76,0.0,0.8158698350759293,0.999999999999999,1.8488152618605917e-54,9.872944432073142e-67,7.829077583204753e-17,7.829077583204753e-17,1.0787683295421985e-15,2.327959858890579e-41,2.1658117538453124e-36,2.7678172080253586e-21,1.5570216782127397e-34,2.7787626813952365e-39,3.3427591658359964e-53,2.2744797481476492e-36,2.9982356488312236e-38,5.2583597215103625e-42,1.0776274866958765e-36,1.4442249601266848e-35,7.152564765980538e-36,1.0026713780037064e-36,7.109407622316206e-41,9.203866600894634e-45,1.2388036737703368e-38,5.00535508806766e-41,4.087115154335325e-53,3.472595625951427e-38
3.4958550763519357e-22,0.9028635697791333,4.744239436492572e-24,6.482600922984797e-25,3.5786638158625276e-39,6.104822044457803e-39,0.0,0.0,6.321695093192883e-21,9.539121476401861e-39,5.623264870241695e-53,3.8881963140762266e-69,1.340351093146136e-53,1.938847255643139e-81,2.101610212518644e-60,5.934907678971729e-54,6.209938954120756e-50,1.0427451291695527e-35,7.88888006424205e-109,2.357333400774975e-69,6.2159040145617845e-108,3.978519155618607e-121,3.422873735737575e-40,3.200952664035078e-92,5.053081040466784e-57,3.6242328622786672e-109,8.25483855338083e-114,1.0892851978585641e-103,3.790845542283139e-115,3.2975398243906638e-108,4.064214222908915e-56,7.235298996188268e-119,2.1702260234709708e-120,1.0002928616217776e-119,3.76,0.0,0.8158698350759291,0.9999999999999977,1.8151778900614363e-53,1.9507274464346237e-65,1.7895034475896578e-16,1.7895034475896578e-16,2.4657561818099695e-15,1.1208124625172716e-40,1.0427451291695527e-35,6.326439332629396e-21,7.49638913947458e-34,1.3378546154795827e-38,3.2819407713093184e-52,1.0950640906644205e-35,1.4435214017891746e-37,2.531673852674228e-41,5.188312469058441e-36,6.953321496768922e-35,3.4436520429587457e-35,4.827431071580746e-36,3.4228737363589337e-40,4.4312900205309923e-44,5.964306429344596e-38,2.4098630126000213e-40,4.363192231900764e-52,1.6719053113023071e-37
7.428692037247863e-22,0.9028635697791334,1.008150880254761e-23,1.377552696134597e-24,1.5628965083033957e-38,2.6661361748494057e-38,0.0,0.0,1.343360207303485e-20,4.165984963903142e-38,4.9737140962831995e-52,6.9198471168066595e-68,1.1855253628953866e-52,3.450075099733481e-80,1.8588504332882026e-59,5.250084124640747e-53,5.492620679598481e-49,4.553941932758401e-35,6.453470604787913e-107,4.4150245685096384e-68,4.962739874233149e-106,6.663824476854994e-119,1.4948588873406622e-39,1.2086188204760112e-90,4.469392956042239e-56,2.9648475110663777e-107,6.752970546005267e-112,8.911034609019405e-102,6.406361378981593e-113,2.697592702664466e-106,3.594751454403332e-55,1.2227335442206501e-116,3.6675860431718024e-118,1.6904507147410905e-117,3.76,0.0,0.8158698350759289,0.9999999999999949,1.6055043282875402e-52,3.471215263962671e-64,3.8026948261280224e-16,3.8026948261280224e-16,5.239731886342901e-15,4.894882493321622e-40,4.553941932758401e-35,1.3443683581837481e-20,3.273870084983739e-33,5.842762591673962e-38,2.9028394454264147e-51,4.7824325830251123e-35,6.304237208646941e-37,1.1056484844898054e-40,2.265872364409528e-35,3.0366981777498808e-34,1.5039333199990907e-34,2.1082659769283056e-35,1.4948588878902472e-39,1.9352822503199924e-43,2.6047693140535164e-37,1.0524504903725758e-39,3.998368548682032e-51,7.301649743306685e-37
1.5294365959039716e-21,0.9028635697791334,2.0756047534660546e-23,2.8361379038078743e-24,6.524785265376183e-38,1.1130593700042501e-37,0.0,0.0,2.7657416032718696e-20,1.7392167148515253e-37,4.180706386686595e-51,1.1672141164873716e-66,9.965055007766595e-52,5.819055931059867e-79,1.5624757938137835e-58,4.4132996957022646e-52,4.6168786364249417e-48,1.901181112402725e-34,4.6445727116884506e-105,7.625857003031118e-67,3.535024040958725e-104,9.712190040574209e-117,6.24074159108655e-39,4.1932601482387524e-89,3.756794080801089e-55,2.1338222871768e-105,4.8601620404811585e-110,6.413338076494215e-100,9.3803242341938e-111,1.9414776104128012e-104,3.021605197453006e-54,1.790351249075374e-114,5.370153856643424e-116,2.475192214150282e-115,3.76,0.0,0.8158698350759285,0.9999999999999893,1.349523142981034e-51,5.854711906161559e-63,7.829077583204749e-16,7.829077583204749e-16,1.0787683295398312e-14,2.04351708977408e-39,1.901181112402725e-34,2.76781720802537e-20,1.3667763142191957e-32,2.439238367011421e-37,2.4400114630784587e-50,1.9965714610389823e-34,2.6318949354589864e-36,4.6158647754057145e-40,9.459571083538994e-35,1.267761711687426e-33,6.278625561129345e-34,8.801595440687989e-35,6.240741595706143e-39,8.079601932072135e-43,1.0874399136308426e-36,4.393773622016217e-39,3.416050343499485e-50,3.048295034566885e-36
3.1025713802623428e-21,0.9028635697791335,4.210512499889782e-23,5.7533083191585964e-24,2.665587679408934e-37,4.547210708798249e-37,0.0,0.0,5.610504395208604e-20,7.105267772608389e-37,3.427595683454347e-50,1.917217225125656e-65,8.169954158653359e-51,9.557816846149702e-78,1.2810120573904778e-57,3.61840419742858e-51,3.7851960461985517e-47,7.7669451843057e-34,3.1482312432543746e-103,1.2670475464874537e-65,2.384857349672342e-102,1.3249806456728299e-114,2.5495465703425465e-38,1.396530705054163e-87,3.080046763575716e-54,1.4463742280055586e-103,3.2943762132240724e-108,4.3471699455083833e-98,1.2826799944820959e-108,1.3159974887076807e-102,2.4772944985741863e-53,2.448153894216253e-112,7.343231160863862e-114,3.384615985905809e-113,3.76,0.0,0.8158698350759277,0.9999999999999782,1.1064206138022322e-50,9.616381886467486e-62,1.5881843097358195e-15,1.5881843097358195e-15,2.1883586113467337e-14,8.348434133877133e-39,7.7669451843057e-34,5.614714907708633e-20,5.583727211715099e-32,9.965084633115626e-37,2.000468816714927e-49,8.156645883567501e-34,1.0752149577574322e-35,1.8857313727123436e-39,3.864543445826567e-34,5.179220252703856e-33,2.5650234082281215e-33,3.5957389265083676e-34,2.549546574129968e-38,3.30092770804819e-42,4.442546870088523e-36,1.7949998898999886e-38,2.8226430620082408e-49,1.2453279850375248e-35
6.248840948979084e-21,0.9028635697791337,8.4803279927418e-23,1.1587649149876718e-23,1.077473159098946e-36,1.8380552721416125e-36,0.0,0.0,1.1300029979081924e-19,2.872062837145956e-36,2.7757558508932504e-49,3.1079433272571736e-64,6.616240698078493e-50,1.5493633000872413e-76,1.0373967778682444e-56,2.9303231949624837e-50,3.0653498960449913e-46,3.1395234262810426e-33,2.072933250267912e-101,2.065607287063289e-64,1.5667539508370905e-100,1.750386100370366e-112,1.0305674874748244e-37,4.558508818163022e-86,2.4943017250675014e-53,9.52357740588821e-102,2.1691653961564151e-106,2.862372079808931e-96,1.6964670835014233e-106,8.66512823074929e-101,2.0061773131515598e-52,3.23791788658912e-110,9.712126178506194e-112,4.4764786502604676e-111,3.76,0.0,0.815869835075926,0.999999999999956,8.960081015155276e-50,1.5588569435983974e-60,3.198737412566505e-15,3.1987374125665058e-15,4.407539174943821e-14,3.3745705883720323e-38,3.1395234262810426e-33,1.1308510307075235e-19,2.257031815092393e-31,4.028046536695311e-36,1.6200315134322002e-48,3.2970466796832774e-33,4.346190771379835e-35,7.62242771101131e-39,1.562110249534246e-33,2.093523634750446e-32,1.036823472801189e-32,1.453455165013758e-33,1.0305674905419764e-37,1.334406348691798e-41,1.7957484751030513e-35,7.255676550793211e-38,2.2946091481141445e-48,5.033814826329216e-35
1.2541380086412567e-20,0.9028635697791341,1.7019958978464083e-22,2.3256330811379666e-23,4.332472183758897e-36,7.390739408683822e-36,0.0,0.0,2.2679081146828003e-19,1.1548438350250924e-35,2.2341697941206638e-48,5.005288167279389e-63,5.3253261138022106e-49,2.4952018366931786e-75,8.349871804219784e-56,2.358597279329858e-49,2.4672602757487547e-45,1.2623885615943054e-32,1.3455575581925325e-99,3.335961286124017e-63,1.0158710916148479e-98,2.2759850355896628e-110,4.1438665411303764e-37,1.4732312802215515e-84,2.0076310281934866e-52,6.181835498343147e-100,1.4080240137153693e-104,1.8579902380075535e-94,2.2071501859892072e-104,5.624621551756738e-99,1.6147460351205483e-51,4.212619941264432e-108,1.2635742427100342e-109,5.824021451217553e-109,3.76,0.0,0.8158698350759228,0.9999999999999116,7.211852720696793e-49,2.5104910507810252e-59,6.4198436182278626e-15,6.419843618227865e-15,8.845900302071121e-14,1.356900017000369e-37,1.2623885615943057e-32,2.269610110580874e-19,9.075425660620955e-31,1.6196597964086009e-35,1.3039423015664408e-47,1.3257279689608394e-32,1.7475841939651078e-34,3.0649446579439427e-38,6.281176609252425e-33,8.417966458818891e-32,4.169021582976791e-32,5.84427929323927e-33,4.143866565817486e-37,5.366542952321405e-41,7.220625638501975e-35,2.9174756294709047e-37,1.8504000612638123e-47,2.024074802139789e-34
2.5126458361279534e-20,0.9028635697791353,3.409922094998166e-22,4.6593694134652346e-23,1.7375151202523684e-35,2.964017061789625e-35,0.0,0.0,4.543718348231784e-19,4.631440294979778e-35,1.7927805567156922e-47,8.034629005958533e-62,4.2732388290932833e-48,4.005351571364156e-74,6.700246300249854e-55,1.8926330681592897e-48,1.9798209886602458e-44,5.062742749176384e-32,8.672468359561558e-98,5.362460336950421e-62,6.543983268461944e-97,2.9361908222466907e-108,1.661875821953311e-36,4.737691013373781e-83,1.6109974647633776e-51,3.984355401753892e-98,9.07508747222545e-103,1.1975235389533202e-92,2.8482103931468485e-102,3.6252328092038407e-97,1.2957320000542715e-50,5.436162874380057e-106,1.6305756235602488e-107,7.515591160438867e-107,3.76,0.0,0.8158698350759164,0.9999999999998228,5.787057625868646e-48,4.0298941263961555e-58,1.2862056029550527e-14,1.2862056029550533e-14,1.7722622556058224e-13,5.441776159598446e-37,5.062742749176385e-32,4.547128270327696e-19,3.639651598242518e-30,6.495560194113274e-35,1.0463315775890566e-46,5.316762101845694e-32,7.008594244213201e-34,1.229179890836844e-37,2.5190327527842986e-32,3.37598105273989e-31,1.6719641188183264e-31,2.343817388368607e-32,1.6618758417631616e-36,2.1529887136447293e-40,2.89579383141409e-34,1.1700382147220602e-36,1.4862281334423946e-46,8.1174452461198e-34
