Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CF3(1),O2(2),H2O(3),CH4(4),CH2CF2(57),HF(38),O2(161),S(164),CF2O(49),S(125),C2HF(58),S(463),C2HF(468),C2H2F3(68),S(165),S(464),S(130),C2H2F2(59),C2H3F2(65),C2H2F3(67),CF2(43),CHFCF2(55),CF2CH(73),C2HF2(72),S(179),C2H3F2(64),CHF2(82),CHF3(42),S(1244),S(1385),CF2O2(181),CF2O2(276),CH2F2(41)
0.0,0.48360137879338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.9845034437444128,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0842414287263045e-20,0.48360137879338,3.710211234927273e-30,2.8463716502048714e-35,4.060847762732373e-45,1.0565228018710039e-44,0.0,0.0,8.266866665780408e-25,1.2738987037863045e-43,6.992102216384357e-56,8.134978102974047e-56,7.088918044777877e-62,1.743799937822343e-85,3.871322480834906e-58,1.6207446048335986e-42,1.0507427936308336e-62,2.1777246146324896e-41,2.3619544144018836e-102,1.6540792258432997e-91,5.002448397481332e-98,2.4896662033550395e-97,1.078899521725843e-30,1.1772874233362783e-99,1.7697212566921242e-69,2.3894151277023766e-110,2.119863631000426e-124,1.1945672108830961e-99,5.978748193545628e-126,1.565597680156567e-120,1.4708528643512604e-67,1.2448938797011118e-121,1.158597440669034e-119,5.196447095357052e-137,3.76,0.0,0.9845034437444128,0.9999999999999997,1.1659365936729053e-56,2.8916275576802653e-78,1.7090598045093335e-21,1.7090598045093335e-21,4.092676385742008e-16,3.465701058268265e-45,2.1777246146324866e-41,8.266903767892744e-25,3.831999986625731e-46,1.4226255181123876e-39,4.2141985080587496e-70,1.445312381649738e-41,9.323517655854693e-47,1.978378005050535e-49,1.7508709110615807e-48,9.164644844645255e-47,1.0338247878476148e-44,7.359368941325936e-43,3.377724192188936e-50,8.115832124075458e-52,5.113973023283267e-47,1.596062013874629e-54,6.015529047760738e-60,1.0910047095082473e-47,9.498965677037171e-65,1.0788995217274636e-30,2.9913735545845315e-74,8.681840385806466e-79,1.1484840739024362e-64,1.6726008183405862e-69,1.3316591524081812e-71
3.0358760004336526e-20,0.48360137879338,1.0388591457796548e-29,7.969840621919542e-35,2.4527520487243683e-44,6.381397723324628e-44,0.0,0.0,2.314722666418513e-24,7.694348170869275e-43,8.301023751279568e-55,9.657846003836897e-55,8.415963567720795e-61,2.0702392861776284e-84,2.338278778420403e-57,9.78929741317957e-42,1.2474418499906695e-61,1.3153456672555548e-40,1.4368921336534482e-100,5.200689738726069e-90,2.3897296288530564e-96,1.1893434213344914e-95,3.0209186608271086e-30,7.162013912966475e-98,2.1010130759720107e-68,1.151283454756874e-108,1.8440322653100041e-122,5.706596865618383e-98,6.800395525636659e-124,1.2080886313874324e-118,1.7461965205787476e-66,9.60616001704209e-120,8.940257954423197e-118,5.53721862913484e-135,3.76,0.0,0.9845034437444128,0.9999999999999988,1.3841999240103938e-55,6.4684552081393664e-77,4.7853674526261344e-21,4.7853674526261344e-21,1.1459493879679587e-15,2.0932834392875607e-44,1.3153456672555504e-40,2.3147330550099624e-24,2.314527991921942e-45,8.592658129397485e-39,5.003096468767343e-69,8.729686785164178e-41,5.631404664337594e-46,1.1949403150581227e-48,1.0575260302799776e-47,5.535445486165855e-46,6.244301718599215e-44,4.4450588405608547e-42,2.0401454120827363e-49,4.9026627648760647e-51,3.088839706062736e-46,9.640214579681367e-54,7.148043832189097e-59,6.589668445429618e-47,5.737556873241076e-64,3.0209186608368978e-30,6.69731853126805e-73,1.9437575896250033e-77,6.936849482232435e-64,1.985711691448635e-68,2.0124033113852545e-70
6.939145143848349e-20,0.48360137879338,2.374535190353585e-29,1.8216778570732482e-34,1.1808945294535983e-43,3.0723683078765274e-43,0.0,0.0,5.290794666099453e-24,3.704497430610568e-42,8.149994343380598e-54,9.482130476783494e-54,8.262842965402651e-60,2.0325732075100368e-83,1.1257805774209707e-56,4.713125310833057e-41,1.2247458079128278e-60,6.332823179609233e-40,6.4868179400595375e-99,1.160245271754799e-88,1.2443272633120252e-94,6.192886537195966e-94,6.904956939008635e-30,3.2332754317190988e-96,2.0627870968829475e-67,6.141602491119197e-107,1.916730480803331e-120,2.971411237911418e-96,6.156372244014684e-122,1.3166326429775633e-116,1.714426098751496e-65,1.0469263154445488e-117,9.74353050829731e-116,1.2601414180033966e-132,3.76,0.0,0.9845034437444128,0.9999999999999973,1.3590156935849855e-54,1.278057748910738e-75,1.0937982748859735e-20,1.0937982748859735e-20,2.61931288659626e-15,1.0078258678806196e-43,6.3328231796091925e-40,5.290818411451315e-24,1.1143455961107625e-44,4.136995006668822e-38,4.912069780993264e-68,4.202968405837082e-40,2.711278934618831e-45,5.753123238798779e-48,5.091532609348818e-47,2.6650787208230217e-45,3.0063624830602953e-43,2.1401044881375672e-41,9.822421950894715e-49,2.361134224582877e-50,1.487143355170239e-45,4.641348360165331e-53,7.020799658363088e-58,3.1726416952496854e-46,2.762566436658634e-63,6.904956939055767e-30,1.3238302854603655e-71,3.842142422695911e-76,3.3398002006869653e-63,1.9495835135933296e-67,2.1648516518613024e-69
1.4745683430677742e-19,0.48360137879338,5.0458872795017455e-29,3.871065448989279e-34,5.157276659197365e-43,1.341783958413012e-42,0.0,0.0,1.1242938665461317e-23,1.6178513538086016e-41,7.208577700925906e-53,8.38683702495171e-53,7.308391040838166e-59,1.797787983864375e-82,4.916579550600193e-56,2.0583456481148545e-40,1.0832737982320595e-59,2.7657102608474778e-39,2.449299027545881e-97,2.1730109871621877e-87,4.965783460108795e-93,2.471418447815683e-92,1.4673033495287672e-29,1.2208232825225213e-94,1.8245118269713238e-66,2.5688059859585706e-105,1.5342825021185983e-118,1.1858119538471995e-94,4.665982306291951e-120,1.0770867279253904e-114,1.5163904691640564e-64,8.564507315476154e-116,7.970812948924689e-114,2.129583295168216e-130,3.76,0.0,0.9845034437444128,0.9999999999999943,1.2020339906070548e-53,2.2742354799125695e-74,2.3243213341326938e-20,2.3243213341326938e-20,5.566039883216007e-15,4.401440345389125e-43,2.7657102608474412e-39,1.1242989124333931e-23,4.866639983014678e-44,1.8067344080006657e-37,4.344670093868216e-67,1.8355467246947995e-39,1.184086742597025e-44,2.5125400665287177e-47,2.22360605702934e-46,1.1639098952701357e-44,1.3129574805658836e-42,9.346398555483784e-41,4.2897097240895464e-48,1.0317959307560411e-49,6.494745739564226e-45,2.0269987822326204e-52,6.210932904833076e-57,1.3855759810751648e-45,1.2066423446307589e-62,1.4673033495493503e-29,2.356134025537229e-70,6.838189602118619e-75,1.4585835714209327e-62,1.7243845391210499e-66,1.9898716404498408e-68
3.0358760004336523e-19,0.48360137879338,1.0388591457799265e-28,7.969840641435105e-34,2.153061484275231e-42,5.601683895851598e-42,0.0,0.0,2.3147226664184972e-23,6.754210927474943e-41,6.0592439069422354e-52,7.04964186422363e-52,6.143143038518472e-58,1.5111491252580545e-81,2.052575179284542e-55,8.593187894613401e-40,9.105568999284705e-59,1.1546295909149394e-38,8.497756140335258e-96,3.753336090645657e-86,1.7649172176669374e-91,8.78380824624467e-91,3.0209186607509664e-29,4.2356030965058344e-93,1.5336121258200692e-65,9.968194560473098e-104,1.0923340658887486e-116,4.2145610106215075e-93,3.24443479884753e-118,7.751869557119539e-113,1.274617558840252e-63,6.163938122322719e-114,5.736651974518725e-112,3.118179048005735e-128,3.76,0.0,0.9845034437444128,0.9999999999999885,1.0103819970758098e-52,3.8358305477885276e-73,4.785367452626134e-20,4.785367452626134e-20,1.1459493873908073e-14,1.8375147023352513e-42,1.1546295909149088e-38,2.314733055009879e-23,2.031726392908963e-43,7.542760497013281e-37,3.651956999907524e-66,7.663046247503602e-39,4.943329063853962e-44,1.048936018380444e-46,9.283117570278694e-46,4.85909469663261e-44,5.4813390251627674e-42,3.901937412690872e-40,1.7908693667072126e-47,4.31278145117093e-49,2.711428496939817e-44,8.462321019069857e-52,5.22110547034478e-56,5.784506969809929e-45,5.038804557412057e-62,3.020918660836898e-29,3.974323407306838e-69,1.1534648158519122e-73,6.0893417378869275e-62,1.449449106553276e-65,1.702377084625059e-67
6.158491315165409e-19,0.48360137879337994,2.1073999814399097e-28,1.6167391060781828e-33,8.795958692006499e-42,2.2884706500453696e-41,0.0,0.0,4.6955802661631997e-23,2.7593155483492504e-40,4.9677342388844736e-51,5.779722321567697e-51,5.036519818850959e-57,1.2389313526185121e-80,8.38543934592938e-55,3.5105976436722945e-39,7.465295602394118e-58,4.717038626279272e-38,2.830107590230134e-94,6.236224050467048e-85,5.944727263397165e-90,2.9586285314064902e-89,6.128149283060933e-29,1.4106326746388422e-91,1.2573478779616451e-64,3.922296600311966e-102,7.364439316395668e-115,1.4195801594841746e-91,2.1633998056951488e-116,5.2544689819784834e-111,1.0450084840961943e-62,4.17811797007324e-112,3.888489505809469e-110,4.263846097333003e-126,3.76,0.0,0.9845034437444128,0.9999999999999767,8.283722058940707e-52,6.300363194350787e-72,9.707459689613015e-20,9.707459689613015e-20,2.3246401845102507e-14,7.506847130728297e-42,4.71703862627902e-38,4.6956013401627033e-23,8.3002652510308e-43,3.0814637772364126e-36,2.994094990472582e-65,3.130604431145796e-38,2.0195112206267613e-43,4.285245894926969e-46,3.7924564280520585e-45,1.9850987319309766e-43,2.2393058434649725e-41,1.594068750166845e-39,7.316285709322064e-47,1.766191314011488e-48,1.1077070127310406e-43,3.4571343520752345e-51,4.280753650599269e-55,2.3631598409808714e-44,2.0595865078092204e-61,6.128149283411994e-29,6.528125004298222e-68,1.8946526827351802e-72,2.4877294808458853e-61,1.1883459486920276e-64,1.407558297993019e-66
1.2403721944628923e-18,0.48360137879337994,4.244481652761793e-28,3.2562492037295547e-33,3.5554671402696605e-41,9.25036426363452e-41,0.0,0.0,9.457295465652494e-23,1.1153594623026614e-39,4.0229999836554553e-50,4.680568985192174e-50,4.07870433226761e-56,1.0033187307297113e-79,3.389528655073083e-54,1.4190396971235718e-38,6.04558993025671e-57,1.9067024325363138e-37,9.23794253731818e-93,1.0166619143844202e-83,1.9511190118383562e-88,9.710515084637492e-88,1.2342610527143144e-28,4.604539995108717e-90,1.0182329109597048e-63,1.6580421966552166e-100,4.8361067458370764e-113,4.659204128720579e-90,1.413112870226351e-114,3.4597781218339295e-109,8.462749644352806e-62,2.7510604864348715e-110,2.560356100104426e-108,5.63934464510998e-124,3.76,0.0,0.9845034437444128,0.9999999999999531,6.708372893039625e-51,1.0213160240172384e-70,1.9551644163586778e-19,1.9551644163586778e-19,4.682021774673257e-14,3.0343876387690395e-41,1.9067024325361104e-37,9.457337910467763e-23,3.3550999242901854e-42,1.245576927119315e-35,2.424695750439381e-64,1.26544036512636e-37,8.163187255431933e-43,1.732164906278687e-45,1.5329715243198848e-44,8.024086464451273e-43,9.051632253467228e-41,6.443480757839068e-39,2.9573596610828016e-46,7.173824817315224e-48,4.4775288525550065e-43,1.397429058392514e-50,3.466735477404307e-54,9.55226991398574e-44,8.333831331417768e-61,1.2342610528562182e-28,1.0582601267822663e-66,3.071380199976353e-71,1.0056080776099905e-60,9.623533577637488e-64,1.1446030377777797e-65
2.489418320355595e-18,0.48360137879338,8.51864499541323e-28,6.535269454160406e-33,1.429637700941589e-40,3.719530786771787e-40,0.0,0.0,1.8980725864630633e-22,4.484811342627595e-39,3.238060379610929e-49,3.76732911920502e-49,3.282896088817949e-55,8.075582011109157e-79,1.3629145643620974e-53,5.705896209890085e-38,4.866016730524936e-56,7.666766628126689e-37,2.985543398188869e-91,1.641911707340914e-82,6.322717187186121e-87,3.146750159683471e-86,2.477153301315667e-28,1.4881077608749087e-88,8.195624317118401e-63,7.775569444746697e-99,3.1349695319604202e-111,1.5098427910227202e-88,9.136388327826691e-113,2.2457714813125642e-107,6.811557161821464e-61,1.7857368739346884e-108,1.6619490269833314e-106,7.336941997738026e-122,3.76,0.0,0.9845034437444128,0.999999999999906,5.399482119105385e-50,1.6447979713402276e-69,3.92400131115343e-19,3.92400131115343e-19,9.396784938695747e-14,1.2201139273411485e-40,7.66676662812505e-37,1.8980811051075525e-22,1.3490709232915353e-41,5.008410041430346e-35,1.9516060837163254e-63,5.088280052074478e-37,3.282381700123227e-42,6.964958907678468e-45,6.164011076269518e-44,3.226449876146321e-42,3.6396215185791877e-40,2.590895273268772e-38,1.1891413128056827e-45,2.912386373613612e-47,1.800394658710893e-42,5.619001413616027e-50,2.790358346505897e-53,3.8409257199963166e-43,3.3579558108829356e-60,2.477153301886256e-28,1.704313647325883e-65,4.946416346822886e-70,4.043731397997339e-60,7.745857028659779e-63,9.231638257176423e-65
4.987510572141001e-18,0.48360137879338,1.7066971680746786e-27,1.3093310175534547e-32,5.733486612707865e-40,1.491698206333458e-39,0.0,0.0,3.8027586662585107e-22,1.798609936483466e-38,2.5983395281988615e-48,3.023044359457305e-48,2.634317366097362e-54,6.480145979322613e-78,5.4658969802930255e-53,2.2883195821216214e-37,3.904671975281083e-55,3.074716327785403e-36,9.601060139606183e-90,2.639325115574542e-81,2.036015677834887e-85,1.0133036903866249e-84,4.962937797658013e-28,4.785531543594328e-87,6.576472383495448e-62,4.051198506005981e-97,2.0192239011375146e-109,4.861934342572375e-87,5.8770622734535036e-111,1.4474586977344457e-105,5.46584565424899e-60,1.1509543302238573e-106,1.0711698108165822e-104,9.467934993175291e-120,3.76,0.0,0.9845034437444128,0.9999999999998117,4.332744352330094e-49,2.640265011852342e-68,7.861675100742935e-19,7.861675100742935e-19,1.8826311201526643e-13,4.893202586113347e-40,3.0747163277840894e-36,3.802775733228162e-22,5.41037778911695e-41,2.0085964331851627e-34,1.5660409743240856e-62,2.040627879761919e-36,1.3163818760479477e-41,2.79326003971577e-44,2.472044133329718e-43,1.293950706836274e-41,1.4596510149892716e-39,1.0390648852038087e-37,4.768988520999488e-45,1.1903137522385125e-46,7.220387827509363e-42,2.2534713889462523e-49,2.2390980485871138e-52,1.540383003313669e-42,1.3522721021727246e-59,4.962937799946333e-28,2.7358155190005214e-64,7.940136267172484e-69,1.6218980595383856e-59,6.215562411354542e-62,7.415354041335132e-64
