Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CF3(1),O2(2),H2O(3),CH4(4),CH2CF2(57),HF(38),O2(161),S(164),CF2O(49),S(125),C2HF(58),S(463),C2HF(468),C2H2F3(68),S(165),S(464),S(130),C2H2F2(59),C2H3F2(65),C2H2F3(67),CF2(43),CHFCF2(55),CF2CH(73),C2HF2(72),S(179),C2H3F2(64),CHF2(82),CHF3(42),S(1244),S(1385),CF2O2(181),CF2O2(276),CH2F2(41),S(203),S(1542),CHO2(322),C2F(467),S(174),S(413),S(1894),C2H3F2(66),C2HF4(54),CHFO(47),S(2753),S(512),CF2CF2(61),C2HF3(169),C2HF4(69),C2HFO(577),S(3833),S(2867),F(37),S(344),CFO(51),C1OO1(180),CH2O2(318),C2H2O(623),S(3850),S(970),S(2764),CHF2O(206),CF3(45),S(1375),C3HF3(994),CH2F(46),S(2131),CF3O2(511),S(1368),C2HF5(81),CH2CFO(79),C2F5(3279),CF3CCH(84),CHF2O(207),CHO2(457),CHFO2(635),S(10638),S(1089),S(846),CHF3O(248),CFO2(459),S(989),CF4(44)
0.0,0.5107320818245792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6871859710835857,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.55169263557937e-21,0.5107320818245792,6.566848212205357e-29,4.197481494105915e-33,8.657426359974013e-43,1.0751166831505738e-43,0.0,0.0,3.835345912180506e-24,6.2615377521230065e-43,7.495810166523517e-55,8.721016263214191e-55,2.9449639318393345e-60,1.9800184962305338e-72,1.4282714257531694e-50,4.1547037235163524e-41,1.3177327086844987e-25,2.7312848041853463e-40,6.287333777064099e-94,9.07057075665079e-76,3.6710914256178057e-90,1.1925218056073969e-88,6.869130785353536e-29,6.5376440535650535e-77,3.122711112899855e-44,1.282407908224871e-90,5.156905894973527e-88,1.4097945227609872e-66,1.5832347330980968e-63,2.101739968006221e-65,9.524088253313633e-60,3.4473165951837686e-97,2.6008669750160737e-101,6.916078585760012e-99,3.76,0.0,0.6871859710835857,0.9999999999999993,1.3840494118568751e-55,2.481921909597433e-41,1.5436070906760208e-20,1.5436070906760208e-20,5.385164802642151e-16,3.080328799917619e-44,2.72324925019748e-40,3.835411580662627e-24,1.142952952911972e-43,1.7169876194843788e-39,2.1958973608563262e-66,2.0273353148667417e-40,6.197314121296203e-45,4.7344191771036535e-48,5.8397103151963255e-46,2.885674686500868e-44,1.2908862606698573e-31,1.7617403985221478e-41,8.936315351576547e-43,2.3529763695306433e-50,3.822275722410757e-45,8.502299459051048e-53,1.6481132463033276e-58,9.03071167786403e-46,4.671817059493204e-59,6.869130785357974e-29,3.012251066623669e-73,1.160520363564959e-77,1.1493162086623836e-61,8.061026445008587e-62,5.799909149341464e-66,9.917552485001587e-46,1.2019828492442553e-77,2.0975749997045797e-53,1.5502077389084925e-71,2.3942927274406986e-61,1.3255258337576215e-59,7.488875045547279e-73,3.1140156002231228e-49,2.1655796162440916e-71,8.209614647530522e-58,4.2330480315696206e-86,6.403181304694396e-52,4.106868958277821e-87,1.2848818648407023e-62,5.816400640886147e-73,1.290692575970887e-67,3.7482644422619445e-85,6.602894454982138e-83,1.2908862606634842e-31,2.8275347375415636e-79,1.7269333559777092e-69,3.897883562249786e-58,1.461835210425311e-58,7.828957354924466e-110,4.87558002167768e-116,2.8277428282072086e-56,2.241384615431146e-87,1.5457543488780996e-67,1.3177327086844964e-25,7.26032611588435e-83,8.90146545652513e-85,8.935757881356719e-43,2.948791579016143e-107,2.2218075230212116e-40,5.393912401094771e-82,3.29014711834389e-94,3.9206038228040683e-69,1.0421481084853203e-81,5.0462767533408985e-105,7.350098807155657e-72,5.870367785300245e-73,5.908651169198143e-76,3.668664456236902e-96,4.878453651691149e-73,2.300156003395826e-77,1.8105470778346518e-82,2.0672340902897497e-60,1.8093816292520543e-81,1.6650801291579396e-48
1.2744739379622235e-20,0.5107320818245792,1.8387174994175477e-28,1.1752948183819279e-32,5.229085521427876e-42,6.493704766254981e-43,0.0,0.0,1.0738968554105408e-23,3.7819688022822936e-42,8.899025829687603e-54,1.0353590509623319e-53,3.4962616769960156e-59,2.350677958722484e-71,8.62675941154321e-50,2.509441049001058e-40,3.6896515843165947e-25,1.6496960217389674e-39,1.5591626790024606e-92,1.0768581602395381e-74,8.212142655301528e-89,3.363104628811459e-87,1.9233566198976439e-28,1.4626133104069956e-75,1.8861175121914233e-43,3.3394394097163564e-89,1.6207356194184767e-86,2.1304814828029064e-65,2.392584328657842e-62,3.176149439650987e-64,1.130699757433223e-58,2.0971709344916273e-95,1.5657779781784767e-99,4.207405944406154e-97,3.76,0.0,0.6871859710835857,0.9999999999999984,1.6431434617669576e-54,1.4990808333968496e-40,4.322099853892858e-20,4.322099853892858e-20,1.5078461447178528e-15,1.8605185952882295e-43,1.644842547130294e-39,1.0739152425855341e-23,6.9034358355883106e-43,1.0370605221683895e-38,2.6069693468086257e-65,1.2245105301794707e-39,3.7431777293262454e-44,2.8595891829773126e-47,3.5271850303756996e-45,1.7429475106465531e-43,3.614481529896183e-31,1.0640912007073794e-40,5.397534472352249e-42,1.421231970962693e-49,2.308654536335999e-44,5.135388901734487e-52,1.9633266343533544e-57,5.454549853429823e-45,2.8217776437768046e-58,1.9233566199003247e-28,6.760283045252256e-72,2.6045126929798492e-76,7.198347375696569e-61,9.570050595363673e-61,6.890189411340451e-65,5.990201700969128e-45,2.6975654075896716e-76,2.4902410396272532e-52,1.8404066276321555e-70,3.6182542133512183e-60,8.006176035933625e-59,8.890792607158092e-72,1.880865422548054e-48,2.7639796332300667e-70,9.746454509548245e-57,1.0148232588937671e-84,3.874698781028285e-51,1.289824509605045e-85,7.760696076481752e-62,6.90538320781069e-72,1.551499583900674e-66,8.485026731464923e-84,1.494711400953618e-81,3.614481529857691e-31,8.890221620388708e-78,2.050215280234975e-68,2.3750660628417706e-57,1.73549076180944e-57,4.667546587364335e-108,2.3340713489585823e-114,3.357096285647039e-55,5.013993417270959e-86,1.835119562999111e-66,3.6896515843165832e-25,2.282762696053854e-81,2.7987631629788128e-83,5.397197760339469e-42,1.4094006304553451e-105,1.341971743904798e-39,1.6959323615024233e-80,7.889465607942082e-93,5.454077218915393e-68,3.2766803967751993e-80,2.4106669603925764e-103,8.726037303910317e-71,1.3131777920886779e-71,1.3217416319449197e-74,2.112962891172003e-94,5.791827971717158e-72,2.7308054623087035e-76,5.6926497003238475e-81,2.4542203119919627e-59,5.688985343429142e-80,1.0057083980119011e-47
2.913083286770797e-20,0.5107320818245793,4.202782855811762e-28,2.6863881564536877e-32,2.517579585485802e-41,3.126439314640142e-42,0.0,0.0,2.4546213837955187e-23,1.8208551783173667e-41,8.737116330071475e-53,1.0165216562402294e-52,3.4326506648916776e-58,2.307909559198852e-70,4.153413306081317e-49,1.2081878427943272e-39,8.433489335580784e-25,7.942576210733116e-39,3.227926846501661e-91,1.0572657274249734e-73,1.6226162343707435e-87,7.31550443143668e-86,4.39624370261684e-28,2.8900264001346757e-74,9.080843916311444e-43,7.052050080983885e-88,3.615443092412587e-85,2.2918747597835582e-64,2.573833040902909e-61,3.4167566311883184e-63,1.1101277268057044e-57,9.467632069788217e-94,7.059818880781608e-98,1.8994244109861477e-95,3.76,0.0,0.6871859710835857,0.9999999999999966,1.6132479944729078e-53,7.21742891310933e-40,9.879085380326533e-20,9.879085380326533e-20,3.446505473537331e-15,8.957596152184223e-43,7.919208819736366e-39,2.4546634116240715e-23,3.3237071870680143e-42,4.992999997457946e-38,2.5595379638141196e-64,5.895491095631867e-39,1.8021789465661332e-43,1.3767690967116094e-46,1.6981877596547703e-44,8.391541988344954e-43,8.261672068431167e-31,5.123141078902434e-40,2.5986805042384833e-41,6.84296893908788e-49,1.1115177800769002e-43,2.4724687253935258e-51,1.9305357553359278e-56,2.6261309559227806e-44,1.3585646066697497e-57,4.396243702629745e-28,1.3378389774134473e-70,5.154249569874567e-75,3.726927748071347e-60,9.395932423835399e-60,6.766817026806242e-64,2.884024262680716e-44,5.338397996224427e-75,2.4449334195873823e-51,1.8069221404717172e-69,3.892352443006532e-59,3.854629124623549e-58,8.72903319118348e-71,9.055557365648156e-48,2.798284248347544e-69,9.569126833161607e-56,2.070607706705021e-83,1.8728110328944325e-50,2.8766214424594984e-84,3.7364508822226335e-61,6.78006892456393e-71,1.5316801550609244e-65,1.686169785802158e-82,2.970335017939476e-80,8.261672068245847e-31,1.983359538467911e-76,2.012913519783284e-67,1.1646211267733282e-56,1.7039151212485234e-56,2.0973377426450892e-106,9.885422172658234e-113,3.2960170405565844e-54,9.9072630747655e-85,1.801731269085865e-65,8.433489335580727e-25,5.092718000305374e-80,6.24388665685923e-82,2.59851839189855e-41,7.335637946269401e-104,6.461016276945473e-39,3.783531805402068e-79,1.6104569530110824e-91,5.705197447968577e-67,7.310093715268596e-79,1.2552292884437355e-101,8.567275169787921e-70,2.5946180277319715e-70,2.611538732208565e-73,9.47541246989295e-93,5.6867217453399885e-71,2.681248628296702e-75,1.2699988329272105e-79,2.409568055641646e-58,1.269181335054382e-78,4.842053015598726e-47
6.190301984387943e-20,0.5107320818245792,8.930913568600961e-28,5.70857483311356e-32,1.0994931477222373e-40,1.365398187640779e-41,0.0,0.0,5.216070440565464e-23,7.952152945196188e-41,7.727880449219516e-52,8.99101893932296e-52,3.036140726149767e-57,2.0413198688581707e-69,1.8139047106973304e-48,5.2764737288220814e-39,1.792116483810915e-24,3.4687317014814557e-38,5.8635987630351e-90,9.351395627892639e-73,2.8874844421423396e-86,1.3561775698069239e-84,9.342017868033695e-28,5.142769296308985e-73,3.9658431133814403e-42,1.2917086133703538e-86,6.771080101046332e-84,2.1066277595177038e-63,2.365795996973816e-60,3.1405879993922664e-62,9.818954025625039e-57,3.574797726362655e-92,2.6638698141907553e-96,7.171865386703247e-94,3.76,0.0,0.6871859710835857,0.9999999999999927,1.4268995816558657e-52,3.1520408251887356e-39,2.0993056433193883e-19,2.0993056433193883e-19,7.323824130825093e-15,3.912017577965143e-42,3.4585265479168303e-38,5.2161597497011275e-23,1.4515502501982042e-41,2.180574276742447e-37,2.2638823431484088e-63,2.574715849880125e-38,7.87058893500077e-43,6.012712355022712e-46,7.416432100254684e-44,3.6648068518565474e-42,1.755605314583046e-30,2.2374103061231574e-39,1.134912049650246e-40,2.988810767679781e-48,4.854290167460134e-43,1.0797920754243474e-50,1.708700653735174e-55,1.1469003830886498e-43,5.933209773192896e-57,9.342017868090056e-28,2.3823341550582733e-69,9.178342835881056e-74,1.8571716725173825e-59,8.31059582276618e-59,5.985962631651283e-63,1.2595291656388654e-43,9.506262034156005e-74,2.1625159215520555e-50,1.5982021705050539e-68,3.577742368829716e-58,1.6834178089304443e-57,7.720731507432187e-70,3.954799812489325e-47,2.5086804309102615e-68,8.463784317018134e-55,3.737728758937415e-82,8.243287988351302e-50,5.386938753746753e-83,1.6318148682557874e-60,5.997468313576762e-70,1.3580932013491253e-64,3.008297500544127e-81,5.2993782038188403e-79,1.7556053145021124e-30,3.7146129128977547e-75,1.780399212794834e-66,5.271850188556573e-56,1.5070936284913196e-55,7.90441501386443e-105,3.6347312551564304e-111,2.9152897461648544e-53,1.763107917951144e-83,1.5936109035891835e-64,1.79211648381089e-24,9.538097192588037e-79,1.1694108683973508e-80,1.1348412509323205e-40,2.927023502062472e-102,2.8216955542367245e-38,7.086136339937254e-78,2.90970997886013e-90,5.185322713324001e-66,1.3690996504952761e-77,5.009290580579291e-100,7.577657866572916e-69,4.6169841502566e-69,4.647093639985622e-72,3.564886990095141e-91,5.030322531495999e-70,2.3717610938112758e-74,2.378567260604155e-78,2.1312356577249408e-57,2.3770361775372304e-77,2.1146517640382026e-46
1.2744739379622235e-19,0.5107320818245792,1.8387174994182415e-27,1.1752948188498704e-31,4.590167456108061e-40,5.700268654420293e-41,0.0,0.0,1.0738968554105313e-22,3.3198673161755907e-40,6.495749157238481e-51,7.557493180300589e-51,2.552059255960242e-56,1.7158523485090295e-68,7.572695099260554e-48,2.2028239141690527e-38,3.689651584316583e-24,1.4481272033279004e-37,9.986063752017519e-89,7.86041148969187e-72,4.870587695228176e-85,2.3309444629293688e-83,1.923356619878125e-27,8.674131172526206e-72,1.6556614320582653e-41,2.2081256355464773e-85,1.1695154553479489e-82,1.8022644004487454e-62,2.0239882839757956e-59,2.686839154219415e-61,8.253422494889244e-56,1.2402633973755197e-90,9.238850207295445e-95,2.48825330396103e-92,3.76,0.0,0.6871859710835857,0.9999999999999849,1.1993950755232077e-51,1.315914996468555e-38,4.322099853892858e-19,4.322099853892858e-19,1.5078461443995852e-14,1.6331903315699064e-41,1.4438667526035024e-37,1.0739152425855153e-22,6.059936556339276e-41,9.103468358481749e-37,1.9029295185602663e-62,1.0748931839417744e-37,3.285815947966759e-42,2.5101890477909386e-45,3.0962144090769087e-43,1.529984718783161e-41,3.614481530194635e-30,9.340747592964693e-39,4.7380343994061045e-40,1.248025771663425e-47,2.0265705880208093e-42,4.507919570312644e-50,1.436727223211388e-54,4.788083331602769e-43,2.476999293825703e-56,1.9233566199016542e-27,4.01953163223438e-68,1.5485921352121754e-72,9.671535334273139e-59,6.985556539043557e-58,5.031875339541687e-62,5.2582863279408155e-43,1.6039194528632496e-72,1.817724933283865e-49,1.3433852232141947e-67,3.0608338750121385e-57,7.027937971107294e-57,6.489740884676681e-69,1.6510510714236627e-46,2.122087450557215e-67,7.114320699715709e-54,6.3469419871560555e-81,3.495089685999362e-49,9.304093664627637e-82,6.812577746558828e-60,5.042199339035898e-69,1.1428832124355746e-63,5.080211891989714e-80,8.94923596145966e-78,3.614481529856755e-30,6.41607004803923e-74,1.4965328155664086e-65,2.3560421230609506e-55,1.2668030039027449e-54,2.7400257840995977e-103,1.245236165654057e-109,2.4504766910324942e-52,2.974290601466232e-82,1.3395259867942784e-63,3.6896515843164774e-24,1.6474690943067762e-77,2.0198664632118318e-79,4.737738828695486e-40,1.0402441704986817e-100,1.178002348705653e-37,1.2239538329575169e-76,4.949800534488653e-89,4.413743258758085e-65,2.36477917519293e-76,1.7803803297463595e-98,6.3694780253278635e-68,7.78721860137994e-68,7.838002657320024e-71,1.2344071826742944e-89,4.229099282910729e-69,1.9939900627589876e-73,4.1083834348781164e-77,1.7914319868993262e-56,4.105738869546041e-76,8.828254844863678e-46
2.5853614170090816e-19,0.5107320818245792,3.729969784535758e-27,2.3841694907530604e-31,1.8752331793180093e-39,2.328745740672841e-40,0.0,0.0,2.178476478118484e-22,1.3562741232608283e-39,5.325607615642601e-50,6.196089533835541e-50,2.0923323808241822e-55,1.4067594227150983e-67,3.093693038968332e-47,8.999254452952471e-38,7.484721785327897e-24,5.9160721385151175e-37,1.6480719766009991e-87,6.444440246280138e-71,8.001344678933181e-84,3.86344147870277e-82,3.9016662859931756e-27,1.424736661914428e-70,6.763917178975124e-41,3.650417717316241e-84,1.9431506961736708e-81,1.49014705874282e-61,1.673472653286954e-58,2.221530571083301e-60,6.766654412076197e-55,4.1305949440691e-89,3.076348992925592e-93,8.286922446422103e-91,3.76,0.0,0.6871859710835857,0.9999999999999694,9.833365472980147e-51,5.375942133064392e-38,8.767688275039797e-19,8.767688275039797e-19,3.058773606471829e-14,6.672115409429189e-41,5.898666807154977e-37,2.178513777816288e-22,2.4756818141254474e-40,3.719063863287262e-36,1.5601365894746025e-61,4.391289385409114e-37,1.34236302865208e-41,1.0254941315138938e-44,1.2649046130787634e-42,6.250486797951733e-41,7.332233961944738e-30,3.8160001728151363e-38,1.9356416504130726e-39,5.10068546668224e-47,8.279202105758963e-42,1.8416324082597597e-49,1.1780993773792545e-53,1.9560882722714327e-42,1.0119358583055213e-55,3.9016662860892994e-27,6.603193040692957e-67,2.5439911276634362e-71,5.518720368580861e-58,5.727181298692494e-57,4.125559998179309e-61,2.1481815387940013e-42,2.6348815571056996e-71,1.4902807223918918e-48,1.1013883699074682e-66,2.5307566200937167e-56,2.8711419773963373e-56,5.320683053731123e-68,6.745082352276697e-46,1.7452362048940047e-66,5.83274993877922e-53,1.0459540001513829e-79,1.4717254546405537e-48,1.5458502916434907e-80,2.7832190518207077e-59,4.135483559515624e-68,9.375316011755881e-63,8.349280457380002e-79,1.4707985125275683e-76,7.332233960564386e-30,1.0660396345261835e-72,1.2269480190897463e-64,1.0893091770491453e-54,1.0386016395353503e-53,9.121570413246739e-102,4.121532858813961e-108,2.0090488428683165e-51,4.88709270678273e-81,1.0982243348357575e-62,7.484721785327466e-24,2.7372945402171277e-76,3.3560383382847844e-78,1.9355209001335208e-39,3.5037261658647533e-99,4.812523967163227e-37,2.0336175992327443e-75,8.186424904061491e-88,3.640606589239398e-64,3.929115967847024e-75,5.996811283829263e-97,5.222082913366833e-67,1.2790529934289658e-66,1.2873942900691724e-69,4.1069504494974156e-88,3.4685995894119873e-68,1.6354198965784728e-72,6.826140523412038e-76,1.4687241766215987e-55,6.821746538269491e-75,3.6066301630189576e-45
5.207136375102798e-19,0.5107320818245793,7.512474354775696e-27,4.801918837864083e-31,7.579992334969639e-39,9.413162619470219e-40,0.0,0.0,4.387635723534319e-22,5.482276855795599e-39,4.3128151226947956e-49,5.017753981556749e-49,1.6944250151618544e-54,1.139230253175211e-66,1.2505201902177038e-46,3.6376425354434667e-37,1.507486218735044e-23,2.391370948768201e-36,2.678415694895926e-86,5.2188747964078917e-70,1.2975030095429426e-82,6.2908472715798115e-81,7.858285618085431e-27,2.3095659734379912e-69,2.7340834694686225e-40,5.93636954471516e-83,3.1678124213650246e-80,1.2117628405564266e-60,1.3608401693224402e-57,1.8065117661587205e-59,5.479812180233238e-54,1.348294986090016e-87,1.0040770026196198e-91,2.704989517426651e-89,3.76,0.0,0.6871859710835857,0.9999999999999384,7.963314307002439e-50,2.1730417641041852e-37,1.7658865117333677e-18,1.7658865117333677e-18,6.160628528368686e-14,2.6969757329728236e-40,2.384335435545017e-36,4.387710848277701e-22,1.000710172016171e-39,1.5033050762472965e-35,1.2634390594290696e-60,1.775029380256963e-36,5.426045990212488e-41,4.1452112423036597e-44,5.112946686769659e-42,2.526546700419253e-40,1.4767738827552635e-29,1.5424882824454534e-37,7.824173033443677e-39,2.063470707493497e-46,3.346585864195723e-41,7.444174052548193e-49,9.541286594291318e-53,7.906821548125326e-42,4.090413197365898e-55,7.858285618473984e-27,1.070493999514914e-65,4.124258097590023e-70,3.49808846466726e-57,4.638019900349356e-56,3.3410351464779826e-60,8.683293245875041e-42,4.271607504631566e-70,1.2068679667590776e-47,8.919328573727795e-66,2.057969245553965e-55,1.1605614930600261e-55,4.3088293244493946e-67,2.726470132035118e-45,1.4156484293448951e-65,4.723512124677881e-52,1.6984802266278718e-78,6.303600542580454e-48,2.5200983973472455e-79,1.125069140585611e-58,3.351587241736832e-67,7.5944758774201265e-62,1.3538554089870158e-77,2.3849342861340367e-75,1.4767738821973032e-29,1.7379136587891562e-71,9.936143169325433e-64,5.4282055049027e-54,8.410865351355346e-53,2.9768117687728773e-100,1.3412158086786813e-106,1.6269798410540704e-50,7.928060872732441e-80,8.893705399176464e-62,1.5074862187348693e-23,4.462480958160873e-75,5.471189511745993e-77,7.823684941507183e-39,1.1499417653308791e-97,1.9452991331648276e-36,3.3153099453163302e-74,1.3388813502821007e-86,2.957015066058558e-63,6.405450685256945e-74,1.9682135090315292e-95,4.228978135777333e-66,2.0734000198252557e-65,2.086921621786599e-68,1.3398947540582322e-86,2.811113613364197e-67,1.325419961246137e-71,1.1128331883019816e-74,1.1894109174734663e-54,1.1121168577305811e-73,1.4578575769713841e-44
1.0450686291290232e-18,0.5107320818245792,1.5077483495275176e-26,9.637417545304706e-31,3.047881580015838e-38,3.784991289709693e-39,0.0,0.0,8.805954214365719e-22,2.2043994117857554e-38,3.4713288169323035e-48,4.0387249915458065e-48,1.3638206665778627e-53,9.169516184822827e-66,5.0282866847536066e-46,1.462680064456722e-36,3.025514299139519e-23,9.61559741290387e-36,4.320690053574805e-85,4.2006044705283717e-69,2.091039801656216e-81,1.0154209338323975e-79,1.5771524281718576e-26,3.719489975288522e-68,1.0993629381338548e-39,9.575595957967153e-82,5.1160144971016425e-79,9.77330630230497e-60,1.0975668963792384e-56,1.4570171847898226e-58,4.410629575490397e-53,4.3574564126153795e-86,3.24485006197659e-90,8.742058722855424e-88,3.76,0.0,0.6871859710835857,0.9999999999998763,6.409568146585689e-49,8.737705359613925e-37,3.544121880192144e-18,3.544121880192144e-18,1.2364338363171877e-13,1.0844420857529215e-39,9.58730792366568e-36,8.806104989199997e-22,4.023811588844713e-39,6.044723593761547e-35,1.01692567174239e-59,7.137315069368652e-36,2.181789230474233e-40,1.6667712094859068e-43,2.0558933750791354e-41,1.0159133160836406e-39,2.96387485671992e-29,6.202277542614657e-37,3.1460655647851744e-38,8.310732714272775e-46,1.3456474571698344e-40,2.9932707771075637e-48,7.679950075703237e-52,3.17929816903455e-41,1.644742515016954e-54,1.5771524283280922e-26,1.7240679157344494e-64,6.642261483525014e-69,2.4257537154945486e-56,3.733081910333543e-55,2.6891756009924663e-59,3.491514024774656e-41,6.879572834910624e-69,9.713923341909183e-47,7.179051600182952e-65,1.659826746982393e-54,4.666566721739303e-55,3.468124305023186e-66,1.0963016491680662e-44,1.140598567699191e-64,3.8018934942085063e-51,2.738257964847256e-77,2.8198598233292584e-47,4.069953578995675e-78,4.524235526242637e-58,2.701778787664154e-66,6.113534554161863e-61,2.1806631336055554e-76,3.84142815004406e-74,2.963874854476387e-29,2.806735201147908e-70,7.997472452391031e-63,3.0069961623503024e-53,6.769796161488831e-52,9.619554218685511e-99,4.3280246853875036e-105,1.3095349201123213e-49,1.2786814240764118e-78,7.158427843021073e-61,3.025514299138817e-23,7.206918667763504e-74,8.835985675760039e-76,3.1458693051640263e-38,3.7264288242276476e-96,7.821962257086162e-36,5.354234417284908e-73,2.189211691448479e-85,2.383561114543141e-62,1.0344819966515345e-72,6.378112923051922e-94,3.403849517889669e-65,3.339146810447017e-64,3.360922935673175e-67,4.329201970129846e-85,2.2660926254856823e-66,1.0684464632317828e-70,1.7972285719418778e-73,9.573413827930962e-54,1.7960716958497497e-72,5.861981198290036e-44
2.09377861236651e-18,0.5107320818245792,3.020750177635257e-26,1.9308415013060255e-30,1.222336833535704e-37,1.517950795859897e-38,0.0,0.0,1.7642591196027413e-21,8.840627582994691e-38,2.7855227585369856e-47,3.2408225398891724e-47,1.0943801962648711e-52,7.357959261315585e-65,2.016567856015804e-45,5.866001257221325e-36,6.061570459948332e-23,3.856284634066681e-35,6.946959859912565e-84,3.3707205468356113e-68,3.361240977987897e-80,1.6319973076357957e-78,3.1598001606779374e-26,5.970609299734245e-67,4.408937083980317e-39,1.5383649043262075e-80,8.223835017257658e-78,7.850451120391436e-59,8.816254194201072e-56,1.170355438816348e-57,3.5392524625080434e-52,1.4012926794233058e-84,1.0434704658999341e-88,2.8113150778629867e-86,3.76,0.0,0.6871859710835857,0.9999999999997522,5.1432747765269526e-48,3.504210652628979e-36,7.100592617109696e-18,7.100592617109696e-18,2.4771757996816166e-13,4.3490978345943406e-39,3.8449392836031296e-35,1.7642893271042488e-21,1.6137284164986958e-38,2.424204517913127e-34,8.160188078312833e-59,2.8623825670224415e-35,8.74995066275231e-40,6.6844980337435065e-43,8.245051953935358e-41,4.074266775840694e-39,5.938076808021544e-29,2.4873906982322357e-36,1.2617130027008849e-37,3.3438901851087297e-45,5.3966481587548894e-40,1.2004363662893128e-47,6.162793207970779e-51,1.2750407633672378e-40,6.596196095314981e-54,3.1598001613045086e-26,2.767567079851985e-63,1.0662517436199189e-67,1.7903173035508526e-55,2.99556312520856e-54,2.1579019967202785e-58,1.4002532866140446e-40,1.1043462432317534e-67,7.794811710778236e-46,5.7607367882663406e-64,1.3332631043987404e-53,1.8715019739135082e-54,2.782957125503317e-65,4.3966599502960595e-44,9.161050603888493e-64,3.0507800942138387e-50,4.399612750366705e-76,1.359654160848599e-46,6.542354164261565e-77,1.814727191696223e-57,2.1746351328403426e-65,4.906062202822644e-60,3.500703871662523e-75,6.166794961535506e-73,5.938076799023972e-29,4.5117448619953554e-69,6.417467987522644e-62,1.867134720652228e-52,5.432335069466602e-51,3.0933528302696893e-97,1.3908210923795963e-103,1.0508193017371723e-48,2.0586399459967895e-77,5.744187526609356e-60,6.061570459945517e-23,1.1584911273703747e-72,1.4203588908911131e-74,1.261634293814726e-37,1.1999653317769344e-94,3.136956710899703e-35,8.606775449221621e-72,3.615997838508406e-84,1.914055963005892e-61,1.6628995964091536e-71,2.0538539881668906e-92,2.731374873451771e-64,5.360070133427759e-63,5.395025643890671e-66,1.3920283315503411e-83,1.8239556334438664e-65,8.599820330597429e-70,2.8889924403025973e-72,7.682061684359126e-53,2.887132794788918e-71,2.3509166441868344e-43
