Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CF3(1),O2(2),H2O(3),CH4(4),CH2CF2(57),HF(38),O2(161),S(164),CF2O(49),S(125),C2HF(58),S(463),C2HF(468),C2H2F3(68),S(165),S(464),C2H2F2(59),S(162),S(130),C2H3F2(65),C2H2F3(67),CF2(43),CHFCF2(55),CF2CH(73),C2HF2(72),S(179),C2H3F2(64),CHF2(82),S(1228),CHF3(42),S(1335),CF2O2(181),CF2O2(276),CH2F2(41),S(203),S(1568),CHO2(322),S(174),CF2CF2(61),C2F(467),S(512),C2H3F2(66),S(413),S(1931),S(1325),C2HF3(169),F(37),C2HF4(69),C2HFO(577),S(4228),S(4234),CHFO(47),C2HF4(54),S(5148),C1OO1(180),CH2O2(318),CFO(51),C2H2O(623),S(1319),S(2245),S(344),S(1323),CHF2O(206),S(6577),CH2F(46),S(1074),S(973),CF3(45),C2H2F(71),CHO2(457),CHF2O(207),CH2CF(70),CHFO2(635),CF3O2(511),CH2CFO(79),S(2261),C2HF5(81),CHF3O(248),C2F5(2339),S(1320),S(9273),S(960),CH2CHF(56),CFO2(459),CF4(44),C2H4F(63),S(445),C2H4F(62),S(513),S(252),CHO3(1583),C3HF3(974),S(196)
0.0,0.5932939121471179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.97419431933364,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8652907653159383e-21,0.5932939121471179,1.081729446246666e-27,2.1254805407708783e-31,1.0450232967254409e-41,1.6562438351612255e-42,0.0,0.0,1.951645649130353e-23,4.999067429147399e-42,4.4246102213089764e-54,5.147809781182746e-54,5.644126084181484e-59,3.745273721222792e-70,1.5167748400779234e-48,6.666837250008881e-40,2.275049549601174e-24,2.519050507611893e-39,2.056826768996476e-85,1.0659627844179064e-71,1.7381195853895604e-65,2.711873902036986e-85,3.0913659498151567e-27,1.2708897391958447e-75,6.217216370170853e-43,3.8222791276751515e-82,3.524851608056397e-77,3.784687386526522e-64,1.223666123278291e-61,7.042245653334371e-62,1.5034673073072635e-58,1.2569382276056824e-95,1.344356798469385e-91,5.125822831893819e-97,3.76,0.0,0.97419431933364,0.9999999999999996,8.644625205220794e-55,4.7086398562011214e-40,1.433974800400575e-19,1.433974800400575e-19,5.634713469832081e-16,1.9796186125823333e-43,2.509287422589021e-39,1.9517538220749768e-23,1.592129105920194e-41,2.098872923294335e-39,2.5762730327200375e-63,2.0100245304849413e-39,2.301972506188906e-43,1.39211614418477e-46,3.894957363833858e-42,8.129745415828929e-47,8.898869907604345e-44,1.0512435525590853e-29,2.671877000872583e-40,2.522877135832791e-41,4.206263566186143e-49,1.4730809093465343e-43,2.9397917829337098e-50,2.0975496723288042e-57,7.534569736235273e-44,1.076815019385353e-55,1.2225383601359468e-72,3.0913659498158656e-27,5.752311987416662e-77,3.3355405695439743e-59,2.765444493368046e-60,7.699723608909435e-64,1.7106997572097702e-44,5.500512521178597e-77,1.2313966542139952e-52,2.0469953932220125e-59,2.2348028567433396e-84,1.5942015660954682e-68,9.111426260784941e-51,6.667370655791859e-47,8.98392960483105e-57,4.713294169688116e-70,2.3196096104891263e-80,1.9548494615552232e-60,1.051243552554921e-29,7.775958489994172e-71,1.0930611561686812e-64,1.6177151978437162e-81,2.7283210490616577e-79,5.934576237222444e-57,2.3793917035622317e-69,9.877635870144631e-85,6.026028478984668e-56,8.137669505842276e-58,8.001216961243876e-67,9.071992053573315e-102,3.662868353969767e-79,1.2548801667956913e-103,3.7367156341861804e-77,1.2512643095229838e-78,2.974955058312916e-65,1.3149492323734763e-106,2.522034533574181e-41,2.293060394977728e-71,2.2320699928084247e-79,2.2750495496011737e-24,1.3370768485410912e-47,4.3218839147609166e-72,2.3023951120471154e-69,3.682227238864063e-48,1.2249752301088385e-74,8.767028409648917e-40,1.2147904210149641e-61,6.660223193393466e-86,1.8466806252209966e-91,1.5390886488893566e-80,1.3390255905217296e-79,2.506680324749409e-84,1.0009069781943612e-94,9.015091967889982e-56,7.423014620413246e-50,4.384097052730996e-59,1.4097445851229926e-46,2.4093826942069468e-74,4.343151358453867e-84,4.622872622724495e-74,1.2557578634043917e-43,4.699399993960288e-107,5.226254673020423e-102,3.548816968736202e-82,3.9703735475574494e-75
5.222814142884627e-21,0.5932939121471179,3.028842449490729e-27,5.951345514212383e-31,6.311940712223744e-41,1.0003712764388954e-41,0.0,0.0,5.464607817564986e-23,3.019436727205028e-41,5.252897254737461e-53,6.111479772700021e-53,6.700717727887522e-58,4.446388961834055e-69,9.161320034068393e-48,4.0267696990037276e-39,6.370138738883285e-24,1.521506506602422e-38,4.601117478445267e-84,1.2655110176682438e-70,2.0634955717745777e-64,7.560455981501536e-84,8.655824659480278e-27,2.8438411332567135e-74,3.755198687583047e-42,8.550292311447666e-81,4.184703894515255e-76,5.719419578528089e-63,1.8492042454981515e-60,1.0642241631318871e-60,1.784916387235039e-57,7.646572274766738e-94,3.007272542941979e-90,3.1184442833884036e-95,3.76,0.0,0.97419431933364,0.9999999999999984,1.0262899043986358e-53,2.8440184731454766e-39,4.01512944112161e-19,4.01512944112161e-19,1.5777197715436276e-15,1.1956896421145377e-42,1.5156096032486062e-38,5.46491070180993e-23,9.61645979975797e-41,1.2677192456695943e-38,3.058551344445222e-62,1.214054816412871e-38,1.3903913937487762e-42,8.408381510882258e-46,2.352554247755677e-41,4.9103662311727125e-46,5.374917424190337e-43,2.9434819471788266e-29,1.6138137085270458e-39,1.5238177900430117e-40,2.5406010748010886e-48,8.897408692452939e-43,1.7756342386697394e-49,2.5204635303569896e-56,4.550880120686077e-43,6.5039627489430706e-55,2.7665077982928866e-71,8.655824659484566e-27,1.3017027923458115e-75,2.0232589440365996e-58,3.283135702508151e-59,9.155043379185936e-63,1.0332626533585646e-43,1.2447225609068824e-75,1.4619141078774883e-51,3.0924533384389196e-58,7.025192150808776e-83,1.8926360992685354e-67,5.504954178641593e-50,4.027091876119389e-46,5.426293481338246e-56,5.595622823524116e-69,7.293223752925011e-79,1.180730001631176e-59,2.943481947153672e-29,9.231677419394386e-70,1.298206170441207e-63,3.620160020728018e-80,6.1054991624865995e-78,7.045528908830501e-56,3.007511052185368e-68,2.346106136643833e-83,3.6409638831095874e-55,9.661041237322563e-57,9.499044776422753e-66,3.743604632541846e-100,1.151664416381722e-77,5.997309253288704e-102,1.1748831828383918e-75,3.934175191410539e-77,3.5318666452392015e-64,5.426179141365546e-105,1.5233088582788107e-40,2.722338846959774e-70,7.017985188588537e-78,6.370138738883284e-24,8.075944165188185e-47,9.667881441926458e-71,2.7334034770307488e-68,2.2240652522748187e-47,2.7402205907442198e-73,5.2952851594278856e-39,1.4422003874171323e-60,1.4898744607853818e-84,4.400944673058005e-90,4.8391409663423655e-79,4.2101107006948126e-78,7.881404009864272e-83,5.7647117300259385e-93,1.0702717184277386e-54,4.4835008307492855e-49,5.2048000210022056e-58,8.514857294144364e-46,2.8604191345739556e-73,9.727798291850817e-83,5.4882743777206797e-73,7.584777494946313e-43,2.706088865703375e-105,3.179385759071623e-100,1.1158048360421718e-80,1.2483489693290869e-73
1.1937860898022005e-20,0.5932939121471179,6.923068455979114e-27,1.3603075461311098e-30,3.0389277468807034e-40,4.816357072671575e-41,0.0,0.0,1.2490532154434233e-22,1.453728808396061e-40,5.157325673953659e-52,6.000287082434187e-52,6.578809325614603e-57,4.365491049452195e-68,4.410781234943209e-47,1.9387162723001264e-38,1.4560317117447502e-23,7.325398876206589e-38,9.091108242139594e-83,1.242486221539356e-69,2.0259521887303495e-63,1.6378755916742354e-82,1.9784742078801877e-26,5.619756878800844e-73,1.8079665204454654e-41,1.689394331051299e-79,4.108567229929924e-75,6.152690590559238e-62,1.9892895432910481e-59,1.1448437913712513e-59,1.7524414933968993e-56,3.452028289657301e-92,5.941864418544975e-89,1.407816997688477e-93,3.76,0.0,0.97419431933364,0.9999999999999964,1.0076175139695254e-52,1.3692724701832854e-38,9.17743872256368e-19,9.17743872256368e-19,3.606216620627047e-15,5.756730927076762e-42,7.297007824960056e-38,1.2491224461279822e-22,4.629911440015924e-40,6.103522460937172e-38,3.0029038469384557e-61,5.8451513346497e-38,6.69413604815445e-42,4.0482737472985066e-45,1.1326536014029259e-40,2.3641299669397657e-45,2.587791369127313e-42,6.727958736471858e-29,7.769818318537551e-39,7.336526711001845e-40,1.223208266283919e-47,4.2837192843795284e-42,8.548914531437905e-49,2.4878625323678175e-55,2.1910528792971742e-42,3.13137812324623e-54,5.496754367591016e-70,1.9784742078822517e-26,2.5863438785656447e-74,9.828638576733372e-58,3.223402101412775e-58,8.994580583728138e-62,4.974714894023963e-43,2.4731302681424825e-74,1.4353159401351948e-50,3.32638760907148e-57,1.5671945687392862e-81,1.858201345440866e-66,2.652081832327495e-49,1.938871386735931e-45,2.612526729115307e-55,5.4938156362241384e-68,1.6270780993144687e-77,5.6847161369795185e-59,6.727958736350755e-29,9.063841666164462e-69,1.274816115128829e-62,7.154171968836974e-79,1.2065707237921314e-76,6.917342062106535e-55,3.0328546186707446e-67,4.7671455759236865e-82,1.754233104392061e-54,9.485267575968256e-56,9.326218490129212e-65,1.48093661714933e-98,2.5692999599763923e-76,3.121686712619239e-100,2.6210997506793866e-74,8.776928433266436e-76,3.4676076160002794e-63,2.1465433773177608e-103,7.334076423633802e-40,2.672845589116415e-69,1.565673889691505e-76,1.456031711744749e-23,3.888219475557483e-46,1.9102104551725657e-69,2.683671742627639e-67,1.0707916810630288e-46,5.414214120647631e-72,2.5494518615258167e-38,1.4159614181511992e-59,2.94378053604996e-83,8.955304839659211e-89,1.0795857295179587e-77,9.392525375384038e-77,1.7582978790579062e-81,2.585138699796532e-91,1.0507991197767589e-53,2.1586126516456974e-48,5.110103524663146e-57,4.0995372535398507e-45,2.808376468403167e-72,1.9231402846238047e-81,5.38842032911635e-72,3.6517438667556566e-42,1.2134539504951973e-103,1.4353267096984561e-98,2.4892992088718434e-79,2.784997878993559e-72
2.536795440829676e-20,0.5932939121471179,1.4711520468956914e-26,2.8906535356371342e-30,1.3271795868445361e-39,2.103429670678248e-40,0.0,0.0,2.654238082817267e-22,6.348815635017169e-40,4.561596153749948e-51,5.30718597513208e-51,5.818884302111648e-56,3.861227395621159e-67,1.926304046895457e-46,8.466883307485902e-38,3.0940673874575914e-23,3.1991941447400355e-37,1.6177202617516434e-81,1.0989649922687076e-68,1.7919317677537988e-62,3.031415679880198e-81,4.204257691741052e-26,1.0000715747803182e-71,7.895864790114726e-41,3.006187479699935e-78,3.633981418680444e-74,5.6553826680057034e-61,1.8284998146922778e-58,1.0523086834864249e-58,1.550014655140558e-55,1.3034202039086057e-90,1.057323253998374e-87,5.3156510369128136e-92,3.76,0.0,0.97419431933364,0.9999999999999923,8.912262802058524e-52,5.979972617375415e-38,1.950205728544782e-18,1.950205728544782e-18,7.663210318644212e-15,2.5141156397069085e-41,3.186795026760966e-37,2.6543851980219524e-22,2.0220039645186467e-39,2.6655686125809585e-37,2.656034445813008e-60,2.5527311537153484e-37,2.9235050830208365e-41,1.7679875031240762e-44,4.946595852069413e-40,1.032477667826916e-44,1.130156478261587e-41,1.4296912315272126e-28,3.3932837911082634e-38,3.2040539625077365e-39,5.342231881838621e-47,1.8708127548698994e-41,3.7335355918813744e-48,2.2057509700760447e-54,9.568903565018345e-42,1.3675551226309564e-53,9.806013681174376e-69,4.204257691750065e-26,4.613945204987631e-73,4.369319343888326e-57,2.851062654762979e-57,7.958029112142455e-61,2.1725886917162915e-42,4.411976163070435e-73,1.2695206945935209e-49,3.0574027532658304e-56,2.9351189332737718e-80,1.6435580465817596e-65,1.1597128466672956e-48,8.467560733182805e-45,1.1409590598449952e-54,4.8592176545926185e-67,3.0473372078118446e-76,2.4826731823777883e-58,1.4296912314743236e-28,8.01708951032163e-68,1.1276516007388475e-61,1.2731558909102637e-77,2.1472123280281268e-75,6.118310717526962e-54,2.7143316134375657e-66,8.589733138386075e-81,7.672317736242387e-54,8.38961175365601e-55,8.248934638578993e-64,5.285364016444819e-97,4.812014475099642e-75,1.2456272638984942e-98,4.909029750295167e-73,1.6438215593660416e-74,3.0670596669822588e-62,7.660862267900586e-102,3.202983857639295e-39,2.3641677695396266e-68,2.9323339189058147e-75,3.094067387457586e-23,1.6980875976471753e-45,3.3991174427691726e-68,2.373677264769123e-66,4.676428593371272e-46,9.634304747341186e-71,1.1134126080253215e-37,1.2524020478635645e-58,5.2384419925993633e-82,1.61495301475394e-87,2.0219445913345056e-76,1.7591160537172467e-75,3.2930973328794906e-80,9.725937892179843e-90,9.294199215205414e-53,9.427228568229919e-48,4.519828697483332e-56,1.7903756231084412e-44,2.4839771824942467e-71,3.4230170813649195e-80,4.765996759268262e-71,1.5948124864984523e-41,4.5652159978405985e-102,5.419520553809029e-97,4.66218192213634e-78,5.215992805672973e-71
5.2228141428846273e-20,0.5932939121471179,3.0288424494916637e-26,5.9513455149943075e-30,5.540713519267325e-39,8.781404814236244e-40,0.0,0.0,5.464607817564932e-22,2.6505055509339262e-39,3.83429642400145e-50,4.461009597084148e-50,4.891123645721783e-55,3.24559428241274e-66,8.041940202061604e-46,3.5347571099318714e-37,6.370138738883264e-23,1.3356005792011881e-36,2.7285265714095814e-80,9.237462936535394e-68,1.5062266227862688e-61,5.206446275436442e-80,8.655824659448957e-26,1.6868204885811332e-70,3.2963681194625567e-40,5.070375003376658e-77,3.054580735753636e-73,4.838298938810039e-60,1.5643200880054765e-57,9.002722336274387e-58,1.3028807130338548e-54,4.5221701940476416e-89,1.7833309780773792e-86,1.8442465835085721e-90,3.76,0.0,0.97419431933364,0.9999999999999842,7.49129388925487e-51,2.4965208517578267e-37,4.01512944112161e-18,4.01512944112161e-18,1.5777197714079838e-14,1.0495937899388059e-40,1.3304241915220408e-36,5.464910701809859e-22,8.44146851958887e-39,1.112822423928094e-36,2.2325569897865854e-59,1.0657150060626408e-36,1.2205058229255814e-40,7.380999796552058e-44,2.0651063943050842e-39,4.310391019619581e-44,4.718180824974339e-41,2.9434819473729467e-28,1.4166291858627177e-37,1.3376294574186284e-38,2.230410380295889e-46,7.810274981353533e-41,1.558677628111459e-47,1.8561539881927853e-53,3.9948288741515345e-41,5.709273663065797e-53,1.6559140724115514e-67,8.655824659486584e-26,7.791440072009548e-72,1.888368148580248e-56,2.39648995062361e-56,6.69016423402254e-60,9.070130113265152e-42,7.45038060593017e-72,1.0671086381319912e-48,2.615626433478088e-55,5.069639375138746e-79,1.381509569953232e-64,4.8539336073966286e-48,3.535039921995275e-44,4.7632794767644925e-54,4.0844651271436913e-66,5.263517207313021e-75,1.0364741140989169e-57,2.9434819471521456e-28,6.739223967458949e-67,9.478952695934553e-61,2.147450864873459e-76,3.621734780500107e-74,5.142808813957377e-53,2.2941860455447314e-65,1.4573416989862674e-79,3.2123357106988595e-53,7.051974190892726e-54,6.933726599530895e-63,1.7858061041724285e-95,8.311558342245613e-74,4.4269194896760766e-97,8.479128104160213e-72,2.839292954129323e-73,2.578048454368586e-61,2.588432445106213e-100,1.3371827097011075e-38,1.9873366856230685e-67,5.064877624964641e-74,6.370138738883241e-23,7.089181450964765e-45,5.733108392486585e-67,1.995218765873948e-65,1.9523168820581896e-45,1.6249663135974014e-69,4.648278462795037e-37,1.0527194668874006e-57,8.835876677246497e-81,2.7420421975562273e-86,3.492406459472926e-75,3.038435521529355e-74,5.688006707080296e-79,3.36778350217254e-88,7.812334457883024e-52,3.935682352017691e-47,3.799188360343445e-55,7.474465790342187e-44,2.0879324928120743e-70,5.774144235449135e-79,4.0061074491527234e-70,6.658028191543954e-41,1.58077373334773e-100,1.880283443462521e-95,8.052759867728907e-77,9.009330446013827e-70
1.059485154699453e-19,0.5932939121471179,6.144223254685257e-26,1.2072729475089155e-29,2.263562261663759e-38,3.587490396891628e-39,0.0,0.0,1.108534728706017e-21,1.082818001423023e-38,3.1435878668084866e-49,3.657405195525431e-49,4.010038982842656e-54,2.660934283252066e-65,3.2853949745756786e-45,1.4440636156815891e-36,1.2922281441734568e-22,5.456364162059925e-36,4.4816170024469366e-79,7.573430220088398e-67,1.2348955877406047e-60,8.6263447434719e-79,1.7558958594809472e-25,2.77065106876067e-69,1.3466739346427703e-39,8.328106508309753e-76,2.5043304758346724e-72,4.0003991262449535e-59,1.2934100997473512e-56,7.443624923211417e-57,1.0681803252807712e-53,1.5060714839620374e-87,2.9291290110591596e-85,6.142111615289718e-89,3.76,0.0,0.97419431933364,0.999999999999968,6.141815335305358e-50,1.0199102274125809e-36,8.144976866275265e-18,8.144976866275265e-18,3.2005172502556265e-14,4.2879331126725385e-40,5.4352169293768095e-36,1.1085961709385556e-21,3.4486153285873774e-38,4.546242706750769e-36,1.8303851056388967e-58,4.353793534007581e-36,4.9861645285239905e-40,3.015379253021296e-43,8.436633448361846e-39,1.760935376173628e-43,1.927530817434995e-40,5.9710633794071385e-28,5.787392458970676e-37,5.464652791299961e-38,9.113047039102342e-46,3.190752172879453e-40,6.367706803479116e-47,1.5226178405198101e-52,1.6320179431471596e-40,2.3324247681451203e-52,2.721431289445161e-66,1.755895859496319e-25,1.28049330304961e-70,8.239767390470284e-56,1.964787251154269e-55,5.485383364975902e-59,3.7054441025629635e-41,1.224441487322755e-70,8.748801334731565e-48,2.162632534386948e-54,8.423243481460309e-78,1.1326450127401777e-63,1.9930916157837867e-47,1.4441791537764241e-43,1.945955088364491e-53,3.348691117936696e-65,8.745412562712843e-74,4.234391598171024e-57,5.971063378505092e-28,5.525841498099328e-66,7.771561982326638e-60,3.527264308920103e-75,5.948827997789727e-73,4.216385381103573e-52,1.885963244974837e-64,2.400558860197911e-78,1.3199391874352173e-52,5.781634503889492e-53,5.68468798475198e-62,5.871341480534713e-94,1.3809778495502774e-72,1.4910717595014228e-95,1.4088198161172881e-70,4.71752770809143e-72,2.1136398821196287e-60,8.5101999301653e-99,5.46282768110367e-38,1.629521081570785e-66,8.415369925530841e-73,1.2922281441734472e-22,2.8961619370138603e-44,9.416647749469618e-66,1.6358008903876914e-64,7.975851488574403e-45,2.6690120495512525e-68,1.8989734216429006e-36,8.630830545290135e-57,1.4514526251202664e-79,4.521770062421223e-85,5.8026855659405874e-74,5.048406062668204e-73,9.45070821515338e-78,1.1204827841405552e-86,6.405023789922968e-51,1.6078546590724757e-46,3.114804155101783e-54,3.053563161176772e-43,1.7118132052943982e-69,9.48463572210848e-78,3.2844489258630237e-69,2.7200217622569914e-40,5.259309232530302e-99,6.262128925153971e-94,1.3379780959444606e-75,1.4969137282039761e-68
2.1338926355214334e-19,0.5932939121471179,1.2374984865079044e-25,2.4315497400800863e-29,9.149680574215894e-38,1.450120977534989e-38,0.0,0.0,2.2326826226050283e-21,4.3769234894549816e-38,2.5457589575278513e-48,2.9618615600492604e-48,3.247433659024783e-53,2.1548935719300136e-64,1.328009177658578e-44,5.8371360204117336e-36,2.6026566847437013e-22,2.205549634292394e-35,7.26489741961907e-78,6.133160147821432e-66,1.000050463784021e-59,1.4043449367878386e-77,3.5365226465309304e-25,4.49137966812189e-68,5.443471358456227e-39,1.3500219804297047e-74,2.0280727828766993e-71,3.253058132692482e-58,1.0517796127031939e-55,6.0530321669606085e-56,8.650401218550734e-53,4.916068166498237e-86,4.748252536317547e-84,2.0048876088267444e-87,3.76,0.0,0.97419431933364,0.9999999999999356,4.973801295803965e-49,4.1226402088171234e-36,1.6404671716582576e-17,1.6404671716582576e-17,6.446112206992985e-14,1.733251127752544e-39,2.1970015847266447e-35,2.232806372453645e-21,1.3939854544302139e-37,1.837663990226665e-35,1.4822933144848224e-57,1.7598729576137205e-35,2.0154874248500357e-39,1.2188645058672908e-42,3.4102221299926035e-38,7.117982340348885e-43,7.791387749602111e-40,1.2026226244846414e-27,2.3393565643605033e-36,2.2089000305247048e-37,3.684522864366918e-45,1.2897530440152943e-39,2.573928988684084e-46,1.233386765237151e-51,6.596877463418476e-40,9.42803535341012e-52,4.412826366568566e-65,3.536522646593067e-25,2.076331903604487e-69,3.755224391139908e-55,1.5911356562245227e-54,4.4423582614032634e-58,1.4977997514008544e-40,1.9854433581862808e-69,7.085006147954214e-47,1.758609747412924e-53,1.373198330706539e-76,9.172452971219555e-63,8.138060772297996e-47,5.837603044987814e-43,7.865861599622069e-53,2.7118566186392485e-64,1.4257229706048784e-72,1.711654584651284e-56,1.20262262412002e-27,4.4759715279915584e-65,6.293669776414758e-59,5.717903253103421e-74,9.643400660707024e-72,3.41453819879113e-51,1.5293590757260119e-63,3.897005843496891e-77,5.3968099333984586e-52,4.682117520021501e-52,4.6036077160922506e-61,1.9043558131456976e-92,2.2513424355769823e-71,4.893788844849374e-94,2.2967318680409213e-69,7.690760805359946e-71,1.7116803765190273e-59,2.760263006436879e-97,2.2081622918023425e-37,1.3199238465792472e-65,1.3719176908316624e-71,2.6026566847436632e-22,1.1706749605863856e-43,1.5264791790725924e-64,1.3247139721737873e-63,3.223966694619465e-44,4.326583547856925e-67,7.675954190005588e-36,6.989470476457739e-56,2.3533770049619454e-78,7.355361957005574e-84,9.459841995253653e-73,8.230176034050144e-72,1.5407039626305296e-76,3.655581003337266e-85,5.186954326508449e-50,6.499205606785954e-46,2.52244916155207e-53,1.234299052029206e-42,1.3862707155949192e-68,1.5375474134944423e-76,2.659831895625751e-68,1.0994762856304991e-39,1.7158486140072677e-97,2.0440631844704428e-92,2.181241984625287e-74,2.44034717850751e-67
4.2827075971653944e-19,0.5932939121471179,2.483650808589301e-25,4.88010332743123e-29,3.6790463172178164e-37,5.830872672632848e-38,0.0,0.0,4.4809784104029045e-21,1.7599416847009246e-37,2.0490482849891247e-47,2.3839638726661332e-47,2.6138171788149467e-52,1.7344458181485874e-63,5.339866495309752e-44,2.3470867210856248e-35,5.223513765884128e-22,8.86841807774706e-35,1.169989584327343e-76,4.936500861700811e-65,8.04927615679809e-59,2.2664424802388273e-76,7.09777622054242e-25,7.233256494444462e-67,2.188795891972676e-38,2.1741688024141763e-73,1.6323710791330782e-70,2.623709234426785e-57,8.48298360978256e-55,4.8819897288020886e-55,6.962595468548151e-52,1.5887882832138397e-84,7.646940691395491e-83,6.479450439462585e-86,3.76,0.0,0.97419431933364,0.9999999999998707,4.003347993723784e-48,1.6576954959349842e-35,3.2924061417197204e-17,3.2924061417197204e-17,1.2937302116635997e-13,6.96932659743364e-39,8.834046746399477e-35,4.4812267754836265e-21,5.605154202556281e-37,7.389166081229912e-35,1.1930786161010866e-56,7.076371760526615e-35,8.104186295056234e-39,4.90100057072335e-42,1.3712353197692717e-37,2.862109393442203e-42,3.1328827462399935e-39,2.413655198120854e-27,9.406449856656142e-36,8.881889871789448e-37,1.4822409850961326e-44,5.1860402645807514e-39,1.034965596444088e-45,9.928693318511708e-51,2.6525754139182653e-39,3.790972770294488e-51,7.107735553802983e-64,7.09777622079227e-25,3.3443459737430314e-68,1.8514047564539696e-54,1.2806844013045569e-53,3.575657358441087e-57,6.022586926291829e-40,3.1979518722385297e-68,5.7026293280231994e-46,1.4183796407623114e-52,2.217716901940065e-75,7.382788136610128e-62,3.3379539549688295e-46,2.3472745105173823e-42,3.162828354698258e-52,2.1827376992800723e-63,2.3025464060408367e-71,6.882856115045482e-56,2.4136551966547278e-27,3.604263992128722e-64,5.065715898955333e-58,9.20855154220879e-73,1.5530474743793947e-70,2.748317400497194e-50,1.2318508109932843e-62,6.2808177749686e-76,2.219415105901906e-51,3.768575514768772e-51,3.705383995617999e-60,6.13513636830342e-91,3.6359240470893695e-70,1.5858521526583382e-92,3.709228101792841e-68,1.242059923937748e-69,1.3777092801137462e-58,8.892555048393316e-96,8.87892345683359e-37,1.0628651150547898e-64,2.2156507352711267e-70,5.223513765883974e-22,4.707232528362286e-43,2.458347658500771e-63,1.0662450525349068e-62,1.2963428284211819e-43,6.967829422675563e-66,3.0864674197259165e-35,5.6257339622807066e-55,3.791683001513415e-77,1.1901288410778914e-82,1.5277670092641468e-71,1.3291756278908704e-70,2.4882410150811725e-75,1.181118773224203e-83,4.1749120967583276e-49,2.6133019907261155e-45,2.030286533333621e-52,4.963062201821912e-42,1.1157912750481763e-67,2.4762101459087148e-75,2.1408641103451588e-67,4.420945787152283e-39,5.54390408157055e-96,6.606059038775702e-91,3.522711631565015e-73,3.9411672118443155e-66
