Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CF3(1),O2(2),H2O(3),CH4(4),CH2CF2(57),HF(38),O2(161),S(164),CF2O(49),S(125),C2HF(58),S(463),C2HF(468),C2H2F3(68),S(165)
6.376631210265848e-19,0.6097052609073709,2.162328135216297e-24,1.0345023665082518e-27,4.350811357530703e-37,8.5751615051407e-37,0.0,0.0,1.909500719117186e-20,1.6971055705051898e-36,5.187906021113215e-51,5.6201387057158645e-71,1.4282411930155478e-50,1.0839845781345673e-109,1.3460000856335372e-76,1.8851084514277924e-69,5.390141086086248e-78,1.2420685176655556e-33,2.5288054021041842e-118,7.963400978889428e-71,9.241655777832892e-106,4.009729685184296e-124,4.8941563156525245e-59,4.766573498844648e-87,4.0550302322411738e-56,2.3045191332495047e-113,7.829463235118269e-110,5.24959365996218e-117,5.810608623382158e-167,3.8747232312451046e-135,1.1313624077540438e-54,6.407050472739034e-141,8.993219416369656e-118,2.68673562240565e-139,3.76,0.0,0.7954598687028691,0.9999999999996777,1.1259009301308078e-48,2.3995571057599245e-109,1.802764057530638e-16,1.802764057530638e-16,3.2227989878342796e-13,7.752033587919315e-38,1.2420685176655556e-33,1.9097169519305693e-20,3.341631558597767e-35,3.647638761975304e-34,5.496309544846549e-54,1.0185051784307228e-33,2.4814656428785386e-37
1.2758802499776063e-18,0.609705260907371,4.32653492218174e-24,2.069903520105547e-27,1.7414583971790775e-36,3.4322993536563455e-36,0.0,0.0,3.820660431039034e-20,6.79284506677834e-36,4.1534792885036683e-50,8.999544438900045e-70,1.1434613869211828e-49,4.0133569548970176e-108,2.156106384197204e-75,3.0194364346564713e-68,8.634236577850805e-77,4.9715109980030973e-33,3.244081795319734e-116,1.2756269487821672e-69,5.924267656877687e-104,5.140890444982998e-122,3.9192783708149174e-58,1.5271866480828213e-85,3.246489819791281e-55,1.4774889842600216e-111,5.019675335667622e-108,6.733844107748459e-115,2.9834917821061098e-164,4.97067828586068e-133,9.05777843545176e-54,1.6444436936795138e-138,1.1534697254890786e-115,6.895818083324614e-137,3.76,0.0,0.7954598687028689,0.9999999999993552,9.014053400809156e-48,1.538323953668615e-107,3.607094374016558e-16,3.607094374016558e-16,6.448397967305403e-13,3.1028337857653887e-37,4.9715109980030973e-33,3.8210930845307e-20,1.3375234777562514e-34,1.4600061068226424e-33,4.400389627378521e-53,4.076675014789335e-33,9.932329473360922e-37
2.5523145078796494e-18,0.6097052609073711,8.65494849618577e-24,4.140705831401782e-27,6.968101943354128e-36,1.3733668191702598e-35,0.0,0.0,7.642979854880253e-20,2.718022835754668e-35,3.3240457621984613e-49,1.4405132047315498e-68,9.151166319470621e-49,1.6310871968967069e-106,3.4517765301226024e-74,4.8337101157258967e-67,1.3822792453121193e-75,1.989251971190378e-32,4.1570457319520625e-114,2.0421901293517446e-68,3.7946088713297185e-102,6.58574451857429e-120,3.1370047984028416e-57,4.890012500749078e-84,2.5981785335954377e-54,9.464256943464402e-110,3.2154170591228827e-106,8.62852486089788e-113,1.5297174703133144e-161,6.369538323606623e-131,7.248975601159019e-53,4.215210227901912e-136,1.4779391914784266e-113,1.7676082816863925e-134,3.76,0.0,0.7954598687028686,0.99999999999871,7.213982275557246e-47,9.853625478091154e-106,7.215755006988398e-16,7.215755006988398e-16,1.2899595903786574e-12,1.2415377670245465e-36,1.989251971190378e-32,7.643845349727666e-20,5.3518361160342e-34,5.8419261728052684e-33,3.521649070137718e-52,1.631201017401276e-32,3.9742255477711604e-36
5.1051830236837354e-18,0.6097052609073711,1.7311775644486414e-23,8.282310470400834e-27,2.787694512915771e-35,5.494361559553923e-35,0.0,0.0,1.5287618702552784e-19,1.0873861213191594e-34,2.659741655328085e-48,2.3052901246825035e-67,7.322323456120429e-48,7.436303568069682e-105,5.5244480372067627e-73,7.736026249122593e-66,2.2122881210784996e-74,7.958303229406208e-32,5.32397794258345e-112,3.26845412707865e-67,2.4295349845488207e-100,8.433213759952426e-118,2.510236838215178e-56,1.5652866168273833e-82,2.078937586206199e-53,6.059802874537604e-108,2.058771323266017e-104,1.1050406286949313e-110,7.837712811566066e-159,8.157536926828087e-129,5.800281868204401e-52,1.079789980894083e-133,1.8927214469186173e-111,4.52799649327817e-132,3.76,0.0,0.7954598687028678,0.9999999999974198,5.7722818766400944e-46,6.308994369545874e-104,1.4433076272932066e-15,1.4433076272932066e-15,2.5801991686904603e-12,4.9669602282703714e-36,7.958303229406208e-32,1.5289349880108407e-19,2.141082937053009e-33,2.3371508721037473e-32,2.817854317724448e-51,6.525866243713794e-32,1.5899490152172842e-35
1.0210920055291908e-17,0.6097052609073713,3.462542994225802e-23,1.6565519814025248e-26,1.1151685587586943e-34,2.1979234931976752e-34,0.0,0.0,3.0576896397858216e-19,4.3498984845154015e-34,2.1279953722313447e-47,3.6888394586366104e-66,5.858415006642426e-47,3.79794010803703e-103,8.840401575653373e-72,1.2379314329836126e-64,3.5401741550033044e-73,3.1835803920744245e-31,6.816586408247794e-110,5.230286663674753e-66,1.555217765901733e-98,1.0796729067016734e-115,2.0084427083673835e-55,5.009689520742376e-81,1.6633079957704834e-52,3.8791469289382585e-106,1.3179031369457004e-102,1.4148293745827493e-108,4.014332818337281e-156,1.0444546124443062e-126,4.64066611386423e-51,2.7651538140948884e-131,2.423297596830631e-109,1.1595409291980978e-129,3.76,0.0,0.7954598687028663,0.9999999999948394,4.61826397068556e-45,4.03861232958959e-102,2.8867718804819382e-15,2.8867718804819382e-15,5.160678289376343e-12,1.986946366525346e-35,3.1835803920744254e-31,3.058035894081713e-19,8.565028779128178e-33,9.349364346126842e-32,2.2544975016801533e-50,2.6105589473132995e-31,6.360313750451978e-35
2.042239411850825e-17,0.6097052609073715,6.92527385424825e-23,3.313193876377935e-26,4.460855748800365e-34,8.792051724790724e-34,0.0,0.0,6.115545178831055e-19,1.7400301961707754e-33,1.7024771343432683e-46,5.902443406845384e-65,4.6869545492749295e-46,2.122996371476142e-101,1.4145670488568043e-70,1.980824102305511e-63,5.664689256979221e-72,1.2734839890835466e-30,8.726443371844546e-108,8.369066759239641e-65,9.954403029579013e-97,1.382123127897596e-113,1.6068554793939685e-54,1.603224245274583e-79,1.3307095806391855e-51,2.4829536554022332e-104,8.435506668635095e-101,1.8112231747022997e-106,2.0557030190119278e-153,1.337087478874111e-124,3.712709175943044e-50,7.079935150972575e-129,3.102214074933684e-107,2.9689034104857297e-127,3.76,0.0,0.7954598687028634,0.9999999999896784,3.694786573756789e-44,2.584985844486423e-100,5.77370038685939e-15,5.773700386859391e-15,1.0321636386997216e-11,7.948113481392105e-35,1.2734839890835475e-30,6.116237706202356e-19,3.426150922798245e-32,3.739897913463864e-31,1.80368362490079e-49,1.0442660703053068e-30,2.544229090187271e-34
4.084534224494094e-17,0.6097052609073721,1.3850735576165653e-22,6.626477771330866e-26,1.7843786030139465e-33,3.5168922419981e-33,0.0,0.0,1.2231256256858116e-18,6.960262391900744e-33,1.3620140638478909e-45,9.444149827271861e-64,3.749652715987845e-45,1.2602470106055816e-99,2.2633895542863586e-69,3.1694256583817748e-62,9.0638314601931e-71,5.0940397054578305e-30,1.1170623750474698e-105,1.3390993310301766e-63,6.371140945317426e-95,1.7692083672619977e-111,1.2855249280832525e-53,5.1305154271543e-78,1.0645929546779896e-50,1.5892120776468008e-102,5.399020935481557e-99,2.318520338666194e-104,1.0526133252854756e-150,1.7115907956984953e-122,2.9702379009268495e-49,1.8126095542873252e-126,3.971085748280085e-105,7.601005630896036e-125,3.76,0.0,0.7954598687028577,0.9999999999793564,2.9558994199082513e-43,1.6544786370833006e-98,1.154755739961425e-14,1.1547557399614256e-14,2.0643552007235428e-11,3.1793137594391364e-34,5.094039705457836e-30,1.2232641330359227e-18,1.3704882518450634e-31,1.4959895993719655e-30,1.44298115023132e-48,4.17714926470624e-30,1.0177123931679058e-33
8.169123849780632e-17,0.6097052609073734,2.77016590274905e-22,1.3253045981245199e-25,7.137587020444885e-33,1.4067712076694024e-32,0.0,0.0,2.4462678412658594e-18,2.7841332784299045e-32,1.089624227219013e-44,1.511083250901222e-62,2.9997578944637225e-44,7.750456731283094e-98,3.62148922220733e-68,5.071166869126735e-61,1.4502393735839894e-69,2.0376366984092232e-29,1.429889520705904e-103,2.142597849354048e-62,4.077633572331366e-93,2.264644803603054e-109,1.0284361897460916e-52,1.6417966404173024e-76,8.516845053563959e-50,1.0171677800275935e-100,3.4554685140496883e-97,2.967805170233061e-102,5.389619571348336e-148,2.190912383452459e-120,2.37621861614555e-48,4.640467769964238e-124,5.083151119258108e-103,1.9459359938606236e-122,3.76,0.0,0.7954598687028461,0.9999999999587126,2.3647476008959395e-42,1.0588944247179935e-96,2.3095271425123794e-14,2.3095271425123816e-14,4.128738094769798e-11,1.2717413874048155e-33,2.0376366984092274e-29,2.4465448578335323e-18,5.482008773328128e-31,5.9840192535382516e-30,1.1543986204497135e-47,1.67087670210049e-29,4.0708913970109684e-33
1.6338303100353708e-16,0.6097052609073759,5.540350596010034e-22,2.6506184081107984e-25,2.855049330524576e-32,5.627113455156693e-32,0.0,0.0,4.8925522723245e-18,1.1136589757102826e-31,8.71704625735982e-44,2.4177487784170528e-61,2.399820749248921e-43,4.859449955650953e-96,5.794435867403294e-67,8.113936086790553e-60,2.3204042223301936e-68,8.150588956008347e-29,2.6371239982204105e-101,3.428187692705816e-61,2.6097185723013776e-91,2.9343749723236733e-107,8.227554974865625e-52,5.253800284529096e-75,6.813517016175294e-49,8.60286554469527e-99,2.922156920414214e-95,5.473469978171085e-100,5.251936946608607e-145,4.0406635331065035e-118,1.9009863246870737e-47,2.567834206575233e-121,1.13897196970468e-100,1.0767968494299162e-119,3.76,0.0,0.795459868702823,0.9999999999174249,1.8918093071530335e-41,7.166069674831297e-95,4.619069947614218e-14,4.619069947614226e-14,8.257502962856963e-11,5.0870149980841355e-33,8.150588956008381e-29,4.8931063072936936e-18,2.1928146625704393e-30,2.393619862708136e-29,9.235243764341553e-47,6.683540795946842e-29,1.6283651715368546e-32
3.267666160149986e-16,0.609705260907381,1.108071999451606e-21,5.301246700097169e-25,1.1420226371689572e-31,2.2508511090603375e-31,0.0,0.0,9.785121134035957e-18,4.454647231376502e-31,6.973658837318966e-43,3.868410999975681e-60,1.9198626047508124e-42,3.077778317015846e-94,9.27114103679536e-66,1.2982354433678826e-58,3.712664222221711e-67,3.260244438683691e-28,3.3836111512136338e-99,5.485125207947524e-60,1.670230479068395e-89,3.7563798925592856e-105,6.58207091040625e-51,1.681224454293411e-73,5.450830652880673e-48,5.527950750651906e-97,1.87729779956926e-93,7.022837724233701e-98,2.694971084245736e-142,5.18445045195599e-116,1.5207938141268052e-46,6.587505636348985e-119,1.4627767299342883e-98,2.762407858955206e-117,3.76,0.0,0.7954598687027769,0.9999999998348497,1.5134519369096951e-40,4.590205202544281e-93,9.238155557817615e-14,9.238155557817649e-14,1.6515029019011551e-10,2.034830033796843e-32,3.2602444386837175e-28,9.786229205673777e-18,8.771280956809575e-30,9.574503693700996e-29,7.38821693075495e-46,2.6734231118689225e-28,6.513479894270151e-32
