Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CF3(1),O2(2),H2O(3),CH4(4),CH2CF2(57),HF(38),O2(161),S(164),CF2O(49),S(125),C2HF(58),S(463),C2HF(468),C2H2F3(68),S(165),S(464),S(130),C2H2F2(59),C2H3F2(65),C2H2F3(67),CF2(43),CHFCF2(55),CF2CH(73),C2HF2(72),S(179),C2H3F2(64),CHF2(82),CHF3(42),S(1244),S(1385),CF2O2(181),CF2O2(276),CH2F2(41),S(203),S(1542),CHO2(322),C2F(467),S(174),S(413),S(1894),C2H3F2(66),C2HF4(54),CHFO(47),S(2753),S(512),CF2CF2(61),C2HF3(169),C2HF4(69),C2HFO(577),S(3833),S(2867),F(37),S(344),CFO(51),C1OO1(180),CH2O2(318),C2H2O(623),S(3850),S(970),S(2764),CHF2O(206),CF3(45)
0.0,0.7304293176141713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7737449046907068,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.3798309840381017e-22,0.7304293176141713,6.15363083368303e-26,5.903760039510588e-28,2.1965351973803948e-40,3.148559071084145e-41,0.0,0.0,2.01196347127226e-22,5.346999766507893e-41,3.4433833081338042e-53,4.0050656339501825e-53,6.289606303964151e-57,5.629117491965649e-66,7.040909598839928e-45,4.586238396159951e-38,9.711052988899322e-23,5.924594829798848e-38,1.9377919501228915e-85,4.9413631121633466e-64,4.208599733787976e-90,3.1140933304763877e-80,2.00624551624191e-24,1.7074244390772686e-74,3.262019010427175e-41,4.826440460812326e-93,6.997640668125156e-81,1.0403149029168121e-60,8.315643856978753e-60,1.6996448655854692e-60,3.2004996969366626e-57,5.615990317021831e-94,6.145623858926268e-96,7.009440495263895e-95,3.76,0.0,0.7737449046907068,0.9999999999999994,6.291611210197829e-54,1.0134365764699747e-38,3.707725122097094e-18,3.707725122097094e-18,4.898698863457925e-16,1.653103232755615e-42,5.904242472653861e-38,2.0125788343556284e-22,9.656319621334023e-38,9.334820211276289e-40,9.094434258973461e-58,5.363099734682724e-38,1.055972341723446e-40,2.267757309988422e-44,6.3153466910188466e-40,1.6103670132462007e-38,2.4021051132682873e-26,1.589814094931996e-38,4.56109007724467e-41,5.924700197454452e-47,5.809864116195625e-41,7.060438961883729e-46,1.1313332865949695e-55,6.793585978012532e-41,1.725388467435276e-49,2.0062455162419567e-24,4.871029333286869e-72,3.437812280720622e-76,7.821077106186964e-55,5.965655389744984e-60,1.354078659924915e-61,1.162391024293906e-42,2.3419054316442474e-76,9.547334749920313e-52,4.803044387063066e-63,4.091668904784193e-56,1.534270847240394e-51,5.937518792536747e-65,6.6766869296716e-43,5.686318470608679e-66,1.035823838833864e-77,7.627250702761736e-83,8.622059524429585e-49,2.3440767464607278e-82,1.7569371444965417e-56,2.476066494790891e-67,2.220341282270652e-60,6.443770492062758e-79,6.804089764057544e-77,2.4021051132661923e-26,2.1415311823965463e-76,4.897772671119767e-62,5.582665515985563e-52,5.465793213858191e-57,7.168886513231027e-102,1.1704215385484004e-115,1.679382597364063e-55,7.2447671616885705e-84,1.3838954167877362e-61,9.711052988899324e-23
6.663526755306685e-22,0.7304293176141713,1.7230166334312913e-25,1.6530528110634634e-27,1.3267072592179244e-39,1.9017296789360295e-40,0.0,0.0,5.633497719562325e-22,3.2295878589707663e-40,4.087984667818242e-52,4.754813920673398e-52,7.46860149699348e-56,6.682888286461365e-65,4.252709397699217e-44,2.770087991280486e-37,2.71909483689181e-22,3.5784552772004663e-37,4.34957350003018e-84,5.866386286764383e-63,2.010500537464576e-88,8.782241451745207e-79,5.6174874454772e-24,3.8225222850479027e-73,1.9702594822979766e-40,2.9341429865918667e-91,2.1944572831965068e-79,1.57212388128809e-59,1.2566600996666283e-58,2.5685033208727472e-59,3.799633240203426e-56,3.420496098285225e-92,3.627193999497687e-94,4.291279608740239e-93,3.76,0.0,0.7737449046907068,0.9999999999999987,7.469400830879637e-53,6.121156921878647e-38,1.0381630341871864e-17,1.0381630341871864e-17,1.3716356817672326e-15,9.984743527524666e-42,3.5661624534848937e-37,5.635220736195754e-22,5.832417051285751e-37,5.6382314076104556e-39,1.0796912352253273e-56,3.2393122397482943e-37,6.378072944017241e-40,1.3697254152330767e-43,3.8144694013748754e-39,9.726616760007105e-38,6.725894317157961e-26,9.602477133389257e-38,2.754898406655989e-40,3.578533791218513e-46,3.509157926182154e-40,4.264505133104347e-45,1.5123279520893314e-54,4.103325930719481e-40,1.0421346343760814e-48,5.617487445477481e-24,1.2207671068494927e-70,8.615772693354932e-75,4.7239325881825965e-54,7.082426078702346e-59,2.0462783139265185e-60,7.020841786740746e-42,5.869234042104397e-75,1.133459581510013e-50,5.702174296321294e-62,6.183325374770837e-55,9.266995917339327e-51,7.049022307451112e-64,4.0327189055258753e-42,6.884157903851475e-65,2.3175531253102772e-76,1.738384069478595e-81,5.2077403951818484e-48,7.127483746631518e-81,1.0611903114919712e-55,2.939597330205231e-66,2.645416474150515e-59,1.4463703903423561e-77,1.5272477472764442e-75,6.725894317145307e-26,6.733316682444427e-75,5.8146357151568036e-61,3.371931157721688e-51,6.488989703491479e-56,4.3610560653482243e-100,1.2924685102170455e-113,1.993763019590448e-54,1.6206313283269024e-82,1.6429606388111897e-60,2.719094836891811e-22
1.5230918297843851e-21,0.7304293176141713,3.9383237335574383e-25,3.778406425290265e-27,6.387524353984675e-39,9.156009778730774e-40,0.0,0.0,1.2876566216142443e-21,1.5549075321004934e-39,4.0136075902110163e-51,4.668304503080333e-51,7.333409975863435e-55,6.56129934863437e-64,2.0474965113424994e-43,1.3336781256031268e-36,6.215073912895565e-22,1.722872176508393e-36,8.608307370496247e-83,5.759652843549762e-62,1.0468619300828785e-86,1.910329347506932e-77,1.2839971303947187e-23,7.555384991377531e-72,9.485951282321669e-40,1.3251230118656597e-89,4.892942408638531e-78,1.6912191313744758e-58,1.3518575905413205e-57,2.7630786650849477e-58,3.7305024467495324e-55,1.5442315972226318e-90,1.6309599195834358e-92,1.937667690325107e-91,3.76,0.0,0.7737449046907068,0.9999999999999969,7.3335020296348e-52,2.947073564374686e-37,2.3729440781421406e-17,2.3729440781421406e-17,3.1351672726061666e-15,4.807224203326201e-41,1.7169537110506293e-36,1.2880504539875988e-21,2.8080577458839345e-36,2.7145657174385093e-38,1.0600472572259395e-55,1.5595894028456294e-36,3.070767569743002e-39,6.5946382574473584e-43,1.8365028177475178e-38,4.682947274520028e-37,1.5373472724964332e-25,4.623179388062249e-37,1.3263649944630626e-39,1.722925125353788e-45,1.689508484989682e-39,2.0531756503056494e-44,1.5589589642802694e-53,1.9755748024059096e-39,5.0174296639666585e-48,1.2839971303948533e-23,2.5384685700737724e-69,1.791567618939058e-73,2.274372246547431e-53,6.953567922277766e-58,2.2012909889959627e-59,3.380233098655008e-41,1.22045114606e-73,1.1128373384490783e-49,5.598428537560773e-61,6.651737667843519e-54,4.461659623786085e-50,6.920771895130365e-63,1.9415805591548446e-41,6.817350318961926e-64,4.579534085801034e-75,3.465801475971989e-80,2.50731957334369e-47,1.5748379743843104e-79,5.109177359356749e-55,2.886137787855665e-65,2.6014165700727235e-58,2.862532403870161e-76,3.0225979420710645e-74,1.5373472724903406e-25,1.5021659119302538e-73,5.708843825467567e-60,1.6234409111480728e-50,6.370928570070116e-55,1.968774172270403e-98,1.1697667746794997e-111,1.9574883554870315e-53,3.202119884699749e-81,1.613068497810185e-59,6.2150739128955675e-22
3.2365701382918186e-21,0.7304293176141713,8.368937933810413e-25,8.029113653751847e-27,2.789599700675671e-38,3.998670020295545e-39,0.0,0.0,2.7362703209302626e-21,6.790689703465e-39,3.5499904616473187e-50,4.129062466288082e-50,6.486593192039389e-54,5.803394969515246e-63,8.94195519052514e-43,5.8245227631212076e-36,1.3207032064903067e-21,7.524235433874117e-36,1.532962487867589e-81,5.094347714141135e-61,4.177749010077519e-85,3.54142867109329e-76,2.728493902088478e-23,1.3446630726312536e-70,4.1427641432419364e-39,5.0042375382906616e-88,9.161878216628891e-77,1.5545217531319868e-57,1.2425900302606185e-56,2.5397453297469764e-57,3.2995871675536715e-54,5.830774144952138e-89,6.145169314149872e-91,7.316598274472538e-90,3.76,0.0,0.7737449046907068,0.9999999999999933,6.486399496314426e-51,1.2870644521168673e-36,5.042506166052049e-17,5.042506166052049e-17,6.66223045426825e-15,2.0994411081324117e-40,7.498387940299967e-36,2.7371072147236386e-21,1.2263525919094212e-35,1.185522166831432e-37,9.37599794363113e-55,6.811136663045965e-36,1.3410848740002696e-38,2.880051783686349e-42,8.020490297586047e-38,2.0451661068227525e-36,3.2668629540685175e-25,2.0190639005636392e-36,5.7925843981039604e-39,7.524599766085499e-45,7.378527427568385e-39,8.966757483554233e-44,1.4083283413135292e-52,8.627854192074517e-39,2.191243354323892e-47,2.728493902089066e-23,4.6196745885504456e-68,3.2604143696910117e-72,9.932799173561688e-53,6.150352080592616e-57,2.0233649995145123e-58,1.4762366008618678e-40,2.2210584808780575e-72,9.842920233743544e-49,4.9517466412866684e-60,6.114092326995989e-53,1.948523976006687e-49,6.121344354507643e-62,8.479392400748481e-41,6.05308900674592e-63,8.1493930396625e-74,6.19241306842473e-79,1.0950270453634437e-46,2.938452863983874e-78,2.231314454739404e-54,2.5527983446771614e-64,2.3025640928802942e-57,5.097576691815556e-75,5.3826202272622305e-73,3.2668629540419077e-25,2.8133905051239405e-72,5.0494077130391905e-59,7.090003589328879e-50,5.63501417175296e-54,7.433694692515539e-97,8.854448270487075e-110,1.7313762825773603e-52,5.698092336218057e-80,1.4267408188964759e-58,1.320703206490308e-21
6.6635267553066854e-21,0.7304293176141713,1.723016633431908e-24,1.653052811070691e-26,1.1646029616533966e-37,1.669366019505625e-38,0.0,0.0,5.633497719562279e-21,2.834979276202462e-38,2.983980886288699e-49,3.4707257978949656e-49,5.452481504263468e-53,4.878103152654549e-62,3.7330902693035173e-42,2.431623597642268e-35,2.7190948368918052e-21,3.141220178785857e-35,2.5864970786668963e-80,4.282106211236435e-60,1.4848371077903223e-83,6.086811092000167e-75,5.617487445475047e-23,2.2681520429298292e-69,1.7295224793279684e-38,1.7363322357313305e-86,1.5823160429120393e-75,1.3299260881126893e-56,1.0630619319035315e-55,2.172805600425935e-56,2.773501829369473e-53,2.0229741822803965e-87,2.129609415658523e-89,2.538520229147894e-88,3.76,0.0,0.7737449046907068,0.9999999999999862,5.452209611686764e-50,5.373240728443798e-36,1.0381630341871866e-16,1.0381630341871866e-16,1.371635681752928e-14,8.764753362768787e-40,3.1304293590275706e-35,5.6352207361956884e-21,5.1197806632313e-35,4.949321676012775e-37,7.881091217877986e-54,2.843515479327796e-35,5.598765355920712e-38,1.2023649257568045e-41,3.348396815571091e-37,8.538165904232053e-36,6.725894317255925e-25,8.429194331329481e-36,2.4182899589580326e-38,3.141483508476858e-44,3.0803899544068644e-38,3.743444739356461e-43,1.1954600581881667e-51,3.6019592855409845e-38,9.148009660446178e-47,5.617487445477502e-23,7.87383658181975e-67,5.5570948654172836e-71,4.146763205533664e-52,5.169741510232528e-56,1.731031101224916e-57,6.162997210883752e-40,3.785602466533771e-71,8.273567536862707e-48,4.162241417118892e-59,5.230734486964301e-52,8.134704032171045e-49,5.1453587493052234e-61,3.5399794101708764e-40,5.097208049476487e-62,1.3745428018876394e-72,1.0464603430774076e-77,4.571645331700541e-46,5.066915122993258e-77,9.315319271019802e-54,2.14585174394127e-63,1.9360943329780614e-56,8.600890591123966e-74,9.081830537790103e-72,6.725894317144836e-25,4.859432456797513e-71,4.244331432468574e-58,2.959945802199758e-49,4.73656894642669e-53,2.579090582293755e-95,6.15186707459691e-108,1.4553260887521533e-51,9.610972980705353e-79,1.1992616258705962e-57,2.71909483689181e-21
1.351743998933642e-20,0.7304293176141713,3.495262313534731e-24,3.3533357024744627e-26,4.757783098953396e-37,6.819904890473437e-38,0.0,0.0,1.1427952516826226e-20,1.1581815374246555e-37,2.44644781523009e-48,2.845510702031003e-48,4.470317169514396e-52,3.9993636871222495e-61,1.525089182745926e-41,9.93397581560358e-35,5.515878097694792e-21,1.2832909385361455e-34,4.2490857988788563e-79,3.510729385971635e-59,5.001339809500968e-82,1.008844314955092e-73,1.139547453224438e-22,3.725593107345757e-68,7.065663657341274e-38,5.782917452085484e-85,2.6289008704487185e-74,1.0996086079028384e-55,8.789601628999534e-55,1.7965176883725492e-55,2.2738843676386803e-52,6.737361201279106e-86,7.088323894022456e-88,8.45441691789312e-87,3.76,0.0,0.7737449046907067,0.9999999999999721,4.4700508483473104e-49,2.1951441620970167e-35,2.1059878693511493e-16,2.1059878693511493e-16,2.7824609543798783e-14,3.5806877454561573e-39,1.2788825365691005e-34,1.1431447779139675e-20,2.0915974552594355e-34,2.0219593970382816e-36,6.461394735891742e-53,1.1616688549303837e-34,2.2872783311536794e-37,4.912053043735293e-41,1.3679293546554328e-36,3.488119365372389e-35,1.3643957043803697e-24,3.4436009221865355e-35,9.87950355093967e-38,1.2834894142420004e-43,1.2584398070243892e-37,1.5293193223948284e-42,9.847564251791192e-51,1.4715178971803587e-37,3.737260441161315e-46,1.1395474532254412e-22,1.2998390946012885e-65,9.173836773724794e-70,1.694100397020548e-51,4.2384664326845984e-55,1.4312498896518536e-56,2.5177854543271562e-39,6.249398284345497e-70,6.783170534561297e-47,3.412456985788635e-58,4.324872339258184e-51,3.3232920260433454e-48,4.2184759404714307e-60,1.4461970957645355e-39,4.1826944009924436e-61,2.2577134998119954e-71,1.720438076999223e-76,1.867766782727498e-45,8.412045960104705e-76,3.80562875522731e-53,1.7594152052537033e-62,1.587585957452244e-55,1.412945180434662e-72,1.4919534845903923e-70,1.3643957043349864e-24,8.0740197059389e-70,3.4797593400760287e-57,1.2092416900529204e-48,3.883325393712708e-52,8.589443015273791e-94,4.1003417662354243e-106,1.1931642546560412e-50,1.5787061873892065e-77,9.832271372321694e-57,5.515878097694815e-21
2.722526645739589e-20,0.7304293176141713,7.039753673744732e-24,6.753901485333046e-26,1.9231719990121048e-36,2.756714597686662e-37,0.0,0.0,2.301686211135379e-20,4.681554951566285e-37,1.981196869261581e-47,2.304368342155495e-47,3.6201960605246296e-51,3.238788404333084e-60,6.164654317435246e-41,4.015471855268944e-34,1.1109444619300734e-20,5.1872671542247565e-34,6.888594679424334e-78,2.843079678630321e-58,1.6414897230769386e-80,1.6426414899786519e-72,2.295144870576782e-22,6.039464934340186e-67,2.8560542205378698e-37,1.8876734670406067e-83,4.2856570110943047e-73,8.9418345811282e-55,7.147558070692647e-54,1.460898348373639e-54,1.84145051534567e-51,2.1991889287508782e-84,2.313061012836462e-86,2.75967612249769e-85,3.76,0.0,0.7737449046907064,0.9999999999999439,3.6199630709062424e-48,8.873123676551272e-35,4.241637539679075e-16,4.241637539679075e-16,5.604111499532758e-14,1.4473712449921034e-38,5.1694476886310766e-34,2.302390186502719e-20,8.454571331819766e-34,8.173083166301339e-36,5.232604980096055e-52,4.695651246495138e-34,9.245544719227925e-37,1.985530377252293e-40,5.529389164578702e-36,1.4099536177141683e-34,2.7480082497591063e-24,1.3919585511895483e-34,3.9934532949716715e-37,5.188804293368167e-43,5.086814907206452e-37,6.18175322449667e-42,7.993346606169188e-50,5.94811061586813e-37,1.510660426124453e-45,2.2951448705808376e-22,2.1123383509507094e-64,1.490818926964942e-68,6.84792428705627e-51,3.432420006802267e-54,1.1638686012393105e-55,1.017729136592429e-38,1.0155752139567508e-68,5.493187364371277e-46,2.763496141013941e-57,3.5169143261235657e-50,1.3433277718310011e-47,3.416231136639156e-59,5.845759888310974e-39,3.388769531717798e-60,3.659869118658643e-70,2.79023501122021e-75,7.550624436430037e-45,1.3708510833652543e-74,1.5383096378158606e-52,1.4250084170189603e-61,1.2857715282344052e-54,2.2906419263195897e-71,2.4187288022953314e-69,2.748008249575661e-24,1.31626898980678e-68,2.8179993325021466e-56,4.888006859455397e-48,3.1448175858221654e-51,2.803736407093881e-92,2.6777276041585658e-104,9.66255348289957e-50,2.5594781810811586e-76,7.962428276283925e-56,1.110944461930082e-20
5.464091939351482e-20,0.7304293176141714,1.412873639418216e-23,1.3555033051254374e-25,7.732990023916121e-36,1.1084628153064225e-36,0.0,0.0,4.6194681300407566e-20,1.8824326557980314e-36,1.594639600628541e-46,1.854756118575668e-46,2.9138556562706457e-50,2.6068586760234194e-59,2.4787803879019966e-40,1.6146035723118728e-33,2.2296577662512468e-20,2.085777308359199e-33,1.1094508310082187e-76,2.288357867807454e-57,5.319344936538507e-79,2.6512301452855493e-71,4.606339705275383e-22,9.726466757527557e-66,1.1484068406939897e-36,6.100687029589567e-82,6.921254638414405e-72,7.211913529945663e-54,5.764764522086796e-53,1.178267442640205e-53,1.4821595773218815e-50,7.107401844567669e-83,7.474301237210317e-85,8.91881823519011e-84,3.76,0.0,0.773744904690706,0.9999999999998875,2.9136612091389537e-47,3.5678440049255526e-34,8.512936880334923e-16,8.512936880334923e-16,1.1247412589434433e-13,5.819816182806248e-38,2.0786121796167962e-33,4.620881003680038e-20,3.3995459479691286e-33,3.2863607946272485e-35,4.21165571432559e-51,1.888100713988435e-33,3.717592868510811e-36,7.983730320159736e-40,2.2233430639198244e-35,5.669361484817702e-34,5.51523334079331e-24,5.5970041137721225e-34,1.6057500060707235e-36,2.0869863655010063e-42,2.0453859015628126e-36,2.485655788261486e-41,6.441143988881304e-49,2.3917091178960958e-36,6.074299149505718e-45,4.6063397052916895e-22,3.406048478754744e-63,2.403876981143914e-67,2.7536003509730673e-50,2.762710235187652e-53,9.387021752636529e-55,4.0922440971052475e-38,1.6375683426120506e-67,4.4213950872031596e-45,2.2243021130192238e-56,2.836518799161127e-49,5.401461889122574e-47,2.7496799415302448e-58,2.3505543406718597e-38,2.728247694927223e-59,5.8941209778805e-69,4.494756703971863e-74,3.036726264560609e-44,2.2135386746843968e-73,6.185585154842214e-52,1.1472739783231636e-60,1.0349420319675886e-53,3.689165657313823e-70,3.895454426801508e-68,5.515233340055685e-24,2.1257779344813905e-67,2.2681710232878082e-55,1.965493191735315e-47,2.5312227859901454e-50,9.061190319847146e-91,1.7310793479596658e-102,7.777263666146487e-49,4.1230153097741936e-75,6.408854992563465e-55,2.2296577662512814e-20
1.094722252657527e-19,0.7304293176141716,2.830670183512672e-23,2.7157296183913667e-25,3.1012748660753485e-35,4.4454316618742295e-36,0.0,0.0,9.255031967850977e-20,7.549396888332777e-36,1.279597852610479e-45,1.4883249787734102e-45,2.338188420851115e-49,2.0918399132727994e-58,9.941018017080084e-40,6.475282474028732e-33,4.467084374893537e-20,8.364899893825492e-33,1.7810052772924716e-75,1.8362630733374356e-56,1.712913805913952e-77,4.2604561765284466e-70,9.228729374648232e-22,1.5613209089506337e-64,4.605625068684389e-36,1.9618979280221736e-80,1.1125639984408416e-70,5.7930011480344685e-53,4.630572365483367e-52,9.464484868604205e-53,1.189339717647065e-49,2.2856344382046032e-81,2.4034441689719965e-83,2.868161788384329e-82,3.76,0.0,0.7737449046907051,0.9999999999997746,2.3380296243556773e-46,1.4308650216984557e-33,1.7055535561646609e-15,1.7055535561646609e-15,2.2534014767621448e-13,2.334006638594834e-37,8.336164522885967e-33,9.257862638033943e-20,1.363369973544377e-32,1.3179776647110566e-34,3.3795884699331125e-50,7.572128336755376e-33,1.49092101391216e-35,3.2018329394715514e-39,8.916600100646151e-35,2.2736675238033902e-33,1.1049683523968635e-23,2.2446489817501043e-33,6.439775713653617e-36,8.374488954416725e-42,8.202912286469308e-36,9.968591487995406e-41,5.171571625333828e-48,9.591823280782603e-36,2.436065652512426e-44,9.228729374713628e-22,5.470815502323812e-62,3.8611216299162973e-66,1.1043811567907951e-49,2.2169009741987338e-52,7.540166297557643e-54,1.6411729132068942e-37,2.630272096814968e-66,3.5478911075148176e-44,1.7848623640446714e-55,2.2784461503113105e-48,2.1662278040599208e-46,2.2064448516749625e-57,9.42677421856615e-38,2.189620917592791e-58,9.46138119031121e-68,7.21635216844297e-73,1.218387129384045e-43,3.557981361815892e-72,2.4807843404876697e-51,9.211017636091681e-60,8.30492289461898e-53,5.922053839522378e-69,6.25320004289276e-67,1.1049683521010426e-23,3.4171259439825256e-66,1.8200644019095837e-54,7.882884827069203e-47,2.03114687487219e-49,2.9139428696497372e-89,1.1134714990142135e-100,6.240764297052003e-48,6.621738428839073e-74,5.142702516273207e-54,4.467084374893676e-20
