Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CF3(1),O2(2),H2O(3),CH4(4),CH2CF2(57),HF(38),O2(161),S(164),CF2O(49),S(125),C2HF(58),S(463),C2HF(468),C2H2F3(68),S(165),S(464),S(130),C2H2F2(59),C2H3F2(65),C2H2F3(67),CF2(43),CHFCF2(55),CF2CH(73),C2HF2(72),S(179),C2H3F2(64),CHF2(82),CHF3(42),S(1244),S(1385),CF2O2(181),CF2O2(276),CH2F2(41),S(203),S(1542)
0.0,0.47536791576763854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6632696665114024,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.065633712467866e-21,0.47536791576763854,8.763101170779684e-30,1.801475457391803e-34,8.593556877389536e-45,1.4726977816303228e-44,0.0,0.0,1.0999971895261819e-24,1.265325628266176e-43,1.1264135828443464e-55,1.3105285481045348e-55,1.9093752158312174e-61,7.035461358320916e-84,5.114771525201378e-57,3.8617240914827374e-42,5.0572804309908844e-62,3.904764601082205e-41,1.3632260643932848e-101,3.96766730732529e-90,2.33696372695369e-97,1.1851322143329012e-96,3.858484287530252e-30,3.89753525503598e-99,7.510108340308928e-69,3.6705833615480494e-109,1.6159286464976083e-123,4.219633927188653e-99,4.84828939146166e-125,1.1275359867247637e-119,5.202270545908373e-67,5.293673175404218e-121,4.609754412737158e-119,3.8112513583275774e-136,3.76,0.0,0.6632696665114024,0.9999999999999997,1.8701951645187118e-56,8.766646819074093e-78,2.852359093449841e-21,2.852359093449841e-21,4.1533119311819323e-16,5.506257791825882e-45,3.904764601082199e-41,1.1000059526273517e-24,2.2614857881486672e-45,1.0711311025560729e-39,6.922894898215331e-69,2.7200411875883755e-41,3.186032485566302e-46,3.629508438790007e-49,1.0789775912129081e-47,5.579280897733329e-46,2.670020734641709e-44,1.7067353932063483e-42,2.5012059609820652e-49,2.0732846517115277e-51,1.8444426989287046e-46,1.6132275144294204e-53,1.3965038506637949e-59,3.1502670645790213e-47,2.133936456438787e-63,3.858484287534114e-30,4.49132491041515e-74,1.4900147040852946e-78,1.1233090557801108e-63,1.4830030652054863e-68,1.2080176405567504e-70,4.821891703069191e-58,1.589882344749254e-78
1.9783774394910027e-20,0.47536791576763854,2.4536683278183578e-29,5.044131280985791e-34,5.190508353998145e-44,8.895094601085421e-44,0.0,0.0,3.0799921306733072e-24,7.642566794727699e-43,1.3372782055515235e-54,1.5558594923082092e-54,2.266810308635271e-60,8.352499724584811e-83,3.0893220012181746e-56,2.332481351253129e-41,6.004003346915376e-61,2.3584778190755985e-40,8.293169404013664e-100,1.2474980840997685e-88,1.1163956159290872e-95,5.6615188037255656e-95,1.0803756005072196e-29,2.3710608955974096e-97,8.916000621699103e-68,1.7558134890034023e-107,1.4056712204679494e-121,2.0157764874749934e-97,5.514579860514506e-123,8.700592707813427e-118,6.176135592154087e-66,4.084836817571469e-119,3.55709427484339e-117,4.0611856870819454e-134,3.76,0.0,0.6632696665114024,0.9999999999999988,2.22029569932229e-55,1.9610638328440754e-76,7.986605461659554e-21,7.986605461659554e-21,1.1629273407046272e-15,3.3257797064282163e-44,2.358477819075592e-40,3.0800166673565794e-24,1.365937416041795e-44,6.469631859437725e-39,8.218860823161233e-68,1.6429048773033387e-40,1.924363621328974e-45,2.1922230970381993e-48,6.517024650919948e-47,3.3698856622309916e-45,1.6126925237235075e-43,1.0308681774966349e-41,1.5107284004334662e-48,1.2523447164058881e-50,1.1140433901528546e-45,9.743894194552072e-53,1.6603065629406304e-58,1.9027613070056963e-46,1.2889122865438989e-62,1.080375600509552e-29,1.0060675773739694e-72,3.3376687580825747e-77,6.784791587109565e-63,1.7606212389652202e-67,1.8255562584315124e-69,5.724664466349362e-57,3.561374674057404e-77
4.522005575979435e-20,0.47536791576763854,5.608384749299323e-29,1.152944292932875e-33,2.4990063400271785e-43,4.282605149038388e-43,0.0,0.0,7.039982012967555e-24,3.679566926998036e-42,1.312947672159389e-53,1.5275520756660141e-53,2.225567826012665e-59,8.200533759216114e-82,1.4873755595233735e-55,1.1229893657995139e-40,5.894766097687546e-60,1.1355055460269986e-39,3.7439330907345017e-98,2.783099600851744e-87,5.813048826832632e-94,2.94794110353817e-93,2.4694299440106035e-29,1.0704102273501924e-95,8.75378228172121e-67,9.177324794022016e-106,1.4610856937544239e-119,1.049608469270756e-95,4.992328201416581e-121,9.482322868673726e-116,6.063766548467957e-65,4.451855062195951e-117,3.8766954131608356e-115,9.242308631692964e-132,3.76,0.0,0.6632696665114024,0.9999999999999973,2.179899483767878e-54,3.874731671969401e-75,1.825509819807898e-20,1.825509819807898e-20,2.65811963577224e-15,1.6012197661047084e-43,1.135505546026992e-39,7.040038096815014e-24,6.576400671936325e-44,3.11484924623163e-38,8.069326293359762e-67,7.9098797735064e-40,9.264982468717309e-45,1.0554610540134283e-47,3.137666835238109e-46,1.622454885060942e-44,7.764420296336819e-43,4.963186523444071e-41,7.273506934540324e-48,6.030323568759007e-50,5.363639368483431e-45,4.691265623058314e-52,1.6311405001673353e-57,9.16097662379529e-46,6.205703027623039e-62,2.4694299440218333e-29,1.9891468463524306e-71,6.599072898882864e-76,3.2665900694960424e-62,1.7285883726586428e-66,1.963850118115219e-68,5.62055975287786e-56,7.041373125324169e-76
9.609261848956299e-20,0.47536791576763854,1.1917817592261994e-28,2.4500066230634582e-33,1.091381723513516e-42,1.8703261827298322e-42,0.0,0.0,1.4959961777556022e-23,1.606963547898039e-41,1.1612873473608476e-52,1.351102511944125e-52,1.9684895475401294e-58,7.253279241884744e-81,6.495759836952143e-55,4.9043895961451925e-40,5.2138538606503875e-59,4.959051043705173e-39,1.4136378981347027e-96,5.212437540791078e-86,2.3198351887238834e-92,1.1764459081608746e-91,5.247538630997353e-29,4.041665348346882e-94,7.742621295060515e-66,3.690382085557336e-104,1.1695525821772354e-117,4.188708830253101e-94,3.78374050924301e-119,7.757125718588317e-114,5.3633328423367206e-64,3.6418938782925774e-115,3.171377570919178e-113,1.561909312110236e-129,3.76,0.0,0.6632696665114024,0.9999999999999943,1.9280964068106748e-53,6.89487798884738e-74,3.879208367091784e-20,3.879208367091784e-20,5.6485042254864434e-15,6.992947398087315e-43,4.959051043705116e-39,1.4960080955731805e-23,2.8720869509488075e-43,1.3603365002447354e-37,7.137227724264017e-66,3.4544523082366205e-39,4.046261257376466e-44,4.609475717399475e-47,1.3703015408310642e-45,7.085686740122258e-44,3.390926332993656e-42,2.1675539493720715e-40,3.1765315704518507e-47,2.6343237026415855e-49,2.3424422276381726e-44,2.048798954792842e-51,1.4431389936269918e-56,4.0008391720148294e-45,2.7103203501417635e-61,5.247538631046396e-29,3.540657278395209e-70,1.1746269780345596e-74,1.4266100806335863e-61,1.5289168398000174e-65,1.8051166005190738e-67,4.9713414003397246e-55,1.2533558822866702e-74
1.9783774394910028e-19,0.47536791576763854,2.453668327819031e-28,5.0441312851725915e-33,4.5563038571573365e-42,7.80824363873787e-42,0.0,0.0,3.0799921306732855e-23,6.708756481067222e-41,9.761319882604188e-52,1.1356830713129746e-51,1.654634078832077e-57,6.096818245576261e-80,2.7118518626135247e-54,2.0474861132700527e-39,4.382558329464626e-58,2.0703061917902285e-38,4.904566569486548e-95,9.003189610031904e-85,8.245057601986262e-91,4.181273016952607e-90,1.080375600489077e-28,1.4022414635839086e-92,6.508139726946202e-65,1.3315014456338994e-102,8.326640337465442e-116,1.4887322714134873e-92,2.6309785530846377e-117,5.582858606662401e-112,4.5082044193461153e-63,2.621097481186612e-113,2.2824634766588402e-111,2.2869792940397257e-127,3.76,0.0,0.6632696665114024,0.9999999999999883,1.6206812064364712e-52,1.1629219508497761e-72,7.986605461659554e-20,7.986605461659554e-20,1.1629273403230767e-14,2.919417883435017e-42,2.070306191790179e-38,3.080016667356506e-23,1.1990397648764236e-42,5.6791371057390065e-37,5.999269952474923e-65,1.442165837658802e-38,1.689234424481108e-43,1.924365374368494e-46,5.720739188526878e-45,2.9581347319790486e-43,1.4156449935058514e-41,9.049111054780143e-40,1.3261394005168563e-46,1.1003824978086035e-48,9.779235189708453e-44,8.55333238471209e-51,1.2132093032304178e-55,1.67027159763932e-44,1.1316112165171756e-60,1.080375600509552e-28,5.972697365754539e-69,1.981465842569334e-73,5.955852831863886e-61,1.2851467277060695e-64,1.5443152566598644e-66,4.1787199025554944e-54,2.1142727996201458e-73
4.013279948681748e-19,0.47536791576763854,4.977441465005882e-28,1.0232380616782727e-32,1.8613987945181258e-41,3.18992230337458e-41,0.0,0.0,6.247984036508616e-23,2.740745923849632e-40,8.002919793732158e-51,9.311015969279323e-51,1.3565689882376146e-56,4.9985399518232595e-79,1.1078799714038705e-53,8.364648850826599e-39,3.593086102042033e-57,8.457876319032806e-38,1.633425441502404e-93,1.4958934191110862e-83,2.7771624767946653e-89,1.4083679081964954e-88,2.19161907523573e-28,4.6700495330258885e-91,5.33576615423959e-64,4.618807909559798e-101,5.6137617068448696e-114,5.014459600234632e-91,1.7543451613034939e-115,3.7842429798892945e-110,3.6960983577361187e-62,1.7766652225742396e-111,1.5471280675074436e-109,3.127250743363811e-125,3.76,0.0,0.6632696665114024,0.9999999999999764,1.3287323704512641e-51,1.9101027966055296e-71,1.6201399650795095e-19,1.6201399650795095e-19,2.3590811751983074e-14,1.1926774646056487e-41,8.457876319032402e-38,6.248033810923028e-23,4.8984686765615393e-42,2.3201128133693027e-36,4.918563967662451e-64,5.891718013959232e-38,6.901073810391585e-43,7.86166045978778e-46,2.33710862159972e-44,1.2084945595733395e-42,5.783371712053314e-41,3.6968571311007526e-39,5.4177121597608574e-46,4.500359212648982e-48,3.995136663577763e-43,3.494315412736884e-50,9.947275573214922e-55,6.823604472556698e-44,4.6238655665258e-60,2.191619075319377e-28,9.810861669624447e-68,3.254791946370196e-72,2.4331901051812533e-60,1.0536409321824838e-63,1.2768697194658135e-65,3.4259701913531464e-53,3.472943077254155e-72
8.08308496706324e-19,0.47536791576763854,1.0024987739384336e-27,2.0608879309570463e-32,7.524071542215332e-41,1.2894175976827008e-40,0.0,0.0,1.2583967848179123e-22,1.1078533231771638e-39,6.480971938455479e-50,7.5403021360618365e-50,1.09858473898644e-55,4.0479472486540464e-78,4.478227979010998e-53,3.3811248046120733e-38,2.909774282687645e-56,3.418808839006541e-37,5.331772693076693e-92,2.4386838171404603e-82,9.114925323760575e-88,4.622404493347123e-87,4.4141060246009145e-28,1.5243819486919975e-89,4.321041772157256e-63,1.6038633107910495e-99,3.6864652447617536e-112,1.6457957400221065e-89,1.1459221360432165e-113,2.4917153838569644e-108,2.9931962787541612e-61,1.1698361625948915e-109,1.018698592495765e-107,4.1360884836998465e-123,3.76,0.0,0.6632696665114024,0.9999999999999525,1.07604192327261e-50,3.0963589454498645e-70,3.263098802906618e-19,3.263098802906618e-19,4.7513888422542336e-14,4.820993012437379e-41,3.4188088390062134e-37,1.2584068098055553e-22,1.9800393588419894e-41,9.378266945715077e-36,3.983180623395311e-63,2.381526621706766e-37,2.7895243750734724e-42,3.177808855412985e-45,9.44696671972804e-44,4.884928231454459e-42,2.3377313141658422e-40,1.494328760051092e-38,2.1899258767549326e-45,1.8231090690825737e-47,1.6148981161535955e-42,1.4124581956825416e-49,8.055822037511145e-54,2.7582100278547012e-43,1.8697392605722536e-59,4.414106024939027e-28,1.590437976480676e-66,5.276340540893721e-71,9.835585077801844e-60,8.532657435804342e-63,1.0383292519943716e-64,2.7744407408584277e-52,5.629985159536581e-71
1.6222695003826223e-18,0.47536791576763854,2.012008028816025e-27,4.1361876813415824e-32,3.0253960772362685e-40,5.1846914511568095e-40,0.0,0.0,2.525593547151953e-22,4.454629487335959e-39,5.216450047536682e-49,6.069091150157725e-49,8.842365733795408e-55,3.258140108794449e-77,1.8006757742606975e-52,1.359535413110262e-37,2.342039487424818e-55,1.3746879985379894e-36,1.723136802500802e-90,3.938480878687128e-81,2.953745756061138e-86,1.4979176646916937e-85,8.859079922818791e-28,4.9265390482439636e-88,3.4779503425828716e-62,5.76726250786135e-98,2.3897230898504153e-110,5.333298795498676e-88,7.408884209504815e-112,1.6173937109987162e-106,2.4091847686818195e-60,7.593506512644455e-108,6.612459628273281e-106,5.3811645169198154e-121,3.76,0.0,0.6632696665114024,0.9999999999999046,8.66092153329941e-50,4.986590626394901e-69,6.549016478560834e-19,6.549016478560834e-19,9.536004165587943e-14,1.938500093060959e-40,1.3746879985377256e-36,2.5256136672318545e-22,7.96165117660891e-41,3.7709598917176753e-35,3.206010294590794e-62,9.576013802521068e-37,1.1216554842413357e-41,1.277782964596659e-44,3.798583768494392e-43,1.964208157175345e-41,9.399914797068705e-40,6.008630221199166e-38,8.805595634111082e-45,7.362744351708294e-47,6.493434299221301e-42,5.679432576667025e-49,6.484130423236645e-53,1.1090641211505992e-42,7.5237595170432346e-59,8.859079924178328e-28,2.5613953288030563e-65,8.49752974554729e-70,3.955039827072623e-59,6.867825016088741e-62,8.374501607632787e-64,2.233111780677254e-51,9.067073285561956e-70
3.250191507735219e-18,0.47536791576763854,4.031026538578812e-27,8.286787229418608e-32,1.2133191428673526e-39,2.079293164126581e-39,0.0,0.0,5.059987071819793e-22,1.7865056625950485e-38,4.1858726420406835e-48,4.870063429341753e-48,7.095441637597834e-54,2.6144522462106566e-76,7.221515225607264e-52,5.452345072868496e-37,1.8793391921846347e-54,5.513113725117679e-36,5.541349719336099e-89,6.330992984575597e-80,9.511531973279048e-85,4.823533552733479e-84,1.774902771720458e-27,1.5843011264749782e-86,2.7908361198117943e-61,2.224150709264007e-96,1.5392130208028807e-108,1.7174071649016265e-86,4.7658300339547117e-110,1.042452724987595e-104,1.9332190538757902e-59,4.894214443085911e-106,4.2619039525099335e-104,6.944107754265322e-119,3.76,0.0,0.6632696665114024,0.9999999999998089,6.94984408386039e-49,8.004582318701656e-68,1.3120851829869267e-18,1.3120851829869267e-18,1.9105234769142792e-13,7.774252438722106e-40,5.513113725115562e-36,5.060027382083627e-22,3.1929782153723744e-40,1.512323576851826e-34,2.5726213539328754e-61,3.8404098324836785e-36,4.498340178907719e-41,5.124481193208489e-44,1.523401986785903e-42,7.877353223862443e-41,3.769786255062399e-39,2.4097294612560757e-37,3.531437689264335e-44,2.9785393005656024e-46,2.604157579908757e-41,2.2777067178854333e-48,5.2031478818738095e-52,4.447843166854949e-42,3.021871952858483e-58,1.7749027722656928e-27,4.111641956471477e-64,1.364053390351682e-68,1.5863037311378039e-58,5.510997034571114e-61,6.726855163892185e-63,1.7919317679887326e-50,1.455478524701676e-68
6.506035522440411e-18,0.47536791576763854,8.069063558134797e-27,1.658798651480447e-31,4.859605224523206e-39,8.328018201833723e-39,0.0,0.0,1.01287741211545e-21,7.155341014436206e-38,3.3537918751686093e-47,3.901977092384599e-47,5.68498772222834e-53,2.0947433067142261e-75,2.8923728117007337e-51,2.1837819566124993e-36,1.505758309936692e-53,2.208121120300342e-35,1.7776147126600836e-87,1.0153189473011676e-78,3.053249171822827e-83,1.5483783123042576e-82,3.55289232977763e-27,5.0822942684332153e-85,2.2360650526874527e-60,9.49581298094818e-95,9.882399673042789e-107,5.512962568294129e-85,3.057881372717022e-108,6.695217147866038e-103,1.5489277688357241e-58,3.1433395435393814e-104,2.7372342145317257e-102,8.924615618537737e-117,3.76,0.0,0.6632696665114024,0.9999999999996175,5.568332487883193e-48,1.2828203264340398e-66,2.6264522532486136e-18,2.6264522532486136e-18,3.824369580380222e-13,3.113756044233685e-39,2.2081211202986454e-35,1.0128854811783865e-21,1.278856734742774e-39,6.057182545055398e-34,2.0612276900997505e-60,1.5381670801155007e-35,1.8016824048953342e-40,2.0524653947052837e-43,6.101553968177636e-42,3.1550500951846668e-40,1.5098808120731026e-38,9.651486927155609e-37,1.414417063899968e-43,1.2135957979419963e-45,1.0430213533235634e-40,9.122709215651218e-48,4.168866607213985e-51,1.781457249410244e-41,1.2139359838496184e-57,3.5528923319614124e-27,6.589376182936229e-63,2.186051464368944e-67,6.354737603796018e-58,4.4155038931597937e-60,5.39240710799614e-62,1.4357260851677367e-49,2.33257069244856e-67
1.3017723551850796e-17,0.47536791576763854,1.6145137597368424e-26,3.3190385842503464e-31,1.9451085506950827e-38,3.333377632735761e-38,0.0,0.0,2.0266348219820033e-21,2.8640011414587387e-37,2.6850727477403034e-46,3.123954241359149e-46,4.551446914507317e-52,1.6770683374398913e-74,1.1577028980821487e-50,8.740818921479421e-36,1.2055222134378312e-52,8.838239054173057e-35,5.695389887352318e-86,1.6264008482036393e-77,9.785717019428451e-82,4.962579582809338e-81,7.108871442612033e-27,1.6283420235385176e-83,1.790211674540714e-59,4.553743222563585e-93,6.334812680778962e-105,1.7669141504617167e-83,1.959527980438214e-106,4.292480240636248e-101,1.2400840350196448e-57,2.015277873011677e-102,1.7549130379275923e-100,1.1446706273540824e-114,3.76,0.0,0.6632696665114024,0.9999999999992347,4.458051772723304e-47,2.054183914575442e-65,5.255186393771987e-18,5.255186393771987e-18,7.652061718331999e-13,1.2463139181222112e-38,8.838239054159475e-35,2.0266509671171115e-21,5.118759735806806e-39,2.4244515651557624e-33,1.6502354667571312e-59,6.156676899479706e-35,7.211425031924981e-40,8.215210475815429e-43,2.4422116968958054e-41,1.2628422678706176e-39,6.043458111076053e-38,3.863110020947183e-36,5.661354333459324e-43,5.0226652830053705e-45,4.17480360521941e-40,3.651462645042398e-47,3.3376347829954946e-50,7.130471609149188e-41,4.887814382430199e-57,7.108871451352852e-27,1.0551609736775357e-61,3.5005380269895757e-66,2.5445506355430034e-57,3.535087877766852e-59,4.3182992435033814e-61,1.1494538830678528e-48,3.735160195317959e-66
