Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CF3(1),O2(2),H2O(3),CH4(4),CH2CF2(57),HF(38),O2(161),S(164),CF2O(49),S(125),C2HF(58),S(463),C2HF(468),C2H2F3(68),S(165),S(464),S(130),C2H2F2(59),C2H3F2(65),C2H2F3(67),CF2(43),CHFCF2(55),CF2CH(73),C2HF2(72),S(179),C2H3F2(64),CHF2(82),CHF3(42),S(1244),S(1385),CF2O2(181),CF2O2(276),CH2F2(41),S(203),S(1542),CHO2(322),C2F(467),S(174),S(413),S(1894),C2H3F2(66),C2HF4(54),CHFO(47),S(2753),S(512),CF2CF2(61),C2HF3(169),C2HF4(69),C2HFO(577),S(3833),S(2867),F(37),S(344),CFO(51),C1OO1(180),CH2O2(318),C2H2O(623),S(3850),S(970),S(2764),CHF2O(206),CF3(45),S(1375),C3HF3(994),CH2F(46),S(2131),CF3O2(511),S(1368),C2HF5(81),CH2CFO(79),C2F5(3279),CF3CCH(84),CHF2O(207),CHO2(457),CHFO2(635),S(10638),S(1089),S(846),CHF3O(248),CFO2(459),S(989),CF4(44),S(8587),S(1369),CHO3(1570),S(2143),CF3O(48),CH3F(39),S(1373)
0.0,0.5903365092063205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.9750773119178479,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9232234151065532e-21,0.5903365092063205,9.487894299701435e-28,1.7240690108239273e-31,9.147718702562824e-42,1.4594804224472285e-42,0.0,0.0,1.8030757871327063e-23,4.520332835775345e-42,3.9443655784689563e-54,4.5890708498642594e-54,4.737931255082096e-59,2.803740820307491e-70,1.1883460106052426e-48,5.7474561049339216e-40,1.989824865779545e-24,2.230877451787777e-39,7.487109344103114e-91,6.53819902770318e-72,1.5021987722554887e-86,1.7261483930959155e-85,2.5732678491484195e-27,1.0745934562789055e-75,5.311391672489126e-43,9.803235195516373e-88,2.375760869282631e-85,2.8582012339178866e-64,9.873343252066394e-62,5.33576619951024e-62,1.283306772260753e-58,1.0142533096821603e-95,3.16813438434869e-99,3.9977374797168547e-97,3.76,0.0,0.9750773119178479,0.9999999999999993,7.703032241054305e-55,4.1025403645123975e-40,1.2905979316222998e-19,1.2905979316222998e-19,5.545267952803435e-16,1.7883937054860194e-43,2.2223345288863596e-39,1.8031706660757025e-23,1.2345531452709736e-41,2.0495576527760243e-39,1.773549183469129e-63,1.7743045942445454e-39,1.9010020263735377e-43,1.1795467770520627e-46,6.870305628190512e-44,3.0308676416352175e-42,8.494911589675673e-30,2.3101228497378863e-40,3.0653468200587625e-30,3.588444001954311e-49,1.2160229527184268e-43,2.185763085952068e-50,1.799144621656283e-57,6.088729899483094e-44,7.273156518402929e-56,2.5732678491490322e-27,1.0930109784583068e-72,5.09221035953506e-77,1.7458355304753247e-50,3.2756573438452116e-49,6.035808342661528e-64,1.4713443184884398e-44,4.894973642924437e-77,1.0979815474520262e-52,1.101855737087198e-68,1.5975569456690364e-59,6.42590472087582e-57,1.2198820929727177e-67,5.07412616666809e-47,1.8590405311809077e-69,5.293498116941208e-57,8.209080670360369e-85,7.858581624859412e-51,2.3241688771591144e-73,1.5047177200051934e-60,6.0129373633062465e-71,3.7000637002166047e-65,5.563364444843121e-83,8.544860429103065e-81,8.494911589641581e-30,4.1736758482221407e-66,5.755149422963654e-67,4.632520717227304e-56,7.276703984158783e-58,8.614350615369487e-107,2.9825310055011447e-112,8.295708365250595e-56,5.466754277168554e-86,2.268485070962532e-65,1.9898248657795446e-24,2.4788863875976634e-69,3.625324562321305e-71,2.1341540558061352e-41,1.4623007269382134e-85,8.130247567366638e-40,3.804829756946949e-68,1.911420836380887e-84,5.1474196584598496e-67,1.4992037009503393e-68,2.048941104857497e-83,1.7131349418054833e-69,3.7584581372562644e-72,1.490847092118255e-63,1.192270247840727e-83,1.8329237064812708e-71,3.089840405517151e-75,1.0580112549112971e-77,5.327040407039109e-48,2.4956715033563375e-68,1.1401059748972622e-46,-1.1331345596474845e-122,2.571895250547064e-73,3.864411893547504e-102,1.6315986376162307e-73,1.2393234472059987e-41,3.0653468200374155e-30,1.3473755687049003e-67
5.385025562298349e-21,0.5903365092063205,2.6566104039164572e-27,4.827393230751493e-31,5.525222096349806e-41,8.815261751594768e-42,0.0,0.0,5.048612203971574e-23,2.730281032808307e-41,4.682750814757567e-53,5.448144913399508e-53,5.624880346930252e-58,3.328601101867782e-69,7.177609904053831e-48,3.4714634873786285e-39,5.571509624182726e-24,1.347449980884203e-38,1.8372675320962072e-89,7.76214988573521e-71,3.360359193513864e-85,4.868014914777144e-84,7.205149977613713e-27,2.4045579978828317e-74,3.2080805701833094e-42,2.5053980614965186e-86,7.464280366789632e-84,4.319313704703778e-63,1.4920596322522714e-60,8.063409880699855e-61,1.523541800027842e-57,6.170200267805175e-94,1.8967072156300938e-97,2.432126672390917e-95,3.76,0.0,0.9750773119178479,0.9999999999999984,9.145039876871847e-54,2.477934380165489e-39,3.61367420854244e-19,3.61367420854244e-19,1.5526750267754653e-15,1.0801897982144177e-42,1.3422900554517464e-38,5.048877865011964e-23,7.456700997436682e-41,1.2379328222765405e-38,2.105557590614546e-62,1.071679974923676e-38,1.1482052239386614e-42,7.124462533399983e-46,4.1496645994249724e-43,1.8306440555476927e-41,2.3785752451201476e-29,1.3953142012416883e-39,8.582971096233703e-30,2.1674358472300897e-48,7.344778634419193e-43,1.3202009053299676e-49,2.1603408066021804e-56,3.6775928592877666e-43,4.39298656080248e-55,7.205149977617414e-27,2.471699952684366e-71,1.1515361101371386e-75,1.0544846605278602e-49,1.9784970356832304e-48,7.175904028019199e-63,8.886919683703856e-44,1.106933631956273e-75,1.3035236931301145e-51,1.3081231310699194e-67,2.4142270899805966e-58,3.8812464514237048e-56,1.8424049543313507e-66,3.0647722046838494e-46,2.3517676997005874e-68,6.28444096443262e-56,1.951363197152107e-83,4.748128555334049e-50,3.5122840071894246e-72,9.088502210281644e-60,7.138606500945849e-70,4.428742989606948e-64,1.25425301707861e-81,1.9264272689724767e-79,2.3785752450995558e-29,6.30725894188136e-65,6.832513394967581e-66,2.799148308943082e-55,8.638902969980837e-57,4.944644634426918e-105,1.4018590367628792e-110,9.848664971224043e-55,1.2228987994253768e-84,2.6931454762546088e-64,5.5715096241827236e-24,3.746093108970769e-68,5.478590478621184e-70,1.2890290497069108e-40,4.123985162437877e-84,4.910669530689398e-39,5.749858728741288e-67,4.026116701094388e-83,7.022467056595187e-66,2.2655966328931974e-67,6.442197999990851e-82,2.033865206731763e-68,8.407520514683563e-71,1.7699336677736546e-62,3.3623928621744524e-82,2.1760614315882356e-70,3.668282816362649e-74,3.3265566672417175e-76,3.2175324058732244e-47,3.771458775900563e-67,6.886240088380714e-46,1.1198572908400372e-121,3.8866481026560436e-72,2.350910338332179e-100,2.465671861184207e-72,7.48551362112375e-41,8.582971096104767e-30,2.0361539594313308e-66
1.230862985668194e-20,0.5903365092063205,6.0722523518093095e-27,1.1034041672384606e-30,2.660156598708059e-40,4.2441690684968023e-41,0.0,0.0,1.15396850376493e-22,1.314512788643468e-40,4.597552518259273e-52,5.3490209839678206e-52,5.522544543424234e-57,3.268040300146469e-68,3.455710198837294e-47,1.671360235312594e-38,1.273487914098908e-23,6.487391629863386e-38,3.78675685086802e-88,7.620924786828344e-70,6.639507313075895e-84,1.0588997689826782e-82,1.6468914234536853e-26,4.7516516362804025e-73,1.5445526983596525e-41,5.251502428833564e-85,1.6649735001632385e-82,4.6465205819792595e-62,1.6050896658019258e-59,8.674248395219731e-60,1.4958223737467478e-56,2.785523376593491e-92,8.5460814960023e-96,1.097979746724165e-93,3.76,0.0,0.9750773119178479,0.9999999999999964,8.978654380583542e-53,1.1930187380002048e-38,8.259826762382719e-19,8.259826762382719e-19,3.548971489727721e-15,5.200648897035614e-42,6.462548810066054e-38,1.154029226288447e-22,3.590080546447992e-40,5.960113654270007e-38,2.067248928251604e-61,5.159677760062694e-38,5.528113892827332e-42,3.430122027675526e-45,1.997884876674654e-42,8.813763101875527e-41,5.436743417469142e-29,6.717837247037845e-39,1.9618219648860254e-29,1.0435430208428422e-47,3.536194746505021e-42,6.356199075172388e-49,2.1317257337173015e-55,1.770602654769649e-42,2.1150339504057874e-54,1.646891423455467e-26,4.909384787279975e-70,2.287224974439262e-74,5.076889724433703e-49,9.525611555912711e-48,7.049811360545747e-62,4.278669278214899e-43,2.198633829836762e-74,1.279807291694796e-50,1.2843230471488305e-66,2.597115003238447e-57,1.8686530928527514e-55,1.981603069080331e-65,1.4755558892915655e-45,2.3723971466550012e-67,6.170101405106723e-55,3.96647520321427e-82,2.2875934173875604e-49,3.778354860307725e-71,4.375729901950252e-59,7.008826306678442e-69,4.363953107198232e-63,2.4875938663535284e-80,3.8207352050005676e-78,5.436743417370005e-29,6.785061353096457e-64,6.708202167482776e-65,1.3487957181756519e-54,8.481726163896817e-56,2.2009287820819963e-103,5.891957295935074e-109,9.669477670531556e-54,2.4162753973978846e-83,2.644146198737927e-63,1.273487914098907e-23,4.0298760226999815e-67,5.893617634610554e-69,6.2061199942843144e-40,8.970602666765122e-83,2.364275992590139e-38,6.185435639415583e-66,7.025806414793814e-82,7.294091976682196e-65,2.4372254726172e-66,1.437218903096101e-80,1.9968746816035644e-67,1.6611843748491696e-69,1.737731370606709e-61,7.313938913810402e-81,2.1365005347605403e-69,3.601593266161664e-73,7.421364930988666e-75,1.5491033503993756e-46,4.0571632496702807e-66,3.315428175003076e-45,6.178040001172233e-120,4.181078671006115e-71,1.0613133027672748e-98,2.6524572732611963e-71,3.603952584474317e-40,1.9618219648239487e-29,2.1904015145454148e-65
2.6155838445449123e-20,0.5903365092063205,1.2903536247595905e-26,2.3447338562762752e-30,1.1617602752283613e-39,1.853540136528917e-40,0.0,0.0,2.45218307050047e-22,5.740822701434665e-40,4.0664831367680563e-51,4.73114848624474e-51,4.884629562903738e-56,2.8905446360959296e-67,1.509199433465814e-46,7.299269253243444e-38,2.706161817460177e-23,2.8332143638365738e-37,6.865483828194986e-87,6.740621669885562e-69,1.1814662113104314e-82,1.963022425759089e-81,3.499644274835334e-26,8.455841545744881e-72,6.745467424059273e-41,9.589240860606034e-84,3.118112932958268e-81,4.2709529398700965e-61,1.475353935469771e-58,7.973128716603992e-59,1.3230379499291344e-55,1.0517606290188679e-90,3.223510352673349e-94,4.145763936662862e-92,3.76,0.0,0.9750773119178479,0.9999999999999925,7.941518119642319e-52,5.210226262930739e-38,1.755213187006328e-18,1.755213187006328e-18,7.541564415480284e-15,2.271260007484616e-41,2.8223648517517637e-37,2.452312105862941e-22,1.5678824944941367e-39,2.602938219022787e-37,1.8284582661893058e-60,2.253366834690112e-37,2.4142725736307065e-41,1.4980244068644435e-44,8.725288147769434e-42,3.84920190487705e-40,1.1553079762342472e-28,2.9338560191671863e-38,4.168871675522004e-29,4.557566768252101e-47,1.544349149952232e-41,2.7759191410903604e-48,1.889732864972629e-54,7.732686972343172e-42,9.236909135375177e-54,3.499644274843114e-26,8.756861600706399e-69,4.0797194391160995e-73,2.2172111255755024e-48,4.1600848266946156e-47,6.237252048948741e-61,1.868607284532517e-42,3.92169955955543e-73,1.1319750561290406e-49,1.1359691907074013e-65,2.387196010852932e-56,8.160898995740272e-55,1.821299704637187e-64,6.444140231921486e-45,2.1235522135791494e-66,5.45738481864181e-54,7.148160474631462e-81,1.0004350099315351e-48,3.472959069950806e-70,1.9110026356541373e-58,6.199405587692249e-68,3.8661368049315677e-62,4.4341695423659614e-79,6.8105119187753166e-77,1.1553079761909514e-28,6.236640346824305e-63,5.933328849257438e-64,5.900441144805317e-54,7.501990739427151e-55,8.263509329288749e-102,2.159465921427284e-107,8.552543496229217e-53,4.2997525417814103e-82,2.33871736880947e-62,2.7061618174601716e-23,3.7041503514980814e-66,5.417249987279443e-68,2.710375650873864e-39,1.6630011560350711e-81,1.0325414410554805e-37,5.6854810095176195e-65,1.1440853660036954e-80,6.610157899709791e-64,2.240230106377613e-65,2.691751921432822e-79,1.7662185070978442e-66,2.955988838252153e-68,1.537003718160945e-60,1.3558810110856413e-79,1.88976481565414e-68,3.185659972402424e-72,1.3899395177368933e-73,6.765341317274496e-46,3.729232014238307e-65,1.4479345881214043e-44,2.432763941682543e-118,3.843131635196543e-70,4.007317093433898e-97,2.4380652123495016e-70,1.5739407779508658e-39,4.168871675250898e-29,2.0133563648318194e-64
5.385025562298349e-20,0.5903365092063205,2.6566104039172676e-26,4.827393237196675e-30,4.8501204561247504e-39,7.738165200003635e-40,0.0,0.0,5.048612203971529e-22,2.3966804695280667e-39,3.4181241004318956e-50,3.9768153785633806e-50,4.105826045623722e-55,2.429676935010319e-66,6.300610548203395e-46,3.047301226815593e-37,5.571509624182705e-23,1.1828112249971165e-36,1.1681524456692999e-85,5.6658986667364e-68,1.9927200347224376e-81,3.373936439407002e-80,7.205149977586712e-26,1.426244513197503e-70,2.816099864752009e-40,1.636922673388728e-82,5.3856006906226895e-80,3.6538901591202864e-60,1.2621963533322546e-57,6.821179480259176e-58,1.1120931159313395e-54,3.6490462187558765e-89,1.1177607585589605e-92,1.4383583084041345e-90,3.76,0.0,0.9750773119178479,0.9999999999999845,6.675324491926527e-51,2.175166901264467e-37,3.61367420854244e-18,3.61367420854244e-18,1.552675026637762e-14,9.4820634400819e-41,1.1782817672747756e-36,5.0488778650119e-22,6.545600776226704e-39,1.0866754674993598e-36,1.5369293456073613e-59,9.407362958680429e-37,1.0079112745054149e-40,6.25395701200463e-44,3.6426360440373436e-41,1.6069660235952837e-39,2.37857524527905e-28,1.2248271349310906e-37,8.582971097236635e-29,1.9028116070292877e-46,6.447353695311567e-41,1.1588916079098974e-47,1.5901176550673697e-53,3.228244592705614e-41,3.8562279060074475e-53,7.205149977619195e-26,1.4786425117215205e-67,6.888822586896639e-72,9.256419999426733e-48,1.7367535237168081e-46,5.243489431037893e-60,7.801067577095494e-42,6.621997641438631e-72,9.514932412589277e-49,9.548505520679422e-65,2.042296400283757e-55,3.407014683213542e-54,1.5581086989833893e-63,2.690301693795131e-44,1.7949755887465874e-65,4.587260772171559e-53,1.2128522630779769e-79,4.1881762696699457e-48,2.9711896028821767e-69,7.978113532695098e-58,5.211273538035951e-67,3.2522067842532e-61,7.484978072975452e-78,1.1496297535133272e-75,2.3785752450982976e-28,5.335577120887731e-62,4.987320407836412e-63,2.471588334810593e-53,6.305875245260955e-54,2.859478603505352e-100,7.38738381880235e-106,7.188928137975016e-52,7.25256465829397e-81,1.9658328668251872e-61,5.571509624182683e-23,3.1689786117074816e-65,4.634571417117444e-67,1.1315284803884771e-38,2.8582762667853634e-80,4.310657260217049e-37,4.8640487038883685e-64,1.8319378225704394e-79,5.619125028627769e-63,1.916564021074032e-64,4.649332033013694e-78,1.4846152447295325e-65,4.9857072319505696e-67,1.2919442366044914e-59,2.3304130290987437e-78,1.5885525213280547e-67,2.6778931109339294e-71,2.400774863342644e-72,2.8243968241134794e-45,3.190436502206049e-64,6.044841878922142e-44,8.604714901801015e-117,3.28788002594088e-69,1.3903244593003893e-95,2.0858161193882913e-69,6.570892917079429e-39,8.58297109610482e-29,1.7224687585751898e-63
1.0923908997805224e-19,0.5903365092063205,5.389123962234055e-26,9.792712010416552e-30,1.9814324618718818e-38,3.161292974397133e-39,0.0,0.0,1.0241470470913564e-21,9.791221735602651e-39,2.8023846518750173e-49,3.2604335209920283e-49,3.366204485499078e-54,1.9919959462056113e-65,2.5740049927897026e-45,1.244921982135858e-36,1.1302205237627728e-22,4.8321697961708995e-36,1.9268894116434823e-84,4.6452460466185604e-67,3.2730636919724578e-80,5.592060312120233e-79,1.4616161383041796e-25,2.34264586764939e-69,1.1504686818263734e-39,2.704279210860708e-81,8.948120645591519e-79,3.0211070429519637e-59,1.0436083534193542e-56,5.639883102955676e-57,9.117611262752288e-54,1.2152847454153178e-87,3.7215406118850343e-91,4.790334043175529e-89,3.76,0.0,0.9750773119178479,0.9999999999999685,5.472834324581651e-50,8.886266531148379e-37,7.330596251614663e-18,7.330596251614663e-18,3.149712196574112e-14,3.873732313316047e-40,4.8136654834494336e-36,1.0242009383309706e-21,2.6740914947827403e-38,4.439423858197911e-36,1.2600675348887593e-58,3.8432147233139375e-36,4.117646430238332e-40,2.5549455010288736e-43,1.4881356802637984e-40,6.564980546490012e-39,4.825109783649198e-28,5.003818497446788e-37,1.741116994243659e-28,7.774564035561463e-46,2.633954356504924e-40,4.734450441811625e-47,1.3043443839990393e-52,1.3188432511473634e-40,1.5753950648441308e-52,1.4616161383174505e-25,2.430009119911977e-66,1.1321128385432214e-70,3.7815496066941934e-47,7.095204833147798e-46,4.299209289822945e-59,3.1869906480164505e-41,1.0882626822466535e-70,7.800916459330903e-48,7.828441722257273e-64,1.6886101397227336e-54,1.391876666334306e-53,1.2882541378255576e-62,1.0990760243977693e-43,1.4756307882899567e-64,3.7609135316486076e-52,1.9979031534133276e-78,1.7204512083078474e-47,2.4566370211445593e-68,3.259363590346209e-57,4.273008215159344e-66,2.667344831975069e-60,1.2298975930742437e-76,1.8890193840592615e-74,4.825109782910767e-28,4.411558344052764e-61,4.088906591803037e-62,1.0164830708954428e-52,5.169937510870433e-53,9.511124253918454e-99,2.4433893831307523e-104,5.893917624240425e-51,1.1913684921805839e-79,1.611708554921496e-60,1.1302205237627634e-22,2.6201727985863205e-64,3.831953271974619e-66,4.622663051038862e-38,4.737385104677134e-79,1.7610441440812535e-36,4.021689530353514e-63,2.9256217505915335e-78,4.631924264005797e-62,1.5846521955359464e-63,7.724934693111391e-77,1.217178136635161e-64,8.189039099051047e-66,1.059213941264311e-58,3.862488691783656e-77,1.302541101419476e-66,2.1957510344742716e-70,3.988923342064812e-71,1.1538582605814365e-44,2.637914597346846e-63,2.4695151458807097e-43,2.8970144847374173e-115,2.718482787153675e-68,4.630360939761664e-94,1.7245931034543764e-68,2.6844241595803435e-38,1.741116993781276e-28,1.4241704789131232e-62
2.200167586881897e-19,0.5903365092063205,1.0854151078873354e-25,1.9723349602372625e-29,8.00926681477215e-38,1.2778451650440586e-38,0.0,0.0,2.06271870047973e-21,3.957768373697285e-38,2.2694437477865496e-48,2.6403836051662854e-48,2.7260397589514434e-53,1.6131699631984254e-64,1.0404539728755679e-44,5.032173697620799e-36,2.2763596464517637e-22,1.9532402915691686e-35,3.1302964557003266e-83,3.7618406854159824e-66,5.305826085999869e-79,9.105246934387894e-78,2.943818419376128e-25,3.797558049392972e-68,4.6503783560524876e-39,4.3962485650227325e-80,1.458758457785916e-77,2.4567140741885992e-58,8.486449811916856e-56,4.586259274514874e-56,7.383677990591146e-53,3.966891819806705e-86,1.21459666169139e-89,1.5636448706867844e-87,3.76,0.0,0.9750773119178479,0.9999999999999365,4.432043128818759e-49,3.591971011068054e-36,1.476444033775911e-17,1.476444033775911e-17,6.343786535474341e-14,1.565824541488001e-39,1.945760552508611e-35,2.0628272419904865e-21,1.0809105372357105e-37,1.7944861037554112e-35,1.0204353592098475e-57,1.55348883887873e-35,1.6644185230354925e-39,1.0327498216061683e-42,6.015282351947115e-40,2.6536701019004596e-38,9.718178861511671e-28,2.0226234408427474e-36,3.506756763991927e-28,3.14337739270028e-45,1.064686464205646e-39,1.913740635845554e-46,1.0565591165443295e-51,5.330975286030382e-40,6.3679998648003574e-52,2.9438184194297705e-25,3.940216150420634e-65,1.8357006374326187e-69,1.5285628187694234e-46,2.867995236159164e-45,3.48172278624474e-58,1.2882325756910981e-40,1.7645983961029407e-69,6.3173844003532e-47,6.339675072741398e-63,1.373149714477355e-53,5.626188027982365e-53,1.0475786719877142e-61,4.442641018559799e-43,1.1966343707711718e-63,3.045685286197311e-51,3.243404653270837e-77,7.03069456897816e-47,1.9976964273009503e-67,1.3175223616932903e-56,3.4611886191455915e-65,2.160479617798382e-59,1.994106853533065e-75,3.062780610482188e-73,9.718178858526819e-28,3.587405980984269e-60,3.3113025705116497e-61,4.163427833969037e-52,4.186749435774526e-52,3.102637159890068e-97,7.948409783187424e-103,4.773047302218866e-50,1.9316894720021122e-78,1.305203374269542e-59,2.2763596464517246e-22,2.1306810057142055e-63,3.1160807620781003e-65,1.868554315253394e-37,7.713605035968045e-78,7.118421997107542e-36,3.270371136366057e-62,4.673816775625434e-77,3.761035639797817e-61,1.288612848493749e-62,1.259359320925718e-75,9.8570275659556e-64,1.3274785267366726e-64,8.577789117946435e-58,6.289061551213652e-76,1.0550741326575262e-65,1.7785850407871238e-69,6.502951799820706e-70,4.664079576400985e-44,2.145108341722611e-62,9.982175061210523e-43,9.537400097126705e-114,2.21062505564696e-67,1.5114269351004748e-92,1.4024104707617495e-67,1.085087165549597e-37,3.506756762122902e-28,1.1581117814978182e-61
4.415720961084647e-19,0.5903365092063205,2.178420531217486e-25,3.9584624968350025e-29,3.220490960258599e-37,5.138159207506809e-38,0.0,0.0,4.139862007256345e-21,1.5914012561659345e-37,1.8266457653134898e-47,2.1252104455636594e-47,2.194153995120304e-52,1.298419528962586e-63,4.18361966403155e-44,2.0234149114513215e-35,4.568637891829689e-22,7.853893307451215e-35,5.0471845425181674e-82,3.0278566575369677e-65,8.545026507792216e-78,1.4695990359631145e-76,5.90822298144375e-25,6.11587275475791e-67,1.8698966838567356e-38,7.090021593413101e-79,2.3558898768902416e-76,1.981428901631965e-57,6.844629216068313e-55,3.6989842535477045e-55,5.943026412261328e-52,1.2820308894054244e-84,3.9250808601072336e-88,5.0534301162356404e-86,3.76,0.0,0.9750773119178479,0.9999999999998727,3.5672938890440664e-48,1.4443157454880085e-35,2.9632128510048005e-17,2.9632128510048005e-17,1.273193520938492e-13,6.29611165241581e-39,7.823817605659315e-35,4.1400798493093396e-21,4.346293730052274e-37,7.215549698763528e-35,8.213351529618395e-57,6.246510296198228e-35,6.692553680805389e-39,4.152641610902722e-42,2.4187185774616522e-39,1.0670290767098898e-37,1.9504317021725326e-27,8.132879897419794e-36,7.038036306321574e-28,1.2645609194244068e-44,4.2810574459546734e-39,7.695067489622881e-46,8.505174342766326e-51,2.1435617160308028e-39,2.560545645836557e-51,5.908222981659445e-25,6.346449584881954e-64,2.9567366618814e-68,6.1462839136257575e-46,1.1532082705870033e-44,2.802437995215113e-57,5.179926529665099e-40,2.8422133014546692e-68,5.084780564089351e-46,5.102722037807824e-62,1.1074949871711257e-52,2.262265461762279e-52,8.449065966696605e-61,1.786366414766498e-42,9.638614233451788e-63,2.4514324869634727e-50,5.22746295534984e-76,2.888416512559557e-46,1.6112145409500243e-66,5.297984845397672e-56,2.787146752304187e-64,1.7390995862455255e-58,3.2117593659607406e-74,4.932992581626412e-72,1.9504317009723373e-27,2.8933728878342174e-59,2.6652243862161963e-60,1.718038023314771e-51,3.369860184542231e-51,1.0024055583460067e-95,2.564422236336776e-101,3.841763714516556e-49,3.1123107287213337e-77,1.0505412259454526e-58,4.568637891829533e-22,1.7184714213489483e-62,2.513232023648594e-64,7.513374719631331e-37,1.2449790829180608e-76,2.8622861770774896e-35,2.6376728001197806e-61,7.471215368931815e-76,3.031196474992498e-60,1.0393129460352702e-61,2.0338686661344023e-74,7.933794702732671e-63,2.137863242832053e-63,6.90415093585482e-57,1.0150570704054544e-74,8.496059493349641e-65,1.4322182536487009e-68,1.0502284526932243e-68,1.8754058851620316e-43,1.7301075903521147e-61,4.013788688959692e-42,3.115134688316664e-112,1.7829491936639846e-66,4.884670710551726e-91,1.1310948510423929e-66,4.363087768788316e-37,7.038036298806304e-28,9.340591073721011e-61
8.846827709490144e-19,0.5903365092063205,4.36443137788695e-25,7.93071764285659e-29,1.291560915101668e-36,2.060631652428128e-37,0.0,0.0,8.29414862080904e-21,6.382230808833237e-37,1.4657681884533543e-46,1.7053475606541477e-46,1.7606704134147156e-51,1.0418999003314311e-62,1.6778186021809759e-43,8.114798788892548e-35,9.15319438258532e-22,3.1497624915995685e-34,8.108395896826509e-81,2.4296642818011978e-64,1.3717164553794788e-76,2.361633548173793e-75,1.1837032105273894e-24,9.817348332776784e-66,7.499122033958814e-38,1.1389074071945894e-77,3.7870169891406643e-75,1.5915914488696745e-56,5.497978413250428e-54,2.9712253118414214e-54,4.768904417055372e-51,4.122819209999073e-83,1.26220118365968e-86,1.625107407256995e-84,3.76,0.0,0.9750773119178479,0.9999999999997449,2.862528685526614e-47,5.792352125412549e-35,5.93675048546258e-17,5.93675048546258e-17,2.5508232541646564e-13,2.5250224040217227e-38,3.1377007900121557e-34,8.294585063946324e-21,1.7430581784892166e-36,2.893758152495314e-34,6.590697343705152e-56,2.5051300107674064e-34,2.684013360562171e-38,1.665395017577255e-41,9.700143293276658e-39,4.279263838032167e-37,3.907659336010746e-27,3.261648590810702e-35,1.4100595402313306e-27,5.076449456639123e-44,1.7168955107984568e-38,3.0860666846270576e-45,6.825293429009023e-50,8.596641212686134e-39,1.0268940552230842e-50,1.1837032106138928e-24,1.0188139307174582e-62,4.74653498767787e-67,2.4649347871223913e-45,4.624880950289496e-44,2.2487978250519216e-56,2.0773822173455894e-39,4.5626873171002216e-67,4.0802161722422894e-45,4.0946130771305836e-61,8.896001999417163e-52,9.072696329312633e-52,6.786730405155677e-60,7.164128300323217e-42,7.7380805831869426e-62,1.9671201849634268e-49,8.395404338915827e-75,1.207636739264357e-45,1.294215142195855e-65,2.1249577785765463e-55,2.238565642860859e-63,1.3955809087218953e-57,5.1558344448720786e-73,7.918928596616017e-71,3.907659331197427e-27,2.3241144542276217e-58,2.1386747210215132e-59,7.24255583039111e-51,2.7041005711711796e-50,3.2230853040964815e-94,8.239815512578506e-100,3.082773435008107e-48,5.000392483733728e-76,8.429931733764695e-58,9.153194382584692e-22,1.380369701751318e-61,2.0187646388306962e-63,3.013199306471246e-36,2.0006480620759047e-75,1.1479047758845678e-34,2.118722237960908e-60,1.1947965587127614e-74,2.43393828768398e-59,8.348326793515075e-61,3.2693844785251835e-73,6.366371147868335e-62,3.4317439681253516e-62,5.540146322509816e-56,1.6311694637449252e-73,6.82381968941185e-64,1.1503214075268719e-67,1.688211564589659e-67,7.521216402168182e-43,1.3897165052496708e-60,1.6097087853980063e-41,1.0197604967854004e-110,1.4321617547210739e-65,1.5708369143072421e-89,9.085568968412419e-66,1.7497933391386222e-36,1.4100595372173712e-27,7.502870715371102e-60
