Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CF3(1),O2(2),H2O(3),CH4(4),CH2CF2(57),HF(38),O2(161),S(164),CF2O(49),S(125),C2HF(58),S(463),C2HF(468),C2H2F3(68),S(165),S(464),S(130),C2H2F2(59),C2H3F2(65),C2H2F3(67),CF2(43),CHFCF2(55),CF2CH(73),C2HF2(72),S(179),C2H3F2(64),CHF2(82),CHF3(42),S(1244),S(1385),CF2O2(181),CF2O2(276),CH2F2(41),S(203),S(1542),CHO2(322),C2F(467),S(174),S(413),S(1894),C2H3F2(66),C2HF4(54),CHFO(47),S(2753),S(512),CF2CF2(61),C2HF3(169),C2HF4(69),C2HFO(577),S(3833),S(2867),F(37),S(344),CFO(51),C1OO1(180),CH2O2(318),C2H2O(623),S(3850),S(970),S(2764),CHF2O(206),CF3(45),S(1375),C3HF3(994),CH2F(46),S(2131),CF3O2(511),S(1368),C2HF5(81),CH2CFO(79),C2F5(3279),CF3CCH(84),CHF2O(207),CHO2(457),CHFO2(635),S(10638),S(1089),S(846),CHF3O(248),CFO2(459),S(989),CF4(44),S(8587),S(1369),CHO3(1570)
0.0,0.7809214709476753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.9766143322944081,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.155613955753386e-22,0.7809214709476752,1.3245759826930502e-25,1.594368752370033e-27,7.539389686050319e-40,8.540721119062827e-41,0.0,0.0,3.656648857654742e-22,1.3948573924787968e-40,7.283241164528692e-53,8.469521034475448e-53,1.832065641241285e-56,3.5606953832688326e-65,3.558010249673371e-44,1.1337818757528247e-37,3.375456357206925e-22,1.3104261424959418e-37,4.983996991995325e-84,6.301199886301307e-63,1.6098273653562573e-78,4.508307458381493e-79,5.839417043349595e-24,9.110871894192233e-74,1.261367761883781e-40,2.5042979920720875e-81,1.0411565278096593e-79,8.8743068834922e-60,7.313448395245668e-59,1.6120326591968115e-57,1.2467299964627495e-56,3.83951737031579e-93,7.037815028817763e-95,5.036345527213787e-94,3.76,0.0,0.9766143322944081,0.9999999999999993,1.4591798218951646e-53,4.6828222956852724e-38,7.595273918493218e-18,7.595273918493218e-18,5.453298301279505e-16,3.167948747630243e-42,1.303234734693848e-37,3.6579734336374343e-22,4.100044647831984e-37,1.2998684200460315e-39,6.738688586796918e-57,1.203622114788728e-37,3.251334376671983e-40,7.989928275104003e-44,2.716202299816906e-39,6.340698732182496e-38,8.058118077863673e-26,3.85198981000426e-38,1.5558156947226032e-38,1.5730140294356854e-46,1.7186923350235252e-40,3.309955196609946e-45,3.326308745703588e-55,2.8963924408119985e-40,1.3205565982139989e-48,5.8394170433497096e-24,1.154782063288304e-71,8.508914689807753e-76,3.562354193045529e-54,2.2160652478973186e-57,9.587527537397705e-60,2.8354441737478802e-42,5.494220763842911e-76,2.0196747889020113e-51,3.3477450749431917e-62,1.6712566210064416e-55,8.98218349803797e-51,3.8382335743230306e-64,2.891297117910971e-42,2.992936002523861e-65,1.219784788346866e-55,2.969938480891444e-82,2.2114179539661817e-48,2.881352254490139e-79,7.565080940304181e-56,1.3001601868197997e-66,1.5139518987568207e-59,3.9394187775234457e-78,3.970662428894794e-76,8.058118077855313e-26,1.3559573304162015e-73,2.587130084436101e-61,2.3952848892067933e-51,1.1341647478995323e-56,1.3512026599768924e-99,1.085709607547889e-103,2.9960254907844317e-55,2.81780681258474e-83,7.68798912231323e-61,3.3754563572069253e-22,6.596354857460576e-76,2.3426896585470688e-77,1.5351268228847596e-38,2.232738289544412e-96,3.332394576299339e-39,1.0808081729723433e-75,2.717464056930988e-85,2.1520559200221414e-62,3.717074737116431e-76,8.451739941340094e-77,1.9722318072686612e-64,1.0452107703723915e-70,1.3362612511469394e-72,6.385136777117152e-93,8.646464174990923e-68,3.304482123740915e-70,5.4835385625002295e-77,8.690230250008618e-57,1.0617478567740986e-75,4.373405297911001e-43,-7.496107023407265e-131,4.116425841553278e-79,1.1616318208388875e-97
6.035719076109481e-22,0.7809214709476752,3.7088127515406562e-25,4.464232506637662e-27,4.5537913703747384e-39,5.158595555916548e-40,0.0,0.0,1.0238616801433275e-21,8.42493865057193e-40,8.64666393512113e-52,1.0055015372220696e-51,2.1758220753415137e-55,4.227257559016631e-64,2.149038190802679e-43,6.8480425295468e-37,9.451277800179389e-22,7.914973900679535e-37,1.1855414711747158e-82,7.480784505022533e-62,3.601119423271449e-77,1.2714148364667258e-77,1.6350367721378496e-23,2.0451628812128403e-72,7.61866128177789e-40,6.167055989008617e-80,3.2651201462572715e-78,1.3410852562345007e-58,1.1052083214895243e-57,2.4361037545782132e-56,1.4801178518007827e-55,2.3421141925767656e-91,4.139718594503667e-93,3.09964009719026e-92,3.76,0.0,0.9766143322944081,0.9999999999999984,1.7323382852608605e-52,2.8284246665939045e-37,2.1266766971781016e-17,2.1266766971781016e-17,1.5269235243572773e-15,1.9134410439677258e-41,7.871537797554886e-37,1.0242325614184812e-21,2.476426967290519e-36,7.851205257077418e-39,8.000171090245286e-56,7.2698775733237395e-37,1.963805963512046e-39,4.8259166781630154e-43,1.6405861890891983e-38,3.8297820342382495e-37,2.2562730618045234e-25,2.3266018452425726e-37,9.397126796124584e-38,9.501049895126511e-46,1.0380901703542105e-39,1.9992129387969796e-44,4.552167110390981e-54,1.7494210342503984e-39,7.976161853447661e-48,1.6350367721379196e-23,2.9601238463128855e-70,2.1811424060238766e-74,2.15173863717248e-53,2.6309126623026272e-56,1.1627070276035537e-58,1.712608280945339e-41,1.4083673809098118e-74,2.3977579093834643e-50,3.974442952972593e-61,2.5256010177578096e-54,5.42523883282007e-50,4.556750897827291e-63,1.74634345922039e-41,3.611758179203362e-64,1.4481285007254053e-54,6.748204052309603e-81,1.335699202051339e-47,9.057595492129389e-78,4.569310024720333e-55,1.543556892180373e-65,1.802303294834012e-58,8.835458022960932e-77,8.905532312032676e-75,2.2562730617994743e-25,4.2633468000014264e-72,3.0714408362443107e-60,1.4467523342780408e-50,1.3464803887061414e-55,6.287497613212289e-98,4.921152181419447e-102,3.556881462658963e-54,6.303347343620181e-82,9.127180686014336e-60,9.45127780017939e-22,2.07399950886342e-74,7.365791116817392e-76,9.272166010223996e-38,1.0668339005319983e-94,2.0127663240847775e-38,3.3982338251326588e-74,8.095309624506026e-84,2.8246794684904833e-61,1.1687077705452053e-74,2.657362265396387e-75,2.341433601591271e-63,2.3380946848910674e-69,2.989162968365633e-71,3.6775118646161196e-91,1.026512694789218e-66,3.92309825273434e-69,1.7241122606721058e-75,1.0317041352810254e-55,3.3383051413548432e-74,2.641536799938276e-42,1.3027878991052438e-128,1.2942701473978226e-77,7.066773242554389e-96
1.3795929316821672e-21,0.7809214709476753,8.477286289236326e-25,1.0203960015179202e-26,2.1924545207039494e-38,2.4836417014273695e-39,0.0,0.0,2.340255268899031e-21,4.0562452973283344e-39,8.489345936295706e-51,9.872073718068046e-51,2.1365828308375187e-54,4.150346538737757e-63,1.0346693806049602e-42,3.29703769468882e-36,2.160292068612431e-21,3.810719222384148e-36,2.410540689115215e-81,7.344678587489642e-61,7.115205140245255e-76,2.76560498315229e-76,3.737226907743484e-23,4.0471724071106535e-71,3.6680574515578113e-39,1.2729858671166228e-78,7.280208325189857e-77,1.4426783214395354e-57,1.188932678718296e-56,2.6206492534030382e-55,1.4531884838772137e-54,1.057431090354565e-89,1.860429385623655e-91,1.3998261972614455e-90,3.76,0.0,0.9766143322944081,0.9999999999999964,1.7008200014047817e-51,1.361764723585277e-36,4.8609753078356606e-17,4.8609753078356606e-17,3.4901109128119934e-15,9.212394963980205e-41,3.789806608495656e-36,2.3411029975279535e-21,1.1922929835895413e-35,3.780017365492938e-38,7.854615416770432e-55,3.500133109805351e-36,9.45488036739402e-39,2.323471142400532e-42,7.898716287864363e-38,1.8438751913187023e-36,5.157195569851615e-25,1.1201586367492379e-36,4.5243120402534185e-37,4.5743925336014285e-45,4.997957310248424e-39,9.625349712410299e-44,4.733651655827101e-53,8.422709217880549e-39,3.8401785879524024e-47,3.737226907743819e-23,6.212122763450191e-69,4.57735050770285e-73,1.0360476561970114e-52,2.5830456529457972e-55,1.1522777866356458e-57,8.245471657283117e-41,2.9556030492229295e-73,2.3541329339410716e-49,3.902131659353884e-60,2.7169256408064952e-53,2.612018961237143e-49,4.473845049239013e-62,8.407892018917556e-41,3.571702511054097e-63,1.421781149297124e-53,1.3434148434649128e-79,6.43084477797012e-47,2.020584176828086e-76,2.1999272425171514e-54,1.515487540759668e-64,1.771676566088806e-57,1.7479682955881182e-75,1.7618314858528222e-73,5.157195569827304e-25,9.511292184423435e-71,3.0155588264240867e-59,6.965492375769867e-50,1.3219824301511258e-54,2.6254153449705486e-96,2.0360097247736745e-100,3.492167312057354e-53,1.245446548543013e-80,8.961120120980657e-59,2.160292068612432e-21,4.6269788137211435e-73,1.643267479001647e-74,4.464148800948952e-37,5.554016020106599e-93,9.690603427878124e-38,7.58127272728905e-73,1.7779300471299388e-82,2.891493706322231e-60,2.607322745561727e-73,5.928429032805313e-74,2.2988333945581576e-62,4.619681094687741e-68,5.906082308449152e-70,1.649150674900866e-89,1.0078457148332343e-65,3.851757297262627e-68,3.846399610280474e-74,1.0129332379410116e-54,7.447575130453317e-73,1.271786260632565e-41,3.3873067918998553e-126,2.887445501143222e-76,3.190279240566706e-94
2.931634979824605e-21,0.7809214709476753,1.8014233364629504e-24,2.1683415032287393e-26,9.575024901289235e-38,1.0846715821250086e-38,0.0,0.0,4.973042446410427e-21,1.7714688884480645e-38,7.508730346148436e-50,8.731737406298076e-50,1.8899214503647803e-53,3.6709345123340074e-62,4.5186730170846e-42,1.4399029822056794e-35,4.590620645801413e-21,1.6642412009759404e-35,4.3447017507690295e-80,6.496285034816089e-60,1.2661127384484517e-74,5.126965552391185e-75,7.941607178954163e-23,7.206854824465642e-70,1.6019370575921695e-38,2.3094207167037564e-77,1.3631978125260836e-75,1.3260699289951683e-56,1.0928339668047665e-55,2.408828161984534e-54,1.2853287571533493e-53,3.9927367978878727e-88,7.007743134443973e-90,5.285918184355836e-89,3.76,0.0,0.9766143322944081,0.9999999999999926,1.5043560301917847e-50,5.947184315520291e-36,1.032957252915078e-16,1.032957252915078e-16,7.416485689705678e-15,4.023294915504188e-40,1.655108113067278e-35,4.974843869746884e-21,5.207056702746622e-35,1.6508328934575056e-37,6.94731838544403e-54,1.528600085781405e-35,4.129194658406083e-38,1.0147208909385031e-41,3.449576920764164e-37,8.052687389872098e-36,1.095904058598892e-24,4.892027058705395e-36,1.9758859322977965e-36,1.9977978112525226e-44,2.182739265479888e-38,4.2036431003854906e-43,4.291829179974008e-52,3.678418399830469e-38,1.6771068800863444e-46,7.941607178955627e-23,1.134905496603805e-67,8.362455876815304e-72,4.525378746047557e-52,2.2846746279652508e-54,1.0234360734560006e-56,3.6010141006848987e-40,5.399652057859275e-72,2.082203920359878e-48,3.4513912624636377e-59,2.497322500920804e-52,1.1407373042587799e-48,3.9570652752978405e-61,3.6719473397804688e-40,3.1693251966442423e-62,1.2575493253941205e-52,2.3987215490731835e-78,2.8085435483013943e-46,3.784246937831991e-75,9.607670412900535e-54,1.3404568829090096e-63,1.567887478453332e-56,3.112226395632877e-74,3.1369095588166046e-72,1.0959040585882747e-24,1.7813597626326122e-69,2.6672276318614e-58,3.042015857847433e-49,1.169278488493306e-53,9.597229847001943e-95,7.412405167949513e-99,3.088782439977057e-52,2.216246107633735e-79,7.926009265565752e-58,4.590620645801418e-21,8.665819240435339e-72,3.0776581242348976e-73,1.9496110650637173e-36,2.2163250131832333e-91,4.232141111899793e-37,1.4198884782503297e-71,3.3095295587533727e-81,2.60443848405962e-59,4.883226944438547e-72,1.110329146649201e-72,2.0332921040337633e-61,8.220475679365076e-67,1.0509557907117903e-68,6.204517011098214e-88,8.914449568370584e-65,3.40690005133533e-67,7.203880780777121e-73,8.959279778549031e-54,1.3948483980230752e-71,5.554224728347443e-41,5.934235455542668e-124,5.407865863856742e-75,1.2045887389034298e-92
6.035719076109481e-21,0.7809214709476752,3.708812751542321e-24,4.464232506660422e-26,3.997384411548677e-37,4.5282903373633773e-38,0.0,0.0,1.0238616801433177e-20,7.39553389492251e-38,6.311540292575943e-49,7.339551417219855e-49,1.5886476229020272e-52,3.0856416480131373e-61,1.8864570343762986e-41,6.011311505237801e-35,9.451277800179365e-21,6.947879407568098e-35,7.37219564900503e-79,5.4605190023334654e-59,2.135484192783366e-73,8.81194386559035e-74,1.6350367721373172e-22,1.2159587300941754e-68,6.687771873505714e-38,3.9305421056239004e-76,2.354333134930633e-74,1.1344807428334542e-55,9.349424667101268e-55,2.0608032071251486e-53,1.0803962672545601e-52,1.38527815336759e-86,2.4281534692164618e-88,1.8339997773236642e-87,3.76,0.0,0.976614332294408,0.9999999999999847,1.2645018876753823e-49,2.4828323811723266e-35,2.1266766971781017e-16,2.1266766971781017e-16,1.5269235243430052e-14,1.679646431383072e-39,6.909750563401366e-35,1.0242325614184698e-20,2.1738436722805194e-34,6.891902363075467e-37,5.839639710300599e-53,6.381604452607318e-35,1.7238574865407587e-37,4.2362599714627836e-41,1.4401304593599472e-36,3.361838467803451e-35,2.2562730618436002e-24,2.0423249972642439e-35,8.248934813420053e-36,8.340750328890823e-44,9.112506760294819e-38,1.7549382458643658e-42,3.6491592881486415e-51,1.5356672721178291e-37,7.001591086908584e-46,1.6350367721379283e-22,1.9377759604380133e-66,1.4278339488873573e-70,1.8898302219443558e-51,1.9204066867712064e-53,8.619484852278302e-56,1.503352500943707e-39,9.219548221159633e-71,1.7502178572539964e-47,2.9011023180249395e-58,2.136511882565468e-51,4.76235369073135e-48,3.326151784743585e-60,1.532965731946579e-39,2.668059629306731e-61,1.0570459810248447e-51,4.0523563029480505e-77,1.1725322712807779e-45,6.536280937834399e-74,4.0110217712157383e-53,1.1267773662146093e-62,1.3182447246541228e-55,5.2506728012864204e-73,5.2923160486489595e-71,2.2562730617992745e-24,3.076855997060999e-68,2.241965537111118e-57,1.269983691956657e-48,9.828490238915985e-53,3.2794944866959965e-93,2.5279435932251697e-97,2.5963077539021948e-51,3.7381597327416605e-78,6.662288365617104e-57,9.451277800179388e-21,1.4968047700810594e-70,5.315889050093395e-72,8.139242414935643e-36,7.87695990310433e-90,1.7668356043535783e-36,2.452504244849957e-70,5.700648809785415e-80,2.2078005100027372e-58,8.434560173740854e-71,1.9178174814784025e-71,1.7091045284918764e-60,1.3865033763173449e-65,1.7725905519629895e-67,2.1484272530401073e-86,7.493415218338564e-64,2.863813014612873e-66,1.244291257021145e-71,7.530814490973733e-53,2.4092537332859205e-70,2.3187794889528347e-40,8.817744312120139e-122,9.340743438550846e-74,4.1792779233986287e-91
1.2243887268679233e-20,0.7809214709476753,7.523591581704002e-24,9.056014513563972e-26,1.6330619635613043e-36,1.8499543573041894e-37,0.0,0.0,2.076976551147851e-20,3.021316906404713e-37,5.1745820597286854e-48,6.017407689806331e-48,1.3024910975225411e-51,2.529795449655891e-60,7.706792521198081e-41,2.4558168941525358e-34,1.9172592108935235e-20,2.8384354417380536e-34,1.2144205945195038e-77,4.476863388830278e-58,3.5075392006208424e-72,1.4605150807258072e-72,3.3167888806201775e-22,1.9975533679075334e-67,2.732173026948972e-37,6.484188792112758e-75,3.911551492360352e-73,9.380106168954814e-55,7.730285114905139e-54,1.7039119436775288e-52,8.85774134688002e-52,4.6135744683823476e-85,8.081363409208335e-87,6.108096824433593e-86,3.76,0.0,0.9766143322944077,0.999999999999969,1.0367150455215335e-48,1.0143180405346083e-34,4.3141155857041484e-16,4.3141155857041484e-16,3.097473435062683e-14,6.861903750853666e-39,2.82285856478238e-34,2.0777289103060123e-20,8.880860708989998e-34,2.81556699254923e-36,4.7876894506748315e-52,2.6070936455148413e-34,7.042520313493911e-37,1.730650424102858e-40,5.8834028294702084e-36,1.3734207081859035e-34,4.577011068402008e-24,8.343564008061495e-35,3.3699590273976313e-35,3.4077446616021894e-43,3.7227563453544273e-37,7.169495359329341e-42,3.008362835421401e-50,6.273701882490554e-37,2.860378416680697e-45,3.316788880622675e-22,3.2016553002624237e-65,2.359112830208747e-69,7.725261253406804e-51,1.5744654278888764e-52,7.073494858426233e-55,6.141685498296044e-39,1.5232831880801248e-69,1.4349343430753706e-46,2.3784989575365048e-57,1.766509303574467e-50,1.9455768744696537e-47,2.7269801740103154e-59,6.262665209535426e-39,2.1890626968726888e-60,8.666301592724303e-51,6.661292833219084e-76,4.790345475353195e-45,1.0860077786918985e-72,1.6386402172318187e-52,9.238700016937935e-62,1.0809122989207711e-54,8.625403021766723e-72,8.69381135829429e-70,4.577011068220923e-24,5.112242257391144e-67,1.838098801193749e-56,5.188313731403714e-48,8.057990110212949e-52,1.0841497350960509e-91,8.348893442642092e-96,2.1286099589531408e-50,6.140387803105314e-77,5.462146520682452e-56,1.917259210893532e-20,2.486963512100555e-69,8.832429162576644e-71,3.3251461034418523e-35,2.6531448464241973e-88,7.218099948044614e-36,4.0748724831203344e-69,9.459286625724026e-79,1.8174951223357452e-57,1.401414787818908e-69,3.18648242886291e-70,1.4012271522229937e-59,2.2773359589903495e-64,2.9114853043549514e-66,7.147952795834426e-85,6.144018985522934e-63,2.34810443837065e-65,2.06740853350627e-70,6.1742167123476475e-52,4.003011111291807e-69,9.47297081149071e-40,1.2139260010785745e-119,1.5519784925788302e-72,1.3918740405985387e-89
2.4660223653818738e-20,0.7809214709476753,1.5153149242039116e-23,1.8239578527531797e-25,6.601097560875383e-36,7.477811294605789e-37,0.0,0.0,4.183206293156849e-20,1.2212646002699758e-36,4.190510712332136e-47,4.873052760574534e-47,1.0547997541892547e-50,2.0486939445054656e-59,3.1152087580773774e-40,9.926804537490735e-34,3.8615220726446795e-20,1.1473409882479543e-33,1.971458986867686e-76,3.6254800428855574e-57,5.685872199248121e-71,2.378070223604124e-71,6.680293097582136e-22,3.238391721686884e-66,1.1043880211803616e-36,1.0533741089048915e-73,6.376646345422393e-72,7.627746555965306e-54,6.286139474114522e-53,1.385592894744921e-51,7.173228595150234e-51,1.5059507404692254e-83,2.637001888517433e-85,1.9938025367503092e-84,3.76,0.0,0.9766143322944073,0.9999999999999376,8.395587225232441e-48,4.10003569534261e-34,8.68899336275624e-16,8.68899336275624e-16,6.238573256401245e-14,2.7736912275092875e-38,1.141044565529625e-33,4.184721608081016e-20,3.58978589132e-33,1.1380971954284762e-35,3.877195046387578e-51,1.0538289353572841e-33,2.8466993110296388e-36,6.995565721429085e-40,2.3781654911793597e-35,5.5515860935669415e-34,9.218487081794789e-24,3.3726019741694993e-34,1.3621913198835477e-34,1.3776880135322447e-42,1.5047976365452345e-36,2.8980246568117826e-41,2.442856882407633e-49,2.535930608763237e-36,1.1562106906596956e-44,6.680293097592231e-22,5.205091420393263e-64,3.835327916530133e-68,3.1264643217916778e-50,1.2750429242592207e-51,5.730980400854474e-54,2.4825674755938736e-38,2.4764777933150106e-68,1.1620470341906868e-45,1.926170122563394e-56,1.4364960135555272e-49,7.864332797838932e-47,2.2083792195209186e-58,2.531469409202923e-38,1.7734313788552422e-59,7.018195718831029e-50,1.0802602914149589e-74,1.9364705062359311e-44,1.7704628144174966e-71,6.623701920238438e-52,7.482869992818537e-61,8.754049085358242e-54,1.3983075013432832e-70,1.4093975211447562e-68,9.218487081062816e-24,8.334245142873167e-66,1.4885400651648938e-55,2.0972122707766218e-47,6.525569308721258e-51,3.5259189726173683e-90,2.713955575946093e-94,1.7238035326949307e-49,9.955289655078098e-76,4.423387868226337e-55,3.861522072644716e-20,4.054378201911279e-68,1.43990887250209e-69,1.3440772195235555e-34,8.707836126373159e-87,2.917671406487425e-35,6.643070592193415e-68,1.541118039425512e-77,1.4748093848892648e-56,2.284659802974664e-68,5.194770585685891e-69,1.1347500771682832e-58,3.6916597265274383e-63,4.719643142776847e-65,2.332023376270955e-83,4.976338144768361e-62,1.9018433556360155e-64,3.37039769663852e-69,5.0000407710377485e-51,6.525918419243173e-68,3.82912626177831e-39,1.6107624014296345e-117,2.530116642050411e-71,4.5433086910870346e-88
4.949289642409774e-20,0.7809214709476754,3.0412264562756384e-23,3.660670655611035e-25,2.654272296559848e-35,3.0067950330554057e-36,0.0,0.0,8.395665777174573e-20,4.9106512445168966e-36,3.372887587576688e-46,3.922256810197526e-46,8.489980805007303e-50,1.6489671188795803e-58,1.2526117404355535e-39,3.9915244448420785e-33,7.750047796146925e-20,4.6134076520100565e-33,3.177253302115145e-75,2.9181017482932425e-56,9.156921907051833e-70,3.838215020443519e-70,1.3407301531491002e-21,5.215548026855285e-65,4.44069566041049e-36,1.6982330645917747e-72,1.0298163619125891e-70,6.152053931856348e-53,5.0699992169147675e-52,1.1175308661612139e-50,5.773638430150991e-50,4.8669776933842777e-82,8.520891752362974e-84,6.44365416225118e-83,3.76,0.0,0.9766143322944064,0.9999999999998748,6.757498998471121e-47,1.6486063204851507e-33,1.7438748916860413e-15,1.7438748916860413e-15,1.252077289867521e-13,1.1152890587337838e-37,4.5880900131862956e-33,8.398707003630699e-20,1.4434371184478412e-32,4.576238767460296e-35,3.1207038816778907e-50,4.2373997999840544e-33,1.144645272809641e-35,2.8128862089783196e-39,9.562498844429237e-35,2.232268351461414e-33,1.85014391096842e-23,1.3561084205711494e-33,5.477311385903269e-34,5.541417367235713e-42,6.05072511314418e-36,1.1652829702997026e-40,1.9688627466104604e-48,1.0196865443537116e-35,4.6490723441656e-44,1.3407301531531591e-21,8.394690126395047e-63,6.185556946405404e-67,1.2601856318905109e-49,1.0262654716422234e-50,4.613862473967428e-53,9.982294632721948e-38,3.9940246961867125e-67,9.353165488965939e-45,1.5503492876532783e-55,1.1585860697016378e-48,3.162213629622827e-46,1.7774956768500325e-57,1.017892715719531e-37,1.4277169691852362e-58,5.648854483745023e-49,1.7401179818249064e-73,7.787558650523041e-44,2.859299268231248e-70,2.663406578770843e-51,6.024685734773324e-60,7.046236406893839e-53,2.2520050926815878e-69,2.269865814407015e-67,1.8501439106740965e-23,1.3459828167643738e-64,1.1981065445496161e-54,8.432902096280857e-47,5.252345891308343e-50,1.1374447908954724e-88,8.752988921541238e-93,1.3874670506222914e-48,1.6037378133933006e-74,3.560327382501845e-54,7.750047796147074e-20,6.547831625901599e-67,2.3254566752835647e-68,5.404475385042356e-34,2.821817978210205e-85,1.1731828401626142e-34,1.0728576750919757e-66,2.4881392901922524e-76,1.1882351466346168e-55,3.689731684441275e-67,8.389568371818836e-68,9.133455831803021e-58,5.9453041818364554e-62,7.600839782945948e-64,7.534771044073049e-82,4.006600871234858e-61,1.5312318061816362e-63,5.443201283026675e-68,4.0244678062477734e-50,1.0539375678688785e-66,1.5396748287531334e-38,2.098994824407311e-115,4.086145135197445e-70,1.4683188626386733e-86
9.915824196465575e-20,0.7809214709476757,6.093049520437901e-23,7.33409626158391e-25,1.0644819061614523e-34,1.205859290532826e-35,0.0,0.0,1.6820584745208926e-19,1.9693907832961285e-35,2.70652987201917e-45,3.147364079055198e-45,6.812688797614979e-49,1.3231922645735533e-57,5.023533323428527e-39,1.6007798276674273e-32,1.5527099243151152e-19,1.850182808280711e-32,5.102068573559861e-74,2.341592877606928e-55,1.469888766395634e-68,6.167908793516e-69,2.686131839924852e-21,8.372284329501064e-64,1.7809175747876038e-35,2.727485067283814e-71,1.6553886850636918e-69,4.941664281713735e-52,4.0724990894110454e-51,8.976615656357373e-50,4.632981229133027e-49,1.565147908890986e-80,2.739958788195846e-82,2.072187240364451e-81,3.76,0.0,0.9766143322944046,0.9999999999997491,5.422467373850599e-46,6.611648702343999e-33,3.4938260025068735e-15,3.4938260025068735e-15,2.508517218161048e-13,4.472808073380977e-37,1.8400293027532384e-32,1.6826677794728768e-19,5.788828438006084e-32,1.835276423013355e-34,2.5041683299800676e-49,1.6993868421260334e-32,4.5905394997437545e-35,1.1280931792169313e-38,3.834989729762225e-34,8.952394495789256e-33,3.706734316987843e-23,5.4386013008054215e-33,2.1966468444883426e-33,2.2237955290014649e-41,2.4266113956660723e-35,4.673305910655074e-40,1.5809432229855455e-47,4.0893991087962725e-35,1.8644859520852165e-43,2.686131839941131e-21,1.3484975242225988e-61,9.9362908009985e-66,5.078356387884864e-49,8.235134090044715e-50,3.7027621103285626e-52,4.003346617277087e-37,6.415879958610011e-66,7.505326262670629e-44,1.2440576657553877e-54,9.306393353937222e-48,1.2681890991037657e-45,1.4263282678189716e-56,4.082205054369206e-37,1.1458339337042979e-57,4.5328499707785794e-48,2.7937275859011135e-72,3.1240383489371667e-43,4.596238554626112e-69,1.068181391314e-50,4.837353311302965e-59,5.654247347457761e-52,3.615026079492234e-68,3.643696962852331e-66,3.706734315807475e-23,2.163628067011681e-63,9.61405047960304e-54,3.3820541638171402e-46,4.2146767965047956e-49,3.654535273744474e-87,2.811940304855806e-91,1.11335492848788e-47,2.57586040032753e-73,2.8569385030412774e-53,1.5527099243151746e-19,1.0525448101933854e-65,3.738103687949329e-67,2.1674363504729885e-33,9.086690579324872e-84,4.704987907894486e-34,1.7245873786932365e-65,3.9990446588058954e-75,9.539556419991421e-55,5.931135919988487e-66,1.3485986130938476e-66,7.329023100862884e-57,9.543529897442264e-61,1.2201031183703258e-62,2.4227593994345467e-80,3.2169883783563745e-60,1.2294598546975175e-62,8.749787088198149e-67,3.22938196238531e-49,1.6941738589192514e-65,6.174784699707869e-38,2.7107860188048826e-113,6.568358964380453e-69,4.721893419983901e-85
