Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CF3(1),O2(2),H2O(3),CH4(4),CH2CF2(57),HF(38),O2(161),S(164),CF2O(49),S(125),C2HF(58),S(463),C2HF(468),C2H2F3(68),S(165),S(464),S(130),C2H2F2(59)
0.0,0.5127804198391197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5544245942292276,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.2959107354068677e-21,0.5127804198391197,8.941162917913157e-29,9.057438992496875e-33,5.16077774798386e-44,7.146800032415476e-44,0.0,0.0,3.1290049185200465e-24,2.910815342421857e-43,1.440142887129388e-61,5.551248579006206e-82,1.6252040439786103e-60,4.4800222561483544e-117,3.2651016899427333e-91,5.188432229211779e-68,7.018665844833468e-93,1.7630459335008355e-40,-3.079412926437814e-135,7.824017370404603e-87,-1.4154363247384187e-127,-4.01804805670939e-146,1.1554473139214256e-69,9.031832567082972e-104,3.489013448145766e-67,4.306115266042147e-135,1.570992085704701e-130,-3.869241214254233e-124,3.645298988397174e-198,-1.285923108116129e-160,1.605337316638777e-65,-1.2608368254393357e-167,1.5220170318219916e-140,-8.917278425076687e-167,3.76,0.0,0.5544245942292276,0.9999999999999998,4.124284982349982e-58,-3.718162100883311e-129,1.457326280800096e-20,1.457326280800096e-20,3.605551269550777e-16,1.8035229481983943e-44,1.7630459335008355e-40,3.1290943301492254e-24,1.610634550892431e-43,6.289834959910431e-40,3.902499733557126e-66,1.3405368604340198e-40,6.096978897143147e-45,2.4893844250694737e-60,8.458798439644452e-46,4.0606545644809313e-44
6.42855005913923e-21,0.5127804198391197,2.503525617015719e-28,2.536082917917818e-32,3.117109759782263e-43,4.316667219578998e-43,0.0,0.0,8.761213771856126e-24,1.758132466822801e-42,1.7097376356058548e-60,1.5649413564492388e-80,1.9294422410176204e-59,2.5802449159836015e-115,1.0265927116630477e-89,7.84075878483868e-67,2.204224750427735e-91,1.0648797438382692e-39,1.5958099619051135e-133,2.4599962455330095e-85,7.335058269172421e-126,2.1896778406635976e-144,1.745283110546449e-68,5.494504504104811e-102,4.142156765651955e-66,3.3227916374032384e-133,1.2122478738024114e-128,1.1542472759169803e-122,2.0346609705058542e-195,2.2507401384830053e-158,1.9058564623196202e-64,2.58038022327546e-165,1.6218537519704177e-138,1.824975951642133e-164,3.76,0.0,0.5544245942292276,0.999999999999999,4.896351137669437e-57,1.3178006878312846e-127,4.0805135862402694e-20,4.0805135862402694e-20,1.0095543554668132e-15,1.0893278607692331e-43,1.0648797438382692e-39,8.761464124417823e-24,9.728232687390283e-43,3.799060315785494e-39,4.633047683679015e-65,8.096842637021348e-40,3.6825752539068664e-44,3.7619577431649797e-59,5.109114257542867e-45,2.4526353569465066e-43
1.4693828706603954e-20,0.5127804198391197,5.722344267464663e-28,5.796760955328853e-32,1.500754169113724e-42,2.0782894494264955e-42,0.0,0.0,2.002563147852827e-23,8.464651015762752e-42,1.6786305492558198e-59,3.403630741680536e-79,1.894337833680377e-58,1.1570881758829884e-113,2.2902682217362406e-88,8.434730506562636e-66,4.9158962428580465e-90,5.126937574675826e-39,1.6748675684757296e-131,5.488116299579079e-84,7.698442036532094e-124,5.781941989204422e-142,1.8772105935605346e-67,2.4804819759708527e-100,4.066794075199176e-65,3.621341361193738e-131,1.3211670324324925e-126,1.4890806634275094e-120,2.5723121401701704e-192,5.849502891836693e-156,1.8711811762926052e-63,1.4299161519068388e-162,3.690948370570092e-136,1.0113093285561992e-161,3.76,0.0,0.5544245942292276,0.9999999999999977,4.807266584832593e-56,1.5832220400056328e-125,9.326888197120616e-20,9.326888197120616e-20,2.307552812460667e-15,5.244644734203532e-43,5.126937574675826e-39,2.0026203712954993e-23,4.68372527399519e-42,1.8290840063413434e-38,4.54875368943417e-64,3.8982811901419326e-39,1.7730014633369108e-43,4.0469424721469206e-58,2.459818586245033e-44,1.1808383473510908e-42
3.1224386001533406e-20,0.5127804198391197,1.21599815683631e-27,1.2318117030450022e-31,6.554187739939677e-42,9.076436041168424e-42,0.0,0.0,4.2554466891872495e-23,3.6967354848757497e-41,1.4847297109519879e-58,6.309419778322524e-78,1.6755203612195394e-57,4.35325206801233e-112,4.289416199388666e-87,7.752970511850346e-65,9.205765948243589e-89,2.239068335602802e-38,1.337204212820225e-129,1.0278634447511191e-82,6.146389193689292e-122,9.952823240537376e-140,1.7253765278535252e-66,9.36582797279022e-99,3.5970333045845803e-64,2.962482903499429e-129,1.0807966640606844e-124,1.2780511682154913e-118,1.9823986083384942e-189,1.0246557707472766e-153,1.6550385600002978e-62,5.2417605865294686e-160,6.237527160882341e-134,3.707239318220864e-159,3.76,0.0,0.5544245942292276,0.9999999999999951,4.25197285487528e-55,1.328343599914781e-123,1.981963741888131e-19,1.981963741888131e-19,4.9035497263299065e-15,2.290474145074043e-42,2.239068335602802e-38,4.255568289002924e-23,2.045505879633388e-41,7.988090399079949e-38,4.0233211253080196e-63,1.702481812751002e-38,7.743163199860209e-43,3.7198373586927764e-57,1.0742674018311528e-43,5.1570312968911515e-42
6.42855005913923e-20,0.5127804198391197,2.5035256170162177e-27,2.5360829181888754e-31,2.7362443619812e-41,3.7892333771873773e-41,0.0,0.0,8.761213771856072e-23,1.54331429455206e-40,1.2480047837671154e-57,1.0844021002706232e-76,1.408375821318238e-56,1.5073925101951428e-110,7.408897539918367e-86,6.632829501343365e-64,1.5899771560988714e-87,9.347669539929943e-38,9.525081424725919e-128,1.7753784892203702e-81,4.378152817866976e-120,1.4651317201121779e-137,1.4760564867984124e-65,3.249440810368407e-97,3.0235232301000716e-63,2.1321216442484306e-127,7.778572086775567e-123,9.394091775458109e-117,1.2334057764432966e-186,1.5225328156723633e-151,1.3911596332714257e-61,1.594241946392178e-157,9.13310440508708e-132,1.1275288768594969e-156,3.76,0.0,0.5544245942292276,0.9999999999999899,3.5740393855634644e-54,9.671353362328214e-122,4.0805135862402695e-19,4.0805135862402695e-19,1.0095543553594514e-14,9.562278679069741e-42,9.347669539929943e-38,8.761464124417733e-23,8.539584388831672e-41,3.334870495738842e-37,3.3818438291048034e-62,7.107526434019347e-38,3.232618211703017e-42,3.1823991763956507e-56,4.484854932666253e-43,2.1529590500881216e-41
1.304077297711101e-19,0.5127804198391197,5.078580537376914e-27,5.14462534895518e-31,1.1178451033244284e-40,1.548025474221907e-40,0.0,0.0,1.7772747937193621e-22,6.304942464299363e-40,1.0231897230641162e-56,1.797296602991987e-75,1.1546715888620785e-55,5.015189052529188e-109,1.2309992221154583e-84,5.484151698681171e-63,2.6416997664956595e-86,3.818828014229802e-37,6.425973554053582e-126,2.949817912868165e-80,2.9536630598935546e-118,2.0074518975995413e-135,1.2204166201063536e-64,1.0821994595354962e-95,2.478867017748667e-62,1.4452230801096266e-125,5.272569444550484e-121,6.431187030458302e-115,6.946252020832929e-184,2.0962120633960815e-149,1.1405567177414939e-60,4.4405536213098605e-155,1.2488741372541371e-129,3.1405850591271526e-154,3.76,0.0,0.5544245942292276,0.9999999999999795,2.930213422831432e-53,6.592137352650033e-120,8.277613274944547e-19,8.277613274944547e-19,2.0479531206228237e-14,3.9065028532382407e-41,3.818828014229802e-37,1.7773255795247194e-22,3.4886988626150424e-40,1.3624034116516397e-36,2.7726398934981105e-61,2.9036564611729594e-37,1.3206300174066317e-41,2.631269180609875e-55,1.8322095771926073e-42,8.795540212851084e-41
2.626521881305457e-19,0.5127804198391197,1.0228690378101829e-26,1.0361710212402019e-30,4.5185086356928614e-40,6.2573664747861166e-40,0.0,0.0,3.5795816267868357e-22,2.548558551426712e-39,8.286055658174158e-56,2.926415477373043e-74,9.350829896439679e-55,1.63620795141349e-107,2.006839269460284e-83,4.459621083896345e-62,4.306580814806372e-85,1.543631341337852e-36,4.221606299751406e-124,4.808947693565968e-79,1.9404360890220512e-116,2.6573143924304864e-133,9.924164250825742e-64,3.5324792801488356e-94,2.0074507801562846e-61,9.51601884539249e-124,3.471696481553528e-119,4.2550691213321474e-113,3.7283532100141573e-181,2.782029362296621e-147,9.23652401055282e-60,1.185242768878546e-152,1.651755182250354e-127,8.382638852965942e-152,3.76,0.0,0.5544245942292276,0.9999999999999587,2.372962800794998e-52,4.352428371915011e-118,1.6671812652353101e-18,1.6671812652353101e-18,4.124750650391373e-14,1.5790709156083682e-40,1.543631341337852e-36,3.579683913690549e-22,1.4101878597647665e-39,5.50705241944018e-36,2.2453556712983278e-60,1.1737043670780148e-36,5.338197682474992e-41,2.139704398659197e-54,7.406084056002346e-42,3.555297982624459e-40
5.271411048494169e-19,0.5127804198391197,2.0528910059565746e-26,2.079587994695262e-30,1.8168724492895923e-39,2.5160595386158997e-39,0.0,0.0,7.18419529292163e-22,1.0247641845609355e-38,6.669338465779577e-55,4.7232335456448417e-73,7.526361406094027e-54,5.286590153147544e-106,3.241050659415196e-82,3.5968459666689046e-61,6.955094405650906e-84,6.206873733589302e-36,2.737261820583332e-122,7.766463370431437e-78,1.2581636873247925e-114,3.45859733638472e-131,8.004173724082361e-63,1.1416362632316358e-92,1.6157710324881609e-60,6.176956583170707e-122,2.2535078565857423e-117,2.768581013013868e-111,1.9546222008241967e-178,3.626815293623212e-145,7.434358084704874e-59,3.0978829537212297e-150,2.1489785055846644e-125,2.1909801681290814e-149,3.76,0.0,0.5544245942292276,0.9999999999999172,1.9099669052071777e-51,2.829022953020681e-116,3.346021140717021e-18,3.346021140717021e-18,8.278345706895686e-14,6.34937472349414e-40,6.206873733589302e-36,7.184400582021958e-22,5.670303361798839e-39,2.214361556944286e-35,1.8072575857893256e-59,4.719413638622082e-36,2.14646581111863e-40,1.7257491136336433e-53,2.977953825682835e-41,1.4295696820456417e-39
1.0561189382871592e-18,0.5127804198391197,4.112934942254994e-26,4.166421944668153e-30,7.286471137719028e-39,1.0090524084998639e-38,0.0,0.0,1.4393422625190624e-21,4.1097627170729697e-38,5.351724100979361e-54,7.590099272513345e-72,6.03943103731175e-53,1.699870595381389e-104,5.2098941806657445e-81,2.8891822879344134e-60,1.1180075081787481e-82,2.4892339775392354e-35,1.7632810201273016e-120,1.2484363039597535e-76,8.104770562328538e-113,4.463976926943185e-129,6.429377943058453e-62,3.6713311339400437e-91,1.2965544964242566e-59,3.98124614710379e-120,1.4524450170834102e-115,1.786532344484003e-109,1.0130381953491483e-175,4.687933155019575e-143,5.9656041659994134e-58,8.01312729617793e-148,2.7731427480341637e-123,5.667290615345797e-147,3.76,0.0,0.5544245942292276,0.9999999999998341,1.5326281559268657e-50,1.824607691782164e-114,6.703700891680443e-18,6.703700891680443e-18,1.6585535807773188e-13,2.5463832644080577e-39,2.4892339775392354e-35,1.439383391868377e-21,2.274045258597718e-38,8.880580240629846e-35,1.4502103954885125e-58,1.8926959500173318e-35,8.60828794284416e-40,1.3862155383331449e-52,1.194292676263099e-40,5.733213815678318e-39
