Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CF3(1),O2(2),H2O(3),CH4(4),CH2CF2(57),HF(38),O2(161),S(164),CF2O(49),S(125),C2HF(58),S(463),C2HF(468),C2H2F3(68),S(165),S(464),S(130),C2H2F2(59),C2H3F2(65),C2H2F3(67),CF2(43),CHFCF2(55),CF2CH(73),C2HF2(72),S(179),C2H3F2(64),CHF2(82),CHF3(42),S(1244),S(1385),CF2O2(181),CF2O2(276),CH2F2(41),S(203),S(1542),CHO2(322),C2F(467),S(174),S(413),S(1894),C2H3F2(66),C2HF4(54),CHFO(47),S(2753),S(512),CF2CF2(61),C2HF3(169),C2HF4(69),C2HFO(577),S(3833),S(2867),F(37),S(344),CFO(51),C1OO1(180),CH2O2(318),C2H2O(623),S(3850),S(970),S(2764),CHF2O(206),CF3(45),S(1375),C3HF3(994),CH2F(46),S(2131),CF3O2(511),S(1368),C2HF5(81),CH2CFO(79),C2F5(3279),CF3CCH(84),CHF2O(207),CHO2(457),CHFO2(635),S(10638),S(1089),S(846),CHF3O(248),CFO2(459),S(989),CF4(44),S(8587),S(1369),CHO3(1570),S(2143),CF3O(48),CH3F(39)
0.0,0.6272889615561899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.9331697808120017,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0569803738235199e-21,0.6272889615561899,3.858296722940501e-27,2.0366108943216675e-30,3.142695634965734e-41,4.4390463451536247e-42,0.0,0.0,3.9215904029804776e-23,1.0307035093202759e-41,8.83460439128367e-54,1.0278538031043778e-53,2.3173944621285896e-58,6.005380778894935e-69,1.7371678833629126e-47,2.423260513385728e-39,8.423413969136943e-24,6.700685604383461e-39,5.704310083642615e-89,1.74168224495524e-69,2.115450574471109e-84,1.0346177651512714e-83,2.083335316314245e-26,3.6593431338482073e-75,2.4783474398327598e-42,5.6407544381948834e-86,7.627158013201537e-84,4.999629556932136e-63,7.140196043238106e-61,9.032486034255663e-61,4.86109199773672e-58,5.094809611640269e-95,4.4076746443182324e-98,3.0578795455678593e-96,3.76,0.0,0.9331697808120017,0.9999999999999993,1.7255480503065623e-54,1.4541393781597454e-39,3.8618117011679625e-19,3.8618117011679625e-19,5.522677808151104e-16,4.097040149244574e-43,6.671179938822036e-39,3.9219762326527724e-23,2.024230759084711e-40,1.780646085810098e-39,1.0734132065546642e-61,5.544187325352549e-39,1.4020690890761108e-42,6.1840610347519936e-46,1.1892316526411145e-42,4.66686848719807e-41,1.0063690567866722e-28,9.37153814887261e-40,3.8782465054651736e-29,1.7742203583081816e-48,8.898988476647712e-43,5.9598605917406056e-49,6.659677474909984e-57,5.720368822696258e-43,6.869907391649488e-54,2.0833353163144985e-26,1.9266380436263262e-72,1.0184699431705108e-76,2.4831793448251502e-49,4.6483961686312596e-48,7.744889845597424e-63,6.33014703435439e-44,9.076713304544432e-77,2.4534989466014252e-52,6.36296157333628e-67,1.93114758755013e-58,2.9583221610641883e-55,2.0115637973924752e-66,1.0332857593756062e-45,2.2460428687770756e-68,1.316542881185091e-56,3.645868697846177e-84,3.3919392101323417e-50,1.360454970746572e-71,2.7337523019765213e-59,8.247581275123512e-70,1.196355615249017e-63,1.1565498060322729e-81,1.6045352866371758e-79,1.0063690567839654e-28,9.59284420907417e-65,1.992510044314325e-65,8.554056648598181e-55,1.5649398650637794e-57,6.189474803529059e-105,6.674649204120949e-110,1.227538399082675e-55,2.8244348389584515e-85,3.6536263059025884e-64,8.423413969136943e-24,1.0076004738225193e-67,1.7412683450286448e-69,1.2899462302611552e-40,3.068376678239624e-84,1.3123332477098782e-39,3.631704932465881e-67,3.110948336188202e-82,9.506099781525089e-66,3.297655701399282e-67,1.3074955065762446e-81,3.788599562752717e-68,9.385937450497278e-72,1.1803931069671344e-62,9.59775862073253e-83,1.708877375494117e-70,6.741645292446628e-74,1.1864461640955106e-76,5.383101967403865e-47,5.758960041356824e-67,1.0476358107654268e-45,-4.960188919002583e-120,1.7498687943299837e-71,6.12556825960039e-101,1.1090296535663418e-71,5.184759568463058e-41,3.8782465054522637e-29
2.959545046705856e-21,0.6272889615561899,1.080323082423362e-26,5.702510504287445e-30,1.8981881635197206e-40,2.6811839924758253e-41,0.0,0.0,1.0980453128345332e-22,6.225449196294463e-41,1.0488442333358295e-52,1.2202680351002682e-52,2.75122931420223e-57,7.1295880607026535e-68,1.049249401551062e-46,1.4636493500846552e-38,2.3585559113583436e-23,4.0472141050555733e-38,1.3885485286671722e-87,2.067725161217758e-68,4.732178394535627e-83,2.917787669788112e-82,5.8333388856791e-26,8.190259440826059e-74,1.4969218536589382e-41,1.4248191850489723e-84,2.3955935248810206e-82,7.5554401864445565e-62,1.0790264260541437e-59,1.3649892894967132e-59,5.771088419712712e-57,3.0994353060556345e-93,2.6267777291641033e-96,1.8606334809412756e-94,3.76,0.0,0.9331697808120017,0.9999999999999984,2.0485706454584748e-53,8.78300184408486e-39,1.0813072763270293e-18,1.0813072763270293e-18,1.5463497862771532e-15,2.4746122504156277e-42,4.029392683056472e-38,1.0981533451427753e-22,1.2226353784871655e-39,1.0755102358291656e-38,1.2743561588216943e-60,3.348689144512852e-38,8.468497298058817e-42,3.735172864991568e-45,7.182959181949789e-42,2.8187885662676593e-40,2.8178333590113908e-28,5.660409041919071e-39,1.0859090215344315e-28,1.0716344907809913e-47,5.374989039895179e-42,3.599755798738228e-48,8.104433221276715e-56,3.4551027689085116e-42,4.1494240698502336e-53,5.833338885680633e-26,4.41295179352426e-71,2.33279872014935e-75,1.499840324357862e-48,2.8076312858534465e-47,9.22296384119681e-62,3.823408808759698e-43,2.0790152249390545e-75,2.912793949399119e-51,7.554107979864827e-66,2.9183487556961456e-57,1.786826585287283e-54,3.0352338806401246e-65,6.241045986650134e-45,2.8066348481471776e-67,1.5629997085429444e-55,8.565107040834993e-83,2.0489182693791304e-49,2.0559195517996965e-70,1.651187365615954e-58,9.79157362672919e-69,1.4290415408349548e-62,2.6023435976233114e-80,3.6103521945826153e-78,2.817833358995041e-28,1.449670616880503e-63,2.3655079246151046e-64,5.166906179143794e-54,1.8578966078024098e-56,3.3463302605658043e-103,3.1015006226501793e-108,1.4573335873907587e-54,6.318175581078527e-84,4.337585150375213e-63,2.3585559113583436e-23,1.5226858360464182e-66,2.6314047230167523e-68,7.791275230777407e-40,8.654726504172903e-83,7.926492816167573e-39,5.488232493961832e-66,4.920127375242124e-81,1.2811778701457944e-64,4.983417295972518e-66,4.110974311620521e-80,4.497946074349679e-67,2.0995966639217494e-70,1.4013626965954798e-61,2.706721495193562e-81,2.028788572436257e-69,8.00371818648595e-73,3.7303765713023843e-75,3.251393588322359e-46,8.702940414529689e-66,6.327720297023749e-45,4.90169317883643e-119,2.6444017220009843e-70,3.7264821002100606e-99,1.6759656124754867e-70,3.1315947793515394e-40,1.0859090215266344e-28
6.764674392470528e-21,0.6272889615561899,2.4693099026820732e-26,1.3034309724966097e-29,9.138958906486607e-40,1.2908746771752281e-40,0.0,0.0,2.509817857907501e-22,2.997285805103357e-40,1.0297614878514028e-51,1.1980663930681905e-51,2.701181409508808e-56,6.999871835875551e-67,5.051684204817285e-46,7.046841572920831e-38,5.39098494024764e-23,1.9485593737664263e-37,2.852027684254025e-86,2.0301048247404587e-67,9.349987538046563e-82,6.346825752179167e-81,1.3333346024405672e-25,1.6186511647216588e-72,7.207034355032931e-41,2.9723668891560727e-83,5.343221345019392e-81,8.127797778142778e-61,1.1607673903571327e-58,1.4683931896168611e-58,5.666088832560912e-56,1.399233448953785e-91,1.1828793109374316e-94,8.399841539522047e-93,3.76,0.0,0.9331697808120017,0.9999999999999964,2.011298807627872e-52,4.228637311688537e-38,2.471559488747496e-18,2.471559488747496e-18,3.5345137971806155e-15,1.191419275800165e-41,1.939979126221162e-37,2.5100647888977675e-22,5.886463047418339e-39,5.178118817533758e-38,1.251170433560108e-59,1.6122496742123905e-37,4.077216911090872e-41,1.7983249489078867e-44,3.458285645876549e-41,1.3571253560772363e-39,6.440761963495666e-28,2.7252432936921773e-38,2.482077763526991e-28,5.159513717402941e-47,2.5878258490090945e-41,1.7331274620685207e-47,8.043771119499857e-55,1.663483253640029e-41,1.9977690772815284e-52,1.3333346024413048e-25,8.818693009978569e-70,4.6617857455939835e-74,7.221085536003609e-48,1.3517536058382188e-46,9.067531079473362e-61,1.8408067576047256e-42,4.154633426673132e-74,2.859798372139731e-50,7.416668009880752e-65,3.1394259104833e-56,8.602800844442356e-54,3.263568327148692e-64,3.0047949882964713e-44,2.816979601346868e-66,1.534562382309355e-54,1.7318002342385614e-81,9.866564019952793e-49,2.2116644368679537e-69,7.949766322476933e-58,9.613520658673772e-68,1.406866084434566e-61,5.1564361535448483e-79,7.15376347700318e-77,6.44076196341695e-28,1.5594894973979778e-62,2.3224697076683736e-63,2.4879036184972036e-53,1.8240939067142823e-55,1.4657025875037087e-101,1.297197099948206e-106,1.430818757970168e-53,1.2483770557722022e-82,4.258666822183351e-62,5.39098494024764e-23,1.6380359383030736e-65,2.830745123177402e-67,3.751163637599485e-39,1.8826684878943147e-81,3.8162650843401905e-38,5.903990074675076e-65,5.8112894359414964e-80,1.3247424503774542e-63,5.360932920709927e-65,9.17135717603948e-79,4.4161630066581723e-66,4.1484491955909604e-69,1.375866205493596e-60,5.887710474017954e-80,1.9918964608496146e-68,7.858176128284477e-72,8.322264922846288e-74,1.56540605213668e-45,9.362226160136113e-65,3.046524937706703e-44,2.7039398808558042e-117,2.844726701597758e-69,1.68231214976e-97,1.8029273272296316e-69,1.507728082508835e-39,2.482077763489452e-28
1.437493308399987e-20,0.6272889615561899,5.247283543199846e-26,2.7697908169311806e-29,3.9912234564129447e-39,5.6375888583921635e-40,0.0,0.0,5.333362948053424e-22,1.308993456836745e-39,9.108123743264594e-51,1.0596761572049185e-50,2.3891676052316673e-55,6.191307367800315e-66,2.2062032118687662e-45,3.077540851994848e-37,1.1455842998026226e-22,8.509870717686987e-37,5.163084967991243e-85,1.7956047273017714e-66,1.6637804933388189e-80,1.176594620095508e-79,2.8333360301846253e-25,2.8806251520709728e-71,3.147501248586849e-40,5.416707632461773e-82,1.000635763013139e-79,7.47084645439638e-60,1.0669452143489826e-57,1.3497063231267235e-57,5.011591405984524e-55,5.283239439342196e-90,4.460367608488898e-93,3.1716249723389524e-91,3.76,0.0,0.9331697808120017,0.9999999999999925,1.778971018134969e-51,1.8467570102628742e-37,5.252063913588428e-18,5.252063913588428e-18,7.510841818905046e-15,5.203240993634917e-41,8.472398522423961e-37,5.333887676407737e-22,2.5707730640375827e-38,2.2614205289767512e-37,1.1066460794295783e-58,7.041117903196387e-37,1.780627743185598e-40,7.85375751415559e-44,1.5103241988502765e-40,5.926922978741938e-39,1.3686619172603565e-27,1.1901853449068453e-37,5.274415247579035e-28,2.253343467675566e-46,1.1301715365341974e-40,7.569022972077545e-47,7.149092785497425e-54,7.264868404823798e-41,8.724782467185121e-52,2.833336030187847e-25,1.5773092211848168e-68,8.338058298861805e-73,3.1536377692217493e-47,5.903463134164271e-46,8.025041416847414e-60,8.039286733779589e-42,7.430966932425795e-73,2.5294592739485375e-49,6.559958863646734e-64,2.8856731026534246e-55,3.757069144621472e-53,2.999202393631079e-63,1.3122729144403025e-43,2.5159808455925462e-65,1.3573030487866095e-53,3.1136910325923476e-80,4.3106610869856185e-48,2.0329006537404803e-68,3.471880539449065e-57,8.503220232612433e-67,1.2458760460148664e-60,9.187486086704869e-78,1.2746226357942185e-75,1.3686619172259797e-27,1.4334395245107146e-61,2.0541981553187317e-62,1.0867619376259199e-52,1.6133904032776307e-54,5.467195169162051e-100,4.7445862233398284e-105,1.2655429879170209e-52,2.2214632836916555e-81,3.766742576381797e-61,1.1455842998026226e-22,1.5056372360652088e-64,2.6019424626768906e-66,1.6382317124317153e-38,3.49020839910974e-80,1.6666632245914056e-37,5.426784046623231e-64,6.300257784963753e-79,1.1982784600508945e-62,4.927620961614703e-64,1.7176936702604645e-77,3.906067168294152e-65,7.3819436926915304e-68,1.216938077585516e-59,1.0914822948947245e-78,1.761845102183953e-67,6.95060681905856e-71,1.5586681157585157e-72,6.836539498764483e-45,8.605498810821549e-64,1.3304974796729553e-43,1.064549485472264e-115,2.6147939420592294e-68,6.352090580231249e-96,1.6572008307741122e-68,6.584644651945789e-39,5.274415247415092e-28
2.959545046705856e-20,0.6272889615561899,1.080323082423679e-25,5.70251050699568e-29,1.666257225664649e-38,2.353582372242805e-39,0.0,0.0,1.098045312834523e-21,5.464790006416055e-39,7.655926811827101e-50,8.907216607560691e-50,2.0082406143575138e-54,5.204166896881182e-65,9.210464117570968e-45,1.2848127241925899e-36,2.3585559113583366e-22,3.55270350755165e-36,8.778784233534604e-84,1.5093139666393127e-65,2.806209550605325e-79,2.0222658399837725e-78,5.833338885667716e-25,4.858857331037377e-70,1.3140198125986495e-39,9.238095781105084e-81,1.7282745849511514e-78,6.391466430145064e-59,9.127940939323037e-57,1.154702175635943e-56,4.2125445477628173e-54,1.8330012197478636e-88,1.5463907827914227e-91,1.1003847671147272e-89,3.76,0.0,0.9331697808120017,0.9999999999999845,1.495332331794827e-50,7.709846983002948e-37,1.0813072763270293e-17,1.0813072763270293e-17,1.5463497862023932e-14,2.1722506907983227e-40,3.5370596036709666e-36,1.0981533451427622e-21,1.0732471484667138e-37,9.440985546946488e-37,9.302027101889339e-58,2.9395281199007082e-36,7.43377031080974e-40,3.2787891606439326e-43,6.305306222267742e-40,2.4743736719127685e-38,2.8178333591376767e-27,4.968789526532475e-37,1.0859090215950826e-27,9.407668853367554e-46,4.718243690318059e-40,3.1599181042511467e-46,6.022909445296526e-53,3.0329395497931528e-40,3.642424970561694e-51,5.833338885681169e-25,2.6668181535418177e-67,1.4097480023537036e-71,1.3165816897907216e-46,2.4645796486106062e-45,6.747478735595991e-59,3.35624395774926e-41,1.2563825308955703e-71,2.1261629310696808e-48,5.51404069206798e-63,2.4687540227171757e-54,1.5685024098591894e-52,2.5656597739717873e-62,5.47848109650901e-43,2.1245156426750024e-64,1.1408949961489525e-52,5.2773541562623235e-79,1.8010146303179552e-47,1.739189309240779e-67,1.4494490748524124e-56,7.147755083626796e-66,1.0478361189690203e-59,1.5505544443335214e-76,2.1511562294367668e-74,2.8178333589941604e-27,1.2263376923433694e-60,1.7266773243006605e-61,4.538931524370904e-52,1.3561518480109665e-53,1.886093917071082e-98,1.6215599462513145e-103,1.0637651360283867e-51,3.746967684172581e-80,3.1661740987618205e-60,2.3585559113583366e-22,1.288104354605732e-63,2.2260165571885982e-65,6.83929491284508e-38,5.998825235815714e-79,6.957990879356515e-37,4.642728005459175e-63,7.031403788394322e-78,1.017755415479274e-61,4.215683477035437e-63,2.966888632424405e-76,3.283293139537586e-64,1.2450727005052496e-66,1.0229097802564106e-58,1.8759791900446427e-77,1.4809962509844323e-66,5.842637714415458e-70,2.6922115565862655e-71,2.8541206632629454e-44,7.362185409759958e-63,5.5545650686860306e-43,3.763928930730407e-114,2.2370112683706504e-67,2.2038353074491046e-94,1.4177702008424484e-67,2.748959523197048e-38,1.0859090215266393e-27
6.003648523317594e-20,0.62728896155619,2.191512538631627e-25,1.1567949891906116e-28,6.807204453210426e-38,9.615151945815141e-39,0.0,0.0,2.2274633488928656e-21,2.2325450293280484e-38,6.2767913519296276e-49,7.302674331930186e-49,1.64647749943552e-53,4.2666904445688517e-64,3.7627751220631534e-44,5.248879202375729e-36,4.7844991344697515e-22,1.4513953047427378e-35,1.4475659269143033e-82,1.2374267788272846e-64,4.609209470130648e-78,3.351758348389861e-77,1.1833344596613799e-24,7.98089961910917e-69,5.3681996885695946e-39,1.525513060287719e-79,2.871492240233404e-77,5.284588043390353e-58,7.547158085702737e-56,9.547300885664174e-56,3.4536985314740593e-53,6.104659414327908e-87,5.148213687346749e-90,3.664741879289413e-88,3.76,0.0,0.9331697808120017,0.9999999999999686,1.225963789780298e-49,3.149724058669116e-36,2.1935090462634024e-17,2.1935090462634024e-17,3.1368809946941805e-14,8.874352875866398e-40,1.4450042595594567e-35,2.2276825001467146e-21,4.384564793407848e-37,3.8569506476923135e-36,7.626363822934322e-57,1.2008931514196363e-35,3.036937730148706e-39,1.339492356386988e-42,2.575923328856748e-39,1.0108623818013486e-37,5.716176243115276e-27,2.0299126491985854e-36,2.202844015376521e-27,3.843669393106066e-45,1.9275564999953287e-39,1.290929659285417e-45,4.9433833797988095e-52,1.2390547684709585e-39,1.4880494810803755e-50,1.1833344596668757e-24,4.385415537298336e-66,2.3182423536941552e-70,5.3786657979238824e-46,1.006861203712163e-44,5.532765872593025e-58,1.3711351683432275e-40,2.0660424349269614e-70,1.7431568281812253e-47,4.520743703663774e-62,2.0412135393633181e-53,6.40784413428451e-52,2.121250616086877e-61,2.2381382864915537e-42,1.7456757017296094e-63,9.353746478152783e-52,8.688653855595476e-78,7.369160977410691e-47,1.4379953535905723e-66,5.921532019621174e-56,5.860630679614197e-65,8.59319010655234e-59,2.54754998393607e-75,3.534334468579844e-73,5.716176242528965e-27,1.0139597191357212e-59,1.4156343919629023e-60,1.8558660699067805e-51,1.1118552202293062e-52,6.264196347543552e-97,5.360914808870289e-102,8.721389284965233e-51,6.154882557189719e-79,2.5958208184234257e-59,4.784499134469751e-22,1.0650295899517663e-62,1.8405135365328403e-64,2.7940751325952407e-37,9.942653362999473e-78,2.8425663078684385e-36,3.8386972966949397e-62,8.528254351115967e-77,8.386077570353759e-61,3.4856086223459603e-62,4.929529817593285e-75,2.691845397482394e-63,2.045035649218723e-65,8.386432395026329e-58,3.109297929867754e-76,1.214307424288718e-65,4.79053093427498e-69,4.473149766694245e-70,1.1660014186706653e-43,6.0871972678586575e-62,2.2692210715568828e-42,1.2662938399384543e-112,1.8496041763555698e-66,7.3396917177866365e-93,1.1722398191139693e-66,1.1230396615656238e-37,2.2028440150969086e-27
1.209185547654107e-19,0.6272889615561899,4.413891451049763e-25,2.3298828680852712e-28,2.751580877843489e-37,3.886598149701531e-38,0.0,0.0,4.4862994210094795e-21,9.024303961783146e-38,5.0831083735623303e-48,5.913895017833407e-48,1.3333603707599715e-52,3.455276543408052e-63,1.5209738659292645e-43,2.12168089594235e-35,9.636385580692534e-22,5.866771880293382e-35,2.351131131761859e-81,1.002100288059272e-63,7.471733194897109e-77,5.457472919805862e-76,2.383335601842557e-24,1.2937552716162459e-67,2.1699121442459593e-38,2.479439922794732e-78,4.68120665378356e-76,4.29733923283757e-57,6.137223615263858e-55,7.763706522660696e-55,2.7968946139634378e-52,1.9926625149444725e-85,1.6801475091286274e-88,1.19623297614567e-86,3.76,0.0,0.9331697808120017,0.9999999999999367,9.928172622184474e-49,1.2731688242689937e-35,4.417912586136148e-17,4.417912586136148e-17,6.317943411149796e-14,3.587155334061131e-39,5.840938253822294e-35,4.4867408101545265e-21,1.7723111926551003e-36,1.5590411191258704e-35,6.1760271506462975e-56,4.854202124329326e-35,1.227578787169142e-38,5.4144422709829633e-42,1.0412293949819353e-38,4.086067370231746e-37,1.151286201196231e-26,8.20523148317062e-36,4.4367140033677205e-27,1.5539391755987033e-44,7.791491562748064e-39,5.218144150292426e-45,4.005449457050991e-51,5.00845748197125e-39,6.014934173435738e-50,2.383335601864772e-24,7.113071317172631e-65,3.7601506748379526e-69,2.17414271711264e-45,4.069893968668864e-44,4.480886465147946e-57,5.542347576572079e-40,3.3510865862532627e-69,1.4116535937512997e-46,3.6610154594223864e-61,1.659880939511728e-52,2.590153051913894e-51,1.7249314174907966e-60,9.046912802584124e-42,1.4152636195418482e-62,7.574906410263106e-51,1.4101393006384368e-76,2.987972260996075e-46,1.1693539400583845e-65,2.3936261081657678e-55,4.746850651257196e-64,6.959944155120289e-58,4.130295555089967e-74,5.730150944740842e-72,1.1512862009592351e-26,8.245352042826756e-59,1.1464174334948302e-59,7.514355313684935e-51,9.004091841128989e-52,2.0419599080520536e-95,1.7435337363997135e-100,7.062807160219294e-50,9.978875978204038e-78,2.102163000083071e-58,9.636385580692534e-22,8.660643750953513e-62,1.4966750416117913e-63,1.1294098420129976e-36,1.6189066622215888e-76,1.1490107503650124e-35,3.121564890566316e-61,1.1349978678661395e-75,6.807979085224308e-60,2.8344390445067734e-61,8.036377736468952e-74,2.17992751559401e-62,3.3150909136914806e-64,6.791550387125372e-57,5.062685646468982e-75,9.835351011005763e-65,3.880117367575103e-68,7.2923630844083e-69,4.713164162369268e-43,4.95000772519847e-61,9.172554388494205e-42,4.162698929317277e-111,1.504067398942989e-65,2.3957976253215277e-91,9.532459529510037e-66,4.539505870634313e-37,4.436714002237482e-27
2.4268269382988023e-19,0.62728896155619,8.858649275894985e-25,4.676058633524887e-28,1.1063985691050847e-36,1.5627840222359634e-37,0.0,0.0,9.003971565242414e-21,3.628632932702127e-37,4.0913278394192757e-47,4.760017222430858e-47,1.0732045076645221e-51,2.781107164361969e-62,6.115769019986046e-43,8.531185567539513e-35,1.9340158473137897e-21,2.3590031703709256e-34,3.790233259384088e-80,8.065774927605799e-63,1.2033015357950553e-75,8.808394064082141e-75,4.783337886172751e-24,2.083566664906022e-66,8.72512129579043e-38,3.998273777632785e-77,7.560120490581964e-75,3.4659597733621893e-56,4.94989318190422e-54,6.261710570108253e-54,2.2511841096410582e-51,6.439940932358711e-84,5.429435361011907e-87,3.8660185769429777e-85,3.76,0.0,0.9331697808120017,0.9999999999998731,7.991057057759796e-48,5.11935584638639e-35,8.86671966588164e-17,8.86671966588164e-17,1.268006824194919e-13,1.4423793933505705e-38,2.348615582787271e-34,9.004857430169776e-21,7.126385356588088e-36,6.268835770832525e-35,4.971003953058182e-55,1.9518533246328142e-34,4.936040313829097e-38,2.1771234236322868e-41,4.186737602188912e-38,1.6429897183940162e-36,2.310623355322373e-26,3.2992874914644184e-35,8.904453981063406e-27,6.25046468696678e-44,3.1329244891545817e-38,2.098192865329135e-44,3.224800759270443e-50,2.0138787255032267e-38,2.4185787793651673e-49,4.783337886262077e-24,1.1458679619968204e-63,6.057349910184321e-68,8.742132276409162e-45,1.6364864647643704e-43,3.6067307702105574e-56,2.2285535847927422e-39,5.39837516724765e-68,1.1362216231729539e-45,2.946703742889662e-60,1.3387541063862795e-51,1.0414891504469363e-50,1.391205788850835e-59,3.637723849004331e-41,1.1397972134871729e-61,6.096943680944845e-50,2.2724045630423703e-75,1.2088809541210352e-45,9.431263156401987e-65,9.625052838128456e-55,3.821901773185033e-63,5.602350437529093e-57,6.652199251453326e-73,9.228905129056238e-71,2.3106233543694235e-26,6.650175132517651e-58,9.227364866730845e-59,3.031660670355212e-50,7.247276451672077e-51,6.59480549899148e-94,5.624601314131827e-99,5.6847616528283566e-49,1.6075652106744005e-76,1.6920036667145645e-57,1.93401584731379e-21,6.985122940291067e-61,1.2071226421248506e-62,4.5413073014860714e-36,2.6129245578460943e-75,4.620121691885431e-35,2.5176551712852635e-60,1.6275822574327115e-74,5.486331010219382e-59,2.2860777745461678e-60,1.2978771498289335e-72,1.7545958421712377e-61,5.338851717101757e-63,5.466430604199403e-56,8.171195046429646e-74,7.918881008232806e-64,3.1240560397579315e-67,1.1777185860173435e-67,1.8951425808538515e-42,3.992360557668559e-60,3.6882437772756724e-41,1.3556811863026411e-109,1.2130848461204156e-64,7.742803960988491e-90,7.688273949446902e-65,1.82531534510403e-36,8.904453976518767e-27
4.862109719588192e-19,0.6272889615561899,1.7748164925621244e-24,9.368410195005297e-28,4.43715311109899e-36,6.267462902371514e-37,0.0,0.0,1.8039315853707134e-20,1.4552441005880191e-36,3.2830329282138036e-46,3.819614069403282e-46,8.611790620931949e-51,2.2316633513275704e-61,2.4526969114254618e-42,3.4213869790804427e-34,3.8747704258027835e-21,9.460657805589995e-34,6.087720693023418e-79,6.472276417462178e-62,1.931571680524221e-74,1.4154887402858904e-73,9.583342454704499e-24,3.344596902660687e-65,3.4991638801843106e-37,6.422285321833432e-76,1.2152640104400452e-73,2.7840473773826015e-55,3.9760233904441667e-53,5.029746456337475e-53,1.8064334733495971e-50,2.0709884940264912e-82,1.7459427543208572e-85,1.2432536855992006e-83,3.76,0.0,0.9331697808120016,0.9999999999997459,6.412320029535287e-47,2.0530906631873794e-34,1.776433382537262e-16,1.776433382537262e-16,2.5404317895100625e-13,5.784586570759397e-38,9.418998933417062e-34,1.8041090670198776e-20,2.857999263367148e-35,2.5140835245938985e-34,3.9889176094341434e-54,7.827804819486124e-34,1.979572936846275e-37,8.731238671435304e-41,1.6790690348127802e-37,6.589123615880038e-36,4.6292976650015955e-26,1.3231618483174183e-34,1.783993394330793e-26,2.5084352663709976e-43,1.2564428436222666e-37,8.414692252594311e-44,2.5880459040074906e-49,8.076554418533533e-38,9.699584268232367e-49,9.583342455062734e-24,1.8396355929060521e-62,9.724782315436398e-67,3.5059860708678646e-44,6.5630426602186746e-43,2.8942236706757234e-55,8.937496623045793e-39,8.66683023363644e-67,9.117462955928582e-45,2.3645441767490886e-59,1.0753601005857082e-50,4.1768373121383187e-50,1.1174862485188627e-58,1.4588899653108964e-40,9.149517517273697e-61,4.892413331859077e-49,3.649111592920944e-74,4.9077522943313687e-45,7.57570346496867e-64,3.8603875156859515e-54,3.068798887288283e-62,4.495686054669588e-56,1.0678641433177543e-71,1.4814975470196405e-69,4.6292976611798396e-26,5.34178232102538e-57,7.404379188557987e-58,1.2239899522990022e-49,5.815482934368845e-50,2.1200768837410116e-92,1.807153994063669e-97,4.561663212527372e-48,2.58209697893826e-75,1.3577263841904842e-56,3.874770425802784e-21,5.610830615783627e-60,9.696265527627997e-62,1.8212673428303283e-35,4.198901775304704e-74,1.85287543843637e-34,2.0223175504847865e-59,2.4514635606576508e-73,4.405104124721717e-58,1.8363019916342203e-59,2.086299611396906e-71,1.407952874186648e-60,8.570039380552691e-62,4.386466297878188e-55,1.3130891083804e-72,6.358471429095055e-63,2.508463133554781e-66,1.8931482304182342e-66,7.600369375782602e-42,3.206881115328455e-59,1.4791507154399185e-40,4.412682846362885e-108,9.744157192528792e-64,2.4899697323833886e-88,6.175639745417353e-64,7.320330926061631e-36,1.7839933925081893e-26
