Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CF3(1),O2(2),H2O(3),CH4(4),CH2CF2(57),HF(38),O2(161),S(164),CF2O(49),S(125),C2HF(58),S(463),C2HF(468),C2H2F3(68),S(165),S(464),S(130),C2H2F2(59),C2H3F2(65),C2H2F3(67),CF2(43),CHFCF2(55),CF2CH(73),C2HF2(72)
2.2240925892413255e-19,0.7118282280392425,3.414262555706774e-23,1.35244110125612e-25,4.6291080981279054e-36,9.893733823052529e-36,0.0,0.0,1.0632087962078652e-19,1.3561993621286639e-35,5.407138754421446e-49,3.2646009000074027e-63,4.408645241890888e-49,1.2464890684192274e-80,5.341464371199054e-60,7.394460896925472e-51,1.6831429472463545e-46,1.3233167554470374e-32,2.0162566257881904e-102,2.118820557264074e-66,7.041106385636089e-101,3.756461306108444e-112,5.909073869791607e-40,1.463379645602542e-84,1.1383715832504132e-53,9.66785944909624e-103,6.538576514407144e-106,3.539792089628948e-95,8.147500320528771e-105,2.8016969456003528e-101,1.907104869299016e-52,3.2137246384194063e-108,5.996277956272184e-110,2.911540236379932e-108,3.76,0.0,0.8432079109090439,0.9999999999996495,6.834310226161496e-48,7.452879383781477e-60,1.7689053157150186e-15,1.7689053157150186e-15,3.5062126953674373e-13,4.404867815044618e-37,1.3233167554470374e-32,1.0635502224633155e-19,9.913992284527177e-33,3.5939769686366575e-34,2.1360957705427047e-50,1.1801338344923587e-32,1.546096378648812e-35,3.910987522033984e-39,6.367100169837904e-35,1.801899960338032e-33,3.233920044737619e-33,3.153924358543088e-33,5.9090755553458885e-40,1.7774572723204404e-44,8.913661948204162e-36,1.6178402065384808e-39
4.450117491766093e-19,0.7118282280392428,6.831491455988919e-23,2.7060572169021205e-25,1.8528496196455062e-35,3.9600719106897687e-35,0.0,0.0,2.1273413185631025e-19,5.428331806053177e-35,4.328998776526926e-48,5.2276170569220485e-62,3.529596839482333e-48,1.996006749957452e-79,4.276419744074864e-59,5.92006714300426e-50,1.3475377807622827e-45,5.296715686275999e-32,1.2926752786671887e-100,3.394058153869853e-65,4.513628275367012e-99,4.8173064459542606e-110,2.36516949698075e-39,4.688596234737277e-83,9.113894471233435e-53,6.198320161668453e-101,4.192056724205889e-104,2.269454051981162e-93,1.0449978651630215e-102,1.7963205194726666e-99,1.5268434972405915e-51,4.121921147362429e-106,7.690822237600147e-108,3.734339628483793e-106,3.76,0.0,0.8432079109090421,0.9999999999992986,5.471603734364942e-47,1.1934317403806132e-58,3.5393474735809574e-15,3.5393474735809574e-15,7.015471619690966e-13,1.7630951744500426e-36,5.296715686275999e-32,2.1280244677082196e-19,3.968180574765022e-32,1.4385274048338085e-33,1.7101754541090448e-49,4.723610855458559e-32,6.188414761892376e-35,1.5654142416242846e-38,2.5484993819564157e-34,7.212295728189492e-33,1.2944108017781088e-32,1.2623916798267004e-32,2.365170846449064e-39,1.4230465879610246e-43,3.567787746624717e-35,6.475577044398e-39
8.902167296815627e-19,0.7118282280392433,1.3665949256685006e-22,5.413289449397499e-25,7.413811927036887e-35,1.5845445875470594e-34,0.0,0.0,4.2556063632720586e-19,2.172039795381726e-34,3.4645146941546057e-47,8.36759348365027e-61,2.8247501896014337e-47,3.194911283326407e-78,3.422436139738864e-58,4.737853854163268e-49,1.0784397688454826e-44,2.119376204874134e-31,8.280396324913025e-99,5.433651324916564e-64,2.89106686064571e-97,6.171941694427488e-108,9.463758763623755e-39,1.5012764961907919e-81,7.293885505437967e-52,3.9704137225370885e-99,2.685279123024991e-102,1.4537277373242598e-91,1.338954351705132e-100,1.1507568821043661e-97,1.2219388373354133e-50,5.281411994689012e-104,9.854240138598352e-106,4.7848043188685675e-104,3.76,0.0,0.8432079109090386,0.9999999999985967,4.378945919687627e-46,1.9102680033924517e-57,7.080231789312821e-15,7.080231789312821e-15,1.4033989460080119e-12,7.054678089891589e-36,2.119376204874134e-31,4.256972958195799e-19,1.5877891093619348e-31,5.755983387653573e-33,1.3686601205179082e-48,1.8900596209554231e-31,2.4761719861890937e-34,6.263696013350791e-38,1.0197317100627387e-33,2.8858577363124e-32,5.179329255232965e-32,5.0512110606207e-32,9.463769563471579e-39,1.1388697632599168e-42,1.427579824523338e-34,2.5910743047194925e-38
1.7806266906914696e-18,0.7118282280392442,2.733486485860438e-22,1.082775391920177e-24,2.9660075293045806e-34,6.3392101438005296e-34,0.0,0.0,8.512136452683898e-19,8.689573528895413e-34,2.7721381391654373e-46,1.3390875207062242e-59,2.2602293323672775e-46,5.112900116080759e-77,2.7384699448467657e-57,3.7910032930204075e-48,8.62915667774546e-44,8.47888488397019e-31,5.30178266026963e-97,8.69636957065773e-63,1.8510334844615712e-95,7.903792670760472e-106,3.786119748222918e-38,4.805566463591183e-80,5.836216648370143e-51,2.542182426996941e-97,1.7193386967087021e-100,9.307946413813197e-90,1.7147306410475123e-98,7.369372403577093e-96,9.777367261157405e-50,6.763635347110734e-102,1.2619823448641377e-103,6.127655191191263e-102,3.76,0.0,0.8432079109090315,0.999999999997193,3.5038220508270785e-45,3.0570507354743326e-56,1.4162000420776486e-14,1.4162000420776488e-14,2.807102510782682e-12,2.822331292538956e-35,8.478884883970194e-31,8.514869939162045e-19,6.352190343624669e-31,2.3027681618718582e-32,1.0951360437357513e-47,7.561469216457399e-31,9.906300355773302e-34,2.5058862730328648e-37,4.0795908485683875e-33,1.1545310103062503e-31,2.0720689597382127e-31,2.0208133393623715e-31,3.786128389742053e-38,9.112688447149972e-42,5.711248882237517e-34,1.0365984457062132e-37
3.561446612711283e-18,0.7118282280392461,5.46726960645519e-22,2.165668287806437e-24,1.186499570325472e-33,2.53589043102374e-33,0.0,0.0,1.7025196631483281e-18,3.4761123011725024e-33,2.2179210908778167e-45,2.1427581108103777e-58,1.8083551593522962e-45,8.181478473213315e-76,2.190985645973856e-56,3.0330907488447587e-47,6.903980822904586e-43,3.3918299918814464e-30,3.3938863763227024e-95,1.3916213604719417e-61,1.1849017112990446e-93,1.0119227956482884e-103,1.514571156507987e-37,1.5380183860668063e-78,4.669416721022547e-50,1.6273553439324666e-95,1.1006246281987903e-98,5.958394483250304e-88,2.1954115977146873e-96,4.7190881870029285e-94,7.822636525432747e-49,8.659647846847187e-100,1.6157468785035182e-101,7.845386893138907e-100,3.76,0.0,0.8432079109090173,0.9999999999943856,2.8033237951889416e-44,4.891778782740478e-55,2.8325537683703575e-14,2.8325537683703585e-14,5.614509627119378e-12,1.1290249450615137e-34,3.391829991881449e-30,1.7030663901058885e-18,2.541082933411748e-30,9.211822312581098e-32,8.761920227987375e-47,3.0248338504732945e-30,3.962842662271912e-33,1.0024360887427108e-36,1.631969149891483e-32,4.618499899618005e-31,8.288950402147661e-31,8.083911234543505e-31,1.5145780703797148e-37,7.290842967746252e-41,2.284685482957504e-33,4.146731273649723e-37
7.12308645675091e-18,0.7118282280392495,1.093483584848821e-21,4.331454087280578e-24,4.7461914056211525e-33,1.0143974486475657e-32,0.0,0.0,3.4051316988984884e-18,1.3905015004026346e-32,1.7744211146424205e-44,3.4285874497903296e-57,1.4467528130830034e-44,1.3091050735993722e-74,1.7528744047067948e-55,2.4265878506304105e-46,5.523446864442937e-42,1.3567872109703326e-29,2.172325868332799e-93,2.2267559732836573e-60,7.58413994987249e-92,1.2954130948523094e-101,6.058531148340198e-37,4.9220382971049965e-77,3.735710838997667e-49,1.041623278659229e-93,7.044849548398445e-97,3.813791339837314e-86,2.810482981336386e-94,3.0226650944244334e-92,6.258406342303572e-48,1.1085754028324719e-97,2.068418115481963e-99,1.004336792404369e-97,3.76,0.0,0.843207910908989,0.9999999999887708,2.2427655037523214e-43,7.827244161745875e-54,5.665261220955678e-14,5.665261220955682e-14,1.12293238069422e-11,4.516287924371822e-34,1.3567872109703354e-29,3.4062251824709944e-18,1.0164745340297136e-29,3.6848788618592917e-31,7.009868951325862e-46,1.2099827745869234e-29,1.5852015830323563e-32,4.0099075212920156e-36,6.528142224694291e-32,1.8474751342540084e-30,3.315715078195575e-30,3.233696073934408e-30,6.058586461939842e-37,5.832951272442374e-40,9.13911380514018e-33,1.6587600253530117e-36
1.4246366144830166e-17,0.7118282280392566,2.1869968335928296e-21,8.663025717035347e-24,1.898515187988562e-32,4.0576723490778204e-32,0.0,0.0,6.810355770359939e-18,5.562119163462184e-32,1.4195705983867775e-43,5.485879500328376e-56,1.1574297327199926e-43,2.0946275760871806e-73,1.402337091737237e-54,1.941316381759199e-45,4.418862376533876e-41,5.427259311029653e-29,1.3903649165278207e-91,3.56293899960356e-59,4.854095666236384e-90,1.6582259991151951e-99,2.4234617639499736e-36,1.5751129963578668e-75,2.988639804808383e-48,6.66677377389562e-92,4.509051444200241e-95,2.440960516577272e-84,3.597646160568271e-92,1.9373216999447482e-90,5.006843956978718e-47,1.419066434337456e-95,2.647742965081174e-97,1.2856325598893965e-95,3.76,0.0,0.8432079109089323,0.9999999999775411,1.7942549913459273e-42,1.2523909155466802e-52,1.1330676126125937e-13,1.1330676126125952e-13,2.2458951955185557e-11,1.8065554244207155e-33,5.427259311029673e-29,6.81254276714416e-18,4.0659808589214356e-29,1.4739815314185689e-30,5.608028272065864e-45,4.8400295678281954e-29,6.340935465348904e-32,1.6039956435240348e-35,2.611310011642969e-31,7.390050888919158e-30,1.3263130151409443e-29,1.2935047460762795e-29,2.423506015880042e-36,4.666471779323477e-39,3.655719897997826e-32,6.635175258201206e-36
2.8492925520988676e-17,0.7118282280392711,4.374023332430467e-21,1.7326169099770843e-23,7.594138005631089e-32,1.6230854511090247e-31,0.0,0.0,1.362080391312736e-17,2.2248702979325318e-31,1.1356699759537181e-42,8.77751886141721e-55,9.259547908713621e-43,3.351466544619251e-72,1.1218898398152752e-53,1.553071545198126e-44,3.535131855348673e-40,2.17092584743579e-28,8.898579931131585e-90,5.700805954811661e-58,3.106699985370431e-88,2.1225915245605033e-97,9.693945660101376e-36,5.040458934226098e-74,2.390940532620224e-47,4.2668762980432205e-90,2.886000330578145e-93,1.5622576464510943e-82,4.605132974708003e-90,1.2433885748343312e-88,4.005522769359068e-46,1.81646260040632e-93,3.389218410869953e-95,1.6456618332213445e-93,3.76,0.0,0.843207910908819,0.9999999999550818,1.4354210289079718e-41,2.0038509447692713e-51,2.266150593646491e-13,2.2661505936464974e-13,4.491820740606314e-11,7.226323209219459e-33,2.170925847435806e-28,1.3625177936262301e-17,1.626408888276276e-28,5.895986089762819e-30,4.486475862567654e-44,1.9360315203485092e-28,2.5364000887536583e-31,6.4160478539879e-35,1.0445346257398523e-30,2.956050426546284e-29,5.305306028089874e-29,5.17407161786362e-29,9.694299679743367e-36,3.733221727180033e-38,1.462302834484415e-31,2.654097232958411e-35
5.698604427330568e-17,0.7118282280393,8.748076335504223e-21,3.4652456358145723e-23,3.0376706542637823e-31,6.4923748310062235e-31,0.0,0.0,2.7241700198040287e-17,8.8995264568339e-31,9.085414027290111e-42,1.4044119490463462e-53,7.407682532401147e-42,5.362443947730851e-71,8.97528160952352e-53,1.2424646105921132e-43,2.8281222653509605e-39,8.683747871169135e-28,7.525082830595549e-88,9.121372371130785e-57,1.9883132086050563e-86,4.0624938123871204e-95,3.877597980345377e-35,1.6129625835118962e-72,1.912764277602248e-46,3.608380534647747e-88,2.440936273516097e-91,1.321141053038389e-80,1.0318782000560436e-87,1.0611635584080168e-86,3.204437336943906e-45,4.0701717696271604e-91,7.594266551348152e-93,3.687456253615236e-91,3.76,0.0,0.8432079109085924,0.9999999999101633,1.1483436379302037e-40,3.2061818949494566e-50,4.5323165557136705e-13,4.532316555713695e-13,8.983671492538207e-11,2.890566387288209e-32,8.683747871169264e-28,2.725044827358583e-17,6.505668642667137e-28,2.358406420940208e-29,3.5892019878454606e-43,7.744165461170443e-28,1.0145652766396769e-30,2.5664322050686947e-34,4.178159718299601e-30,1.1824261851052735e-28,2.1221332042454435e-28,2.069639173971983e-28,3.8778811977395146e-35,2.9865951010818275e-37,5.849241088356866e-31,1.0616443976068065e-34
1.1397228177793973e-16,0.7118282280393575,1.7496182363245662e-20,6.930503284651145e-23,1.2150713530804321e-30,2.5969565405051062e-30,0.0,0.0,5.4483492765378484e-17,3.5598196356200646e-30,7.268353278285402e-41,2.2470662579693497e-52,5.926164006320197e-41,8.580140418412932e-70,7.18042200400024e-52,9.93974635805864e-43,2.2625045236301603e-38,3.473508232917715e-27,4.834379472287596e-86,1.4594262063222633e-55,1.2725285343725734e-84,5.223722532745249e-93,1.5510431316932997e-34,5.16150615408874e-71,1.530216764172791e-45,2.3182081854854548e-86,1.5685123809979017e-89,8.487478989712474e-79,1.3252361088270346e-85,6.917064046286131e-85,2.5635576458739953e-44,5.227301921536485e-89,9.753279921525072e-91,4.735782291013647e-89,3.76,0.0,0.8432079109081391,0.9999999998203263,9.186776369561408e-40,5.129907336218948e-49,9.064648479845565e-13,9.064648479845663e-13,1.796737164342771e-10,1.15624741661929e-31,3.473508232917816e-27,5.450098894458191e-17,2.6022740749934796e-27,9.43364959119627e-29,2.871370108914416e-42,3.0976740549743055e-27,4.058272073597446e-30,1.0265755006776653e-33,1.671268108861565e-29,4.7297167715355385e-28,8.488554398698688e-28,8.278577750131716e-28,1.5512697062807554e-34,2.3892831649938297e-36,2.3397023852128124e-30,4.246589227008736e-34
