Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CF3(1),O2(2),H2O(3),CH4(4),CH2CF2(57),HF(38),O2(161),S(164),CF2O(49),S(125),C2HF(58),S(463),C2HF(468),C2H2F3(68),S(165),S(464),S(130),C2H2F2(59),C2H3F2(65),C2H2F3(67),CF2(43),CHFCF2(55),CF2CH(73),C2HF2(72),S(179),C2H3F2(64),CHF2(82),CHF3(42),S(1244),S(1385),CF2O2(181),CF2O2(276),CH2F2(41),S(203),S(1542),CHO2(322),C2F(467),S(174),S(413),S(1894),C2H3F2(66),C2HF4(54),CHFO(47),S(2753),S(512),CF2CF2(61),C2HF3(169),C2HF4(69),C2HFO(577),S(3833),S(2867),F(37),S(344),CFO(51),C1OO1(180),CH2O2(318),C2H2O(623),S(3850),S(970),S(2764),CHF2O(206),CF3(45),S(1375),C3HF3(994)
0.0,0.8510136236264465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7896184696350559,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.43869891860043e-23,0.8510136236264464,4.0045419481962955e-25,3.4483731178242037e-26,1.2563550456409644e-39,1.5461072985196939e-40,0.0,0.0,7.927560375892177e-22,2.9134294205542966e-40,1.1723925794621006e-52,1.3601536394267919e-52,9.759596018079544e-56,1.3730528550941745e-63,8.055209667665832e-43,4.377816525683562e-37,6.932191195192156e-22,3.373401681186742e-37,1.8014531371642914e-82,4.5545022915603834e-60,2.1202733768469788e-88,1.4247174065784472e-77,5.561003122720977e-23,9.861218548223408e-74,2.7635840706429317e-40,1.2541646716851112e-91,2.033476629466625e-78,6.855193083259423e-59,6.655926541023332e-59,4.778131162998033e-59,1.6987356441801322e-56,9.178334420890748e-93,5.552956909548684e-94,1.0712398995200756e-93,3.76,0.0,0.7896184696350559,0.9999999999999994,2.1496160369978926e-53,7.084787519414779e-38,2.0551814597123308e-17,2.0551814597123308e-17,4.941206794207188e-16,4.679432886275242e-42,3.3617153332691237e-37,7.931564917840375e-22,9.447122947669488e-36,7.87454624576996e-40,6.884971035946248e-55,3.347019230019778e-37,2.795726501170266e-39,4.912221149511235e-43,6.482295285438104e-38,1.043340075888107e-36,1.2875885146270666e-24,1.368441996415611e-37,4.730150060561544e-39,9.782007237080584e-46,1.2211322465654828e-39,9.817537429795484e-44,2.0300178022335644e-54,2.8065546929841277e-39,2.4143226730872765e-46,5.561003122721018e-23,2.3183328932195264e-71,1.9865342356032587e-75,1.1498642774395033e-52,6.390061159917337e-58,3.4103582549814934e-59,1.0266230214135115e-41,1.0279651370595194e-75,3.25168452609373e-51,3.197370797428019e-60,2.4229606716277033e-54,7.659080938353644e-49,2.944422590184414e-62,6.724452834910617e-41,5.850790555500527e-64,8.153944617712334e-76,1.422158081920431e-81,1.2395834127487183e-47,1.9572280413657858e-79,2.2144243777380364e-54,2.3626236114215456e-65,6.657500829875712e-58,8.283630864892431e-77,6.989311543623237e-75,1.2875885146264526e-24,3.3036319297984637e-74,1.3791484832417571e-59,6.775491692728691e-50,1.6919599048692998e-56,3.0611098715056096e-99,2.6498913457644223e-113,2.5560715557523084e-55,1.2461589912190829e-82,1.3810811486370833e-59,6.932191195192158e-22,3.3929823475283173e-76,8.110368084243151e-93
2.642835697208121e-22,0.8510136236264465,1.1212717454950578e-24,9.655444729908788e-26,7.588384475672026e-39,9.338488083063587e-40,0.0,0.0,2.2197169052498085e-21,1.7597113700147946e-39,1.3918645810499083e-51,1.6147744007337247e-51,1.161038042626257e-54,1.6300883495677834e-62,4.865346639270126e-42,2.6442011815128283e-36,1.9410135346538042e-21,2.0375346154372965e-36,4.0383039836759024e-81,5.407105120541963e-59,1.0128851562664e-86,4.017931041592241e-76,1.5570808743618592e-22,2.2080314600745612e-72,1.6692047786683083e-39,7.586008671045248e-90,6.349160563411833e-77,1.0359567787422136e-57,1.0058436188794457e-57,7.220711813522603e-58,2.0167389567745887e-55,5.784975505081743e-91,3.285748662826342e-92,6.941898727183473e-92,3.76,0.0,0.7896184696350559,0.9999999999999987,2.5520241609856825e-52,4.279211661726527e-37,5.754508087194527e-17,5.754508087194527e-17,1.3835379023776413e-15,2.8263774641410657e-41,2.030476061295055e-36,2.2208381769953046e-21,5.706062260392373e-35,4.7562259324447906e-39,8.173837613875371e-54,2.0215996149318983e-36,1.688618806707706e-38,2.966981574304823e-42,3.91530635240433e-37,6.301774058364196e-36,3.605247840957769e-24,8.265389658350276e-37,2.8570106365793304e-38,5.908354049543329e-45,7.375638769255525e-39,5.929792607633105e-43,2.9528759243437065e-53,1.6951590345623452e-38,1.458250894552138e-45,1.5570808743618852e-22,6.301902664795108e-70,5.399977470737064e-74,6.945182720312754e-52,7.586280609053157e-57,5.153649121427551e-58,6.200803049340194e-41,2.7943080372526717e-74,3.860399869377789e-50,3.7959186107066383e-59,3.661574989866826e-53,4.6260848867675124e-48,3.495618498664916e-61,4.061569512288275e-40,6.989014999510266e-63,1.8270437502849354e-74,3.200105392387066e-80,7.487085736714624e-47,6.081412348994019e-78,1.3375125289077164e-53,2.804916176129462e-64,7.921288336306835e-57,1.8569352447568155e-75,1.5667886647324993e-73,3.60524784095406e-24,1.0387147368395689e-72,1.6373250793050526e-58,4.092397032689723e-49,2.0086947990606918e-55,1.8618271823941375e-97,2.9116000145293393e-111,3.0345681509889445e-54,2.7876167754858885e-81,1.6396195396622852e-58,1.941013534653805e-21,1.0668079377805202e-74,3.901758237072512e-91
6.040767307904276e-22,0.8510136236264464,2.5629068468462927e-24,2.206958795408202e-25,3.653480472724822e-38,4.496080024102222e-39,0.0,0.0,5.073638640570985e-21,8.472252754971882e-39,1.3665409478327437e-50,1.585395082135206e-50,1.1409564126388036e-53,1.600430407897706e-61,2.3424549713571713e-41,1.2730690456687157e-35,4.4366023649229795e-21,9.809852088898468e-36,7.987228848686405e-80,5.3087278710472126e-58,5.274036034859683e-85,8.739877643279462e-75,3.559041998541325e-22,4.364569259701851e-71,8.036502477429303e-39,3.4357545753489655e-88,1.4143084078646218e-75,1.1144350291594786e-56,1.0820406659210801e-56,7.76771226906254e-57,1.9800462668619035e-54,2.614430493874118e-89,1.4754739477690185e-90,3.139849269132227e-90,3.76,0.0,0.7896184696350558,0.9999999999999969,2.5055924553684518e-51,2.060256210645818e-36,1.315316134215892e-16,1.315316134215892e-16,3.1623723482899997e-15,1.3607790845513076e-40,9.775868189154032e-36,5.076201547417837e-21,2.747223353182288e-34,2.2899180482695063e-38,8.025122239498893e-53,9.733131920896807e-36,8.129972665415868e-38,1.4284739102779218e-41,1.885051469004971e-36,3.0340329406826566e-35,8.2405664936271e-24,3.979429325576579e-36,1.3755276376115336e-37,2.8446402220630173e-44,3.5510525730124374e-38,2.8549398846394733e-42,3.137019831417711e-52,8.161461047196822e-38,7.020850333447159e-45,3.5590419985414515e-22,1.3527398613065657e-68,1.1591364010792648e-72,3.343809045661163e-51,7.44825528799746e-56,5.544031539588586e-57,2.9854197462743673e-40,5.998143842931324e-73,3.7901634836127244e-49,3.726855401482378e-58,3.9389541931721714e-52,2.2272607368761065e-47,3.4320189698726747e-60,1.9554708843954003e-39,6.880682916595992e-62,3.612860519621134e-73,6.340993073734902e-79,3.6047114498418225e-46,1.3521738591355425e-76,6.439549160279314e-53,2.7539032978873433e-63,7.784837725840959e-56,3.672770813123209e-74,3.0988994874279696e-72,8.240566493609242e-24,2.3173154382714832e-71,1.6075354720679223e-57,1.970313059667824e-48,1.97214846511522e-54,8.404708155160865e-96,2.6424735055543223e-109,2.9793570053842826e-53,5.507899696865085e-80,1.6097881868524163e-57,4.4366023649229825e-21,2.3799898241659288e-73,2.0200562851101127e-89
1.2836630529296586e-21,0.8510136236264465,5.44617704955028e-24,4.689787440244472e-25,1.5955709079649518e-37,1.963556269127194e-38,0.0,0.0,1.0781482111213316e-20,3.7000553641039426e-38,1.2086900120410212e-49,1.402263996144054e-49,1.0095769998859074e-52,1.4155625714877542e-60,1.023011627793505e-40,5.559826987617463e-35,9.427780025461326e-21,4.2842201351147637e-35,1.4219520703412987e-78,4.6955096825162814e-57,2.104724292418588e-83,1.620226020495115e-73,7.562964246900028e-22,7.768046831551745e-70,3.5097517697161655e-38,1.2990641356061689e-86,2.647240474059317e-74,1.024357792045634e-55,9.945817911720326e-56,7.139865834244465e-56,1.7513284997294343e-53,9.874072328138004e-88,5.555271651784532e-89,1.1860708956866931e-88,3.76,0.0,0.7896184696350557,0.9999999999999933,2.216168152165619e-50,8.997680149656765e-36,2.79504678520877e-16,2.79504678520877e-16,6.72004124010877e-15,5.942879778090827e-40,4.269378473259384e-35,1.0786928288262893e-20,1.1997846143540255e-33,1.0000673732123732e-37,7.09812973921903e-52,4.2507144221243863e-35,3.550572656499277e-37,6.238520859879831e-41,8.232515012501951e-36,1.3250418963779386e-34,1.7511203798997462e-23,1.7379213354478078e-35,6.007290576915605e-37,1.24234852054655e-43,1.550837953138178e-37,1.2468272536408044e-41,2.869126622417873e-51,3.5643244600887868e-37,3.066189794932918e-44,7.562964246900582e-22,2.4944381489745197e-67,2.1374353942107168e-71,1.460331483444093e-50,6.587897453423775e-55,5.09590962215095e-56,1.303811237199164e-39,1.1060514480869926e-71,3.3523566790171234e-48,3.2963613973169666e-57,3.620577129145521e-51,9.727032791738747e-47,3.035581910959326e-59,8.54005510037154e-39,6.0933686853681305e-61,6.431269936725935e-72,1.1298176369334506e-77,1.5742739159450402e-45,2.5291756275279485e-75,2.8123221311753774e-52,2.435831792901375e-62,6.888646847630506e-55,6.538566661859987e-73,5.5169140433609925e-71,1.7511203798919483e-23,4.340075353615309e-70,1.4218469202856875e-56,8.604875229129091e-48,1.7443429835231386e-53,3.173389011735538e-94,2.0026518429517114e-107,2.6352075311171205e-52,9.801151561409413e-79,1.4238394210010318e-56,9.427780025461337e-21,4.457457542086973e-72,8.04509157742135e-88
2.6428356972081207e-21,0.8510136236264465,1.1212717454964314e-23,9.655444729923507e-25,6.661194451996732e-37,8.197460896816057e-38,0.0,0.0,2.2197169052497888e-20,1.5447002787778746e-37,1.0159767917959579e-48,1.1786873815427027e-48,8.487744346463973e-52,1.1898656353786823e-59,4.2708721657959226e-40,2.32111832191683e-34,1.9410135346538004e-20,1.7885775713720233e-34,2.3988647386649818e-77,3.9468588138461422e-56,7.48051216679635e-82,2.784754562076309e-72,1.5570808743616525e-21,1.3103190795022824e-68,1.465252274254559e-37,4.509869588888982e-85,4.5711234188064265e-73,8.763596575328183e-55,8.5088566189257e-55,6.1083055412022896e-55,1.472097129480903e-52,3.426163762269065e-86,1.9244382500724041e-87,4.115852855241765e-87,3.76,0.0,0.7896184696350553,0.9999999999999862,1.862822866171942e-49,3.756354342793711e-35,5.754508087194525e-16,5.754508087194525e-16,1.3835379023722521e-14,2.4810353275247504e-39,1.782381469706097e-34,2.2208381769952966e-20,5.008864586854363e-33,4.175084419503526e-37,5.966405740214233e-51,1.7745895957558261e-34,1.4822941909321597e-36,2.604459653471361e-40,3.436912960335287e-35,5.531789082359125e-34,3.605247840986499e-23,7.255479464995403e-35,2.507925562111927e-36,5.186722650035965e-43,6.474443171290322e-37,5.205258345788566e-41,2.4491290486184264e-50,1.4880352982192362e-36,1.2800738813713464e-43,1.5570808743618838e-21,4.277078870480966e-66,3.66494545689581e-70,6.096615058847276e-50,5.537524760197445e-54,4.359653957256175e-55,5.443155259570473e-39,1.8964869023568108e-70,2.817857783352303e-47,2.770790375119399e-56,3.09747980897878e-50,4.060844713541758e-46,2.551589501144016e-58,3.5653048931011564e-38,5.12481973166338e-60,1.0849178821465053e-70,1.9067833656957812e-76,6.572298090181216e-45,4.365975288860198e-74,1.1740906590815852e-51,2.047523134218952e-61,5.791530458418648e-54,1.1030702036247517e-71,9.307152181680019e-70,3.605247840953943e-23,7.496400872858024e-69,1.1951480092065675e-55,3.5923663969119e-47,1.466225382199597e-52,1.100985289980489e-92,1.3921716371413186e-105,2.2150507130677352e-51,1.6531541507485027e-77,1.196822826114389e-55,1.941013534653804e-20,7.699149412554255e-71,2.85687795016799e-86
5.361180985765045e-21,0.8510136236264468,2.274579826581663e-23,1.958675930930756e-24,2.7213152830672113e-36,3.3489302529403216e-37,0.0,0.0,4.502854293506668e-20,6.310604662097306e-37,8.329591596862961e-48,9.663591287456262e-48,6.95941878095098e-51,9.755237365369485e-59,1.7447906348546647e-39,9.48252570728659e-34,3.937484598869127e-20,7.306922977575286e-34,3.9405726631100044e-76,3.2358733147711668e-55,2.5196413251534943e-80,4.615526470298013e-71,3.1586497737045876e-21,2.1523036614902206e-67,5.9860336403726705e-37,1.5024217183574098e-83,7.59389448895816e-72,7.245911119828259e-54,7.035287197681307e-54,5.050465144513011e-54,1.2069141671106371e-51,1.1411185079549735e-84,6.404155286747726e-86,1.3708836774503768e-85,3.76,0.0,0.7896184696350548,0.999999999999972,1.5272547327557815e-48,1.5345933158553125e-34,1.1673430691166032e-15,1.1673430691166032e-15,2.806605459085488e-14,1.0135838903800879e-38,7.281609880531767e-34,4.5051288733332975e-20,2.0462846189570017e-32,1.7056582150156167e-36,4.891619900878976e-50,7.249777532986451e-34,6.055655430693564e-36,1.064006749869157e-39,1.404091088003652e-34,2.2599163379769968e-33,7.313502763210726e-23,2.964100101915928e-34,1.024569423719732e-35,2.1190779385329458e-42,2.645021291350811e-36,2.126517877876067e-40,2.0228489110847597e-49,6.079109727183307e-36,5.22951948366299e-43,3.1586497737055325e-21,7.080927888685752e-65,6.067508989680783e-69,2.4906813648556448e-49,4.539997361556641e-53,3.604644630755828e-54,2.2237065293330305e-38,3.139733309586539e-69,2.310250058581479e-46,2.2716613536271566e-55,2.561056146304483e-49,1.6589875675937207e-45,2.091947229403025e-57,1.4565433818796882e-37,4.202836579479791e-59,1.7821328746297376e-69,3.132852065191911e-75,2.685009976316992e-44,7.252129526831797e-73,4.796555941830618e-51,1.6787811439016663e-60,4.748727176060692e-53,1.8119921954380425e-70,1.5288679777214756e-68,7.313502763077724e-23,1.2455382168423192e-67,9.798545457532259e-55,1.4675991964867326e-46,1.2021001539321161e-51,3.6667235772943775e-91,9.281566620162684e-104,1.8160324022981139e-50,2.715464020182601e-76,9.812276618414491e-55,3.937484598869142e-20,1.2792251899489775e-69,9.618892768299899e-85
1.0797871562878893e-20,0.8510136236264468,4.5811959887618255e-23,3.944938846817962e-24,1.0999991475066594e-35,1.3536911530493353e-36,0.0,0.0,9.069129070020286e-20,2.550847302307372e-36,6.745519246508505e-47,7.825826771155783e-47,5.636178318384528e-50,7.900044140081105e-58,7.05272271410199e-39,3.832988503425055e-33,7.930426727299751e-20,2.9535750952069857e-33,6.388191022622186e-75,2.620494106006347e-54,8.269713227878635e-79,7.515188385430809e-70,6.361787572389e-21,3.489057981376701e-66,2.4196505058810186e-36,4.9048677070730917e-82,1.2379071257598958e-70,5.892254585606904e-53,5.720978710061428e-53,4.1069543795148494e-53,9.773903838886472e-51,3.724902149202503e-83,2.0895949050867084e-84,4.475006445389159e-84,3.76,0.0,0.7896184696350536,0.9999999999999436,1.2368104793586626e-47,6.203071543048517e-34,2.351127589910902e-15,2.351127589910902e-15,5.6527405724739016e-14,4.097068182624222e-38,2.943343136660376e-33,9.073710266009239e-20,8.271409602586117e-32,6.894543216365568e-36,3.961360619541803e-49,2.9304759928007614e-33,2.4477927467277484e-35,4.300885403015759e-39,5.675560672546931e-34,9.134943167639444e-33,1.4730012607862072e-22,1.1981366530775775e-33,4.141473425239831e-35,8.566723032180701e-42,1.0691598962160082e-35,8.595725265141434e-40,1.6441013003558013e-48,2.45727334832626e-35,2.113855388473944e-42,6.361787572392819e-21,1.1523104820952795e-63,9.873923755349431e-68,1.0067855073009718e-48,3.6766075707569936e-52,2.931236528865148e-53,8.988577331776523e-38,5.109425855579584e-68,1.870900394705347e-45,1.8396502609666187e-54,2.0826083018210053e-48,6.705892997599296e-45,1.694113096996082e-56,5.887581230920021e-37,3.4040694210297e-58,2.889035688957097e-68,5.079287134757215e-74,1.0853334676928095e-43,1.1821231223202461e-71,1.9388547103277907e-50,1.3596791805568374e-59,3.845834103509093e-52,2.9374741694694366e-69,2.478493121779397e-67,1.4730012607324455e-22,2.0305416510709568e-66,7.935116156027012e-54,5.932273085685194e-46,9.734918712030229e-51,1.1968769166697032e-89,6.062113023149165e-102,1.4706701231972872e-49,4.402381416873647e-75,7.9462360060979e-54,7.930426727299812e-20,2.0854599193879513e-68,3.15640647411045e-83
2.167125271710659e-20,0.8510136236264474,9.194428313160946e-23,7.917464678633946e-24,4.423048192427921e-35,5.4431325890956386e-36,0.0,0.0,1.8201678623046954e-19,1.0256844812237396e-35,5.429380741339736e-46,6.29890621865886e-46,4.536590724539886e-49,6.358642812238686e-57,2.8358687843375925e-38,1.5412278191296455e-32,1.5916310984160883e-19,1.1876195555068593e-32,1.028829613945147e-73,2.1092016343865676e-53,2.6798494490120263e-77,1.2129544436000846e-68,1.2768063169751996e-20,5.6190853200117935e-65,9.72930826404294e-36,1.5852824322871257e-80,1.9991511030144585e-69,4.7523167848881365e-52,4.614176586351246e-52,3.3124074917176304e-52,7.866888119944956e-50,1.2038402627574324e-81,6.751866877816873e-83,1.446279065762373e-82,3.76,0.0,0.7896184696350512,0.9999999999998866,9.954926738754523e-47,2.4942277853600056e-33,4.718696631499493e-15,4.718696631499494e-15,1.1345010799098494e-13,1.6474131285076048e-37,1.1835053299770418e-32,1.8210873051360883e-19,3.3258974222188258e-31,2.772265503987346e-35,3.1884476571918235e-48,1.178331508001655e-32,9.842466977087631e-35,1.7293671045728615e-38,2.2821179843970517e-33,3.673120470769255e-32,2.9563032297976325e-22,4.8176547860600556e-33,1.6652682494333357e-34,3.445503105433794e-41,4.299044919324398e-35,3.4563033251958485e-39,1.325690788213089e-47,9.880588058784749e-35,8.499719549167317e-42,1.2768063169767346e-20,1.8593281816668344e-62,1.5932220514463426e-66,4.0483389767375874e-48,2.9592536305557395e-51,2.3641482050671857e-52,3.614267412010671e-37,8.244392143345707e-67,1.5058634022960378e-44,1.4807105759838796e-53,1.679699033750517e-47,2.6964100808217266e-44,1.3635695940742224e-55,2.3673705185198216e-36,2.740132121956209e-57,4.652800071948887e-67,8.180789258640148e-73,4.364154583185825e-43,1.9090143983993214e-70,7.796130807135457e-50,1.0946435421212619e-58,3.095538447271886e-51,4.730836926795192e-68,3.991642515641919e-66,2.9563032295814605e-22,3.2793301903433923e-65,6.38687182198812e-53,2.3853429147506793e-45,7.835509498190983e-50,3.868095028233384e-88,3.919245791541613e-100,1.1837232605529279e-48,7.091501081928388e-74,6.395822044704612e-53,1.5916310984161126e-19,3.368023340369901e-67,1.0227551433787439e-81
4.3418015025561985e-20,0.8510136236264478,1.8420892962114378e-22,1.5862516342432213e-23,1.7738401508481264e-34,2.1829396184302688e-35,0.0,0.0,3.6466777729098036e-19,4.1134535183034196e-35,4.356736116396722e-45,5.054475551929747e-45,3.6403699539107e-48,5.102410403475722e-56,1.1373102198496558e-37,6.181012885686444e-32,3.1888079497882664e-19,4.762885593566245e-32,1.6515336605264502e-72,1.692501478776824e-52,8.629541743756168e-76,1.949185254886767e-67,2.558061436445467e-20,9.019928464589107e-64,3.901887767821568e-35,5.098212939680042e-79,3.21351893173467e-68,3.8173192837192266e-51,3.706357563844411e-51,2.6607058337928843e-51,6.312682276935389e-49,3.8713959169009666e-80,2.1710829698794533e-81,4.651071707149497e-81,3.76,0.0,0.7896184696350464,0.9999999999997728,7.988201768488816e-46,1.0002968989936248e-32,9.453834714676647e-15,9.45383471467665e-15,2.2729551251738746e-13,6.6068637241897364e-37,4.7463857090592196e-32,3.648519862206323e-19,1.3338336207076795e-30,1.1118024596956368e-34,2.558528443476096e-47,4.7256363687195117e-32,3.947269473172912e-34,6.935535567690833e-38,9.152313819556501e-33,1.4730855931076854e-31,5.922907168145105e-22,1.932095044086449e-32,6.678470489706373e-34,1.3824918122614317e-40,1.7241092921329339e-34,1.3861322215155797e-38,1.064732715470357e-46,3.962557731652962e-34,3.4087677007512944e-41,2.5580614364516232e-20,2.987486986685743e-61,2.5599193259619527e-65,1.6236441880601557e-47,2.374614671206236e-50,1.8990123077747433e-51,1.4494828843595678e-36,1.3246727760883509e-65,1.2083605443482179e-43,1.1881769853360216e-52,1.349225606100106e-46,1.0813810423588759e-43,1.0941787071432376e-54,9.4942146123287e-36,2.1989435920032807e-56,7.468852264556649e-66,1.313295045543535e-71,1.7502824947378648e-42,3.0686156396811615e-69,3.1266623468030084e-49,8.787924670180523e-58,2.484005264749395e-50,7.594141234113538e-67,6.407554834297753e-65,5.92290716727816e-22,5.271427504496543e-64,5.125062406190863e-52,9.566307985281016e-45,6.287502909085373e-49,1.2439207049885984e-86,2.5210328258966028e-98,9.498633682981482e-48,1.1388571383816162e-72,5.132244396214347e-52,3.188807949788364e-19,5.413999152782539e-66,3.2932795003074322e-80
