Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CF3(1),O2(2),H2O(3),CH4(4),CH2CF2(57),HF(38),O2(161),S(164),CF2O(49),S(125),C2HF(58),S(463),C2HF(468),C2H2F3(68),S(165),S(464),S(130),C2H2F2(59),C2H3F2(65),C2H2F3(67),CF2(43),CHFCF2(55),CF2CH(73),C2HF2(72),S(179),C2H3F2(64),CHF2(82),CHF3(42),S(1244),S(1385),CF2O2(181),CF2O2(276),CH2F2(41),S(203),S(1542),CHO2(322)
0.0,0.8683593415781541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6900606595208068,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.447655869770727e-23,0.8683593415781541,5.793614871396369e-25,7.457173000678209e-26,1.0435574165718646e-40,1.5750422310549771e-40,0.0,0.0,8.14073066748922e-22,2.44340385274184e-40,8.306588091003213e-53,9.619381056203606e-53,1.0012634827350651e-55,2.3042614338099144e-65,1.1036760169615766e-43,4.577643720189695e-37,3.358799682112895e-52,3.118361117353518e-37,1.3188569960691413e-91,1.5954724301949117e-72,1.7368872009632782e-88,1.0813041061605377e-87,8.662404751893504e-23,1.0300207839097818e-75,2.7309543780227435e-59,2.8216873835667187e-94,2.0098394353014735e-109,3.486684696912161e-89,2.857912133533851e-110,2.61819819949577e-107,2.2977773287013234e-58,2.57043043164367e-112,6.65768127581162e-111,2.899044612540652e-124,3.76,0.0,0.6900606595208068,0.9999999999999996,1.3721240319300317e-53,2.5949496858609227e-68,2.201967988262312e-17,2.201967988262312e-17,4.171693509767202e-16,3.619456598638257e-42,3.118361117353518e-37,8.146524282360619e-22,1.6690701276751508e-35,4.864830458533553e-40,1.6333799744413416e-54,3.2007691641947066e-37,3.720714246031795e-39,5.68244933160367e-43,1.1527678968974884e-37,1.6323359952067867e-36,7.4620261888163786e-37,1.3910757914253709e-37,7.110278427045494e-39,1.2103917880912799e-45,1.5117149169279262e-39,5.256353056713474e-42,2.2454782618037557e-54,3.5111984687325513e-39,6.987740173075023e-48,8.662404751893548e-23,1.6061763645460708e-71,1.437653592747973e-75,2.2084321458473808e-52,8.182572442833941e-58,6.47584035459228e-59,3.335446000354112e-54,6.901920848043792e-76,1.3839554845084723e-71
1.8053436435358036e-22,0.8683593415781541,1.62221216399102e-24,2.088008440190021e-25,6.303086796098374e-40,9.513255075575066e-40,0.0,0.0,2.279404586896981e-21,1.4758159270560715e-39,9.861583480275524e-52,1.1420129189924852e-51,1.1926593851806362e-54,2.7356191742191025e-64,6.666203142447875e-43,2.7648968069945588e-36,3.987566983528972e-51,1.8834901148818536e-36,8.02330161691698e-90,5.016420596121635e-71,8.297318585465637e-87,5.165519471621581e-86,2.4254733305301666e-22,2.304115292775172e-74,3.242189037601665e-58,1.3479539233793604e-92,1.9367569700019456e-107,2.115824493370421e-87,3.250668847510394e-108,2.0208751647247213e-105,2.727921244634641e-57,2.0893471572424575e-110,5.4115744914942865e-109,3.2522950585757007e-122,3.76,0.0,0.6900606595208068,0.9999999999999988,1.6289856525590756e-52,5.804798650569366e-67,6.165510367134473e-17,6.165510367134473e-17,1.1680741827346062e-15,2.1861517862076695e-41,1.883490114881853e-36,2.2810267990609733e-21,1.0081183571157912e-34,2.9383575969541376e-39,1.939148705656758e-53,1.9332645751735646e-36,2.2473114046040025e-38,3.432199396288644e-42,6.962718097260459e-37,9.85930941104903e-36,4.5070638180450324e-36,8.402097780209228e-37,4.2946081699356746e-38,7.310787111374814e-45,9.13075809824467e-39,3.1748372462553484e-41,3.3031812300241617e-53,2.1207638751143768e-38,4.220595065715453e-47,2.425473330530193e-22,4.413557902011721e-70,3.950479856812808e-74,1.3338933487609825e-51,9.714350004131976e-57,9.786288021462953e-58,3.959971988472662e-53,1.8965555695092257e-74,3.741580212915746e-70
4.1264997566532655e-22,0.8683593415781541,3.707913517693932e-24,4.772590720434911e-25,3.034664967397442e-39,4.5802228079123755e-39,0.0,0.0,5.210067627193093e-21,7.105418403773263e-39,9.682162058937098e-51,1.1212350559110702e-50,1.1726950329144834e-53,2.685847127248748e-63,3.20948985732419e-42,1.3311787938311378e-35,3.915016910783555e-50,9.06819412926886e-36,3.622102583694477e-88,1.1191358397035817e-69,4.320396585321032e-85,2.689675279637423e-84,5.543939041211739e-22,4.5525435418904906e-73,3.183200423063775e-57,7.018768133049323e-91,1.8742184366769494e-105,9.56525432758158e-86,2.9428181553170723e-106,2.2021076830111379e-103,2.678289254335566e-56,2.2829670910485002e-108,5.913107044133701e-107,7.422578554134383e-120,3.76,0.0,0.6900606595208066,0.9999999999999972,1.5993477742471175e-51,1.146930394253085e-65,1.4092595124878796e-16,1.4092595124878796e-16,2.6698838462495367e-15,1.0525379798112306e-40,9.068194129268856e-36,5.213775540710795e-21,4.853655931279338e-34,1.414692697341364e-38,1.903867698208817e-52,9.307836729477622e-36,1.08198370274722e-37,1.6524562656303867e-41,3.3522490441773367e-36,4.74683307406139e-35,2.1699572157077097e-35,4.045248401464958e-36,2.0676689665851237e-37,3.519850386724665e-44,4.3960669784263997e-38,1.528547468892894e-40,3.5223656633647684e-52,1.021056514707299e-37,2.032034844064066e-46,5.543939041211869e-22,9.511648769329933e-69,8.513670309204611e-73,6.422125670161463e-51,9.537606439365747e-56,1.0527641417850984e-56,3.887981163542664e-52,4.0872626686195293e-73,8.015316986643633e-69
8.76881198288819e-22,0.8683593415781543,7.879316225100344e-24,1.0141755280926648e-24,1.3253179190529405e-38,2.0003036334444725e-38,0.0,0.0,1.1071393707785295e-20,3.103122892982126e-38,8.563763059350602e-50,9.917197093703203e-50,1.0379245113845101e-52,2.375601367800482e-62,1.4016685415411245e-41,5.813607524640651e-35,3.462788121592946e-49,3.960318619043912e-35,1.36763707950138e-86,2.096017570601856e-68,1.724156862691443e-83,1.0733787975748421e-82,1.1780870462574643e-21,8.101007991331117e-72,2.8155047256512724e-56,2.8010061125799914e-89,1.4623835572884771e-103,3.613825361676336e-84,2.2303942806429804e-104,1.8013587128239846e-101,2.3689165148006256e-55,1.8691346307966194e-106,4.8412555098914185e-105,1.2556105554659305e-117,3.76,0.0,0.6900606595208065,0.9999999999999942,1.4146049946065732e-50,2.0409013564180308e-64,2.9946764640367434e-16,2.9946764640367434e-16,5.673503173276032e-15,4.596709889767834e-40,3.960318619043908e-35,1.1079273024010433e-20,2.1197190621474417e-33,6.178334682335612e-38,1.6839494184500223e-51,4.0649768385266685e-35,4.725307092472402e-37,7.216710651137062e-41,1.4640152290592313e-35,2.073066713912674e-34,9.476773259795834e-35,1.7666662551101999e-35,9.03005360235081e-37,1.537229673396323e-43,1.919877944498456e-37,6.6755683820324754e-40,3.2264079645696966e-51,4.459222055289027e-37,8.874430037566056e-46,1.1780870462575215e-21,1.7567534842840176e-67,1.572431903495455e-71,2.8047139815979425e-50,8.435904885660931e-55,9.676715976035636e-56,3.4388980190229056e-51,7.548967700983736e-72,1.4768059142967961e-67
1.8053436435358037e-21,0.8683593415781541,1.6222121639915505e-23,2.0880084401917967e-24,5.532941422724069e-38,8.350873909095347e-38,0.0,0.0,2.2794045868969628e-20,1.2954927227237138e-37,7.198359001620365e-49,8.33600171320831e-49,8.727112839696442e-52,1.996836090356391e-61,5.85169024192958e-41,2.4270667004443417e-34,2.91068206489868e-48,1.6533550644252674e-34,4.7449684586385657e-85,3.620349110457172e-67,6.127923533990353e-82,3.8149563632378996e-81,2.4254733305299502e-21,1.3663534045617615e-70,2.366601368878552e-55,9.955214428334492e-88,1.0306085455339581e-101,1.2541447194860077e-82,1.5508778973677774e-102,1.2964194151439331e-99,1.9912170686202022e-54,1.3457286183599754e-104,3.4855840392775533e-103,1.8392956830845693e-115,3.76,0.0,0.6900606595208062,0.9999999999999882,1.1890607344396137e-49,3.442278442092547e-63,6.165510367134471e-16,6.165510367134471e-16,1.1680741827315558e-14,1.919035897109493e-39,1.6533550644252635e-34,2.28102679906097e-20,8.849409816933649e-33,2.5793331091126917e-37,1.4154609517712337e-50,1.6970478108554845e-34,1.972722693256832e-36,3.0128346356166264e-40,6.111975389345271e-35,8.654645446586874e-34,3.956366285309576e-34,7.375483846137126e-35,3.7698696220222515e-36,6.417786183143547e-43,8.015112489551777e-37,2.786918390675211e-39,2.7559666692242483e-50,1.8616374281208172e-36,3.704899855682361e-45,2.4254733305301894e-21,3.0143840481595545e-66,2.6981097172229682e-70,1.170915364462837e-49,7.090886357795103e-54,8.278634155866412e-55,2.890609998268227e-50,1.2953147963822512e-70,2.5312655084623966e-66
3.662268534029774e-21,0.8683593415781543,3.290773246955518e-23,4.2356742643931934e-24,2.260387106642153e-37,3.4116044741897595e-37,0.0,0.0,4.623935019133797e-20,5.292510481192849e-37,5.901649673683454e-48,6.834357844497515e-48,7.156101518712408e-51,1.6371268706289077e-60,2.3906063997788616e-40,9.915359403677701e-34,2.3863530128320656e-47,6.754494914669858e-34,1.5802726230605137e-83,6.015264193925332e-66,2.064053414941097e-80,1.2849823705722085e-79,4.92024589907454e-21,2.2442395699007847e-69,1.9402827863744216e-54,3.3531903953131165e-86,6.916810115649955e-100,4.177367017388714e-81,1.0341304912498484e-100,8.78745350214801e-98,1.6325200571271728e-53,9.123405543314609e-103,2.363063378802309e-101,2.515603151154754e-113,3.76,0.0,0.6900606595208055,0.9999999999999762,9.748638301680913e-49,5.653952677715107e-62,1.250717817332992e-15,1.250717817332992e-15,2.3695219135340743e-14,7.8398878428294e-39,6.754494914669827e-34,4.627225792380816e-20,3.615272659349482e-32,1.0537417366386791e-36,1.1604804068106657e-49,6.93299404040765e-34,8.059215885565742e-36,1.2308412550229851e-39,2.4969413753914225e-34,3.535705059058123e-33,1.616304720601647e-33,3.013125807258848e-34,1.540114748414073e-35,2.6220016498826662e-42,3.274434978662488e-36,1.1385470975012136e-38,2.2770079483654945e-49,7.605396331203444e-36,1.5135724858983924e-44,4.9202458990755156e-21,4.992178931223558e-65,4.468390977806347e-69,4.783591656743678e-49,5.813537049424274e-53,6.84493477738338e-54,2.3699003029840394e-49,2.1451955465778344e-69,4.18990826723884e-65
7.376118315017712e-21,0.8683593415781545,6.627895412887194e-23,8.53100591280852e-24,9.136846090064735e-37,1.3790250753448708e-36,0.0,0.0,9.312995883607343e-20,2.139317356460341e-36,4.779308939335234e-47,5.534640175165788e-47,5.795630221857602e-50,1.3257877852152514e-59,9.663213292981875e-40,4.007946803923012e-33,1.9325305401806294e-46,2.7302748396074062e-33,5.1582730668423225e-82,9.80639881039067e-65,6.774429980151082e-79,4.217440804659469e-78,9.90979103616219e-21,3.638009053675892e-68,1.571291305853968e-53,1.1005506630295379e-84,4.532407229819263e-98,1.3636485664458196e-79,6.754845370978738e-99,5.7860223686453845e-96,1.3220570682092706e-52,6.007781581152388e-101,1.5560827311372077e-99,3.327462091699172e-111,3.76,0.0,0.6900606595208043,0.9999999999999523,7.894700047420093e-48,9.165300935984297e-61,2.519051378572079e-15,2.5190513785720793e-15,4.772417375117567e-14,3.169008045119869e-38,2.730274839607382e-33,9.319623779020482e-20,1.461351012145721e-31,4.259392578295608e-36,9.397871209215636e-49,2.8024270401685172e-33,3.2576639167594483e-35,4.975257147389425e-39,1.0093036265891712e-33,1.4291885159316516e-32,6.533362105559745e-33,1.2179536270307664e-33,6.225390056261832e-35,1.0599573299487267e-41,1.3235789720863478e-35,4.602189406139248e-38,1.8509610695881653e-48,3.074222796893612e-35,6.118102043577628e-44,9.909791036166138e-21,8.125346829690277e-64,7.2728215405492295e-68,1.9336206689028582e-48,4.707953028742142e-52,5.566187269024947e-53,1.9192081385225226e-48,3.4915531020643523e-68,6.817839375025337e-64
1.480381787699359e-20,0.8683593415781549,1.330213974476551e-22,1.7121669209689324e-23,3.6738856276770326e-36,5.5449991763547055e-36,0.0,0.0,1.8691117612553928e-19,8.602100999731168e-36,3.846803634038128e-46,4.454759915784526e-46,4.6650006417572556e-49,1.0671093504710024e-58,3.885535564749958e-39,1.611577782266337e-32,1.5554687050972967e-45,1.0978315048337186e-32,1.667064725652973e-80,1.5837360273000077e-63,2.1952943216987867e-77,1.366686773307203e-76,1.988888131033138e-20,5.858901427434029e-67,1.2647119425589572e-52,3.566399871905936e-83,2.9350282388374627e-96,4.407214604582925e-78,4.367300908980741e-97,3.755746484828969e-94,1.0641065448715043e-51,3.899869906530471e-99,1.010110176375359e-97,4.329335191298737e-109,3.76,0.0,0.6900606595208018,0.9999999999999042,6.354341421626135e-47,1.4760434606945506e-59,5.055718501050244e-15,5.055718501050245e-15,9.578208298198376e-14,1.2742442212854721e-37,1.0978315048336996e-32,1.8704419752299712e-19,5.876028147285457e-31,1.7126830222384108e-35,7.564224345492868e-48,1.126843587328297e-32,1.30989233323312e-34,2.0005290169904206e-38,4.0583654917140315e-33,5.746704164568055e-32,2.627036167872648e-32,4.897337966743586e-33,2.5032019613704866e-34,4.2628648288508447e-41,5.322052833640921e-35,1.850520119060551e-37,1.4926030298505771e-47,1.23613146570449e-34,2.460061968492301e-43,1.9888881310347248e-20,1.311185674193144e-62,1.1736138302498974e-66,7.775135861668505e-48,3.7893701801752925e-51,4.489331675836532e-52,1.5447462481624321e-47,5.6343126072378976e-67,1.1000565055724778e-62
2.965921700094534e-20,0.8683593415781558,2.665062840858202e-22,3.430299580365151e-23,1.473392455386479e-35,2.2237926759635704e-35,0.0,0.0,3.744736107044508e-19,3.449827239262608e-35,3.0868176567527206e-45,3.574664281433997e-45,3.743438467462317e-48,8.56288049552242e-58,1.5582735462887653e-38,6.46314770266283e-32,1.2481656758426405e-44,4.402795351625598e-32,5.361030331325332e-79,2.5458094090963144e-62,7.069197507491805e-76,4.4009491738246913e-75,3.984706185864532e-20,9.404834342159589e-66,1.0148516856949129e-51,1.1484375847524427e-81,1.8894674800313155e-94,1.417316248515957e-76,2.8093048559465e-95,2.4206740560507395e-92,8.538784871879301e-51,2.5136223192142644e-97,6.510565152104653e-96,5.586916040960021e-107,3.76,0.0,0.6900606595207966,0.999999999999808,5.0989588084425794e-46,2.3693766487300804e-58,1.0129052746006536e-14,1.012905274600654e-14,1.9189790144015282e-13,5.110289440688206e-37,4.402795351625443e-32,3.7474011698857745e-19,2.3565500988437634e-30,6.868624935338922e-35,6.06981365904683e-47,4.519146778286498e-32,5.25325412017517e-34,8.023016116611512e-38,1.6275860769984576e-32,2.3046853976187085e-31,1.0535590003793127e-31,1.9640515634578552e-32,1.0038959449599114e-33,1.7102595977731885e-40,2.1343812209206173e-34,7.421413342915959e-37,1.1988345631697905e-46,4.957440050758868e-34,9.865949145485106e-43,3.9847061858708945e-20,2.1068417962897503e-61,1.885788350898738e-65,3.118283265018965e-47,3.0407309233714865e-50,3.6060753401420084e-51,1.2395618076423043e-46,9.053336630895819e-66,1.7674855276893213e-61
