Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CF3(1),O2(2),H2O(3),CH4(4),CH2CF2(57),HF(38),O2(161),S(164),CF2O(49),S(125),C2HF(58),S(463),C2HF(468),C2H2F3(68),S(165),S(464),S(130),C2H2F2(59),C2H3F2(65),C2H2F3(67),CF2(43),CHFCF2(55),CF2CH(73),C2HF2(72),S(179),C2H3F2(64),CHF2(82),CHF3(42),S(1244),S(1385),CF2O2(181),CF2O2(276),CH2F2(41),S(203),S(1542),CHO2(322),C2F(467),S(174),S(413),S(1894),C2H3F2(66),C2HF4(54),CHFO(47),S(2753),S(512),CF2CF2(61),C2HF3(169),C2HF4(69),C2HFO(577),S(3833),S(2867),F(37),S(344),CFO(51)
0.0,0.8379815559552868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7106268433852706,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.003171412565651e-23,0.8379815559552868,3.3772656733005558e-25,3.1802784928314086e-26,7.1103797951009e-41,1.12753501785418e-40,0.0,0.0,6.798475122451649e-22,2.1572008441042963e-40,9.177445856248142e-53,1.0648270506275024e-52,7.4788150003649735e-56,4.4789598371532863e-66,3.423180153292703e-44,3.53912344557887e-37,4.4375349751622396e-40,2.727199910035968e-37,1.269317727235346e-82,3.2843924773379006e-60,1.3378435695642924e-88,8.245322698447358e-88,4.641311593648322e-23,6.806361722962796e-76,1.843640493580986e-58,1.113561700060753e-94,1.1623960307597792e-97,3.548367226305199e-77,2.6133868370786312e-95,5.8101838821291146e-95,1.3590580605201433e-58,4.681956847788849e-111,5.922116600559633e-111,5.289663764412928e-112,3.76,0.0,0.7106268433852706,0.9999999999999996,1.5158310602747408e-53,3.924646535490907e-56,1.7341236408583356e-17,1.7341236408583356e-17,4.684000032436132e-16,3.815959142631878e-42,2.7271999100359673e-37,6.80185238812495e-22,7.410321493084327e-36,6.562225753603045e-40,5.050279784658031e-55,2.707243300787446e-37,2.244314460036137e-39,3.603193109549105e-43,5.083590838835855e-38,8.211779078211989e-37,1.0697623333859814e-24,1.1071600692663996e-37,3.570010415770972e-39,7.988087719554148e-46,9.822247143623924e-40,7.68965867850612e-44,1.550054638521578e-54,2.0256173951595702e-39,1.860589346266415e-46,4.6413115936483574e-23,1.7180296254872684e-71,1.4702593807898834e-75,9.13067578469558e-53,4.638568657128359e-58,2.5557774609169053e-59,8.304935041643874e-42,7.624281115324074e-76,1.312333597331073e-71,2.3814805094836892e-60,1.8337403213824212e-54,6.027625775627407e-49,2.1963912728069694e-62,5.276431917684839e-41,3.9936652791610735e-64,5.341922317620589e-76,9.44321140035001e-82,1.0130202541499823e-47,5.24926730933872e-81,1.7585506265031305e-54,1.650335870202693e-65,4.983759568948966e-58,5.999134995204677e-77,5.069968298396201e-75,1.0697623333855393e-24,2.0431243382941082e-74,1.033247558044295e-59
2.5208879955183826e-22,0.8379815559552868,9.456343885242307e-25,8.904779779928687e-26,4.294669396245756e-40,6.81031150784281e-40,0.0,0.0,1.9035730342864606e-21,1.3029493098389944e-39,1.0895464548706776e-51,1.2641626745049602e-51,8.896743916867881e-55,5.317421118668302e-65,2.0676008125887705e-43,2.1376305611296195e-36,2.6802711249990607e-39,1.6472287456621146e-36,2.84543995123037e-81,3.8992307490964947e-59,6.39103927418642e-87,3.9388896036989876e-86,1.299567246221519e-22,1.5225558919801965e-74,2.1887699939800929e-57,5.3196178686008185e-93,6.203884553107508e-96,1.1156634298264314e-75,1.2488896117576412e-93,2.775718379620647e-93,1.6134737294498585e-57,3.6786294698340175e-109,4.71820414567699e-109,4.210948610904585e-110,3.76,0.0,0.7106268433852706,0.9999999999999987,1.7995946360625473e-52,4.6593403669365045e-55,4.8555461944033394e-17,4.8555461944033394e-17,1.3115200090817808e-15,2.304839322789182e-41,1.647228745662114e-36,1.9045186686749853e-21,4.475834181822933e-35,3.963584355176028e-39,5.995692160346e-54,1.635174953675581e-36,1.3555659338624885e-38,2.1763286381676867e-42,3.0704888666566433e-37,4.959914563240063e-36,2.9953345334821753e-24,6.687246818369044e-37,2.1562862911257734e-38,4.8248215245525665e-45,5.932637274748842e-39,4.644553841845432e-43,2.25278735004666e-53,1.2234729066763337e-38,1.123795965150436e-45,1.29956724622154e-22,4.6662508097485497e-70,3.993294949267822e-74,5.514929975304807e-52,5.506908709742282e-57,3.862234753171771e-58,5.016180765154695e-41,2.0707912948843615e-74,3.5149642238800185e-70,2.8272936608590933e-59,2.7711459700430847e-53,3.640685968480244e-48,2.6075557187894396e-61,3.1869648782831817e-40,4.7412806979020426e-63,1.1969247749757726e-74,2.112409161558243e-80,6.11864384873951e-47,1.1742436220137169e-79,1.062164734869744e-53,1.959284896710597e-64,5.92986592890597e-57,1.3448310035078655e-75,1.1365389443538685e-73,2.9953345334795033e-24,6.423909819491112e-73,1.2266715009104956e-58
5.762029704042017e-22,0.8379815559552868,2.1614500309128817e-24,2.035378235412622e-25,2.067698444422557e-39,3.278871831925302e-39,0.0,0.0,4.3510240783690484e-21,6.273140054655283e-39,1.0697232066042641e-50,1.2411624102113831e-50,8.742717307205904e-54,5.220675586185622e-64,9.954607885774849e-43,1.0291770979743076e-35,1.29043517077878e-38,7.930697338390334e-36,5.627920902519558e-80,3.8282878715878805e-58,3.327800899695362e-85,2.0509716476068864e-84,2.970439419934846e-22,3.008313869942667e-73,2.148947359320308e-56,2.769913995470333e-91,2.954577651937888e-94,2.488983739385499e-74,6.501512555873194e-92,1.445258353455416e-91,1.584118075343327e-56,4.012824536286584e-107,5.1471824961737555e-107,4.59651120773588e-108,3.76,0.0,0.7106268433852705,0.999999999999997,1.766852685708447e-51,4.574568001773467e-54,1.1098391301493348e-16,1.1098391301493348e-16,2.997760020756771e-15,1.109680919618351e-40,7.930697338390328e-36,4.3531855283999624e-21,2.154921490188923e-34,1.9082952491474487e-38,5.886606116997363e-53,7.872663518689346e-36,6.52646644979483e-38,1.0478085562569187e-41,1.4783082159331461e-36,2.3879853559440772e-35,6.846478933680268e-24,3.219621481426675e-36,1.0381590289063586e-37,2.322960721759138e-44,2.8563094693658297e-38,2.2361527437511826e-42,2.3925824127951392e-52,5.890495385123333e-38,5.4105938190240655e-45,2.970439419934948e-22,1.0013320089016278e-68,8.569222308695449e-73,2.6552032202123812e-51,5.406715626747243e-56,4.1547965756764466e-57,2.4150751101127297e-40,4.4437165764637106e-73,7.503541658410421e-69,2.775853681854361e-58,2.981071552508979e-52,1.7528335755543844e-47,2.5601136666941125e-60,1.534386401665056e-39,4.655020212684391e-62,2.366809538684682e-73,4.173766884827477e-79,2.9458651695785717e-46,2.3201227497769233e-78,5.113867567805387e-53,1.9236505602867336e-63,5.827738281054229e-56,2.6599058751023143e-74,2.2479304890242796e-72,6.84647893366741e-24,1.4331389428500578e-71,1.2043533536573677e-57
1.2244313121089286e-21,0.8379815559552868,4.593081315691386e-24,4.325178750253316e-25,9.030182339852681e-39,1.4319694726803337e-38,0.0,0.0,9.245926166534205e-21,2.7396450720124457e-38,9.461580764238784e-50,1.0977940961148589e-49,7.735948603047934e-53,4.617628433711033e-63,4.347438794681392e-42,4.494686775884878e-35,5.635669418472581e-38,3.4635438857515564e-35,1.0019300392048274e-78,3.3860772684421375e-57,1.3280379810849423e-83,8.184889442006803e-83,6.312183767361315e-22,5.353133797974252e-72,1.900719603267104e-55,1.1053999627253205e-89,1.1399881805270486e-92,4.661591082710459e-73,2.5943826616757035e-90,5.767572314223883e-90,1.4011344980760272e-55,3.2836916588796233e-105,4.211875405293195e-105,3.762100755033803e-106,3.76,0.0,0.7106268433852704,0.9999999999999937,1.5627611917660936e-50,4.0461535922407612e-53,2.3584081515673365e-16,2.3584081515673365e-16,6.370240044101372e-15,4.846268120780802e-40,3.4635438857515516e-35,9.250519247849903e-21,9.411108296217093e-34,8.334026707072597e-38,5.206636446790961e-52,3.4381989919994907e-35,2.850279364255873e-37,4.576055249127761e-41,6.456160365318224e-36,1.0428959429329544e-34,1.454876773409928e-23,1.4060932879683118e-35,4.533913228030788e-37,1.0145127803932624e-43,1.2474253872402304e-37,9.765866522132661e-42,2.1880086810947675e-51,2.5725340918519343e-37,2.362948469841695e-44,6.312183767361762e-22,1.8462173852132907e-67,1.5799601993569338e-71,1.1595986167466256e-50,4.782178742749751e-55,3.8189668558554567e-56,1.0547267502915525e-39,8.193153445099549e-72,1.3805429440575215e-67,2.4552111460576602e-57,2.740118050240283e-51,7.655084735066798e-47,2.2643915447447155e-59,6.701068535483564e-39,4.1173174791218046e-61,4.2131431457109516e-72,7.42700358025223e-78,1.2865380689645821e-45,4.128588917607824e-77,2.233361719327438e-52,1.7014703156989657e-62,5.1568563583868844e-55,4.735389131340371e-73,4.0019557479010154e-71,1.4548767734043122e-23,2.684110631399074e-70,1.0652369024432953e-56
2.5208879955183825e-21,0.8379815559552868,9.456343885253207e-24,8.904779779939459e-25,3.7699233674295716e-38,5.978190664712588e-38,0.0,0.0,1.9035730342864445e-20,1.1437478875440876e-37,7.953028792492792e-49,9.227620848408545e-49,6.503765643557796e-52,3.881394931518704e-62,1.8149701172754851e-41,1.8764432508456592e-34,2.3527810438459022e-37,1.4459613923063371e-34,1.6902787534392296e-77,2.8462019705919535e-56,4.720054987042289e-82,2.9090379019174593e-81,1.2995672462213518e-21,9.028842580783896e-71,1.597669353498183e-54,3.9287645994873985e-88,3.992794695831874e-91,8.051739339580977e-72,9.220544262095809e-89,2.0498743311954444e-88,1.1777379703217256e-54,2.363608080152004e-103,3.0317055470550284e-103,2.7082225299383834e-104,3.76,0.0,0.7106268433852702,0.9999999999999869,1.3135949451949666e-49,3.401035893331911e-52,4.855546194403338e-16,4.855546194403338e-16,1.3115200090769052e-14,2.023221546061323e-39,1.4459613923063328e-34,1.9045186686749728e-20,3.9289524556333084e-33,3.479292094557389e-37,4.3764916569079457e-51,1.4353803980769945e-34,1.1899355267201028e-36,1.91041298668329e-40,2.695319862747788e-35,4.35388526726828e-34,2.995334533502863e-23,5.870162687250307e-35,1.892819522443258e-36,4.2355148689965765e-43,5.207755435549329e-37,4.0770570317308414e-41,1.8676194650024819e-50,1.0739823429129568e-36,9.864844714651696e-44,1.299567246221538e-21,3.165433321537954e-66,2.708921875506965e-70,4.841109429857965e-50,4.019709381162932e-54,3.267203875441808e-55,4.403276559104605e-39,1.4047577024929438e-70,2.3647479072606638e-66,2.0637529058310545e-56,2.344228566949149e-50,3.1958471862556434e-46,1.9033575313644146e-58,2.797564202777937e-38,3.4608615324275683e-60,7.107307292431634e-71,1.2526755481001176e-76,5.371054503250145e-45,6.963652406248173e-76,9.323857232748877e-52,1.4302273163617194e-61,4.335555591081202e-54,7.988708814630995e-72,6.751390070030784e-70,2.995334533479417e-23,4.636133624570719e-69,8.95395801843776e-56
5.11380136233729e-21,0.8379815559552868,1.9182869024396095e-23,1.806398183933076e-24,1.5401367051948227e-37,2.44228595011497e-37,0.0,0.0,3.861533869552465e-20,4.672583316363585e-37,6.52037352858486e-48,7.565361080893435e-48,5.3326713590130495e-51,3.182202068862608e-61,7.414745139235536e-41,7.665882948059474e-34,9.611878257726418e-37,5.907224093178811e-34,2.776589586992686e-76,2.3334883357805973e-55,1.5898445143123799e-80,9.798440828697542e-80,2.6362649851914978e-21,1.482990105090563e-69,1.3098658631221473e-53,1.3233161189444734e-86,1.3356941500595929e-89,1.3378085336759517e-70,3.105687024599712e-87,6.90452382420424e-87,9.655807440042652e-54,1.6022315628042127e-101,2.055116219633721e-101,1.8359198037604224e-102,3.76,0.0,0.7106268433852697,0.9999999999999734,1.0769645001703866e-48,2.7883747073048855e-51,9.849822280075339e-16,9.849822280075339e-16,2.6605120184018342e-14,8.265520214289377e-39,5.907224093178778e-34,3.863452156454918e-20,1.605105276688037e-32,1.4214043471309406e-36,3.5881122768216342e-50,5.863997279233328e-34,4.861274893092235e-36,7.804660403010737e-40,1.1011261100526763e-34,1.7787041954572697e-33,6.076250053725256e-23,2.3981529964336698e-34,7.732785360989162e-36,1.7304471292816326e-42,2.1275380202974532e-36,1.665610828726712e-40,1.5425151712290961e-49,4.3875683026059534e-36,4.030110948218273e-43,2.636264985192258e-21,5.240401939903247e-65,4.484643336142336e-69,1.9777621733959202e-49,3.2956006112835656e-53,2.701386300726989e-54,1.798882149781415e-38,2.3255883923141346e-69,3.913081490961211e-65,1.6919893188995995e-55,1.9382534673430306e-49,1.3056078535192324e-45,1.5604874972474853e-57,1.1428962591163543e-37,2.8374366709713578e-59,1.1674752935928692e-69,2.0575326758124462e-75,2.1942602692981031e-44,1.1438423646402965e-74,3.809109464881257e-51,1.1726507126135807e-60,3.5549113875507227e-53,1.312290294650865e-70,1.1090382526023681e-68,6.076250053629474e-23,7.703005356473772e-68,7.340995758903585e-55
1.0299628095975105e-20,0.8379815559552869,3.863591930275886e-23,3.638238595818942e-24,6.225478809308111e-37,9.87211029846824e-37,0.0,0.0,7.777455540084391e-20,1.8887328846537575e-36,5.280367544617398e-47,6.126625548537326e-47,4.318731529649792e-50,2.5770297395237227e-60,2.9971585368529882e-40,3.098672454527895e-33,3.885274872536994e-36,2.3877944268687407e-33,4.50121302278044e-75,1.889719354100757e-54,5.2180288860418956e-79,3.215946390971634e-78,5.309660463130612e-21,2.4039908667503097e-68,1.0607633365347042e-52,4.343256005275932e-85,4.3693458982496824e-88,2.180965555363612e-69,1.01931028583787e-85,2.266131088912489e-85,7.819523208715963e-53,1.0550137726682387e-99,1.353222122220016e-99,1.2089159779264415e-100,3.76,0.0,0.7106268433852687,0.9999999999999464,8.721537744424812e-48,2.25809813150034e-50,1.9838374451419326e-15,1.9838374451419326e-15,5.3584960370172614e-14,3.3410554553860173e-38,2.387794426868714e-33,7.78131913201472e-20,6.48809216262699e-32,5.7455436340951294e-36,2.90574634986289e-49,2.3703214575143002e-33,1.96500503691781e-35,3.154768520681957e-39,4.4509277917402805e-34,7.189806748372322e-33,1.2238081094316144e-22,9.693717843259568e-34,3.1257154795178125e-35,6.995561359041749e-42,8.59984884210511e-36,6.732665279343224e-40,1.2536876456259346e-48,1.7735252590926618e-35,1.629035281463719e-42,5.309660463133685e-21,8.527826244820555e-64,7.297962938552719e-68,7.994519931956628e-49,2.6688628192247656e-52,2.1967220629030997e-53,7.271369266015475e-38,3.7844833190138685e-68,6.366436416922812e-64,1.3702168182312776e-54,1.5761555122344403e-48,5.277475692724332e-45,1.2637232288092598e-56,4.619769412814405e-37,2.2978513077467177e-58,1.8926060492831174e-68,3.335379370340628e-74,8.86962563576522e-44,1.8544134785134442e-73,1.5397106732513241e-50,9.497465260289153e-60,2.8790034056060845e-52,2.1273930075671874e-69,1.797895049091429e-67,1.2238081093928972e-22,1.255784286924046e-66,5.944928693777922e-54
2.0671281563250734e-20,0.8379815559552873,7.754201985979231e-23,7.301919419621097e-24,2.503237648763323e-36,3.96953213203726e-36,0.0,0.0,1.5609298881147784e-19,7.59451185970236e-36,4.2500991851232314e-46,4.931241245836427e-46,3.476169149366648e-49,2.074217730886918e-59,1.205144265685581e-39,1.2459625655083687e-32,1.5622519382298347e-35,9.601216371574483e-33,7.249259689541955e-74,1.521010538072658e-53,1.6909332914396933e-77,1.0421465527736852e-76,1.0656451419004131e-20,3.8715531800455565e-67,8.5379461758792e-52,1.4074579373545816e-83,1.4135992813052105e-86,3.5222651976701256e-68,3.3031240074407243e-84,7.343528157831818e-84,6.293832561608974e-52,6.848289144087295e-98,8.784013516173925e-98,7.847382267803748e-99,3.76,0.0,0.7106268433852667,0.9999999999998924,7.019852333405135e-47,1.8175138263750687e-49,3.981547879410724e-15,3.981547879410725e-15,1.0754464074110393e-13,1.3434237286200794e-37,9.60121637157427e-33,1.5617053083133976e-19,2.608833322926303e-31,2.3102578254423297e-35,2.3387974565884706e-48,9.530958330125468e-33,7.901198829638986e-35,1.2685185469911913e-38,1.789698489158667e-33,2.8909896716024404e-32,2.456174317608232e-22,3.897801310254312e-33,1.2568364469222446e-34,2.8135417969353955e-41,3.4579613959009484e-35,2.7071750985883693e-39,1.010881928811098e-47,7.131267064318493e-35,6.550279221311221e-42,1.065645141901648e-20,1.3760116774369387e-62,1.1775664673054715e-66,3.214632885275231e-48,2.1481329827160942e-51,1.77173576102699e-52,2.9237856012922393e-37,6.106472025178073e-67,1.027147158190505e-62,1.102869701483059e-53,1.271226513710335e-47,2.1220497649143694e-44,1.0171543882029692e-55,1.857588962469699e-36,1.8495452933339206e-57,3.048046299886163e-67,5.371623046122317e-73,3.5664976083239503e-43,2.9871061230918674e-72,6.191171023534534e-50,7.646053649787295e-59,2.3173299274063493e-51,3.426191926347858e-68,2.895531516637125e-66,2.4561743174525515e-22,2.028094977758942e-65,4.784995809940286e-53
4.1414588497801995e-20,0.8379815559552879,1.5535422097509096e-22,1.46292810673471e-23,1.0039102573476018e-35,1.5919599267244813e-35,0.0,0.0,3.127298556327273e-19,3.0457389285853224e-35,3.410436935608546e-45,3.957010541052977e-45,2.789438116311781e-48,1.66442909936343e-58,4.833167519339127e-39,4.996867158060413e-32,6.265329006898886e-35,3.850517190019062e-32,1.163682841570062e-72,1.2205151669442376e-52,5.445074626673956e-76,3.3558779523997953e-75,2.1350033330732322e-20,6.214700273836751e-66,6.851164105398477e-51,4.5322388189367044e-82,4.5483234623554974e-85,5.6619384338787736e-67,1.063656712903648e-82,2.3647323744268787e-82,5.0504042591059166e-51,4.413935793059492e-96,5.661570197389084e-96,5.057909858796396e-97,3.76,0.0,0.7106268433852627,0.9999999999997845,5.6329894027218314e-46,1.458440382717215e-48,7.976968747948284e-15,7.976968747948286e-15,2.154640014774577e-13,5.387730209267077e-37,3.85051719001889e-32,3.128852098537112e-19,1.0462588454156747e-30,9.265167168023608e-35,1.8767376665927323e-47,3.8223405728988196e-32,3.1687341206436238e-34,5.087326732229756e-38,7.177491403671568e-33,1.1594161609865897e-31,4.920906734195226e-22,1.5631926588361555e-32,5.040476286032291e-34,1.1288833475960469e-40,1.3867971808596295e-34,1.085698296783578e-38,8.118905972360044e-47,2.859957046491961e-34,2.626954937845016e-41,2.1350033330781845e-20,2.2109082341709143e-61,1.8920561805672606e-65,1.2892689801074194e-47,1.7237414339177746e-50,1.4231544488018306e-51,1.17256879568253e-36,9.811580456192954e-66,1.650280083474724e-61,8.849834791347763e-53,1.0211182652323812e-46,8.510368667672391e-44,8.162023259028685e-55,7.449762566963033e-36,1.4841992302773946e-56,4.892839422914095e-66,8.622957302839245e-72,1.430373302399987e-42,4.796990686106436e-71,2.4829863175111233e-49,6.138152408518566e-58,1.8595343179830908e-50,5.4998696693120365e-67,4.648030906490439e-65,4.920906733570878e-22,3.260103443978734e-64,3.839657789095922e-52
