Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CF3(1),O2(2),H2O(3),CH4(4),CH2CF2(57),HF(38),O2(161),S(164),CF2O(49),S(125),C2HF(58),S(463),C2HF(468),C2H2F3(68),S(165),S(464),S(130),C2H2F2(59),C2H3F2(65),C2H2F3(67),CF2(43)
7.459269388852555e-20,0.8130214206043144,2.376976208570452e-22,1.312941906157157e-23,2.333822273652509e-35,3.79876033689291e-35,0.0,0.0,3.8846053766967104e-19,5.40887146403631e-35,2.1807239514048076e-47,1.770878717716398e-61,7.120535923575286e-48,2.6235845245823565e-75,7.259332228676721e-56,1.2993365576619199e-48,1.0098074254671282e-44,7.244492351753624e-32,4.447555952701956e-98,1.1802531319581443e-62,4.411845516724688e-97,3.169484681539259e-108,3.4867712847967622e-37,9.871642396957532e-83,1.0376567200356679e-51,2.058241393987135e-98,1.2068468072555037e-102,1.1746699483953242e-92,3.734793944081977e-102,1.576267437803474e-97,1.0421509212033255e-50,1.3013976086086392e-105,3.387393668686273e-107,3.2870278027201567e-106,3.76,0.0,0.6678000030464409,0.9999999999996589,1.5420913618567559e-47,9.841546184246439e-76,9.44391869593178e-15,9.443918695931783e-15,3.41180469502917e-13,1.1267993251930322e-36,7.244492351753625e-32,3.8869823529052014e-19,1.310460769340379e-30,2.2831501175420666e-34,2.8065339578850974e-47,7.068289998140959e-32,4.799063564277553e-34,7.444694214276983e-38,8.945924960890797e-33,1.554648708689523e-31,9.048002707950792e-32,2.7815051296195324e-32,3.4867713859632493e-37
1.4925019463533827e-19,0.8130214206043158,4.756017557243103e-22,2.627024509118009e-23,9.341371211050703e-35,1.5204941202846081e-34,0.0,0.0,7.772585736342606e-19,2.164958178198497e-34,1.7459051348244437e-46,2.835715132170434e-60,5.700758330119661e-47,4.2011535958901925e-74,5.811879877204176e-55,1.0402599482961725e-47,8.084599465149808e-44,2.899684910214599e-31,2.8514452676291256e-96,1.8906026527000083e-61,2.8281678448686088e-95,4.0649737846132096e-106,1.395617192734994e-36,3.162825552377264e-81,8.307563170029199e-51,1.319592853096398e-96,7.737417866050777e-101,7.531118824794509e-91,4.790244301727656e-100,1.0106009933525811e-95,8.343544094223481e-50,1.6691717328218474e-103,4.344668933136616e-105,4.2159397382319346e-104,3.76,0.0,0.6678000030464315,0.9999999999993174,1.234610747220019e-46,3.153182873071887e-74,1.8896042360322054e-14,1.8896042360322063e-14,6.826573598331766e-13,4.510134302301156e-36,2.8996849102146e-31,7.777341753899528e-19,5.2452582366883436e-30,9.138550530874071e-34,2.246933659102362e-46,2.8291580487747098e-31,1.9208760982102913e-33,2.9798178290341404e-37,3.580701359567783e-32,6.222646366231855e-31,3.621559060718047e-31,1.1133269330052998e-31,1.3956172737296972e-36
2.985651961289637e-19,0.8130214206043186,9.514100254716336e-22,5.255189715339312e-23,3.737765254419549e-34,6.0839570165466035e-34,0.0,0.0,1.5548546455628708e-18,8.662652701406661e-34,1.3972547243596127e-45,4.538992480694351e-59,4.562339241863094e-46,6.724581987092631e-73,4.6512704259561894e-54,8.325243748095992e-47,6.470136646876733e-43,1.1602516657917662e-30,1.82652958984299e-94,3.0267235100409013e-60,1.8114966131229986e-93,5.2083139670909295e-104,5.5842866464761446e-36,1.0127286340753669e-79,6.648575394325749e-50,8.452820601977294e-95,4.956307786080448e-99,4.824154222240301e-89,6.137733546926115e-98,6.473717711372184e-94,6.677371050108864e-49,2.1387074846947433e-101,5.566818430569635e-103,5.40187788716975e-102,3.76,0.0,0.6678000030464126,0.9999999999986344,9.880638212632326e-46,1.0096410721500845e-72,3.780028968910205e-14,3.780028968910209e-14,1.3656111402401585e-12,1.804641575434187e-35,1.1602516657917669e-30,1.5558060555882136e-18,2.0987865212000358e-29,3.656610563503895e-33,1.7982298162880155e-45,1.1320317343976224e-30,7.686006453346314e-33,1.1923152708748003e-36,1.4327469516842346e-31,2.4898690837258837e-30,1.449095354184506e-30,4.454757907511631e-31,5.584287294679929e-36
5.971951991162146e-19,0.8130214206043243,1.903026565017451e-21,1.0511520128980313e-22,1.4953494904660305e-33,2.433978970188275e-33,0.0,0.0,3.1100467894178143e-18,3.465625158627197e-33,1.1180160717933028e-44,7.263866953270478e-58,3.6505645738276244e-45,1.0761521300691845e-71,3.7217233118213877e-53,6.661460933709017e-46,5.177092357372495e-42,4.6417621757238716e-30,1.1694926705892615e-92,4.844165489781512e-59,1.1598282054315364e-91,6.669938262379952e-102,2.2340782854665172e-35,3.241731131634542e-78,5.319870498940641e-49,5.41218307629855e-93,3.1734388450925995e-97,3.0888155916848066e-87,7.860282739233712e-96,4.1452360269055626e-92,5.342911368372755e-48,2.7389337452678004e-99,7.129140830698196e-101,6.917909877650344e-100,3.76,0.0,0.6678000030463748,0.9999999999972685,7.906011784973155e-45,3.2318478815587907e-71,7.560878434665986e-14,7.560878434666005e-14,2.731518700039973e-12,7.21974447278312e-35,4.641762175723877e-30,3.111949815982316e-18,8.396512732508712e-29,1.462882329441229e-32,1.438857067006617e-44,4.528864072278637e-30,3.074903066838805e-32,4.7700374726949046e-36,5.731920754773642e-31,9.961097640355138e-30,5.797325010840321e-30,1.782193239422549e-30,2.2340788041280304e-35
1.1944552050907164e-18,0.8130214206043356,3.806259644313772e-21,2.1024180961055906e-22,5.981884774176847e-33,9.736708264801737e-33,0.0,0.0,6.220431077118591e-18,1.3863628870960054e-32,8.944977839811346e-44,1.1623370459821518e-56,2.920728962608702e-44,1.7220188280094216e-70,2.977661804688104e-52,5.329675175058805e-45,4.142067143730556e-41,1.856855984788733e-29,7.486397449736018e-91,7.751791267087507e-58,7.424406082824857e-90,8.539631292842721e-100,8.937040447214761e-35,1.0375139141569502e-76,4.256300554623842e-48,3.4645586439926444e-91,2.0314570655455734e-95,1.9772762918042102e-85,1.0063712325063395e-93,2.6538358458067744e-90,4.2747349519583045e-47,3.506723895355939e-97,9.127613455477829e-99,8.857169297496769e-98,3.76,0.0,0.6678000030462992,0.9999999999945367,6.325409978323539e-44,1.0343507834848182e-69,1.5122577366176678e-13,1.512257736617675e-13,5.463333815583007e-12,2.8881352757732175e-34,1.8568559847887377e-29,6.224237336760844e-18,3.3588784420109916e-28,5.852005558913137e-32,1.1511949508649202e-43,1.8116930662832294e-29,1.2300613326543748e-31,1.908170278045997e-35,2.29295490435515e-30,3.9847633403684524e-29,2.319118736521749e-29,7.129353151863913e-30,8.937044596900843e-35
2.38897521703972e-18,0.8130214206043581,7.612725803725156e-21,4.204950264438142e-22,2.3928512757992747e-32,3.8948417887584556e-32,0.0,0.0,1.2441199652483715e-17,5.545677203690658e-32,7.156322005014137e-43,1.8598339461486836e-55,2.336694100293245e-43,2.7553710722185393e-69,2.382243250456832e-51,4.263942721908335e-44,3.3138110263192465e-40,7.427726188727744e-29,4.791820633094804e-89,1.2403767287806647e-56,4.7521017396964047e-88,1.0932078860519082e-97,3.574961644977491e-34,3.3203004862866765e-75,3.405202176779712e-47,2.2175616968683755e-89,1.30028812283036e-93,1.2655958251994234e-83,1.2883184295042225e-91,1.699028020287246e-88,3.419950317287479e-46,4.4891754463306955e-95,1.1684825905663024e-96,1.1338613512018693e-95,3.76,0.0,0.667800003046148,0.9999999999890731,5.0605682160198994e-43,3.3101776686154432e-68,3.0245975229194573e-13,3.024597522919487e-13,1.0926964030442691e-11,1.1553030778853815e-33,7.427726188727782e-29,1.2448812378279196e-17,1.343606048552377e-27,2.340897474509836e-31,9.209996819207142e-43,7.247067149853637e-29,4.920445563104977e-31,7.632991701741384e-35,9.172192831999199e-30,1.593970195336304e-28,9.276852423298501e-29,2.851857303728592e-29,3.574964964883959e-34
4.778015240937727e-18,0.8130214206044034,1.5225658125822888e-20,8.410014608772979e-22,9.571599840515032e-32,1.5579684129434127e-31,0.0,0.0,2.4882736803068224e-17,2.2183160133265592e-31,5.7251935150421604e-42,2.9758100539668214e-54,1.8693996580831257e-42,4.40870840577187e-68,1.9058409859744425e-50,3.4112352121160142e-43,2.6511117469496276e-39,2.971150934332399e-28,3.0669336274909533e-87,1.9846748698111584e-55,3.0414993211349284e-86,1.3993925524251496e-95,1.4300137516012531e-33,1.0625371203448548e-73,2.7242265359964614e-46,1.4193182154852286e-87,8.322464787484936e-92,8.10025811678078e-82,1.649152078726821e-89,1.0879324240276457e-86,2.7360252044859012e-45,5.746508678973034e-93,1.4957524897370405e-94,1.4514344952902884e-93,3.76,0.0,0.6678000030458454,0.9999999999781458,4.048550669354498e-42,1.059297681537331e-66,6.049277095521641e-13,6.049277095521761e-13,2.1854224395256536e-11,4.621321996929912e-33,2.9711509343324294e-28,2.4897962461161076e-17,5.37453353965115e-27,9.363780397907833e-31,7.368172344788323e-42,2.8988858375177335e-28,1.9682182832692434e-30,3.053258800164105e-34,3.6689517741632003e-29,6.376010502306994e-28,3.7108164656258145e-28,1.1407661305144626e-28,1.430016407589469e-33
9.55609528873374e-18,0.813021420604494,3.045152278311823e-20,1.6820143328121595e-21,3.828678885291586e-31,6.2319370496836e-31,0.0,0.0,4.9765811103654304e-17,8.873354317694443e-31,4.580209199789448e-41,4.76135667845477e-53,1.4955374851726966e-41,7.054031374990595e-67,1.5246927220142665e-49,2.7290205834493553e-42,2.1209145677413838e-38,1.1884724718893289e-27,1.962891427343504e-85,3.1755374758005236e-54,1.9466089228816703e-84,1.791277803127424e-93,5.7201131931354976e-33,3.4001843883825546e-72,2.1794073063535592e-45,9.083896098147957e-86,5.3267333732399246e-90,5.184307563027483e-80,2.110981535464277e-87,6.9692919975583e-85,2.1888461548113698e-44,7.355764169967698e-91,1.9146238516221395e-92,1.8578950213180254e-91,3.76,0.0,0.6678000030452405,0.9999999999562913,3.238878975617129e-41,3.3898179057176747e-65,1.2098636240720426e-12,1.2098636240720909e-12,4.3708744865262104e-11,1.8485601348666918e-32,1.1884724718893535e-27,4.9796262626305535e-17,2.1498352851427166e-26,3.7455502551462755e-30,5.894607832273432e-41,1.1595661302930984e-27,7.872953336379475e-30,1.221315944429912e-33,1.4675956357660302e-28,2.5504301455657745e-27,1.4843416852620866e-27,4.5631109406230645e-28,5.72013444129339e-33
1.9112255384325765e-17,0.8130214206046754,6.090325215010842e-20,3.3640400889534568e-21,1.5314793449886665e-30,2.4927875014843457e-30,0.0,0.0,9.953195970249468e-17,3.549359779943091e-30,3.664189151267187e-40,7.61821915658495e-52,1.196437103395724e-40,1.1286548292126346e-65,1.2197643569528573e-48,2.1832294315292063e-41,1.6967417215136615e-37,4.7539141342216476e-27,1.2562677750491369e-83,5.080906108753976e-53,1.2458455172295585e-82,2.2928710054043154e-91,2.2880569138457202e-32,1.0880695381758707e-70,1.7435365311856273e-44,5.81378624863378e-84,3.4094245283576136e-88,3.318002420032876e-78,2.7020991639159456e-85,4.4685148505266104e-83,1.7510873373890348e-43,9.415527358219166e-89,2.4507573746438988e-90,2.378143321016774e-89,3.76,0.0,0.6678000030440305,0.9999999999125823,2.5911185582575627e-40,1.0847521813854296e-63,2.419735453109567e-12,2.4197354531097602e-12,8.741778476678483e-11,7.394378402616761e-32,4.7539141342218435e-27,9.959286295411729e-17,8.599384879324187e-26,1.498227717825292e-29,4.7157142481661745e-40,4.6382881091754326e-27,3.149197444511678e-29,4.8852886294401665e-33,5.870412376959795e-28,1.0201772473537508e-26,5.937396936134884e-27,1.8252536600883763e-27,2.2880739124728937e-32
3.822457557550982e-17,0.8130214206050379,1.2180671109368684e-19,6.728091650322359e-21,6.1259329698954014e-30,9.97117538499553e-30,0.0,0.0,1.9906425689084839e-16,1.419747522484198e-29,2.9313600955181295e-39,1.2189189417911474e-50,9.571525475933909e-40,1.805861894446827e-64,9.758190869072992e-48,1.7465887298373837e-40,1.3573974028416628e-36,1.9015705432274694e-26,1.0622823716447321e-81,8.129486691268187e-52,7.97346222779705e-81,4.8815819548078815e-89,9.15225092216676e-32,3.4818397404673336e-69,1.3948339074212732e-43,4.9164806644807594e-82,2.8839418654277198e-86,2.8058838777782764e-76,6.0545693972604706e-83,3.801438197243178e-81,1.4008740625114952e-42,2.109728844347767e-86,5.491390275402725e-88,5.328684614819146e-87,3.76,0.0,0.6678000030416107,0.9999999998251641,2.072901000304611e-39,3.471223699524936e-62,4.839479111175688e-12,4.839479111176461e-12,1.748358604158767e-10,2.957839086321234e-31,1.9015705432276264e-26,1.99186063599832e-16,3.4397626994951265e-25,5.992926075158561e-29,3.772582590842894e-39,1.855319959142108e-26,1.259682255186256e-28,1.954120424436345e-32,2.348170902825373e-27,4.080719369098998e-26,2.3749648110275953e-26,7.301033208751448e-27,9.152386911587468e-32
7.644921595787794e-17,0.8130214206057627,2.436136298192359e-19,1.3456194969405428e-20,2.4503763124793822e-29,3.98847524243941e-29,0.0,0.0,3.981288512302475e-16,5.678997310365663e-29,2.3450916788638098e-38,1.9502734051830803e-49,7.657232140502211e-39,2.889410590290424e-63,7.806639574237821e-47,1.3972730556210768e-39,1.0859195304308224e-35,7.606292273559695e-26,6.824453143759062e-80,1.3007208237028197e-50,5.103032376151047e-79,6.271691851391895e-87,3.6609050170678966e-31,1.1141916458055286e-67,1.1158696517574343e-42,3.1585432067016625e-80,1.8535118000938235e-84,1.802594275486781e-74,7.775830504539827e-81,2.4654900248827586e-79,1.1207009705247432e-41,2.7095064257827097e-84,7.052544869436789e-86,6.843583402795296e-85,3.76,0.0,0.667800003036771,0.9999999996503277,1.6583232658432016e-38,1.1107942567158743e-60,9.67896642727221e-12,9.678966427275305e-12,3.49671995098248e-10,1.1832013016765249e-30,7.606292273560949e-26,3.9837246485162636e-16,1.3759068293493443e-24,2.3971734486702257e-28,3.0180705485395607e-38,7.421289250409426e-26,5.038736018575105e-28,7.816491661517918e-32,9.392695397389946e-27,1.6322898247035232e-25,9.499871297614251e-26,2.92041699772696e-26,3.6610138087655946e-31
