Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CF3(1),O2(2),H2O(3),CH4(4),CH2CF2(57),HF(38)
4.664681186011958e-16,0.8066799637073562,0.0,6.78935705088723e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6579546707074514,1.0,0.0,0.0,5.2755283462175255e-11,5.2755283462175255e-11
9.329378189274497e-16,0.8066799637152112,0.0,1.3578737123489657e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6579546706546959,1.0,0.0,0.0,1.0551074580414875e-10,1.0551074580414875e-10
1.8658772195799576e-15,0.8066799637309208,0.0,2.715749726869451e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.657954670549185,1.0,0.0,0.0,2.1102167047117576e-10,2.1102167047117576e-10
3.731756020884973e-15,0.8066799637623397,0.0,5.431501755910422e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6579546703381631,1.0,0.0,0.0,4.2204351973755e-10,4.2204351973755e-10
7.463513623495003e-15,0.8066799638251777,0.0,1.0863005813992368e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6579546699161194,1.0,0.0,0.0,8.440872179995794e-10,8.440872179995794e-10
1.4927028828715065e-14,0.806679963950854,0.0,2.1726013930156254e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.657954669072032,1.0,0.0,0.0,1.688174613440762e-09,1.688174613440762e-09
2.985405923915519e-14,0.8066799642022066,0.0,4.345203016248404e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6579546673838572,1.0,0.0,0.0,3.3763493999916215e-09,3.3763493999916215e-09
5.970812006003544e-14,0.8066799647049119,0.0,8.690406262713956e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6579546640075077,1.0,0.0,0.0,6.752698955767321e-09,6.752698955767321e-09
1.1941624170179593e-13,0.8066799657103222,0.0,1.7380812755645063e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6579546572548087,1.0,0.0,0.0,1.3505397998014633e-08,1.3505397998014633e-08
2.3883248498531694e-13,0.8066799677211425,0.0,3.4761625741507274e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6579546437494107,1.0,0.0,0.0,2.7010795805292934e-08,2.7010795805292934e-08
