Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CF3(1),O2(2),H2O(3),CH4(4),CH2CF2(57),HF(38),O2(161),S(164),CF2O(49),S(125),C2HF(58),S(463),C2HF(468),C2H2F3(68),S(165),S(464),S(130),C2H2F2(59),C2H3F2(65),C2H2F3(67),CF2(43),CHFCF2(55),CF2CH(73),C2HF2(72),S(179),C2H3F2(64),CHF2(82),CHF3(42),S(1244),S(1385),CF2O2(181),CF2O2(276),CH2F2(41),S(203),S(1542),CHO2(322),C2F(467),S(174),S(413),S(1894),C2H3F2(66),C2HF4(54),CHFO(47),S(2753),S(512),CF2CF2(61),C2HF3(169),C2HF4(69),C2HFO(577),S(3833),S(2867),F(37),S(344),CFO(51),C1OO1(180),CH2O2(318),C2H2O(623),S(3850),S(970),S(2764),CHF2O(206),CF3(45),S(1375),C3HF3(994),CH2F(46),S(2131),CF3O2(511),S(1368)
0.0,0.504180589464734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6972472670007926,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.954410992686816e-21,0.504180589464734,4.202844179053359e-29,2.1263237477695027e-33,5.462947234462663e-43,6.986390844851063e-44,0.0,0.0,2.9699898550430662e-24,4.540940981335506e-43,4.9713524549776925e-55,5.783931021669236e-55,1.6290836959768598e-60,7.61680288543955e-73,6.433528019926009e-51,2.5156537805142267e-41,8.386202345840896e-26,1.8108687388838232e-40,5.9308279923379155e-95,1.8442509194270923e-76,8.578369393443572e-96,3.0890582103799855e-89,3.778479411805576e-29,3.608492042699734e-77,1.8162451006193044e-44,1.405848408672539e-97,1.6294011842574584e-88,5.459678180799942e-67,7.361699052147319e-64,8.735796218457841e-66,5.40131474718539e-60,1.603108137527071e-97,9.625703237771358e-102,2.8623884987699815e-99,3.76,0.0,0.6972472670007926,0.9999999999999994,9.18099797266563e-56,1.5657599580232395e-41,1.0931364471262038e-20,1.0931364471262038e-20,5.049752466745513e-16,2.1477729771516762e-44,1.805802205146606e-40,2.9700318834848557e-24,4.979957883646613e-44,1.5539031955362552e-39,6.420970493512177e-67,1.3266897762165957e-40,3.299593249772835e-45,2.792264629202648e-48,2.5076399356897522e-46,1.2549396614728417e-44,6.464475816690863e-32,1.0761281383762567e-41,4.93488785584459e-43,1.398854382052154e-50,2.0125788064359034e-45,3.1689120482124037e-53,9.678124857083046e-59,4.528561987510495e-46,1.2952003091198658e-59,3.7784794118082755e-29,1.9756811123754357e-73,7.372979363058316e-78,4.404422524849625e-62,4.026438103852595e-62,2.520637166577171e-66,5.907006206607785e-46,7.700424240741339e-78,1.3926377273087903e-53,4.580719484026269e-72,1.0548745431275712e-61,4.4333583136791255e-60,2.3974706645239717e-73,1.254536291393779e-49,9.692522104475416e-72,5.2377068960629406e-58,2.256243271965692e-86,3.9526593218717205e-52,1.3256344245715694e-87,5.4682561242621e-63,2.5180235370916538e-73,4.459718237784137e-68,1.3443507873322084e-85,2.4192598577159184e-83,6.46447581665766e-32,1.1216783186724605e-79,6.289683582774838e-70,1.6622279242209304e-58,9.78079337782779e-59,1.8621994483570667e-110,3.550861236721726e-123,2.0599886689502097e-56,1.146531235607001e-87,6.346785456786756e-68,8.386202345840881e-26,2.5058305686953975e-83,3.1859059908910046e-102,4.934652774634349e-43,6.523329165277682e-108,1.6619107927106614e-40,7.432160469181176e-82
1.3872350779523084e-20,0.504180589464734,1.17679637013497e-28,5.953706493952571e-33,3.2996201296178183e-42,4.2197800703069595e-43,0.0,0.0,8.315971594120582e-24,2.7427283527266454e-42,5.901989634542861e-54,6.866682910318457e-54,1.9340483511684722e-59,9.042668385583677e-72,3.8858509240323766e-50,1.5194548834287185e-40,2.3481366568354506e-25,1.0937647182935947e-39,1.34376156770231e-93,2.1894946915656594e-75,4.097990028759002e-94,8.71164711717962e-88,1.0579742353047461e-28,8.072832309696559e-76,1.0970120407740096e-43,8.552443703105265e-96,5.121153749720152e-87,8.250665666852472e-66,1.112499960760503e-62,1.3201535245333468e-64,6.412440867857476e-59,9.752489169701094e-96,5.799349301526533e-100,1.741335636242819e-97,3.76,0.0,0.6972472670007926,0.9999999999999986,1.0899680793203313e-54,9.457190146460363e-41,3.060782051953371e-20,3.060782051953371e-20,1.4139306906663306e-15,1.2972548782871442e-43,1.0907045319163142e-39,8.316089273757586e-24,3.0078945617225543e-43,9.385575301037454e-39,7.622976169897645e-66,8.013206248347975e-40,1.9929543228989148e-44,1.686527836042817e-47,1.5146145211553505e-45,7.57983555529609e-44,1.810053228684168e-31,6.499813955792597e-41,2.9806722649301397e-42,8.449327415672773e-50,1.215597599087228e-44,1.9140228901704293e-52,1.1522476886957902e-57,2.735251440456311e-45,7.823010393766008e-59,1.057974235306377e-28,4.431501080807763e-72,1.653777313121952e-76,2.7892140398692254e-61,4.780187316810362e-61,2.9941355733249055e-65,3.567831748808584e-45,1.727224000430542e-76,1.6533395098451217e-52,5.438230171435962e-71,1.594126019349529e-60,2.677748421475289e-59,2.846277259181518e-72,7.577399200074894e-49,1.2384864130682354e-70,6.218205627005929e-57,5.414973283241196e-85,2.3929172392752308e-51,4.1614963610414185e-86,3.3028308079355115e-62,2.9894775571340297e-72,5.3656836049491715e-67,3.045840927600097e-84,5.481218710685096e-82,1.8100532286641132e-31,3.5267361024372093e-78,7.467112349544086e-69,1.017764227644958e-57,1.1611757898100499e-57,1.1328667286329736e-108,3.92379223861819e-121,2.4456185477772972e-55,2.5648100916964515e-86,7.534903694345376e-67,2.3481366568354414e-25,7.878732240896058e-82,1.5219455227205255e-100,2.9805302758791515e-42,3.116272622203136e-106,1.0037941187972298e-39,2.336790166077805e-80
3.1708230353195625e-20,0.504180589464734,2.689820274594357e-28,1.3608471987110564e-32,1.5886250557852964e-41,2.0316424577080653e-42,0.0,0.0,1.9007935072275595e-23,1.3205056373723636e-41,5.794608421501339e-53,6.741750003175157e-53,1.8988602220236608e-58,8.878145443236854e-71,1.8708699481900844e-49,7.3155211937072565e-40,5.36716950133817e-25,5.266006292788422e-39,2.6716382916517903e-92,2.149658871749418e-74,2.1338148891660542e-92,1.894979983658889e-86,2.4182268235498636e-28,1.5951245862471111e-74,5.281640752600186e-43,3.860986517054199e-94,1.1424069219659574e-85,8.875689625053969e-65,1.1967766915094853e-61,1.4201609196422448e-63,6.295772469316133e-58,4.4027397906386454e-94,2.615069869713905e-98,7.861222141115049e-96,3.76,0.0,0.6972472670007926,0.9999999999999968,1.0701371236999592e-53,4.553229957931578e-40,6.996073261607707e-20,6.996073261607707e-20,3.2318415785602363e-15,6.2457238188401576e-43,5.2512728126805735e-39,1.9008204054303007e-23,1.4481717525644354e-42,4.518750492617139e-38,7.484283207237758e-65,3.858013869237463e-39,9.595217170870927e-44,8.119905541786309e-47,7.292216932966901e-45,3.6493645355632126e-43,4.1372645227572365e-31,3.1293806263981642e-40,1.4350653884796185e-41,4.068238965124306e-49,5.852579169114742e-44,9.215196431953733e-52,1.1327124353823932e-56,1.3169058259680086e-44,3.766443273896335e-58,2.418226823557715e-28,8.767451510040451e-71,3.271896392834634e-75,1.474220322638383e-60,4.6932162535919275e-60,2.9403765647805315e-64,1.7177574049077665e-44,3.417206132647022e-75,1.6232585349019164e-51,5.339286630580949e-70,1.714887893098192e-59,1.289220597637536e-58,2.7944920573578253e-71,3.648191535457811e-48,1.2544332998221317e-69,6.105071158050978e-56,1.1053832491903964e-83,1.157699844097362e-50,9.279975488299171e-85,1.590175044257228e-61,2.9352562779203684e-71,5.299218260919824e-66,6.055267947647178e-83,1.089690786976683e-80,4.137264522660682e-31,7.86795423905546e-77,7.331255184307796e-68,5.040437224924268e-57,1.1400492761020447e-56,5.114302119603315e-107,3.549956303206755e-119,2.4011227925271505e-54,5.067916107890951e-85,7.397813128577063e-66,5.367169501338126e-25,1.7577018221116655e-80,7.924738783592879e-99,1.434997026863676e-41,1.622636693675975e-104,4.8328365852024565e-39,5.2132503138708115e-79
6.73799895005407e-20,0.504180589464734,5.715868083513605e-28,2.891800297659396e-32,6.937942987804307e-41,8.872716373223077e-42,0.0,0.0,4.0391862028585544e-23,5.766995046296074e-41,5.125265526940391e-52,5.963001535166856e-52,1.6795203951114043e-57,7.852619102706636e-70,8.170580585260573e-49,3.194880301224015e-39,1.14052351903436e-24,2.2998032984994934e-38,4.7679987478055046e-91,1.9013489280275067e-73,8.51549504406868e-91,3.512997194371814e-85,5.138732000027057e-28,2.8384953251960204e-73,2.306631277785739e-42,1.4578357903796704e-92,2.139531576334298e-84,8.158287912202638e-64,1.1000439659642675e-60,1.3053725573316948e-62,5.568539451751615e-57,1.6623907727731845e-92,9.867891574713065e-97,2.968247964713011e-94,3.76,0.0,0.6972472670007926,0.9999999999999931,9.465241669925821e-53,1.9885151466895113e-39,1.4866655680916376e-19,1.4866655680916376e-19,6.867663353989437e-15,2.7276716822945324e-42,2.293368800653205e-38,4.039243361539368e-23,6.324546512231199e-42,1.973457058328676e-37,6.619763739991238e-64,1.6848960157946645e-38,4.1904834277559245e-43,3.546176079153947e-46,3.1847027183064555e-44,1.5937733700707042e-42,8.791687111074991e-31,1.3666827357378561e-39,6.26730757692275e-41,1.7769278347267652e-48,2.555975084172703e-43,4.024518503506883e-51,1.0024387693622165e-55,5.751273724137877e-44,1.644905186368466e-57,5.138732000061346e-28,1.5610586137508574e-69,5.825663297299499e-74,7.592230550711841e-60,4.151096627004691e-59,2.6010143279735867e-63,7.501897882662851e-44,6.084389587793098e-74,1.4357537912429301e-50,4.722538559251575e-69,1.5762773741190762e-58,5.6303650585754996e-58,2.4716968695050832e-70,1.593261090157624e-47,1.1248330529388942e-68,5.399866301565076e-55,1.9957915396147827e-82,5.105297976180063e-50,1.737740912051303e-83,6.944748965471705e-61,2.5965024362813172e-70,4.699472863417241e-65,1.0805213386077133e-81,1.9444790190552802e-79,8.79168711065331e-31,1.4735807526385537e-75,6.484412186967756e-67,2.324597165889587e-56,1.0083606740436519e-55,1.9310633812970443e-105,2.686661841111407e-117,2.123765918138359e-53,9.019099752203922e-84,6.543281934833543e-65,1.1405235190343406e-24,3.291980984235664e-79,3.1625552166188674e-97,6.267009023785696e-41,6.475517086931125e-103,2.110626706742387e-38,9.763840876285062e-78
1.3872350779523084e-19,0.5041805894647341,1.1767963701353998e-27,5.953706496823043e-32,2.8964546237451552e-40,3.7041844261760383e-41,0.0,0.0,8.315971594120514e-23,2.407606908304067e-40,4.3080944957656067e-51,5.0122620969318704e-51,1.4117381037859032e-56,6.600599511555781e-69,3.411056556123855e-48,1.3337996344024953e-38,2.3481366568354427e-24,9.60122605461093e-38,8.054750148682196e-90,1.5981983390040907e-72,3.0265403067027637e-89,6.038025736571687e-84,1.0579742352929278e-27,4.787583110864546e-72,9.629731523476553e-42,5.057910762307279e-91,3.6954506808087966e-83,6.979587070558616e-63,9.411107727876452e-60,1.1167737056121431e-61,4.6806929388628645e-56,5.767605849048162e-91,3.422480729840878e-95,1.0298231177401832e-92,3.76,0.0,0.6972472670007926,0.9999999999999859,7.956105947106646e-52,8.301659297439188e-39,3.0607820519533716e-19,3.0607820519533716e-19,1.4139306903413397e-14,1.138749233660553e-41,9.574363292736004e-38,8.316089273757437e-23,2.6403736699094346e-41,8.238794742711907e-37,5.564310294149617e-63,7.034109193496675e-38,1.7494443415174745e-42,1.4804587064629174e-45,1.3295506938851302e-43,6.653690085130762e-42,1.810053228839698e-30,5.705631389671005e-39,2.6164775411689094e-40,7.420170859325285e-48,1.0670692831715111e-42,1.6801573500116326e-50,8.428351720093579e-55,2.4010435657776554e-43,6.867159152935174e-57,1.057974235307243e-27,2.6337034527209903e-68,9.828631292293129e-73,4.133977377038178e-59,3.4892468368035114e-58,2.1864220875581934e-62,3.1318946909873146e-43,1.0265135287957037e-72,1.206837572094672e-49,3.969578213345153e-68,1.3485384611232737e-57,2.350566578095381e-57,2.0776106388046378e-69,6.65155141775754e-47,9.515878909487669e-68,4.538912992817853e-54,3.389357629595942e-81,2.1725785461190064e-49,3.0012881825342123e-82,2.899326715976994e-60,2.183023953025972e-69,3.9550963542575065e-64,1.82487205892235e-80,3.28399385069893e-78,1.8100532286636544e-30,2.5452442965304314e-74,5.450539158745629e-66,1.0735241775758698e-55,8.475879047862375e-55,6.699757505539483e-104,1.866489750913627e-115,1.7851532206889237e-52,1.521545138275266e-82,5.500022728834362e-64,2.348136656835363e-24,5.686078492585723e-78,1.1240216571253371e-95,2.616352901111196e-40,2.301500194699347e-101,8.811451022950551e-38,1.6864607018021698e-76
2.814105443846111e-19,0.5041805894647341,2.387215493704238e-27,1.2077518900218206e-31,1.1832962228015339e-39,1.5132802027579376e-40,0.0,0.0,1.6869542376644305e-22,9.835859803211802e-40,3.532036151665495e-50,4.1093553096634487e-50,1.1574281963752664e-55,5.411570270893148e-68,1.3935279031934126e-47,5.449006714523649e-38,4.763362932437596e-24,3.922414124058154e-37,1.3245591814112317e-88,1.310299557604996e-71,1.0194221282316737e-87,1.0007853643572264e-82,2.1461763058525067e-27,7.863656725333366e-71,3.934059537739514e-41,1.6844956464054003e-89,6.139998623477802e-82,5.7708575622383265e-62,7.781285862387488e-59,9.233700960860589e-61,3.837514866825135e-55,1.9208535549511967e-89,1.1396321973880294e-93,3.429740966648361e-91,3.76,0.0,0.6972472670007926,0.9999999999999714,6.522896343008614e-51,3.391498699476637e-38,6.20901501967684e-19,6.20901501967684e-19,2.868259399652354e-14,4.65216218935099e-41,3.911439809321818e-37,1.6869781098193307e-22,1.0786787974293913e-40,3.3658164776412996e-36,4.561957760611668e-62,2.8736631228730467e-37,7.147050966860454e-42,6.048156877942295e-45,5.431648406152614e-43,2.71824950433812e-41,3.6718222645786866e-30,2.3309365928485852e-38,1.0689164491274524e-39,3.0328912494466794e-47,4.359326197885608e-42,6.863991794261714e-50,6.910967264967139e-54,9.809046407423762e-43,2.805461688298124e-56,2.1461763059109884e-27,4.326465104056001e-67,1.6145792823143178e-71,2.476959373771653e-58,2.86069536735861e-57,1.7926058218782308e-61,1.2794811725825462e-42,1.6862851264476785e-71,9.89438355493145e-49,3.254500051114004e-67,1.1149976702374512e-56,9.602831443308469e-57,1.7033515273350712e-68,2.7173757892775204e-46,7.826467278922938e-67,3.721275101084532e-53,5.5858913209126434e-80,9.212523454556204e-49,4.986511165250667e-81,1.1844946795364035e-59,1.7906067002141147e-68,3.2445793526783927e-63,2.9992875973697624e-79,5.397442511582657e-77,3.671822263859492e-30,4.228961466033774e-73,4.468681310791142e-65,5.2278380692619416e-55,6.949037733891315e-54,2.2313000328004352e-102,1.2440076536047314e-113,1.4635764647314525e-51,2.5002664630852057e-81,4.509250930957469e-63,4.763362932437266e-24,9.447504458501153e-77,3.7860145071800517e-94,1.0688655295969532e-39,7.752086510231551e-100,3.5997652534418353e-37,2.802079679191929e-75
5.667846175633718e-19,0.504180589464734,4.808053740844951e-27,2.4325143727280008e-31,4.7830725254695e-39,6.116920533071327e-40,0.0,0.0,3.3976683941691394e-22,3.975811794326209e-39,2.860334449727594e-49,3.327862495446508e-49,9.373153640316371e-55,4.382429909632252e-67,5.632862590505228e-47,2.20257563603956e-37,9.593815483641845e-24,1.5855025033205098e-36,2.150158706562706e-87,1.0611145539034625e-70,3.3458454974926475e-86,1.6296070502494546e-81,4.322580446888201e-27,1.2747356270429063e-69,1.5902097653521581e-40,5.498474645170048e-88,1.0009708304892749e-80,4.692765530156224e-61,6.327612434968169e-58,7.50869227194639e-60,3.1077190334295774e-54,6.269985927458808e-88,3.7196250967632154e-92,1.1195245777378203e-89,3.76,0.0,0.6972472670007926,0.9999999999999423,5.282410575905805e-50,1.3708979997273142e-37,1.2505480955123776e-18,1.2505480955123776e-18,5.776916815979273e-14,1.880478342750281e-40,1.5810665098398144e-36,3.3977164747064e-22,4.360192165111026e-40,1.3605168350305296e-35,3.694391671285272e-61,1.1615805801842984e-36,2.888952274039729e-41,2.444761711983434e-44,2.1955591302908764e-42,1.0987599107244454e-40,7.395360337155027e-30,9.422018392991196e-38,4.320731192409767e-39,1.2271633805464817e-46,1.7621093488117352e-41,2.7745358738743635e-49,5.5970376207233e-53,3.964973391037981e-42,1.1340149795054365e-55,4.322580447124593e-27,7.013865419297863e-66,2.6174813668366052e-70,1.6383724703245128e-57,2.3166652756181225e-56,1.4517165808977518e-60,5.171867471881445e-42,2.7337275682719254e-70,8.012728329327746e-48,2.635578520003634e-66,9.06697584609061e-56,3.8816180060976083e-56,1.3794195275837042e-67,1.0984067414058512e-45,6.34877914354269e-66,3.0135850574306284e-52,9.071181295579457e-79,3.996165030193984e-48,8.129150409892422e-80,4.7881199114534306e-59,1.4514269419177258e-67,2.6283233428903183e-62,4.863517078676284e-78,8.752262995429911e-76,7.395360334247926e-30,6.894274524398567e-72,3.61885398507377e-64,2.7940164817496305e-54,5.627510921921099e-53,7.283341861170075e-101,8.123846874143708e-112,1.1852421669152564e-50,4.056683848443384e-80,3.651708314895634e-62,9.593815483640518e-24,1.54018166962323e-75,1.2426078703718718e-92,4.320525367526006e-39,2.54431241379267e-98,1.4550826707352752e-36,4.568097085459371e-74
1.137532763920893e-18,0.504180589464734,9.649730235138525e-27,4.882039346248952e-31,1.9232524258682225e-38,2.459586843826395e-39,0.0,0.0,6.8190967071783575e-22,1.5986564362429842e-38,2.3022460084330582e-48,2.6785532915784083e-48,7.544329507126884e-54,3.527360853782136e-66,2.2649492732959048e-46,8.856459758974439e-37,1.925472058605013e-23,6.375235835894016e-36,3.4707509685800384e-86,8.540773084163744e-70,1.0842411304156653e-84,2.6304748597698025e-80,8.675388728625735e-27,2.0529248250381624e-68,6.394163526494762e-40,1.777012040439146e-86,1.6165674038221926e-79,3.78488540801772e-60,5.103448662304388e-57,6.056032338381857e-59,2.5013626435220034e-53,2.026351107748253e-86,1.202065986565175e-90,3.618109989823935e-88,3.76,0.0,0.6972472670007926,0.9999999999998841,4.251743590547119e-49,5.512320562618997e-37,2.509841282601765e-18,2.509841282601765e-18,1.1594231639452668e-13,7.561320743055428e-40,6.357398901209636e-36,6.819193204480117e-22,1.7532140927693248e-39,5.470578355892778e-35,2.973567821861551e-60,4.670664424740568e-36,1.1616350047018659e-40,9.830279321051925e-44,8.828246698200276e-42,4.418065275811506e-40,1.4842436486701163e-29,3.788552156279673e-37,1.7373470092021176e-38,4.944183179035653e-46,7.085364191164373e-41,1.1156291906178645e-48,4.505125470728661e-52,1.5942983619487004e-41,4.559844538742326e-55,8.675388729576264e-27,1.1295997099876239e-64,4.215516003945372e-69,1.1711741666181464e-56,1.8646537568798906e-55,1.1684749548860673e-59,2.0795851644386975e-41,4.4027332716910037e-69,6.449340846750426e-47,2.1213428830474777e-65,7.312844473449507e-55,1.560781528796111e-55,1.1102789326423142e-66,4.416645199753298e-45,5.115641820956965e-65,2.425595430194961e-51,1.462546349677074e-77,1.825836311967248e-47,1.3128557979295075e-78,1.925445235815375e-58,1.170403391961084e-66,2.1158144278261125e-61,7.833777984591565e-77,1.4097469822233583e-74,1.4842436475011836e-29,1.1134271772447029e-70,2.9127685223136383e-63,1.6709928753599227e-53,4.5295103708119096e-52,2.3538547138957652e-99,5.251804108218863e-110,9.539860096608852e-50,6.54490195246134e-79,2.939212544528572e-61,1.9254720586044786e-23,2.487397511078934e-74,4.026744700174574e-91,1.7372642479214867e-38,8.244995683764609e-97,5.850823422161812e-36,7.377488994964138e-73
2.2790290566359356e-18,0.504180589464734,1.933308322377426e-26,9.781089325725218e-31,7.713102424158349e-38,9.864043326239222e-39,0.0,0.0,1.3661953333195998e-21,6.411327325900856e-38,1.8474074310881274e-47,2.1493703876803956e-47,6.053849312714074e-53,2.8304849392911957e-65,9.083459608303659e-46,3.5518364775955174e-36,3.8576530790865845e-23,2.5567547119721415e-35,5.595652816071961e-85,6.853432529848131e-69,3.4914291983851346e-83,4.2280104502358135e-79,1.738100529076539e-26,3.295400917978047e-67,2.5643455600619554e-39,5.714604487103603e-85,2.598582345309082e-78,3.0402257919682907e-59,4.099367503006813e-56,4.864534515353337e-58,2.007185991065231e-52,6.516441483982773e-85,3.865579418414393e-89,1.1635299519341433e-86,3.76,0.0,0.6972472670007926,0.9999999999997677,3.411756465512842e-48,2.2106870901731517e-36,5.0284276567805396e-18,5.0284276567805396e-18,2.32288612496777e-13,3.0324278330096064e-39,2.549601303386835e-35,1.3662146664025861e-21,7.031172656173354e-39,2.193946598261457e-34,2.38610090828316e-59,1.8731453348846325e-35,4.6586759339112486e-40,3.942381679088339e-43,3.5405217785609347e-41,1.771841778403517e-39,2.973658880336725e-29,1.5193788618050304e-36,6.967538554344728e-38,1.990709669067269e-45,2.8415479412973767e-40,4.4741761912540334e-48,3.6151364922919944e-51,6.393849498775454e-41,1.8287177917473367e-54,1.7381005294577438e-26,1.8132883413605192e-63,6.76695111818537e-68,8.806782112220285e-56,1.4962672044748718e-54,9.376304230396898e-59,8.340066632169026e-41,7.067481357566789e-68,5.175189857312757e-46,1.7022440661363397e-64,5.874074351998209e-54,6.259432011247526e-55,8.909322747701194e-66,1.7712722661855292e-44,4.109326254827266e-64,1.9463875740672188e-50,2.3502070914373905e-76,9.078967344075431e-47,2.110391724674912e-77,7.723206213393822e-58,9.426555360670631e-66,1.697932246058873e-60,1.25759356028659e-75,2.2631337446349874e-73,2.973658875648782e-29,1.789801668531116e-69,2.3373133025240248e-62,1.1093128075532817e-52,3.6346468115129257e-51,7.569672812722313e-98,3.3780709197584862e-108,7.65513692795505e-49,1.054370027340551e-77,2.3585329638613297e-60,3.857653079084441e-23,3.998418853763526e-73,1.2966759544021604e-89,6.967206644592535e-38,2.6550199834679544e-95,2.3464418767571594e-35,1.1859098091368874e-71
