Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CF3(1),O2(2),H2O(3),CH4(4),CH2CF2(57),HF(38),O2(161),S(164),CF2O(49),S(125),C2HF(58),S(463),C2HF(468),C2H2F3(68),S(165),S(464)
0.0,0.9011114980053232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7373267987472752,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.675303450199644e-23,0.9011114980053232,6.872048348085476e-25,1.233553365077804e-25,1.0798040347761092e-40,1.5998562588454514e-40,0.0,0.0,9.096512101804588e-22,2.5983675098878893e-40,4.2559228749431885e-55,1.7452597799770998e-76,9.897985040251418e-56,1.1058696594479573e-109,1.94891040005129e-81,1.8327013456197982e-75,5.415972821975329e-82,3.0705432393159314e-37,-3.791179496487023e-127,3.383432046316689e-72,-8.741904349365534e-112,-1.4717600518946908e-131,4.9535249716645936e-61,7.589416271151833e-96,3.76538455647909e-59,3.3941545498675193e-119,8.09829585421582e-118,-3.6992979430155727e-129,-8.751014852340664e-180,8.667364193413883e-143,2.927694041994202e-58,5.242542120943976e-154,6.926221701081387e-130,6.6053838102381785e-155,3.76,0.0,0.7373267987472752,0.9999999999999998,1.111219413038414e-55,-1.0906361608542474e-118,2.579856912304592e-17,2.579856912304592e-17,3.5166584659406875e-16,3.1134888900457615e-42,3.0705432393159314e-37,9.103384150152671e-22,2.667969634554297e-35,3.5146985763492673e-40,3.063297874648886e-54,2.931012029498023e-37,4.7511902054782524e-39,2.5077893932022042e-57
1.3090849660559004e-22,0.9011114980053231,1.924173537463973e-24,3.4539494222180065e-25,6.522016370047797e-40,9.663131803426721e-40,0.0,0.0,2.5470233885052845e-21,1.569413975972285e-39,5.052631637133149e-54,3.904076317418018e-75,1.175088783978786e-54,6.727544820406011e-108,5.8416560561476e-80,5.1408441119566835e-74,1.400973217781461e-80,1.854608116547061e-36,6.588766616579686e-125,1.0638051702747091e-70,4.5302198809968704e-110,1.3583517946765595e-129,7.44422920164856e-60,4.6170122812593307e-94,4.47026454545247e-58,2.619081708805101e-117,6.249007884772297e-116,1.9771813292096505e-127,3.0862040553041884e-176,5.56422846553917e-140,3.475758366655919e-57,4.0388806683136576e-151,7.380695445627736e-128,5.088795221957103e-152,3.76,0.0,0.7373267987472752,0.999999999999999,1.319239858656625e-54,2.0757686176754686e-116,7.223599354452858e-17,7.223599354452858e-17,9.846643704632658e-16,1.880547290099186e-41,1.854608116547061e-36,2.548947562042747e-21,1.6114536592707955e-34,2.1228779401148832e-39,3.636747236783153e-53,1.7703312658167927e-36,2.86971888410961e-38,3.7897713310071707e-56
2.9921942081277725e-22,0.9011114980053231,4.398110942774981e-24,7.894741536499032e-25,3.1400701331290656e-39,4.652382000722859e-39,0.0,0.0,5.8217677451549304e-21,7.556052718753972e-39,4.960703703035592e-53,7.713796910093216e-74,1.1537091362921234e-53,3.037135319900538e-106,1.289082105291052e-78,1.1161299654193752e-72,2.9355854348999046e-79,8.929139739934235e-36,1.7131093239882607e-122,2.3732908150421993e-69,4.754650050048091e-108,2.8957899104070555e-127,7.993862891482302e-59,2.084340041557533e-92,4.388932239033526e-57,2.8544033639175384e-115,6.810474475638132e-114,5.023103679810396e-125,3.380165405889184e-173,1.3303276483443632e-137,3.4125201753496635e-56,2.0236468564322407e-148,1.6796621330108084e-125,2.5496976311713303e-149,3.76,0.0,0.7373267987472751,0.9999999999999978,1.29523759136394e-53,2.042214967740901e-114,1.6511084238749385e-16,1.6511084238749385e-16,2.250661418201153e-15,9.054025699780033e-41,8.929139739934235e-36,5.826165856097696e-21,7.758455697283894e-34,1.0220743460022538e-38,3.5705800026907245e-52,8.523382981780043e-36,1.3816461117541727e-37,4.07686306074095e-55
6.358412692271516e-22,0.9011114980053232,9.345985753397628e-24,1.6776325765063572e-24,1.3713511241658018e-38,2.0318174487340177e-38,0.0,0.0,1.2371256458454201e-20,3.299926737557607e-38,4.387686247155197e-52,1.3726289454929962e-72,1.0204426657106295e-52,1.1467645117277253e-104,2.4038002241143706e-77,2.067557166714201e-71,5.360588555946221e-78,3.8995899139348247e-35,3.0012030272017788e-120,4.4449110393909e-68,3.796083616497427e-106,4.631254177259726e-125,7.342554332851454e-58,7.870071403416867e-91,3.8819608623507974e-56,2.335079182123929e-113,5.571390984699082e-112,8.691612202867502e-123,2.4511009637036353e-170,2.264210447104716e-135,3.018335449536882e-55,7.1712845353488905e-146,2.8385421576342557e-123,9.035473599072923e-147,3.76,0.0,0.7373267987472749,0.9999999999999952,1.1456230113074793e-52,1.5971058510842912e-112,3.5086054007342446e-16,3.5086054007342446e-16,4.782655513674899e-15,3.954130898067733e-40,3.8995899139348247e-35,1.2380602444207563e-20,3.388321435883956e-33,4.4636671919623974e-38,3.1581375768479785e-51,3.722385277462272e-35,6.034011560968617e-37,3.747339534474168e-54
1.3090849660559003e-21,0.9011114980053232,1.924173537464545e-23,3.453949422220259e-24,5.725120992384221e-38,8.482437884401234e-38,0.0,0.0,2.5470233885052673e-20,1.3776544537425473e-37,3.688114668666574e-51,2.3151393442405824e-71,8.577435468136935e-52,3.978658840512184e-103,4.143320821229411e-76,3.552404885378158e-70,9.152809520680449e-77,1.6280020254885254e-34,4.459520141760637e-118,7.677478449238093e-67,2.7039996425123583e-104,6.602880596355956e-123,6.279732419620179e-57,2.7304933714804457e-89,3.263022010497498e-55,1.6805734463949277e-111,4.009770555114331e-110,1.2840039671691169e-120,1.4825849950559516e-167,3.321385762470098e-133,2.5370928136920896e-54,2.1491894724893944e-143,4.156241507415641e-121,2.707875413836545e-144,3.76,0.0,0.7373267987472746,0.9999999999999901,9.629651818018806e-52,1.1270752429518125e-110,7.223599354452853e-16,7.223599354452853e-16,9.84664370461428e-15,1.6507718164116707e-39,1.6280020254885254e-34,2.548947562042716e-20,1.4145575002406879e-32,1.863493185179325e-37,2.654604925404664e-50,1.5540225780396552e-34,2.5190810469546378e-36,3.2059278667969373e-53
2.655572359713398e-21,0.9011114980053234,3.9033234617151207e-23,7.006583113652037e-24,2.338898731487534e-37,3.4653526509118436e-37,0.0,0.0,5.1668188738249295e-20,5.628167961117461e-37,3.0237392318816007e-50,3.8026233248506946e-70,7.032299823615568e-51,1.325059525292748e-101,6.877072889720223e-75,5.886911423977391e-69,1.5123603799733545e-75,6.650919478115072e-34,6.139356528151689e-116,1.2756245269811476e-65,1.824217698731225e-102,8.912644695590309e-121,5.191431076523872e-56,9.093682954012847e-88,2.6752225876969205e-54,1.139147404330693e-109,2.717953047271368e-108,1.7625848570711927e-118,8.236289614877773e-165,4.544617446848207e-131,2.0800619733602106e-53,5.944939516272316e-141,5.683302241473463e-119,7.490338057363558e-142,3.76,0.0,0.7373267987472738,0.99999999999998,7.894970406559667e-51,7.569793226843056e-109,1.4653587261890067e-15,1.4653587261890067e-15,1.9974620086460594e-14,6.743941533773487e-39,6.650919478115072e-34,5.170722197286581e-20,5.778928947229986e-32,7.612977704306613e-37,2.1764055023208482e-49,6.348689296372231e-34,1.029126803275918e-35,2.6507231568339332e-52
5.3485471470283926e-21,0.9011114980053236,7.861623310220315e-23,1.4111850496531498e-23,9.4542026304105e-37,1.4007509477214608e-36,0.0,0.0,1.0406409844464134e-19,2.2749954765472363e-36,2.4487024257210106e-49,6.164216275769844e-69,5.6949387218714375e-50,4.325215086007331e-100,1.1205571656357518e-73,9.584565195622357e-68,2.4588517889966885e-74,2.6884079921189304e-33,8.1463324753221e-114,2.0795899299861174e-64,1.1984365803124593e-100,1.1712865190100952e-118,4.221279718492045e-55,2.9683295744608058e-86,2.166464611354381e-53,7.50065803119384e-108,1.789622332866979e-106,2.3354139364652867e-116,4.3907668117469393e-162,6.012285025350067e-129,1.6844881152820943e-52,1.5814482464890506e-138,7.516707025056858e-117,1.992548790093672e-139,3.76,0.0,0.7373267987472724,0.9999999999999598,6.393551744949807e-50,4.962181541474509e-107,2.9513563076764455e-15,2.9513563076764463e-15,4.0230572850023444e-14,2.7260090186738945e-38,2.6884079921189304e-33,1.0414271467774097e-19,2.335935477594741e-31,3.077287309118082e-36,1.7625096029024843e-48,2.5662417204015627e-33,4.1598950820959745e-35,2.155524049041162e-51
1.0734496721658383e-20,0.9011114980053241,1.577822300724688e-22,2.832238526235405e-23,3.8014932965979605e-36,5.632357953530719e-36,0.0,0.0,2.0885591785742053e-19,9.147656753260011e-36,1.9709287445322157e-48,9.927280280003855e-68,4.583782131869404e-49,1.397834843396723e-98,1.8092350231265758e-72,1.5468934578962726e-66,3.965723711092245e-73,1.0809970295922457e-32,1.061553821245958e-111,3.358543291793938e-63,7.770569695534788e-99,1.5190617344866345e-116,3.4044933668014073e-54,9.593128264859312e-85,1.7437591973923284e-52,4.868741229845453e-106,1.1616591506283526e-104,3.041100162701873e-114,2.2936910014694337e-159,7.823090934232213e-127,1.3558225823434914e-51,4.1265906961790015e-136,9.779439160937712e-115,5.1993059753263105e-137,3.76,0.0,0.7373267987472694,0.9999999999999193,5.146086678274379e-49,3.2139585287577136e-105,5.923351470651311e-15,5.923351470651313e-15,8.074247837662999e-14,1.0961162565870707e-37,1.080997029592246e-32,2.0901370008748267e-19,9.39269381723375e-31,1.2373636925920895e-35,1.4186210632857703e-47,1.0318745090317834e-32,1.6726755166561096e-34,1.7385082347729258e-50
2.1506395870918365e-20,0.9011114980053251,3.16114224013647e-22,5.67434547942536e-23,1.5245688378820417e-35,2.258827452738384e-35,0.0,0.0,4.1843955668295925e-19,3.668619497005088e-35,1.5815461927553414e-47,1.5935483410592178e-66,3.678196484367411e-48,4.4952277972174405e-97,2.907916402906134e-71,2.4857689910293984e-65,6.370527331518714e-72,4.335281576476606e-32,1.3709634885330251e-109,5.398760251532055e-62,5.00560341698306e-97,1.9571825595452144e-114,2.734625688964381e-53,3.0850062835887287e-83,1.3992569378095878e-51,3.1380316307298114e-104,7.487198408237047e-103,3.9260693301356043e-112,1.1861948809964742e-156,1.0095864966742644e-124,1.0879622356237405e-50,1.066523027045503e-133,1.2619846404436654e-112,1.3437677642259352e-134,3.76,0.0,0.7373267987472634,0.9999999999998382,4.129410473103112e-48,2.0692354079578415e-103,1.1867341796600989e-14,1.1867341796601e-14,1.6176628942776648e-13,4.395916596113513e-37,4.3352815764766065e-32,4.187556709069316e-19,3.766890319209372e-30,4.962381831707937e-35,1.138354061652675e-46,4.138278298367111e-32,6.708176944429869e-34,1.396464358303048e-49
