Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CF3(1),O2(2),H2O(3),CH4(4),CH2CF2(57),HF(38),O2(161),S(164),CF2O(49),S(125),C2HF(58),S(463),C2HF(468)
2.297082934225252e-18,0.6216436404784104,1.1063986415174461e-23,5.7710450504646734e-27,8.340491067204004e-36,1.7528997476703395e-35,0.0,0.0,8.878493912301352e-20,3.3098015102134815e-35,4.567178091924821e-49,2.0960667724950263e-68,1.1333952098195553e-48,3.922228007036444e-106,5.747742587723934e-74,3.245221638470393e-75,2.4116008277798433e-75,2.3671308438873812e-32,9.3531151964391e-114,4.348823373265663e-68,8.822340712090832e-102,1.631597633270159e-119,1.8254456032359162e-77,7.510908869785312e-84,4.024339772056699e-54,2.0352941625720197e-109,5.803342851193651e-106,6.442119481046618e-121,3.959324211806762e-161,1.5881129967295532e-130,1.0820503392642706e-52,8.237596956359751e-136,2.4758355878845033e-113,3.268241524033238e-134,3.76,0.0,0.8475176052726127,0.9999999999987367,8.458509031890517e-47,1.4635453163136505e-105,8.848264770546467e-16,8.848264770546467e-16,1.2633594047811155e-12,1.4177047698296464e-36,2.3671308438873812e-32,8.879600310942303e-20,8.201787470050038e-34,5.769750111681463e-33,6.803557465829856e-52
4.594664475555828e-18,0.6216436404784105,2.2130374390719124e-23,1.1543342786367258e-26,3.336739527071012e-35,7.01274041057976e-35,0.0,0.0,1.7758914999302733e-19,1.3241361254156267e-34,3.654436396085934e-48,3.354389264529392e-67,9.068883722971047e-48,1.6717350710694317e-104,9.19906171192873e-73,5.1938228141294986e-74,3.859679897581488e-74,9.470064781982484e-32,1.1978645943004196e-111,6.96014024259677e-67,5.648588861860938e-100,2.089301490035256e-117,2.921562076652866e-76,2.404232122057763e-82,3.22008326286009e-53,1.303163404078066e-107,3.715771738755846e-104,8.250427435364151e-119,2.028611775422312e-158,2.033913379706112e-128,8.658046746561514e-52,2.110185080602843e-133,3.170676535468877e-111,8.372095092124338e-132,3.76,0.0,0.8475176052726118,0.999999999997473,6.7680923688415005e-46,9.3704824214135e-104,1.7698450154240424e-15,1.7698450154240424e-15,2.526993025068702e-12,5.6717430592178575e-36,9.470064781982485e-32,1.776112803673954e-19,3.2812490563466794e-33,2.308275747853394e-32,5.443879670901444e-51
9.189827558216978e-18,0.6216436404784108,4.4263150343247955e-23,2.3087938308163945e-26,1.3348044386181125e-34,2.805324464547778e-34,0.0,0.0,3.5519757173260384e-19,5.296975575014811e-34,2.923826725754039e-47,5.367568852260244e-66,7.255795894715739e-47,8.014691896014699e-103,1.472063799915677e-71,8.311291275685556e-73,6.176382864104866e-73,3.78833423007361e-31,1.5336929641408995e-109,1.1137842929111893e-65,3.615830109948344e-98,2.6748542173268914e-115,4.675178745904643e-75,7.694729088372238e-81,2.5763112232627854e-52,8.342112382340671e-106,2.37861639689535e-102,1.056343739456606e-116,1.0390174708563492e-155,2.604131774781243e-126,6.927095104078936e-51,5.403815668556191e-131,4.059494774768015e-109,2.1439474227945387e-129,3.76,0.0,0.84751760527261,0.9999999999949457,5.414988007385137e-45,5.99832263677712e-102,3.5398820921628293e-15,3.5398820921628297e-15,5.054260234014785e-12,2.2688825284924574e-35,3.78833423007361e-31,3.552418348828565e-19,1.3126064438110403e-32,9.233854448986504e-32,4.355517260168933e-50
1.838015372353928e-17,0.6216436404784111,8.852870225406361e-23,4.6177129551723415e-26,5.3394350179167e-34,1.1221754475707206e-33,0.0,0.0,7.104144152099525e-19,2.118876447741311e-33,2.3391724464291984e-46,8.588547072078003e-65,5.8049123370007174e-46,4.2701920799180986e-101,2.3554732514750894e-70,1.3299006030172745e-71,9.88292873747881e-72,1.5153953689124345e-30,1.9633998601951165e-107,1.7821843624045337e-64,2.3143659357932834e-96,3.4241643612766645e-113,7.480829649563232e-74,2.462503149874343e-79,2.0611468430414383e-51,5.339582196152e-104,1.522481727625273e-100,1.352305010013319e-114,5.320712423532699e-153,3.333751282849183e-124,5.541939217799155e-50,1.383599829464524e-128,5.196811908905501e-107,5.489390224194218e-127,3.76,0.0,0.8475176052726064,0.9999999999898912,4.332196061914492e-44,3.8393150075593717e-100,7.0799562456403885e-15,7.079956245640391e-15,1.0108794525390593e-11,9.075904702140918e-35,1.5153953689124352e-30,7.105029439118442e-19,5.250639425395927e-32,3.6936920746187277e-31,3.4845792263151004e-49
3.676080605418389e-17,0.6216436404784119,1.7705980609872689e-22,9.235551283870677e-26,2.1358174607324174e-33,4.4887931159130554e-33,0.0,0.0,1.4208481021574326e-18,8.475678229466878e-33,1.8713824108056954e-45,1.3742025038683382e-63,4.6440401849950985e-45,2.457943724726542e-99,3.768894198979882e-69,2.1279161973384184e-70,1.5813259164074536e-70,6.0617049214623004e-30,2.5133264693835336e-105,2.8515985786575943e-63,1.4812692968723375e-94,4.383155014631146e-111,1.1969762615588074e-72,7.880313945737282e-78,1.648956643675609e-50,3.4175764006002215e-102,9.74441846752862e-99,1.7310688779238913e-112,2.724446253669571e-150,4.2674978400118894e-122,4.433656691268922e-49,3.542301133028367e-126,6.652340925342712e-105,1.4053971980365183e-124,3.76,0.0,0.8475176052725993,0.9999999999797822,3.4658391142873657e-43,2.457285975363017e-98,1.4160104552595445e-14,1.4160104552595453e-14,2.0217862602076808e-11,3.630439972134286e-34,6.0617049214623074e-30,1.4210251619620818e-18,2.100298500949422e-31,1.4775068879139984e-30,2.787729550036723e-48
7.35221107154731e-17,0.6216436404784135,3.5412201388018136e-22,1.8471228261213102e-25,8.543356751661273e-33,1.7955355120547687e-32,0.0,0.0,2.8417154760235232e-18,3.39030577976291e-32,1.4971237521800057e-44,2.1987520439180342e-62,3.7152763770781567e-44,1.485085587398799e-97,6.030340489827534e-68,3.404726200096184e-69,2.5301673976809295e-69,2.4247067298478537e-29,3.2171696595420295e-103,4.562640605225117e-62,9.480363826168581e-93,5.610582192302157e-109,1.9151969080577504e-71,2.521749149938501e-76,1.319181018726199e-49,2.1873807962708685e-100,6.236599450346132e-97,2.2158440880969355e-110,1.3949783739215312e-147,5.4625870722474056e-120,3.546967577037003e-48,9.068656844640818e-124,8.51526664808823e-103,3.597962023255079e-122,3.76,0.0,0.8475176052725851,0.999999999959564,2.7727041980218886e-42,1.5727028707322128e-96,2.8320401166505313e-14,2.8320401166505344e-14,4.043599673118784e-11,1.4521941451032453e-33,2.4247067298478593e-29,2.8420695980316056e-18,8.401279466140439e-31,5.910087656536513e-30,2.23021010788976e-47
1.470447200380515e-16,0.6216436404784167,7.082464298116021e-22,3.6942583495680965e-25,3.417360083149432e-32,7.182178582968208e-32,0.0,0.0,5.6834502236402266e-18,1.3561292095061766e-31,1.1977061981388752e-43,3.518025890784374e-61,2.972238957149959e-43,9.222945242687765e-96,9.648633153702089e-67,5.4476104598696466e-68,4.04830482498588e-68,9.698877017183694e-29,5.933371817139303e-101,7.300291268146616e-61,6.067509773373204e-91,7.246751475565254e-107,3.064343204606272e-70,8.069675612941166e-75,1.0553511539445512e-48,1.849955876759978e-98,5.274052378275423e-95,4.086643486783656e-108,1.3561774663282093e-144,1.0074558928778514e-117,2.8375911059875035e-47,5.01820245104951e-121,1.908000605894442e-100,1.9909565887001672e-119,3.76,0.0,0.8475176052725568,0.9999999999191277,2.2181765215427146e-41,1.0065426482988105e-94,5.664099439432407e-14,5.6640994394324174e-14,8.087225689236595e-11,5.808833195933868e-33,9.698877017183734e-29,5.684158470046847e-18,3.360528879000754e-30,2.364047074214118e-29,1.7841786733876515e-46
2.9408993868320835e-16,0.6216436404784229,1.4164952631484909e-21,7.388529908374879e-25,1.3669475102934911e-31,2.872878742719338e-31,0.0,0.0,1.1366919718411724e-17,5.424530633058092e-31,9.581679441716848e-43,5.628860130243604e-60,2.3777985699173542e-42,5.812571473928933e-94,1.5437885504326701e-65,8.716216563235488e-67,6.477318087564506e-67,3.879561286491178e-28,7.612923376061056e-99,1.1680519055085214e-59,3.8832308837862726e-89,9.276552290340794e-105,4.9029724148039e-69,2.5823090064019438e-73,8.442835506014011e-48,1.1886656883004514e-96,3.3882392037955844e-93,5.24344512258125e-106,6.959107333597977e-142,1.2926354675700427e-115,2.270079949974334e-46,1.2873664455753265e-118,2.4504367728560405e-98,5.107587344497144e-117,3.76,0.0,0.8475176052725002,0.9999999998382553,1.7745464831426852e-40,6.441914710661789e-93,1.1328218084995764e-13,1.1328218084995805e-13,1.617447448265592e-10,2.3235608437882253e-32,3.8795612864912123e-28,1.1368336213582108e-17,1.34421497011679e-29,9.456212244668183e-29,1.4273471733322143e-45
5.88180375973522e-16,0.6216436404784355,2.832992935718457e-21,1.4777075073641287e-24,5.467796999481118e-31,1.1491529610485486e-30,0.0,0.0,2.2733858706107083e-17,2.1698150120735145e-30,7.66535720952374e-42,9.006193119627776e-59,1.902242236783379e-41,3.691210024010916e-92,2.4700680414236048e-64,1.3945981549699469e-65,1.0363735719739043e-65,1.5518269785517199e-27,9.744758220574983e-97,1.868887286412541e-58,2.485275665602876e-87,1.1874031540993678e-102,7.84477694532597e-68,8.26341108898939e-72,6.754280384241096e-47,7.610346071962271e-95,2.1686087283085858e-91,6.711762482835993e-104,3.563132552186998e-139,1.654611165661714e-113,1.816067181927258e-45,3.295699415884262e-116,3.136652089371017e-96,1.3075587786963938e-114,3.76,0.0,0.847517605272387,0.9999999996765104,1.4196392939064408e-39,4.12283975922668e-91,2.2656455376120905e-13,2.265645537612107e-13,3.2348959114239766e-10,9.294428444135528e-32,1.5518269785517465e-27,2.2736691698671735e-17,5.376866717507471e-29,3.782489627082302e-28,1.141879432161629e-44
1.1763612505541494e-15,0.6216436404784605,5.6659883044431425e-21,2.955417359478556e-24,2.187120194840237e-30,4.596614788539658e-30,0.0,0.0,4.5467736674107255e-17,8.679265564721925e-30,6.132293971660659e-41,1.4409928751497417e-57,1.5217958124316376e-40,2.353147979925949e-90,3.952115759827071e-63,2.231360871521498e-64,1.658200652899951e-64,6.2073157863505565e-27,1.2473314543782614e-94,2.990223033956325e-57,1.5905789779756907e-85,1.5198785253065844e-100,1.2551667823175507e-66,2.6442962455376797e-70,5.4034314505723136e-46,4.8737233779503935e-93,1.3879144882234166e-89,8.591082922400797e-102,1.824330459894802e-136,2.1179090555668508e-111,1.4528556677120297e-44,8.437016629308894e-114,4.014926169893111e-94,3.3473609756624854e-112,3.76,0.0,0.8475176052721604,0.9999999993530213,1.1357122797233682e-38,2.6386232913761343e-89,4.5312929958364887e-13,4.531292995836555e-13,6.469787655647128e-10,3.717912341582252e-31,6.20731578635077e-27,4.5473402660927433e-17,2.1507480544115943e-28,1.5129967483943348e-27,9.1350422255892e-44
