Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CF3(1),O2(2),H2O(3),CH4(4),CH2CF2(57),HF(38),O2(161),S(164),CF2O(49),S(125),C2HF(58),S(463),C2HF(468),C2H2F3(68),S(165),S(464),S(130),C2H2F2(59),C2H3F2(65),C2H2F3(67),CF2(43),CHFCF2(55),CF2CH(73),C2HF2(72),S(179)
0.0,0.6801904995220031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.9527182967580505,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.938236470862117e-22,0.6801904995220031,1.4440331015341193e-26,1.9381506338591944e-29,3.833209765501198e-42,9.148071021567128e-42,0.0,0.0,6.588131941950061e-23,1.3739198837113845e-41,3.338558202512356e-58,3.4225519418772494e-75,4.367736946339536e-58,3.3953253846484443e-94,2.4058131916156797e-70,2.2826581038353746e-60,7.559928427278103e-56,1.0728467742772946e-38,3.519954801757074e-121,1.750463192732913e-79,-3.37273426496918e-119,2.7595289122629086e-133,5.664507616907175e-47,1.7608156466009525e-99,5.154387462045644e-63,1.7276240441648303e-121,3.8524798535433e-124,3.9666859445091025e-113,1.427954503323447e-125,8.280623249179946e-120,1.0748617337451249e-61,7.96829772862018e-129,1.2880999565018643e-130,1.1878518275755608e-128,3.76,0.0,0.9527182967580505,0.9999999999999997,1.5979616775395623e-56,8.187170379625903e-72,8.940536054648635e-19,8.940536054648635e-19,3.840552061045134e-16,4.752085546149677e-43,1.0728467742772946e-38,6.589575975051595e-23,1.9962486852916407e-39,7.756032012963661e-40,2.8879068860759395e-60,9.275793282623953e-39,5.89387023688243e-42,1.9922622162449036e-45,1.2362537816131394e-41,4.111966505447037e-40,1.2919045532422703e-39,2.0414517981281333e-39,5.664507624480002e-47,4.9731807930561904e-48,3.5950493252246344e-42,2.322076851086921e-46,9.642281648569208e-57
1.1027062118413927e-21,0.6801904995220031,4.0432926842955797e-26,5.426821774808892e-29,2.3152586983627374e-41,5.525434897026597e-41,0.0,0.0,1.8446769437460163e-22,8.298476097616758e-41,3.96353629802563e-57,7.657897549161307e-74,5.185377302698155e-57,7.59520707471945e-93,2.856181421982257e-69,2.710633372808667e-59,8.975147028864528e-55,6.479994516640121e-38,2.7163581913484513e-119,5.5037363520630795e-78,1.747814573330027e-117,3.6259214026528386e-131,3.4213626006117992e-46,1.0711900856365e-97,6.119288794962924e-62,1.3331121103633186e-119,2.972746047884453e-122,3.060910346327972e-111,1.5215963325616247e-123,6.389700240727484e-118,1.2760758503031479e-60,8.490839569895776e-127,1.372570522229855e-128,1.265748299586821e-126,3.76,0.0,0.9527182967580505,0.999999999999999,1.897100132700642e-55,1.8314372652407888e-70,2.5033500953016175e-18,2.5033500953016175e-18,1.0753545770913205e-15,2.870259670146727e-42,6.479994516640121e-38,1.8450812730144452e-22,1.2057342059161507e-38,4.684643335829708e-39,3.4285230551493486e-59,5.602579142704769e-38,3.5598976230835276e-41,1.2033263786120544e-44,7.466972840942106e-41,2.4836277692900218e-39,7.80310350158328e-39,1.2330368860693942e-38,3.421362609602261e-46,3.003811144998997e-47,2.171409792435672e-41,1.4025344180612415e-45,1.2093011423262288e-55
2.5204713413517547e-21,0.6801904995220033,9.241811849818683e-26,1.240416405672087e-28,1.1146973998077694e-40,2.660259053071798e-40,0.0,0.0,4.2164044428480324e-22,3.9953590218326985e-40,3.8914234408574157e-56,1.5132436861959981e-72,5.091034184665106e-56,1.5006849287631215e-91,2.804215858925215e-68,2.661605859978476e-58,8.811852574835257e-54,3.1198384196061183e-37,2.9604167395888934e-117,1.2278533041338747e-76,1.834402494106881e-115,7.962561186138995e-129,1.647238814996407e-45,4.835864086132972e-96,6.007954025829385e-61,1.4528907906420633e-117,3.239844068483496e-120,3.335931934332935e-109,3.4627972430611703e-121,6.963809476940769e-116,1.2528588368561645e-59,1.9323164248476756e-124,3.123649373960086e-126,2.8805469811075123e-124,3.76,0.0,0.9527182967580505,0.9999999999999977,1.862584172698588e-54,3.618611412541141e-69,5.721943074975127e-18,5.721943074975127e-18,2.4579533190596678e-15,1.3819064772209197e-41,3.1198384196061183e-37,4.217328624033011e-22,5.805091176828092e-38,2.2554541093693158e-38,3.3661442664100976e-58,2.6974006865868995e-37,1.7139374648950363e-40,5.793498524842135e-44,3.595025996929129e-40,1.195759859784017e-38,3.7568584408284775e-38,5.936541828956633e-38,1.647238823823296e-45,1.446215893610328e-46,1.0454403437753132e-40,6.752599483031891e-45,1.2155929892680652e-54
5.356001600372479e-21,0.6801904995220033,1.9638850180865616e-25,2.6358848620595167e-28,4.868176402186742e-40,1.1618050197391057e-39,0.0,0.0,8.959859441052051e-22,1.7448782523134517e-39,3.4419199644808995e-55,2.692876009769883e-71,4.50296208222265e-55,2.670388652964868e-90,2.4802971738618578e-67,2.3542753895970772e-57,7.793983811386426e-53,1.3625154033400979e-36,2.421803019165104e-115,2.299633349484848e-75,1.4645757691172375e-113,1.3138334427642131e-126,7.193924673470053e-45,1.8259302655265796e-94,5.313967298015184e-60,1.1885548784882287e-115,2.650393623314927e-118,2.72899999724051e-107,5.851974255861546e-119,5.696831195901349e-114,1.1081394530277992e-58,3.265529333279149e-122,5.278829354398914e-124,4.86799705355638e-122,3.76,0.0,0.9527182967580505,0.9999999999999949,1.6474346127259551e-53,6.439125666950916e-68,1.2159129034322145e-17,1.2159129034322145e-17,5.2231508029752926e-15,6.035148647712741e-41,1.3625154033400979e-36,8.961823326070124e-22,2.5352358303203843e-37,9.850160656458514e-38,2.977316483268814e-57,1.1780257468930924e-36,7.48521520093928e-40,2.5301730146330312e-43,1.5700423026467437e-39,5.22219746191793e-38,1.6407187826176379e-37,2.592643783622753e-37,7.193924751542889e-45,6.316093770073775e-46,4.5657126430351816e-40,2.9490376009538856e-44,1.0864150038004837e-53
1.1027062118413926e-20,0.6801904995220031,4.0432926842962387e-25,5.426821774854514e-28,2.0323678176689358e-39,4.850307255635617e-39,0.0,0.0,1.844676943746004e-21,7.284523223437709e-39,2.8931411213998567e-54,4.5420407618357356e-70,3.785010953950852e-54,4.504000787311953e-89,2.0848392294271836e-66,1.978955975282744e-56,6.551313016223999e-52,5.688233597289318e-36,1.742988715505885e-113,3.972044732809233e-74,1.043236334127292e-111,1.899799394644729e-124,3.0033219384823297e-44,6.335000321209583e-93,4.466709704671492e-59,8.554115803202232e-114,1.9075075581882397e-116,1.9640812966362706e-105,8.568579367141875e-117,4.100054624023367e-112,9.314579806864881e-58,4.781454265630957e-120,7.729368983323617e-122,7.127819995250923e-120,3.76,0.0,0.9527182967580505,0.9999999999999893,1.3847680593877899e-52,1.0860526599705651e-66,2.5033500953016177e-17,2.5033500953016177e-17,1.075354577072227e-14,2.519555760245166e-40,5.688233597289318e-36,1.845081273014428e-21,1.0584110529416278e-36,4.112248173268536e-37,2.502613900963166e-56,4.918025598445877e-36,3.124929999683426e-39,1.0562974270548454e-42,6.554617550095378e-39,2.180164641188192e-37,6.8496779412901145e-37,1.0823777433675585e-36,3.0033220041072543e-44,2.6369192030815676e-45,1.9060951522340087e-39,1.2311651465124322e-43,9.176524900355433e-53
2.236918315449682e-20,0.6801904995220031,8.2021080167167555e-25,1.1008695600525052e-27,8.302885680467917e-39,1.98150877555614e-38,0.0,0.0,3.742058943027581e-21,2.975965424914167e-38,2.371971887577403e-53,7.460404908097277e-69,3.10318066081736e-53,7.397834856842078e-88,1.7092771702806428e-65,1.6224858398169151e-55,5.371162224360791e-51,2.323829027015666e-35,1.1814543502298656e-111,6.599611730515578e-73,7.038056347140784e-110,2.5814959485257734e-122,1.2269550078509921e-43,2.1098196039435248e-91,3.662078483353694e-58,5.798258257076707e-112,1.292970759661956e-114,1.3313183147126185e-103,1.171680750152417e-114,2.779155733863904e-110,7.636655288969844e-57,6.538234263550978e-118,1.0569258289026446e-119,9.746690928834136e-118,3.76,0.0,0.9527182967580505,0.9999999999999782,1.1353165200481332e-51,1.783844755213501e-65,5.078224479040425e-17,5.078224479040425e-17,2.1814335705879127e-14,1.0293207407445431e-39,2.323829027015666e-35,3.742879153829229e-21,4.323954502289106e-36,1.6799875581319194e-36,2.051794077572799e-55,2.0091739281883434e-35,1.2766358688643409e-38,4.315319650890298e-42,2.6777751411105196e-38,8.906683929459962e-37,2.7983169385045472e-36,4.4218662528176507e-36,1.2269550616542708e-43,1.0773283246231655e-44,7.787020640408792e-39,5.029711343088356e-43,7.541198637916961e-52
4.505342522666262e-20,0.6801904995220031,1.6519738681562439e-24,2.217244325218831e-27,3.356159143766442e-38,8.009575286796107e-38,0.0,0.0,7.536822941590649e-21,1.2029328063437024e-37,1.920884332132382e-52,1.2093709245264798e-67,2.5130361545843327e-52,1.1992209223776594e-86,1.3842169835847613e-64,1.3139383462741344e-54,4.349706426071488e-50,9.393288475743024e-35,7.779225471648758e-110,1.0759032776733788e-71,4.6237157914302796e-108,3.403535269727457e-120,4.959548314954932e-43,6.886802584936335e-90,2.9656461019895266e-57,3.8178336386978025e-110,8.513500404455529e-113,8.765997784179998e-102,1.5496599569339125e-112,1.829927784705088e-108,6.184361446818517e-56,8.647440718068081e-116,1.397885588243711e-117,1.2890931803194974e-115,3.76,0.0,0.9527182967580505,0.9999999999999561,9.194087533227036e-51,2.891689219289602e-64,1.0227973246518038e-16,1.0227973246518038e-16,4.393591557484444e-14,4.160679021285883e-39,9.393288475743024e-35,7.53847491545871e-21,1.7478115439097253e-35,6.7907783168529e-36,1.661596040372157e-54,8.121402257005504e-35,5.16036629877544e-38,1.7443211989212734e-41,1.0823995259716428e-37,3.600224049912345e-36,1.1311244477818842e-35,1.7873890389476471e-35,4.9595487506678316e-43,4.355224799954432e-44,3.147638246601139e-38,2.03308974327613e-42,6.114130579833092e-51
9.042190937099421e-20,0.6801904995220031,3.315500001127241e-24,4.449993855680358e-27,1.349496830784894e-37,3.2206149954308895e-37,0.0,0.0,1.5126350938716444e-20,4.836939907401011e-37,1.5460948237376253e-51,1.9476603004872952e-66,2.0227101265146693e-51,1.9313083663098498e-85,1.1141382768336777e-63,1.0575747860781042e-53,3.501022147608164e-49,3.7769999831143935e-34,5.049561581334726e-108,1.7375866673251832e-70,2.9979814033691987e-106,4.421127553054877e-118,1.994212564552166e-42,2.2256955934440333e-88,2.387009988862011e-56,2.478188492144311e-108,5.526186297549384e-111,5.69008413732777e-100,2.0161500894628066e-110,1.1878306629614535e-106,4.977712119930248e-55,1.1250557452890356e-113,1.8186874748928164e-115,1.6771455694541808e-113,3.76,0.0,0.9527182967580504,0.9999999999999118,7.400201515556325e-50,4.6569763418529004e-63,2.0527470781473265e-16,2.0527470781473265e-16,8.817907530738146e-14,1.6729907455576088e-38,3.7769999831143935e-34,1.5129666438717193e-20,7.027873346516632e-35,2.7305420942648117e-35,1.337397048879843e-53,3.2655801283133245e-34,2.074960592872774e-37,7.013838822880013e-41,4.352280888221544e-37,1.4476342561096264e-35,4.54820165586928e-35,7.187012713383287e-35,1.9942129152518163e-42,1.7516119699826476e-43,1.2656514951421156e-37,8.174964441062168e-42,4.924009250941648e-50
1.811588776596574e-19,0.6801904995220033,6.642552267076677e-24,8.915492917118907e-27,5.412085868661694e-37,1.291610658695749e-36,0.0,0.0,3.0305406932966684e-20,1.9398292402925874e-36,1.2406437265227875e-50,3.126430690391852e-65,1.6230974908556804e-50,3.1001777790105337e-84,8.940258401616305e-63,8.486383192586574e-53,2.80934978678083e-48,1.5147459238437561e-33,3.2545750484099304e-106,2.793119819553985e-69,1.931223390838988e-104,5.700744480201601e-116,7.997684317181184e-42,7.157503478243817e-87,1.9154251883881327e-55,1.5972576521449908e-106,3.5617727996199124e-109,3.667408731591504e-98,2.601734886650399e-108,7.65599539514104e-105,3.99430049127703e-54,1.4518248405388333e-111,2.3469198431929104e-113,2.164267512224743e-111,3.76,0.0,0.9527182967580502,0.9999999999998234,5.938195668335401e-49,7.475478393353674e-62,4.112646585138371e-16,4.112646585138371e-16,1.7666539475088126e-13,6.709441236740556e-38,1.5147459238437561e-33,3.0312049485232245e-20,2.8184915412711545e-34,1.0950695062693053e-34,1.0731769054016772e-52,1.3096436880916101e-33,8.32152002823821e-37,2.812863069624363e-40,1.7454592966573352e-36,5.805660837249496e-35,1.82403228729362e-34,2.8823135450673457e-34,7.997687131325014e-42,7.027917555564468e-43,5.0758285719845385e-37,3.2785263765984075e-41,3.952336547612194e-49
