Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CF3(1),O2(2),H2O(3),CH4(4),CH2CF2(57),HF(38),O2(161),S(164),CF2O(49),S(125),C2HF(58),S(463),C2HF(468),C2H2F3(68),S(165),S(464),S(130),C2H2F2(59),C2H3F2(65),C2H2F3(67),CF2(43),CHFCF2(55),CF2CH(73),C2HF2(72),S(179),C2H3F2(64),CHF2(82),CHF3(42),S(1244),S(1385),CF2O2(181),CF2O2(276),CH2F2(41),S(203),S(1542),CHO2(322),C2F(467),S(174),S(413),S(1894),C2H3F2(66),C2HF4(54),CHFO(47),S(2753),S(512),CF2CF2(61),C2HF3(169),C2HF4(69),C2HFO(577),S(3833),S(2867),F(37),S(344),CFO(51),C1OO1(180),CH2O2(318),C2H2O(623),S(3850),S(970),S(2764),CHF2O(206),CF3(45),S(1375),C3HF3(994),CH2F(46),S(2131),CF3O2(511),S(1368),C2HF5(81),CH2CFO(79),C2F5(3279)
0.0,0.6758467097016512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5548273129618593,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.2275812300064075e-22,0.675846709701651,2.6578040548002677e-26,2.0351622693526533e-28,1.6591907003244643e-40,1.1675839357063832e-41,0.0,0.0,1.0882550595788284e-22,2.113294247808469e-41,2.1794938997314127e-53,2.535368501147515e-53,2.7060135158303297e-57,1.3158520550355751e-66,1.820459380838116e-45,2.0047451177762318e-38,6.419443341223243e-23,2.992637874406163e-38,8.519865773750414e-86,3.329357964815446e-65,1.0325435099745653e-90,5.594637996723633e-81,6.001900728521582e-25,1.0850370880900836e-74,2.2476403205461243e-41,5.179089499205272e-83,1.7414104210583877e-81,3.0336256735115393e-61,6.361733383686397e-60,9.545560497052242e-61,2.6002221021668205e-57,3.1648940818824575e-94,2.2230563345495644e-96,3.6011351494883285e-95,3.76,0.0,0.5548273129618593,0.9999999999999994,4.015103949987303e-54,5.3935329446252744e-39,1.722645525352814e-18,1.722645525352814e-18,5.123417462829944e-16,9.866088852746202e-43,2.9768810769455936e-38,1.0885208399843084e-22,2.1591031546049392e-38,8.3867810267917e-40,1.2068644293887153e-58,2.654619725780789e-38,3.5163363173772397e-41,6.15469838374773e-45,1.3873286320131567e-40,3.916174687740918e-39,6.023671965385912e-27,7.117016108359511e-39,2.079088527516414e-39,2.380192465464359e-47,2.0191157750796875e-41,1.372145874582053e-46,4.991592647890747e-56,1.442635358719034e-41,1.8322850261882877e-50,6.0019007285217865e-25,3.3390946639719537e-72,2.2317193735907212e-76,1.5750967050912694e-55,2.8932368952866245e-58,3.6826727436274735e-61,5.1509063678739626e-43,1.6178514689811153e-76,6.042524660470759e-52,6.839027192121576e-64,1.1431389943780375e-56,2.281106130215879e-52,9.358065185577987e-66,1.4415899901009663e-43,1.119097977494775e-66,3.6306447108423953e-56,2.6025588220170932e-83,3.628000183954113e-49,6.504743915772933e-81,3.856922528475927e-57,4.837271106092703e-68,4.622942271996369e-61,1.8237370276271094e-79,2.0374431949348053e-77,6.0236719653810925e-27,6.792061864780304e-75,8.809948502730708e-63,1.2274797008774321e-52,3.5399127261490197e-57,1.3904359482800525e-101,7.234461422386791e-106,1.3106482755040104e-55,2.446071173730529e-84,2.5111292026727316e-62,6.419443341223243e-23,2.165896716654049e-77,1.5173148268500926e-94,2.068253132119418e-39,1.544223580694029e-98,1.4864903939624115e-39,4.685767369403427e-77,1.731584628176954e-87,1.1420304574868198e-63,2.1887619851634383e-77
9.03722744401794e-22,0.675846709701651,7.441851353440927e-26,5.698454354189563e-28,1.002151182996081e-39,7.052206971674073e-41,0.0,0.0,3.0471141668207185e-22,1.276429725676315e-40,2.5874951585977498e-52,3.0099894846034895e-52,3.212919550227791e-56,1.5621795597381503e-65,1.0995574660261852e-44,1.2108660511367653e-37,1.797444135542508e-22,1.807553276142613e-37,2.0408542976198252e-84,3.9526137758317136e-64,4.932588946108215e-89,1.577777430464919e-79,1.680532203985978e-24,2.429843761700534e-73,1.3575747536098298e-40,1.2837465130324316e-81,5.4647343568467294e-80,4.58441511781151e-60,9.61385148942689e-59,1.442525102314531e-59,3.0869836796924655e-56,1.9261305697870272e-92,1.312265533292519e-94,2.197689530529428e-93,3.76,0.0,0.5548273129618593,0.9999999999999986,4.766731410155098e-53,3.2576938985536665e-38,4.8234074709878794e-18,4.8234074709878794e-18,1.4345568895909687e-15,5.959117667984936e-42,1.7980361704764288e-37,3.0478583519560607e-22,1.3040983053813835e-37,5.0656157401817566e-39,1.43278945057028e-57,1.6033903143715594e-37,2.1238671356992124e-40,3.71743782378393e-44,8.379464937358085e-40,2.365369511395528e-38,1.6866281503096115e-26,4.298677729449148e-38,1.2557694706199197e-38,1.437642257017855e-46,1.219545928148129e-40,8.287761082897662e-46,6.4874275738471155e-55,8.713517566662799e-41,1.1067001559149562e-49,1.680532203986101e-24,8.145412804315378e-71,5.444073136775835e-75,9.51453746299013e-55,3.4348508420819115e-57,4.455258728495395e-60,3.111147446198112e-42,3.94659912253928e-75,7.17368527690632e-51,8.119293082486747e-63,1.727510416672409e-55,1.3777881026513858e-51,1.1109894981343692e-64,8.7072035402183e-43,1.360798252040128e-65,4.3103014007121056e-55,5.956632446792795e-82,2.1913260168036112e-48,2.0448381224404065e-79,2.329581970178868e-56,5.7428302348368924e-67,5.507640227884523e-60,4.0933196522075397e-78,4.572976335815419e-76,1.6866281503067012e-26,2.135532923276774e-73,1.0459170862449611e-61,7.413984570494702e-52,4.2025843884832725e-56,6.57262289037501e-100,3.300129406692944e-104,1.556001632678214e-54,5.4717833795365146e-83,2.981212589414947e-61,1.797444135542508e-22,6.809925820635478e-76,7.248395005642136e-93,1.2492248918001338e-38,7.376941351805084e-97,8.978401979532867e-39,1.4732802332183093e-75,4.986967947780443e-86,1.5092001083581951e-62,6.881817883271508e-76
2.0656519872041007e-21,0.675846709701651,1.7009945950722954e-25,1.3025038523871911e-27,4.824926556545107e-39,3.3953340850454408e-40,0.0,0.0,6.964832381304491e-22,6.145459672627018e-40,2.5404180907146674e-51,2.9552255250651357e-51,3.1546125860675694e-55,1.533757155349205e-64,5.29389587947669e-44,5.829798802492099e-37,4.108443738382874e-22,8.702590938792116e-37,4.162542309671541e-83,3.8806996437973264e-63,2.568385164716071e-87,3.4320105497009035e-78,3.841216466253358e-24,4.803312987799166e-72,6.536138052147691e-40,2.6571854106919187e-80,1.2186409918953216e-78,4.9317045849171255e-59,1.0342142727191305e-57,1.551802678884772e-58,3.0308188822855153e-55,8.69558194063697e-91,5.901529831397765e-93,9.92239214163545e-92,3.76,0.0,0.5548273129618593,0.9999999999999967,4.680005165141691e-52,1.5684393802970299e-37,1.102493136225801e-17,1.102493136225801e-17,3.278987176201256e-15,2.8690586397412875e-41,8.656770171776772e-37,6.9665333758995545e-22,6.278671973591164e-37,2.4388759225903807e-38,1.406721178895477e-56,7.719634162569978e-37,1.0225506010982442e-39,1.7897862899942813e-43,4.034351661892187e-39,1.1388235991950792e-37,3.8551500578578754e-26,2.0696282843109493e-37,6.045989438017817e-38,6.921689807731088e-46,5.871588673931699e-40,3.990200203917702e-45,6.615400861202034e-54,4.1951836231547025e-40,5.3282848575863775e-49,3.841216466253949e-24,1.6745732903215036e-69,1.1192188394145137e-73,4.581811264763078e-54,3.3723569251387484e-56,4.410652649083165e-59,1.4978835717811053e-41,8.113609017699015e-74,7.043166744230558e-50,7.971570095136943e-62,1.8583764514601776e-54,6.633456626682696e-51,1.090776075866456e-63,4.1921436912263036e-42,1.3501530610694896e-64,4.231879474957938e-54,1.189929366035179e-80,1.0550433120368469e-47,4.561696526072904e-78,1.1215942157437567e-55,5.638391332080927e-66,5.415883603108021e-59,8.100912084404272e-77,9.05017990485579e-75,3.8551500578438636e-26,4.764256476328515e-72,1.0268875974806352e-60,3.569521735943679e-51,4.126122273596679e-55,2.7605613671328968e-98,1.369218775060074e-102,1.5276916299270175e-53,1.0811408387882668e-81,2.9269721986410526e-60,4.108443738382875e-22,1.5192569892344032e-74,3.774224251951847e-91,6.014480108203347e-38,3.841158067894597e-95,4.3227140656425436e-38,3.286807155277433e-74,1.0840133222460804e-84,1.5489525011553491e-61,1.5352957129305907e-74
4.3895104728087145e-21,0.6758467097016512,3.6146135145289827e-25,2.767820686327073e-27,2.1071721894136863e-38,1.4828315983587604e-39,0.0,0.0,1.4800268810272002e-21,2.6838836947167442e-39,2.2469710320626637e-50,2.6138635102109844e-50,2.790278329345429e-54,1.3565908346589266e-63,2.3119834136638376e-43,2.5460262995745903e-36,8.730442944063602e-22,3.8006501005152806e-36,7.512648100674653e-82,3.432434887423629e-62,1.0249745829767116e-85,6.36236918620987e-77,8.162584990787079e-24,8.549160083958145e-71,2.8545032070931237e-39,4.8262831776054534e-79,2.2819994400022104e-77,4.5330861714210635e-58,9.506210960574901e-57,1.426374013953482e-57,2.680724978449465e-54,3.2832957854070165e-89,2.2237788709225258e-91,3.7465920054799976e-90,3.76,0.0,0.5548273129618593,0.999999999999993,4.1394115693219924e-51,6.849786839674094e-37,2.3427979144798268e-17,2.3427979144798268e-17,6.96784774939918e-15,1.252993285694445e-40,3.780638967740348e-36,1.4803883423786496e-21,2.742061006348273e-36,1.0651211904018778e-37,1.2442289521225693e-55,3.371367051741027e-36,4.465747123119725e-39,7.816466947364135e-43,1.761907362654568e-38,4.973541853431176e-37,8.192193872979299e-26,9.038610457616614e-37,2.6404424299459343e-37,3.022937553239158e-45,2.5642770343511682e-39,1.7426252613734023e-44,5.948946914903476e-53,1.8321469055729163e-39,2.327001984724765e-48,8.16258499078966e-24,3.032705112002138e-68,2.026940663246278e-72,2.0018505300352612e-53,2.982811509549282e-55,3.915649487354913e-58,6.541651087234615e-41,1.4694002159762168e-72,6.229601223929193e-49,7.050763473989728e-61,1.7081679752758362e-53,2.8970047853895813e-50,9.647790838249082e-63,1.8308192874413423e-41,1.1998021273879301e-63,3.743049471090161e-53,2.1279680981567072e-79,4.607775771899297e-47,8.543390061936516e-77,4.8983034372529494e-55,4.987176094257806e-65,4.793643487270693e-58,1.4425853897234846e-75,1.6116280696700378e-73,8.192193872918106e-26,8.922925109684084e-71,9.082704508424e-60,1.5589103447659888e-50,3.649508424145093e-54,1.0116690761987106e-96,4.990903029270267e-101,1.3512259461126541e-52,1.9238632832829627e-80,2.5888737627993706e-59,8.730442944063606e-22,2.845400201408462e-73,1.5061938219859226e-89,2.6266814777917432e-37,1.532905350852491e-93,1.887842800332107e-37,6.155826043838707e-73,2.00956189927696e-83,1.3967233358563462e-60,2.8754389558506285e-73
9.037227444017941e-21,0.675846709701651,7.441851353443491e-25,5.698454354220487e-27,8.797029093134859e-38,6.19053002722013e-39,0.0,0.0,3.0471141668206915e-21,1.1204686101880403e-38,1.8887145426665376e-49,2.197109777684544e-49,2.3454205433051974e-53,1.1402963372599514e-62,9.652075637198566e-43,1.0629158614438565e-35,1.797444135542505e-21,1.586696601027583e-35,1.275568449483574e-80,2.88516834261319e-61,3.6429194264633398e-84,1.0935287148676778e-75,1.6805322039850365e-23,1.442097168410429e-69,1.1916988979531475e-38,8.218599007378963e-78,3.941271870897027e-76,3.8781506575205517e-57,8.132763616904067e-56,1.2202929992704869e-56,2.2533108701831937e-53,1.1391293235071564e-87,7.7068477175934766e-90,1.2998802407135256e-88,3.76,0.0,0.5548273129618593,0.9999999999999857,3.479424842321645e-50,2.8596511672403165e-36,4.823407470987879e-17,4.823407470987879e-17,1.4345568895704434e-14,5.231000322233829e-40,1.5783423470139798e-35,3.047858351956022e-21,1.1447564925715389e-35,4.446671300398949e-37,1.0458494046773528e-54,1.4074793786084579e-35,1.8643615155187887e-38,3.2632210830670966e-42,7.355616406914489e-38,2.0763558194404235e-36,1.6866281503321723e-25,3.7734419406522454e-36,1.102332737289283e-36,1.262061855078684e-44,1.0705351839472191e-38,7.275117432921797e-44,5.039184885417777e-52,7.64885267192601e-39,9.714775221985819e-48,1.680532203986114e-23,5.1574114297363835e-67,3.4470106910940704e-71,8.36446216151797e-53,2.5072328016370963e-54,3.2970793185357706e-57,2.7310105562779894e-40,2.4988586719759422e-71,5.236355190315437e-48,5.926591540257608e-60,1.4613736073201602e-52,1.209442470254332e-49,8.109549478259852e-62,7.643310127633352e-41,1.01073246267151e-62,3.146258616100805e-52,3.597582294236844e-78,1.923759681982288e-46,1.4756456077071297e-75,2.0449509680653375e-54,4.192161322623675e-64,4.0306767055822605e-57,2.4339881629562222e-74,2.719203779986619e-72,1.6866281503066257e-25,1.5412134152218148e-69,7.634560413378427e-59,6.508197495916174e-50,3.0676317298671436e-53,3.461101465076253e-95,1.7030621175629077e-99,1.1357868251776261e-51,3.244980991837367e-79,2.176104388990424e-58,1.7974441355425072e-21,4.914721246879819e-72,5.353248749125684e-88,1.09658781064979e-36,5.448185706378411e-92,7.881372068787313e-37,1.063265864490635e-71,3.4550115070742875e-82,1.1846132710565358e-59,4.966605725065061e-72
1.8332661386436396e-20,0.6758467097016512,1.5096327031277039e-24,1.1559721690061908e-26,3.5938734245431194e-37,2.529033508186258e-38,0.0,0.0,6.181288738407627e-21,4.5774798725229715e-38,1.54848229342565e-48,1.8013233399552148e-48,1.9229268096359714e-52,9.34883831087705e-62,3.943187837266253e-42,4.3423581148986977e-35,3.64624381781479e-21,6.482173341626038e-35,2.1018806550637406e-79,2.3654353218310202e-60,1.2270354705032089e-82,1.8124436857124438e-74,3.409079613796029e-23,2.3687753842777626e-68,4.868478839912279e-38,1.3561697066789633e-76,6.548222240353247e-75,3.2065299597285987e-56,6.72432623068428e-55,1.0089618499496091e-55,1.847400390683799e-52,3.7937786627250175e-86,2.565252451057549e-88,4.3291656233944235e-87,3.76,0.0,0.5548273129618593,0.9999999999999709,2.852642703747713e-49,1.1682608099376097e-35,9.784626584003982e-17,9.784626584003982e-17,2.9101011187952565e-14,2.1370343204281373e-39,6.448043488054468e-35,6.1827983711106975e-21,4.676703797000483e-35,1.8166103175221004e-36,8.574505295140175e-54,5.750012510825847e-35,7.616525117275188e-38,1.333132288716715e-41,3.0050093100694636e-37,8.482591020635939e-36,3.42144567644049e-25,1.5415741571351314e-35,4.5033889141423335e-36,5.156301678292022e-44,4.373485533453343e-38,2.9721228551646737e-43,4.146843054547984e-51,3.124805892397822e-38,3.9688026692234527e-47,3.409079613800433e-23,8.504874707836638e-66,5.684323316771482e-70,3.4229826521158104e-52,2.055580931382953e-53,2.705428998685034e-56,1.1157069229333997e-39,4.120764885048771e-70,4.293080352228243e-47,4.858977814282188e-59,1.2082919357826464e-51,4.940967122410263e-49,6.648698547979172e-61,3.122541582258227e-40,8.29551025190048e-62,2.5794929024185765e-51,5.915832407990589e-77,7.860035920127081e-46,2.4517973651404687e-74,8.354338588220464e-54,3.4372155972492825e-63,3.305121752272751e-56,3.998517740357988e-73,4.467065501607186e-71,3.4214456763361233e-25,2.5607491401875546e-68,6.259273887676555e-58,2.6588549011330908e-49,2.5150298306389178e-52,1.1448466949861255e-93,5.626117197107014e-98,9.311866606287161e-51,5.330233891395796e-78,1.78410185280261e-57,3.646243817814797e-21,8.16588285757469e-71,1.8031216121375745e-86,4.479919014296578e-36,1.8350989939920887e-90,3.219797652937161e-36,1.766632136336428e-70,5.727928847524704e-81,9.754289909396168e-59,8.2520896940677e-71
3.6923529271273303e-20,0.675846709701651,3.040527838696224e-24,2.328225636196313e-26,1.4527010992978158e-36,1.0222757798129008e-37,0.0,0.0,1.244963788158131e-20,1.850290552080141e-37,1.254001108337206e-47,1.4587583438501248e-47,1.5572397131322625e-51,7.570931649135427e-61,1.5938995699704807e-41,1.7552505783710696e-34,7.343843182359339e-21,2.6201981057816214e-34,3.4126483699081097e-78,1.9155908517157022e-59,4.027253083400572e-81,2.9510948154094584e-73,6.866174433411365e-23,3.839988749931343e-67,1.9679169873706813e-37,2.203415512168718e-75,1.067504296609934e-73,2.607496910565904e-55,5.468110416008514e-54,8.204710199645586e-55,1.4960727334638177e-51,1.2383529299904225e-84,8.37102343674203e-87,1.413115255810708e-85,3.76,0.0,0.5548273129618592,0.9999999999999414,2.310144021255967e-48,4.722296982600742e-35,1.9707064810036187e-16,1.9707064810036187e-16,5.86118957709993e-14,8.638234449684173e-39,2.6064022732785503e-34,1.2452678409419777e-20,1.8903984488080459e-34,7.343029354403561e-36,6.94385669706623e-53,2.324246991664321e-34,3.0787212303220565e-37,5.388733860521675e-41,1.2146728090884355e-36,3.428798915503502e-35,6.89108072881645e-25,6.231289219642183e-35,1.8203418020905006e-35,2.084556448079448e-43,1.767832778639254e-37,1.2013795802991015e-42,3.3643702262776707e-50,1.2630965030541266e-37,1.6042534992292943e-46,6.866174433429164e-23,1.3813796062788587e-64,9.2325972750637e-69,1.3883351802107915e-51,1.6646627327286591e-52,2.191837736584506e-55,4.5098657687967036e-39,6.693032842740676e-69,3.476647774782087e-46,3.934926211512959e-58,9.82562926272773e-51,1.9972179101948716e-48,5.384288345648657e-60,1.26218123273512e-39,6.72156388553206e-61,2.088940230248532e-50,9.59537117181642e-76,3.177839312890181e-45,3.997040779004826e-73,3.3769949325015866e-53,2.783916349538946e-62,2.676784498033092e-55,6.482317036944309e-72,7.241917302172991e-70,6.891080728394587e-25,4.174667398218084e-67,5.068922276999865e-57,1.0747871271771093e-48,2.0367363633889112e-51,3.7243813023740115e-92,1.8291098791938007e-96,7.540991004191758e-50,8.641650456140051e-77,1.4448119363942224e-56,7.343843182359372e-21,1.3312450020297259e-69,5.918025676422314e-85,1.8108548933214122e-35,6.022978645543164e-89,1.3014936914520305e-35,2.8800562571544145e-69,9.328024827160842e-80,7.916077009797886e-58,1.3452988921231086e-69
7.410526504094712e-20,0.6758467097016512,6.10231810984051e-24,4.672732570663911e-26,5.841247228202468e-36,4.110525949604253e-37,0.0,0.0,2.4986336167927923e-20,7.4399369311790675e-37,1.0093291876200131e-46,1.1741356253538574e-46,1.2534034868761424e-50,6.093744447368801e-60,6.409000068586863e-41,7.057785376873683e-34,1.4739041911448364e-20,1.0535701343343251e-33,5.500319251181869e-77,1.5418341701705044e-58,1.3050552804396953e-79,4.763079312782514e-72,1.3780364072615428e-22,6.18426517878161e-66,7.912907654072442e-37,3.552535779460854e-74,1.7240051564563162e-72,2.1030407214607377e-54,4.41022914641455e-53,6.617396012051577e-54,1.2041694912754489e-50,4.002143307863238e-83,2.704982950905195e-85,4.566949929112856e-84,3.76,0.0,0.5548273129618589,0.9999999999998823,1.859404886291987e-47,1.8988148472870833e-34,3.955194126210059e-16,3.955194126210059e-16,1.1763366493129467e-13,3.473396115365447e-38,1.0480228907610896e-33,2.4992438486036845e-20,7.601209019912872e-34,2.952599807572173e-35,5.589019971677665e-52,9.345694929371128e-34,1.2379402661333366e-36,2.166786184814718e-40,4.884145942038749e-36,1.3787049635190094e-34,1.3830350834205681e-24,2.505573989012587e-34,7.319514324667173e-35,8.384297200018702e-43,7.108377850797286e-37,4.8306944705609885e-42,2.710394127181921e-49,5.0788554857716775e-37,6.450632800034386e-46,1.3780364072686999e-22,2.2268305309122312e-63,1.488325830062558e-67,5.620319392985025e-51,1.33986538962053e-51,1.7645456673081135e-54,1.8133971906118286e-38,1.078939475428447e-67,2.7983085905414193e-45,3.1671709458694586e-57,7.924725921646159e-50,8.030725376453897e-48,4.333743493677747e-59,5.07517522441678e-39,5.411697054100482e-60,1.681360830997138e-49,1.5457881089343996e-74,1.278347794223501e-44,6.455225800938236e-72,1.3579051286934174e-52,2.2413337622910657e-61,2.1545934070003767e-54,1.0440009534688358e-70,1.1663373645106514e-68,1.383035083250938e-24,6.74209899922654e-66,4.0799096350022e-56,4.321956974174211e-48,1.6393426172914747e-50,1.2016379245646726e-90,5.899588962549059e-95,6.069645611523833e-49,1.392069213128486e-75,1.162910342256811e-55,1.4739041911448496e-20,2.1499642342246642e-68,1.9177714141551017e-83,7.281367881755918e-35,1.9517820479400554e-87,5.233248891552551e-35,4.651298548316089e-68,1.505718991601926e-78,6.378258210125682e-57,2.1726613042550265e-68
1.4846873658029474e-19,0.6758467097016512,1.2225898652158063e-23,9.361746439948516e-26,2.342601394710104e-35,1.6485047537974967e-36,0.0,0.0,5.005973274061814e-20,2.9837474687148384e-36,8.0992310772779e-46,9.421698966579868e-46,1.0057779568553805e-49,4.889846148356346e-59,2.570295677025726e-40,2.8304876032674094e-33,2.9529439369626104e-20,4.225287459837126e-33,8.832805364455571e-76,1.237224820353115e-57,4.2024858974283693e-78,7.654141817596402e-71,2.760874335091712e-22,9.927180667630576e-65,3.173429882718616e-36,5.705808393469466e-73,2.771274156828321e-71,1.689276675780723e-53,3.542535888949732e-52,5.3154523463099005e-53,9.662701807989437e-50,1.287029409816869e-81,8.698196369199156e-84,1.4686635533122324e-82,3.76,0.0,0.5548273129618585,0.9999999999997643,1.492055320012073e-46,7.6150968033185735e-34,7.924169416622936e-16,7.924169416622936e-16,2.356772032286931e-13,1.3929872221600503e-37,4.2030405320429125e-33,5.007195863926663e-20,3.048424789367784e-33,1.1841245810767562e-34,4.484836543086751e-51,3.748041663088046e-33,4.9646941505438535e-36,8.689781720006683e-40,1.958760971479903e-35,5.529223544581882e-34,2.770889104753337e-24,1.0048472341297657e-33,2.9354526174729168e-34,3.3643930901719824e-42,2.8507774481389462e-36,1.9373245542383841e-41,2.1759024155844082e-48,2.0368482071527557e-36,2.5869922943075655e-45,2.760874335120416e-22,3.5762847772844136e-62,2.3902479042150793e-66,2.2843864322595625e-50,1.0751575932926482e-50,1.416082257565644e-53,7.272533796783386e-38,1.732774347903373e-66,2.245466412391408e-44,2.541455222601614e-56,6.365570810097e-49,3.2206800592462863e-47,3.477555920081296e-58,2.0353722580206662e-38,4.343412066822948e-59,1.3491861784692815e-48,2.4818444182300562e-73,5.131178630805017e-44,1.0376583750783718e-70,5.4460500892112395e-52,1.7994851969173464e-60,1.7289592415389268e-53,1.6758877565676372e-69,1.8722688929671994e-67,2.7708891040730447e-24,1.0837727230695012e-64,3.273870538678154e-55,1.7335268126426853e-47,1.3154692081478122e-49,3.861056081264264e-89,1.895333153612958e-93,4.870508350255038e-48,2.2357288770043027e-74,9.331623122046289e-55,2.952943936962664e-20,3.456004714432641e-67,6.175529525543275e-82,2.9201541877240153e-34,6.285049185483627e-86,2.0987668682868208e-34,7.476826569995357e-67,2.419902684050677e-77,5.120832948482939e-56,3.492489591579945e-67
