Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CF3(1),O2(2),H2O(3),CH4(4),CH2CF2(57),HF(38),O2(161),S(164),CF2O(49),S(125),C2HF(58),S(463)
5.894338464937867e-20,0.8528183986994393,3.401068871226669e-22,2.2744198946658974e-23,2.9505672290050843e-35,5.504190119188525e-35,0.0,0.0,5.085702527494046e-19,7.909638543958223e-35,3.29247893086325e-47,4.2440685508135677e-66,9.478812342981166e-48,1.5853734440059137e-97,4.492877248963553e-71,8.104857344359899e-71,9.638902860197717e-72,9.103839245947507e-32,5.585264393080678e-109,3.924521135293355e-62,1.4404354595901088e-96,7.3291619779413e-114,2.672433319280464e-73,1.836338656744633e-82,2.1120817077680126e-51,6.506919324441851e-104,2.748733063420062e-102,5.73165688587384e-117,8.476377170353725e-156,2.291469133573545e-124,1.9712949765502858e-50,1.0590630549545955e-132,1.497998444045373e-111,3.5657347050225734e-132,3.76,0.0,0.7914944038656754,0.9999999999996884,1.923227431271901e-47,9.443634037409875e-103,1.32289799144402e-14,1.3228979914440203e-14,3.1169751645073527e-13,1.2565910280621009e-36,9.103839245947513e-32,5.089103596365272e-19,2.6407333844155207e-30,2.0919579139197947e-34
1.1793797988489929e-19,0.8528183986994413,6.8050926242414745e-22,4.5508158274723106e-23,1.180995831619917e-34,2.2031104810358275e-34,0.0,0.0,1.017582356282896e-18,3.1659167288767465e-34,2.635985113052499e-46,6.796039297685467e-65,7.588813398708668e-47,5.0794617213108146e-96,7.196969375406505e-70,1.2979305012164074e-69,1.5438611252614156e-70,3.6439082276809964e-31,7.16506478210331e-107,6.286541308857987e-61,9.23376222944427e-95,9.396688020932948e-112,4.280869405404763e-72,5.883538514880459e-81,1.6909496024448902e-50,4.171757558077431e-102,1.7622852468312277e-100,7.350654879461025e-115,4.351134613060587e-153,2.939284178360049e-122,1.578234613106985e-49,2.717873193619905e-130,1.921331780883606e-109,9.150743884208948e-130,3.76,0.0,0.7914944038656622,0.9999999999993764,1.5397513498647052e-46,6.05311386103057e-101,2.6469453295356588e-14,2.6469453295356607e-14,6.236658386765087e-13,5.029639419336557e-36,3.6439082276810008e-31,1.0182628655453203e-18,1.0569815487475789e-29,8.373283455167104e-34
2.359271703559405e-19,0.8528183986994454,1.3613140130445579e-21,9.103607693098352e-23,4.725521644838369e-34,8.815311608575857e-34,0.0,0.0,2.0356065633491858e-18,1.2667790713007858e-33,2.1095892204800423e-45,1.0878088777966137e-63,6.073357115280289e-46,1.6264327820026595e-94,1.1521848011003882e-68,2.07761196406859e-68,2.471487947002296e-69,1.4580379323575863e-30,9.181489198247443e-105,1.0064315920214808e-59,5.914404633227898e-93,1.2037601335157408e-109,6.853374535107946e-71,1.883893949170893e-79,1.3532735962719798e-49,2.6722725091910836e-100,1.128854289603175e-98,9.417894273721066e-113,2.2306603134376738e-150,3.7662590811470185e-120,1.2630673484090323e-48,6.966308452133201e-128,2.4617997773887457e-107,2.3454701501037156e-127,3.76,0.0,0.7914944038656356,0.9999999999987524,1.232269041863298e-45,3.876935798107376e-99,5.2950400057188467e-14,5.295040005718854e-14,1.2476024829471388e-12,2.0125113378344413e-35,1.4580379323575891e-30,2.0369678773622314e-18,4.229302977214618e-29,3.350404052604132e-33
4.71905551298023e-19,0.8528183986994535,2.722923514355176e-21,1.8209191424403288e-22,1.89051636546582e-33,3.526698662161214e-33,0.0,0.0,4.071654977478995e-18,5.067941162191252e-33,1.6879918973043778e-44,1.7408483653144788e-62,4.85960844911341e-45,5.2062039217004925e-93,1.8440316186421104e-67,3.324917873429216e-67,3.955429158494408e-68,5.833101148782956e-30,1.175884248499434e-102,1.6107586866542503e-58,3.7867546990902525e-91,1.5414430887701865e-107,1.0968587093644809e-69,6.030319921328514e-78,1.0828244869308033e-48,1.7110060365634896e-98,7.227842572636669e-97,1.2060703806988333e-110,1.1428357995525416e-147,4.823357431226108e-118,1.0106457831473497e-47,1.7844706041436964e-125,3.1527015661109677e-105,6.008092471046039e-125,3.76,0.0,0.7914944038655827,0.9999999999975046,9.860024582982986e-45,2.482181087047911e-97,1.0591229358084861e-13,1.0591229358084893e-13,2.495475770764731e-12,8.051359254393251e-35,5.8331011487829764e-30,4.074377900993356e-18,1.6919965865568266e-28,1.3403797861393522e-32
9.43862313182188e-19,0.8528183986994698,5.446142517255602e-21,3.6420358887224588e-22,7.562680920994472e-33,1.4107942768536504e-32,0.0,0.0,8.143751805727533e-18,2.0273414520201477e-32,1.3505217405798138e-43,2.785640749825119e-61,3.888055903396768e-44,1.6662509880134756e-91,2.950879411187863e-66,5.320459664983235e-66,6.329525541659125e-67,2.3334303581478844e-29,1.5055502994805184e-100,2.5775884715220137e-57,2.424014564560531e-89,1.973450531019992e-105,1.7552290050774039e-68,1.9299999158749286e-76,8.663418427030273e-48,1.0952844484913143e-96,4.626835540587667e-95,1.5441413380916975e-108,5.853208620725554e-145,6.175527343726416e-116,8.085933968811916e-47,4.5696477114249365e-123,4.036480948485127e-103,1.5385440337259836e-122,3.76,0.0,0.7914944038654768,0.9999999999950088,7.888768645860001e-44,1.5888974632173405e-95,2.1183608062815442e-13,2.1183608062815579e-13,4.991222343505242e-12,3.2208085619929065e-34,2.3334303581479018e-29,8.149197948244812e-18,6.768537176795089e-28,5.361955505153211e-32
1.8877758369505177e-18,0.8528183986995023,1.089258052417321e-20,7.284269381371287e-22,3.0251954648002653e-32,5.643406740104353e-32,0.0,0.0,1.6287945462180288e-17,8.109695794091762e-32,1.080468685371528e-42,4.4572519103743904e-60,3.1105923913142956e-43,5.33247088604736e-90,4.721750148283412e-65,8.513208358332795e-65,1.0127912040111785e-65,9.334101253312781e-29,1.9273722426970585e-98,4.124441237254267e-56,1.5515266409165797e-87,2.5262748766750836e-103,2.8085704851419057e-67,6.176475846151533e-75,6.931063778336275e-47,7.010590484274329e-95,2.961500005431052e-93,1.9767385500308433e-106,2.9973265841469314e-142,7.905718269099631e-114,6.469054279215599e-46,1.170009430069345e-120,5.1673504074388664e-101,3.939277471818431e-120,3.76,0.0,0.7914944038652649,0.9999999999900173,6.311314524854317e-43,1.0169908903968064e-93,4.2368365472270835e-13,4.2368365472271385e-13,9.982715477407576e-12,1.288378047477866e-33,9.334101253312921e-29,1.6298838042704555e-17,2.707525040753938e-27,2.1448694767486166e-31
3.775602884487178e-18,0.8528183986995674,2.1785456542475458e-20,1.4568736367007225e-21,1.210102805793595e-31,2.2574086238255772e-31,0.0,0.0,3.2576332774908515e-17,3.2439443159936065e-31,8.643954677261598e-42,7.131784444438353e-59,2.4885329869761294e-42,1.7064927312420476e-88,7.555074737437634e-64,1.3621511728188294e-63,1.6205196258946e-64,3.733716474764672e-28,2.4672079149055662e-96,6.599345735609307e-55,9.93027398093051e-86,3.233797106728494e-101,4.4938760580672895e-66,1.976548456512661e-73,5.5449826512773155e-46,4.487024388756836e-93,1.8954640993674674e-91,2.5303774508813365e-104,1.5347550740565478e-139,1.0119987163890351e-111,5.17536627841718e-45,2.995454080668349e-118,6.6146276425653374e-99,1.0085324509988024e-117,3.76,0.0,0.7914944038648413,0.9999999999800343,5.049171466950638e-42,6.509050575133653e-92,8.473788029115853e-13,8.473788029116073e-13,1.9965701698897488e-11,5.153634627275364e-33,3.733716474764783e-28,3.259811823145135e-17,1.0830320507008014e-26,8.579652455162344e-31
7.551256979560499e-18,0.8528183986996976,4.3571208596948073e-20,2.9137670339632213e-21,4.840460464597312e-31,9.029726355113828e-31,0.0,0.0,6.515310739965579e-17,1.2975909261701138e-30,6.915245848108547e-41,1.1411000267362649e-57,1.9908500273200475e-41,5.461114154917145e-87,1.2088339237789672e-62,2.1794721539046736e-62,2.5928743731086627e-63,1.4935017910834124e-27,3.1581358603732736e-94,1.0559144985481524e-53,6.3555364985919745e-84,4.139366090263257e-99,7.19033236438523e-65,6.325076985070969e-72,4.4360387898223026e-45,2.8717745601018753e-91,1.2131303435208169e-89,3.238980510070495e-102,7.85826313854195e-137,1.2954011054907785e-109,4.1403421815644235e-44,7.668656830053592e-116,8.466991683853636e-97,2.5819421916492636e-115,3.76,0.0,0.7914944038639938,0.9999999999600683,4.039385113987977e-41,4.165891229401463e-90,1.694769099288415e-12,1.694769099288503e-12,3.993167395661827e-11,2.0614888906780886e-32,1.493501791083501e-27,6.519667860825419e-17,4.3321722719921926e-26,3.43189588855787e-30
1.5102565169707137e-17,0.8528183986999579,8.714271277736577e-20,5.8275538290294635e-21,1.936194035157474e-30,3.611908916830584e-30,0.0,0.0,1.3030665664631361e-16,5.190390104213679e-30,5.532229565206101e-40,1.8257716693628163e-56,1.592689489580874e-40,1.7477219633231304e-85,1.934151867896265e-61,3.487179695545873e-61,4.148633410692837e-62,5.974037617659171e-27,4.042484130661775e-92,1.689478542443575e-52,4.067594969806766e-82,5.298456358330708e-97,1.150463645992856e-63,2.024044158836785e-70,3.5488521261653427e-44,1.8379610800781788e-89,7.764140929005967e-88,4.1459574267621707e-100,4.023511977268851e-134,1.658140797542807e-107,3.3122934347657976e-43,1.96321385432167e-113,1.0837921208598149e-94,6.609898970585158e-113,3.76,0.0,0.791494403862299,0.9999999999201362,3.2315272690262236e-40,2.666202045846027e-88,3.3895496920383778e-12,3.38954969203873e-12,7.986361773102375e-11,8.246110059299251e-32,5.974037617659884e-27,1.303937993590968e-16,1.732877722672518e-25,1.3727653339916973e-29
3.020518155000042e-17,0.8528183987004784,1.7428572142409104e-19,1.1655127421326929e-20,7.744795847231899e-30,1.4447672438902112e-29,0.0,0.0,2.606137551282826e-16,2.0761613215001797e-29,4.425796877265066e-39,2.9212440170636492e-55,1.2741553988729904e-39,5.593688242968155e-84,3.094657116895151e-60,5.579507000050068e-60,6.637841106265864e-61,2.3896211784104593e-26,7.455409125646292e-90,2.703177943556274e-51,2.6032774124966643e-80,6.782771476456055e-95,1.8407502532184636e-62,6.476972645346822e-69,2.839090181318175e-43,1.5542804393187913e-87,6.565781328300072e-86,7.646231904865955e-98,3.203652773515648e-131,3.0580485703267332e-105,2.6498426650058274e-42,1.0863427084510069e-110,2.428374504620516e-92,3.6575834867938356e-110,3.76,0.0,0.7914944038589092,0.9999999998402722,2.5852294888398664e-39,1.7063794703109143e-86,6.779110877523519e-12,6.779110877524928e-12,1.5972750231569032e-10,3.2985424565413337e-31,2.389621178411029e-26,2.6078804084973e-16,6.931528518469521e-25,5.491075271046077e-29
