Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CF3(1),O2(2),H2O(3),CH4(4),CH2CF2(57),HF(38),O2(161),S(164),CF2O(49),S(125),C2HF(58),S(463),C2HF(468),C2H2F3(68),S(165),S(464),S(130)
0.0,0.8222057726671032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5862318977355191,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.703039608143633e-23,0.8222057726671032,2.917713759576768e-25,2.676721140948627e-26,4.509576631774042e-41,6.219628150354441e-41,0.0,0.0,4.51806390984012e-22,9.29548501138331e-41,1.0186864018113693e-55,2.944389275855698e-77,3.019894352506618e-56,1.1160169502535298e-111,1.65945029208452e-82,3.234705063042731e-76,3.496021876611257e-83,1.3906624362196797e-37,-8.458669253093916e-129,1.150353726055781e-73,-2.510950528714597e-113,-2.918418648312956e-133,5.588875265088852e-62,8.905276320581414e-97,5.059540526565578e-60,9.780742231340579e-121,4.2277889945121015e-119,-3.4301572880254736e-130,4.9471064843442534e-182,-6.692617296460173e-145,4.707105286595157e-59,-9.500172202132194e-156,4.696668873286735e-131,-1.9562752941933088e-156,3.76,0.0,0.5862318977355191,0.9999999999999998,4.510942762871746e-56,-1.1062794578522032e-119,1.1339380974114643e-17,1.1339380974114643e-17,3.567111392678919e-16,1.909361186980849e-42,1.3906624362196797e-37,4.520981623599695e-22,3.961921048154637e-36,3.2761226904881123e-40,2.1606513500647163e-55,1.2929859166021971e-37,1.1890952164259244e-39,9.763603656829839e-58,6.567967954411832e-39
1.876851090280217e-22,0.8222057726671032,8.169598526815094e-25,7.494819194656552e-26,2.7237842855915562e-40,3.756655402814143e-40,0.0,0.0,1.2650578947552329e-21,5.614472946875516e-40,1.2093844962306539e-54,6.5864810345192e-76,3.5852185752964335e-55,6.78927575045396e-110,5.103432966566502e-81,9.072039227317384e-75,9.6474792104868e-82,8.39960111476835e-37,1.4700414514417393e-126,3.6168961713155406e-72,1.3012219707261696e-111,2.6939597031746364e-131,8.397583222896158e-61,5.417514163299974e-95,6.006686513139576e-59,7.547258882970263e-119,3.262351393116153e-117,1.8351253717231444e-128,2.6279763814672556e-178,6.8309756148746e-142,5.588275396246661e-58,1.153227205688139e-152,5.004872214478814e-129,2.3747313444717522e-153,3.76,0.0,0.5862318977355191,0.999999999999999,5.355391816347149e-55,1.031083031572503e-117,3.1750266727521005e-17,3.1750266727521005e-17,9.98791189949907e-16,1.1532541571839253e-41,8.39960111476835e-37,1.2658748546079138e-21,2.3930003130854003e-35,1.9787781050547397e-39,2.5651252827968275e-54,7.809634936277198e-37,7.182135107215201e-39,1.475475784620126e-56,3.967052644464744e-38
4.289945349211925e-22,0.8222057726671032,1.8673368061292326e-24,1.713101530207398e-25,1.3113848845199441e-39,1.8086678661231632e-39,0.0,0.0,2.8915609022976728e-21,2.703127041310262e-39,1.1873808699519281e-53,1.3013776607232877e-74,3.519988857283467e-54,3.0650036144014306e-108,1.1328940033372516e-79,1.9695162708714046e-73,2.0677185071748653e-80,4.044046364529011e-36,3.82217504625119e-124,8.069096393024503e-71,1.3656853907218954e-109,5.743126124360774e-129,9.017101130607731e-60,2.4457248559001618e-93,5.897400437767634e-58,8.22537192005176e-117,3.5554701327110306e-115,4.661792002090166e-126,2.974762905699761e-175,1.6827797209457923e-139,5.486601922058019e-57,5.988278951735305e-150,1.1389829839674357e-126,1.2331095099170052e-150,3.76,0.0,0.5862318977355191,0.9999999999999977,5.257955691340869e-54,1.0463408866368008e-115,7.257203823433372e-17,7.257203823433372e-17,2.282951291313176e-15,5.552422335381916e-41,4.044046364529011e-36,2.8934282391037978e-21,1.1521266408033686e-34,9.526964783938221e-39,2.518455213635421e-53,3.760003045479082e-36,3.4578888893704383e-38,1.5872495192835106e-55,1.9099650811429575e-37
9.11613386707534e-22,0.8222057726671032,3.968090713024912e-24,3.6403407516915154e-25,5.727162322353579e-39,7.898927750951091e-39,0.0,0.0,6.144566917382542e-21,1.1805265964456758e-38,1.0502249328126894e-52,2.315732014917011e-73,3.1133902816638702e-53,1.1572870508519046e-106,2.1175895502014128e-78,3.6483130196589016e-72,3.811396133674162e-79,1.766141294001229e-35,6.696083876942356e-122,1.5112524519935883e-69,1.0903548909880812e-107,9.185062866970164e-127,8.282239669999557e-59,9.234591700625768e-92,5.216183901273864e-57,6.728864945497525e-115,2.908595328360477e-113,8.06620675718671e-124,2.184078656021497e-172,2.8948448911964126e-137,4.852837266273766e-56,2.14885044482403e-147,1.924821188276993e-124,4.424924144752032e-148,3.76,0.0,0.586231897735519,0.9999999999999951,4.650602363430692e-53,8.271988733557005e-114,1.5421558124795912e-16,1.5421558124795912e-16,4.851271494036669e-15,2.4248887111956405e-40,1.766141294001229e-35,6.148535008095552e-21,5.031639731156388e-34,4.1606758169186546e-38,2.227545115862693e-52,1.6420921140846804e-35,1.5101509248648672e-37,1.458955767232762e-54,8.341319302102991e-37
1.876851090280217e-21,0.8222057726671032,8.169598526817198e-24,7.494819194662284e-25,2.3909775301670905e-38,3.297646845318782e-38,0.0,0.0,1.2650578947552246e-20,4.928466153035391e-38,8.827773368295438e-52,3.9058205176696996e-72,2.6169921275791846e-52,4.015166426502588e-105,3.6541576664403385e-77,6.268338574963933e-71,6.535906916624007e-78,7.373292236856782e-35,9.949783853314166e-120,2.6103127888761786e-68,7.766739443323348e-106,1.3095379052402794e-124,7.08332989862679e-58,3.203908850934787e-90,4.384516867683809e-56,4.842812971137296e-113,2.093337182122074e-111,1.1915993310325919e-121,1.3285608047854315e-169,4.266988854003498e-135,4.079102127688935e-55,6.47572801529484e-145,2.8183549115338123e-122,1.3334853450757074e-145,3.76,0.0,0.5862318977355189,0.99999999999999,3.9091115454869684e-52,5.866537311275989e-112,3.1750266727520994e-16,3.1750266727520994e-16,9.987911899471478e-15,1.0123433046800558e-39,7.373292236856782e-35,1.2658748546078996e-20,2.1006105397315883e-33,1.7370002504956746e-37,1.8723858895444344e-51,6.855411329823862e-35,6.304582837525591e-37,1.2481673751647242e-53,3.48233660942912e-36
3.8073264974255835e-21,0.8222057726671032,1.657261415440548e-23,1.520377608061394e-24,9.767923367492027e-38,1.3471963358800993e-37,0.0,0.0,2.566260300789151e-20,2.013439235405637e-37,7.237541958950256e-51,6.415321928734306e-71,2.1455682581998262e-51,1.3372180820451465e-103,6.068596891531084e-76,1.0387602477045668e-69,1.0822128314926634e-76,3.0122304633662064e-34,1.369772284939451e-117,4.337073739247608e-67,5.2397283384075537e-104,1.7676316788683555e-122,5.855734681989916e-57,1.0670354159541741e-88,3.59469182948783e-55,3.2826163221873836e-111,1.4189321046974726e-109,1.6357296223562652e-119,7.400677775191638e-167,5.8519477703188955e-133,3.34429437325836e-54,1.7959742897301737e-142,3.8538569707739496e-120,3.698279809512609e-143,3.76,0.0,0.5862318977355185,0.9999999999999797,3.204925839165668e-51,3.949551930849286e-110,6.440768393297114e-16,6.440768393297114e-16,2.0261192710292385e-14,4.13575273369194e-39,3.0122304633662064e-34,2.567917562204564e-20,8.581679467144869e-33,7.0962127924953676e-37,1.5350950770390904e-50,2.8006592147961874e-34,2.5756278026170682e-36,1.0320089229765963e-52,1.4226481307973924e-35
7.668277311716315e-21,0.8222057726671033,3.3378645409596904e-23,3.062168985255774e-24,3.94835080079994e-37,5.4455829877925015e-37,0.0,0.0,5.168665112856946e-20,8.138643310746361e-37,5.861149124336682e-50,1.0399513301522755e-69,1.737536803113185e-50,4.364902681841347e-102,9.891032385158108e-75,1.691216398087411e-68,1.7613061207445173e-75,1.2175917147211812e-33,1.8175553807589569e-115,7.070524815865174e-66,3.4422876808999815e-102,2.3229967492293162e-120,4.761430407115019e-56,3.4829813159262897e-87,2.911074642213511e-54,2.1614219886821395e-109,9.342886132430722e-108,2.1673257382318154e-117,3.950554713714957e-164,7.750553572081935e-131,2.7082962901659427e-53,4.783687175285122e-140,5.0970914976564745e-118,9.85059411809473e-141,3.76,0.0,0.5862318977355179,0.9999999999999591,2.595432044095393e-50,2.5920553449313824e-108,1.2972251834387136e-15,1.2972251834387136e-15,4.080775433173935e-14,1.671737391747845e-38,1.2175917147211812e-33,5.172002977397793e-20,3.468852049869693e-32,2.8684026694036677e-36,1.2431597934137447e-49,1.1320712333085333e-33,1.0411099385758215e-35,8.392125169940904e-52,5.750571206549137e-35
1.539017894029778e-20,0.8222057726671035,6.699070792003914e-23,6.145751739660728e-24,1.5876144915253697e-36,2.1896449688497264e-36,0.0,0.0,1.0373474736992303e-19,3.2725126801973185e-36,4.717562723766963e-49,1.6748095573148203e-68,1.3985207814460707e-49,1.4106612154327487e-100,1.5972176604564455e-73,2.7295223038387497e-67,2.842140898821545e-74,4.895882733321624e-33,2.3684681042987235e-113,1.1418916463951433e-64,2.2319525935469433e-100,3.0127355912064686e-118,3.840124587234552e-55,1.1256393762796631e-85,2.343086129847537e-53,1.4029974847455237e-107,6.06454723421154e-106,2.8222174515823432e-115,2.0650894077938618e-161,1.0090532506269405e-128,2.1798724708009444e-52,1.249031390278961e-137,6.631453656308177e-116,2.572012099252846e-138,3.76,0.0,0.5862318977355165,0.9999999999999181,2.0890295090606682e-49,1.679822796347099e-106,2.6035218716567142e-15,2.6035218716567146e-15,8.190087757385386e-14,6.721982621369555e-38,4.895882733321624e-33,1.0380173807783852e-19,1.3948101526870296e-31,1.1533720976707605e-35,1.0006031541969962e-48,4.5520086388291244e-33,4.186257273435037e-35,6.768552975169724e-51,2.3122793902223127e-34
3.0833982197460713e-20,0.822205772667104,1.3421483294116117e-22,1.2312917248535418e-23,6.367044188964459e-36,8.781455667755547e-36,0.0,0.0,2.0783093985262079e-19,1.3124239514660237e-35,3.785546984182393e-48,2.68844025391399e-67,1.1222248513722591e-48,4.536475660191349e-99,2.5673306461951924e-72,4.386183050203864e-66,4.5667621995692794e-73,1.9634679498147805e-32,3.0588023262317013e-111,1.8355574713528515e-63,1.4377671092819893e-98,3.8816555965642597e-116,3.084540446371292e-54,3.619887541395805e-84,1.8801790568309684e-52,9.042687375202629e-106,3.908760015755429e-104,3.643488718581029e-113,1.0683227132623053e-158,1.3025665110416433e-126,1.74921037428203e-51,3.2291517595308735e-135,8.557538280043177e-114,6.649486529921512e-136,3.76,0.0,0.5862318977355139,0.9999999999998359,1.6763146195346964e-48,1.0818282621549169e-104,5.216115248092705e-15,5.2161152480927064e-15,1.6408712405496533e-13,2.6958157552545104e-37,1.9634679498147808e-32,2.0796515468554367e-19,5.593812556363218e-31,4.6255379699129385e-35,8.029210154573697e-48,1.8255590577306508e-32,1.6788764016606505e-34,5.436869839356959e-50,9.273274547024804e-34
