Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CF3(1),O2(2),H2O(3),CH4(4),CH2CF2(57),HF(38),O2(161),S(164),CF2O(49),S(125),C2HF(58),S(463),C2HF(468),C2H2F3(68),S(165),S(464),C2H2F2(59),S(162),S(130),C2H3F2(65),C2H2F3(67),CF2(43),CHFCF2(55),CF2CH(73),C2HF2(72),S(179),C2H3F2(64),CHF2(82),S(1228),CHF3(42)
0.0,0.6169294291030587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.8443374126782932,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.715455046151581e-22,0.6169294291030587,3.0287349746596045e-27,1.4278835414830285e-30,1.1121774263479852e-42,2.327259004763706e-42,0.0,0.0,2.5827880886828981e-23,4.5133724165203937e-42,3.100170506205734e-54,3.6068657448231e-54,8.00843820578841e-59,2.799578169355051e-75,9.351474475229956e-51,1.1461060824128731e-39,3.346341640282848e-57,3.1691156582417806e-39,8.775083872165249e-97,7.373799513317538e-82,5.042728247896361e-93,2.8061761397340038e-92,1.3276893024707622e-26,1.2397067497520526e-95,2.532701966073191e-64,4.348723861972523e-102,3.302976065484841e-118,2.927973494033049e-95,9.732733634751816e-118,1.4155622269588714e-113,6.988144517480874e-63,6.023736075929749e-117,3.4230310619321487e-115,3.1308422235582718e-130,3.76,0.0,0.8443374126782932,0.9999999999999997,5.161330724130316e-55,3.8521776651161514e-73,2.493398248684617e-19,2.493398248684617e-19,3.999998445732561e-16,1.9536719849653317e-43,3.169115658241779e-39,2.583090962180364e-23,9.255743348324621e-41,8.746624367474455e-40,3.494575879149792e-62,2.632442836057131e-39,6.581817237286297e-43,2.6784934249718284e-46,2.1361551489039104e-41,4.711534414866844e-46,5.433985708241099e-43,1.1423399037534373e-40,4.434801184174587e-40,2.481286557357236e-44,8.505056636979615e-49,4.180115642240414e-43,6.420734155187178e-48,2.318528685750114e-57,2.4146143188071417e-43,4.775546555426825e-56,4.771846181062922e-73,1.327689302470877e-26
2.1603274129224428e-21,0.6169294291030588,8.480457929046996e-27,3.998073916158213e-30,6.717551655156969e-42,1.4056644388783425e-41,0.0,0.0,7.231806648312112e-23,2.726076939578317e-41,3.680522424967136e-53,4.282071012253621e-53,9.507680302168492e-58,3.32365920265782e-74,5.64829058303831e-50,6.922480737773118e-39,3.9727767979479247e-56,1.9141458575807925e-38,5.338311743530493e-95,2.318440547779216e-80,2.408971796758806e-91,1.3405440160644327e-90,3.717530046917764e-26,7.541741154617904e-94,3.0068237741335914e-63,2.0774376667579953e-100,2.896855522560831e-116,1.4110031880568216e-93,1.1070282413138733e-115,1.0923112424227315e-111,8.29632517116408e-62,4.64865013552342e-115,2.6416286519480375e-113,3.3364859515437784e-128,3.76,0.0,0.8443374126782932,0.9999999999999989,6.127531836204455e-54,8.617167355155105e-72,6.981515096316928e-19,6.981515096316928e-19,1.1199995648023907e-15,1.1800178790127439e-42,1.9141458575807906e-38,7.232654694105015e-23,5.590468982388072e-40,5.2829611179540926e-39,4.148760483726627e-61,1.5899954729784784e-38,3.975417611334311e-42,1.6178100286834238e-45,1.2902377099379703e-40,2.8457667865903995e-45,3.28212736777678e-42,6.899733018670738e-40,2.678619915241457e-39,1.4986970806439682e-43,5.137072762159006e-48,2.5247898479131947e-42,3.878123429778046e-47,2.8198127046942025e-56,1.458427048559503e-42,2.8844302944991567e-55,1.0923586521189776e-71,3.7175300469184563e-26
4.937891229537012e-21,0.6169294291030587,1.9383903837822182e-26,9.138454665531511e-30,3.234211955842649e-41,6.767669185868813e-41,0.0,0.0,1.6529843767570524e-22,1.312488698724129e-40,3.613558742032438e-52,4.2041627121646815e-52,9.334724271931496e-57,3.263188314198702e-73,2.7194087773959938e-49,3.3328764876556826e-38,3.900495819611527e-55,9.215788334207671e-38,2.4099690976598294e-93,5.172313324858892e-79,1.2543466202538636e-89,6.980184899276465e-89,8.497211535810281e-26,3.4047024602157466e-92,2.952117411690332e-62,1.0817176253596122e-98,2.995807672710705e-114,7.307479114635468e-92,1.002188460240092e-113,1.1904542252064643e-109,8.145381249608527e-61,5.066352304808656e-113,2.8789908939288e-111,7.593104176543017e-126,3.76,0.0,0.8443374126782932,0.9999999999999974,6.016047092779764e-53,1.7026070582096278e-70,1.595774879158155e-18,1.595774879158155e-18,2.5599990052497553e-15,5.681278133656813e-42,9.215788334207653e-38,1.6531782157954295e-22,2.6915701656928e-39,2.543518366060855e-38,4.073277644736978e-60,7.6551437672537e-38,1.9139924526225548e-41,7.789058879824539e-45,6.211939173012699e-40,1.370114207859186e-44,1.5802030439552445e-41,3.3219244401149596e-39,1.2896401843579784e-38,7.215581308797805e-43,2.473298300168651e-47,1.21557762876349e-41,1.867149492395916e-46,2.7979797736487342e-55,7.02169843909101e-42,1.3887291958500268e-54,2.1823395989155347e-70,8.497211535813614e-26
1.0493018862766151e-20,0.6169294291030587,4.1190795655374177e-26,1.941921616436984e-29,1.4124653314854053e-40,2.9556189360663922e-40,0.0,0.0,3.5125918006087297e-22,5.7319829689808835e-40,3.196151785075835e-51,3.7185343082804626e-51,8.25646877658775e-56,2.886253109475033e-72,1.1876372583532968e-48,1.4555547246633644e-37,3.4499443811898437e-54,4.024776886008619e-37,9.099584760851337e-92,9.687170426454373e-78,5.0057680835393634e-88,2.785608556821886e-87,1.8056574513589376e-25,1.2855508667253707e-90,2.611114419016972e-61,4.3168521989211537e-97,2.3936184792717314e-112,2.910676667144354e-90,7.595696678309941e-112,9.738654718999413e-108,7.204497471810371e-60,4.1445974905541986e-111,2.3551971352164017e-109,1.2832035256941119e-123,3.76,0.0,0.8443374126782932,0.9999999999999946,5.321125524086825e-52,3.029698290560174e-69,3.391021618211079e-18,3.391021618211079e-18,5.439997886100864e-15,2.481163422316631e-41,4.024776886008603e-37,3.513003708565278e-22,1.175479405237227e-38,1.1108212946685154e-37,3.602767948368227e-59,3.3432024017921037e-37,8.358907891555374e-41,3.40168664972084e-44,2.7129170391080964e-39,5.983648707043723e-44,6.901161849453102e-41,1.4507716777668292e-38,5.632197503901812e-38,3.1512339278467505e-42,1.0801709507025559e-46,5.308746865645095e-41,8.154332377785062e-46,2.4864856258862778e-54,3.066560184884907e-41,6.064946763221174e-54,3.902851470977356e-69,1.8056574513603932e-25
2.160327412922443e-20,0.6169294291030587,8.480457929048466e-26,3.998073916241343e-29,5.896764714708197e-40,1.2339127243405537e-39,0.0,0.0,7.231806648312064e-22,2.3929900552390982e-39,2.6865581579461094e-50,3.125652144607499e-50,6.940063806322177e-55,2.4260696483064786e-71,4.958151766758752e-48,6.076654448944189e-37,2.8998861273125877e-53,1.680265122037036e-36,3.157068671814678e-90,1.673217788254832e-76,1.7791283791254564e-86,9.900489103504972e-86,3.7175300469123794e-25,4.460173155217187e-89,2.1947990007019072e-60,1.5342776783387552e-95,1.7028267511254888e-110,1.0336748493343806e-88,5.2815765276049316e-110,7.008980530840433e-106,6.055814228659988e-59,2.982899117427492e-109,1.6950537348894125e-107,1.878894254007131e-121,3.76,0.0,0.8443374126782932,0.9999999999999888,4.4727266248930523e-51,5.110028997379019e-68,6.981515096316927e-18,6.981515096316927e-18,1.11999956476286e-14,1.035836887692688e-40,1.6802651220370224e-36,7.232654694104947e-22,4.907395123281715e-38,4.637460239628295e-37,3.028343543657066e-58,1.3957211916770835e-36,3.489679499390031e-40,1.4201372139259943e-43,1.1325894599489706e-38,2.4980555469082854e-43,2.8810992224976444e-40,6.056686169700399e-38,2.351331587849445e-37,1.3155781327135607e-41,4.509639849181897e-46,2.2162973135156598e-40,3.404273249707854e-45,2.094681538246456e-53,1.2802285118313995e-40,2.5319971477332464e-53,6.598324474265966e-68,3.717530046918456e-25
4.382378466214098e-20,0.6169294291030587,1.7203214656073155e-25,8.11037851599683e-29,2.4090207927455898e-39,5.040936094803992e-39,0.0,0.0,1.4670236343718644e-21,9.776145189079704e-39,2.202602692888139e-49,2.5625984720938856e-49,5.689885324648816e-54,1.9890384746307526e-70,2.02556677722579e-47,2.482511618742074e-36,2.377501850982427e-52,6.864431280692709e-36,1.051435680645191e-88,2.78007638027343e-75,5.992594369324039e-85,3.334757398696316e-84,7.541275238009756e-25,1.4854238804303905e-87,1.7994288250637947e-59,5.16787512861499e-94,1.14762813260168e-108,3.4804217554585943e-87,3.5217726201428396e-108,4.750915228391263e-104,4.964922381648429e-58,2.0219068649249108e-107,1.1489630215581378e-105,2.5692300216186686e-119,3.76,0.0,0.8443374126782932,0.9999999999999772,3.667011517858344e-50,8.393237972920891e-67,1.4162502052528624e-17,1.4162502052528624e-17,2.2719991169986157e-14,4.231731676993927e-40,6.864431280692598e-36,1.4671956665184166e-21,2.0048310322205066e-37,1.894553824486798e-36,2.482819001900384e-57,5.701976480609739e-36,1.4256479410179532e-39,5.801723898276091e-43,4.6269974987328175e-38,1.0205372005210596e-42,1.1770230403378764e-39,2.47435392512582e-37,9.60595675697019e-37,5.374565934721387e-41,1.842448422279157e-45,9.054297685716664e-40,1.3907567014815416e-44,1.719193140771733e-52,5.230151199107774e-40,1.0344044835171342e-52,1.0850229826725888e-66,7.541275238034582e-25
8.82648057279741e-20,0.6169294291030587,3.4648728110132914e-25,1.6334987716094875e-28,9.737647214312034e-39,2.0376269672061797e-38,0.0,0.0,2.9547095734531464e-21,3.9516741925394913e-38,1.7837247670267563e-48,2.075258682547577e-48,4.60781734052439e-53,1.6107749260524872e-69,8.187664773781717e-47,1.0034708882382515e-35,1.9253626398519687e-51,2.774712876600862e-35,3.4320611816541753e-87,4.532226154892372e-74,1.966829475457207e-83,1.094500768953102e-82,1.5188765620166487e-24,4.848670947911795e-86,1.4572241160706635e-58,1.6961518770905023e-92,7.535008278403052e-107,1.1421073591944249e-85,2.3003895126087393e-106,3.1282159207610257e-102,4.020722869139419e-57,1.3313145016868504e-105,7.5652897718168e-104,3.3980533369317585e-117,3.76,0.0,0.8443374126782932,0.9999999999999541,2.969641000855296e-49,1.3605800443496465e-65,2.8524475964952015e-17,2.8524475964952015e-17,4.5759982211909587e-14,1.7105336078679935e-39,2.7747128766007715e-35,2.9550560607342137e-21,8.103847577138926e-37,7.658089471647142e-36,2.0106511991684316e-56,2.304830060221312e-35,5.7626969197270955e-39,2.345149561288414e-42,1.870306368313336e-37,4.125174534880485e-42,4.757715318796993e-39,1.0001734180512884e-36,3.8828813072022416e-36,2.172485482740194e-40,7.448387886236819e-45,3.6598918903308596e-39,5.621660952476836e-44,1.3929838389315034e-51,2.1141107376019277e-39,4.181236649145676e-52,1.7598651992704713e-65,1.5188765620266834e-24
1.7714684785964032e-19,0.6169294291030587,6.9539755018293935e-25,3.2784206118639253e-28,3.9154651177480986e-38,8.193208417468906e-38,0.0,0.0,5.930081451615572e-21,1.5889508127255836e-37,1.4356968730422562e-47,1.6703487311294664e-47,3.70877254032335e-52,1.2964917947249568e-68,3.2922239948564356e-46,4.0349123073277313e-35,1.5496993553279444e-50,1.1156998441562884e-34,1.1091828687462668e-85,7.319557346334203e-73,6.37362787988271e-82,3.5467948302527664e-81,3.0483746384327844e-24,1.5670066665405384e-84,1.1729007445543999e-57,5.496503802102235e-91,4.8841061305133194e-105,3.700745901853162e-84,1.487301716281993e-104,2.0305516883195365e-100,3.236227560349267e-56,8.6416769470797e-104,4.910694665625346e-102,4.420960990025518e-115,3.76,0.0,0.8443374126782932,0.9999999999999081,2.3902254304091737e-48,2.1911722170960462e-64,5.72484237897988e-17,5.72484237897988e-17,9.183996428458975e-14,6.877980441092034e-39,1.115699844156216e-34,5.93077684916562e-21,3.258521468751076e-36,3.0792840950292327e-35,1.618347007791559e-55,9.267620302029559e-35,2.3171550866734657e-38,9.429743242684158e-42,7.520419647928781e-37,1.658714537712454e-41,1.9130564044625316e-38,4.0216533247582937e-36,1.561289496093846e-35,8.735468576794015e-40,2.995701283969766e-44,1.4716264323121308e-38,2.260445145815644e-43,1.1214888364272194e-50,8.50074629392496e-39,1.6812635735323183e-51,2.835005248793653e-64,3.0483746384731333e-24
3.549109321229728e-19,0.6169294291030587,1.3932180883478206e-24,6.56826429331212e-28,1.5702766361571077e-37,3.285843025946937e-37,0.0,0.0,1.1880825207939872e-20,6.3724034346499405e-37,1.1520563235720095e-46,1.340349661826938e-46,2.9760565030392456e-51,1.0403530150438092e-67,1.3203290702358403e-45,1.618180301081897e-34,1.2435361359983015e-49,4.474455384865841e-34,3.5669658792534254e-84,1.1765974658321862e-71,2.0524097327612077e-80,1.1421244488823937e-79,6.1073707912042174e-24,5.0392586016540836e-83,9.411789812901635e-57,1.7699764727143773e-89,3.145707812122423e-103,1.1916479661718599e-82,9.567199377935384e-103,1.3087439082203764e-98,2.596868807139777e-55,5.569788058297611e-102,3.1650718572707004e-100,5.705016242183411e-113,3.76,0.0,0.8443374126782931,0.9999999999998159,1.9180053767492351e-47,3.517316679896694e-63,1.1469631943949238e-16,1.1469631943949238e-16,1.8399992838528324e-13,2.7583778108314867e-38,4.474455384865258e-34,1.1882218426027678e-20,1.306812849903944e-35,1.2349306464387955e-34,1.2986215538179016e-54,3.716730245553509e-34,9.29282827461813e-38,3.7817487960260144e-41,3.016024637811861e-36,6.652187177754833e-41,7.672211817015049e-38,1.6128628560685793e-35,6.261469183132588e-35,3.5033136027386506e-39,1.2020015619762214e-43,5.901880194575916e-38,9.065396057862273e-43,9.000417824146475e-50,3.4091794690311756e-38,6.742672686621378e-51,4.551448414264359e-63,6.107370791366031e-24
7.104391006496377e-19,0.6169294291030588,2.7888591646842253e-24,1.3147951659965789e-27,6.289297067937186e-37,1.3160510972721302e-36,0.0,0.0,2.3782312720586266e-20,2.5522852018421146e-36,9.230469890237747e-46,1.0739107926185117e-45,2.3844667916359306e-50,8.335484111254427e-67,5.288203080656106e-45,6.481161587798424e-34,9.963421602033144e-49,1.792116018161443e-33,1.1442502910893862e-82,1.8869420695489615e-70,6.588337543430395e-79,3.6662764094700234e-78,1.2225363096503719e-23,1.6165484383803604e-81,7.540885006830205e-56,5.681806876263518e-88,2.019636354792814e-101,3.825167610318773e-81,6.138565786090298e-101,8.405488806375294e-97,2.0806551599658912e-54,3.5772309539588677e-100,2.032787046724788e-98,7.332126750358793e-111,3.76,0.0,0.844337412678293,0.9999999999996316,1.536738310210568e-46,5.636877917983347e-62,2.2959211073887953e-16,2.2959211073887953e-16,3.6831985640800286e-13,1.1047899095967875e-37,1.7921160181609763e-33,2.3785101579748787e-20,5.234067699247217e-35,4.946163949682328e-34,1.0404775275605284e-53,1.4886307344161235e-33,3.7219784266339597e-37,1.5146720682165381e-40,1.207983005224747e-35,2.6643446361681723e-40,3.072886531025e-37,6.459864072255572e-35,2.5078536382385554e-34,1.4031527598182288e-38,4.819012915080456e-43,2.3638304821901247e-37,3.630886920107923e-42,7.211757126586235e-49,1.365450006178708e-37,2.700629124729705e-50,7.294694784207237e-62,1.222536309715182e-23
