Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CF3(1),O2(2),H2O(3),CH4(4),CH2CF2(57),HF(38),O2(161),S(164),CF2O(49),S(125),C2HF(58),S(463),C2HF(468),C2H2F3(68),S(165),S(464),S(130),C2H2F2(59),C2H3F2(65),C2H2F3(67),CF2(43),CHFCF2(55),CF2CH(73),C2HF2(72),S(179),C2H3F2(64),CHF2(82),CHF3(42),S(1244),S(1385),CF2O2(181),CF2O2(276),CH2F2(41),S(203)
0.0,0.4781414859652394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6844076239226161,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.870554480905113e-21,0.4781414859652394,9.505221495726386e-30,1.9479928538948202e-34,9.139168145698224e-45,1.614583715595579e-44,0.0,0.0,1.1547449608494755e-24,1.3574779402842735e-43,1.1660218035822048e-55,1.3566108228014674e-55,2.025177031844961e-61,8.577284860240924e-84,5.96638677625812e-57,4.131204756160446e-42,5.828715199009508e-62,4.1229094982117023e-41,1.5388009307517898e-101,4.891017329358321e-90,2.6118239475565936e-97,1.3256838694499885e-96,4.2687180761945196e-30,4.287224240349862e-99,8.551769341823715e-69,4.367567096677935e-109,1.8216464334928107e-123,4.656318680831712e-99,6.092524052137693e-125,1.3405532923567375e-119,5.873447539941701e-67,5.807341732686285e-121,5.040599660471301e-119,4.469168514936687e-136,3.76,0.0,0.6844076239226161,0.9999999999999997,1.9365856633556311e-56,1.0244350881850855e-77,3.045715730734796e-21,3.045715730734796e-21,4.123105625314279e-16,5.779147532589988e-45,4.1229094982116967e-41,1.1547544660709703e-24,2.541272964516352e-45,1.0788387407073027e-39,8.094023697750133e-69,2.8781413809546823e-41,3.4672165172169654e-46,4.0070882031717356e-49,1.21492818437269e-47,6.27682267885478e-46,3.014053986431601e-44,1.8235704601278176e-42,2.8395553888391496e-49,2.2115997965162677e-51,2.0117847594913508e-46,1.857971092371846e-53,1.4704665234664325e-59,3.5749387580029393e-47,2.5514075444715154e-63,4.268718076198652e-30,4.5635114173208955e-74,1.476460822272031e-78,1.2834253817000775e-63,1.673196678046122e-68,1.3651426649580097e-70,5.211339576775627e-58
1.9237552546534318e-20,0.4781414859652394,2.661462018803438e-29,5.45437999121283e-34,5.520057560058522e-44,9.752085642236921e-44,0.0,0.0,3.233285890378529e-24,8.199166759317007e-43,1.3843010852115088e-54,1.6105683688284068e-54,2.4042902310888833e-60,1.0182952586061778e-82,3.6036976128560016e-56,2.4952476727183813e-41,6.919850705996864e-61,2.4902373369424745e-40,9.361276996606309e-100,1.5378141046272624e-88,1.2476996416336289e-95,6.332950926417821e-95,1.1952410613331271e-29,2.608127722227024e-97,1.015266056270709e-67,2.0889266198791205e-107,1.5846225339631763e-121,2.224387595455515e-97,6.929807125763558e-123,1.034433308425177e-117,6.972956919475701e-66,4.481206722217967e-119,3.889553968451959e-117,4.762247844118791e-134,3.76,0.0,0.6844076239226161,0.9999999999999988,2.2991144995422512e-55,2.2916203217421492e-76,8.528004046057429e-21,8.528004046057429e-21,1.1544695750625974e-15,3.490605109857388e-44,2.4902373369424675e-40,3.233312504998711e-24,1.5349288705678766e-44,6.516185993871157e-39,9.609224933968949e-68,1.7383973940965856e-40,2.0941987764488137e-45,2.420281274725358e-48,7.338166233604396e-47,3.791200898028354e-45,1.8204886078045957e-43,1.1014365579172026e-41,1.7150914548591902e-48,1.3358886677113038e-50,1.2151179947326885e-45,1.1222145406025617e-52,1.748314218278944e-58,2.1592630098337397e-46,1.5410666385379145e-62,1.1952410613356224e-29,1.0222784572171556e-72,3.3074401562869045e-77,7.751894816016129e-63,1.9864190961252326e-67,2.0630035953014937e-69,6.187026370039098e-57
4.397154867779273e-20,0.4781414859652394,6.083341757265234e-29,1.2467154267078181e-33,2.6576700968542356e-43,4.695209445011381e-43,0.0,0.0,7.390367749436633e-24,3.947545850346663e-42,1.3591150142514334e-53,1.581265575052754e-53,2.360546431963944e-59,9.997683233046426e-82,1.7350252745300072e-55,1.2013543430876649e-40,6.79395046682549e-60,1.1989420821132272e-39,4.226127914638793e-98,3.4307786723863947e-87,6.496746166458836e-94,3.29755441779943e-93,2.731979568755123e-29,1.177433524922129e-95,9.967942345116222e-67,1.0914163421817383e-105,1.6470912541838622e-119,1.1582313373230226e-95,6.2735280688266755e-121,1.1273750048410121e-115,6.846090452729167e-65,4.883838386551742e-117,4.2390262612816405e-115,1.0837762120901112e-131,3.76,0.0,0.6844076239226161,0.9999999999999973,2.257284249213295e-54,4.527855591339407e-75,1.9492580676702696e-20,1.9492580676702696e-20,2.6387876000233334e-15,1.6805761027301302e-43,1.1989420821132203e-39,7.390428582854173e-24,7.390021780813552e-44,3.137263057975411e-38,9.434394022097522e-67,8.36963513581559e-40,1.0082665632799208e-44,1.1652612494965114e-47,3.533011160145803e-46,1.82530003501107e-44,8.76486899254172e-43,5.302942898051705e-41,8.257427070749406e-48,6.432568067501483e-50,5.850270080599542e-45,5.40297994876683e-52,1.7176342132516346e-57,1.0395921908271995e-45,7.419735655436488e-62,2.7319795687671373e-29,2.0212376010825974e-71,6.539433908642662e-76,3.732209275795236e-62,1.9502780477720767e-66,2.219285127797085e-68,6.074513525466183e-56
9.343954094030954e-20,0.4781414859652394,1.2927101234189615e-28,2.649270282372621e-33,1.1606743545917061e-42,2.0505213188678024e-42,0.0,0.0,1.5704531467552814e-23,1.7239969841610223e-41,1.2021218386127419e-52,1.3986114938656643e-52,2.0878765970503303e-58,8.842837599408136e-81,7.57731120578732e-55,5.246630040284573e-40,6.009172252647099e-59,5.2360950630695784e-39,1.5957054887772718e-96,6.425468761743141e-86,2.5926808492633782e-92,1.3159674042004804e-91,5.805456583577699e-29,4.4457649563397316e-94,8.816532121243405e-66,4.385374522949955e-104,1.3184439988044131e-117,4.6221934768249885e-94,4.754775994662865e-119,9.222623841124411e-114,6.0552894761385286e-64,3.9952830629249623e-115,3.467786704750579e-113,1.8315339013410537e-129,3.76,0.0,0.6844076239226161,0.9999999999999943,1.9965423554927188e-53,8.057077107770649e-74,4.142173393799323e-20,4.142173393799323e-20,5.607423649538395e-15,7.339517368972461e-43,5.236095063069517e-39,1.5704660738565015e-23,3.227416664935767e-43,1.3701252006968026e-37,8.344614671432406e-66,3.6552395538118035e-39,4.4033649776155936e-44,5.089002018173254e-47,1.5429587941430038e-45,7.971564802146599e-44,3.82784856276671e-42,2.3159344843623407e-40,3.606235343831051e-47,2.810008796115576e-49,2.5549666445526656e-44,2.3596232998667296e-51,1.5196763641469594e-56,4.540172222663157e-45,3.240535983909017e-61,5.805456583630167e-29,3.5978103915110304e-70,1.1640216498245218e-74,1.6299587760928654e-61,1.7249988468656165e-65,2.0399053820364435e-67,5.3728600050923874e-55
1.9237552546534316e-19,0.4781414859652394,2.6614620188041537e-28,5.454379995669157e-33,4.84558695164148e-42,8.560522860640513e-42,0.0,0.0,3.233285890378508e-23,7.197348039387173e-41,1.0104558386202992e-51,1.1756172332489225e-51,1.7549860880060654e-57,7.432937823134963e-80,3.1633782687176124e-54,2.1903647616809955e-39,5.051071359637465e-58,2.1859666162571988e-38,5.536243620331577e-95,1.109839938466367e-84,9.214793813655744e-91,4.677154266257372e-90,1.1952410613137188e-28,1.542442389912619e-92,7.41082648439351e-65,1.5798396811696483e-102,9.386673807396392e-116,1.642799399274346e-92,3.306176424110833e-117,6.637588058167052e-112,5.089835663603468e-63,2.875434245045708e-113,2.4957912839605854e-111,2.681769086682237e-127,3.76,0.0,0.6844076239226161,0.9999999999999885,1.678214150481609e-52,1.3589438193700912e-72,8.528004046057429e-20,8.528004046057429e-20,1.1544695746942873e-14,3.0641040240908885e-42,2.1859666162571476e-38,3.233312504998636e-23,1.3473829257865699e-42,5.720003003216873e-37,7.0141514320909714e-65,1.5259905601815936e-38,1.8383181981006347e-43,2.1245581654517385e-46,6.441549233451187e-45,3.3279713843297304e-43,1.5980514236047535e-41,9.668570579597796e-40,1.5055322671673154e-46,1.1737395611988497e-48,1.066648279481099e-43,9.850962844745892e-51,1.2775573173859539e-55,1.8954325294926374e-44,1.3529789004573689e-60,1.1952410613356225e-28,6.069133906441638e-69,1.9635840953096067e-73,6.80479824575783e-61,1.4499654694441019e-64,1.7451820024773655e-66,4.516221130923609e-54
3.9024749451541044e-19,0.4781414859652394,5.398965809575804e-28,1.1064599430129952e-32,1.9795803777016153e-41,3.4972529117966453e-41,0.0,0.0,6.55895137762492e-23,2.9403515177733094e-40,8.28432745657923e-51,9.638420356034452e-51,1.4388436285561263e-56,6.09397150642495e-79,1.2923432412385184e-53,8.948354749735128e-39,4.141173474101826e-57,8.930386892086472e-38,1.8438002730098309e-93,1.844015656816524e-83,3.1037963403123602e-89,1.5753943699876655e-88,2.4246318671913505e-28,5.136977153940181e-91,6.075843296128628e-64,5.464219756479834e-101,6.3284286301772756e-114,5.533399955684233e-91,2.204569324690843e-115,4.4991728821738473e-110,4.1729547925105026e-62,1.949062963131065e-111,1.6917286019328932e-109,3.667092392300671e-125,3.76,0.0,0.6844076239226161,0.9999999999999766,1.3759013539736249e-51,2.232069304310352e-71,1.7299665350573641e-19,1.7299665350573641e-19,2.3419239935249253e-14,1.2517864741008927e-41,8.930386892086052e-38,6.559005367282776e-23,5.504498892060999e-42,2.336807865910432e-36,5.750625121208002e-64,6.234169356798178e-38,7.51012967063217e-43,8.679513332697213e-46,2.6315830444000376e-44,1.3595848995314453e-42,6.528561496759456e-41,3.9499265594553506e-39,6.150590554481775e-46,4.8001447788402536e-48,4.357606260438356e-43,4.02443980058629e-50,1.0474894157666641e-54,7.743460347380266e-44,5.528331757358008e-60,2.424631867280834e-28,9.969290511382848e-68,3.2254256688090714e-72,2.7800157987162576e-60,1.188769294542627e-63,1.4429502294165972e-65,3.7026743471052795e-53
7.85991432615545e-19,0.4781414859652394,1.0873973391124162e-27,2.2285038330522428e-32,8.001780397147639e-41,1.4136455434072434e-40,0.0,0.0,1.321028235211759e-22,1.1885370956599834e-39,6.708863159815155e-50,7.805442696987819e-50,1.1652128759123021e-55,4.935056122509907e-78,5.223858008800072e-53,3.6170680616011055e-38,3.3536296467331495e-56,3.6098051674603445e-37,6.0184711817020695e-92,3.006210926113516e-82,1.0186970369417098e-87,5.170602065170607e-87,4.883413478809551e-28,1.6767949009850906e-89,4.920375429611748e-63,1.887204557227316e-99,4.155775259482298e-112,1.8161171351507467e-89,1.4400044217844847e-113,2.962457313814344e-108,3.379366983057544e-61,1.2833505764314575e-109,1.1139100775951829e-107,4.8500807442979654e-123,3.76,0.0,0.6844076239226161,0.9999999999999528,1.114240589067615e-50,3.6182805289522854e-70,3.4842987959606066e-19,3.4842987959606066e-19,4.7168328285851714e-14,5.059921079896841e-41,3.6098051674600054e-37,1.321039109185053e-22,2.225006461536363e-41,9.44575101739573e-36,4.6570053181786735e-63,2.519950929808079e-37,3.035714491883378e-42,3.5083980630137866e-45,1.0637279419064982e-43,5.4956595428323977e-42,2.638948939703291e-40,1.5966234692240662e-38,2.4861670416207546e-45,1.9443664388870258e-47,1.761414122594669e-42,1.6267429526763081e-49,8.483123062084828e-54,3.1300304796883187e-43,2.235425431580017e-59,4.883413479171258e-28,1.6161224952062056e-66,5.228740173450823e-71,1.123754063704959e-59,9.626961947851336e-63,1.1733831646977535e-64,2.9985230430544476e-52
1.577479308815814e-18,0.4781414859652394,2.1823988554241112e-27,4.472591625719092e-32,3.2174807068412288e-40,5.684206557225356e-40,0.0,0.0,2.651294430110229e-22,4.779055387888138e-39,5.399876728574745e-49,6.282499340297991e-49,9.378646945401921e-55,3.972162507134544e-77,2.1004903298212245e-52,1.4544071590260521e-37,2.699292898962671e-55,1.4514867822021728e-36,1.9450658880281712e-90,4.855038675610947e-81,3.3011483283870385e-86,1.675564347882555e-85,9.800976701497697e-28,5.419111373446353e-88,3.960346211204926e-62,6.7234818590577e-98,2.693949731165157e-110,5.885235364584196e-88,9.310253887850669e-112,1.9229563140276642e-106,2.720008547734191e-60,8.330338274549859e-108,7.23048551547647e-106,6.310088023622649e-121,3.76,0.0,0.6844076239226161,0.9999999999999053,8.96837762770753e-50,5.827129246705477e-69,6.9929633177670925e-19,6.9929633177670925e-19,9.46665048830154e-14,2.0345720184338415e-40,1.4514867822018995e-36,2.6513162540983933e-22,8.946653122498398e-41,3.7980949401348686e-35,3.7483630303759737e-62,1.013261185727351e-36,1.2206474475359117e-41,1.410711431011629e-44,4.277203269687115e-43,2.2097805313867753e-41,1.061109762131952e-39,6.419952747699008e-38,9.996768328894812e-45,7.850952236295779e-47,7.082568717111029e-42,6.541062187820958e-49,6.828068176251614e-53,1.2585714895070143e-42,8.99486294800813e-59,9.800976702952106e-28,2.6027614701207697e-65,8.420873727082627e-70,4.5187846427787105e-59,7.748616488535051e-62,9.463760343561295e-64,2.4134727532781404e-51
3.160455061216352e-18,0.4781414859652394,4.372401888055596e-27,8.960767261406207e-32,1.290353670595381e-39,2.2796210630623124e-39,0.0,0.0,5.311826819906918e-22,1.9166149590195156e-38,4.333061001764245e-48,5.0413100619502415e-48,7.52577353649447e-54,3.187410253211274e-76,8.423905688600816e-52,5.832823206389351e-37,2.166012555912811e-54,5.8211111969093357e-36,6.255040399090965e-89,7.804332874001023e-80,1.0630223610074175e-84,5.395584178193331e-84,1.9636103144680975e-27,1.7427050043528425e-86,3.177928424556208e-61,2.5565644504183014e-96,1.7351644268459796e-108,1.8951395281556052e-86,5.988902829170393e-110,1.2393958479714073e-104,2.182635561787363e-59,5.369121871531023e-106,4.660237873486666e-104,8.142834331977462e-119,3.76,0.0,0.6844076239226161,0.9999999999998103,7.196558236717176e-49,9.35383295554052e-68,1.4010292361380064e-18,1.4010292361380064e-18,1.896628576611779e-13,8.159543831022278e-40,5.821111196907144e-36,5.311870543924232e-22,3.588008050962851e-40,1.5232059449119292e-34,3.0078252682181726e-61,4.0636305468953e-36,4.895342227829222e-41,5.657583797425466e-44,1.7153498135243524e-42,8.862208279381157e-41,4.255524739060549e-39,2.5746881912322037e-37,4.009151216387983e-44,3.1748436976754306e-46,2.840426831161983e-41,2.6232587516370892e-48,5.479139751418585e-52,5.0474345827680134e-42,3.612408013532591e-58,1.96361031505138e-27,4.178045386705402e-64,1.3517486341205078e-68,1.8124103889774246e-58,6.217776718990031e-61,7.601807022380894e-63,1.936660106180898e-50
