Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),H(6),C2H4(29),HO2(12),H2(9),C2H5O2(40),CH3O2(36),C2H3(28),H2O2(13)
0.0,0.6486129324953935,3.76,0.0,0.5272817449742936,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1897267705617222e-21,0.6486129324953934,3.76,0.0,0.5272817449742935,1.0,0.0,2.04660074975789e-56,5.1125073852194374e-36,2.1213004577910233e-16,7.357833830156274e-19,4.668120330752963e-31,4.936135584585899e-19,6.475413862698912e-32,2.4216982455667506e-19,1.2450598126530687e-32,2.1992204769996423e-35,1.396143529590591e-33,3.642426747311284e-51,4.6437358091016165e-35
3.3312349575728224e-21,0.6486129324953935,3.76,0.0,0.5272817449742933,1.0,0.0,2.4297244102109715e-55,3.0879544606722e-35,5.939641281814848e-16,2.0601934724450987e-18,2.819544679774782e-30,1.3821179636842209e-18,3.911149973072269e-31,6.780755087586901e-19,7.5201612684253e-32,1.3283291681079923e-34,8.432706918725874e-33,4.32428903441588e-50,2.8048164286973755e-34
7.614251331595024e-21,0.6486129324953935,3.76,0.0,0.5272817449742929,1.0,0.0,2.385517834211874e-54,1.486717147621302e-34,1.3576322929862433e-15,4.709013651309412e-18,1.3574893921829505e-29,3.1591267741361578e-18,1.8830503512760338e-30,1.5498868771627207e-18,3.620633935196271e-31,6.3953331471180884e-34,4.059985384047496e-32,4.2456126166899555e-49,1.3503983732867504e-33
1.6180284079639426e-20,0.6486129324953936,3.76,0.0,0.5272817449742921,1.0,0.0,2.109963509579071e-53,6.492884379223414e-34,2.8849686225957337e-15,1.0006654009059522e-17,5.928512820056146e-29,6.7131443950427306e-18,8.223775605660588e-30,3.293509613970783e-18,1.581225962070581e-30,2.7930100057927786e-33,1.7731022825780437e-31,3.755196279457761e-48,5.897544477559058e-33
3.331234957572823e-20,0.6486129324953939,3.76,0.0,0.5272817449742906,1.0,0.0,1.7735514652254695e-52,2.7106514156385995e-33,5.939641281814608e-15,2.0601934724645662e-17,2.4750373993651164e-28,1.3821179636866677e-17,3.4332644300326356e-29,6.78075508758691e-18,6.601307126697221e-30,1.1660266969081206e-32,7.402352993871253e-31,3.1564687404817954e-47,2.4621087259856814e-32
6.757648056790583e-20,0.6486129324953942,3.76,0.0,0.5272817449742875,1.0,0.0,1.4540646456182244e-51,1.107389549664052e-32,1.2048986600251931e-14,4.1792496156161646e-17,1.0111335361223262e-27,2.8037250120557776e-17,1.402600544341158e-28,1.3755246034819183e-17,2.6968493566080703e-29,4.7635995220249485e-32,3.0241027308191126e-30,2.587863779334411e-46,1.0058517511946504e-31
1.3610474255226104e-19,0.648612932495395,3.76,0.0,0.5272817449742814,1.0,0.0,1.177539250748513e-50,4.47624561608105e-32,2.4267677237124885e-14,8.41736190205684e-17,4.0871634193493695e-27,5.64693910881128e-17,5.669535656864963e-28,2.770422792928379e-17,1.0901096288561867e-28,1.9255230902163541e-31,1.222390675033405e-29,2.0957191835318612e-45,4.065813600187335e-31
2.731612665209715e-19,0.6486129324953964,3.76,0.0,0.527281744974269,1.0,0.0,9.477860351053185e-50,1.7998786749692304e-31,4.870505851086401e-14,1.689358647548811e-16,1.6434304349223152e-26,1.133336730239141e-16,2.279695352186224e-27,5.56021917182133e-17,4.3832828728978005e-28,7.7424436582607435e-31,4.9151791415628423e-29,1.6868171225600085e-44,1.634845766537488e-30
5.4727431445839235e-19,0.6486129324953994,3.76,0.0,0.5272817449742444,0.9999999999999999,0.0,7.605386077100511e-49,7.218318501931026e-31,9.757982105831512e-14,3.3846035624550316e-16,6.590891086263387e-26,2.2706223689828173e-16,9.142597981611628e-27,1.1139811929607335e-16,1.7578924791744566e-27,3.1050661962853774e-30,1.971206672485603e-28,1.3535645091519857e-43,6.556462726455939e-30
1.095500410333234e-18,0.6486129324954055,3.76,0.0,0.5272817449741952,0.9999999999999998,0.0,6.093563873160812e-48,2.8910924556241936e-30,1.9532934615310878e-13,6.775093393147339e-16,2.639794225039827e-25,4.545193646580772e-16,3.66180794697349e-26,2.229899744517978e-16,7.040739035377312e-27,1.2436460724955734e-29,7.895108449020771e-28,1.0844987520972228e-42,2.62600492338172e-29
2.191952602082917e-18,0.6486129324954176,3.76,0.0,0.5272817449740967,0.9999999999999996,0.0,4.878556349319134e-47,1.1571904226184614e-29,3.9082839634226196e-13,1.3556073058051424e-15,1.0566056402437887e-24,9.09433620221909e-16,1.4656774739162055e-25,4.461736847632637e-16,2.818130483854178e-26,4.9778253256103893e-29,3.1601009039859703e-27,8.68258424192309e-42,1.051086325986418e-28
4.3848569855822834e-18,0.6486129324954416,3.76,0.0,0.5272817449738999,0.9999999999999991,0.0,3.9043279373231335e-46,4.630269000244494e-29,7.818264967188318e-13,2.7118032401937484e-15,4.227798853543826e-24,1.8192621315265357e-15,5.864619032463424e-25,8.92541105386264e-16,1.1276192721610366e-25,1.991778522360335e-28,1.2644519835871177e-26,6.948706221666904e-41,4.20571440728737e-28
8.770665752581016e-18,0.6486129324954899,3.76,0.0,0.5272817449735062,0.9999999999999982,0.0,3.1240558178298403e-45,1.852409104662954e-28,1.5638226974650245e-12,5.424195114602111e-15,1.6913948391361515e-23,3.638919154843643e-15,2.3462294968267413e-24,1.785275946632539e-15,4.511211351217424e-25,7.968411060456536e-28,5.0586312943391056e-26,5.560020750403988e-40,1.682559622591011e-27
1.7542283286578484e-17,0.6486129324955862,3.76,0.0,0.5272817449727188,0.9999999999999964,0.0,2.499482383720926e-44,7.410239468054915e-28,3.1278150989296233e-12,1.0848978885943447e-14,6.766129991135473e-23,7.278233204309269e-15,9.385681826088588e-24,3.5707456291261866e-15,1.8046314040597457e-24,3.18762383849776e-27,2.0236172004446723e-25,4.448438980645866e-39,6.7307862487263e-27
3.5085518354573413e-17,0.6486129324957789,3.76,0.0,0.527281744971144,0.9999999999999929,0.0,1.9996815108993015e-43,2.9642163992592713e-27,6.255799901747673e-12,2.169854651872455e-14,2.7065621272467145e-22,1.4556861314566175e-14,3.754425516995426e-23,7.141684994117866e-15,7.218819358639985e-24,1.2751014214204017e-26,8.094798170790729e-25,3.558920187233997e-38,2.692424055065903e-26
7.017198849056327e-17,0.6486129324961645,3.76,0.0,0.5272817449679943,0.9999999999999858,0.0,1.599784262614082e-42,1.1857106808303625e-26,1.2511769506939182e-11,4.3397682144680496e-14,1.0826468774118164e-21,2.9114117580382587e-14,1.5018007753455599e-22,1.428356372411877e-14,2.8875864968195993e-23,5.100509470058934e-26,3.23798513678456e-24,2.847203819182731e-37,1.076991533533268e-25
1.4034492876254302e-16,0.6486129324969355,3.76,0.0,0.5272817449616949,0.9999999999999715,0.0,1.279844329950518e-41,4.742890952322155e-26,2.5023708715543845e-11,8.679595483816729e-14,4.330631562765683e-21,5.822863029322584e-14,6.007264324552599e-22,2.8567321184190755e-14,1.1550463525751905e-22,2.0402245534736818e-25,1.2952072233192338e-23,2.277790229871668e-36,4.308009957551007e-25
2.806908093065025e-16,0.6486129324984775,3.76,0.0,0.5272817449490962,0.9999999999999429,0.0,1.0238843089024292e-40,1.8971660158263042e-25,5.004758712563975e-11,1.7359250599144055e-13,1.7322614355291963e-20,1.1645765644375408e-13,2.4029180429348232e-21,5.713483610461547e-14,4.620208942660408e-22,8.160939812098948e-25,5.1808551889608737e-23,1.8222432240298674e-35,1.7232127477542378e-24
5.613825703944214e-16,0.6486129325015616,3.76,0.0,0.5272817449238987,0.9999999999998858,0.0,8.19114308239261e-40,7.588683245577898e-25,1.0009534391737784e-10,3.471856313631851e-13,6.929063361082053e-20,2.3291571164417804e-13,9.611697345423784e-21,1.1426986594658782e-13,1.848088303194843e-21,3.2643842981942997e-24,2.0723473014175388e-22,1.4577992676916129e-34,6.892868520613548e-24
1.1227660925702593e-15,0.6486129325077298,3.76,0.0,0.5272817448735038,0.9999999999997715,0.0,6.552995080517785e-39,3.035477064637874e-24,2.0019085738703918e-10,6.943719743674628e-13,2.771628866693967e-19,4.658318336424999e-13,3.8446844108338586e-20,2.2853992563502415e-13,7.392362822237567e-21,1.305755436906822e-23,8.289399390825677e-22,1.1662417253837704e-33,2.757150914240574e-23
2.2455331369219352e-15,0.6486129325200659,3.76,0.0,0.5272817447727138,0.9999999999995429,0.0,5.242513382447443e-38,1.2141915230952342e-23,4.0038188387110256e-10,1.3887450294191414e-12,1.108652249901545e-18,9.31664124029068e-13,1.5378752092045352e-19,4.570800450298636e-13,2.9569471765368905e-20,5.2230255265376064e-23,3.3157615801445094e-21,9.329950021448368e-33,1.1028610669531995e-22
4.491067225625287e-15,0.6486129325447385,3.76,0.0,0.5272817445711341,0.9999999999990858,0.0,4.1941937486842095e-37,4.85676703852813e-23,8.007639350181921e-10,2.7774926156947484e-12,4.43461039622518e-18,1.8633288903621383e-12,6.151506529260867e-19,9.141602838914102e-13,1.182779380742695e-19,2.0892112413171641e-22,1.3263048262463848e-20,7.463977662039812e-32,4.411445670787521e-22
8.98213540303199e-15,0.6486129325940838,3.76,0.0,0.5272817441679746,0.9999999999981717,0.0,3.3556460008576324e-36,1.942706645974146e-22,1.601528030028222e-09,5.554993692933008e-12,1.773844429950465e-17,3.726659165269914e-12,2.460605992352413e-18,1.828320761901978e-12,4.73111934802438e-19,8.356849226026618e-22,5.3052183287685e-20,5.971207039655307e-31,1.7645785492783104e-21
1.7964271757845394e-14,0.648612932692774,3.76,0.0,0.5272817433616555,0.9999999999963434,0.0,2.684981657186522e-35,7.7708233756919885e-22,3.2030561909116846e-09,1.1110019466142072e-11,7.095378199815116e-17,7.453322684067145e-12,9.842448667970496e-18,3.656641719073045e-12,1.8924487480616514e-18,3.342742302036353e-21,2.1220860445897535e-19,4.777004159126761e-30,7.058314761986532e-21
3.592854446747221e-14,0.6486129328901543,3.76,0.0,0.5272817417490171,0.9999999999926867,0.0,2.148728797603017e-34,3.108326413175159e-21,6.4061123961322266e-09,2.2220165487365324e-11,2.8381513256026457e-16,1.490666159770953e-11,3.9369987566943773e-17,7.313283638015165e-12,7.569802160728947e-18,1.3370988507049946e-20,8.488332871149002e-19,3.8216644399468287e-29,2.823326020126733e-20
5.389281717709902e-14,0.648612933087535,3.76,0.0,0.5272817401363786,0.9999999999890301,0.0,6.145439051632451e-34,6.6051892096110646e-21,9.609168484806387e-09,3.333040598326859e-11,6.031071537070425e-16,2.236001238752117e-11,8.36615055746325e-17,1.0969925561557535e-11,1.6085839861770905e-17,2.8413378473485684e-20,1.8037690458669123e-18,1.0927683478945582e-28,5.999567867764733e-20
7.185708988672584e-14,0.6486129332849154,3.76,0.0,0.52728173852374,0.9999999999853735,0.0,1.2965808261010327e-33,1.1267668718047871e-20,1.281222445693417e-08,4.4440740953726765e-11,1.0288298408583292e-15,2.98133750536234e-11,1.4271712825184889e-16,1.4626567489700414e-11,2.7440566353459442e-17,4.846992451648855e-20,3.077015116499561e-18,2.304989720321583e-28,1.0234557021436349e-19
1.0778563530597945e-13,0.6486129336796764,3.76,0.0,0.5272817352984627,0.9999999999780602,0.0,3.543369854857986e-33,2.3328252561236546e-20,1.921833612766252e-08,6.66616326202511e-11,2.1300614573256912e-15,4.472012825913163e-11,2.954792128365324e-16,2.1939851356784096e-11,5.681226208208783e-17,1.0035097212409755e-19,6.3705597005817845e-18,6.295784117538106e-28,2.1189350442836872e-19
1.4371418072523308e-13,0.6486129340744374,3.76,0.0,0.5272817320731849,0.999999999970747,0.0,7.417722028901618e-33,3.9675208090261556e-20,2.5624447369808287e-08,8.888287170236923e-11,3.62267655272968e-15,5.962692513900502e-11,5.025352190577376e-16,2.9253135240787665e-11,9.662286630247517e-17,1.7067096225499025e-19,1.083463848033069e-17,1.317315536643444e-27,3.6037535339110224e-19
1.796427261444867e-13,0.6486129344691984,3.76,0.0,0.5272817288479067,0.9999999999634337,0.0,1.3510806712045511e-32,6.061469128378359e-20,3.2030558152758444e-08,1.1110448301464451e-10,5.534631059114782e-15,7.453376881365221e-11,7.677641234402957e-16,3.6566419142921414e-11,1.476180454271071e-16,2.607470445451801e-19,1.6552855933019756e-17,2.3981728708416902e-27,5.505721111703542e-19
2.5149981698299397e-13,0.6486129352587203,3.76,0.0,0.5272817223973489,0.9999999999488071,0.0,3.571902057608798e-32,1.1655962556578267e-19,4.484277831222799e-08,1.5554884570533455e-10,1.0642898562033693e-14,1.0434759949214015e-10,1.4764003977657385e-15,5.119298700273021e-11,2.8386488234287676e-16,5.014090063188302e-19,3.183044994264795e-17,6.332217536833576e-27,1.0587306423740531e-18
3.952139986600085e-13,0.6486129368377644,3.76,0.0,0.5272817094962284,0.9999999999195539,0.0,1.3849349218365882e-31,2.8436872999328296e-19,7.04672130398523e-08,2.444421034278149e-10,2.5965445172249983e-14,1.639758306907647e-10,3.602060204737948e-15,8.044612294322165e-11,6.925475670526628e-16,1.223294958901881e-18,7.765610494217065e-17,2.448841551644852e-26,2.5829820677077493e-18
5.38928180337023e-13,0.6486129384168084,3.76,0.0,0.5272816965951014,0.9999999998903008,0.0,3.4447326345706543e-31,5.268002152146119e-19,9.60916403059812e-08,3.3334140942363894e-10,4.8101859081653236e-14,2.2360482237409924e-10,6.6730925101714156e-15,1.0969925917855663e-10,1.2829733047370297e-15,2.266210381189663e-18,1.438596201162851e-16,6.07797179881607e-26,4.78506160470848e-18
