Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),H(6),C2H4(29),HO2(12),H2(9),C2H5O2(40),CH3O2(36),C2H3(28),H2O2(13),C2H2(22),OH(8),CH2O(19),HCO(16),CO(14),O(7),CH2CHO(34),C2H5O(43),C2H(21),HCCO(20),C2H5O(101),C3H6(221),C3H6(74),CH3O(26)
0.0,0.23154815580925653,3.76,0.0,1.0018580442402882,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.23154815580925653,3.76,0.0,1.0018580442402882,1.0,1.2244953751928663e-37,3.504733918002296e-64,6.526120923634881e-42,3.7805551158576016e-18,1.9465611575900122e-18,1.9945557671061382e-28,1.2940461384435572e-21,7.67898341920844e-28,1.945267114488851e-18,7.307266823552252e-30,1.7283120684731912e-27,6.956553105021718e-28,1.9700519805297642e-47,6.275733596535027e-30,2.974166846597745e-57,4.8965987618740516e-30,4.643102594600556e-30,2.387764683802661e-45,2.1328454151105031e-47,4.614396965291069e-30,8.273110947053782e-56,4.892110684899913e-32,1.6987728314056222e-82,2.7180740103172676e-94,4.62369500621053e-37,2.400085435973392e-71,1.3606309420394458e-56,9.017610107470658e-32
3.0000000000000002e-15,0.23154815580925653,3.76,0.0,1.0018580442402882,1.0,1.0345736351912992e-36,2.9612523698877874e-63,3.2763778192201357e-41,9.335656508291622e-18,4.806814281285486e-18,1.0013484053639893e-27,3.1955021576054352e-21,3.855163104564399e-27,4.803618794376282e-18,3.668546556997426e-29,8.676831995596088e-27,3.4924735954903125e-27,1.664492883602805e-46,3.1506744184837556e-29,3.7753709529312217e-56,2.458292411450586e-29,2.3310270208832444e-29,2.0174174946440228e-44,1.8020387790498537e-46,1.2396250494285008e-29,1.0501785671101416e-54,2.456022931302167e-31,3.01620162200843e-81,1.6021775141790608e-92,3.906531062361851e-36,1.1154186061993611e-69,4.951427235182991e-55,4.527208315783844e-31
7e-15,0.23154815580925653,3.76,0.0,1.0018580442402882,1.0,1.6168336053602306e-35,4.627947833223889e-62,2.016434471922556e-40,2.4457876952035643e-17,1.2593058861694259e-17,6.162770263358939e-27,8.371690731772628e-21,2.3726491632579892e-26,1.2584687264808319e-17,2.257797370150422e-28,5.340131511005322e-26,2.1494329266679053e-26,2.601272555685038e-45,1.9390736069931824e-28,1.6085992852897413e-54,1.5129490036866928e-28,1.4346239563418784e-28,3.1528238482511175e-43,2.8162425021981224e-45,3.9442834291145975e-29,4.474570876780196e-53,1.5115142479727332e-30,3.70537651280107e-79,5.0397754545360115e-90,6.104977680690254e-35,8.306284619144353e-68,1.1374251305908964e-53,2.7862574196704433e-30
1.5e-14,0.23154815580925653,3.76,0.0,1.0018580442402882,1.0,1.5982911318996083e-34,4.57523710174892e-61,9.570713645490323e-40,5.4702317781933663e-17,2.8165547876385676e-17,2.9250770847903554e-26,1.872407964125556e-20,1.1261464262864129e-25,2.8146824242171204e-17,1.0716342511587957e-27,2.5346224828117523e-25,1.0201997943182001e-25,2.5714401190260373e-44,9.203555454914705e-28,3.266520906250896e-53,7.181011027720034e-28,6.809252226012935e-28,3.1166660880020364e-42,2.783966847311146e-44,1.1866203816737495e-28,9.086339552135064e-52,7.173878937741313e-30,1.5297016155882538e-77,5.070852146529574e-88,6.034706137978424e-34,3.702230417523389e-66,2.423527836850075e-52,1.3224600462186735e-29
3.1e-14,0.23154815580925653,3.76,0.0,1.0018580442402882,1.0,1.4022767342357654e-33,4.014782267923949e-60,4.138586503226595e-39,1.151911992113696e-16,5.931052532126406e-17,1.2648739929675794e-25,3.942890450480829e-20,4.869729206521801e-25,5.927109834289221e-17,4.6340114149101344e-27,1.0960319565436455e-24,4.411590300670321e-25,2.2560786832985514e-43,3.979839729659494e-27,5.776217474278408e-52,3.1052421704425742e-27,2.9444852288042528e-27,2.7344382869545266e-41,2.4425796094628e-43,3.776047212920944e-28,1.6067453650089398e-50,3.1018823414609564e-29,5.4320673402438544e-76,5.410779067285678e-86,5.294163247200795e-33,1.3739919626592623e-64,4.448893855858171e-51,5.718636315003307e-29
6.300000000000001e-14,0.23154815580925653,3.76,0.0,1.001858044240288,0.9999999999999999,1.1720098548423764e-32,3.3566096858132643e-59,1.71841338908942e-38,2.361689611488011e-16,1.2160047787300325e-16,5.252031637578976e-25,8.083874241020279e-20,2.022017382995267e-24,1.215196471283152e-16,1.9241472287852463e-26,4.550962533960681e-24,1.8317880926681906e-24,1.8856094800810303e-42,1.652515941657805e-26,9.687013388604999e-51,1.2893636263505626e-26,1.2226143032627387e-26,2.2854182195557193e-40,2.0415494526094585e-42,1.2975082309677313e-27,2.6945945003385404e-49,1.2877399345598252e-28,1.825099945021156e-74,5.95742283205559e-84,4.4240668575315503e-32,4.718647824854444e-63,7.606962039534446e-50,2.3745017203686654e-28
1.2700000000000001e-13,0.23154815580925656,3.76,0.0,1.0018580442402878,0.9999999999999998,9.578679241557004e-32,2.745097328544571e-58,7.00043362976538e-38,4.781244813379031e-16,2.4618037362441307e-16,2.139604710488865e-24,1.6365917093368055e-19,8.237417950228123e-24,2.460167470350852e-16,7.838749224400148e-26,1.8539986678052994e-23,7.462449744081581e-24,1.5410831496990408e-41,6.732120454672631e-26,1.5858666743177705e-49,5.252685073057494e-26,4.9807612863351143e-26,1.8678418437951833e-39,1.668635768994019e-41,4.7453961595095486e-27,4.4113365329997917e-48,5.244209015442253e-28,5.981174989189491e-73,6.908934112975634e-82,3.614512589725932e-31,1.5628957040415016e-61,1.25745909608928e-48,9.673387406542722e-28
2.55e-13,0.23154815580925656,3.76,0.0,1.0018580442402873,0.9999999999999996,7.7443858086983505e-31,2.2223046983524834e-57,2.8255348571059218e-37,9.62035506973065e-16,4.953401277189741e-16,8.636287775625283e-24,3.293030388276515e-19,3.324946579377979e-23,4.950109561923231e-16,3.1640610122269984e-25,7.483467368879552e-23,3.012138459885832e-23,1.2459692544643321e-40,2.7173492168811715e-25,2.5663008906968312e-48,2.1201881238773616e-25,2.0104319385513784e-25,1.510155075174469e-38,1.3492655969611348e-40,1.8073562337058018e-26,7.138567817273162e-47,2.11526578651364e-27,1.9370203503837804e-71,8.352724065720341e-80,2.9203750052909186e-30,5.085942436202069e-60,2.0447097214401397e-47,3.9045582156588606e-27
5.11e-13,0.23154815580925656,3.76,0.0,1.0018580442402865,0.9999999999999991,6.228160529244445e-30,1.7918559991249064e-56,1.1352252843598662e-36,1.9298574992712442e-15,9.936594862751867e-16,3.4701172996114207e-23,6.606028179737398e-19,1.3359854942839044e-22,9.929994118816035e-16,1.2713670052051958e-24,3.0069049672480717e-22,1.2102968009306593e-22,1.0020282161343882e-39,1.0918488943420846e-24,4.129273943573732e-47,8.51903487369096e-25,8.078051163253129e-25,1.2144917136938479e-37,1.085373813034905e-39,7.045998944070202e-26,1.1486221987606089e-45,8.48721811637187e-27,6.237859871879408e-70,1.0366997701829331e-77,2.3454546948204505e-29,1.6402869988950905e-58,3.297955827148441e-46,1.568875479192843e-26
