Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),H(6),C2H4(29),HO2(12),H2(9),C2H5O2(40),CH3O2(36),C2H3(28),H2O2(13),C2H2(22),OH(8),CH2O(19),HCO(16),CO(14),O(7),CH2CHO(34),C2H5O(43),C2H(21),HCCO(20),C2H5O(101),C3H6(221),C3H6(74),CH3O(26)
1e-12,0.23154815580925664,3.76,0.0,1.0018580442402845,0.9999999999999981,4.7991562971914065e-29,1.3878394325649025e-55,4.396956436046506e-36,3.7785485014552e-15,1.9455267518737932e-15,1.3442645809429e-22,1.293483170896355e-18,5.175381677225455e-22,1.944235315727862e-15,4.925262709503586e-24,1.164822830741642e-21,4.68848246368148e-22,7.721197566785315e-39,4.229638064229614e-24,6.346319002127071e-46,3.3001138129865077e-24,3.12930247674517e-24,9.358366156914276e-37,8.367606157433256e-39,2.6882732915603715e-25,1.765327950138866e-44,3.2786065692245483e-26,1.9167497832575505e-68,1.247682623989505e-75,1.8024878199471495e-28,5.034794353999251e-57,5.074766995969041e-45,6.077544288029506e-26
1.023e-12,0.23154815580925664,3.76,0.0,1.0018580442402845,0.9999999999999981,4.995589478414597e-29,1.4446881813399649e-55,4.550371193692299e-36,3.86550124797919e-15,1.9902976048569587e-15,1.3911701342610606e-22,1.3232505494591775e-18,5.355966773764628e-22,1.9889764727594856e-15,5.097122834654635e-24,1.2054670918508183e-21,4.852078108350742e-22,8.03723211702043e-39,4.3772232399093956e-24,6.625394681020124e-46,3.415264809896938e-24,3.2384935591371064e-24,9.741411376125053e-37,8.710124243161605e-39,2.781574903287421e-25,1.8429572176154396e-44,3.392895627352379e-26,2.003969695822768e-68,1.3058794734876985e-75,1.8762356196622771e-28,5.263889671063717e-57,5.2979456104983794e-45,6.289608465132253e-26
2.047e-12,0.2315481558092567,3.76,0.0,1.0018580442402805,0.9999999999999961,4.0016719916024844e-28,1.1691770160557258e-54,1.8215941022468313e-35,7.736787801842813e-15,3.983571447905799e-15,5.570929232674183e-22,2.648738703288525e-18,2.144792847090888e-21,3.980931192513366e-15,2.0413084787492988e-23,4.827273302310238e-21,1.943008924255559e-21,6.438141060645682e-38,1.7528559506281355e-23,1.0615403873144606e-44,1.36762670676172e-23,1.296854119814933e-23,7.803283636815698e-36,6.984171558836886e-38,1.1052852195693521e-24,2.9528405716824384e-43,1.351030539569184e-25,6.435144911459705e-67,1.6579390518821847e-73,1.4949184565694301e-27,1.6832969085196816e-55,8.493717589673504e-44,2.5186574081784872e-25
4.095e-12,0.2315481558092568,3.76,0.0,1.0018580442402727,0.9999999999999921,3.203374374335572e-27,9.550055573326255e-54,7.285677893559176e-35,1.5479357135371948e-14,7.970109557607925e-15,2.229621251078721e-21,5.300485759064804e-18,8.583985410494852e-21,7.964843024020238e-15,8.171172335581222e-23,1.9319843596380394e-20,7.776380102255678e-21,5.153771521964103e-37,7.015359813361713e-23,1.6996198745913397e-43,5.473468373879432e-23,5.190341704375629e-23,6.246620454285833e-35,5.602107027939038e-37,4.40674470182539e-24,4.727757968787932e-42,5.346867951070315e-25,2.069151367058109e-65,2.113492141178822e-71,1.1840459089105715e-26,5.362216261005831e-54,1.3603562932512373e-42,1.0080190359973684e-24
8.191e-12,0.23154815580925717,3.76,0.0,1.001858044240257,0.9999999999999841,2.56344378992384e-26,7.9468351532745955e-53,2.9112651408839083e-34,3.096448070572558e-14,1.5943147471936012e-14,8.920980676861917e-21,1.0607062740561711e-17,3.434557598095036e-20,1.5932676255083547e-14,3.270471642041398e-22,7.730038202194244e-20,3.11141146107829e-20,4.124185535605072e-36,2.806932661164977e-22,2.7202297763166787e-42,2.1899151422572033e-22,2.076730508018372e-22,4.998782131838564e-34,4.500936250120739e-36,1.7600664480534604e-23,7.566742215881876e-41,2.092592519419952e-24,6.677526119328112e-64,2.6998649157654417e-69,9.278708306395022e-26,1.6978889561973995e-52,2.177659202700757e-41,4.033133535673892e-24
1e-11,0.23154815580925778,3.76,0.0,1.0018580442402498,0.9999999999999806,6.526362714319335e-26,2.1303989573336836e-52,4.8335374715093765e-34,3.780347824467265e-14,1.9464408947257222e-14,1.4832008269040338e-20,1.2953437422312923e-17,5.710294598078654e-20,1.9451681365577043e-14,5.439403310048526e-22,1.2851840095482019e-19,5.1730082881182566e-20,1.049980789333224e-35,4.666807936832214e-22,1.173152883129954e-41,3.640799437999094e-22,3.4527907182177913e-22,1.2726695347310387e-33,1.1522516006457136e-35,2.925345932212391e-23,3.2633061533496483e-40,3.4014407435592766e-24,5.315825568592164e-63,7.834931942021872e-68,2.2968872014433846e-25,1.3065054037837371e-51,9.39281001489537e-41,6.705356113716911e-24
1.6383e-11,0.23154815580925778,3.76,0.0,1.0018580442402254,0.9999999999999681,2.050939836629083e-25,6.843429176419213e-52,1.1616215352317751e-33,6.193466746031616e-14,3.188907008433585e-14,3.5688884510541074e-20,2.1232547203196273e-17,1.374016152505235e-19,3.1868380989833503e-14,1.3092410958964774e-21,3.092395810811654e-19,1.2447288303041471e-19,3.2995992254511053e-35,1.1229319758050549e-21,4.3527616099378914e-41,8.760199360453756e-22,8.30817619179595e-22,3.9994395764312386e-33,3.629794087361865e-35,7.036998197213194e-23,1.2107878635623494e-39,8.019670823537886e-24,2.1716405824179022e-62,3.4527605690055306e-67,7.127418707712691e-25,5.3173741000859994e-51,3.485124430690101e-40,1.6134210019548081e-23
3.2767e-11,0.23154815580925903,3.76,0.0,1.0018580442401626,0.9999999999999363,1.6406450003957483e-24,6.244707183617643e-51,4.6226058794935604e-33,1.238747994306417e-13,6.378030247649428e-14,1.427652233229639e-19,4.2532830287075253e-17,5.496454167454313e-19,6.373994355322671e-14,5.244283595120338e-21,1.2370027164972821e-18,4.979182639692687e-19,2.6394332944753033e-34,4.492054976732652e-21,6.9638492855722694e-40,3.503773801821831e-21,3.3235699203254843e-21,3.199424530239979e-32,2.9495952891173333e-34,2.8157427691700447e-22,1.937100692062548e-38,2.957682974194821e-23,7.170083565190336e-61,4.418583536108977e-65,5.278355031526629e-24,1.6313068070810889e-49,5.576889152441201e-39,6.453668008411482e-23
6.5535e-11,0.23154815580926147,3.76,0.0,1.0018580442400369,0.9999999999998725,1.3121838004401821e-23,6.209095117928628e-50,1.8300215930962955e-32,2.477540972607042e-13,1.2756031618928018e-13,5.710783553384834e-19,8.533059038788054e-17,2.198662230156819e-18,1.2748368108277952e-13,2.1033475021790828e-20,4.947845949806869e-18,1.991677576551531e-18,2.1108942899743324e-33,1.796894800093724e-20,1.1138874807177425e-38,1.4011171596181572e-20,1.3295211646100794e-20,2.5590109080369617e-31,2.432578497599151e-33,1.1277627057343027e-21,3.09844333377166e-37,1.0216360058652437e-22,2.435135854731266e-59,8.158994483589848e-63,3.671852230504763e-23,4.820657822974293e-48,8.923543964810777e-38,2.5811831196043476e-22
9.999999999999999e-11,0.2315481558092665,3.76,0.0,1.0018580442399048,0.9999999999998055,6.13953748002247e-23,3.89547895882882e-49,4.639263968270366e-32,3.780468649572908e-13,1.9463823537722035e-13,1.4720690165038397e-18,1.30759323929438e-16,5.667549000143295e-18,1.945298886824389e-13,5.445222231748071e-20,1.2752735299726175e-17,5.133711286799175e-18,9.87561603323673e-33,4.631931961752671e-20,9.894555435275306e-38,3.609828894506641e-20,3.4272922550999254e-20,1.1974160170002e-30,1.199984915022616e-32,2.9139208130723415e-21,2.752309784756423e-36,2.1657317412336467e-22,4.684529278583904e-58,5.555542475910946e-61,1.3953233519906943e-22,7.261185083029914e-47,7.931796270930395e-37,6.651990568168072e-22
1.31071e-10,0.2315481558092665,3.76,0.0,1.0018580442397855,0.999999999999745,1.0491509224641687e-22,6.847579562016236e-49,7.171861381270034e-32,4.955088288366074e-13,2.551105414003885e-13,2.2843330766538117e-18,1.7171438500211265e-16,8.794831194550658e-18,2.549736059703837e-13,8.458000114308295e-20,1.9789024781558262e-17,7.966327837244689e-18,1.6875693482385317e-32,7.187783975386943e-20,1.7810532049697421e-37,5.601033952238255e-20,5.318481738709675e-20,2.0462136456626575e-30,2.0624966412601725e-32,4.524183936620875e-21,4.9542492607408977e-36,3.1971606863557033e-22,8.688208332715486e-58,1.0490438140876357e-60,2.3222138149038387e-22,1.3372718980986075e-46,1.4278017030571041e-36,1.032191826972976e-21
2.62143e-10,0.23154815580927643,3.76,0.0,1.0018580442392826,0.99999999999949,8.383420750802537e-22,8.306154677802292e-48,2.756590927300073e-31,9.910028385123747e-13,5.101717995282227e-13,9.137249485977567e-18,3.4763106598431845e-16,3.517985795841016e-17,5.099632567972748e-13,3.4187640196497506e-19,7.91351545669775e-17,3.186141497438007e-17,1.3481843880390067e-31,2.8752018773321108e-19,2.8458659753159203e-36,2.2376096512950405e-19,2.1275992874234281e-19,1.6352917663531726e-29,1.8359611630971355e-31,1.8204403226084668e-20,7.916128988432298e-35,8.848674768217876e-22,3.348012387842522e-56,1.3485635202367075e-58,1.3000709741392745e-21,3.376268524812839e-45,2.2844866253163295e-35,4.1264092929292554e-21
5.24287e-10,0.23154815580929636,3.76,0.0,1.0018580442382767,0.9999999999989796,6.691034334654574e-21,1.0661362931041306e-46,1.0220998774401295e-30,1.981929066819127e-12,1.0201376789574356e-12,3.654785558799678e-17,7.120288221774068e-16,1.4072184225826944e-16,1.0199817765309036e-12,1.3958814731732688e-18,3.1636902844587956e-16,1.2741282608674163e-16,1.0755502312707022e-30,1.1501362865549777e-18,4.5411417342162815e-35,8.927978512133707e-19,8.511613214242518e-19,1.3054881111209967e-28,1.7654321304756713e-30,7.368074353250841e-20,1.2631602471184407e-33,2.1773248605385156e-21,1.4279091972357326e-54,1.7408549793951725e-56,6.415063785298573e-21,7.58128870000198e-44,3.6551052334613554e-34,1.6486586274090263e-20
7.864310000000001e-10,0.23154815580931631,3.76,0.0,1.0018580442372709,0.999999999998469,1.910644023373412e-20,3.763755721369916e-46,2.0636415815007945e-30,2.972793526924279e-12,1.5299470537548285e-12,7.766238070697619e-17,1.0889590740317865e-15,2.990369292418325e-16,1.530039528189153e-12,3.007850470246736e-18,6.720311468782485e-16,2.707035741936349e-16,3.0705327679442666e-30,2.4441169498139046e-18,1.6692961008762644e-34,1.89390578160857e-18,1.8088753708887905e-18,3.7283479767823816e-28,5.534801302974102e-30,1.5783619230903715e-19,4.643272255178498e-33,3.531165145844742e-21,7.233450754973422e-54,9.583417997838412e-56,1.4530666526628944e-20,3.136353505742452e-43,1.3935013108164766e-33,3.5005993805740325e-20
9.999999999999999e-10,0.23154815580933613,3.76,0.0,1.0018580442364513,0.9999999999980528,3.633366418197483e-20,8.486493947366759e-46,3.1217420707863708e-30,3.7800015690040955e-12,1.945161905239947e-12,1.223223306515847e-16,1.4062288677098555e-15,4.710116575047891e-16,1.945616103039558e-12,4.790772841198269e-18,1.0581808003020002e-15,4.2631815703883135e-16,5.8380283370877136e-30,3.849784597027289e-18,3.7545592530260123e-34,2.9788623653903927e-18,2.849318134291743e-18,7.090729425013398e-28,1.129566361418701e-29,2.5021888635456656e-19,1.0443564475396097e-32,4.660809079471568e-21,2.1473463712089606e-53,4.1610066363163876e-55,2.3548285835576962e-20,8.130838100403767e-43,3.312732844668824e-33,5.510153394775093e-20
1.0485750000000002e-09,0.23154815580933613,3.76,0.0,1.001858044236265,0.9999999999979582,4.02518939029821e-20,9.560652693850558e-46,3.362400739727309e-30,3.9635962416580266e-12,2.0396000559588705e-12,1.324799708922534e-16,1.478389997030648e-15,5.101262875558414e-16,2.040136525588517e-12,5.196287940154445e-18,1.1460082444304032e-15,4.617117692283602e-16,6.467478759532657e-30,4.169495350757421e-18,4.228839966124237e-34,3.2256292934426964e-18,3.0859606584047878e-18,7.855483105780845e-28,1.2605937515208082e-29,2.712307811673045e-19,1.1762806474923521e-32,4.917739879709072e-21,2.471227004349503e-53,4.889433722806326e-55,2.559928976373205e-20,9.26680394369411e-43,3.749250652763063e-33,5.967214514318741e-20
1.5728630000000002e-09,0.23154815580937596,3.76,0.0,1.0018580442342533,0.9999999999969361,1.0971774539389513e-19,3.541234592621059e-45,6.464611503782322e-30,5.945056829292256e-12,3.0585394724422264e-12,2.7427275826033167e-16,2.2864917212694e-15,1.0561666006555588e-15,3.0604226704875815e-12,1.098331687766438e-17,2.3712895060315185e-15,9.556502201689107e-16,1.7624259006126617e-29,8.632819197273478e-18,1.4760525693554448e-33,6.660531734210761e-18,6.389850150528677e-18,2.1416264517142224e-27,3.867338708584259e-29,5.683672892428485e-19,4.105752054292414e-32,7.746227204939107e-21,1.5183571381697216e-52,6.256020588110885e-54,5.446053408984992e-20,4.4839172555308906e-42,1.5163770672571685e-32,1.23391852625746e-19
2.0971510000000003e-09,0.23154815580941573,3.76,0.0,1.0018580442322416,0.9999999999959135,2.291543787453434e-19,9.053963709566047e-45,1.0263663775524327e-29,7.926290546653476e-12,4.076904945726622e-12,4.66449513902096e-16,3.140299572147852e-15,1.796286393801027e-15,4.080853250340122e-12,1.904326457486327e-17,4.03071774694989e-15,1.6248810409965085e-15,3.680122873710536e-29,1.4682822160162502e-17,3.682545060341991e-33,1.1299267101854832e-17,1.0868641403891725e-17,4.473672467943172e-27,8.877844426076032e-29,9.776330331443547e-19,1.0243298452837962e-31,1.0653303827550402e-20,5.248337546340046e-52,2.816452599373855e-53,9.361960893915748e-20,1.2778009964438522e-41,4.1073117342225363e-32,2.0961198054899322e-19
2.621439e-09,0.23154815580945545,3.76,0.0,1.0018580442302298,0.99999999999489,4.1640710468793457e-19,1.9276696221643629e-44,1.464887030416406e-29,9.907281341058223e-12,5.094656358948736e-12,7.126033918209654e-16,4.04286720405044e-15,2.7443562274651404e-15,5.101438673649076e-12,2.9661119384800845e-17,6.154548714319289e-15,2.481779017475869e-15,6.685773150908414e-29,2.2433060461124965e-17,7.800705453918608e-33,1.7218298500870217e-17,1.6606608675498026e-17,8.130598462977408e-27,1.7614403585020246e-28,1.510710050054501e-18,2.1698361736155694e-31,1.3638132681572116e-20,1.4905127672839225e-51,1.0226769087597418e-52,1.43352536925404e-19,3.023894341010913e-41,9.226622704457664e-32,3.1985679301351947e-19
3.670015e-09,0.2315481558095349,3.76,0.0,1.0018580442262057,0.9999999999928403,1.0940205455275865e-18,6.43823854133579e-44,2.449794141359549e-29,1.3868519932684387e-11,7.128284368365037e-12,1.3701944548900015e-15,5.9959249233997914e-15,5.2774602258121255e-15,7.143084394489605e-12,5.955551595061498e-17,1.1819490168328054e-14,4.769375921144171e-15,1.7553197199690944e-28,4.3142548145885574e-17,2.843368063513271e-32,3.2914422161505776e-17,3.194134182126282e-17,2.1369900658697026e-26,5.690012777059014e-28,2.980510455638397e-18,7.909088838479122e-31,1.982332585771616e-20,1.117844495073495e-50,1.2983273449900507e-51,2.7230915897982287e-19,1.2226785581127878e-40,3.577646160354462e-31,6.133712653836293e-19
5.767167e-09,0.23154815580969343,3.76,0.0,1.0018580442181573,0.9999999999887312,4.183502069142982e-18,3.1626905690951098e-43,4.659524595382001e-29,2.1788049164079263e-11,1.118812057891475e-11,3.342246665589734e-15,1.0482135027414236e-14,1.2876233870536582e-14,1.1228267190990875e-11,1.5839168667741067e-16,2.875490389081539e-14,1.1620112970784485e-14,6.700619985659846e-28,1.0527874204334771e-16,1.781092904248375e-31,7.929814924256099e-17,7.796187958985802e-17,8.178139043683061e-26,3.107468890636878e-27,7.659097982271512e-18,4.9542167494997825e-30,3.294629590740505e-20,1.80621173721432e-49,3.899367639382703e-50,6.333219962645595e-19,7.846111213898722e-40,2.3006137153001464e-30,1.4875693721101048e-18
7.864319e-09,0.23154815580985152,3.76,0.0,1.0018580442101075,0.9999999999846091,1.0290984802926812e-17,8.82608601139012e-43,7.039477436318191e-29,2.9703652354406735e-11,1.5238100571119066e-11,6.190580942446866e-15,1.5731761534673628e-14,2.385505519952823e-14,1.5315978634520144e-11,3.155369663780204e-16,5.313168803081343e-14,2.1499894927011664e-14,1.6460070407696918e-27,1.9507336115878083e-16,5.754236989077875e-31,1.4523187907139535e-16,1.4448012255629862e-16,2.0128233888093486e-25,9.495710226199476e-27,1.4835426767411337e-17,1.6005865717428112e-29,4.694678851720319e-20,9.06556482340931e-49,2.6276837984743535e-49,1.1148822951826194e-18,2.6370571608434352e-39,7.591179589345766e-30,2.740761047310177e-18
9.999999999999999e-09,0.23154815581016674,3.76,0.0,1.001858044201909,0.9999999999803979,2.134192798894556e-17,1.9864326408762076e-42,9.492525608028944e-29,3.7760668083930287e-11,1.9352475679785283e-11,9.990790404013702e-15,2.1835345029034707e-14,3.850927165167685e-14,1.948139947222431e-11,5.5098081939676e-16,8.5502266103635e-14,3.465379758944781e-14,3.406233481082668e-27,3.1496463670979305e-16,1.614095508134031e-30,2.313658972459571e-16,2.333026233456838e-16,4.176565696468332e-25,2.541015691233312e-26,2.5137388326350718e-17,4.489796286647291e-29,6.184822730733962e-20,4.9996787574149264e-48,2.644835993218382e-48,1.6946580229421274e-18,7.502099807036938e-39,2.1615700481019603e-29,4.395726566271258e-18
1.2058623e-08,0.23154815581016674,3.76,0.0,1.0018580441940055,0.999999999976326,3.660868602679006e-17,3.5538667479772424e-42,1.1885118049449992e-28,4.552314339870249e-11,2.3308836775903268e-11,1.451307974189127e-14,2.844223595447206e-14,5.595262430565605e-14,2.3499019456886182e-11,8.499584603348397e-16,1.2391234119036085e-13,5.0286980374195956e-14,5.834925207870238e-27,4.577010379021531e-16,3.220907869759162e-30,3.3252929045800814e-16,3.390568338519885e-16,7.166547619665803e-25,4.9737195381575883e-26,3.792714421212022e-17,8.959387447061205e-29,7.682685757038245e-20,1.2148528502388214e-47,6.998511089188085e-48,2.3388742742124163e-18,1.5036564970934228e-38,4.338355221769515e-29,6.3527401039362875e-18
1.58334966e-08,0.23154815581044902,3.76,0.0,1.0018580441795104,0.9999999999688272,8.014238331315296e-17,8.253662272321178e-42,1.6286074327634367e-28,5.974737611002378e-11,3.053944439770939e-11,2.4995042989397748e-14,4.2342681391558276e-14,9.640213408691257e-14,3.087246691724648e-11,1.6163201268019719e-15,2.1250031155191862e-13,8.644229956625062e-14,1.2742318876921017e-26,7.887996228658509e-16,8.887468391490813e-30,5.619611843099411e-16,5.843647121515287e-16,1.5695128618477116e-24,1.3401395395400248e-25,6.95807598754835e-17,2.4722972647174183e-28,1.0542467898926977e-19,5.007354955853246e-47,3.960353935441983e-47,3.679502159219088e-18,4.3455110223791284e-38,1.2251068156472697e-28,1.0840109536313844e-17
1.96083702e-08,0.23154815581073016,3.76,0.0,1.0018580441650118,0.9999999999612871,1.481421711552985e-16,1.5890684667828467e-41,2.067414861148351e-28,7.395907226708789e-11,3.7739138863707064e-11,3.8308479184073326e-14,5.848341163889999e-14,1.478077803148811e-13,3.825420652951027e-11,2.705412345474561e-15,3.2431472942629143e-13,1.3223597040693717e-13,2.3495992864527522e-26,1.2097521906226225e-15,1.9829650973035291e-29,8.456287346212527e-16,8.96200999255321e-16,2.9017732929176706e-24,2.9454980560442312e-25,1.1286916860463229e-16,5.516558418720362e-28,1.350856927810783e-19,1.5145320697052604e-46,1.5361870718332041e-46,5.172627540350984e-18,9.819855855472505e-38,2.7949398723765697e-28,1.6462555110996978e-17
2.33832438e-08,0.23154815581101007,3.76,0.0,1.00185804415051,0.9999999999537061,2.45343497058151e-16,2.70922838233269e-41,2.5046899303802423e-28,8.815829488136876e-11,4.490826852560925e-11,5.445099793298749e-14,7.678659182011191e-14,2.1017224050882783e-13,4.5644272620435395e-11,4.1618035083010406e-15,4.590520449300561e-13,1.8760746709126843e-13,3.881891689466241e-26,1.7206544510658633e-15,3.8356043525370286e-29,1.1807551115175352e-15,1.2745799879042207e-15,4.805764340056805e-24,5.641639047189537e-25,1.6887262925172487e-16,1.0671544230258255e-27,1.6545844332626987e-19,3.852756462969195e-46,4.981304815775269e-46,6.771198125737823e-18,1.95242312987551e-37,5.522564220279228e-28,2.31888441767648e-17
