Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),H(6),C2H4(29),HO2(12),H2(9),C2H5O2(40),CH3O2(36)
0.0,0.5397261242824005,3.76,0.0,0.8210249121598879,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.432509371982701e-22,0.5397261242824004,3.76,0.0,0.8210249121598878,1.0,0.0,9.004953171008092e-57,3.421346720281854e-36,1.9999650877858862e-16,9.29808790048685e-19,4.429619552051036e-31,6.881305098432311e-19,5.290776638065281e-32,2.416782802050817e-19,1.7496425517421352e-32,2.204222198813099e-35,1.0721166652443022e-33
1.8011026241551563e-21,0.5397261242824005,3.76,0.0,0.8210249121598876,1.0,0.0,1.0690680405217693e-55,2.0664934190500098e-35,5.599902245800467e-16,2.603464612137638e-18,2.6754902094388185e-30,1.9267654275611613e-18,3.1956290893927815e-31,6.76699184574229e-19,1.0567841012523015e-31,1.3313502080833398e-34,6.47558465807491e-33
4.1168059980689284e-21,0.5397261242824004,3.76,0.0,0.8210249121598873,1.0,0.0,1.0496173417910851e-54,9.949276262576179e-35,1.2799776561829563e-15,5.950776256320824e-18,1.288133365736431e-29,4.404035262997478e-18,1.538557846351412e-30,1.546740993312525e-18,5.087960540466909e-31,6.4098781541519085e-34,3.11771526252942e-32
8.748212745896473e-21,0.5397261242824006,3.76,0.0,0.8210249121598865,1.0,0.0,9.283746524874662e-54,4.345110334754387e-34,2.7199525193887522e-15,1.2645399544708316e-17,5.625616831104711e-29,9.358574933871935e-18,6.719286330363866e-30,3.286824610789122e-18,2.222046040713317e-30,2.799362192496164e-33,1.361588164859219e-31
1.8011026241551564e-20,0.5397261242824007,3.76,0.0,0.821024912159885,1.0,0.0,7.80354834540088e-53,1.813998031090228e-33,5.599902245800245e-15,2.6034646121567774e-17,2.348584286497366e-28,1.9267654275628147e-17,2.8051697735210745e-29,6.766991845742336e-18,9.276604809344048e-30,1.1686786098138809e-32,5.684362559115885e-31
3.653665323286174e-20,0.5397261242824011,3.76,0.0,0.8210249121598822,1.0,0.0,6.397820409916655e-52,7.41077384997212e-33,1.1359801698622842e-14,5.2813139275624625e-17,9.59473313452384e-28,3.908581295916977e-17,1.1460033829274627e-28,1.3727326315648848e-17,3.7897957527816716e-29,4.7744334515440155e-32,2.3222475815778067e-30
7.358790721548211e-20,0.5397261242824016,3.76,0.0,0.8210249121598764,1.0,0.0,5.181120852079407e-51,2.9955532782269744e-32,2.287960060426649e-14,1.0637012558508999e-16,3.8783445395585384e-27,7.872213032636979e-17,4.63232890403615e-28,2.7647995255462208e-17,1.5318960368977714e-28,1.9299023377485313e-31,9.386896020147694e-30
1.4769041518072282e-19,0.5397261242824027,3.76,0.0,0.8210249121598647,1.0,0.0,4.170216824265889e-50,1.2044987982439686e-31,4.591919841554755e-14,2.1348409820942747e-16,1.5594652817772556e-26,1.579947650612369e-16,1.8626390786439904e-27,5.548933313509025e-17,6.159686589151205e-28,7.760052419988886e-31,3.7744296046060575e-29
2.958954311112043e-19,0.539726124282405,3.76,0.0,0.8210249121598415,0.9999999999999999,0.0,3.346336394761934e-49,4.830578906139515e-31,9.199839403808481e-14,4.277120434797292e-16,6.254153267819361e-26,3.165400345328395e-16,7.47001579148286e-27,1.1117200889435166e-16,2.4703098209823955e-27,3.1121280973155446e-30,1.5137150869156515e-28
5.923054629721671e-19,0.5397261242824094,3.76,0.0,0.821024912159795,0.9999999999999998,0.0,2.6811412908456426e-48,1.9347511789756447e-30,1.8415678528305984e-13,8.5616793410684e-16,2.5049234561489717e-25,6.33630573483518e-16,2.991902656486165e-26,2.2253736041289576e-16,9.89412435167048e-27,1.2464745163805178e-29,6.062755843459808e-28
1.185125526694093e-18,0.5397261242824184,3.76,0.0,0.821024912159702,0.9999999999999996,0.0,2.1465433438941914e-47,7.744046822520422e-30,3.6847356777261187e-13,1.7130797157070908e-15,1.0026221843508662e-24,1.2678116514147685e-15,1.197540775205719e-25,4.452680634500693e-16,3.960228223995824e-26,4.9891464723265553e-29,2.426682337017968e-27
2.3707656541379447e-18,0.5397261242824363,3.76,0.0,0.8210249121595159,0.9999999999999991,0.0,1.7178871535462403e-46,3.0986274374423983e-29,7.371071327501238e-13,3.426903280291709e-15,4.0117947132659754e-24,2.5361738073968427e-15,4.791722972129912e-25,8.907294695247565e-16,1.584607133297597e-25,1.996308455725574e-28,9.709890247090802e-27
4.7420459090256474e-18,0.5397261242824722,3.76,0.0,0.8210249121591439,0.9999999999999982,0.0,1.3745708901296628e-45,1.2396527451771467e-28,1.4743742626987792e-12,6.854550414997413e-15,1.604979117681227e-23,5.072898119839286e-15,1.91700120888333e-24,1.7816522816754933e-15,6.339460368069031e-25,7.9865337438819815e-28,3.8845883680361786e-26
9.484606418801053e-18,0.5397261242825441,3.76,0.0,0.8210249121583998,0.9999999999999964,0.0,1.0997613824159947e-44,4.959014548040509e-28,2.9489085225706167e-12,1.3709844706554694e-14,6.420438972631636e-23,1.0146346746637352e-14,7.668628930658045e-24,3.563497905982418e-15,2.5359905293084473e-24,3.1948735020522924e-27,1.5539618095308417e-25
1.8969727438351867e-17,0.5397261242826876,3.76,0.0,0.8210249121569115,0.9999999999999929,0.0,8.798512838746179e-44,1.983686534110307e-27,5.897977042212398e-12,2.7420433378252748e-14,2.5682800931134786e-22,2.0293244007886205e-14,3.067576404227993e-23,7.127189154618061e-15,1.0144374899357322e-23,1.2780014050028414e-26,6.2161001675268375e-25
3.7939969477453494e-17,0.5397261242829747,3.76,0.0,0.821024912153935,0.9999999999999858,0.0,7.0389839086041554e-43,7.934907557533666e-27,1.1796114081088384e-11,5.48416110759828e-14,1.0273329383965234e-21,4.0587038560994776e-14,1.2270555353250393e-22,1.425457165197654e-14,4.0578325202492296e-23,5.112109641670578e-26,2.486490650403966e-24
