Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),H(6),C2H4(29),HO2(12),H2(9),C2H5O2(40),CH3O2(36),C2H3(28),H2O2(13),C2H2(22),OH(8),CH2O(19),HCO(16),CO(14),O(7),CH2CHO(34),C2H5O(43),C2H(21),HCCO(20),C2H5O(101),C3H6(221),C3H6(74),CH3O(26),CH2CO(27),C3H6(55),C3H7(218),C3H7(49),C2H2O(140),CO2(15),C#CC(416),C3H5(219),C2H4(47),C3H4(2022),C3H4(2032),S(1627),CH2(S)(24)
0.0,0.3022319114441898,3.76,0.0,0.6060788746182667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.2934559998184304e-21,0.3022319114441898,3.76,0.0,0.6060788746182666,1.0,9.143696993307893e-45,6.190669335925485e-56,9.754919775709936e-36,3.35404788127376e-16,1.5495891795047844e-18,2.720250220468538e-23,8.893836124965835e-19,4.466335233582347e-31,6.602055670052848e-19,1.2189678060551243e-31,5.949039025933563e-34,3.071719099589317e-32,1.7582493785201648e-49,5.739976943410854e-34,1.7559383270418409e-62,6.024519613501027e-32,4.729989075579479e-32,1.5229456160207143e-48,3.382639167147734e-48,1.583315138297233e-24,3.3461661851679447e-63,5.981389990164317e-35,2.36076222878558e-84,1.903706951742399e-85,5.021737815996485e-46,5.179040416806306e-67,9.235074281769341e-55,1.0475232806417599e-32,7.061618077663995e-67,8.796185976952758e-67,1.0910069501740402e-58,1.4479296346388933e-57,1.3406772540201335e-80,9.474744228282725e-49,9.879822295060852e-83,7.144913587644198e-68,1.3994608145345707e-49,1.0285094749044222e-81,4.158666590791079e-98,9.064495804703639e-87,2.720249865297631e-23
9.221676799491605e-21,0.3022319114441898,3.76,0.0,0.6060788746182662,1.0,1.0855400453790546e-43,7.349562637614477e-55,5.891971544522544e-35,9.391334067566405e-16,4.338849702623848e-18,7.616701768063329e-23,2.490274114991434e-18,2.6976664810891624e-30,1.8485755876148036e-18,7.362565548575414e-31,3.593219571666075e-33,1.8553183361507454e-31,2.0873936621870565e-48,3.466946073820136e-33,3.92796380007375e-61,3.638809846554729e-31,2.856913401650656e-31,1.808041035339485e-47,4.01591391841162e-47,4.4332824633055836e-24,7.485258154022097e-62,3.6127595539974063e-34,9.741751440519667e-83,1.1008973425786083e-83,5.961807135014633e-45,1.6278916164234408e-65,1.3956045688172067e-53,6.327040615069713e-32,1.5796557181273699e-65,2.7656599478593695e-65,1.6487579762214123e-57,2.1881845918548483e-56,5.532355725934987e-79,1.1248416347806315e-47,5.690431231954526e-81,2.2464222939015627e-66,1.6614398789838505e-48,5.923551021792399e-80,4.353668490322337e-96,3.740489578381905e-85,7.616699622831052e-23
2.1078118398837956e-20,0.30223191144418987,3.76,0.0,0.6060788746182656,1.0,1.0657898019736463e-42,7.21584418394218e-54,2.8367306707670635e-34,2.1465906440151213e-15,9.917370748903791e-18,1.7409609466258608e-22,5.692055119985137e-18,1.298810285933885e-29,4.225315628833866e-18,3.544758380011999e-30,1.7299805487447856e-32,8.932559141587707e-31,2.0494154756273552e-47,1.6691852951438456e-32,7.760994550494468e-60,1.7519303036062608e-30,1.375480823179489e-30,1.7751454100327566e-46,3.942867686058434e-46,1.0133217417615603e-23,1.4789624869726418e-60,1.739388209047022e-33,3.8537399934187583e-81,4.902242841295676e-82,5.853337597902626e-44,3.631503067425136e-64,1.5013280289142198e-52,3.0461977000964668e-31,3.12113350697458e-64,6.170034398418073e-64,1.7737214800491743e-56,2.3541122308000232e-55,2.1885474190204413e-77,1.1043761872452432e-46,2.551830854787984e-79,5.011618924444404e-65,1.6312115253235632e-47,2.6563545581470525e-78,3.9110281001573714e-94,1.4797004829011623e-83,1.740959913788864e-22
4.4791001597530657e-20,0.30223191144418987,3.76,0.0,0.6060788746182644,1.0,9.426790690391841e-42,6.382332470957884e-53,1.2388748115054627e-33,4.56150511853189e-15,2.107441284163093e-17,3.6995443274671966e-22,1.2095617129988557e-17,5.672245746733679e-29,8.97879571127209e-18,1.5480891136938308e-29,7.555279562969785e-32,3.901083256459807e-30,1.8126847793298373e-46,7.289770718131478e-32,1.3810275134472795e-58,7.651139909147977e-30,6.007086125996032e-30,1.5700960122906122e-45,3.4874295955939467e-45,2.153308854340892e-23,2.631736043100436e-59,7.596365286550149e-33,1.3753724314862664e-79,1.8410669184567112e-80,5.177210817891645e-43,6.801229587110107e-63,1.3799797019061137e-51,1.3303545664049394e-30,5.553890323826295e-63,1.1555790976590988e-62,1.630471452838869e-55,2.1641351230009396e-54,7.810774405407557e-76,9.768082309519145e-46,9.600638774396718e-78,9.386188529172635e-64,1.4427881211469027e-46,9.99384878733017e-77,2.9492355335126463e-92,5.280945944360325e-82,3.699539816796681e-22
9.221676799491605e-20,0.3022319114441901,3.76,0.0,0.6060788746182619,1.0,7.923785815471124e-41,5.364735018142891e-52,5.172058464994114e-33,9.391334067564652e-15,4.3388497027754243e-17,7.616718453958985e-22,2.4902741150059438e-17,2.3680509409210513e-28,1.848575587614894e-17,6.462967307738673e-29,3.154180491580721e-31,1.628625466585492e-29,1.5236707795272946e-45,3.043335775396158e-31,2.3293047567265016e-57,3.194200299079748e-29,2.5078402078813245e-29,1.319760303709854e-44,2.931397792699977e-44,4.433283566368866e-23,4.438808572241442e-58,3.171332971922441e-32,4.647072604360951e-78,6.371985955223091e-79,4.3517576419262007e-42,1.1747289011031714e-61,1.1806026939224353e-50,5.553968433871748e-30,9.367447837504489e-62,1.9959754690282274e-61,1.3951009384178588e-54,1.8519774196691763e-53,2.6390848122524346e-74,8.210661752192947e-45,3.324399390774631e-76,1.6212290731170623e-62,1.212750350129505e-45,3.460549077271965e-75,2.044872787380552e-90,1.7843122961211423e-80,7.616699622797511e-22
1.8706830078968685e-19,0.3022319114441903,3.76,0.0,0.606078874618257,1.0,6.496398439398433e-40,4.3983339110590004e-51,2.1129546430239691e-32,1.9050991965627077e-14,8.801666540267701e-17,1.5451096166179032e-21,5.0516989190457386e-17,9.674260769989567e-28,3.7499676205904206e-17,2.6403330266567717e-28,1.2885856491993464e-30,6.653466438332509e-29,1.2491973614481707e-44,1.2433019658503303e-30,3.8258900576265564e-56,1.3049350463640496e-28,1.0245345537345096e-28,1.0820192335369695e-43,2.403338245399886e-43,8.993234937902063e-23,7.290757276858326e-57,1.2955929966991503e-31,1.527855805685835e-76,2.1196704378026953e-77,3.567833835555285e-41,1.9518177722855353e-60,9.761468007154276e-50,2.2689773267243476e-29,1.5386061309199598e-60,3.3163430520684034e-60,1.153824369243297e-53,1.532101262298187e-52,8.676734555032057e-73,6.731596571622665e-44,1.1060491536235226e-74,2.693695052055753e-61,9.94286007997722e-45,1.1513459029382942e-73,1.3615125758132686e-88,5.866428556101002e-79,1.5451019234739951e-21
3.7677136637922846e-19,0.30223191144419087,3.76,0.0,0.6060788746182473,1.0,5.2609519237916336e-39,3.561884867342749e-50,8.540900499175348e-32,3.8370307761739545e-14,1.772730021632271e-16,3.1119969427565e-21,1.0174548527227802e-16,3.9104908816197206e-27,7.552751686542112e-17,1.0672648246799142e-27,5.208669221292223e-30,2.689437514090474e-28,1.0116324110600427e-43,5.025625332847558e-30,6.2019326529821756e-55,5.2747560985720685e-28,4.141332475208741e-28,8.762472285557922e-43,1.9462861115167506e-42,1.8113145470877455e-22,1.181863242557863e-55,5.236994037100249e-31,4.9555637170921565e-75,6.915021445992632e-76,2.8893243400744693e-40,3.1819459302333775e-59,7.937890712699647e-49,9.171569132560509e-29,2.494146876085301e-59,5.406476139737429e-59,9.388041771138092e-53,1.247262608300721e-51,2.814278229495582e-71,5.451421431942824e-43,3.608492118775746e-73,4.391401735583003e-60,8.051985873502326e-44,3.756271162551918e-72,8.886621349863999e-87,1.9027621121368802e-77,3.1119658458387965e-21
7.561774975583117e-19,0.30223191144419204,3.76,0.0,0.6060788746182277,0.9999999999999999,4.234471815551477e-38,2.866914869182333e-49,3.434258526224683e-31,7.700893935391492e-14,3.557856757271451e-16,6.245818729812047e-21,2.0420247744001821e-16,1.5723911847511887e-26,1.5158319818448024e-16,4.291424920123667e-27,2.094382985409709e-29,1.0814109957921171e-27,8.142497746620325e-43,2.020781842834e-29,9.988021345192375e-54,2.120956228019983e-27,1.6652115740653836e-27,7.052800013188472e-42,1.566540581249649e-41,3.6352997696464197e-22,1.9033543738367473e-54,2.105772266724039e-30,1.596500884496656e-73,2.2341865064933383e-74,2.325579590730775e-39,5.138843457087478e-58,6.402240053407946e-48,3.687847609917264e-28,4.01674676584033e-58,8.731473368876917e-58,7.580399397492037e-52,1.0081938738368571e-50,9.066572469771082e-70,4.387778231077066e-42,1.1659045073973877e-71,7.0921247070800475e-59,6.4809387293713594e-43,1.2136516327428873e-70,5.743427323372377e-85,6.130002066217041e-76,6.245693690473653e-21
1.5149897599164781e-18,0.30223191144419415,3.76,0.0,0.6060788746181888,0.9999999999999998,3.3978969601897207e-37,2.3005187123189313e-48,1.3772912697834211e-30,1.5428620253806744e-13,7.128110230262538e-16,1.2513650843036545e-20,4.0911646179189417e-16,6.305991921727798e-26,3.0369456082270016e-16,1.7210533317189533e-26,8.399412507880582e-29,4.3369417656327385e-27,6.533841648440223e-42,8.104239006527523e-29,1.603298628010316e-52,8.505983095252832e-27,6.678243196289655e-27,5.659427840611351e-41,1.2570502374550535e-40,7.283282678618157e-22,3.055305345838537e-53,8.445088599518302e-30,5.126029665930204e-72,7.183803463879501e-73,1.8661311557401603e-38,8.260534827035185e-57,5.142697461800155e-47,1.4789918343849663e-27,6.44776849450736e-57,1.4035588370232595e-56,6.10281083526382e-51,8.134209120064334e-50,2.9110863178281043e-68,3.5209156973426556e-41,3.748894742074987e-70,1.1400382749523262e-57,5.2005451613142665e-42,3.9024221533960317e-69,3.693814715961116e-83,1.968215403298425e-74,1.2513149379364375e-20
