Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),H(6),C2H4(29),HO2(12),H2(9),C2H5O2(40),CH3O2(36),C2H3(28),H2O2(13),C2H2(22),OH(8),CH2O(19),HCO(16),CO(14),O(7),CH2CHO(34),C2H5O(43),C2H(21),HCCO(20),C2H5O(101),C3H6(221),C3H6(74),CH3O(26),CH2CO(27),C3H6(55),C3H7(218),C3H7(49),C2H2O(140),CO2(15),C#CC(416),C3H5(219),C2H4(47),C3H4(2022),C3H4(2032),S(1627),CH2(S)(24),CH2(T)(17),S(3168),CH2O2(165),CHO2(212),C2H2O(189)
0.0,0.11998669034156598,3.76,0.0,0.6341757979163156,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.9031287177481856e-16,0.11998669034156598,3.76,0.0,0.6341757979163154,0.9999999999999999,1.8648222338248428e-35,3.724510151153091e-53,4.4584481813261e-37,3.4921211016024114e-16,3.920902844609786e-17,1.4410637349728289e-24,3.058072779961662e-19,2.9421585315291964e-26,3.890322120781381e-17,1.8234248394394158e-27,2.4615586007983538e-26,5.560418408429451e-26,3.5032390310702816e-44,2.741451109557177e-28,1.0861018550244807e-53,1.0891706492717439e-27,9.603192580232113e-28,6.539443356387572e-42,2.0717005108860148e-39,8.804692401258109e-27,1.2887774839952e-52,5.53176230236391e-30,1.4721792516051323e-76,6.0371733048124624e-74,3.4448665141174345e-35,5.2473260732929124e-58,5.578173673802343e-49,4.3631213157050933e-29,1.0124778821640566e-56,3.1396195645616244e-60,1.040947488390187e-52,1.5062746938128028e-51,1.5040291670882256e-67,2.410177087172372e-39,1.3911415089142548e-72,2.8744915107994087e-59,2.324221410037091e-44,3.3829750092904737e-70,5.402445490201915e-86,3.7183432238673075e-76,1.401635238499887e-24,3.1049249709895748e-31,4.754482342811366e-44,1.9130620783574873e-42,5.744486585956365e-38,3.5629676087848947e-71
1.092876040969492e-15,0.119986690341566,3.76,0.0,0.6341757979163151,0.9999999999999999,2.21391694147425e-34,4.421736678058618e-52,2.6929019409555645e-36,9.77793908137518e-16,1.0978527960851909e-16,4.162725369040985e-24,8.562604358768437e-19,1.7770637552145688e-25,1.089290194125034e-16,1.1013486647223079e-26,1.4867813832360514e-25,3.3584927001928375e-25,4.1590453500531336e-43,1.6558364705551095e-27,2.4295663901949072e-52,6.578590667897636e-27,5.8003283335792085e-27,7.763627078543792e-41,2.4595217224300314e-38,2.522990485245328e-26,2.8829436725543855e-51,3.341163025419918e-29,6.075033223714534e-75,3.4864583688241005e-72,4.089720732014764e-34,1.6498345629792251e-56,8.431654030176422e-48,2.635325227000046e-28,2.2648871319313315e-55,9.871385872149806e-59,1.7487154775460176e-51,3.2930405108425654e-50,6.206404745234515e-66,2.861511927728993e-38,8.012393940355596e-71,9.037856205948335e-58,2.759302997236416e-43,1.9484193330437568e-68,5.66729557306608e-84,1.5349843995860471e-74,3.9245772504084515e-24,1.8753737462631226e-30,5.644713662821698e-43,2.2711841414664232e-41,6.819836257271166e-37,1.4702982918509908e-69
2.4980023793588386e-15,0.11998669034156602,3.76,0.0,0.6341757979163143,0.9999999999999998,2.173636747288223e-33,4.341283533625953e-51,1.2965155902821577e-35,2.2349575028474435e-15,2.509377817711417e-16,1.0117036281139664e-23,1.9571669815885036e-18,8.555797042250903e-25,2.4898061594438132e-16,5.302520358603318e-26,7.158212236429299e-25,1.616969645423458e-24,4.0833753266387576e-42,7.972139832330452e-27,4.800413700809458e-51,3.1673081675265453e-26,2.792608425009863e-26,7.622374946278177e-40,2.4147706306715744e-37,6.038739452540575e-26,5.696210802803364e-50,1.608604370128076e-28,2.4032581584755477e-73,1.55205609725822e-70,4.015259549820672e-33,3.68065330423632e-55,9.074654693383186e-47,1.2687956070769934e-27,4.4750984744095046e-54,2.2022213859097846e-57,2.2718451016167954e-50,5.804022614934811e-49,2.4551799775100853e-64,2.8097664486805774e-37,3.593100394727116e-69,2.0162948955286528e-56,2.7090732275629185e-42,8.737525320263618e-67,5.092097943337242e-82,6.077488956814826e-73,8.97045560466705e-24,9.029107772427193e-30,5.542420515745112e-42,2.2298553688810617e-40,6.695717090372643e-36,5.816440932046376e-68
5.308255056137532e-15,0.11998669034156603,3.76,0.0,0.6341757979163127,0.9999999999999994,1.9225570252462108e-32,3.839809437624513e-50,5.662217401540109e-35,4.749284687288778e-15,5.332427854475077e-16,2.4069608677139475e-23,4.158980992812982e-18,3.736541368691538e-24,5.290838094981325e-16,2.315750502451971e-25,3.126179242498525e-24,7.061731091977866e-24,3.6116991248482935e-41,3.481642915066866e-26,8.5420794463878855e-50,1.383246641334166e-25,1.2196054811234778e-25,6.741904039826631e-39,2.135833040478815e-36,1.399306349922778e-25,1.0136102472252544e-48,7.025006356066423e-28,8.57730999611268e-72,5.828454039093872e-69,3.5513581814381393e-32,6.893320292388239e-54,8.349028514735287e-46,5.541163331795605e-27,7.963424463800477e-53,4.124405595933027e-56,2.807749077340139e-49,9.500281640862837e-48,8.762276839997851e-63,2.485770634099895e-36,1.3518152715158491e-67,3.776293731488155e-55,2.3960968857312656e-41,3.287272430655071e-65,3.840333914265689e-80,2.172767666980278e-71,1.9062189635001316e-23,3.943240201860093e-29,4.902932491846171e-41,1.9722699221286683e-39,5.922217295931227e-35,2.0758853214540496e-66
1.092876040969492e-14,0.1199866903415661,3.76,0.0,0.6341757979163096,0.9999999999999989,1.6160249175813144e-31,3.2275799531839427e-49,2.363858615893254e-34,9.777939036257387e-15,1.0978527902047238e-15,6.015055572397255e-23,8.562612694466074e-18,1.5599324837012864e-23,1.0892901985656161e-15,9.667807105982373e-25,1.3051182076794513e-23,2.9481335820945214e-23,3.0358505524281017e-40,1.453517383623453e-25,1.440746468149398e-48,5.774782033269775e-25,5.091612916939471e-25,5.666976105452938e-38,1.7952892381135127e-35,3.3593017671963315e-25,1.7096017295019555e-47,2.9326417969135885e-27,2.8982496635302486e-70,2.017363272122702e-67,2.98497339220721e-31,1.1906028279654589e-52,7.156220685961066e-45,2.313326256349446e-26,1.343224144668103e-51,7.123502464662896e-55,3.63384484322539e-48,1.5258351868020927e-46,2.9605171027298898e-61,2.0903888175878942e-35,4.6809072907721023e-66,6.522596837925759e-54,2.013983560257948e-40,1.1382761011146369e-63,2.6628789011616347e-78,7.366669389511165e-70,3.9245566983347723e-23,1.6462181594907302e-28,4.122428650874395e-40,1.6577916900559156e-38,4.977865002997197e-34,7.01417348026099e-65
2.2169771116809694e-14,0.11998669034156621,3.76,0.0,0.6341757979163035,0.9999999999999978,1.3249146913619834e-30,2.6461466070687927e-48,9.657087269054572e-34,1.9835247654538364e-14,2.2270727893370985e-15,1.6501565857796194e-22,1.736989081458482e-17,6.372833322042247e-23,2.209702984540511e-15,3.9496184267107856e-24,5.331833016146308e-23,1.2044086504530967e-22,2.4889734007533974e-39,5.938092806525018e-25,2.3664301237462364e-47,2.359186558851682e-24,2.0800901042014818e-24,4.646128624401013e-37,1.4718748982853203e-34,8.755816338266407e-25,2.808025628163951e-46,1.19794907354005e-26,9.529931704601966e-69,6.712213793664299e-66,2.447003866360043e-30,1.978048933807475e-51,5.939147892030918e-44,9.450689662317402e-26,2.206500067904133e-50,1.1834536535409047e-53,5.041698970163664e-47,2.4409088524135115e-45,9.733149788148376e-60,1.7153829260988253e-34,1.557366083543567e-64,1.0837354398140417e-52,1.6510538181975407e-39,3.787103284504584e-62,1.7730064269813847e-76,2.4386845549933443e-68,7.961195883402885e-23,6.725281109079902e-28,3.381814179194198e-39,1.3591249607502898e-37,4.0809651220047985e-33,2.306249623185509e-63
4.465179253103925e-14,0.11998669034156643,3.76,0.0,0.6341757979162912,0.9999999999999956,1.0729499888437385e-29,2.1428882605850313e-47,3.903511496816144e-33,3.994986457247544e-14,4.4855127460736745e-15,5.055586972551494e-22,3.4984505922040705e-17,2.576001228880082e-22,4.450528587850029e-15,1.5965019658691768e-23,2.1552115783302455e-22,4.868411419437417e-22,2.015634704187901e-38,2.4002720732344528e-24,3.836084310544362e-46,9.536206618676211e-24,8.408057525823029e-24,3.7625541700290144e-36,1.1919435263064525e-33,2.545495086471204e-24,4.5519294255905945e-45,4.84124462522878e-26,3.091737627050416e-67,2.1907096459929045e-64,1.9812299606713187e-29,3.2242122882048545e-50,4.8657983515200824e-43,3.820117508657096e-25,3.577643448317258e-49,1.9289145311973116e-52,7.413129486550585e-46,3.90298283547753e-44,3.1566755589900335e-58,1.3916812662651298e-33,5.080904524178103e-63,1.7667499907354024e-51,1.3368531119300068e-38,1.2355359845275477e-60,1.1571973643321427e-74,8.018003077356647e-67,1.6034329117755755e-22,2.7184198926780814e-27,2.741916867506574e-38,1.10060146540772e-36,3.304564696708686e-32,7.4811824825108245e-62
8.961583535949835e-14,0.11998669034156689,3.76,0.0,0.6341757979162665,0.9999999999999911,8.636030464765313e-29,1.7247348200101538e-46,1.5695545829305453e-32,8.017909713385055e-14,9.002392493434555e-15,1.7098960899096903e-21,7.021397160557132e-17,1.035798850735722e-21,8.932179919908115e-15,6.419488706654222e-23,8.666006338886941e-22,1.957566084611604e-21,1.6223573825949166e-37,9.651388590680412e-24,6.177892634642051e-45,3.834464605516648e-23,3.3808435515752983e-23,3.0284289200360747e-35,9.593493790098691e-33,8.24777249603015e-24,7.330738391053355e-44,1.945793604438568e-25,9.965129613572334e-66,7.084458652837093e-63,1.5939950136967627e-28,5.205475583091589e-49,3.982807308401236e-42,1.5360505537505493e-24,5.764299095184767e-48,3.1138670833921124e-51,1.132360867148636e-44,6.2419204187379575e-43,1.0168051665588191e-56,1.1242012228166891e-32,1.6416338102726765e-61,2.853266252816759e-50,1.0756728398711125e-37,3.991963966590225e-59,7.478137283313394e-73,2.652755529980917e-65,3.21800150642981e-22,1.0930274822454875e-26,2.212141807821284e-37,8.85774234190934e-36,2.659307607279838e-31,2.410751872254475e-60
1.7954392101641657e-13,0.11998669034156778,3.76,0.0,0.6341757979162173,0.9999999999999821,6.929863362373278e-28,1.3839139167592022e-45,6.294373485677361e-32,1.6063755715860862e-13,1.8036151323710625e-14,6.2115760038061976e-21,1.4067384484506974e-16,4.154017355755317e-21,1.78954830857816e-14,2.574521756139149e-22,3.47545242648429e-21,7.850709646013815e-21,1.3018383693119556e-36,3.870638615690645e-23,9.916876603835948e-44,1.5377900956851907e-22,1.3558699573933335e-22,2.430120256939583e-34,7.697685654878232e-32,2.910219613623609e-23,1.1767447005071116e-42,7.796696721677774e-25,3.202602618824979e-64,2.2821090452495683e-61,1.2780046691373175e-27,8.362395379557394e-48,3.2929711056485766e-41,6.160234536418515e-24,9.26137070994929e-47,5.001163720041254e-50,1.7681989332148564e-43,9.984428738700504e-42,3.2637217278061076e-55,9.086050287873156e-32,5.278525776807265e-60,4.586414510211397e-49,8.626099904024428e-37,1.2835563629742333e-57,4.808328573509454e-71,8.96393449826435e-64,6.446906503647693e-22,4.3832307115875645e-26,1.783461057422642e-36,7.106407317480959e-35,2.133135151968172e-30,7.744198753488405e-59
