Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),H(6),C2H4(29),HO2(12),H2(9),C2H5O2(40),CH3O2(36),C2H3(28),H2O2(13),C2H2(22)
1.477530199509865e-12,0.07398452599072397,3.76,0.0,0.8442152068097235,0.999999999999889,0.0,1.5676614381451957e-48,2.4404840700443794e-31,3.6952037282736523e-13,1.112738085276732e-13,1.4896853805169204e-19,3.328061196391539e-16,1.9621096775770605e-19,1.1094163120323895e-13,8.616981949341431e-21,4.0810666444880785e-19,3.863710209877149e-19,2.568816798178043e-34,2.7654465592013123e-21,1.6484930194403642e-40
2.9557019666269854e-12,0.07398452599072641,3.76,0.0,0.8442152068094273,0.999999999999778,0.0,1.3286324121578644e-47,9.753714646596558e-31,7.392001262763417e-13,2.2259504566216422e-13,5.960674523873446e-19,6.659147993851315e-16,7.851014812888628e-19,2.219316468266269e-13,3.4486168231109935e-20,1.6329314690011657e-18,1.545969111390725e-18,2.0558527449100916e-33,1.1065397466855216e-20,2.6386854986608892e-39
5.912045500861226e-12,0.07398452599073131,3.76,0.0,0.844215206808835,0.999999999999556,0.0,1.1812733549407388e-46,3.8930288161862656e-30,1.478556419215177e-12,4.4523485467514544e-13,2.3846520219396e-18,1.3326063333589745e-15,3.1409334236010275e-18,4.4391231354732596e-13,1.3802326189471185e-19,6.532574973488006e-18,6.184737148161624e-18,1.6450243030688442e-32,4.426886779004116e-20,4.222829790081052e-38
1e-11,0.07398452599074108,3.76,0.0,0.844215206808016,0.9999999999992489,0.0,8.199143597601397e-46,1.1918705406371321e-29,2.5009100712110198e-12,7.530879881746405e-13,7.331307646487422e-18,2.2558009138456045e-15,9.656531239764211e-18,7.508631299925151e-13,4.2464719116834526e-19,2.0082471233020305e-17,1.9013460915995022e-17,9.607655403290039e-32,1.3609998176425402e-19,4.802335677895553e-37
1.182473256932971e-11,0.07398452599074108,3.76,0.0,0.8442152068076504,0.9999999999991119,0.0,1.1331697152639874e-45,1.5501111587287217e-29,2.957256150053875e-12,8.90503812980196e-13,9.539337023837885e-18,2.6678855442390033e-15,1.2564886395456684e-17,8.878761892298139e-13,5.525869759690419e-19,2.613071296883618e-17,2.473979424163048e-17,1.3161920087300663e-31,1.7709046357658264e-19,6.7574515718528435e-37
2.3650106706266672e-11,0.07398452599076064,3.76,0.0,0.8442152068052811,0.9999999999982239,0.0,1.2043002441788925e-44,6.143622302137781e-29,5.914604197954337e-12,1.780999101128074e-12,3.8158521703835655e-17,5.346024100217821e-15,5.026263195459113e-17,1.775814112321106e-12,2.2140282707883476e-18,1.0451339823642092e-16,9.895386226309415e-17,1.0530797776646986e-30,7.083953254056894e-19,1.0813229498517432e-35
3.5475480843203636e-11,0.07398452599078018,3.76,0.0,0.8442152068029117,0.9999999999973357,0.0,4.008676846138124e-44,1.2972414458516764e-28,8.871900838455786e-12,2.6714517712318576e-12,8.108727231676206e-17,8.031738355354468e-15,1.068109002549376e-16,2.6637622098994536e-12,4.71013781363049e-18,2.2207350020435924e-16,2.1026575485999887e-16,3.0113283052859966e-30,1.5053649101563827e-18,3.980181536569072e-35
5.912622911707756e-11,0.0739845259908193,3.76,0.0,0.844215206798173,0.999999999995559,0.0,2.6476239870615586e-43,3.5287495489292476e-28,1.4786288540869906e-11,4.452186722555402e-12,2.2418104781505575e-16,1.3433434220925527e-14,2.953149905127117e-16,4.439699125070871e-12,1.3059842913244445e-17,6.138314637863179e-16,5.812318200558957e-16,1.3841181745933597e-29,4.161987388710903e-18,3.062864000614319e-34
8.04119025635641e-11,0.07398452599085448,3.76,0.0,0.844215206793908,0.9999999999939596,0.0,7.162906985086263e-43,6.2166241155147535e-28,2.0109071452269345e-11,6.054710605834819e-12,3.9919697491627633e-16,1.8319383722329353e-14,5.258835140251304e-16,6.038075256402486e-12,2.33001017840143e-17,1.0928871489125925e-15,1.0348904944706162e-15,3.115949815425642e-29,7.41135424146423e-18,8.435914953795162e-34
9.999999999999999e-11,0.07398452599088969,3.76,0.0,0.8442152067899832,0.9999999999924877,0.0,1.493717903001753e-42,9.330685841712e-28,2.500718986152099e-11,7.529295992304604e-12,6.05285883081329e-16,2.283943022143554e-14,7.974030264853451e-16,7.509009692619426e-12,3.539353606429296e-17,1.65687291784393e-15,1.5690120722578517e-15,5.668669640353494e-29,1.1237739673472639e-17,1.8159077416361517e-33
1.0169757601005065e-10,0.07398452599088969,3.76,0.0,0.844215206789643,0.9999999999923601,0.0,1.5610925817417833e-42,9.600561795584693e-28,2.5431678678411723e-11,7.657088943353855e-12,6.231462999785703e-16,2.3231153946830295e-14,8.209338983379499e-16,7.636486238995725e-12,3.6441597213669224e-17,1.7057499828296766e-15,1.6153009974505272e-15,5.889897656460745e-29,1.1569348199296202e-17,1.900172215977469e-33
