Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),H(6),C2H4(29),HO2(12),H2(9)
0.0,0.18138240816916681,3.76,0.0,0.9756803565501533,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.18138240816916681,3.76,0.0,0.9756803565501533,1.0,0.0,1.7518987829658002e-68,1.5826954054667525e-41,5.195013999279075e-18,2.9484452312758405e-18,3.6887372861312224e-28,1.8436520183508035e-21,1.4770536763062704e-27,2.9466015818157445e-18,1.3489003837050656e-29
3.0000000000000002e-15,0.18138240816916681,3.76,0.0,0.9756803565501533,1.0,0.0,6.375276686078688e-67,7.945773351239484e-41,1.2828503956462431e-17,7.280854547908989e-18,1.8518966782536375e-27,4.552692603788694e-21,7.415412332228825e-27,7.276301868148684e-18,6.77203136803747e-29
7e-15,0.18138240816916681,3.76,0.0,0.9756803565501533,1.0,0.0,1.4645050842710795e-65,4.890195235981012e-40,3.3608559945508674e-17,1.9074635449063195e-17,1.1397445407968614e-26,1.1927308266986401e-20,4.5637944147139653e-26,1.9062708219841084e-17,4.1678294671018865e-28
1.5e-14,0.18138240816916681,3.76,0.0,0.9756803565501533,1.0,0.0,3.120434384786002e-64,2.3210591563223628e-39,7.516867189999324e-17,4.266219718131138e-17,5.409646147606022e-26,2.6676561796360372e-20,2.1661444258782285e-25,4.2635520994691035e-17,1.9782066464051493e-27
3.1e-14,0.18138240816916681,3.76,0.0,0.9756803565501532,1.0,0.0,5.728188079924129e-63,1.0036759835897763e-38,1.582888957145307e-16,8.98373203655669e-17,2.3392616793960944e-25,5.617515766700578e-20,9.366931764664055e-25,8.978114683025154e-17,8.554258176953673e-27
6.300000000000001e-14,0.1813824081691668,3.76,0.0,0.975680356550153,0.9999999999999999,0.0,9.794287577738676e-62,4.16743044901117e-38,3.2452934296587886e-16,1.8418756561311461e-16,9.71312277317928e-25,1.151727046557525e-19,3.889353574242598e-24,1.8407239964481514e-16,3.551926093559193e-26
1.2700000000000001e-13,0.1813824081691668,3.76,0.0,0.9756803565501526,0.9999999999999997,0.0,1.6190051301271398e-60,1.6977122820294015e-37,6.570102359576683e-16,3.728880516243573e-16,3.956991275013493e-24,2.3316921962199776e-19,1.5844685946112404e-23,3.7265490984771277e-16,1.4470153062578581e-25
2.55e-13,0.18138240816916684,3.76,0.0,0.975680356550152,0.9999999999999993,0.0,2.6325191036996926e-59,6.852305048904769e-37,1.3219720158976197e-15,7.502890057114384e-16,1.5971976331232702e-23,4.691679335009203e-19,6.395539584505265e-23,7.49819948548592e-16,5.840804497518323e-25
5.11e-13,0.18138240816916687,3.76,0.0,0.9756803565501505,0.9999999999999986,0.0,4.245762817200285e-58,2.753035538079773e-36,2.6518955516030127e-15,1.5050908421440358e-15,6.417645424756243e-23,9.411880969758947e-19,2.5697698706318987e-22,1.5041500991307027e-15,2.3469383912899895e-24
