Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),C2H4(29),H(6),H2(9),C2H3(28),C2H2(22),HO2(12),CH3O2(36),C2H5O2(40),OH(8),O(7),CH2O(19),H2O2(13),HCO(16),CO(14),C2H5O(43),CH2CHO(34),C2H(21),CH3O(26),HCCO(20),C3H6(255),C3H6(60),C3H6(51),C3H5(214),CH2CO(27),CH2(S)(24),CH2(T)(17),C1OO1(799),CH2O2(129),CHO2(157),CO2(15),C2H5O(91),C2H2O(94),C3H7(48),C2H4(47),C2H2O(788),C3H7(196),C#CC(211),C3H4(1113)
3.9114740214058406e-16,0.6841011752831735,3.76,0.0,0.9253468617933165,0.9999999999999989,2.1177702643979807e-33,1.0555838109742083e-46,4.476666202017945e-31,3.1896891676958697e-13,1.4550772180950006e-15,4.6538616376247245e-21,2.993427929725433e-24,2.968220454791532e-16,8.754462709092325e-25,1.2554739063141746e-40,6.290379761130514e-50,1.158255135927462e-15,8.465983219320054e-25,1.9667142252642597e-26,4.990296032938175e-25,3.895566018798975e-23,4.447221728256508e-25,1.0223079982102851e-26,1.2604964997873352e-38,1.0154614959045273e-37,2.9235890986118466e-28,5.411694310308126e-50,1.7367388875024643e-70,5.254935195815037e-26,4.884057545556283e-69,1.2900417652075587e-53,5.15513058188873e-45,6.531871729020151e-55,2.9038499511992314e-54,7.144016001138987e-54,4.6129919586475715e-21,1.2341121167257216e-28,4.853865981992097e-43,1.4304597042999263e-41,2.5041283780684362e-36,1.0575919273414207e-37,1.189790069828562e-34,2.7159921094005802e-64,6.608615126195388e-48,1.9137141599348822e-40,1.639186527987267e-71,3.768196693132145e-49,5.053801217961783e-66,1.9958475058825525e-78
7.826346369502738e-16,0.6841011752831928,3.76,0.0,0.9253468617931554,0.9999999999999978,1.695503902400241e-32,8.451088771737873e-46,1.7918330577077526e-30,6.382149567532703e-13,2.9114186989865552e-15,9.39357657457793e-21,1.1981513091156142e-23,5.939019768616183e-16,3.504066582802239e-24,1.005142576148003e-39,1.0072804052909326e-48,2.3175165752757827e-15,3.388599567401848e-24,7.871982386651484e-26,1.997418916629905e-24,7.815964895620042e-23,1.780047673089471e-24,4.0918962044255685e-26,1.0091636344382017e-37,8.12986605828324e-37,1.1701968407318835e-27,8.665762417042489e-49,5.562344379535832e-69,2.1033435304447095e-25,1.5648213039279406e-67,2.066468372789059e-52,4.1321622273095645e-44,1.0463150883715513e-53,4.651567309535328e-53,1.1439765679754196e-52,9.229991349230659e-21,4.939664384948091e-28,3.886049198445662e-42,1.145237390586747e-40,2.0048242522025092e-35,8.467262085039258e-37,9.525548120272758e-34,8.698484905319905e-63,8.102106958614649e-47,1.5321339905727473e-39,5.2499603804579537e-70,3.8606661806696076e-48,1.6191613936809177e-64,1.2789029287008841e-76
1.5656091065696533e-15,0.6841011752832313,3.76,0.0,0.9253468617928332,0.9999999999999954,1.3569184135583752e-31,6.763439287674269e-45,7.169665593422698e-30,1.2767070364668048e-12,5.82410189352249e-15,1.911854296966795e-20,4.794166120029462e-23,1.188061851697558e-15,1.4020830752067616e-23,8.044196550510593e-39,1.6123048516571846e-47,4.636039454237042e-15,1.3558811971076452e-23,3.149818392194007e-25,7.99227738333399e-24,1.5721135649269136e-22,7.122509330680136e-24,1.637291475974453e-25,8.076376110178392e-37,6.506363117003772e-36,4.6823059488981285e-27,1.3870865329471786e-47,1.7807651404936042e-67,8.416113665406953e-25,5.010508611865993e-66,3.3082707224405336e-51,3.313610538937174e-43,1.675075763197587e-52,7.446837400260429e-52,1.831117798647033e-51,1.846398898880449e-20,1.976508958230358e-27,3.110028498768554e-41,9.165377276507162e-40,1.6044670001178549e-34,6.776536787387545e-36,7.623322506453549e-33,2.7846839824810114e-61,1.0983015115160243e-45,1.226171306657545e-38,1.6807898120335072e-68,4.439665465146676e-47,5.184431891522634e-63,8.18997319720729e-75
3.1315580458084123e-15,0.6841011752833083,3.76,0.0,0.925346861792189,0.9999999999999908,1.0857408835989668e-30,5.41177873199151e-44,2.868332611436733e-29,2.5536911948785452e-12,1.1649469213605661e-14,3.9550621843800635e-20,1.9179788007618272e-22,2.376381649653485e-15,5.609245412733289e-23,6.436581207999195e-38,2.580213372008917e-46,9.273085213218028e-15,5.424407562129632e-23,1.2601325122172041e-24,3.197431345730183e-23,3.17889691528721e-22,2.849467537313751e-23,6.550232044410394e-25,6.462327940638548e-36,5.206078137515569e-35,1.8732227394898316e-26,2.2197906602685592e-46,5.700071063841033e-66,3.366993339993477e-24,1.603856803846171e-64,5.29476696900062e-50,2.6614918364564318e-42,2.6808939565499555e-51,1.1918407809166402e-50,2.9304175371117698e-50,3.6931979701584024e-20,7.907321123332414e-27,2.488508268053164e-40,7.333690428261645e-39,1.2838146403582766e-33,5.422505061618748e-35,6.099798653831534e-32,8.91285014392457e-60,1.5987332409983393e-44,9.811208910047749e-38,5.380272188954748e-67,5.7124872678025204e-46,1.6595176429360654e-61,5.2431780021797334e-73
6.2634559242859296e-15,0.6841011752834623,3.76,0.0,0.9253468617909003,0.9999999999999815,8.686751640638417e-30,4.329833588919985e-43,1.1474260340795177e-28,5.107659507640712e-12,2.3300207577817102e-14,8.434336392162206e-20,7.672541005584248e-22,4.753021438701612e-15,2.2438808786334096e-22,5.1497567335239565e-37,4.128763586066864e-45,1.854717673541388e-14,2.169939518286672e-22,5.0409406977126e-24,1.2790766041093297e-22,6.495460411551263e-22,1.1398797915934763e-22,2.6203060612505215e-24,5.170353188243722e-35,4.165256529084915e-34,7.493464515942004e-26,3.552028333093359e-45,1.8244861552322612e-64,1.346906828206852e-23,5.133138774702271e-63,8.472842397123773e-49,2.1453563725411507e-41,4.290033205962442e-50,1.907223714807085e-49,4.689250338320419e-49,7.386794286168044e-20,3.163184484619966e-26,1.991016361529972e-39,5.867503123004296e-38,1.0271448569658817e-32,4.338809646208315e-34,4.880274107550747e-31,2.852404021531685e-58,2.4310853652946874e-43,7.849673153703286e-37,1.7222610099472611e-65,8.026775010660862e-45,5.311260777078819e-60,3.3561397929759516e-71
1.2527251681240964e-14,0.6841011752837701,3.76,0.0,0.925346861788323,0.9999999999999629,6.949730955247297e-29,3.464030543125592e-42,4.589887786312323e-28,1.0215596116919788e-11,4.6601699202419684e-14,1.8964318534545362e-19,3.069142409244905e-21,9.506301789343632e-15,8.975889579856305e-22,4.12000550868225e-36,6.606364794590395e-44,3.709535979674112e-14,8.680110481547294e-22,2.0164586589354867e-23,5.116514394886346e-22,1.3540574562425659e-21,4.559704798744711e-22,1.0481650748746139e-23,4.136478835050106e-34,3.332361110168875e-33,2.9974787584302197e-25,5.683540662170255e-44,5.840401317123483e-63,5.387845582152357e-23,1.6427360235942345e-61,1.3557481696669646e-47,1.7418246986861645e-40,6.864486143764086e-49,3.0517838779467565e-48,7.503519099336333e-48,1.4773979612010173e-19,1.265324169837979e-25,1.592921854840267e-38,4.69421526738686e-37,8.217478946468997e-32,3.471842438059434e-33,3.904359571134325e-30,9.128122375339931e-57,3.78820633820167e-42,6.279973851315752e-36,5.5140396598307895e-64,1.1952108328105242e-43,1.6997354018868325e-58,2.14808538221367e-69
2.5054843195151033e-14,0.6841011752843859,3.76,0.0,0.9253468617831685,0.9999999999999258,5.559916299020831e-28,2.7712889800557245e-41,1.8359899766607617e-27,2.0431469270496916e-11,9.320474203633804e-14,4.631001768655865e-19,1.2276828391906346e-20,1.901286558081612e-14,3.590429546498974e-21,3.2960899050649166e-35,1.0570475031600656e-42,7.419172598713783e-14,3.4721142027210324e-21,8.066001375644797e-23,2.046647225907117e-21,2.9278751306939667e-21,1.8239191045755856e-21,4.1927456030343873e-23,3.309261487398797e-33,2.6659484779092234e-32,1.1989926836829104e-24,9.093916337600736e-43,1.8700903725317275e-61,2.1551813091870168e-22,5.256992005276815e-60,2.1692594905516538e-46,1.4341947538375699e-39,1.0983366417003115e-47,4.883045019543845e-47,1.200701409327287e-46,2.954832103904903e-19,5.061390769976876e-25,1.2744207709808074e-37,3.7554452358299934e-36,6.57402718575354e-31,2.778547776385797e-32,3.1234896969762095e-29,2.9210437649778608e-55,5.979896040567175e-41,5.023997861680691e-35,1.7661484790945147e-62,1.8410724240176083e-42,5.439385225703639e-57,1.3748168866644747e-67
5.011002622297118e-14,0.6841011752856175,3.76,0.0,0.9253468617728594,0.9999999999998517,4.4479851325781005e-27,2.217055522625573e-40,7.34401468342183e-27,4.086321531772706e-11,1.8641106604298225e-13,1.2614435513934506e-18,4.910788497357826e-20,3.802600552455798e-14,1.436186961795428e-20,2.6369148392988216e-34,1.691304724206106e-41,1.4838445863890093e-13,1.3888593049663588e-20,3.226435480352352e-22,8.186670812447985e-21,6.734689704207747e-21,7.29575125265979e-21,1.677115303087649e-22,2.647440403649076e-32,2.132778191915802e-31,4.7958338207071056e-24,1.4550515189304666e-41,5.99149011416236e-60,8.62080676363017e-22,1.6822920452258734e-58,3.47082578576713e-45,1.212480641444526e-38,1.757303208933441e-46,7.813056878051079e-46,1.9214917170028114e-45,5.909688699505091e-19,2.024569795774921e-24,1.0196335788075082e-36,3.004366057243542e-35,5.2591049489243545e-30,2.2244771789337286e-31,2.4987060582817134e-28,9.347257064876371e-54,9.502836320631985e-40,4.019085244440705e-34,5.6620489217723094e-61,2.8887025123019985e-41,1.7406536987791984e-55,8.798865298086315e-66
1.0022039227861147e-13,0.6841011752880805,3.76,0.0,0.9253468617522412,0.9999999999997032,3.558408109513585e-26,1.7736517856248036e-39,2.937604870370428e-26,8.172670637249102e-11,3.728246674111397e-13,3.8638478407813314e-18,1.964331138437355e-19,7.605233485557375e-14,5.744781334960309e-20,2.109562982314395e-33,2.706127845876417e-40,2.967699250263121e-13,5.555461441604736e-20,1.2905824436420829e-21,3.27468388455741e-20,1.6985034529731803e-20,2.918315838831332e-20,6.708495344369177e-22,2.1179645614038293e-31,1.706223234852779e-30,1.9181947401632252e-23,2.328117721688547e-40,1.92184778432071e-58,3.448335309674631e-21,5.383528949481549e-57,5.553203877521191e-44,1.0741644163114334e-37,2.81149520632071e-45,1.2501141894686206e-44,3.0755104215859314e-44,1.1819355131879742e-18,8.098263515081064e-24,8.158474796949847e-36,2.403465848963582e-34,4.2070222029581707e-29,1.782172185446492e-30,1.9987921603700764e-27,2.991010206662522e-52,1.515251668482115e-38,3.2150301122688986e-33,1.8184581703772876e-59,4.57631630332265e-40,5.570257737485439e-54,5.6311603306823154e-64
2.0044112438989204e-13,0.6841011752930066,3.76,0.0,0.9253468617110049,0.9999999999994065,2.8467331545697824e-25,1.4189205868029625e-38,1.1750321809878835e-25,1.6345368432323387e-10,7.4565568356404e-13,1.3091526375939775e-17,7.857390523403512e-19,1.5210519129448994e-13,2.2979217925916613e-19,1.6876851409700586e-32,4.3298921787397506e-39,5.935408621367234e-13,2.222187000094088e-19,5.162356401154733e-21,1.3098760079409025e-19,4.803257713540201e-20,1.1673296997512492e-19,2.6834049706619077e-21,1.6943761491919305e-30,1.364967528521226e-29,7.671610376827176e-23,3.725066687302711e-39,6.179107407363065e-57,1.379333683750373e-20,1.7228204885329e-55,8.884604926521484e-43,1.0260134349972016e-36,4.497722651370237e-44,2.0002301727085023e-43,4.924365952717471e-43,2.363850096456298e-18,3.2392681581073436e-23,6.528971503671518e-35,1.9227123717409287e-33,3.36516907397294e-28,1.4298689823851135e-29,1.5987432625429706e-26,9.570423616920466e-51,2.4202337429882554e-37,2.5716203582389283e-32,5.8612512579868055e-58,7.285632405225928e-39,1.7825587567625875e-52,3.6037362925067222e-62
