Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18)
0.0,0.4879519678844254,3.76,0.0,0.5303998317618682,1.0,0.0,0.0,0.0,0.0
1e-15,0.4879519678844254,3.76,0.0,0.5303998317618681,1.0,0.0,0.0,0.0,1.0371659050832323e-16
2.8e-15,0.4879519678844254,3.76,0.0,0.5303998317618681,1.0,0.0,0.0,0.0,2.90406453423305e-16
6.4e-15,0.4879519678844254,3.76,0.0,0.5303998317618679,1.0,0.0,0.0,0.0,6.637861792532684e-16
1.36e-14,0.48795196788442546,3.76,0.0,0.5303998317618676,1.0,0.0,0.0,0.0,1.4105456309131947e-15
2.8e-14,0.48795196788442546,3.76,0.0,0.5303998317618668,1.0,0.0,0.0,0.0,2.9040645342330454e-15
5.68e-14,0.4879519678844257,3.76,0.0,0.5303998317618653,1.0,0.0,0.0,0.0,5.891102340872739e-15
1.144e-13,0.48795196788442585,3.76,0.0,0.5303998317618623,1.0,0.0,0.0,0.0,1.1865177954152092e-14
2.296e-13,0.48795196788442646,3.76,0.0,0.5303998317618563,1.0,0.0,0.0,0.0,2.381332918071066e-14
4.600000000000001e-13,0.4879519678844276,3.76,0.0,0.5303998317618444,1.0,0.0,0.0,0.0,4.770963163382726e-14
9.208e-13,0.48795196788442985,3.76,0.0,0.5303998317618205,1.0,0.0,0.0,0.0,9.55022365400583e-14
1e-12,0.4879519678844342,3.76,0.0,0.5303998317618164,1.0,0.0,0.0,0.0,1.03716590508316e-13
1.8424000000000003e-12,0.4879519678844342,3.76,0.0,0.5303998317617727,1.0,0.0,0.0,0.0,1.910874463525118e-13
3.6856e-12,0.487951967884443,3.76,0.0,0.5303998317616772,1.0,0.0,0.0,0.0,3.822578659773844e-13
7.372e-12,0.4879519678844606,3.76,0.0,0.530399831761486,1.0,0.0,0.0,0.0,7.645987052269916e-13
1e-11,0.4879519678844959,3.76,0.0,0.5303998317613496,1.0,0.0,0.0,0.0,1.0371659050824717e-12
1.47448e-11,0.4879519678844959,3.76,0.0,0.5303998317611036,1.0,0.0,0.0,0.0,1.529280383725654e-12
2.9490400000000004e-11,0.48795196788456646,3.76,0.0,0.5303998317603389,1.0,0.0,0.0,0.0,3.0586437407207696e-12
5.89816e-11,0.48795196788470746,3.76,0.0,0.5303998317588096,1.0,0.0,0.0,0.0,6.117370454702145e-12
9.999999999999999e-11,0.48795196788498957,3.76,0.0,0.5303998317566824,1.0,0.0,0.0,0.0,1.0371659050759412e-11
1.17964e-10,0.48795196788498957,3.76,0.0,0.5303998317557508,1.0,0.0,0.0,0.0,1.2234823882629325e-11
2.359288e-10,0.48795196788555384,3.76,0.0,0.5303998317496333,1.0,0.0,0.0,0.0,2.446973073834025e-11
4.718584e-10,0.48795196788668227,3.76,0.0,0.5303998317373985,1.0,0.0,0.0,0.0,4.893954444917906e-11
9.437176e-10,0.48795196788893924,3.76,0.0,0.5303998317129287,1.0,0.0,0.0,0.0,9.787917186845014e-11
9.999999999999999e-10,0.48795196789345313,3.76,0.0,0.53039983171001,1.0,0.0,0.0,0.0,1.0371659050090396e-10
1.887436e-09,0.48795196789345313,3.76,0.0,0.5303998316639891,1.0,0.0,0.0,0.0,1.957584266967712e-10
3.7748728e-09,0.48795196790248085,3.76,0.0,0.5303998315661098,1.0,0.0,0.0,0.0,3.9151693630776966e-10
7.5497464e-09,0.48795196792053636,3.76,0.0,0.5303998313703513,1.0,0.0,0.0,0.0,7.830339553091171e-10
9.999999999999999e-09,0.48795196795664736,3.76,0.0,0.5303998312432853,1.0,0.0,0.0,0.0,1.0371659039430672e-09
1.50994936e-08,0.48795196795664736,3.76,0.0,0.5303998309788343,1.0,0.0,0.0,0.0,1.5660679921246164e-09
3.0198988e-08,0.4879519680288693,3.76,0.0,0.5303998301958002,1.0,0.0,0.0,0.0,3.13213605857005e-09
6.03979768e-08,0.48795196817331316,3.76,0.0,0.5303998286297321,1.0,0.0,0.0,0.0,6.264272143224401e-09
