Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),H(6),C2H4(29),HO2(12)
0.0,0.1645786305226181,3.76,0.0,0.6317364859580353,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.770968273224742e-18,0.1645786305226181,3.76,0.0,0.6317364859580352,1.0,0.0,0.0,2.384212053146313e-64,1.801135161325063e-16,5.532953797242249e-18,7.777228597491504e-28,1.973389565670164e-19,2.5551576317410124e-28,5.3356148404085416e-18
2.455871116502928e-17,0.1645786305226181,3.76,0.0,0.631736485958035,1.0,0.0,0.0,7.496344148346346e-63,5.043178451684977e-16,1.5492270633970246e-17,4.697446072865286e-27,5.525490791287235e-19,1.5433152097122157e-27,1.493972155323071e-17
5.613419694863836e-17,0.1645786305226181,3.76,0.0,0.6317364859580347,1.0,0.0,0.0,1.6723931332882068e-61,1.152726503230401e-15,3.5410904314194037e-17,2.2616180761211537e-26,1.262969327216448e-18,7.430398395212528e-27,3.4147934979222205e-17
1.1928516851585651e-16,0.16457863052261812,3.76,0.0,0.631736485958034,1.0,0.0,0.0,3.1322072177652973e-60,2.449543819313889e-15,7.524817170171279e-17,9.877080318510658e-26,2.6838098352491367e-18,3.245050194491071e-26,7.256436183259385e-17
2.455871116502928e-16,0.16457863052261817,3.76,0.0,0.6317364859580327,0.9999999999999999,0.0,0.0,5.410108927668678e-59,5.043178451319591e-15,1.5492270658503494e-16,4.123486602116797e-25,5.5254908987434745e-18,1.354744578311071e-25,1.493972155448917e-16
4.981909979191654e-16,0.16457863052261826,3.76,0.0,0.6317364859580299,0.9999999999999998,0.0,0.0,8.988976512410429e-58,1.0230447714685896e-14,3.1427177678481797e-16,1.6845788228997416e-24,1.1208853215447993e-17,5.534573653267786e-25,3.030629229917058e-16
1.0033987704569105e-15,0.16457863052261842,3.76,0.0,0.6317364859580243,0.9999999999999994,0.0,0.0,1.4654299157310803e-56,2.0604986238838122e-14,6.329699189169384e-16,6.809336942173792e-24,2.2575578607720406e-17,2.2371631678198625e-24,6.103943379742073e-16
2.013814315532401e-15,0.1645786305226187,3.76,0.0,0.6317364859580133,0.9999999999999988,0.0,0.0,2.3666728217802148e-55,4.135406327682102e-14,1.270366210111398e-15,2.7380044351179744e-23,4.5309032427718757e-17,8.995534759682017e-24,1.2250571682947045e-15
4.034645405683382e-15,0.16457863052261937,3.76,0.0,0.6317364859579914,0.9999999999999976,0.0,0.0,3.8043561328368897e-54,8.285221731150059e-14,2.545158820221191e-15,1.09806223809952e-22,9.077595220952977e-17,3.607611818586242e-23,2.454382830357674e-15
8.076307585985344e-15,0.16457863052262064,3.76,0.0,0.6317364859579473,0.9999999999999951,0.0,0.0,6.101147513257487e-53,1.658485252157149e-13,5.094744151324269e-15,4.397976409619701e-22,1.817098403404105e-16,1.444926483676648e-22,4.9130341601715135e-15
1.6159631946589267e-14,0.16457863052262317,3.76,0.0,0.6317364859578593,0.9999999999999902,0.0,0.0,9.773182982015603e-52,3.318411403635642e-13,1.0193915257064375e-14,1.7603367055753583e-21,3.6357781087121866e-16,5.783471809259722e-22,9.830336842550809e-15
3.232628066779711e-14,0.16457863052262825,3.76,0.0,0.6317364859576831,0.9999999999999803,0.0,0.0,1.564614403107362e-50,6.638263680169451e-13,2.0392259242680198e-14,7.043639735011199e-21,7.273145290091186e-16,2.3141422858368737e-21,1.9664942298315916e-14
6.46595781102128e-14,0.1645786305226384,3.76,0.0,0.6317364859573307,0.9999999999999607,0.0,0.0,2.504097059056337e-49,1.3277968127544374e-12,4.078895431045293e-14,2.817914522649242e-20,1.4547910735908257e-15,9.258077862959398e-21,3.93341535738726e-14
1.2932617299504418e-13,0.16457863052265873,3.76,0.0,0.6317364859566259,0.9999999999999214,0.0,0.0,4.0070935617309186e-48,2.655737659952344e-12,8.158237283215174e-14,1.1272575259407918e-19,2.9097565959840456e-15,3.70353401513922e-20,7.867257758109541e-14
2.5865936276470695e-13,0.16457863052269936,3.76,0.0,0.6317364859552164,0.9999999999998427,0.0,0.0,6.411674630290101e-47,5.311619185239857e-12,1.631693234200746e-13,4.5092134210124e-19,5.819737373739141e-15,1.4814750658482776e-19,1.5734943142000652e-13
5.173257423040325e-13,0.16457863052278054,3.76,0.0,0.6317364859523973,0.9999999999996854,0.0,0.0,1.0258601099723903e-45,1.0623381559381763e-11,3.2634367877331674e-13,1.803721934071444e-18,1.16398978615194e-14,5.926030254355703e-19,3.1470316239591415e-13
1e-12,0.16457863052294308,3.76,0.0,0.6317364859471368,0.9999999999993917,0.0,0.0,1.5381939672635938e-44,2.053518498961064e-11,6.3083048306357e-13,6.8524363443666756e-18,2.2501122609201253e-14,2.251338026525445e-18,6.083270106940774e-13
1.0346585013826836e-12,0.16457863052294308,3.76,0.0,0.6317364859467591,0.9999999999993706,0.0,0.0,1.6412780235270418e-44,2.124690360193378e-11,6.526942061837491e-13,7.21496008077901e-18,2.3281014569323727e-14,2.3704437555179183e-18,6.294107175418557e-13
2.0693240195399858e-12,0.16457863052326807,3.76,0.0,0.6317364859354829,0.9999999999987412,0.0,0.0,2.625634839224052e-43,4.249393686411605e-11,1.3054025277753068e-12,2.885997871281463e-17,4.6566430939215455e-14,9.481883572523399e-18,1.2588262006245236e-12
4.13865505585459e-12,0.16457863052391805,3.76,0.0,0.6317364859129304,0.9999999999974823,0.0,0.0,4.199645068346119e-42,8.498796009683701e-11,2.6108482376804006e-12,1.1544014123182731e-16,9.314999569858924e-14,3.792811332850522e-17,2.517658658067237e-12
6.2079860921691945e-12,0.16457863052456798,3.76,0.0,0.6317364858903779,0.9999999999962235,0.0,0.0,1.6008380706966006e-41,1.2748194003795758e-10,3.916323013946685e-12,2.4531038490734835e-16,1.397462926800085e-13,8.059800989750605e-17,3.7764926069015646e-12
1e-11,0.16457863052586794,3.76,0.0,0.6317364858490504,0.9999999999939166,0.0,0.0,1.2189865603134137e-40,2.0535127644860213e-10,6.3086898492502845e-12,6.419517470471101e-16,2.2517987855935033e-13,2.1092144520868003e-16,6.083289861834305e-12
1.0346648164798404e-11,0.16457863052586794,3.76,0.0,0.6317364858452724,0.9999999999937058,0.0,0.0,1.3157864943415837e-40,2.124697267541446e-10,6.527388829037772e-12,6.782108440891726e-16,2.3298981715057297e-13,2.2283500375010556e-16,6.2941664710506104e-12
1.4071444030164692e-11,0.1645786305270379,3.76,0.0,0.6317364858046776,0.99999999999144,0.0,0.0,3.836916534492543e-40,2.889585949230012e-10,8.87744197235373e-12,1.2076920505503215e-15,3.169501297719371e-13,3.9680918572043785e-16,8.560077768902683e-12
1.779623989553098e-11,0.16457863052820784,3.76,0.0,0.6317364857640824,0.9999999999891739,0.0,0.0,8.77697163059538e-40,3.6544731503658144e-10,1.1227594514690946e-11,1.8852233219413256e-15,4.009539902824477e-13,6.194342296151482e-16,1.0825994169545788e-11
2.1521035760897267e-11,0.1645786305293778,3.76,0.0,0.6317364857234872,0.9999999999869079,0.0,0.0,1.7353679452876298e-39,4.419358952965064e-10,1.3577840947882207e-11,2.7026033200786175e-15,4.849989875439808e-13,8.880169745464983e-16,1.309191539096724e-11
2.8970627491629845e-11,0.16457863053171773,3.76,0.0,0.6317364856422965,0.9999999999823761,0.0,0.0,4.853346757055702e-39,5.949127368833692e-10,1.82785479246931e-11,4.656285044748233e-15,6.531827970061559e-13,1.5299933729966838e-15,1.7623768829388187e-11
3.642021922236242e-11,0.16457863053405766,3.76,0.0,0.6317364855611052,0.9999999999778443,0.0,0.0,1.0865267772610088e-38,7.478890615162605e-10,2.2979601942980134e-11,7.126902471810284e-15,8.215186743748023e-13,2.3418633632608058e-15,2.2155640092860043e-11
4.3869810953094995e-11,0.1645786305363976,3.76,0.0,0.6317364854799133,0.9999999999733125,0.0,0.0,2.1463184158022554e-38,9.008648341330737e-10,2.7681026527534584e-11,1.0149516432622224e-14,9.90016942060567e-13,3.3351629424723995e-15,2.6687530394926332e-11
5.876899441456015e-11,0.16457863054107746,3.76,0.0,0.631736485317528,0.9999999999642485,0.0,0.0,6.843160648539099e-38,1.2068146922237738e-09,3.7085008185131834e-11,1.788182731963949e-14,1.3275098502221192e-12,5.876354508097388e-15,3.575136921660626e-11
7.36681778760253e-11,0.16457863054575733,3.76,0.0,0.6317364851551405,0.9999999999551845,0.0,0.0,1.6492489200667232e-37,1.5127623078137222e-09,4.649049503285597e-11,2.7856559043922332e-14,1.6656625745301932e-12,9.154774033372303e-15,4.4815285447348606e-11
9.999999999999999e-11,0.16457863055511715,3.76,0.0,0.631736484868142,0.9999999999391654,0.0,0.0,5.786146193885397e-37,2.053468209997124e-09,6.311680721556448e-11,5.0972427716697956e-14,2.264906028145848e-12,1.675334696551523e-14,6.083443545363296e-11
1.0346654479895561e-10,0.16457863055511715,3.76,0.0,0.6317364848303586,0.9999999999370566,0.0,0.0,6.562110499545189e-37,2.1246508071001994e-09,6.530598660746524e-11,5.4537674291196753e-14,2.343949177591325e-12,1.7925377467689726e-14,6.294335051051809e-11
