Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),C2H4(29),H(6),H2(9),C2H3(28),C2H2(22),HO2(12),CH3O2(36),C2H5O2(40),OH(8),O(7),CH2O(19),H2O2(13),HCO(16),CO(14),C2H5O(43),CH2CHO(34),C2H(21),CH3O(26),HCCO(20),C3H6(255),C3H6(60),C3H6(51),C3H5(214),CH2CO(27),CH2(S)(24),CH2(T)(17),C1OO1(799),CH2O2(129),CHO2(157),CO2(15),C2H5O(91),C2H2O(94),C3H7(48),C2H4(47),C2H2O(788),C3H7(196),C#CC(211),C3H4(1113),C3H4(430),C4H7(54),C4H7(1650),C2H2O(167),C3H3(1111),C4H7(64),H2CC(23),C4H7(1651)
0.0,0.5699252323132952,3.76,0.0,0.8172318138273229,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.324865875971371e-17,0.5699252323132952,3.76,0.0,0.8172318138273228,1.0,4.846672975441373e-38,1.8340577758638527e-54,2.5607777499498197e-37,3.7405452954789613e-16,6.547320731301992e-18,1.0143917084361157e-24,6.051278421026205e-28,1.9894014619711037e-19,6.945935724402527e-29,1.0883761188021555e-46,2.83330384740368e-54,6.348380583073447e-18,5.058833139692006e-28,4.77626941778602e-29,5.616374200883512e-29,5.2195063101391456e-27,5.204659278669333e-29,3.383022561513658e-30,3.325221991308316e-44,1.7993308630530197e-42,6.37545662259148e-32,1.4468731138933323e-56,1.0137155164548854e-77,3.127082657907156e-30,1.9577694230143912e-78,1.9835324075773542e-61,2.160252336861806e-51,1.2766266687201579e-63,4.328782045273901e-62,1.3053104691041675e-60,1.0112519839009437e-24,7.693490095638725e-33,9.382373822406628e-48,3.545251073847029e-46,4.970970361589104e-41,2.086479554662131e-42,1.2284781119944104e-38,1.674665040697751e-72,1.290327019836565e-54,1.1000327203882767e-46,9.574169103708223e-81,1.1067466015763177e-55,1.0065297577039775e-75,6.699618576692103e-81,3.513751488669292e-74,6.19450535034927e-78,5.116535802647009e-85,1.1541108919054378e-75,5.765083883568896e-78,2.8015488908797837e-84,1.196389067708393e-44,2.3145836363234197e-84
1.7709624452719838e-16,0.5699252323132952,3.76,0.0,0.8172318138273224,1.0,5.753970160776127e-37,2.1773933576862567e-53,1.5467097422583586e-36,1.0473526827221182e-15,1.8332498055938695e-17,2.8504694533565693e-24,3.6549721677582844e-27,5.5703241089378e-19,4.195345187229301e-28,1.2921201307261884e-45,6.3379873687752035e-53,1.777546563277504e-17,3.0555352150262396e-27,2.8848667267748553e-28,3.392290015351794e-28,1.4638295522251157e-26,3.1436142046193113e-28,2.0433456271695982e-29,3.947703549815491e-43,2.136165567152092e-41,3.8507749557262175e-31,3.2365973396903622e-55,4.2035212081715386e-76,1.8887579231672204e-29,1.1631073365268887e-76,6.236528135154028e-60,3.26482213655986e-50,4.013902794380996e-62,1.361038042813272e-60,2.9199280845613236e-59,2.8315055171643126e-24,4.64686793395112e-32,1.1138764529005285e-46,4.208921882830283e-45,5.9015351265895e-40,2.477076378484924e-41,1.4584488919341722e-37,6.910551663652662e-71,2.366038273657459e-53,1.3059586149172323e-45,3.9508500337846025e-79,1.7666724219488403e-54,5.7971211968728955e-74,4.075704582809089e-79,2.0237405298913482e-72,2.9592023045549174e-76,5.665102442706693e-83,4.762564851116804e-74,3.5071818487541584e-76,3.168240462138513e-82,1.420353099838717e-43,2.5866817441126574e-82
4.0479141606216774e-16,0.5699252323132953,3.76,0.0,0.8172318138273217,1.0,5.6492820211533565e-36,2.137777638572999e-52,7.4467414161841e-36,2.3939489890225993e-15,4.190285273838455e-17,6.56331562213781e-24,1.7597117670221035e-26,1.273216946454603e-18,2.0198781231915157e-27,1.26861121152303e-44,1.2522794973776129e-51,4.062963573285577e-17,1.471108675000838e-26,1.3889391443403213e-27,1.6332416146441477e-27,3.357058536215396e-26,1.5135149186915955e-27,9.837829609111907e-29,3.87587875843829e-42,2.097299947424336e-40,1.853981519371603e-30,6.394971001685246e-54,1.6664178282901348e-74,9.093556336062716e-29,5.217961506450722e-75,1.3913339307056799e-58,3.512700075802728e-49,8.954785045734524e-61,3.0364008283960673e-59,5.769289206479451e-58,6.472012432657737e-24,2.237266794088317e-31,1.0936126941224362e-45,4.132344056346962e-44,5.7941603047295656e-39,2.4320249075942016e-40,1.4319130872017782e-36,2.7337449865193967e-69,3.470775893556203e-52,1.2821974236288772e-44,1.5629540105905035e-77,2.1099337752037803e-53,2.599687763336403e-72,1.83996750468607e-77,9.07530144874598e-71,1.5408592710897312e-74,5.190946162503271e-81,1.8840427668308837e-72,1.5833094977976667e-74,2.875413262700911e-80,1.3945110931523726e-42,2.3596817501133878e-80
8.601817591321065e-16,0.5699252323132954,3.76,0.0,0.8172318138273202,1.0,4.996725961314624e-35,1.890839984050885e-51,3.2521874524106435e-35,5.08714160143171e-15,8.90435622359661e-17,1.4151770675450026e-23,7.685123617309335e-26,2.705586042246184e-18,8.821338520188906e-27,1.1220722588738513e-43,2.2283644477136456e-50,8.633797593572747e-17,6.424718066519012e-26,6.065862136285758e-27,7.132795204403324e-27,7.181401070653534e-26,6.609917288607107e-27,4.296438653360193e-28,3.428170875429205e-41,1.8550379202213543e-39,8.096816823763367e-30,1.1379509342467867e-52,5.953292378638101e-73,3.9713949413060607e-28,1.9653883556304477e-73,2.605812068583377e-57,3.2297958422609686e-48,1.677130073967163e-59,5.6868424819440164e-58,1.0266153907658196e-56,1.375302565951138e-23,9.770731122312553e-31,9.67291934496501e-45,3.6550107968999745e-43,5.12486583163261e-38,2.151128072868699e-39,1.2665096940518576e-35,9.7565377763182e-68,4.894874892677986e-51,1.1340882313756481e-43,5.578337029810923e-76,2.325128418642344e-52,9.780788390986341e-71,6.947364427506461e-76,3.414355117572203e-69,6.149238676277191e-73,3.9559071830542034e-79,6.72406902787765e-71,5.978275135415754e-73,2.1818502196149685e-78,1.2334292644907305e-41,1.7947964937492644e-78
1.7709624452719839e-15,0.5699252323132956,3.76,0.0,0.8172318138273175,0.9999999999999999,4.200049226803285e-34,1.5893647234058914e-50,1.3577241020003546e-34,1.0473526825482523e-14,1.833249817618885e-16,2.9979731644980657e-23,3.208387839173541e-25,5.5703243325090864e-18,3.6827352562561485e-26,9.431693583742017e-43,3.758462315854566e-49,1.7775465635231176e-16,2.6821933118638504e-25,2.5323780234379078e-26,2.977801573661562e-26,1.4981624406848648e-25,2.7595103537778294e-26,1.7936785623285954e-27,2.8815841945584783e-40,1.5592709237473272e-38,3.380255323083701e-29,1.919320610038741e-51,2.0124939710423236e-71,1.6579791944097967e-27,6.811312676588917e-72,4.500885371025591e-56,2.764903245671524e-47,2.89681942399312e-58,9.822605674111574e-57,1.731540965095858e-55,2.8315049696686256e-23,4.079087279471171e-30,8.130737009103939e-44,3.072255588369297e-42,4.30775290714181e-37,1.8082025285879623e-38,1.0645756656851486e-34,3.29651095173713e-66,7.105806383285833e-50,9.532680298468246e-43,1.8849732496096646e-74,2.649531756202081e-51,3.3868545154894036e-69,2.4103615325949917e-74,1.182282735699805e-67,2.1855887049777094e-71,2.7577326460997898e-77,2.2719343477613736e-69,2.074141178220173e-71,1.517960421340224e-76,1.036771607968908e-40,1.2500969924960767e-76
3.592523817551739e-15,0.5699252323132962,3.76,0.0,0.8172318138273119,0.9999999999999997,3.4434540806155375e-33,1.30305687329102e-49,5.546744827506658e-34,2.1246297270514508e-14,3.7188782293677055e-16,6.423985703492465e-23,1.3107311283337717e-24,1.1299801307753857e-17,1.504517576099131e-25,7.732672482600889e-42,6.173285541816289e-48,3.605880172288437e-16,1.0957634774717933e-24,1.0345590424516266e-25,1.216529094000477e-25,3.118822416042239e-25,1.1273500219760453e-25,7.327762190953334e-27,2.3624968386718224e-39,1.2783841452514742e-37,1.3809394340934674e-28,3.1524899661252966e-50,6.618443577431276e-70,6.773385859452765e-27,2.2672549978425725e-70,7.478266293149334e-55,2.2889613166702365e-46,4.8130909485712825e-57,1.6320404810574258e-55,2.8440745572504993e-54,5.74390881049096e-23,1.6664397387212187e-29,6.66617679122496e-43,2.518818752869265e-41,3.5317468793560646e-36,1.482555295041859e-37,8.728000959145644e-34,1.0838189295138792e-64,1.0701440552005608e-48,7.815443264263709e-42,6.198558300358949e-73,3.2827935007848914e-50,1.126879663715636e-67,8.027497449040305e-73,3.93352892784208e-66,7.362022177800993e-70,1.8411355657720388e-75,7.469755653804289e-68,6.907754880051251e-70,1.012451964365167e-74,8.500079893366248e-40,8.342545714012929e-75
7.235646562111248e-15,0.5699252323132974,3.76,0.0,0.8172318138273008,0.9999999999999993,2.788598340297644e-32,1.0552486693571121e-48,2.242082019514937e-33,4.2791838148299934e-14,7.490135137786834e-16,1.4317692161240741e-22,5.2981848606688394e-24,2.2758756837119264e-17,6.081501073078051e-25,6.262119054222507e-41,1.0007161570713652e-46,7.262547391553617e-16,4.4292511068522246e-24,4.181852983874147e-25,4.917405006287964e-25,6.60260360875695e-25,4.556929051561759e-25,2.961998639178903e-26,1.913211220959527e-38,1.035268033576288e-36,5.581936266299528e-28,5.110322405695138e-49,2.1470679808508887e-68,2.737910752369834e-26,7.398788965898428e-69,1.2191390377109898e-53,1.8660389483503753e-45,7.846495706916462e-56,2.6606374425897483e-54,4.610410610337919e-53,1.1568712625687643e-22,6.736011723080888e-29,5.3986166756155847e-42,2.0398014974115107e-40,2.860085260408394e-35,1.2007439060036844e-36,7.068107145330991e-33,3.5153293747391594e-63,1.6551736661943454e-47,6.329109736990808e-41,2.0112521136878128e-71,4.445750500440439e-49,3.6767889177938044e-66,2.6203004980536704e-71,1.2833157671444198e-64,2.416524154281138e-68,1.2033379801859017e-73,2.422879935715367e-66,2.254805439382665e-68,6.614104597015151e-73,6.883584850693473e-39,5.4514888694790353e-73
1.4521892051230266e-14,0.5699252323132996,3.76,0.0,0.8172318138272785,0.9999999999999986,2.2445064634223948e-31,8.493550150124147e-48,9.01530575464598e-33,8.58829198547566e-14,1.5032649294311045e-15,3.4271830591026163e-22,2.1303768881673098e-23,4.567667421135358e-17,2.4453452191384475e-24,5.04029884232002e-40,1.611622418336907e-45,1.457588183702213e-15,1.780982335955191e-23,1.681504630053041e-24,1.97726684674067e-24,1.4540011038398625e-24,1.8323211415728195e-24,1.1910066260802815e-25,1.5399188831456142e-37,8.332728273442922e-36,2.2444384723589462e-27,8.230017719610526e-48,6.91834035479071e-67,1.1009017839859926e-25,2.390855721075863e-67,1.968889907002842e-52,1.5125992371900682e-44,1.2671927174066646e-54,4.296935146344468e-53,7.425063281069565e-52,2.3218304790309734e-22,2.708517357113831e-28,4.345556273603171e-41,1.641804498705971e-39,2.302021406904464e-34,9.666759522367411e-36,5.688940100242097e-32,1.1325028744978368e-61,2.6011514070047204e-46,5.094155601577744e-40,6.484442891035704e-70,6.450886283476285e-48,1.1881894835185175e-64,8.468304328865652e-70,4.146394392124345e-63,7.83241188851934e-67,7.782362745150589e-72,7.806157143510265e-65,7.287136356321458e-67,4.276566550421787e-71,5.540507581718081e-38,3.5253374863276475e-71
2.90943830294683e-14,0.569925232313304,3.76,0.0,0.8172318138272339,0.9999999999999971,1.8010749488960914e-30,6.815524347282331e-47,3.6155348631034874e-32,1.720650830712132e-13,3.0117678966103282e-15,9.084700946976045e-22,8.543764620761957e-23,9.151253422183666e-17,9.806931124716028e-24,4.044523413817397e-39,2.587010573636631e-44,2.920255075571179e-15,7.142535301430976e-23,6.743585138095915e-24,7.929723777956663e-24,3.42942066842302e-24,7.348427399954075e-24,4.7764692662056055e-25,1.2356879982938114e-36,6.686474378273523e-35,9.000933032984384e-27,1.32110044093984e-46,2.221952552849677e-65,4.415107840122225e-25,7.688146159458326e-66,3.164859472328086e-51,1.227165235725021e-43,2.0369160764085664e-53,6.907193163839847e-52,1.1919317620214226e-50,4.651742725663411e-22,1.0862339300992323e-27,3.487484442738763e-40,1.3174363594466222e-38,1.8471886347162777e-33,7.760380706790511e-35,4.56487582612783e-31,3.6361822824965357e-60,4.123542345414032e-45,4.0876386944400916e-39,2.085181892417003e-68,9.784726965373722e-47,3.821955037392258e-63,2.7232449683456726e-68,1.3332471732770032e-61,2.523141450026988e-65,5.006711998103524e-70,2.5067306731513726e-63,2.3434305004174316e-65,2.751002108028498e-69,4.4459078204240945e-37,2.267934921154211e-69
