Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),H(6),C2H4(29),HO2(12),H2(9),C2H5O2(40),CH3O2(36),C2H3(28),H2O2(13),C2H2(22),OH(8),CH2O(19),HCO(16),CO(14),O(7),CH2CHO(34),C2H5O(43),C2H(21),HCCO(20),C2H5O(101),C3H6(221),C3H6(74),CH3O(26),CH2CO(27),C3H6(55),C3H7(218),C3H7(49),C2H2O(140),CO2(15),C#CC(416),C3H5(219),C2H4(47),C3H4(2022),C3H4(2032),S(1627),CH2(S)(24),CH2(T)(17),S(3168),CH2O2(165),CHO2(212),C2H2O(189),CH3CO(33),C3H3(2030),C4H7(59),C4H7(2027)
0.0,0.07257050989442147,3.76,0.0,0.6611723046702175,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.512091918060387e-19,0.07257050989442147,3.76,0.0,0.6611723046702174,1.0,5.715383965699662e-40,1.382980190117543e-53,3.6449743638208716e-36,3.6726710506191205e-16,7.978997035210508e-18,1.7755915514181856e-23,8.768671171369577e-19,9.410682175019719e-29,7.102129917709392e-18,2.8530411123046055e-29,7.823777223756452e-30,1.0704079260094296e-28,3.436251638869844e-47,6.601695459755879e-31,1.5704030758047731e-58,1.0194723278391621e-29,7.742034309921195e-30,3.393535279713275e-45,1.0727141630422288e-43,2.311303281830906e-25,2.981591988563722e-58,2.2751318656351509e-32,4.676516175069305e-81,3.807796287289651e-79,2.176180537470854e-40,5.290417907875119e-62,2.152471544876289e-51,8.758448268109259e-31,3.7975489275331835e-62,4.806433246571944e-64,8.00243249490535e-55,9.084158707106932e-54,2.6011320192622483e-74,1.2385887852329293e-43,1.093170831210891e-77,1.4751066096682385e-63,7.860787446566199e-47,2.2562389558458917e-76,5.6501398686479074e-92,1.3754027529671297e-81,1.7755416120308248e-23,7.688272085637982e-33,5.055441259836818e-48,1.5221170441583899e-46,2.950132914361473e-42,4.1387905898031104e-77,4.3755438496081597e-72,7.099355936253809e-92,7.333339011764424e-79,2.845742190076343e-88
1.2633857370569082e-18,0.07257050989442147,3.76,0.0,0.6611723046702169,1.0,6.785304048695169e-39,1.641874080768031e-52,2.2015645144515407e-35,1.0283478941713604e-15,2.2341191699971676e-17,4.9718181441146405e-23,2.4552279281595117e-18,5.684052034018213e-28,1.988596376961264e-17,1.723236831935079e-28,4.7255614429659667e-29,6.465263872669174e-28,4.079517946802422e-46,3.9874240576960124e-30,3.512928865386896e-57,6.15761286002514e-29,4.6761887232878224e-29,4.028805083987906e-44,1.2735262939835522e-42,6.471757769801412e-25,6.669704474829897e-57,1.374179631470553e-31,1.9297776340866e-79,2.307720685794257e-77,2.5835615053169054e-39,1.6633422476669566e-60,3.252819571773085e-50,5.290102753158027e-30,8.494965264838878e-61,1.5111879844303126e-62,1.2097319043700163e-53,1.3743634645441807e-52,1.0733647912345369e-72,1.4704527833368105e-42,6.296328342255956e-76,4.6379442364934345e-62,9.332326755424146e-46,1.29947069619453e-74,5.923142680886719e-90,5.675641430933946e-80,4.971516510214984e-23,4.643716335106424e-32,6.001820024989053e-47,1.807057350454993e-45,3.5023977748550823e-41,1.708209686838508e-75,2.587033460891748e-70,7.851519060278067e-90,3.503224066052444e-77,2.3260170486684278e-86
2.8877388275586476e-18,0.0725705098944215,3.76,0.0,0.6611723046702163,1.0,6.66185184076548e-38,1.6120017066413898e-51,1.059958543054711e-34,2.3505094723822847e-15,5.106558103502301e-17,1.136491853008243e-22,5.611949550908745e-18,2.7366263769551866e-27,4.545363147352449e-17,8.296643556128256e-28,2.275154416393981e-28,3.112746248193749e-27,4.005294913706943e-45,1.919773039702197e-29,6.9409554627679e-56,2.96462552917118e-28,2.2513835774682167e-28,3.955504721760558e-43,1.2503556827754962e-41,1.4793101068441895e-24,1.3178214282298496e-55,6.616083234670849e-31,7.63400953275457e-78,1.0407848751891496e-75,2.536555945293701e-38,3.7108008496742706e-59,3.49924503248949e-49,2.546956755196181e-29,1.6784620772530812e-59,3.3713619044854474e-61,1.302273654759088e-52,1.481959335061052e-51,4.24612503439072e-71,1.4436996383430218e-41,2.8235488250604834e-74,1.034698539492504e-60,9.162533534185905e-45,5.827364255243731e-73,5.321649809223603e-88,2.245230332927869e-78,1.1363466292697997e-22,2.235749515574923e-31,5.8926228325286785e-46,1.7741796131243277e-44,3.4386748596473585e-40,6.758074348113975e-74,1.1590975212031912e-68,7.089948131072314e-88,1.8241215375566603e-75,2.476909695058932e-84
6.1364450085621256e-18,0.07257050989442151,3.76,0.0,0.6611723046702149,1.0,5.8923325452458186e-37,1.4257972505502416e-50,4.629117421960391e-34,4.9948326287722456e-15,1.0851435972724171e-16,2.415370810431751e-22,1.1925392799223703e-17,1.1951566367022713e-26,9.65889668817697e-17,3.6233622142248615e-27,9.936197071335276e-28,1.359418065368915e-26,3.542637996767572e-44,8.384153233943556e-29,1.2351059406060131e-54,1.2947298561644606e-27,9.832383575078969e-28,3.498599131398287e-42,1.1059254443605197e-40,3.1437524956520496e-24,2.3449930010062994e-54,2.8894172310739423e-30,2.72452457623157e-76,3.928295737254377e-74,2.2435548996280726e-37,6.949901123741866e-58,3.216427786680546e-48,1.1123229288408645e-28,2.986733920232262e-58,6.314176092234322e-60,1.1986701827328733e-51,1.368588974365926e-50,1.515411940437651e-69,1.276936649602173e-40,1.0622920866214753e-72,1.9378748852848445e-59,8.104156767495434e-44,2.1923989464363193e-71,4.013312779950316e-86,8.01308924295223e-77,2.414736580212279e-22,9.764105477163633e-31,5.211958771372879e-45,1.5692417593973227e-43,3.0414688921918115e-39,2.412003686516335e-72,4.363619239947898e-67,5.364661097918112e-86,7.279590442569634e-74,2.00519635117725e-82
1.2633857370569083e-17,0.07257050989442156,3.76,0.0,0.6611723046702122,0.9999999999999999,4.952860557285005e-36,1.1984684936972806e-49,1.9325653896149214e-33,1.0283478941424608e-14,2.2341191720014314e-16,4.974164246198538e-22,2.455227930711959e-17,4.98954369346836e-26,1.9885963769994605e-16,1.5126823991821133e-26,4.148166681483796e-27,5.675302817734452e-26,2.9778007031532064e-43,3.5002189328107933e-28,2.0831867003954845e-53,5.405242280481748e-27,4.104826592451365e-27,2.9407833757911106e-41,9.295969685351501e-40,6.47333218958664e-24,3.9551736015393512e-53,1.2062747007053473e-29,9.205558166659142e-75,1.3626720600996118e-72,1.885842895099021e-36,1.2004210236106977e-56,2.751753761107027e-47,4.64372926087034e-28,5.037564432642681e-57,1.0906158642744437e-58,1.0283230283136301e-50,1.1818350476341768e-49,5.120234354741199e-68,1.0733433204115122e-39,3.678385043011879e-71,3.347196164978213e-58,6.812031434039668e-43,7.59157965415788e-70,2.782796072276858e-84,2.7074563941779e-75,4.9715164598807495e-22,4.0763217953678634e-30,4.3809664139525147e-44,1.3190422249816293e-42,2.5565377325418545e-38,8.149773834469256e-71,1.5119220391509e-65,3.7267847319537973e-84,2.5872806264678923e-72,1.4357190225659507e-80
2.5628682094582995e-17,0.07257050989442163,3.76,0.0,0.6611723046702066,0.9999999999999997,4.06065432841832e-35,9.825768695135714e-49,7.895160117908633e-33,2.0860771566219113e-14,4.532070324998026e-16,1.0095893201411e-21,4.980605236797525e-17,2.0383914054556994e-25,4.034009793430425e-16,6.179801183073126e-26,1.6946614396139567e-26,2.318546379000945e-25,2.4413809389285014e-42,1.4299536434057924e-27,3.421640426202966e-52,2.2082178395352076e-26,1.67695560079321e-26,2.4110318852019086e-40,7.621397478861863e-39,1.3135271242729773e-23,6.4963846649852234e-52,4.928024810526688e-29,3.026589668126934e-73,4.5378917409036954e-71,1.5461276441730196e-35,1.994515999677457e-55,2.2752562665889988e-46,1.897114919452762e-27,8.274218406514018e-56,1.8120734865286393e-57,8.549268342500704e-50,9.953208697168603e-49,1.683420875641718e-66,8.799935480008322e-39,1.2238227450790364e-69,5.561415895279365e-57,5.5849138838545674e-42,2.5257660894204493e-68,1.852882625896425e-82,8.901620562612372e-74,1.0085076130351736e-21,1.6653104322803507e-29,3.591782629875238e-43,1.081430463787433e-41,2.0960038735596993e-37,2.6794940705926835e-69,5.032122578063628e-64,2.4838361150909717e-82,8.714674839334964e-71,9.706929509106573e-79
5.1618331542610825e-17,0.07257050989442175,3.76,0.0,0.6611723046701956,0.9999999999999992,3.2884231548688606e-34,7.957162077022146e-48,3.1913498883559577e-32,4.2015356813767217e-14,9.127972645145469e-16,2.0355919446549894e-21,1.0031359866994212e-16,8.239503986732899e-25,8.124836626562102e-16,2.497974449812523e-25,6.850092482932959e-26,9.371935146455997e-25,1.9770935997910002e-41,5.780101256734194e-27,5.546626629249993e-51,8.925969564959847e-26,6.778522665253692e-26,1.952516129370092e-39,6.172005087829909e-38,2.647026801009971e-23,1.053091968447011e-50,1.9919856611227403e-28,9.81669406010093e-72,1.4811836313211898e-69,1.2520937679365868e-34,3.251562629586015e-54,1.8502868804476065e-45,7.668441788463869e-27,1.3412876589995074e-54,2.9541354945316064e-56,7.028393865904614e-49,8.389091263398996e-48,5.460134092832491e-65,7.126445792869652e-38,3.992729875593355e-68,9.066511226326918e-56,4.522806358914335e-41,8.240324910124986e-67,1.209396064180742e-80,2.887281758548809e-72,2.0312195115829904e-21,6.731450799258629e-29,2.9087214129447066e-42,8.757703539754685e-41,1.697397924533718e-36,8.69092373788512e-68,1.642056566206715e-62,1.6220239910423684e-80,2.8602442824086256e-69,6.3833720818242264e-77
1.0359763043866647e-16,0.07257050989442206,3.76,0.0,0.6611723046701735,0.9999999999999984,2.6468090389027448e-33,6.404616035362618e-47,1.2832277025303342e-31,8.432452730069979e-14,1.8319777342057372e-15,4.094224527567073e-21,2.0132869199489808e-16,3.313068326582034e-24,1.6306490293904458e-15,1.0044245438757394e-24,2.754392052316836e-25,3.768413886122611e-24,1.591336961941387e-40,2.3241532936613063e-26,8.932671354093e-50,3.5890930993261574e-25,2.7256141544646526e-25,1.571554843583752e-38,4.967766337941747e-37,5.318473618907708e-23,1.6959721899996993e-49,8.009680623736572e-28,3.162593587397087e-70,4.786834246900278e-68,1.0077932143840974e-33,5.251278814429633e-53,1.492462562991515e-44,3.0834466851127215e-26,2.1601062880291473e-53,4.77093297757797e-55,5.791685853416431e-48,7.242462652554639e-47,1.7590541547595586e-63,5.73603167310498e-37,1.2900520717913235e-66,1.4642440154550974e-54,3.6403452916158482e-40,2.6624502719807183e-65,7.816381829932696e-79,9.302165275045811e-71,4.076643166493112e-21,2.7066865768284632e-28,2.341196418380192e-41,7.048960527341126e-40,1.3662129487235307e-35,2.799908412345653e-66,5.306024474252623e-61,1.048580782697912e-78,9.268796492449498e-68,4.140881646074271e-75
2.0755622823077777e-16,0.07257050989442261,3.76,0.0,0.6611723046701293,0.9999999999999968,2.1238975584417347e-32,5.1393005997847364e-46,5.146316611600166e-31,1.689428682419105e-13,3.670338696234928e-15,8.237999028918227e-21,4.0335888152889883e-16,1.3286885893248846e-23,3.2669797632905172e-15,4.028191693659636e-24,1.1046344003439703e-24,1.5113025011308508e-23,1.2769477405188202e-39,9.320894211650849e-26,1.4338916327391437e-48,1.439386855008761e-24,1.0930931850543581e-24,1.2610737850612735e-37,3.98631912906425e-36,1.0679157112320426e-22,2.7224110758210295e-48,3.212235271935006e-27,1.0154519998751864e-68,1.5393590948554637e-66,8.086893345484752e-33,8.441267966406535e-52,1.1990506607943698e-43,1.2366000063919884e-25,3.4674613849912065e-52,7.669124642076951e-54,4.849848844749115e-47,6.582812853927284e-46,5.64794896634425e-62,4.6028813890874554e-36,4.148085103666617e-65,2.353729694069577e-53,2.9211434361477355e-39,8.56094622118088e-64,5.027024462983353e-77,2.986988645716996e-69,8.167489907571384e-21,1.0855022295945491e-27,1.8786696991828253e-40,5.656344994281443e-39,1.0962989335229549e-34,8.9899609567516e-65,1.706206841127184e-59,6.744675483119717e-77,2.9847032484052626e-66,2.66806243282848e-73
