Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),H(6),C2H4(29),HO2(12),H2(9),C2H5O2(40),CH3O2(36),C2H3(28),H2O2(13),C2H2(22),OH(8),CH2O(19),HCO(16),CO(14),O(7),CH2CHO(34),C2H5O(43)
0.0,0.10711872978511779,3.76,0.0,0.5792434324791347,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.332929317477065e-22,0.10711872978511779,3.76,0.0,0.5792434324791346,1.0,2.481548064183406e-45,1.3198599905962005e-55,1.4796686642728118e-35,2.549399099347881e-16,1.921172213542521e-18,1.6800670743222365e-30,1.1907691102130455e-18,2.878866816457982e-31,7.304031033281815e-19,8.979078676977419e-32,6.342784832806924e-34,2.3888182939125213e-32,4.709262245679016e-50,4.1976245337425006e-34,2.663679455626808e-63,3.279197531432186e-32,2.2683783988260377e-32,9.068774508498193e-49,1.8663795819363277e-48,4.558774610615255e-24,4.33721977029106e-64,5.237680449479723e-35
1.4932202088935783e-21,0.10711872978511779,3.76,0.0,0.5792434324791343,1.0,2.946096151378194e-44,1.5669377810217344e-54,8.937198732203863e-35,7.138317478174008e-16,5.379282197923858e-18,1.0147605128906236e-29,3.334153508597126e-18,1.7388355571419168e-30,2.0451286893189158e-18,5.42336352089517e-31,3.8310420390156026e-33,1.442846249522637e-31,5.5908361380833065e-49,2.535365218380462e-33,5.9585443950723656e-62,1.9806353089850786e-31,1.3701005528909317e-31,1.0766449096487139e-47,2.2158105324809085e-47,1.2764568942638068e-23,9.702352445659299e-63,3.163558991472937e-34
3.413074763185322e-21,0.10711872978511779,3.76,0.0,0.5792434324791339,1.0,2.8924956748153724e-43,1.538428805594499e-53,4.302876475699454e-34,1.631615423582603e-15,1.2295502166705727e-17,4.885635052128955e-29,7.62092230536768e-18,8.371744702279245e-30,4.674579861300416e-18,2.6111160792662486e-30,1.8444818293805855e-32,6.9466835986897265e-31,5.489116073603235e-48,1.2206692144123071e-32,1.177307962411123e-60,9.535906421405362e-31,6.596444383786189e-31,1.0570563567099461e-46,2.1755155044896905e-46,2.917615773834509e-23,1.9170359606879116e-61,1.5231174746894792e-33
7.252783871768809e-21,0.10711872978511781,3.76,0.0,0.579243432479133,1.0,2.5583800663496845e-42,1.3607228570549144e-52,1.8791792036203936e-33,3.4671827751129155e-15,2.6127942104346255e-17,2.1336851843891287e-28,1.619445989891837e-17,3.656160856921721e-29,9.93348220526354e-18,1.1403429919773885e-29,8.055336737668225e-32,3.0337992332607545e-30,4.855061004887886e-47,5.330983157852847e-32,2.0949566158073467e-59,4.164580864919457e-30,2.8808405665091397e-30,9.349543767268562e-46,1.924226604505942e-45,6.199933585640476e-23,3.411275008715437e-60,6.651854170640594e-33
1.4932202088935782e-20,0.10711872978511786,3.76,0.0,0.5792434324791311,1.0,2.1504727577085808e-41,1.1437695521636562e-51,7.845203257919752e-33,7.13831747817317e-15,5.379282197993445e-17,8.907715628055493e-28,3.334153508605805e-17,1.5263751861040976e-28,2.0451286893190277e-17,4.7607075145447325e-29,3.3629445183573188e-31,1.2665514594250864e-29,4.080971314058758e-46,2.225580527790157e-31,3.5334505379221824e-58,1.7386305311658684e-29,1.2026942270576298e-29,7.858854888649236e-45,1.6174314881895687e-44,1.2764569419910648e-22,5.75362362502128e-59,2.7770181741353606e-32
3.029103852326973e-20,0.10711872978511792,3.76,0.0,0.5792434324791274,1.0,1.763087555727445e-40,9.377313843232714e-51,3.205021513515173e-32,1.4480586884292196e-14,1.0912258173233946e-16,3.6390924856640854e-27,6.763568546049068e-17,6.2357406792736905e-28,4.1486896269045735e-17,1.9449043577575889e-28,1.3738725659279263e-30,5.174275977284201e-29,3.34582684529774e-45,9.092222645066616e-31,5.803703119044477e-57,7.102873020987805e-29,4.913398346993698e-29,6.443164049707405e-44,1.3260692822612729e-43,2.589384193108397e-22,9.450351942554398e-58,1.1345025359277327e-31
6.100871139193763e-20,0.10711872978511808,3.76,0.0,0.5792434324791199,1.0,1.4277940388388287e-39,7.593991902906153e-50,1.2955209396286401e-31,2.9165125696524336e-14,2.1978210124206392e-16,1.4709793667879858e-26,1.3622398620996888e-16,2.5205860835420446e-27,8.355811502076452e-17,7.861614377548963e-28,5.5534125748159546e-30,2.0915250795474583e-28,2.7095373259529133e-44,3.6752217652683644e-30,9.408052855228372e-56,2.8710948402540333e-28,1.9860741703357902e-28,5.217841297728828e-43,1.073885774971502e-42,5.215239032396254e-22,1.531943407020087e-56,4.585840640935906e-31
1.224440571292734e-19,0.10711872978511837,3.76,0.0,0.579243432479105,0.9999999999999999,1.149212867750263e-38,6.1123053931129226e-49,5.2092327190100385e-31,5.853420332096496e-14,4.4110114028117044e-16,5.914743337828732e-26,2.734005877113772e-16,1.0135165783034106e-26,1.677005525242337e-16,3.161120564608476e-27,2.2330027715464632e-29,8.40993035603662e-28,2.1808713646878365e-43,1.4777905076015226e-29,1.515137909152839e-54,1.1544546077337838e-27,7.985916888206676e-28,4.1997726182924796e-42,8.643568931887704e-42,1.0466950059184728e-21,2.467148137959773e-55,1.8439463519511663e-30
2.45314748603945e-19,0.10711872978511897,3.76,0.0,0.5792434324790752,0.9999999999999997,9.221709554775152e-38,4.904740214319282e-48,2.0891353088259216e-30,1.1727235856975148e-13,8.83739218438014e-16,2.3720766218285485e-25,5.477537907240014e-16,4.064654785778654e-26,3.359854275312983e-16,1.2677507310066814e-26,8.955339848871693e-29,3.3727582159317085e-27,1.750011924228255e-42,5.926600893438519e-29,2.4321318973570157e-53,4.62987931946773e-27,3.2027098510350337e-27,3.3700530336533256e-41,6.935920496508407e-41,2.0970377505612713e-21,3.960319560433156e-54,7.395049592402313e-30
4.910561315532881e-19,0.10711872978512015,3.76,0.0,0.5792434324790156,0.9999999999999993,7.388589500972416e-37,3.92976084098753e-47,8.367438106212527e-30,2.3474866906694586e-13,1.7690153750662232e-15,9.50067917325793e-25,1.0964601967884808e-15,1.6279820273210437e-25,6.725551775459327e-16,5.077615476934796e-26,3.586807020067574e-28,1.3508625075826907e-26,1.4021391189058005e-41,2.3737316559848963e-28,3.897752702359172e-52,1.8543666600267317e-26,1.2827544650032313e-26,2.7001434234001904e-40,5.557176988355058e-40,4.197725396987288e-21,6.3468379648397605e-53,2.9618770710746446e-29
9.825388974519744e-19,0.10711872978512253,3.76,0.0,0.5792434324788963,0.9999999999999987,5.915364185965025e-36,3.1461983303497144e-46,3.349155858987052e-29,4.697012900598195e-13,3.5395676895807308e-15,3.802747617737216e-24,2.1938730090743626e-15,6.516170755539092e-25,1.3456946775772225e-15,2.03236945572246e-25,1.4356575569587089e-27,5.406970478551967e-26,1.122563857140097e-40,9.501112747150326e-28,6.24148273071089e-51,7.422299259169679e-26,5.1343608146363306e-26,2.1617565412975558e-39,4.449120717225458e-39,8.399109318400991e-21,1.0163210340896936e-51,1.1855227132518484e-28
