Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),H(6),C2H4(29),HO2(12),H2(9),C2H5O2(40),CH3O2(36),C2H3(28),H2O2(13),C2H2(22),OH(8),CH2O(19),HCO(16),CO(14),O(7),CH2CHO(34),C2H5O(43)
1.965504429249347e-18,0.10711872978512728,3.76,0.0,0.5792434324786578,0.9999999999999973,4.7340891513588523e-35,2.517915169870837e-45,1.3400985907062738e-28,9.396065320395074e-13,7.0806723236421e-15,1.5215943778984945e-23,4.3886986342738164e-15,2.607317074881537e-24,2.691973677647885e-15,8.13212510802408e-25,5.744500258763914e-27,2.1634924810808234e-25,8.98392258033048e-40,3.801682676092463e-27,9.99043713998813e-50,2.969886502979052e-25,2.0544131073286921e-25,1.7300622346314754e-38,3.560648802439231e-38,1.6801911675475084e-20,1.6267755555366964e-50,4.743635046889245e-28
3.931435492844093e-18,0.10711872978513683,3.76,0.0,0.5792434324781809,0.9999999999999947,3.787990595916898e-34,2.0147151940445485e-44,5.361266977491185e-28,1.8794170159746452e-12,1.4162881611894255e-14,6.087368314256148e-23,8.77834988718349e-15,1.0430966099403594e-23,5.38453167782154e-15,3.2533795764563796e-24,2.29817416318821e-26,8.655378699144577e-25,7.18850307218858e-39,1.5209206211352776e-26,1.598795210960617e-48,1.1881479886359473e-24,8.218990182852423e-25,1.384312644085881e-37,2.8490600490782283e-37,3.3607654446610004e-20,2.603370551655604e-49,1.8977628889467547e-27
7.863297620033583e-18,0.10711872978515583,3.76,0.0,0.5792434324772269,0.9999999999999892,3.0306802175745466e-33,1.6119259935148519e-43,2.1446813232797226e-27,3.759037983747968e-12,2.8327300268916237e-14,2.4351455002909132e-22,1.755765240304589e-14,4.172726034096071e-23,1.0769647678298178e-14,1.3014577454108398e-23,9.193444827137009e-26,3.46243325056054e-24,5.751348562429181e-38,6.084177621131979e-26,2.558332603411354e-47,4.752978757272347e-24,3.2878636429393168e-24,1.1075552683796384e-36,2.2794644653350636e-36,6.721969221682675e-20,4.1658166975768755e-48,7.591669239511019e-27
1.5727021874412562e-17,0.10711872978519388,3.76,0.0,0.579243432475319,0.9999999999999785,2.424659276818179e-32,1.2896032912680993e-42,8.579074345481102e-27,7.518279918906799e-12,5.6656137905030894e-14,9.740978364000772e-22,3.5116257474942926e-14,1.6691583430649348e-22,2.1539879679768764e-14,5.206042823934456e-23,3.6775275724511656e-25,1.3850296531092678e-23,4.601297372565657e-37,2.4337700792443595e-25,4.093540450620998e-46,1.9012688664448926e-23,1.3151989730699835e-23,8.860862771158599e-36,1.8236581474840573e-35,1.3444597666904763e-19,6.665645891188676e-47,3.03679115642516e-26
3.1454470383170524e-17,0.10711872978527003,3.76,0.0,0.579243432471503,0.9999999999999569,1.9397734642268997e-31,1.0317091648506931e-41,3.4316995302010055e-26,1.5036763787673206e-11,1.1331381446554291e-13,3.896470619217104e-21,7.023346777942593e-14,6.676769298661651e-22,4.308034368477913e-14,2.0824595028599195e-22,1.4710409589458034e-24,5.540231293796999e-23,3.6811254199704964e-36,9.735278381665685e-25,6.549831544680831e-45,7.605230197491734e-23,5.260902926207084e-23,7.088858453807818e-35,1.4589611492593314e-34,2.689073812206374e-19,1.0665305100794969e-45,1.2147410907152283e-25
6.290936740068644e-17,0.10711872978542226,3.76,0.0,0.5792434324638712,0.9999999999999138,1.5518371894394766e-30,8.253803969054245e-41,1.3726937548409684e-25,3.007373151900101e-11,2.266291727396978e-13,1.5586041022618204e-20,1.404678890311477e-13,2.6707349570913888e-21,8.616127170307678e-14,8.329922791355599e-22,5.8842237051528526e-24,2.2161150328580236e-22,2.94493552206756e-35,3.894150965619813e-24,1.0479864541691158e-43,3.0421230271231643e-22,2.104382577645366e-22,5.671154031079974e-34,1.1671827725186856e-33,5.378655329123936e-19,1.7064706549014577e-44,4.859013104239742e-25
1.258191614357183e-16,0.10711872978572677,3.76,0.0,0.5792434324486077,0.9999999999998277,1.2414771199489285e-29,6.603134670155533e-40,5.490802778885797e-25,6.014766695683655e-11,4.5325990990053073e-13,6.234448116022312e-20,2.809367341056145e-13,1.0682994720696995e-20,1.7232312777277957e-13,3.331986098672377e-21,2.3537014631132822e-23,8.864504993243822e-22,2.3559627751555873e-34,1.5576683086045245e-23,1.6767892473061847e-42,1.2168554017089738e-21,8.417573126589542e-22,4.536950088069535e-33,9.33751759964314e-33,1.0759232066500955e-18,2.7303708532203036e-43,1.9436145777347116e-24
2.51638749505782e-16,0.10711872978633577,3.76,0.0,0.5792434324180804,0.9999999999996554,9.931846451278945e-29,5.282607109415317e-39,2.1963265625723392e-24,1.2029553773322739e-10,9.065214666722861e-13,2.4937855859652024e-19,5.618744345386445e-13,4.2732092002381836e-20,3.4464684004461516e-13,1.3327978567597483e-20,9.414829871610123e-23,3.545810834426047e-21,1.8847764158985933e-33,6.230689077011609e-23,2.682872156028208e-41,4.8674339982378116e-21,3.3670378150504583e-21,3.6295707450735526e-32,7.470036258272139e-32,2.152604035541311e-18,4.368608679023778e-42,7.774473684816483e-24
5.032779256459094e-16,0.10711872978755375,3.76,0.0,0.579243432357026,0.9999999999993108,7.945488986517493e-28,4.2262258772713926e-38,8.785316345147645e-24,2.40591278888888e-10,1.8130449100161327e-12,9.975155008164743e-19,1.123749876541111e-12,1.709286209264686e-19,6.892942651180069e-13,5.3311984284860375e-20,3.7659367980802737e-22,1.4183259929950318e-20,1.5078243354401622e-32,2.4922787976029134e-22,4.292604934078683e-40,1.946976085302234e-20,1.3468168398601885e-20,2.9036607527928355e-31,5.9760378951535096e-31,4.308227618979451e-18,6.989789560004886e-41,3.1097899101170804e-23
1.0065562779261642e-15,0.10711872978998974,3.76,0.0,0.5792434322349173,0.9999999999986214,6.3563959654952146e-27,3.3811974823036305e-37,3.514127911280067e-23,4.811827596117254e-10,3.626093115904988e-12,3.9900645242699125e-18,2.247500925091843e-12,6.837152029600642e-19,1.378589117383673e-12,2.1324809051710325e-19,1.5063757255994012e-21,5.673306424806867e-20,1.2062619084945598e-31,9.969121510220063e-22,6.868181869759644e-39,7.787909375017816e-20,5.387270794763961e-20,2.3229300839367954e-30,4.780833898896968e-30,8.628522488418182e-18,1.118368709066403e-39,1.2439139404230155e-22
2.0131129824866737e-15,0.1071187297948617,3.76,0.0,0.5792434319906997,0.9999999999972429,5.085118756637049e-26,2.7053018251229836e-36,1.4056509225552473e-22,9.623657147034643e-10,7.252194804485893e-12,1.5960263044223614e-17,4.4950036803778875e-12,2.7348639577089618e-18,2.757178830390544e-12,8.52992775613186e-19,6.0255052069675025e-21,2.269322367989151e-19,9.650123573394519e-31,3.98764985701675e-21,1.0989122612403178e-37,3.1151648062029197e-19,2.1549090110833138e-19,1.8583443702429654e-29,3.8246685959993746e-29,1.7305303037062516e-17,1.7893953700265193e-38,4.975634827693217e-22
4.026226391607693e-15,0.10711872980460563,3.76,0.0,0.5792434315022645,0.9999999999944856,4.068095916971317e-25,2.1647903983461344e-35,5.622599073505228e-22,1.9247315994712007e-09,1.4504419288848851e-11,6.384106131226003e-17,8.990011823699369e-12,1.093947578144714e-17,5.514358290306508e-12,3.4119727838607164e-18,2.410202777166728e-20,9.077283528103698e-19,7.720139852730086e-30,1.5950601845658545e-20,1.758268688650469e-36,1.2460661732676898e-18,8.619637479589949e-19,1.486675154092193e-28,3.0597355375885055e-28,3.480362736955548e-17,2.8630482746251066e-37,1.990236235111727e-21
8.052453209849731e-15,0.1071187298240935,3.76,0.0,0.5792434305253941,0.9999999999889713,3.2544772869892744e-24,1.732710135468091e-34,2.2490353998275156e-21,3.849463267343712e-09,2.9008952686286384e-11,2.55364257448383e-16,1.798003864142852e-11,4.375805229788802e-17,1.1028717345747847e-11,1.3647901332859479e-17,9.640814365117886e-20,3.630907790493751e-18,6.17617575489869e-29,6.380241151169114e-20,2.8132580896549605e-35,4.984265511028018e-18,3.4478553180047368e-18,1.1893392450919534e-27,2.447788806449724e-27,7.037932894445877e-17,4.5809260581133266e-36,7.96080147895678e-21
1.2078680028091769e-14,0.10711872984358135,3.76,0.0,0.5792434295485235,0.9999999999834569,9.305773146462178e-24,4.956142536614078e-34,4.779193861529563e-21,5.774194833553269e-09,4.351357051234252e-11,5.426490477876417e-16,2.6970075990332524e-11,9.298607729573398e-17,1.6543076536799127e-11,2.9001804389946706e-17,2.048673466193522e-19,7.71567055574226e-18,1.7660119092155805e-28,1.355801262812772e-19,1.0354712763662325e-34,1.0591565078022007e-17,7.32669279849787e-18,3.400765456292341e-27,6.999176959111865e-27,1.0653408339833246e-16,1.6860987678502638e-35,1.691649190482108e-20
1.6104906846333807e-14,0.10711872986306921,3.76,0.0,0.5792434285716528,0.9999999999779425,1.9628574597777893e-23,1.0457836736153132e-33,8.152732399404505e-21,7.69892629809988e-09,5.801827276692422e-11,9.256954269331225e-16,3.5960123870500046e-11,1.5862364638732006e-16,2.2057435863460872e-11,4.947368793075758e-17,3.4947965301441734e-19,1.3162012770471402e-17,3.7250564679951803e-28,2.3128374556922585e-19,2.626193536686083e-34,1.806796515102295e-17,1.249847622353816e-17,7.173196721188132e-27,1.4763351733268815e-26,1.4326789070023526e-16,4.2763570048114907e-35,2.885721295909551e-20
2.4157360482817884e-14,0.10711872990204492,3.76,0.0,0.5792434266179112,0.9999999999669138,5.361174450815706e-23,2.858730834309145e-33,1.6879161903696244e-20,1.1548388988596407e-08,8.702787542437945e-11,1.9165347541806732e-15,5.394024434734109e-11,3.2841127648726127e-16,3.3086154835055445e-11,1.0242906038329327e-16,7.235534367616901e-19,2.7250228775503027e-17,1.0174433407342034e-27,4.788436154898085e-19,9.184029255847325e-34,3.740743060823934e-17,2.587650815088599e-17,1.95922156361838e-26,4.0323631735977405e-26,2.1809450679001889e-16,1.4955012393156008e-34,5.974404589931578e-20
3.2209814119301963e-14,0.10711872994102065,3.76,0.0,0.5792434246641692,0.9999999999558851,1.121737344692059e-22,5.985922712805347e-33,2.870697671193973e-20,1.5397851305242072e-08,1.1603778855486236e-10,3.259523552121892e-15,7.192040355213117e-11,5.585434470604966e-16,4.411487430534243e-11,1.742051220477457e-16,1.230575211761697e-18,4.6345425816758843e-17,2.1288599503593106e-27,8.143875650161309e-19,2.294861322764954e-33,6.362024755250151e-17,4.400916373692329e-17,4.099345157137476e-26,8.437108194435796e-26,2.95050506467934e-16,3.736921800817026e-34,1.0160711567574193e-19
4.8314721392270116e-14,0.10711873001897208,3.76,0.0,0.579243420756684,0.9999999999338274,3.542102226905353e-22,1.89384236450754e-32,6.25463518479478e-20,2.3096774710938144e-08,1.7405863429687747e-10,7.101836695288047e-15,1.0788084913442942e-10,1.216962123974889e-15,6.617231488346976e-11,3.795580574934655e-16,2.6811741703821103e-18,1.009768349432827e-16,6.722517049778844e-27,1.774384403171643e-18,1.0627574163303998e-32,1.386155766578204e-16,9.588699847458566e-17,1.294445067639759e-25,2.664202821296188e-25,4.559546559386693e-16,1.730601098449136e-33,2.2137146707312674e-19
6.441962866523827e-14,0.10711873009692356,3.76,0.0,0.5792434168491972,0.9999999999117696,8.056643897274936e-22,4.314810022770406e-32,1.0980984916382677e-19,3.07956964984148e-08,2.320808239179253e-10,1.2468434547017702e-14,1.4384146235989682e-10,2.1365924390839e-15,8.822975762024677e-11,6.663772565311178e-16,4.707242443127049e-18,1.7728067613923717e-16,1.5291070389782572e-26,3.115221833959405e-18,3.0817925703269355e-32,2.4336235628295747e-16,1.6834530933212028e-16,2.944259473990167e-25,6.059857009469947e-25,6.260758770545527e-16,5.018445565741764e-33,3.8863753405120027e-19
9.662944321117457e-14,0.10711873025282642,3.76,0.0,0.5792434090342189,0.9999999998676541,2.68994816071163e-21,1.4460835900501098e-31,2.447937919845207e-19,4.619353519634727e-08,3.4812925333992875e-10,2.7795549249415767e-14,2.1576319408636077e-10,4.763129462150014e-15,1.323446495997565e-10,1.485542324145544e-15,1.0493745662274813e-17,3.952039105461377e-16,5.1057240864146316e-26,6.944681755641382e-18,1.5660897712669274e-31,5.425215430139776e-16,3.7528780664627257e-16,9.830244870114785e-25,2.0232740976594977e-24,9.940969102502021e-16,2.5502709809223177e-32,8.66300325784196e-19
1.6104907230304719e-13,0.10711873056463231,3.76,0.0,0.5792433934042432,0.9999999997794222,1.2648814214284364e-20,6.853232223794269e-31,6.766245659650935e-19,7.698919307917356e-08,5.802423168337624e-10,7.683012468334814e-14,3.596086793442731e-10,1.3166314043147708e-14,2.2057445959034416e-10,4.1062420141554564e-15,2.9006020835044074e-17,1.0923709272802031e-15,2.401186391185627e-25,1.9195910259905478e-17,1.296254634394201e-30,1.4995943879758466e-15,1.0373395838099979e-15,4.6223932034245195e-24,9.514017921453311e-24,1.8412815832388695e-15,2.1108870179728913e-31,2.3940941479976163e-18
2.8988833048679243e-13,0.10711873118824422,3.76,0.0,0.5792433621442158,0.999999999602956,7.564027452221238e-20,4.162366020183423e-30,2.187862149231055e-18,1.385804307718062e-07,1.0445332782528304e-09,2.4844033336608213e-13,6.473077407741447e-10,4.257815189045469e-14,3.970341837348078e-10,1.3278278529271692e-14,9.379538841780822e-17,3.5322017063443986e-15,1.4363356850070998e-24,6.207253044999064e-17,1.4746398722771317e-29,4.849148516928986e-15,3.3543777286325557e-15,2.764159167409618e-23,5.689478181727026e-23,3.980340352516116e-15,2.401430234271517e-30,7.738552384903526e-18
5.475668468542829e-13,0.10711873243546888,3.76,0.0,0.579243299623856,0.9999999992500131,5.199685540702764e-19,2.949157247043099e-29,7.800321244547414e-18,2.617625938568597e-07,1.9733745336386318e-09,8.858327976984108e-13,1.2227382403556575e-09,1.5183824319465877e-13,7.49954048760981e-10,4.7346175142387155e-14,3.344388524002963e-16,1.2593441617475884e-14,9.879464941960446e-24,2.2132448072966833e-16,1.9875299705875517e-28,1.729009540350048e-14,1.1960312495216233e-14,1.900082754710732e-22,3.911163351783737e-22,1.0037263146659729e-14,3.2368116200932804e-29,2.7570330030720416e-17
1e-12,0.10711873492992145,3.76,0.0,0.5792431898493299,0.9999999986302804,3.269366498345354e-18,1.9592259849630395e-28,2.6006982600119188e-17,4.780454087816357e-07,3.6050748652039545e-09,2.9539117734589897e-12,2.233186342585628e-09,5.064609431035377e-13,1.3696137554169107e-09,1.5789030595163395e-13,1.1152513380514758e-15,4.198882194600487e-14,6.218730010331571e-23,7.380331411577696e-16,2.4201298840719925e-27,5.76563704808092e-14,3.9883196548296284e-14,1.1946241346561013e-21,2.4592928916703127e-21,2.6410121771920747e-14,3.941685400611489e-28,9.180143063536724e-17
1.0629238795892638e-12,0.10711873492992145,3.76,0.0,0.5792431745819165,0.9999999985440853,3.850515637605482e-18,2.3137947610670758e-28,2.9382182935580615e-17,5.081256708130398e-07,3.832094290018678e-09,3.3373194798011876e-12,2.3737288455384176e-09,5.722120238543169e-13,1.4557954463658863e-09,1.7838485170304244e-13,1.2600098618032066e-15,4.7438270379127895e-14,7.324560246178121e-23,8.338274460765554e-16,2.9206814138764255e-27,6.514002757795156e-14,4.505991551576386e-14,1.4069710159052562e-21,2.896452722892575e-21,2.926641474435122e-14,4.75694950162663e-28,1.0370315944431388e-16
1.5782809123242447e-12,0.10711873742437839,3.76,0.0,0.579243049538351,0.9999999978381012,1.1962426904057293e-17,7.504913252286985e-28,6.476919037905491e-17,7.544870821585407e-07,5.692196909405503e-09,7.357736024701466e-12,3.5248923855586674e-09,1.261860802217239e-12,2.1616390681290223e-09,3.9330269622383416e-13,2.7779835819810865e-15,1.0457405572686901e-13,2.277550092873233e-22,1.83832880499443e-15,1.2127424430941217e-26,1.4361444537875664e-13,9.934323635055899e-14,4.370866755222552e-21,8.998834046465251e-21,5.7982610473935e-14,1.9753969242967652e-27,2.283280092574445e-16
2.0936379450592255e-12,0.10711873991883966,3.76,0.0,0.5792429244931594,0.999999997132061,2.6987123320913472e-17,1.7642069228862726e-27,1.1395560092393574e-16,1.0008468279042345e-06,7.553682208727687e-09,1.2947074458305962e-11,4.6762290375817875e-09,2.220975811395779e-12,2.867484915105403e-09,6.92111819647468e-13,4.88839345562245e-15,1.8399310491714713e-13,5.142642484204243e-22,3.2348280912071036e-15,3.3936224969612996e-26,2.527139593780148e-13,1.7481037860641516e-13,9.86025766445055e-21,2.030224716489509e-20,9.618580944761727e-14,5.528313518436835e-27,4.012586874733549e-16
2.6089949777942066e-12,0.1071187424133053,3.76,0.0,0.5792427994463414,0.9999999964259646,5.112818973233228e-17,3.47843990979813e-27,1.7693546263665142e-16,1.2472049080634374e-06,9.416549997028052e-09,2.0105324577415554e-11,5.827738984514615e-09,3.4497543952210573e-12,3.5733329883832614e-09,1.0748246499375248e-12,7.591273242125906e-15,2.856874395813821e-13,9.751560808039043e-22,5.02332433410176e-15,7.674070548839411e-26,3.924391637847383e-13,2.7146142219485066e-13,1.8679949309889685e-20,3.846529631719232e-20,1.4387595888865456e-13,1.2502560132441551e-26,6.223034609613416e-16
3.639709043264168e-12,0.10711874740224966,3.76,0.0,0.579242549347827,0.9999999950136033,1.3493051876998484e-16,9.907679010218756e-27,3.4425345745048995e-16,1.7399160716748295e-06,1.3146432330133873e-08,3.9128519118694895e-11,8.131279440783442e-09,6.717033391851921e-12,4.9850358178761286e-09,2.092007426645324e-12,1.477456619568311e-14,5.558723548625564e-13,2.578102558433052e-21,9.776303367002119e-15,2.6848202708471922e-25,7.637687971857877e-13,5.283154659519114e-13,4.929387333369953e-20,1.0152252790821008e-19,2.677169035784537e-13,4.3750302659312905e-26,1.208028979415691e-15
4.670423108734129e-12,0.1071187523912115,3.76,0.0,0.5792422992428079,0.9999999936010173,2.810443585280293e-16,2.2116306897253682e-26,5.666754237736443e-16,2.2326205731060786e-06,1.68818423723e-08,6.44272315824946e-11,1.043551522001242e-08,1.1065279099950389e-11,6.396747565332568e-09,3.4449505933692234e-12,2.432812947903062e-14,9.150647680343055e-13,5.3792441544663246e-21,1.609725658025795e-14,6.930340324606553e-25,1.257608012378289e-12,8.699059107869339e-13,1.0266588402195607e-19,2.1148029653151688e-19,4.295050082761039e-13,1.1295505771080372e-25,1.983981542128122e-15
5.701137174204091e-12,0.10711875738019087,3.76,0.0,0.579242049131284,0.9999999921882068,5.080786904882043e-16,4.2656138784262353e-26,8.441511212618718e-16,2.725318412477279e-06,2.0622778505924035e-08,9.60013684973951e-11,1.2740447864515466e-08,1.649615578442234e-11,7.808468239942174e-09,5.133759136794627e-12,3.625224267053655e-14,1.363197296571561e-12,9.741676572201124e-21,2.3986173985506752e-14,1.4972057841654474e-24,1.8739617285456843e-12,1.2962333058450136e-12,1.8558820038552995e-19,3.823564327111168e-19,6.2923983187058e-13,2.44071203495399e-25,2.9485714032561305e-15
6.731851239674052e-12,0.10711876236918776,3.76,0.0,0.579241799013255,0.999999990775172,8.344866306244959e-16,7.452624525929185e-26,1.1766307771899722e-15,3.2180095899081996e-06,2.4369239127209322e-08,1.3385083646787194e-10,1.5046078902694595e-08,2.3011313025667985e-11,9.220197850822631e-09,7.158537384520411e-12,5.0547181066906846e-14,1.9002031716162506e-12,1.602847763348851e-20,3.344304552154531e-14,2.8731146987236096e-24,2.6128348364956346e-12,1.8072981698548879e-12,3.0479346192448205e-19,6.280573259431015e-19,8.669209622949014e-13,4.684605380538834e-25,4.100239942169527e-15
8.793279370613975e-12,0.10711877234723428,3.76,0.0,0.5792412987576825,0.9999999879484289,1.8562324718708138e-15,1.8712312565969758e-25,2.0064113419335805e-15,4.203371959408736e-06,3.187872768439825e-08,2.283754067667734e-10,1.965944201846502e-08,3.9300794574782704e-11,1.2043683916424571e-08,1.2216405108252141e-11,8.625057799942964e-14,3.2405791623787415e-12,3.579005839835457e-20,5.706061241472244e-14,8.40844052041847e-24,4.4581581734448615e-12,3.0836421775008453e-12,6.778690951164733e-19,1.3973400280166693e-18,1.4561207672673623e-12,1.3716044736262108e-24,6.958954911658519e-15
1e-11,0.1071187823253514,3.76,0.0,0.5792410059055576,0.999999986293291,2.729006331930495e-15,2.934874965766264e-25,2.593999249011103e-15,4.78017189338784e-06,3.628488495085034e-08,2.9535549014937395e-10,2.236132036882169e-08,5.0856941002608854e-11,1.3696515327421295e-08,1.580129131169391e-11,1.1155249020955667e-13,4.189841928494474e-12,5.273572850617696e-20,7.37961206465562e-14,1.4119512793215014e-23,5.765808017473602e-12,3.988073445758796e-12,9.96494489477636e-19,2.054596291133789e-18,1.8714576188819493e-12,2.303786273649799e-24,8.972182096132917e-15
