Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),C2H4(29),H(6),H2(9),C2H3(28),C2H2(22),HO2(12),CH3O2(36),C2H5O2(40),OH(8),O(7),CH2O(19),H2O2(13),HCO(16)
3.760519240499745e-17,0.838686448280305,3.76,0.0,0.8512191304876596,0.999999999999996,8.343507383225968e-34,6.816747382877238e-45,3.65858077351895e-28,3.5356553841647105e-12,1.0423938382214172e-14,1.4722379133518747e-22,1.1303620487239692e-23,6.399488834363967e-15,3.424042435637896e-24,2.839018020003604e-39,8.098704448128424e-49,4.0244494161045286e-15,3.556931631279171e-25,4.9738430412544694e-27,1.6522554723546206e-24,8.060847605373496e-21,1.393116125785788e-24,1.3803531502829148e-26,1.2078418755344763e-37
7.521242513295107e-17,0.8386864482805704,3.76,0.0,0.8512191304858813,0.999999999999992,6.675122783449307e-33,5.45366166425361e-44,1.4634918553695437e-27,7.0715026000103335e-12,2.0848442608653442e-14,5.889191286201458e-22,4.5216322333284674e-23,1.2799324897220833e-14,1.369672708051804e-23,2.27132232367528e-38,1.2958586684292861e-47,8.04911718442846e-15,1.4228305453608798e-24,1.9896181885178375e-26,6.609290822046504e-24,1.612265083327005e-20,5.572691257475159e-24,5.521637278147539e-26,9.663193727892305e-37
1.504268905888583e-16,0.8386864482811006,3.76,0.0,0.8512191304823246,0.9999999999999839,5.340224979209072e-32,4.3630406752036346e-43,5.854086491658761e-27,1.414319703077812e-11,4.169745189762388e-14,2.3557244417535624e-21,1.8086897327616815e-22,2.5598997068432772e-14,5.478802310113714e-23,1.8171011246666512e-37,2.07342674861094e-46,1.6098452721131627e-14,5.6914379537919925e-24,7.95863478399047e-26,2.6437701154186086e-23,3.2247812140712294e-20,2.22912185453841e-23,2.208699847388447e-25,7.730738473363943e-36
3.0085582150067276e-16,0.8386864482821614,3.76,0.0,0.8512191304752111,0.9999999999999678,4.272230682331914e-31,3.49048641880353e-42,2.3416583918207512e-26,2.8286585888619856e-11,8.339547381993227e-14,9.422993621301184e-21,7.234832859271913e-22,5.1198341592849513e-14,2.1915432264883007e-22,1.4536983686634158e-36,3.3175254604485505e-45,3.2197123794759153e-14,2.2765983238635705e-23,3.1834863862718594e-25,1.0575188028766861e-22,6.450435416219472e-20,8.916578121054349e-23,8.834889262022942e-25,6.184664170816805e-35
6.017136833243017e-16,0.838686448284283,3.76,0.0,0.8512191304609844,0.9999999999999356,3.4178048212793354e-30,2.7924256315169313e-41,9.366681005082349e-26,5.657336358952801e-11,1.6679153104201907e-13,3.769216618573394e-20,2.8939481283869184e-21,1.0239703136965464e-13,8.766217564341918e-22,1.1629659424035499e-35,5.308076015004446e-44,6.439446594289904e-14,9.106439481721505e-23,1.2734011021955743e-24,4.2300967193688807e-22,1.2904231583156264e-19,3.566649388279948e-22,3.5339736789112654e-24,4.9477606852606875e-34
1.2034294069715595e-15,0.8386864482885263,3.76,0.0,0.8512191304325308,0.9999999999998712,2.734251960324147e-29,2.233979015675796e-40,3.7466817674322733e-25,1.1314691893224296e-10,3.335836989960712e-13,1.5076904807366424e-19,1.1575824074710313e-20,2.047944138351527e-13,3.506496000078088e-21,9.303760686888028e-35,8.492953519981084e-43,1.2878915024271802e-13,3.642584951056695e-22,5.0936179291676845e-24,1.692042984807874e-21,2.582177496760008e-19,1.4266633826495552e-21,1.4135930660155313e-23,3.958220274188218e-33
2.406860854266075e-15,0.8386864482970127,3.76,0.0,0.8512191303756237,0.9999999999997424,2.187404798557939e-28,1.7872368756872173e-39,1.4986744823095209e-24,2.2629402938126742e-10,6.671682489436785e-13,6.03076958387502e-19,4.630337215515802e-20,4.0958919041371095e-13,1.4026002290165016e-20,7.4430284608774185e-34,1.3588762903161925e-41,2.57578518856513e-13,1.4570357489735916e-21,2.0374502157332482e-23,6.7681804971882884e-21,5.169666593884082e-19,5.706660780144339e-21,5.654379449953044e-23,3.1665808881464145e-32
4.813723748855106e-15,0.8386864483139858,3.76,0.0,0.8512191302618094,0.9999999999994849,1.7499251133235998e-27,1.4298721801296393e-38,5.99470069795064e-24,4.525882493336948e-10,1.334338204996815e-12,2.412309361180829e-18,1.8521374220472877e-19,8.191787901611626e-13,5.610404846959139e-20,5.954441376916798e-33,2.174208807604746e-40,5.151572561407308e-13,5.828146028000216e-21,8.149809670956212e-23,2.7072738815289295e-20,1.0360566469131154e-18,2.2826657578580808e-20,2.2617532147448947e-22,2.533266543470884e-31
9.627449538033169e-15,0.8386864483479313,3.76,0.0,0.8512191300341808,0.9999999999989697,1.3999405722208148e-26,1.144028758822828e-37,2.3978802073530995e-23,9.051766854560632e-10,2.6686815417340576e-12,9.649240463540048e-18,7.408562909581964e-19,1.638358176018098e-12,2.2441629432997313e-19,4.7635775747116057e-32,3.478751523152848e-39,1.0303147309356806e-12,2.331258613623181e-20,3.259927805895058e-22,1.0829098659914895e-19,2.0806052944082637e-18,9.130665890156336e-20,9.047015709185309e-22,2.0266139126528137e-30
1.9254901116389293e-14,0.8386864484158228,3.76,0.0,0.8512191295789237,0.9999999999979394,1.1199526052350017e-25,9.15432121455056e-37,9.591515681204879e-23,1.8103535425708547e-09,5.337381913726674e-12,3.859696760022835e-17,2.96343432787704e-18,3.2767176931856385e-12,8.976655528941423e-19,3.8108990969576634e-31,5.566054898776744e-38,2.060629681431651e-12,9.325031627355252e-20,1.3039736505822762e-21,4.331639905519635e-19,4.195177279550894e-18,3.652266901505432e-19,3.618806838257439e-21,1.6212913127840382e-29
