Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),H(6),C2H4(29),HO2(12),H2(9),C2H5O2(40),CH3O2(36),C2H3(28),H2O2(13),C2H2(22),OH(8),CH2O(19),HCO(16),CO(14),O(7),CH2CHO(34),C2H5O(43),C2H(21),HCCO(20),C2H5O(101),C3H6(221),C3H6(74),CH3O(26),CH2CO(27),C3H6(55),C3H7(218),C3H7(49),C2H2O(140),CO2(15),C#CC(416)
0.0,0.19343690668910965,3.76,0.0,0.6596261480744581,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3020240530575015e-21,0.19343690668910965,3.76,0.0,0.6596261480744579,1.0,4.6679315855557535e-45,8.581102041703715e-56,1.220329307221201e-35,3.1224215262848925e-16,1.7829562731374397e-18,2.6522625508470348e-30,1.0781895683353264e-18,3.4987371928780316e-31,7.047667047999265e-19,1.1138359868386386e-31,5.581467109733951e-34,2.5125056310391965e-32,3.994980671131765e-50,5.059783524438319e-34,2.821960283544045e-63,4.285737249548838e-32,3.1909140908642376e-32,1.0578446055651111e-48,2.302379179496598e-48,2.524855967118899e-24,4.83111837147614e-64,5.295590287083053e-35,5.387353662236629e-85,6.241355958316903e-88,2.8608449955517336e-46,8.816311170770825e-77,4.526478094347077e-62,7.542489733738997e-33,1.0811084331024616e-67,7.602273972373077e-67,1.1549052438763165e-63,2.9586291064682368e-62,1.729043663649864e-81,7.701170841644997e-49,1.469226795191611e-93
3.645667348561004e-21,0.19343690668910968,3.76,0.0,0.6596261480744576,1.0,5.541771082861704e-44,1.018748434578807e-54,7.370789015610845e-35,8.74278027359761e-16,4.992277564792649e-18,1.6019665807115946e-29,3.018930791339642e-18,2.1132372645010942e-30,1.9733467734397997e-18,6.727569360506728e-31,3.371206134280593e-33,1.5175534011469854e-31,4.742841052787972e-49,3.0561092487607306e-33,6.312612275902553e-62,2.5885852987275886e-31,1.9273121108823248e-31,1.255873115726696e-47,2.733425550120284e-47,7.06959676801077e-24,1.080716400765286e-62,3.1985365333637238e-34,2.2231065735823107e-83,2.575513013762761e-86,3.396395178671681e-45,5.094152476008439e-75,1.423197136516016e-60,4.555663799175106e-32,2.418396321193833e-66,2.3902765732703824e-65,3.6312068715863067e-62,9.302403291372325e-61,7.13504364766415e-80,9.142830023195022e-48,1.6711394601444903e-91
8.33295393956801e-21,0.19343690668910968,3.76,0.0,0.6596261480744571,1.0,5.440944896499756e-43,1.0002132545419861e-53,3.548717625391435e-34,1.998349776822269e-15,1.1410920148134343e-17,7.712779497862965e-29,6.900413237351187e-18,1.0174327756930766e-29,4.5105069107195705e-18,3.239035049728789e-30,1.6230906355125634e-32,7.306366375051641e-31,4.656549470332569e-48,1.4713850489066429e-32,1.247265809114255e-60,1.2462923921689381e-30,9.279178176238086e-31,1.2330236722460452e-46,2.683711374897979e-46,1.6159078610105917e-23,2.135326352346692e-61,1.5399576554320931e-33,8.794388527501042e-82,1.0188473374772525e-84,3.3346009266682625e-44,2.2853578562446157e-73,3.1750745216204395e-59,2.193356014566428e-31,4.778343598999784e-65,5.3325755458994876e-64,8.101022778097646e-61,2.0753150018454955e-59,2.8225702701777905e-78,8.976484733003058e-47,1.5128762021787799e-89
1.7707527121582022e-20,0.1934369066891097,3.76,0.0,0.659626148074456,1.0,4.812454614866028e-42,8.846772972525887e-53,1.549818220162846e-33,4.246493275747138e-15,2.4248205314942836e-17,3.3683734395755125e-28,1.466337812938593e-17,4.443396234997931e-29,9.584827185279207e-18,1.4145717032871662e-29,7.08846322938207e-32,3.1908821514090914e-30,4.118665272837548e-47,6.425925076036457e-32,2.2194428662005506e-59,5.442886306928431e-30,4.052460895402627e-30,1.090595474552032e-45,2.3737194520560643e-45,3.433804325554184e-23,3.7997096631284976e-60,6.725399664061676e-33,3.1386547999081058e-80,3.636193790729183e-83,2.9494167563055695e-43,8.599973430917196e-72,5.94656318675895e-58,9.578961961798171e-31,8.502807139067195e-64,9.98732382938864e-63,1.5172319105814897e-59,3.8868353188556156e-58,1.0073582279981713e-76,7.939599090863782e-46,1.1466255295458297e-87
3.645667348561005e-20,0.1934369066891098,3.76,0.0,0.6596261480744537,1.0,4.0451582625457783e-41,7.43624575263892e-52,6.470185986814087e-33,8.7427802735963e-15,4.992277564906022e-17,1.4062296044588975e-27,3.018930791350203e-17,1.8550304597024807e-28,1.9733467734398863e-17,5.90555840223732e-29,2.9592938615989e-31,1.332130485567362e-29,3.4619863301423733e-46,2.6826972246570076e-31,3.743414794565183e-58,2.2722978897120596e-29,1.69182265098076e-29,9.167112096665317e-45,1.9952570549251373e-44,7.069597639139615e-23,6.408774277243183e-59,2.8077219697310156e-32,1.0604805207878508e-78,1.228587708353625e-81,2.4791624990655194e-42,2.978253928080155e-70,1.0271209099539094e-56,3.9990280567830945e-30,1.4341227072111745e-62,1.7250618241471247e-61,2.6206408165999388e-58,6.713541425505412e-57,3.403640593155664e-75,6.673711432566148e-45,7.972923006351341e-86
7.395496621366609e-20,0.19343690668910998,3.76,0.0,0.6596261480744492,1.0,3.3164652160632534e-40,6.096683565373723e-51,2.643282092551837e-32,1.773535426929231e-14,1.012719163192966e-16,5.74490677563501e-27,6.124116748192066e-17,7.578404709587905e-28,4.003074883263969e-17,2.4126133009479292e-28,1.2089681018520176e-30,5.442187696974691e-29,2.838345558056599e-45,1.0959693505272767e-30,6.148570041267399e-57,9.283078312023476e-29,6.911647557414016e-29,7.515752350408534e-44,1.6358334074217991e-43,1.4341185804303477e-22,1.052643791244061e-57,1.1470460381365826e-31,3.486627939787147e-77,4.039327642222575e-80,2.0325672009304806e-41,9.909449624120087e-69,1.706576753860147e-55,1.6337334462484286e-29,2.355550864709127e-61,2.866216020714638e-60,4.35423391177768e-57,1.1154649487522743e-55,1.1190433404633231e-73,5.471511841017683e-44,5.31637130929414e-84
1.4895155166977817e-19,0.19343690668911026,3.76,0.0,0.6596261480744401,1.0,2.685759546761e-39,4.937252448099558e-50,1.068456884228258e-31,3.572050226067507e-14,2.0397019766777585e-16,2.32218317186762e-26,1.2334488661950364e-16,3.0633123520184472e-27,8.062531102912741e-17,9.752168706177277e-28,4.886842365118415e-30,2.1998192801781065e-28,2.298565822319228e-44,4.430083345253597e-30,9.96709699813637e-56,3.752368677376794e-28,2.7937984504596233e-28,6.0864511123634435e-43,1.324740754142647e-42,2.8884368286603167e-22,1.7063815040548432e-56,4.6365434813291075e-31,1.1308794191823584e-75,1.3101462748776256e-78,1.6460256163789e-40,3.2330639841568756e-67,2.7821508267830474e-54,6.603811801080055e-29,3.8184494972490025e-60,4.672655507420368e-59,7.098500228087665e-56,1.8184893951329396e-54,3.629591509298299e-72,4.430972147280557e-43,3.4726048786058014e-82
2.989447225820024e-19,0.19343690668911093,3.76,0.0,0.6596261480744219,0.9999999999999999,2.161732950870517e-38,3.973930349238311e-49,4.296218138833693e-31,7.169079824340353e-14,4.0936676039676013e-16,9.337396400747658e-26,2.475523248976525e-16,1.2317444239192427e-26,1.6181443542212719e-16,3.9213041452114065e-27,1.9649778219517248e-29,8.845376573755284e-28,1.8500857450359242e-43,1.7813170289115328e-29,1.6051702451437134e-54,1.5088109416598095e-27,1.1233740693707658e-27,4.898905364451973e-42,1.0662667881328282e-41,5.797075785909046e-22,2.7480752550459265e-55,1.8643337402148535e-30,3.6432787169362195e-74,4.2208109783739616e-77,1.3248646157694015e-39,1.044619815440982e-65,4.493181017590294e-53,2.6553636804657133e-28,6.1494953214050035e-59,7.546351119590916e-58,1.1464096829399282e-54,2.936865230087468e-53,1.1693214549194802e-70,3.566431869835508e-42,2.24518984646756e-80
5.989310644064508e-19,0.1934369066891122,3.76,0.0,0.6596261480743855,0.9999999999999998,1.734654556625084e-37,3.1888289125086567e-48,1.7229756265588372e-30,1.4363139020871228e-13,8.201598859828317e-16,3.7447135819564677e-25,4.95967201465882e-16,4.9398460519554185e-26,3.2419268420822387e-16,1.572618346887343e-26,7.880439924247883e-29,3.547391624992699e-27,1.4845772969055542e-42,7.143877999444651e-29,2.5766537364596497e-53,6.0510067082720436e-27,4.5052324596132666e-27,3.931063032596753e-41,8.556120180645015e-41,1.1614363543561665e-21,4.4112697518047983e-54,7.47681213093019e-30,1.1697804079070875e-72,1.3552140376951893e-75,1.0631204150343215e-38,3.3589372637199026e-64,7.222657260062612e-52,1.0649195998065284e-27,9.871302291349054e-58,1.2130539005191122e-56,1.8428200831386094e-53,4.7209250813649705e-52,3.75444628619297e-69,2.861836969251601e-41,1.444238146646722e-78
